,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,place_of_pub,title,type,creators,date,uri,subjects,date_type,rev_number,ispublished,status_changed,full_text_status,publisher,divisions,dir,publication,issn,volume,corp_creators,abstract,refereed,pagerange,number,editors,pages,isbn,event_type,event_title,event_location,event_dates,pres_type,official_url,contact_email,related_url,id_number
0,"[{'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/238692', 'filename': '10. HUBUNGAN KEPEMIMPINAN KETUA KELOMPOK DENGAN.pdf', 'objectid': 40435, 'filesize': 877583, 'mtime': '2020-11-21 10:42:20', 'hash_type': 'MD5', 'hash': 'd60168d8d35be7b38ee7b15740d659e0', 'mime_type': 'application/pdf', 'fileid': 238692, 'datasetid': 'document'}], 'main': '10. HUBUNGAN KEPEMIMPINAN KETUA KELOMPOK DENGAN.pdf', 'docid': 40435, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 26540, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40435'}]",2020-11-22 11:47:40,966,show,26540,archive,2020-11-22 11:47:40,Universitas Lampung,Hasil Reviewer Judul :  The Community Ability inSupporting theLocal Resource Based Productive Effort in Food Self-Sufficient  Villages of Lampung Provinsi,other,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>'}]",2017-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26540,['S1'],published,7,pub,2020-11-22 11:47:40,public,ISAE International Seminar,['FP26'],disk0/00/02/65/40,,,,,,,,,,,,,,,,,,,,
1,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40433', 'security': 'public', 'placement': 1, 'eprintid': 26538, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-21 10:32:32', 'objectid': 40433, 'filesize': 883100, 'filename': '9. THE COMMUNITY ABILITY IN SUPPORTING THE LOCAL RESOURCE-BASED.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238681', 'datasetid': 'document', 'fileid': 238681, 'hash': '62731dc197f0a380b44082458b98d145', 'mime_type': 'application/pdf'}], 'main': '9. THE COMMUNITY ABILITY IN SUPPORTING THE LOCAL RESOURCE-BASED.pdf', 'docid': 40433, 'format': 'text'}]",2020-11-22 11:47:14,966,show,26538,archive,2020-11-22 11:47:14,Universitas Lampung,Hasil Revieweer :  Evaluation Of The Success of Program and Strategy for Sustainable Coastal Community Development in  Tanggamus Regency,other,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">helviyanfika@yahoo.co.id</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>', 'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">beggem_vh@yahoo.com</font></font>'}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">indahlistiana@yahoo.com</font></font>'}, {'id': None, 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}, 'id': None}]",2017-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26538,['S1'],published,8,pub,2020-11-22 11:47:14,public,Journal of Physics: Conference Series 1467,['FP26'],disk0/00/02/65/38,,,,,,,,,,,,,,,,,,,,
2,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42393', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28354, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '(5) HASIL PENILAIAN KARYA ILMIAH KEPUTUSAN PETANI BERALIH MITRA.pdf', 'docid': 42393, 'files': [{'datasetid': 'document', 'fileid': 252046, 'hash': '1d894f1d3abdf4aa8e7d58eaf99c6ab8', 'mime_type': 'application/pdf', 'objectid': 42393, 'filesize': 2536414, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252046', 'filename': '(5) HASIL PENILAIAN KARYA ILMIAH KEPUTUSAN PETANI BERALIH MITRA.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-14 07:20:03'}], 'format': 'text'}]",2021-03-15 01:42:15,930,show,28354,archive,2021-03-15 01:42:15,,"FAKTOR-FAKTOR YANG BERHUBUNGAN DENGAN KEPUTUSAN PETANI BERALIH KEMITRAAN DALAM BERUSAHATANI : KASUS PETANI KEMITRAAN TEBU DI PT GUNUNG MADU PLANTATAIONS BERALIH KE KEMITRAAN UBI KAYU DI PABRIK BUMI WARAS
Via Agiesta, Sudarma Widjaya, Tubagus Hasanuddin",article,"[{'name': {'given': 'Via', 'lineage': None, 'family': 'Agiesta', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Hasanuddin', 'honourific': None, 'given': 'Tubagus'}, 'id': 'tb_sijati@yahoo.com'}, {'name': {'family': 'Wijaya', 'lineage': None, 'honourific': None, 'given': 'Sudarma'}, 'id': None}]",2017-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28354,['S1'],published,6,pub,2021-03-15 01:42:15,public,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,['FP26'],disk0/00/02/83/54,Jurnal Ilmu-Ilmu Agribisnis,2337 7070,5.0,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","Abstract

This study aims to determine the performance of  partnership patterns of cassava farming in Plant Earth Sane, factors  associated with the decision-making of farmers switching partnership from cane farming to cassava farming, and  a comparison between  cassava farming income and cane farming income. The survey method was conducted in Central Lampung regency by interviewing 21 cassava farmers chosen purposively as respondents.  Data were collected in December 2015 to May 2016 and analyzed using Kendall Partial Analysis. The results showed that the performance of cassava farming partnership system are at a very adequate classification in terms of financial aid, processing yields, profit-sharing system, the requirements of the partnership, and farming income. Farmers’ decisions to switch partnership from cane farming to cassava farming were determined by technical factors of cultivation, social pressures, marketing of the crop, profit-sharing system, capital aid, the requirements of the partnership, farm income, the distance from farming land to cassava processing factory, and the desire of farmers to cultivate their own land. Cassava farming income per ha/season is Rp13,282,985.13 with R/C of 2.15, greater than those of sugarcane farming with  income of Rp11,403,828.63 and R/C of 2.13.
Key words : cassava, farm, partnership, sugarcane",TRUE,93-100,1.0,,,,,,,,,,,,
3,"[{'rev_number': 2, 'language': 'id', 'mime_type': 'application/pdf', 'format': 'archive', 'files': [{'fileid': 69486, 'datasetid': 'document', 'hash': '692bc6825f45201ba1b07ac12f5afff1', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-06-25 09:36:37', 'filesize': 779999, 'objectid': 20790, 'filename': 'Editor DDpk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/69486'}], 'main': 'Editor DDpk.pdf', 'docid': 20790, 'security': 'validuser', 'formatdesc': 'Editor Buku Dasar-Dasar Penyuluhan Pertanian', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20790', 'pos': 1, 'eprintid': 7743, 'placement': 1}]",2018-06-26 02:51:31,442,show,7743,archive,2018-06-26 02:51:31,Bandar Lampung,Dasar-Dasar Penyuluhan Pertanian,book,"[{'name': {'given': 'IRWAN', 'lineage': None, 'family': 'EFFENDI', 'honourific': None}}]",2017-11-06 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/7743,['S1'],published,8,pub,2018-06-26 02:51:31,restricted,AnugrahUtama Raharja,['FP26'],disk0/00/00/77/43,,,,,"Dasar-Dasar penyuluhan pertanian adalah ilmu terapan (applied science) yang merupakan
perpaduan antara berbagai macam ilmu, antara lain Ilmu Sosiologi, Ilmu Pendidikan, Ilmu
Psikologi, Ilmu Komunikasi, Ilmu Manajemen, dan Ilmu-Ilmu Terapan lainnya.
Sebagai suatu ilmu, Penyuluhan selalu berkembang sesuai dengan perkembangan ilmu-ilmu
lainnya. Seorang penyuluh disamping harus mempelajari ilmu penyuluhan, harus pula
mempelajari ilmu-ilmu lainnya yang akan disampaikan kepada masyarakat, kemudian
menterjemahkannya ke dalam bahasa yang bisa dimengerti oleh masyarakat.",TRUE,,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Syarief', 'given': 'Yuniar Aviati'}, 'id': 'yuniarafiati@yahoo.com'}]",187.0,978-602-6739-54-4,,,,,,,,,
4,"[{'format': 'text', 'docid': 20779, 'main': 'IntrConf Nov 2017 (Reposty1).pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '8b9fbd2cbf314dcde03bc2d0f9200ca8', 'datasetid': 'document', 'fileid': 69405, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69405', 'filename': 'IntrConf Nov 2017 (Reposty1).pdf', 'objectid': 20779, 'filesize': 1365515, 'mtime': '2018-06-25 08:26:08', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 7734, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20779', 'pos': 1}]",2018-06-26 02:46:58,442,show,7734,archive,2018-06-26 02:46:58,,"CORN PEASENTS EMPOWERMENT THROUGH ENHANCING
ENTREPRENEURIAL COMPETENCE IN THE DISTRICT GROBOGAN
CENTRAL OF JAVA",conference_item,"[{'id': 'teguh.endaryanto@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Endaryanto', 'given': 'Teguh'}}, {'name': {'lineage': None, 'family': 'Syarief', 'honourific': None, 'given': 'Yuniar Aviati'}, 'id': 'yuniarafiati@yahoo.com'}]",2017-11-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/7734,['SB'],published,8,pub,2018-06-26 02:46:58,public,,['FP26'],disk0/00/00/77/34,,,,,"Central Of Java Province is the 2nd corn producer in Indonesia, but the empirical still exist
problems in the farming of corn, among others, the level of productivity of corn an average of
4.99 tonnes / ha, under potential productivity between 7-8 tonnes / ha for type land in
Province. It identifies the low productivity of corn peasents competence in the management
of farming has not been optimal. Besides moisture corn by KA 35% - 40%, indicating that the
competence of peasents in post-harvest handling is still less so that peasents can not meet the
standards prescribed by the feed mill the water content of a maximum of 14%. Corn peasents
in Central Of Javaare currently at 80 percent have yet to implement appropriate post-harvest
technologies applicable standards (Soefian, 2014). Corn cultivation requires human resources
(HR) peasents who have entrepreneurial competencies that peasents in addition to master the
knowledge and insight into the techniques of cultivation and also had managerial competence
as a reliable farmer. Peasents who have a positive competence make it as a farmer creative
and innovative as an entrepreneur in the field of agriculture. This study used a qualitative
research with the number of sources by 25 votes corn peasents. The study was conducted in
June-August Month Year 2017. The results found that corn growers in South Central Of
Javaregency have a moderate level of competence, meaning the technical ability in corn
cultivation has average productivity 6-7 ton / ha, is already doing diversification farming
corn, corn farming has been able to manage an area of 4-8 hectares, and is able to seize
opportunities corn farming in accordance with market demand. The results showed also that
the corn growers in Grobogan regency have 4 types namely the type of technical
entrepreneurial competencies, futuristic type, types of managerial and universal type. Factors
that influence the entrepreneurial competence corn growers that formal education, motivation,
peasents' participation in social institutions in society, access to information and learning
processes in education.",TRUE,107-118,,,,,conference,The 1st International Conference on Social Sciencess (ICSS),Jakarta,12 November 2017,speech,https://jurnal.umj.ac.id/index.php/icss/index,,,
5,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/163116', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41482, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '2d4959cb2ff600be18e9406a1e28cdfc', 'fileid': 459385, 'datasetid': 'document', 'mtime': '2022-04-26 15:46:02', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/459385', 'filename': 'Preview Penilaian_The Role of Supporting.pdf', 'filesize': 286471, 'objectid': 163116}], 'main': 'Preview Penilaian_The Role of Supporting.pdf', 'docid': 163116, 'format': 'text'}]",2022-05-11 07:29:55,719,show,41482,archive,2022-05-11 07:29:55,,Hasil Peer Review_THE ROLE OF SUPPORTING ENVIRONMENTAL FACTORS ON THE USE OF CYBER EXTENSION BY FARMERS OF FOOD CROPS AND HORTICULTURE IN LAMPUNG PROVINCE,other,"[{'id': 'trully.dame@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Gultom', 'given': 'Dame Trully'}}, {'name': {'given': 'Sumaryo', 'family': 'Gitosaputro', 'lineage': None, 'honourific': None}, 'id': 'sumaryo.gitosaputro@fp.unila.ac.id'}]",2017-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/41482,['S1'],,7,pub,2022-05-11 07:29:55,public,"Proceeding International Conference on Cassava,",['FP26'],disk0/00/04/14/82,,,,,"Hasil Peer Review Proceeding International Conference on Cassava,",,,,,,,,,,,,,,,
6,"[{'eprintid': 2743, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2603', 'pos': 1, 'format': 'text', 'main': '9289-24625-1-PB.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '12dee03a0ad8c4122dc45e1c8577d94a', 'fileid': 18795, 'datasetid': 'document', 'mtime': '2017-06-01 06:01:26', 'hash_type': 'MD5', 'filename': '9289-24625-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/18795', 'objectid': 2603, 'filesize': 285275}], 'docid': 2603, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}, {'eprintid': 2743, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2604', 'format': 'text', 'docid': 2604, 'main': 'Dikirim IJSBAR template.docx', 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'cf1c537178e67bf2a5893528f8d4ebe8', 'datasetid': 'document', 'fileid': 18800, 'filename': 'Dikirim IJSBAR template.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/18800', 'filesize': 189498, 'objectid': 2604, 'mtime': '2017-06-01 06:06:25', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'rev_number': 1}]",2017-06-02 06:44:20,719,show,2743,archive,2017-06-02 06:44:20,,STRATEGI PEMENUHAN KEBUTUHAN INFORMASI PERTANIAN MELALUI PEMANFAATAN CYBER EXTENSION DI PROPINSI LAMPUNG,article,"[{'name': {'given': 'Dame Trully', 'honourific': None, 'family': 'Gultom', 'lineage': None}, 'id': 'trully.dame@yahoo.co.id'}, {'id': 'sumardjo252@gmail.com', 'name': {'given': 'Sumardjo', 'honourific': None, 'lineage': None, 'family': 'Sumardjo'}}, {'name': {'given': 'Sarwititi', 'family': 'Sarwoprasojo', 'lineage': None, 'honourific': None}, 'id': 'sarwititi@gmail.com'}, {'id': 'pudji1962@yahoo.co.id', 'name': {'given': 'Pudji', 'family': 'Mulyono', 'lineage': None, 'honourific': None}}]",2017-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/2743,['H1'],published,12,pub,2017-06-02 06:44:20,public,Direktorat Riset dan Pengabdian Kepada Masyarakat Universitas Padjajaran,['FP26'],disk0/00/00/27/43,"Sosiohumaniora, Jurnal Ilmu-Ilmu Sosial dan Humaniora",14110-0911,19.0,,"ABSTRAK : Produksi beberapa komoditi sayuran di Propinsi Lampung mengalami penurunan dalam lima tahun terakhir.
Hal ini disebabkan oleh teknologi informasi pertanian tidak menyebar merata, padahal terdapat cyber extension yang dapat digunakan untuk mencari informasi pertanian. Penelitian ini bertujuan untuk (1) Menganalisis faktor-faktor yang berpengaruh terhadap perilaku komunikasi petani dalam pemenuhan kebutuhan informasi pertanian , dan (2) Merancang strategi pemenuhan kebutuhan informasi pertanian melalui pemanfaatan cyber extension. Metode penelitian adalah Sequential Explanatory Design
(Metode Kombinasi). Penelitian dilakukan di 16 desa yang memiliki keterjangkauan terhadap jaringan internet pada Oktober 2014 sampai Januari 2015. Sampel diambil dengan sampling kuota, sebanyak 180 orang. Data yang digunakan adalah data primer dan data sekunder. Data dianalisis secara deskriptif dan inferensial dengan The Structural Equation Model (SEM). Hasil penelitian menunjukkan perilaku petani secara positif dipengaruhi oleh karakteristik individu, faktor lingkungan, potensi
cyber extension dan potensi sumber informasi konvensional. Pemenuhan kebutuhan informasi pertanian dipengaruhi oleh perilaku komunikasi petani dalam menggunakan sumber informasi berbasis Teknologi Informasi dan Komunikasi (TIK)
Kata kunci: strategi, informasi pertanian, cyber extension",TRUE,64-69,1.0,,,,,,,,,,trully.dame@yahoo.co.id,,
7,"[{'placement': 1, 'eprintid': 46732, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185645', 'pos': 1, 'security': 'public', 'main': 'Farmers Cassava motivation to change partnership.pdf.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '2c970afbe5d57915c19d6480eb134954', 'datasetid': 'document', 'fileid': 514709, 'mtime': '2022-11-18 05:02:10', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/514709', 'filename': 'Farmers Cassava motivation to change partnership.pdf.pdf', 'filesize': 2049285, 'objectid': 185645}], 'docid': 185645, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-12-19 07:17:22,930,show,46732,archive,2022-12-19 07:17:22,,"FARMERS CASSAVA MOTIVATION TO CHANGE PARTNERSHIP
(CASE OF FARMERS SUGARCANE AND CASSAVA PARTNERSHIP)",article,"[{'id': 'tb_sijati@yahoo.com', 'name': {'family': 'Hasanuddin', 'lineage': None, 'honourific': None, 'given': 'Tubagus'}}, {'name': {'family': 'Agiesta', 'lineage': None, 'honourific': None, 'given': 'Via'}, 'id': None}]",2017-11-23 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46732,['S1'],published,6,pub,2022-12-19 07:17:22,public,"Fakultas Pertanian, Universitas Lampung",['FP26'],disk0/00/04/67/32,"Proceeding International Conference on Cassava, Bandar Lampung",ISBN 978-602-0860-26-8,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","Partnerships in farming between companies and farmers are common. The purpose of this
research to know 1) farmer income of Cassava and Sugarcane, 2) comparison income of farmer
cassava and sugarcane, and 3) factors related to the change partnership of farmers. The location of
the research was selected in Lampung Tengah District by purposive. The number of respondents was
47 people, and data collection was done through interview technique. Data analysis was done by
using Binary Regression Logistic. The study was conducted from December 2015 to May 2016. The
results showed: 1) farmer income of cassava farming is Rp.13.282.985,00 / ha / season, and farmer
income of sugarcane farming is Rp. 11.403.828,00 / ha / season, 2) R/C cassava farming partnership
is 2,15 and R/C sugarcane farming is 2,13, and 3)factors related to change from sugarcane
partnership to cassava partnership were capital aid in partnership, partnership requirements, farming
income share system, farm income, and production materials.
Key word: cassava, farmer motivation, partnership",TRUE,1-3,,,,,,,,,,,,[{'url': 'http://repository.lppm.unila.ac.id/12229/1/Proceeding%20International%20Conf%20%281%29.%20on%20Cassava%202017-1.pdf#page=44'}],
8,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 43298, 'main': 'Nasional_Kemandirian Anggota Kelompok Wanita Sawargi dalam Keberlanjutan Usaha Pengolahan Hasil Pertanian di Kelurahan Situ Gede Bogor.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-12 06:40:40', 'filesize': 1849566, 'objectid': 43298, 'filename': 'Nasional_Kemandirian Anggota Kelompok Wanita Sawargi dalam Keberlanjutan Usaha Pengolahan Hasil Pertanian di Kelurahan Situ Gede Bogor.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/258758', 'datasetid': 'document', 'fileid': 258758, 'mime_type': 'application/pdf', 'hash': '1cd011278388f298c6c9dd761236f9f2'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43298', 'eprintid': 29191, 'placement': 1}]",2021-04-13 01:12:01,301,show,29191,archive,2021-04-13 01:12:01,,"Hasil Review_Kemandirian Anggota Kelompok Wanita Sawargi dalam Keberlanjutan Usaha Pengolahan Hasil Pertanian di Kelurahan Situ Gede, Bogor",other,"[{'name': {'given': 'HY', 'honourific': None, 'family': 'Helvi Yanfika', 'lineage': None}, 'id': 'helviyanfika@yahoo.co.id'}, {'name': {'given': 'Amanah', 'honourific': None, 'family': 'Siti Amanah', 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Tjitropronoto', 'honourific': None, 'lineage': None, 'family': 'Prabowo'}}, {'id': None, 'name': {'honourific': None, 'family': 'Anna Fatchiya', 'lineage': None, 'given': 'Anna'}}, {'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Sri Harijati'}, 'id': None}]",2017-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29191,['S1'],,8,pub,2021-04-13 01:12:01,public,Jurnal Penyuluhan Pertanian,['FP26'],disk0/00/02/91/91,,,,,Hasil Review Jurnal Penyuluhan Pertanian,,,,,,,,,,,,http://jurnal.polbangtan-bogor.ac.id/index.php/jpp/article/view/352,,[{'url': 'http://jurnal.polbangtan-bogor.ac.id/index.php/jpp/article/view/352'}],
9,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/541011', 'filename': 'HAKI BUKU.pdf', 'objectid': 189689, 'filesize': 1885745, 'mtime': '2023-04-09 21:20:30', 'hash_type': 'MD5', 'hash': '9fd4106d72a057bf3bf832ebfc4987b9', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 541011}], 'main': 'HAKI BUKU.pdf', 'docid': 189689, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189689', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50000}]",2023-04-10 01:01:16,179,show,50000,archive,2023-04-10 01:01:16,,"Gatekeepers Of Sustainability On Coffee Smallholders, Standards And Certifications In Indonesia",other,"[{'id': 'muhammad.ibnu@fp.unila.ac.id', 'name': {'given': 'Muhammad', 'honourific': None, 'lineage': None, 'family': 'Ibnu'}}]",2017-09-27 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50000,['S1'],,7,pub,2023-04-10 01:01:16,public,Universitaire Pers Maastricht,['FP26'],disk0_bak/00/05/00/00,,,,,,,,,,,,,,,,,,,,
