,related_url,publication,publisher,dir,divisions,full_text_status,issn,status_changed,ispublished,rev_number,date_type,subjects,abstract,volume,corp_creators,date,uri,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,number,lastmod,documents,id_number,official_url,keywords,contributors,place_of_pub
0,[{'url': 'http://kjie.ppj.unp.ac.id/index.php/kjie/article/view/275/pdf'}],Khalifa : Journal of Islamic Education,Fakultas Ilmu Sosial Universitas Negeri Padang,disk0/00/04/67/35,['FP26'],public,ISSN : 2541-6588 E ISSN : 2549-4783,2022-12-19 07:17:18,pub,7,published,"['H1', 'S1']","This study aims to analyze how the Al Bariyah Mosque is managed as a professional mosque
model in the community of Hajimena Natar village, South Lampung, Lampung Province,
Indonesia. The research was carried out using a qualitative method with a case study approach
(single-case study). Sources of data were taken to several informants through in-depth interviews.
The writer also took data by observation and document analysis to strengthen the interview data.
All data were then analyzed using the Miles and Huberman technique with the stages of
collecting, reducing, and analyzing data and drawing conclusions. Overall, the research findings
found three forms of the Al Bariyah Mosque management process so that it becomes a
professional mosque; the three approaches are i) direct supervision starting from planning to an
evaluation of activities by mosque administrators, ii) involving the community activities in every
planned mosque activity, iii) establishing a transparent, professional, and accountable mosque
management. The findings in the study can be used as an example for other mosque
administrators to manage mosques professionally in the community.
Keywords: Management, supervision, community empowerment, academic-based mosques",6.0,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2022-09-01,http://repository.lppm.unila.ac.id/id/eprint/46735,article,"[{'id': None, 'name': {'lineage': None, 'family': 'Fernando', 'honourific': None, 'given': 'Riky'}}, {'name': {'honourific': None, 'family': 'Hasanuddin', 'lineage': None, 'given': 'Tubagus'}, 'id': 'tb_sijati@yahoo.com'}, {'name': {'lineage': None, 'family': 'Rangga', 'honourific': None, 'given': 'Kordiyana'}, 'id': 'korrangga@yahoo.com'}]","Professional Mosque Management Model Based on Religious and
Academic Activities in the Community",TRUE,2022-12-19 07:17:18,46735,archive,show,196-216,930,2.0,2022-12-19 07:17:19,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Profesional Mosque Manajement Model Based on Religious.pdf', 'files': [{'filesize': 310793, 'objectid': 185648, 'uri': 'http://repository.lppm.unila.ac.id/id/file/514724', 'filename': 'Profesional Mosque Manajement Model Based on Religious.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-18 05:49:23', 'datasetid': 'document', 'fileid': 514724, 'hash': 'ad1a02781e952d9b1d2b3d12c0be8e35', 'mime_type': 'application/pdf'}], 'docid': 185648, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185648', 'pos': 1, 'eprintid': 46735, 'placement': 1}]",,,,,
1,,Agrimor,Fakultas Pertanian Universitas Timor,disk0/00/04/64/39,['FP26'],public,25021710,2022-11-10 01:09:08,pub,6,published,['S1'],"Interventions in the agricultural sector need to be evaluated whether they are really successful and have the expected impact on beneficiaries, such as farmers. However, the definition of impact evaluation has varied considerably in the last two decades. Some empirical studies are also still biased in evaluating the impact, and this is related to the method used. This research has three objectives. First, to review the definition of impact evaluation according to the literature. Second, to identify sources of bias in impact evaluation studies. Third, to review empirical studies on impact evaluation, which have different results, especially from the methodology used. Empirical studies that serve as 'cases' in the agricultural sector are studies on the impact of coffee standards and certification. Thus, this research method is a theoretical literature review supported by empirical research results. The literature review reveals that one of the most common definitions of impact evaluation is that evaluation relates to counterfactual, which is a comparison between what actually happened and what would have happened in the absence of the intervention. Inappropriately designed counterfactuals are a major source of bias in impact evaluation, in addition to validity threats. Based on a review of empirical studies on the impact of coffee standards and certification, it is concluded that some studies have more reliable results than others. Studies with more reliable results use reliable counterfactuals, so as to minimize impact evaluation bias through an ‘apple-to-apple’ comparison between the intervention group and the control group.",7.0,,2022-07-31,http://repository.lppm.unila.ac.id/id/eprint/46439,article,"[{'name': {'lineage': None, 'family': 'Ibnu', 'honourific': None, 'given': 'Muhammad'}, 'id': 'muhammad.ibnu@fp.unila.ac.id'}]",Evaluasi Dampak Program Intervensi di Sektor Pertanian,TRUE,2022-11-10 01:09:08,46439,archive,show,102-113,179,3.0,2022-11-10 01:09:08,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 512436, 'hash': 'ad6bf85d68f4d44ef00effed8e3601e3', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-09 13:52:07', 'filesize': 567949, 'objectid': 185319, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512436', 'filename': 'Ibnu_jurnal agrimor.pdf'}], 'main': 'Ibnu_jurnal agrimor.pdf', 'docid': 185319, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185319', 'eprintid': 46439, 'placement': 1}]",https://savana-cendana.id/index.php/AG/article/view/1775,https://savana-cendana.id/index.php/AG/article/view/1775,"Agricultural sector
Counterfactual
Impact evaluation
Intervention program
Source of bias",,
2,"[{'url': 'https://ojs.unida.ac.id/AGB/article/view/6200', 'type': 'pub'}]",Jurnal AgribiSains,UNIVERSITAS DJUANDA BOGOR,disk0/00/04/64/38,['FP26'],public,550-1151,2022-11-10 01:09:03,pub,6,published,['S1'],"Indonesia has the potential to become a major exporter of cocoa in the world as well as to meet the needs of the
domestic cocoa industry. However, the lack of availability of raw materials (cocoa beans) causes the processing
industry to import cocoa beans from other countries. Indonesia has even been included in the five largest cocoa
importing countries in the world. This raises questions about the sustainability of cocoa production in Indonesia.
This research has two objectives. First, predicting the sustainability of cocoa production in Indonesia. Second,
identify strategies or efforts that need to be done so that cocoa production in Indonesia can achieve a better level
of sustainability. The first objective of the research was achieved by using quantitative methods, namely by
analyzing trends in secondary data (from FAOSTAT) related to cocoa production, planted area, and cocoa
productivity as well as cocoa exports and imports. The second objective of the research is achieved by reviewing
the literature, especially reviewing the results of empirical research (and various publications by cocoa-related
institutions) to identify potential strategies in order to improve the sustainability of Indonesian cocoa production.
The results showed that productivity problems have a high level of urgency to be overcome. If not addressed, there
is a possibility that Indonesia will become a net cocoa importer in the future (imports are greater than exports).
Strategies to increase the sustainability of Indonesian cocoa production need to focus on increasing productivity
through the use of superior cocoa seeds, focus on specific support for farmers' livelihoods, focus on improving the
supporting environmental instruments that are still lacking (such as access to finance and inputs, facilities and
infrastructure) rural areas, capacity building of farmer organizations, and extension services) and focus on the
existence of strong institutions to ensure the functioning of partnerships between farmers/farmers' organizations
and other parties.",8.0,,2022-10-31,http://repository.lppm.unila.ac.id/id/eprint/46438,article,"[{'name': {'lineage': None, 'family': 'Ibnu', 'honourific': None, 'given': 'Muhammad'}, 'id': 'muhammad.ibnu@fp.unila.ac.id'}]",MENCAPAI PRODUKSI KAKAO BERKELANJUTAN DI INDONESIA,TRUE,2022-11-10 01:09:03,46438,archive,show,22-33,179,2.0,2022-11-10 01:09:03,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185318', 'eprintid': 46438, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Ibnu_jurnal agribisains.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/512430', 'filename': 'Ibnu_jurnal agribisains.pdf', 'filesize': 1082272, 'objectid': 185318, 'mtime': '2022-11-09 13:43:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '3c9603fabf43205c7c26a3b1f2e99d15', 'datasetid': 'document', 'fileid': 512430}], 'docid': 185318}]",,https://ojs.unida.ac.id/AGB/article/view/6200,analisis time series; kakao; produksi berkelanjutan; Indonesia; strategi,"[{'id': 'muhammad.ibnu@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'lineage': None, 'family': 'Ibnu', 'given': 'Muhammad'}}]",
3,[{'url': 'https://journal.unhas.ac.id/index.php/jsep/issue/view/1181'}],JURNAL SOSIAL EKONOMI PERTANIAN,DEPARTEMEN SOSIAL EKONOMI PERTANIAN  UNIVERSITAS HASANUDDIN MAKASSAR INDONESIA,disk0_bak/00/04/95/59,['FP26'],public,2598-5922,2023-04-03 00:57:20,pub,6,published,['S1'],"Rantai nilai sektor pertanian negara berkembang, termasuk Indonesia, merupakan bagian dari rantai
nilai global, terutama untuk rantai nilai produk perkebunan yang diperdagangkan secara global
(misalnya kopi, kakao, teh, dan kelapa sawit). Banyak peneliti menggunakan perspektif rantai nilai global
dengan fokus mengevaluasi hubungan antara perusahaan multinasional (yang dianggap sebagai aktor
utama) dan aktor lain (termasuk produsen dan konsumen) dalam perdagangan internasional. Namun,
argumen bahwa negara berkembang perlu memiliki kendali lebih besar atas rantai nilai global patut
mendapat perhatian. Oleh karena itu, studi ini bertujuan untuk mengidentifikasi strategi-strategi
potensial untuk meningkatkan rantai nilai secara keseluruhan dan dengan cara yang lebih sistematis;
sehingga memperkuat posisi dan pengaruhnya dalam rantai nilai global. Tujuan penelitian dicapai
dengan meninjau literatur secara khusus tentang rantai nilai, tetapi juga dengan memperluas tinjauan
ke literatur tentang politik, ekonomi dan manajemen. Selain itu, penelitian ini juga diperkuat dengan
hasil penelitian empiris sebagai 'kasus' atau 'contoh' terkait dengan strategi yang diusulkan. Hasil
kajian menunjukkan bahwa peningkatan rantai nilai dicapai melalui kombinasi strategi, misalnya
peningkatan nilai tambah produk dan perbaikan tata kelola rantai. Selain itu, penelitian ini
menyimpulkan bahwa di era pasar liberalisasi, peran pemerintah seharusnya lebih terlihat. Pasar yang
diliberalisasi tidak selalu mencapai ekuilibrium yang optimal, oleh karena itu pemerintah harus dapat
memperbaikinya dengan peraturan dan/atau kebijakan yang relevan.",19.0,,2022-02-27,http://repository.lppm.unila.ac.id/id/eprint/49559,article,"[{'name': {'given': 'Muhammad', 'honourific': None, 'lineage': None, 'family': 'Ibnu'}, 'id': 'muhammad.ibnu@fp.unila.ac.id'}]",Peningkatan (Upgrading) Rantai Nilai Sektor Pertanian Indonesia: Kajian Teori dan Hasil-hasil Empiris,FALSE,2023-04-03 00:57:20,49559,archive,show,,179,1.0,2023-04-03 00:57:20,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189191', 'pos': 1, 'eprintid': 49559, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '21586-Article Text-79076-1-10-20221222.pdf', 'docid': 189191, 'files': [{'objectid': 189191, 'filesize': 1169319, 'uri': 'http://repository.lppm.unila.ac.id/id/file/537436', 'filename': '21586-Article Text-79076-1-10-20221222.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-02 01:53:54', 'datasetid': 'document', 'fileid': 537436, 'hash': '438ef069cb8ec2beec9aabb6fbc7a199', 'mime_type': 'application/pdf'}]}]",,https://journal.unhas.ac.id/index.php/jsep/issue/view/1181,sektor pertanian; negara berkembang; Indonesia; perbaikan; rantai nilai,,
4,"[{'url': 'https://ojs.unud.ac.id/index.php/soca/article/view/71701', 'type': 'pub'}]",SOCA: Jurnal Sosial Ekonomi Pertanian,Jurusan Sosial Ekonomi Pertanian Fakultas Pertanian Universitas Udayana,disk0/00/04/23/64,['FP26'],public,2615-6628,2022-06-13 01:17:31,pub,6,published,['S1'],"Standard and certification are related to the sustainable development paradigm that views agriculture as a system. However, studies on standard and certification, especially in Indonesia, rarely evaluate it as a systemic approach to agricultural development. This study aimed to analyze the parallels of the standard and certification with the premise of The Theory of Change–can contextually provide incentives for a systemic approach to sustainable coffee production in Indonesia and to examine the proper systemic approach for a sustainable system of the Indonesian coffee production. We conducted a literature review to address the study aims. Empirical and theoretical approach studies included in the review process. Findings revealed that standard and certification did not provide adequate incentives for systemic and sustainable coffee production in Indonesia. Thus, a combination of five building blocks as a conceptual systemic approach is required to encourage sustainable coffee production. These building blocks are composed of enabling environment, production and market characteristics, the availability of alternative livelihoods, and the level of competition among producers.",16.0,,2022-01-17,http://repository.lppm.unila.ac.id/id/eprint/42364,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ibnu', 'given': 'Muhammad'}, 'id': 'muhammad.ibnu@fp.unila.ac.id'}]",A Systemic Approach For a Sustainable Coffee Production in Indonesia,TRUE,2022-06-13 01:17:31,42364,archive,show,15-27,179,1.0,2022-06-13 01:17:31,"[{'placement': 1, 'eprintid': 42364, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164076', 'security': 'public', 'docid': 164076, 'main': 'SOCA.pdf', 'files': [{'hash': '9543c0f13d7567248c57ae7ad158307d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 465967, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465967', 'filename': 'SOCA.pdf', 'filesize': 1628684, 'objectid': 164076, 'mtime': '2022-06-12 12:43:59', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",https://doi.org/https:/doi.org/10.24843/SOCA.2022.v16.i01.p02,https://ojs.unud.ac.id/index.php/soca/article/view/71701,,,
5,[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/012021'}],,IOP Conference Series: Earth and Environmental Science,disk0_bak/00/04/91/56,['FP26'],public,,2023-03-24 01:30:26,pub,8,published,['S1'],"Abstract. This study aims to determine farmers' perceptions of climate change on pepper
productivity in East Lampung Regency and Sukadana Baru Village, Marga Tiga District, East Lampung Regency, from March to April 2020. The research method used is survey method. The research population is 433 pepper farmers. in Sukadana Baru Village. The number of samples in this study were 108 people. The data analysis method used is descriptive statistical analysis. The results show that climate change causes changes in temperature, changes in rainfall, changes in production so that it has an impact on changes in pepper productivity. Changes in temperature that occur in the study area are indicated by the percentage of respondents of 51.85%. Meanwhile, 30.56% of respondents stated that there was no change in temperature in the study area. Rainfall experienced a change with the percentage of respondents amounting to 75.00%, while the rest considered it unchanged with a percentage of 7.41% and 17.59% stating they did not know. Most of the farmers stated that their production had decreased by 75.93%. farmers answered they don't know with a percentage of 63.89%, this situation occurs because most farmers rarely calculate the amount of productivity. Only 20.37% of respondents answered that there was a change in productivity due to climate change.",,,2022-10-27,http://repository.lppm.unila.ac.id/id/eprint/49156,other,"[{'name': {'lineage': None, 'family': 'Listiana', 'honourific': None, 'given': 'Indah'}, 'id': 'indahlistiana@yahoo.com'}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Yanfika', 'given': 'Helvi'}}, {'id': None, 'name': {'family': 'Bursan', 'lineage': None, 'honourific': None, 'given': 'Rinaldi'}}, {'id': 'habibullah.jimad@gmail.com,', 'name': {'family': 'Jimad', 'lineage': None, 'honourific': None, 'given': 'Habibullah'}}, {'name': {'family': 'riantini', 'lineage': None, 'honourific': None, 'given': 'maya'}, 'id': 'mayaunila@yahoo.com'}, {'id': 'radianawidyastuti@yahoo.co.id', 'name': {'lineage': None, 'family': 'widyastuti', 'honourific': None, 'given': 'diana'}}, {'id': 'amutholib24@yahoo.com', 'name': {'given': 'Abdul', 'honourific': None, 'family': 'Mutholib', 'lineage': None}}, {'name': {'family': 'Rahmat', 'lineage': None, 'honourific': None, 'given': 'Ali'}, 'id': None}]",SIMILARITY Farmers Perception of Climate Change on Pepper (Pipper nigrum L.) Productivity of In East Lampung District,,2023-03-24 01:30:26,49156,archive,show,,131,,2023-03-24 01:30:26,"[{'main': 'Farmers Perception of Climate Change on Pepper (Pipper nigrum L.) Productivity of In East Lampung Di.pdf', 'docid': 188599, 'files': [{'datasetid': 'document', 'fileid': 534145, 'hash': 'fc77ec9c95f7fd4f0650a8b0332e08da', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-03-23 01:59:20', 'filesize': 451670, 'objectid': 188599, 'filename': 'Farmers Perception of Climate Change on Pepper (Pipper nigrum L.) Productivity of In East Lampung Di.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/534145'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 49156, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188599', 'pos': 1, 'security': 'public'}]",https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/012021,https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/012021/pdf,,,https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/012021/pdf
6,,,Jurusan Agribisnis FP Unila,disk0/00/04/25/25,['FP26'],public,,2022-06-16 07:21:27,unpub,9,,['S1'],"Penelitian ini secara khusus bertujuan untuk mengetahui jenis produk layanan bank yang diinginkan dan tepat untuk petani, kendala yang dihadapi petani padi dalam memperoleh layanan perbankan (KUR), persepsi petani padi terhadap layanan perbankan untuk mendapatkan modal usahatani (KUR), dan menganalisis faktor-faktor yang memengaruhi keputusan petani padi dalam memanfaatkan layanan perbankan (KUR). Penelitian ini dilakukan dengan metode survei dan akan dilakukan pada bulan Mei-Oktober 2022 di Kota Metro. Jumlah sampel sebanyak 60 orang petani padi. Metode analisis data yang digunakan adalah analisis deskripstif dan analisis logit.
Hasil penelitian diharapkan dapat menghasilkan rekomendasi tentang strategi adaptasi serta solusi yang lebih komprehensif untuk menghadapi persoalan serapan KUR di tingkat petani sehingga membantu petani dalam mengatasi masalah permodalan usahatani dan dapat menunjang keberhasilan KUR sebagai program pemerintah di sektor pertanian.",,,2022-06-16,http://repository.lppm.unila.ac.id/id/eprint/42525,other,"[{'id': 'ibnulpg@yahoo.com', 'name': {'family': 'Muhammad', 'lineage': None, 'honourific': None, 'given': 'Ibnu'}}, {'name': {'honourific': None, 'family': 'Serly Silviyanti', 'lineage': None, 'given': 'SS'}, 'id': 'serly0607@gmail'}, {'id': 'sumaryo.1964@fp.unila.ac.id', 'name': {'given': 'Sumaryo', 'honourific': None, 'lineage': None, 'family': 'Sumaryo'}}]","PERSEPSI PETANI PADI TERHADAP KUALITAS PELAYANAN
KREDIT USAHA RAKYAT (KUR) BRI DI KOTA METRO",,2022-06-16 07:21:27,42525,archive,show,,179,,2022-06-16 07:21:27,"[{'placement': 1, 'eprintid': 42525, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164234', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '4ccfd0e1b2e891642aa357466ea5c3a1', 'fileid': 467112, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/467112', 'filename': 'LAPORAN KEMAJUAN PENELITIAN DIPA FP 2022.pdf', 'objectid': 164234, 'filesize': 1416002, 'mtime': '2022-06-16 04:03:50', 'hash_type': 'MD5'}], 'main': 'LAPORAN KEMAJUAN PENELITIAN DIPA FP 2022.pdf', 'docid': 164234, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,,,,
7,[{'url': 'http://repository.lppm.unila.ac.id/41863/1/the%20capacity%20farmer.pdf'}],Agriecobis (Journal of Agricultural Socioeconomics and Business),Universitas Muhammadiyah Malang,disk0/00/04/67/44,['FP26'],public,2621-3974,2022-12-19 07:17:49,pub,6,published,['S1'],"Rice is an important commodity and the availability of rice supply in Indonesia must be
maintained, because rice is the staple food of the Indonesian people which must always
be fulfilled at all times. However, the fact is that the average productivity of rice
produced by farmers is still low. Low rice productivity reflects the capacity of farmers in
rice farming. The aims of this research are: (1) to know the level of farmer's capacity?
and (2) to find out what factors that affect the capacity of farmers. This research was
conducted in Kabupaten Lampung Tengah with the number of respondents as many as
100 farmers. The data analysis method used is multiple regression analysis. The results
showed that the level of farmer's capacity was in the medium category. Factors that
have a significant effect on farmer’s capacity are farmer’s’ age, farming experience,
farmer’s motivation, community support, farmer group support, and agricultural
extension support, while formal education, non-formal education, cosmopolitan level,
land area, and family support have no significant effect on the capacity of farmers in rice
farming.",5.0,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2022-03-01,http://repository.lppm.unila.ac.id/id/eprint/46744,article,"[{'name': {'given': 'Sukmayanto', 'lineage': None, 'family': 'Muher Sukmayanto', 'honourific': None}, 'id': None}, {'id': 'tb_sijati@yahoo.com', 'name': {'honourific': None, 'family': 'Hasanuddin', 'lineage': None, 'given': 'Tubagus'}}, {'name': {'given': 'Indah', 'honourific': None, 'lineage': None, 'family': 'Listiana'}, 'id': 'indahlistiana@yahoo.com'}]","The Capacity of Farmers in Rice Farming in Kabupaten
Lampung Tengah",TRUE,2022-12-19 07:17:49,46744,archive,show,1-11,930,1.0,2022-12-19 07:17:49,"[{'eprintid': 46744, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185658', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-18 08:30:34', 'filesize': 809776, 'objectid': 185658, 'filename': 'the capacity farmer rice.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/514775', 'datasetid': 'document', 'fileid': 514775, 'mime_type': 'application/pdf', 'hash': 'b934cba7eda9627eaaa25c62c0ef527b'}], 'main': 'the capacity farmer rice.pdf.pdf', 'docid': 185658, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,,,,
8,,,Jurnal Pengabdian Fakultas Pertanian Universitas Lampung,disk0/00/04/56/15,['FP26'],public,,2022-10-10 02:28:20,pub,7,,['S1'],Peer Review Jurnal Pengabdian Fakultas Pertanian Universitas Lampung,,,2022-03-01,http://repository.lppm.unila.ac.id/id/eprint/45615,other,"[{'id': 'darwin.pangaribuan@fp.unila.ac.id', 'name': {'family': 'Pangaribuan', 'lineage': None, 'honourific': None, 'given': 'Darwin H'}}, {'id': 'nnurmauli@gmail.com', 'name': {'family': 'Nurmauli', 'lineage': None, 'honourific': None, 'given': 'N'}}, {'name': {'given': 'JP', 'honourific': None, 'lineage': None, 'family': 'Joko Prasetyo'}, 'id': None}, {'id': 'trully.dame@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Dame Trully Gultom', 'given': 'GTM'}}]",Peer Review Pemanfaatan Bokashi Untuk Budidaya Tanaman di Pekarangan,,2022-10-10 02:28:20,45615,archive,show,,719,,2022-10-10 02:28:20,"[{'main': 'Jurnal Pengabdian FP Unila_Pemanfaatan Bokashi.pdf', 'docid': 184414, 'files': [{'hash_type': 'MD5', 'mtime': '2022-10-09 09:45:03', 'objectid': 184414, 'filesize': 179242, 'filename': 'Jurnal Pengabdian FP Unila_Pemanfaatan Bokashi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506226', 'datasetid': 'document', 'fileid': 506226, 'mime_type': 'application/pdf', 'hash': '3cc269c1bb9ec77fd493fb57d2833178'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 45615, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184414', 'security': 'public'}]",,https://jurnal.fp.unila.ac.id/index.php/JPFP/article/view/5803,,,
9,,,"Jurnal Ilmu Pengetahuan, Teknologi, dan Seni Bagi Masyarakat",disk0/00/04/56/17,['FP26'],public,,2022-10-10 02:28:24,pub,9,,['S1'],"Peer Review Jurnal Ilmu Pengetahuan, Teknologi, dan Seni Bagi Masyarakat",,,2022-04-01,http://repository.lppm.unila.ac.id/id/eprint/45617,other,"[{'id': 'darwin.pangaribuan@fp.unila.ac.id', 'name': {'given': 'Darwin H', 'family': 'Pangaribuan', 'lineage': None, 'honourific': None}}, {'name': {'given': 'N', 'lineage': None, 'family': 'Nurmauli', 'honourific': None}, 'id': 'nnurmauli@gmail.com'}, {'id': 'dadresiworo@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Sembodo', 'given': 'Dad R. J.'}}, {'id': 'setyo.dwiutomo@fp.unila.ac.id', 'name': {'given': 'Setyo Dwi', 'honourific': None, 'family': 'Utomo', 'lineage': None}}, {'name': {'given': 'GTM', 'family': 'Dame Trully Gultom', 'lineage': None, 'honourific': None}, 'id': 'trully.dame@yahoo.co.id'}]","Peer Review Penyuluhan Pembuatan Pupuk Organik Cair dari Ekstrak Tanaman di Desa Sidowaluyo, Kabupaten Lampung Selatan, Lampung",,2022-10-10 02:28:24,45617,archive,show,,719,,2022-10-10 02:28:24,"[{'files': [{'mime_type': 'application/pdf', 'hash': '353c3a6d7566a5e2d17a14e9eaba04e6', 'datasetid': 'document', 'fileid': 506243, 'filename': 'Jurnal Semar_Penyuluhan Pembuatan Pupuk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506243', 'filesize': 789806, 'objectid': 184417, 'mtime': '2022-10-09 15:44:11', 'hash_type': 'MD5'}], 'main': 'Jurnal Semar_Penyuluhan Pembuatan Pupuk.pdf', 'docid': 184417, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 45617, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184417', 'pos': 1, 'security': 'public'}]",,https://jurnal.uns.ac.id/jurnal-semar/about,,,
