,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,documents,userid,title,creators,type,place_of_pub,date_type,subjects,uri,date,publisher,divisions,dir,ispublished,rev_number,full_text_status,status_changed,official_url,id_number,abstract,related_url,event_type,event_title,event_location,event_dates,refereed,pres_type,pagerange,number,volume,issn,publication,corp_creators,contact_email,contributors
0,show,2020-11-22 11:48:14,26544,archive,2020-11-22 11:48:14,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40439', 'pos': 1, 'eprintid': 26544, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '9. THE COMMUNITY ABILITY IN SUPPORTING THE LOCAL RESOURCE-BASED.pdf', 'files': [{'hash': '62731dc197f0a380b44082458b98d145', 'mime_type': 'application/pdf', 'fileid': 238725, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238725', 'filename': '9. THE COMMUNITY ABILITY IN SUPPORTING THE LOCAL RESOURCE-BASED.pdf', 'filesize': 883100, 'objectid': 40439, 'mtime': '2020-11-21 11:16:16', 'hash_type': 'MD5'}], 'docid': 40439}]",966,Hasil Reviewer : The Community Ability inSupporting theLocal Resource Based Productive Effort in Food Self-Sufficient  Villages of Lampung Provinsi,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>', 'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",other,Universitas Lampung,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/26544,2020-02-01 00:00:00.000000000,TEST (Engineering Dan Management),['FP26'],disk0/00/02/65/44,pub,7,public,2020-11-22 11:48:14,,,,,,,,,,,,,,,,,,
1,show,2020-11-22 11:48:28,26545,archive,2020-11-22 11:48:28,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash': '8e0b87f392a529dfe3fa790f049bf5f8', 'mime_type': 'application/pdf', 'fileid': 238732, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238732', 'filename': '14. TINGKAT EFEKTIVITAS PENYULUHAN PERTANIAN.pdf', 'filesize': 875821, 'objectid': 40440, 'mtime': '2020-11-21 11:20:46', 'hash_type': 'MD5'}], 'main': '14. TINGKAT EFEKTIVITAS PENYULUHAN PERTANIAN.pdf', 'docid': 40440, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40440', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26545}]",966,Hasil Reviewer : Tingkat Efektivitas Penyuluhan Pertanian Di Kecamatan Jati Agung Kabupaten Lampung Selatan,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}, {'id': None, 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">helviyanfika@yahoo.co.id</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">indahnurma1@gmail.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">indahlistiana@yahoo.com</font></font>'}]",other,Universitas Lampung,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/26545,1970-01-01 00:00:00.000002020,"Jurusan Agribisnis, Fakultas Pertanian UNTIRTA",['FP26'],disk0/00/02/65/45,pub,8,public,2020-11-22 11:48:28,,,,,,,,,,,,,,,,,,
2,show,2020-11-22 11:45:45,26532,archive,2020-11-22 11:45:45,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40427', 'pos': 1, 'eprintid': 26532, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '66a4afd8a2f187d6c17080b55e9f9b8b', 'datasetid': 'document', 'fileid': 238640, 'filename': '4. Capacity Level of Extension Worker and.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238640', 'filesize': 843404, 'objectid': 40427, 'mtime': '2020-11-21 10:09:37', 'hash_type': 'MD5'}], 'main': '4. Capacity Level of Extension Worker and.pdf', 'docid': 40427}]",966,Hasil Reviewer Jurnal : Capacity level of Extension Worker and Institutional Support in Developing the Capasity level of Extension Workwr to use Information Technology,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">helviyanfika@yahoo.co.id</font></font>'}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amutolib24@yahoo.com</font></font>', 'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'id': None, 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",other,Universitas Lampung,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/26532,1970-01-01 00:00:00.000002020,International Journal of Innovative Technology  and Exploring Engineering (IJITEE),['FP26'],disk0/00/02/65/32,pub,7,public,2020-11-22 11:45:45,http://repository.lppm.unila.ac.id/18686/,,,,,,,,,,,,,,,,,
3,show,2020-11-22 11:46:18,26534,archive,2020-11-22 11:46:18,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 40429, 'main': '5. Utilization of ICT by Rural Farmers in Lampung,.pdf', 'files': [{'hash': '9586c49906486f0f31381a4e8503ae7d', 'mime_type': 'application/pdf', 'fileid': 238650, 'datasetid': 'document', 'filename': '5. Utilization of ICT by Rural Farmers in Lampung,.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238650', 'objectid': 40429, 'filesize': 864286, 'mtime': '2020-11-21 10:13:23', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40429', 'security': 'public', 'placement': 1, 'eprintid': 26534}]",966,"Hasil Reviewer Jurnal : Utilization of ICT by Rural Farmers in Lampung, Indonesia","[{'id': None, 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>'}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">indahlistiana@yahoo.com</font></font>', 'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",other,Universitas Lampung,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/26534,1970-01-01 00:00:00.000002020,International Journal of Innovative Technology and Exploring Engineering (IJITEE),['FP26'],disk0/00/02/65/34,pub,7,public,2020-11-22 11:46:18,,,,,,,,,,,,,,,,,,
4,show,2020-11-22 11:48:56,26547,archive,2020-11-22 11:48:56,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '15. STRATEGI PENGEMBANGAN PROGRAM KAWASAN RUMAH PANGAN LESTARI.pdf', 'docid': 40442, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/238748', 'filename': '15. STRATEGI PENGEMBANGAN PROGRAM KAWASAN RUMAH PANGAN LESTARI.pdf', 'filesize': 854463, 'objectid': 40442, 'mtime': '2020-11-21 11:27:58', 'hash_type': 'MD5', 'hash': '28271d91881932b14183aa0c580227e2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 238748}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40442', 'eprintid': 26547, 'placement': 1}]",966,Revieweer Jurnal : Strategi Pengembangan Program Kawasan Rumah Pangan Lestari (KRPL) di Kabupaten Tulang Bawang Barat,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': None}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>'}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">yuniarafiati@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': None}]",other,,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/26547,1970-01-01 00:00:00.000002020,Universitas Halu Oleo,['FP26'],disk0/00/02/65/47,pub,7,public,2020-11-22 11:48:56,,,,,,,,,,,,,,,,,,
5,show,2020-11-22 11:49:06,26548,archive,2020-11-22 11:49:06,"[{'format': 'text', 'docid': 40443, 'main': '16. PERSEPSI PETANI TERHADAP PEMANFAATAN BANTUAN.pdf', 'files': [{'fileid': 238755, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7534c50b7d2474a21690bd0fc3024f40', 'hash_type': 'MD5', 'mtime': '2020-11-21 11:32:33', 'filesize': 877364, 'objectid': 40443, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238755', 'filename': '16. PERSEPSI PETANI TERHADAP PEMANFAATAN BANTUAN.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 26548, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40443'}]",966,Reviewer Jurnal : Persepsi Petani terhadap pemanfaatan Bantuan Combine Harvester di Kecamatan Gadingrejo Kabupaten Pringsewu.,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>'}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">indahlistiana@yahoo.com</font></font>', 'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'id': None, 'name': {'family': 'Mohamad', 'lineage': None, 'honourific': None, 'given': 'Riyan Suganda'}}]",other,Universitas Lampung,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/26548,1970-01-01 00:00:00.000002020,"Jurusan Agribisnis, Fakultas Pertanian UNTIRTA",['FP26'],disk0/00/02/65/48,pub,7,public,2020-11-22 11:49:06,,,,,,,,,,,,,,,,,,
6,show,2020-11-22 11:44:55,26528,archive,2020-11-22 11:44:55,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/40423', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26528, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '1. Perception, attitude, and motive of local community towards forest.pdf', 'docid': 40423, 'files': [{'fileid': 238613, 'datasetid': 'document', 'hash': 'c3ee5b2fab878eb0f94e5355f9d73913', 'mime_type': 'application/pdf', 'objectid': 40423, 'filesize': 874462, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238613', 'filename': '1. Perception, attitude, and motive of local community towards forest.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-21 09:14:33'}], 'format': 'text'}]",966,"HASIL Peer Review Jurnal: Perception, attitude, and motive of local community towards forest conversion to plantation in Dharmasraya District, West Sumatra, Indonesia","[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>'}, {'id': None, 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'honourific': None, 'family': 'Yanfika', 'lineage': None, 'given': 'Helvi'}}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amutolib24@yahoo.com</font></font>'}]",other,Universitas Lampung,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/26528,2020-10-01 00:00:00.000000000,BIODIVERSITAS Journal of Biological Diversity Volume 21 – Number 10,['FP26'],disk0/00/02/65/28,pub,7,public,2020-11-22 11:44:55,http://jurnal.untirta.ac.id/index.php/jat/article/view/7541,DOI: 10.13057/biodiv/d211057,,,,,,,,,,,,,,,,
7,show,2021-06-18 07:57:52,32681,archive,2021-06-18 07:57:52,"[{'format': 'text', 'main': 'Prosiding_Level of income, knowledge, and impact of climate change on fishing household in Limau Subdistrict, Tanggamus Regency.pdf', 'docid': 148477, 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-18 06:08:52', 'objectid': 148477, 'filesize': 2385196, 'filename': 'Prosiding_Level of income, knowledge, and impact of climate change on fishing household in Limau Subdistrict, Tanggamus Regency.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386655', 'fileid': 386655, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'd899740e4d08d834937146d651ca2a86'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 32681, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148477'}]",301,"Hasil Review_Level of income, knowledge, and impact of climate change on fishing household in Limau Subdistrict, Tanggamus Regency","[{'name': {'given': 'Mutolib, Abdul', 'honourific': None, 'family': 'Abdul Mutolib', 'lineage': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Ali Rahmat', 'honourific': None, 'given': 'Rahmat, Ali'}}, {'name': {'given': 'HY', 'honourific': None, 'lineage': None, 'family': 'Helvi Yanfika'}, 'id': 'helviyanfika@yahoo.co.id'}, {'name': {'given': 'IL', 'honourific': None, 'family': 'Indah Listiana', 'lineage': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Rudy', 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Yoyon Haryanto', 'honourific': None, 'given': 'YH'}}]",other,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/32681,2020-11-01 00:00:00.000000000,"The 1st Universitas Lampung International Confrence on Science, Technology and Environment (1st ULICoSTE)",['FP26'],disk0/00/03/26/81,pub,8,public,2021-06-18 07:57:52,https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012041,,"Hasil Review The 1st Universitas Lampung International Confrence on Science, Technology and Environment (1st ULICoSTE)",[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012041'}],,,,,,,,,,,,,,
8,show,2021-06-18 07:58:47,32669,archive,2021-06-18 07:58:47,"[{'eprintid': 32669, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148419', 'format': 'text', 'main': 'Similaritas_P9_Level_of_income__knowledge__and_impact.pdf', 'docid': 148419, 'files': [{'objectid': 148419, 'filesize': 2033681, 'uri': 'http://repository.lppm.unila.ac.id/id/file/386533', 'filename': 'Similaritas_P9_Level_of_income__knowledge__and_impact.pdf', 'hash_type': 'MD5', 'mtime': '2021-06-18 04:40:11', 'datasetid': 'document', 'fileid': 386533, 'mime_type': 'application/pdf', 'hash': '6f352b1f3b8637bfd5b11bbbeb03f2f9'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",301,"Level of income, knowledge, and impact of climate change on
fishing household in Limau Subdistrict, Tanggamus Regency","[{'id': None, 'name': {'honourific': None, 'family': 'Abdul Mutolib', 'lineage': None, 'given': 'Mutolib, Abdul'}}, {'name': {'honourific': None, 'family': 'Ali Rahmat', 'lineage': None, 'given': 'Rahmat, Ali'}, 'id': None}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Indah Listiana', 'given': 'IL'}}, {'name': {'given': 'Rudy', 'family': 'Rudy', 'lineage': None, 'honourific': None}, 'id': 'rudy.1981@fh.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Yoyon Haryanto', 'honourific': None, 'given': 'YH'}, 'id': None}]",other,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/32669,2020-11-01 00:00:00.000000000,Universitas Lampung,['FP26'],disk0/00/03/26/69,pub,8,public,2021-06-18 07:58:47,https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012041,,"The aim of this study was to analyze the level of income, knowledge, and impact of
climate change on fishing household. This research was conducted in Pekon Tegineneng,
Limau Subdistrict, Tanggamus Regency. Limau Subdistrict is the center of marine capture
fishery in Tanggamus Regency. Data collection was carried out from July to August 2020 with
total respondent reached 80 fishing households. Respondents were determined through the
approach of simple random sampling. The data collected consisted of both qualitative and
quantitative data. Data collection was performed through the method of survey, Focus Group
Discussion (FGD), and interview with key informants. Data were analyzed by the qualitative
descriptive approach. The level of monthly income and expenditure per fishing household
amounted to Rp. 4,110,000 and Rp. 3,971,200, respectively. Knowledge level of fisherman
about climate change was considered excellent as most fishermen have already known the
phenomena of climate and environmental changes. The impact of climate change on fishing
household included: difficulty to predict fishing season, change in fishing location (away from
the shore), reducing and unpredictable fishing frequency and fishing time, also declining of fish
catch.",[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012041'}],,,,,,,,,,,,,,
9,show,2021-05-31 02:33:39,31410,archive,2021-05-31 02:33:39,"[{'placement': 1, 'eprintid': 31410, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141965', 'security': 'public', 'docid': 141965, 'main': 'Mutolib_2021_IOP_Conf._Ser.__Earth_Environ._Sci._739_012041.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'df49eb505d2923f6de9d760262b1b0c7', 'datasetid': 'document', 'fileid': 372200, 'mtime': '2021-05-31 00:31:36', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/372200', 'filename': 'Mutolib_2021_IOP_Conf._Ser.__Earth_Environ._Sci._739_012041.pdf', 'objectid': 141965, 'filesize': 896246}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",301,"Level of income, knowledge, and impact of climate change on fishing household in Limau Subdistrict, Tanggamus Regency","[{'id': None, 'name': {'lineage': None, 'family': 'Abdul Mutolib', 'honourific': None, 'given': 'Mutolib, Abdul'}}, {'name': {'given': 'Rahmat, Ali', 'family': 'Ali Rahmat', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'family': 'Helvi Yanfika', 'lineage': None, 'honourific': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}, {'name': {'given': 'IL', 'lineage': None, 'family': 'Indah Listiana', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Rudy', 'honourific': None, 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}, {'id': None, 'name': {'family': 'Yoyon Haryanto', 'lineage': None, 'honourific': None, 'given': 'YH'}}]",conference_item,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/31410,2020-11-01 00:00:00.000000000,,['FP26'],disk0/00/03/14/10,pub,8,public,2021-05-31 02:33:39,https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012041,,"The aim of this study was to analyze the level of income, knowledge, and impact of climate change on fishing household. This research was conducted in Pekon Tegineneng, Limau Subdistrict, Tanggamus Regency. Limau Subdistrict is the center of marine capture fishery in Tanggamus Regency. Data collection was carried out from July to August 2020 with
total respondent reached 80 fishing households. Respondents were determined through the approach of simple random sampling. The data collected consisted of both qualitative and quantitative data. Data collection was performed through the method of survey, Focus Group Discussion (FGD), and interview with key informants. Data were analyzed by the qualitative descriptive approach. The level of monthly income and expenditure per fishing household amounted to Rp. 4,110,000 and Rp. 3,971,200, respectively. Knowledge level of fisherman about climate change was considered excellent as most fishermen have already known the phenomena of climate and environmental changes. The impact of climate change on fishing household included: difficulty to predict fishing season, change in fishing location (away from the shore), reducing and unpredictable fishing frequency and fishing time, also declining of fish catch.",[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012041'}],conference,ULICOSTE2020,Radisson Hotel,18-19 November 2020,TRUE,paper,1-9,,,,,,,
