,date_type,subjects,date,uri,abstract,volume,publisher,divisions,publication,dir,ispublished,rev_number,full_text_status,issn,status_changed,metadata_visibility,pagerange,datestamp,eprint_status,eprintid,lastmod,official_url,documents,userid,number,title,refereed,type,creators,event_title,event_type,contact_email,corp_creators,keywords,related_url,event_location,event_dates,pres_type,id_number,place_of_pub,referencetext,contributors,pages,funders,patent_applicant,projects
0,published,['TJ'],1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/24110,"Insekta merupakan kelompok dominan organisme di bumi, dalam hal keragaman taksonomi dan memiliki fungsi ekologis yang penting, namun sedikit sekali diketahui baik jenis maupun perilakunya (Wilson,1992). Oleh karena diperlukan pengembangan teknologi baru yang berguna untuk sensus serangga. Dimana teknologi baru yang dikembangkan pada riset ini berupa teknologi insect trap berbasis UAVyang dapat bergerak sehingga dapat melakukan sensus serangga ke beberapa tempat. Sensus dapat dilakukan untuk serangga yang berada pada ketinggian rendah maupun tinggi. Survei populasi serangga yang biasa dilakukan dengan menggunakan metode jelajah dengan rute survei yang dipetakan dengan menggunakan GPS (Soekardi et al., 2013) tidak dapat menjangkau serangga pada ketinggian lebih dari 5 meter. Maka wahana baru ini akan lebih efektif dan efesien dalam melakukan survei serangga pada ketinggian. Teknologi insect trap yang dapat bergerak merupakan pengembangan teknologi baru yang dapat digunakan untuk sensus serangga dalam melakukan identifikasi spesies- spesies baru serangga yang ada di alam khususnya serangga yang lingkungan hidupnya di udara.",3,Universitas Singaperbangsa Karawang,['FT7'],BAROMETER,disk0/00/02/41/10,pub,6,public,1979-889X,2020-09-21 03:26:46,show,78-82,2020-09-21 03:26:46,archive,24110,2020-09-21 03:26:46,https://journal.unsika.ac.id/index.php/barometer/article/view/1256,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '1256-Article Text-3514-1-10-20180510.pdf', 'docid': 37813, 'files': [{'fileid': 219520, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '01fd6b08712865bcaa3f149db0763c33', 'objectid': 37813, 'filesize': 597782, 'uri': 'http://repository.lppm.unila.ac.id/id/file/219520', 'filename': '1256-Article Text-3514-1-10-20180510.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-20 08:35:11'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37813', 'security': 'public', 'placement': 1, 'eprintid': 24110}]",217,1.0,PEMBUATAN INSECT TRAP BERBASIS UAV (UNMANNED AERIAL VEHICLE),TRUE,article,"[{'name': {'given': 'Martinus', 'lineage': None, 'family': '.', 'honourific': None}, 'id': 'martinus@eng.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Aripta', 'lineage': None, 'given': 'Titin Putri'}, 'id': None}, {'name': {'given': 'Ananda Dharma', 'family': 'Ningarta', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': '.', 'lineage': None, 'given': 'Wahyu'}}]",,,,,,,,,,,,,,,,,
1,published,['TJ'],1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/24111,"Pemanasan global dan semakin tingginya harga bahan bakar minyak untuk operasional kendaraan menjadikan kendaraan konvensional mulai tidak menarik. Namun, karena tidak adanya pilihan lain (ketersediaan kendaraan listrik di pasaran) dengan terpaksa kendaraan konvensional masih menjadi pilihan utama masyarakat.  Solusi untuk menanggulanginya yaitu dengan menghadirkan kendaraan yang ramah lingkungan dengan bahan bakar listrik. Pada penelitian ini dikembangkan sebuah sistem kontrol motor DC berbasis mikrokontroler Arduino. Sistem ini kemudian diaplikasikan pada sebuah prototipe kendaraan listrik Raden Intan 2. Pada pengujian ini, kecepatan ditahan pada rerata 35 km/jam. Sistem kontrol motor DC ini berjalan paralel dengan throttle dari pengendara. Pengendara akan memiliki kebebasan untuk mengatur throttle selama kecepatan masih di bawah batas atas 40 km/jam Pemakaian energi dari baterai akan tergantung dari throttle yang dikendalikan oleh pengendara dan auto cut off system yang dikendalikan Arduino. Apabila kecepatan melebihi ambang batas maka sistem auto cut off akan mengambil alih fungsi throttle dari pengendara.",3,Universitas Singaperbangsa Karawang,['FT7'],BAROMETER,disk0/00/02/41/11,pub,6,public,1979-889X,2020-09-21 03:26:55,show,122-124,2020-09-21 03:26:55,archive,24111,2020-09-21 03:26:55,https://journal.unsika.ac.id/index.php/barometer/article/view/1391,"[{'docid': 37814, 'main': '1391-Article Text-3924-1-10-20180809.pdf', 'files': [{'mtime': '2020-09-20 08:38:06', 'hash_type': 'MD5', 'filename': '1391-Article Text-3924-1-10-20180809.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/219526', 'filesize': 219473, 'objectid': 37814, 'hash': '2eb7c77df7be6da866ecc6e4665725c0', 'mime_type': 'application/pdf', 'fileid': 219526, 'datasetid': 'document'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 24111, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37814', 'pos': 1, 'security': 'public'}]",217,2.0,PEMBUATAN SISTEM KONTROL MOTOR DC UNTUK PROTOTIPE KENDARAAN LISTRIK RADEN INTAN 2,TRUE,article,"[{'name': {'honourific': None, 'family': '.', 'lineage': None, 'given': 'Martinus'}, 'id': 'martinus@eng.unila.ac.id'}, {'id': None, 'name': {'family': 'Juliardi', 'lineage': None, 'honourific': None, 'given': 'Arif'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Adi', 'given': 'I Putu Dharma'}}]",,,,,,,,,,,,,,,,,
2,published,['TJ'],2018-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9845,"The train is one of the biggest favorite transportation in Indonesia. One of the most important components of a train is the braking system. Brakes have several functions such as reducing speed and stopping trains. One of the most frequently replaced components is the brake block. Since 2016, train brake blocks in Indonesia have started to change from metal brakes to composite brakes, but unfortunately Indonesia must import from abroad such as China, India and Australia. Geopolymers with carbon fiber can be an alternative material to replace conventional brake blocks, because geopolymer composites have more advantages than conventional brake blocks such as cheaper, light in weight, and high temperature resistant. There was 3 methods experiment from geopolimer specimen that is friction test, flextural test, and SEM test. The test result show that composite who contain Fly Ash, Kaolin, of Silica Fume, CaO, and Carbon Fiber/ Fiber glass has  0,41 of friction coeficien, for flexural test, it can reach a strength of about 86 MPa with Flexural Modulus around 20 GPa and of SEM test.",,,['FT7'],,disk0/00/00/98/45,pub,8,public,,2018-11-14 02:50:27,show,450-455,2018-11-14 02:50:27,archive,9845,2018-11-14 02:50:27,http://snttm2018.bkstm.org/,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22858', 'pos': 1, 'eprintid': 9845, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'filesize': 3405607, 'objectid': 22858, 'filename': 'Makalah SNTTM 2018_Jamiatul Akmal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/92842', 'hash_type': 'MD5', 'mtime': '2018-11-13 06:19:14', 'fileid': 92842, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7c2f94156c99648c71d314d9a8946dc4'}], 'main': 'Makalah SNTTM 2018_Jamiatul Akmal.pdf', 'docid': 22858}]",24,,STUDY OF CARBON FIBER REINFORCED GEOPOLYMERS COMPOSITE FOR TRAIN'S BRAKE BLOCKS,TRUE,conference_item,"[{'name': {'honourific': None, 'family': 'Akmal', 'lineage': None, 'given': 'Jamiatul'}, 'id': 'jamiatulakmal@gmail.com'}, {'name': {'lineage': None, 'family': 'Zulhendri', 'honourific': None, 'given': 'Zulhendri'}, 'id': 'zulhendri.h@eng.unila.ac.id'}, {'id': None, 'name': {'given': 'Taufik', 'honourific': None, 'lineage': None, 'family': 'Hidayatullah'}}]","SNTTM XVII, Oktober 2018",conference,jamiatul.akmal@eng.unila.ac.id,['Universitas Lampung'],"Geopolimer, blok rem, uji gesek, uji lentur, uji SEM","[{'url': 'http://snttm2018.bkstm.org/', 'type': 'pub'}]","Kupang, NTT",4-5 Oktober 2018,paper,,,,,,,,
3,published,['TJ'],2018-10-04 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13233,"Abstract. The train is one of the biggest favorite transportation in Indonesia. One of the most important
components of a train is the braking system. Brakes have several functions such as reducing speed and
stopping trains. One of the most frequently replaced components is the brake block. Since 2016, train brake
blocks in Indonesia have started to change from metal brakes to composite brakes, but unfortunately
Indonesia must import from abroad. Geopolymers with carbon fiber can be an alternative material to replace
conventional brake blocks, because geopolymer composites have more advantages than conventional brake
blocks such as cheaper, light in weight, and high temperature resistant. There was 3 methods experiment
from geopolimer specimen that is friction test, flextural test, and SEM test. The test result show that
composite who contain Fly Ash 50%, Kaolin 40%, of Silica Fume 10%, CaO 12 grams, Carbon Fiber and
sulfur has higher value of friction coeficien when we add sulfur 10% than specimen without sulfur and has a
lower value of friction coeficien when we add carbon fiber 10% than specimen without carbon fiber, for
flexural test it can reach a strength of about 86 MPa with Flexural Modulus around 20 GPa . Microstrucutre
from SEM test show that geopolymer without fiber varbon have crack who make a low flexural strength.
And geopolymer with carbon fiver have not any crack and make a strength more higher.",,,['FT7'],,disk0/00/01/32/33,pub,10,public,,2019-05-24 07:19:20,show,450-455,2019-05-24 07:19:20,archive,13233,2019-05-24 07:19:20,https://docplayer.info/123320641-Snttm-xvii-prosiding-seminar-nasional-tahunan-teknik-mesin-2018.html,"[{'format': 'text', 'main': 'Makalah SNTTM 2018 Kupang_Jamiatul Akmal.pdf', 'docid': 26237, 'files': [{'mtime': '2019-05-24 02:14:29', 'hash_type': 'MD5', 'filename': 'Makalah SNTTM 2018 Kupang_Jamiatul Akmal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/116128', 'objectid': 26237, 'filesize': 3405607, 'hash': '7c2f94156c99648c71d314d9a8946dc4', 'mime_type': 'application/pdf', 'fileid': 116128, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 13233, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26237'}]",24,,Study of Carbon Fiber And Sulfur Reinforced Geopolymers Composite for Train's Brake Block,FALSE,conference_item,"[{'id': 'jamiatulakmal@gmail.com', 'name': {'given': 'Jamiatul', 'honourific': None, 'family': 'Akmal', 'lineage': None}}, {'name': {'given': 'Zulhendri', 'honourific': None, 'lineage': None, 'family': 'Zulhendri'}, 'id': 'zulhendri.h@eng.unila.ac.id'}, {'name': {'family': 'Suudi', 'lineage': None, 'honourific': None, 'given': 'Ahmad'}, 'id': 'ahmad.suudi@eng.unila.ac.id'}, {'id': None, 'name': {'given': 'Taufik', 'family': 'Hidayatullah', 'lineage': None, 'honourific': None}}]","SNTTM XVII, Oktober 2018",conference,,['Jurusan Teknik Mesin Universitas Lampung'],,,"Kupang, NTT",4-5 Oktober 2018,paper,,,,,,,,
4,published,['TJ'],2018-10-05 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9917,"Energi matahari dapat diubah menjadi energi listrik melalui penggunaan sel surya (photovoltaic cell). Akan tetapi efisiensi photovoltaic hanya berkisar 12%-18% dimana lebih dari 80% radiasi yang diterima akan diserap menjadi panas. Energi panas ini akan meningkatkan temperatur permukaan photovoltaic sehingga mengurangi efisiensi listrik sebesar 0,5% setiap peningkatan temperatur permukaan photovoltaic (PV) 1 oC. Sebagai upaya untuk menstabilkan temperatur permukaan photovoltaic tersebut maka dibutuhkan kolektor termal surya yang ditempelkan dibawah permukaan PV. Jenis kolektor ini dikenal dengan kolektor hybrid photovoltaic thermal (PV/T). Sementara itu iklim lingkungan yang berbeda akan berpengaruh terhadap unjuk kerja suatu kolektor PV/T. Penelitian ini bertujuan untuk mengetahui unjuk kerja kolektor surya hybrid photovoltaic thermal (PV/T) aliran serpentin yang dikarakterisasi pada iklim tropis Indonesia. Pengujian unjuk kerja termal mengikuti standar EN 12975 sistem indoor menggunakan solar simulator. Hasil penelitian ini menunjukkan bahwa peningkatan laju aliran massa fluida 30% memberikan peningkatan yang paling maksimum untuk parameter rugi-rugi termal dan pressure drop masing-masing 45% dan 51%. Sementara itu efisiensi listrik mengalami peningkatan sebesar 2.5% jika dibandingkan dengan efisiensi listrik kolektor PV tanpa kolektor termal.",,,['FT7'],,disk0/00/00/99/17,pub,7,public,,2018-11-14 09:53:47,show,198-202,2018-11-14 09:53:47,archive,9917,2018-11-14 09:53:47,http://snttm2018.bkstm.org/Pengumuman,"[{'placement': 1, 'eprintid': 9917, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22926', 'pos': 1, 'security': 'public', 'main': 'Amrizal.pdf', 'files': [{'datasetid': 'document', 'fileid': 93389, 'mime_type': 'application/pdf', 'hash': '51d9515a5624048379ca8cd607db516e', 'hash_type': 'MD5', 'mtime': '2018-11-14 09:02:26', 'objectid': 22926, 'filesize': 5396533, 'uri': 'http://repository.lppm.unila.ac.id/id/file/93389', 'filename': 'Amrizal.pdf'}], 'docid': 22926, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",716,,Performance analysis of hybrid PV/T solar collector under the tropical climate conditions of Indonesia,TRUE,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Amrizal', 'given': 'Amrizal'}, 'id': 'amrizal@eng.unila.ac.id'}, {'id': 'amrul@eng.unila.ac.id', 'name': {'given': 'Amrul', 'lineage': None, 'family': 'Amrul', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Miftahul', 'lineage': None, 'given': 'Aziz'}, 'id': 'miftahulaziz70@gmail.com'}, {'id': 'adi.supriantoo@gmail.com', 'name': {'given': 'Supriyanto', 'honourific': None, 'lineage': None, 'family': 'Adi'}}]",Seminar Nasional Teknik Mesin se Indonesia SNTTM XVII,conference,,,,,Kupang NTT,4-5 Oktober,speech,,,,,,,,
5,published,['TP'],2018-07-24 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/8752,"Abstrak : Dalam ilmu komposit, diinginkan material yang lebih ringan namun memiliki kekuatan dan kualitas yang dapat menyamai bahkan melebihi material yang telah ada sebelumnya. Telah dilakukan penelitian dengan tujuan untuk mengetahui pengaruh penambahan serat selulosa hasil delignifikasi dari gedebok pisang terhadap  kuat tarik, kuat  tekan dan daya redam suara komposit beton. Untuk mencapai tujuan tersebut, dilakukan pencampuran antara serat selulosa dengan bahan  adukan beton  mutu K-275 dengan variasi substitusi 0% dan 5% yang dimana selulosa tersebut divariasikan dalam bentuk serbuk dan anyaman. Delignifikasi kandungan lignin dari gedebok pisang dilakukan dengan metode perendaman dan pengeringan tanpa variasi apapun dan menghasilkan serbuk yang memiliki kandungan selulosa  sebesar 13,0388% , hemiselulosa 18,2796% serta lignin 0,6684%. Penelitian ini menghasilkan komposit beton yang memiliki kuat tarik dan kuat tekan lebih rendah dibandingkan dengan beton normal. Nilai kuat tarik beton normal 94,5 kg/cm2, beton serbuk selulosa 71,4 kg/cm2, dan beton anyaman selulosa 90,3 kg/cm2. Nilai kuat tekan beton normal 334,22 kg/cm2, beton serbuk selulosa 215,7 kg/cm2, dan beton anyaman selulosa 157,98 kg/cm2. Sedangkan untuk daya redam suara beton anyaman selulosa memiliki daya redam tertinggi dibandingkan beton lainnya dengan intensitas suara yang terserap yaitu 52-68 dB. 
 
Kata kunci: Komposit, Beton, Kuat tarik, Kuat tekan, Daya redam suara",6,Jurnal Kelitbangan,"['FT6', 'FT7', 'FT4', 'UNILA4', 'UNILA3', 'UNILA5', 'UNILA2']",Jurnal Kelitbangan,disk0/00/00/87/52,pub,6,public,2354-5704,2018-10-26 10:03:31,show,105-119,2018-10-26 10:03:31,archive,8752,2018-10-26 10:03:31,https://journal Balitbangdalampung.org,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 21837, 'main': 'kedebok pisang.pdf', 'files': [{'fileid': 85292, 'datasetid': 'document', 'hash': '8808c6cadbd117011126e64b93d50e70', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-08-28 06:42:27', 'filesize': 1179673, 'objectid': 21837, 'filename': 'kedebok pisang.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85292'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21837', 'pos': 1, 'eprintid': 8752, 'placement': 1}]",951,2.0,ANALISIS REDUKSI SUARA DAN KUAT TARIK KOMPOSIT BETON SERAT GEDEBOK PISANG HASIL DELIGNIFIKASI DENGAN PELARUT NATRIUM HIDROKSIDA (NAOH),FALSE,article,"[{'id': 'edwinazwar@yahoo.co.id', 'name': {'given': 'Edwin', 'honourific': None, 'lineage': None, 'family': 'Azwar'}}, {'id': None, 'name': {'given': 'Annisa', 'lineage': None, 'family': 'Mufida', 'honourific': None}}, {'name': {'given': 'Rouf', 'family': 'Suprayogi', 'lineage': None, 'honourific': None}, 'id': None}]",,,,,,,,,,,,,,,,,
6,published,['TJ'],2018-07-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18275,,,American Institute of Physics Publishing Ltd,['FT7'],,disk0/00/01/82/75,unpub,7,public,,2020-03-03 07:16:05,show,,2020-03-03 07:16:05,archive,18275,2020-03-03 07:16:05,http://aip.scitation.org/toc/apc/1983/1,"[{'placement': 1, 'eprintid': 18275, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31427', 'pos': 1, 'security': 'public', 'files': [{'hash': 'f92db4c107d15f9928688cb7567975ec', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 153861, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153861', 'filename': 'Similarity check result for The_effect_of_diffusion_treatment_on_the_mechanica.pdf', 'filesize': 1674140, 'objectid': 31427, 'mtime': '2020-02-27 10:52:30', 'hash_type': 'MD5'}], 'main': 'Similarity check result for The_effect_of_diffusion_treatment_on_the_mechanica.pdf', 'docid': 31427, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",451,,Similarity check result: The effect of diffusion treatment on the mechanical properties of hot-dip aluminumc oating on AISI P20 steel,,other,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'honourific': None, 'lineage': None, 'family': 'Badaruddin'}}]",,,,,,,,,,https://aip.scitation.org/doi/abs/10.1063/1.5046277,AIP Conference Proceeeding: ICOME 2017,,,,,,
7,published,['TJ'],2018-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18273,,,Penerbit Program Studi Teknik Mesin-Universitas Nusa Cendana-Kupang,['FT7'],,disk0/00/01/82/73,unpub,7,public,,2020-03-03 07:16:00,show,,2020-03-03 07:16:00,archive,18273,2020-03-03 07:16:00,http://prosiding.bkstm.org/prosiding/seminar/2018,"[{'eprintid': 18273, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31425', 'format': 'text', 'main': 'Similarity check result for Low_Cycle_Fatigue_Analysis_of_an_Annealed_AISI_414.pdf', 'docid': 31425, 'files': [{'mime_type': 'application/pdf', 'hash': '2f810b850cd4cbd74bb8cf20bfe40914', 'fileid': 153846, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/153846', 'filename': 'Similarity check result for Low_Cycle_Fatigue_Analysis_of_an_Annealed_AISI_414.pdf', 'objectid': 31425, 'filesize': 2414166, 'mtime': '2020-02-27 10:46:01', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",451,,Similarity check results: Low cycle fatigue analysis of an annealed AISI 4140 steel,,other,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'family': 'Badaruddin', 'lineage': None, 'honourific': None}}]",,,,,,,,,,,SNTTM 2018,,,,,,
8,published,['TJ'],2018-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9967,"An AISI 4140 steel is widely applied for machine element components on vehicles. A Chemical
compositions of alloy elements are 0.443C, 1.15Cr, 0.805Mn, 0.320Cu, 0.253Ni, 0.308Si, dan 0.198Mo
(wt.%). The steel was subjected to annealing-heat treatment for increase of the ductility, and thus the plastic
region is a larger size than the elastic region. The mechanical strength and the low cycle fatigue properties of
the annealed steel were tested in according to ASTM E8 standard with a displacement control of 0.2 mm/min
and in according to ASTM E606 standard with the strain amplitude total in ranging of 0.003-0.007 mm/mm
under a constant strain rate of 0.005/s, respectively. The tensile test results show that the annealing treatment
on AISI 4140 significantly decreased the mechanical properties of the steel. However, the plastic strain
energy in the steel with annealing treatment is larger than that of the steel without annealing treatment. A
large plastic energy in the steel gives a contribution in improvement of the steel’s fatigue life, for example;
the fatigue life of annealed steel increases by 2.43 fold which is fatigued under a strain amplitude of 0.003
mm/mm. The empirical equation obtained from the present research can be used to predict the fatigue life of
annealed AISI 4140 steel in terms of elastic condition,",18,Universitas Cendana Kupang,['FT7'],Seminar Nasional Tahunan Teknik Mesin 2018,disk0/00/00/99/67,pub,6,public,2623-0313,2018-11-15 08:07:30,show,56-61,2018-11-15 08:07:30,archive,9967,2018-11-15 08:07:30,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22983', 'security': 'public', 'placement': 1, 'eprintid': 9967, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Prosiding SNTTM XVII 2018 Kupang.pdf', 'files': [{'hash': 'c11f3f8008fabe587f3cdc9a50f09c9b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 93772, 'filename': 'Prosiding SNTTM XVII 2018 Kupang.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/93772', 'objectid': 22983, 'filesize': 3417130, 'mtime': '2018-11-15 03:22:54', 'hash_type': 'MD5'}], 'docid': 22983, 'format': 'text'}]",451,,Low Cycle Fatigue Analysis of an Annealed AISI 4140 Steel,TRUE,article,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Badaruddin', 'lineage': None, 'given': 'Mohammad'}}, {'id': 'purnadi1215021065@gmail.com', 'name': {'given': 'Purnadi Sri', 'family': 'Kuncoro', 'lineage': None, 'honourific': None}}, {'id': 'ahmad.suudi@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Suudi', 'given': 'Ahmad'}}, {'id': 'sugiyanto.1957@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Sugiyanto', 'honourific': None, 'given': 'Sugiyanto'}}]",,,,,,,,,,,,,,,,,
9,published,"['TJ', 'TN']",2018-07-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9965,AISI P20 steel was coated by dipping it into a molten Al,1983,American Institute of Physics,['FT7'],AIP Conference Proceedings,disk0/00/00/99/65,pub,9,public,978-0-7354-1699-4,2018-11-15 08:07:28,show,050004-1,2018-11-15 08:07:28,archive,9965,2018-11-15 08:07:28,https://aip.scitation.org/toc/apc/1983/1?expanded=1983,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22981', 'security': 'public', 'placement': 1, 'eprintid': 9965, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'datasetid': 'document', 'fileid': 93749, 'mime_type': 'application/pdf', 'hash': 'a45ecd6f5ce7589b51b6ec4dd17dae22', 'hash_type': 'MD5', 'mtime': '2018-11-15 03:07:32', 'filesize': 835390, 'objectid': 22981, 'uri': 'http://repository.lppm.unila.ac.id/id/file/93749', 'filename': '[doi 10.1063_1.5046277] Badaruddin, M.; Riza, R. Tommy; Zulhanif, -- AIP Conference Proceedings [Author(s) DISRUPTIVE INNOVATION IN MECHANICAL ENGINEERING FOR INDUSTRY COMPETITIVENESS- Proceedings.pdf'}], 'main': '[doi 10.1063_1.5046277] Badaruddin, M.; Riza, R. Tommy; Zulhanif, -- AIP Conference Proceedings [Author(s) DISRUPTIVE INNOVATION IN MECHANICAL ENGINEERING FOR INDUSTRY COMPETITIVENESS- Proceedings.pdf', 'docid': 22981, 'format': 'text'}]",451,,"The effect of diffusion treatment on the mechanical properties of hot-dip aluminum
coating on AISI P20 steel",TRUE,article,"[{'name': {'honourific': None, 'family': 'Badaruddin', 'lineage': None, 'given': 'Mohammad'}, 'id': 'mbruddin@eng.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Tomi', 'lineage': None, 'given': 'Riza'}, 'id': 'tomi@yahoo.com'}, {'name': {'given': 'zulhanif', 'family': 'Zulhanif', 'lineage': None, 'honourific': None}, 'id': 'zulhanif1973@gmail.cim'}]",,,,,,[{'url': 'https://doi.org/10.1063/1.5046277'}],,,,10.1063/1.5046277,,"1. A. Al-Mazrouee and R. K. S. Raman, J. Pres. Vess. Technol. 129, 454","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,
