,divisions,publisher,dir,ispublished,rev_number,full_text_status,status_changed,date_type,subjects,date,uri,abstract,corp_creators,title,type,creators,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,documents,userid,refereed,pagerange,number,official_url,publication,issn,volume,succeeds,related_url,id_number,thesis_name,referencetext,thesis_type,department,institution,contributors
0,['FKIP3'],International Knowledge Sharing Platform IISTE,disk0/00/02/27/84,pub,9,public,2020-06-26 13:39:24,published,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/22784,"The research and development of worksheet based on multiple intelligences aims to develop and describe the effectiveness of worksheet based on Multiple Intelligences to optimizing the ability of creative thinking students.The type of research used is research and development that refers to the theory of Borg & Gall. The population of this research is the students of 5th grade of Primary School in Metro East. The sample of this research was 33 students of 5th grade in Primary School is determined using purposive sampling technique. Data were collected
used questionnaires and test questions. The results showed that worksheet based on Multiple Intelligences
effectively optimize the creative thinking students.","['Faculty of Teacher Training and Education, University of Lampung']",Developing Worksheet Based on Multiple Intelligences to Optimize the Creative Thinking Student,other,"[{'name': {'honourific': None, 'family': 'Alben Ambarita', 'lineage': None, 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}, {'id': None, 'name': {'given': 'Luthfiana', 'lineage': None, 'family': 'Anida', 'honourific': None}}, {'id': None, 'name': {'given': 'Suwarjo', 'family': 'Suwarjo', 'lineage': None, 'honourific': None}}]",show,2020-06-26 13:39:24,22784,archive,2020-06-26 13:39:24,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36289', 'eprintid': 22784, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 36289, 'main': '3. Developing_Worksheet_Based_on_Multiple_Intelligenc.pdf', 'files': [{'hash': 'f2f5fb58b304af05a5d9d987537d9575', 'mime_type': 'application/pdf', 'fileid': 209090, 'datasetid': 'document', 'mtime': '2020-06-26 04:09:56', 'hash_type': 'MD5', 'filename': '3. Developing_Worksheet_Based_on_Multiple_Intelligenc.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209090', 'objectid': 36289, 'filesize': 1857200}]}]",825,,,,,,,,,,,,,,,,
1,['FKIP3'],Journal of Education and Practice,disk0/00/02/27/86,pub,9,public,2020-06-26 13:40:09,published,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/22786,"Integrated thematic instruction in Elementary Schools have not always offered promising results for elementary students in Indonesian context. Additional interventions could be an alternative that makes thematic instructions at elementary levels achieve better results. One way that could be applicable is by the use of students’ worksheets which support learning for students. The purposes of study were (1) to test the use of worksheets inintegrated thematic instructions in a scientific approach, and (2) to see the effectiveness of worksheets in
integrated thematic instruction. This research was conducted by using research and development method in selected elementary schools in Metro, Lampung, Indonesia. The results showed that the students worksheets developed based on scientific approaches, validated by material experts, learning method experts, as well as teachers’ classroom teachers, were found effective to be used in integrated thematic instructions. The students’ achievement and the teaching learning process were found better.","['Faculty of Teacher Training and Education, University of Lampung']",Using Worksheets in Integrated Thematic Instruction at Elementary Schools,other,"[{'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'given': 'Darsono', 'honourific': None, 'lineage': None, 'family': 'Darsono'}}, {'name': {'honourific': None, 'family': 'Alben Ambarita', 'lineage': None, 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Eni', 'lineage': None, 'given': 'Setianingsi'}}, {'id': None, 'name': {'given': 'Kadaryanto', 'lineage': None, 'family': 'Budi', 'honourific': None}}]",show,2020-06-26 13:40:09,22786,archive,2020-06-26 13:40:09,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36291', 'security': 'public', 'placement': 1, 'eprintid': 22786, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '5. Using_Worksheets_in_Integrated_Thematic_Instructio.pdf', 'docid': 36291, 'files': [{'datasetid': 'document', 'fileid': 209108, 'hash': '13802e26cae003b3447f43e547042574', 'mime_type': 'application/pdf', 'objectid': 36291, 'filesize': 1954258, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209108', 'filename': '5. Using_Worksheets_in_Integrated_Thematic_Instructio.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-26 04:15:41'}], 'format': 'text'}]",825,,,,,,,,,,,,,,,,
2,['FKIP3'],Journal of Education and Practice,disk0/00/02/27/95,pub,9,public,2020-06-26 13:41:44,published,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/22795,"This study aims to develop performance assesment instrument in thematic learning of 4th grader elementary school students. The type of research used is research and development that refers to Borg & Gall’s theory. The population of this study is all fourth grade students from the Elementary School of Negeri Agung District, Way Kanan Regency. Samples were taken by using Random Sampling technique with total of 34 students of Public Elementary School 01 of Kalipapan. Data were collected through questionnaires and test questions. The results showed that
the developed performance assesment instrument was heoretically valid and empirically reliable. This was provedfrom the result of questionnaires by experts and teachers who stated that the developed product was theoretically valid and the result of reliability test obtained a score of 0.67 which proved that the performance assessment instrument was empirically valid","['Faculty of Teacher Training and Education, University of Lampung']",Development of Performance Assessment Instrument in Thematic Learning of 4th Grader Elementary School,other,"[{'id': None, 'name': {'honourific': None, 'family': 'Eti', 'lineage': None, 'given': 'Ernawati'}}, {'id': 'lilik.sabdaningtyas@fkip.unila.ac.id', 'name': {'given': 'LS', 'honourific': None, 'family': 'Lilik', 'lineage': None}}, {'name': {'family': 'Pargito', 'lineage': None, 'honourific': None, 'given': 'Pargito'}, 'id': 'pargito.1959@fkip.unila.ac.id'}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Alben Ambarita', 'given': 'Alben'}}]",show,2020-06-26 13:41:44,22795,archive,2020-06-26 13:41:44,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 36300, 'main': '14. Development_of_Performance_Assessment_Instrument_i.pdf', 'files': [{'datasetid': 'document', 'fileid': 209189, 'hash': '9bd3a6e369b1fea05e6292d05c24272f', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-26 04:46:43', 'objectid': 36300, 'filesize': 2369184, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209189', 'filename': '14. Development_of_Performance_Assessment_Instrument_i.pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36300', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22795}]",825,,,,,,,,,,,,,,,,
3,['FKIP3'],Journal of Education and Practice,disk0/00/02/28/02,pub,8,public,2020-06-26 13:35:02,published,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/22802,"This study aims to develop performance assesment instrument in thematic learning of 4th grader elementary school students. The type of research used is research and development that refers to Borg & Gall’s theory. The population of this study is all fourth grade students from the Elementary School of Negeri Agung District, Way Kanan Regency. Samples were taken by using Random Sampling technique with total of 34 students of Public Elementary School 01 of Kalipapan. Data were collected through questionnaires and test questions. The results showed that
the developed performance assesment instrument was theoretically valid and empirically reliable. This was proved
from the result of questionnaires by experts and teachers who stated that the developed product was theoretically valid and the result of reliability test obtained a score of 0.67 which proved that the performance assessment instrument was empirically valid.","['Faculty of Teacher Training and Education, University of Lampung']",Development of Performance Assessment Instrument in Thematic Learning of 4th Grader Elementary School,article,"[{'name': {'given': 'Ernawati', 'honourific': None, 'family': 'Eti', 'lineage': None}, 'id': None}, {'name': {'given': 'LS', 'honourific': None, 'family': 'Lilik', 'lineage': None}, 'id': 'lilik.sabdaningtyas@fkip.unila.ac.id'}, {'name': {'given': 'Pargito', 'lineage': None, 'family': 'Pargito', 'honourific': None}, 'id': 'pargito.1959@fkip.unila.ac.id'}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'given': 'Alben', 'honourific': None, 'lineage': None, 'family': 'Alben Ambarita'}}]",show,2020-06-26 13:35:02,22802,archive,2020-06-26 13:35:02,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36307', 'pos': 1, 'eprintid': 22802, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '14. Development of Performance Assessment Instrument in Thematic Learning of 4th Grader Elementary School.pdf', 'files': [{'hash': '1a2372307d489ed597744262f7d1244c', 'mime_type': 'application/pdf', 'fileid': 209242, 'datasetid': 'document', 'filename': '14. Development of Performance Assessment Instrument in Thematic Learning of 4th Grader Elementary School.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209242', 'objectid': 36307, 'filesize': 220250, 'mtime': '2020-06-26 05:13:53', 'hash_type': 'MD5'}], 'docid': 36307}]",825,TRUE,52-59,26.0,http://www.iiste.org,Journal of Education and Practice,ISSN 2222-1735 (Paper) ISSN 2222-288X (Online),9.0,,,,,,,,,
4,['FKIP3'],Journal of Education and Practice,disk0/00/01/00/16,pub,8,public,2018-11-15 08:07:25,,['L1'],1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/10016,"This study aims to develop a valid and reliable test instrument to measure students' mathematical literacy in
elementary schools. The type of research used is research and development that refers to the theory of Tessmer.
The population in this study were students of class V elementary school in Metro. The sampling technique uses
cluster technique. The sample of this research is class V students who amounted to 62 in Muhammadiyah
Elementary School and Elementary School of 7
th
 Metro. Data were collected through questionnaires and test
questions. The results showed that the instrument of mathematics literacy test developed has qualify the criteria
of writing questions rules, valid and realiabel to measure students' mathematical literacy.
Keywords: Instrument test; mathematical literacy; Elementary School",['Universitas Lampung'],"Development of Instrument Test on Mathematical Literature
Learning in Elementary School",article,"[{'id': 'lilik.sabdaningtyas@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Lilik', 'given': 'LS'}}]",show,2018-11-15 08:07:25,10016,archive,2018-11-15 08:07:25,"[{'format': 'text', 'files': [{'filename': 43125, 'uri': 'http://repository.lppm.unila.ac.id/id/file/94098', 'filesize': 17896, 'objectid': 23039, 'mtime': '2018-11-15 07:21:50', 'hash_type': 'MD5', 'mime_type': 'application/xml', 'hash': '10ad872b1c71286f604116f20d240d7d', 'datasetid': 'document', 'fileid': 94098}], 'main': 43125, 'docid': 23039, 'language': 'id', 'mime_type': 'application/xml', 'rev_number': 3, 'eprintid': 10016, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23039', 'pos': 1}]",758,FALSE,1-9,23.0,https://www.iiste.org/Journals,The Implementation of Policies in Developing Four Dimensions of Teacher’s Professionalism,2222-1735 (paper); 2222-288X (online),9.0,,,,,,,,,
5,['FKIP3'],"American Scientific Research Journal for Engineering, Technology, and Sciences (ASRJETS)",disk0/00/02/27/87,pub,9,public,2020-06-26 13:40:14,published,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/22787,"This research aims to develop a thematic textbook product based on nation culture and character with the subtheme of ‘beautiful cultural diversity of my country’, and to know the effectivity level of the thematic textbook. The development of this thematic textbook was using Borg & Gall's research and development model, which involve two schools, i.e. Public Elementary School 1 and 2 of Langkapura, Bandar Lampung City. Data were collected by observations, tests and questionnaires. Data analysis techniques used were qualitative and quantitative techniques. The result of this research is the thematictextbook product based on nation culture andcharacter with the validity level categorized as ‘very good’ and the thematic textbook based on nation cultureand character was effective to improve learning outcomes.","['Faculty of Teacher Training and Education, University of Lampung']",Development of Thematic Textbook Based on Nation Culture and Character for 4th Grader Student,other,"[{'name': {'honourific': None, 'family': 'Listianawati', 'lineage': None, 'given': 'Listianawati'}, 'id': 'Listianawati@gmail.com'}, {'id': None, 'name': {'given': 'Nurlaksana eko', 'family': 'Nurlaksana eko', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Darsono', 'given': 'Darsono'}, 'id': 'darsono.1954@fkip.unila.ac.id'}, {'name': {'given': 'Alben', 'honourific': None, 'lineage': None, 'family': 'Alben Ambarita'}, 'id': 'alben_ambarita57@yahoo.com'}]",show,2020-06-26 13:40:14,22787,archive,2020-06-26 13:40:14,"[{'docid': 36292, 'main': '6. Development_of_Thematic_Textbook_Based_on_Nation_C.pdf', 'files': [{'datasetid': 'document', 'fileid': 209117, 'mime_type': 'application/pdf', 'hash': '6cae74a76eb9904e2b7795a2dbce4963', 'filesize': 2583965, 'objectid': 36292, 'filename': '6. Development_of_Thematic_Textbook_Based_on_Nation_C.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209117', 'hash_type': 'MD5', 'mtime': '2020-06-26 04:18:35'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 22787, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36292', 'security': 'public'}]",825,,,,,,,,,,,,,,,,
6,['FKIP3'],Global Society of Scientific Research and Researchers,disk0/00/04/71/68,pub,5,public,2022-12-09 02:19:44,published,['L1'],2018-07-18 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47168,"Abstract 
This research aims to develop a thematic textbook product based on nation culture and character with thesubtheme of ‘beautiful cultural diversity of my country’, and to know the effectivity level of the thematictextbook. The development of this thematic textbook was using Borg & Gall's research and development model,which involve two schools, i.e. Public Elementary School 1 and 2 of Langkapura, Bandar Lampung City. Datawere collected by observations, tests and questionnaires. Data analysis techniques used were qualitative andquantitative techniques. The result of this research is the thematic textbook product based on nation culture andcharacter with the validity level categorized as ‘very good’ and the thematic textbook based on nation cultureand character was effective to improve learning outcomes.",,Development of Thematic Textbook Based on Nation Culture and Character for 4th Grader Student,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Listianawati', 'given': 'Listianawati'}, 'id': 'Listianawati@gmail.com'}, {'id': None, 'name': {'given': 'Nurlaksana eko', 'honourific': None, 'family': 'Nurlaksana eko', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Darsono', 'given': 'Darsono'}, 'id': 'darsono.1954@fkip.unila.ac.id'}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Alben Ambarita', 'given': 'Alben'}}]",show,2022-12-09 02:19:44,47168,archive,2022-12-09 02:19:44,"[{'placement': 1, 'eprintid': 47168, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186128', 'pos': 1, 'security': 'public', 'main': 'document.pdf', 'docid': 186128, 'files': [{'hash_type': 'MD5', 'mtime': '2022-12-06 09:22:25', 'objectid': 186128, 'filesize': 133760, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518013', 'filename': 'document.pdf', 'fileid': 518013, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '995b421fea72c4197483ff84f1b84c3f'}], 'format': 'text', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}, {'placement': 2, 'eprintid': 47168, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186129', 'security': 'public', 'main': 'Uji Turnitin_Development of Thematic Textbook Based on Nation Culture and Character for 4th Grader Student.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'ca501f6324570422f5b8bd0f79163539', 'datasetid': 'document', 'fileid': 518014, 'mtime': '2022-12-08 13:59:03', 'hash_type': 'MD5', 'filename': 'Uji Turnitin_Development of Thematic Textbook Based on Nation Culture and Character for 4th Grader Student.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518014', 'filesize': 2170409, 'objectid': 186129}], 'docid': 186129, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'content': 'other'}]",709,TRUE,278-298,1.0,https://asrjetsjournal.org/index.php/American_Scientific_Journal/article/view/4220/1498,"American Scientific Research Journal for Engineering, Technology,  and Sciences  (ASRJETS)",2313-4402,44.0,47143.0,"[{'url': 'https://asrjetsjournal.org/index.php/American_Scientific_Journal/article/view/4220/1498', 'type': 'pub'}]",2313-4402,,,,,,
7,['FKIP3'],Journal of Education and Practice,disk0/00/02/27/89,pub,9,public,2020-06-26 13:41:01,published,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/22789,"This study aims to develop teaching materials in the form of students worksheet based on discovery learning in thematic learning of fourth grader elementary school. The type of research used is research and development (R & D) that refers to the theory of Borg & Gall. The population of this study is all fourth grade elementary school students in Langkapura sub-district. Sample were taken by using random sampling technique as many as 56 students of SD Negeri 2 Langkapura. Data were collected through questionnaires and test questions. Questionnaire is used to measure the feasibility of students worksheets and test questions to measure the
improvement of student learning outcomes. The results showed that students worksheet based on discovery
learning were developed feasible and effective for learning. This is proved from the results of the acquisition of
questionnaires by experts and teachers who stated that the development products are feasible based on didactic,
construction and technical requirements. As well as the results of the calculation of effectiveness tests that obtain an average gain value of 0.365 which proves that students worksheet based on discovery learning are effective in improving student learning outcomes.","['Faculty of Teacher Training and Education, University of Lampung']",Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader Elementary School,other,"[{'id': None, 'name': {'given': 'Ruli Wulan', 'honourific': None, 'family': 'Mesi', 'lineage': None}}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'family': 'Alben Ambarita', 'lineage': None, 'honourific': None, 'given': 'Alben'}}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Darsono', 'given': 'Darsono'}}, {'id': 'arwinsubakti@yahoo.com', 'name': {'given': 'AS', 'honourific': None, 'family': 'Arwin Subakti', 'lineage': None}}]",show,2020-06-26 13:41:01,22789,archive,2020-06-26 13:41:01,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36294', 'security': 'public', 'placement': 1, 'eprintid': 22789, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '9. The_Development_of_Student_Worksheets_Based_on_Dis.pdf', 'docid': 36294, 'files': [{'hash': 'c8b06a23eef38f454fb92c79d71710a7', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 209135, 'mtime': '2020-06-26 04:24:50', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209135', 'filename': '9. The_Development_of_Student_Worksheets_Based_on_Dis.pdf', 'filesize': 2756468, 'objectid': 36294}], 'format': 'text'}]",825,,,,,,,,,,,,,,,,
8,['FKIP3'],International Knowledge Sharing Platform IISTE,disk0/00/02/28/66,pub,9,public,2020-06-30 03:33:55,,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/22866,"This study aims to develop teaching materials in the form of students worksheet based on discovery learning in thematic learning of fourth grader elementary school. The type of research used is research and development (R & D) that refers to the theory of Borg & Gall. The population of this study is all fourth grade elementary school students in Langkapura sub-district. Sample were taken by using random sampling technique as many as 56 students of SD Negeri 2 Langkapura. Data were collected through questionnaires and test questions.
Questionnaire is used to measure the feasibility of students worksheets and test questions to measure the
improvement of student learning outcomes. The results showed that students worksheet based on discovery learning were developed feasible and effective for learning. This is proved from the results of the acquisition of questionnaires by experts and teachers who stated that the development products are feasible based on didactic, construction and technical requirements. As well as the results of the calculation of effectiveness tests that obtain an average gain value of 0.365 which proves that students worksheet based on discovery learning are effective in improving student learning outcomes","['Faculty of Teacher Training and Education, University of Lampung']","Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader
Elementary School",other,"[{'name': {'family': 'Mesi Ruli Wulan', 'lineage': None, 'honourific': None, 'given': 'MRW'}, 'id': None}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'given': 'Alben', 'honourific': None, 'family': 'Alben Ambarita', 'lineage': None}}, {'name': {'given': 'Darsono', 'honourific': None, 'lineage': None, 'family': 'Darsono'}, 'id': 'darsono.1954@fkip.unila.ac.id'}, {'name': {'given': 'AS', 'lineage': None, 'family': 'Arwin Subakti', 'honourific': None}, 'id': 'arwinsubakti@yahoo.com'}]",show,2020-06-30 03:33:55,22866,archive,2020-06-30 03:33:55,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-30 02:53:17', 'filesize': 2674839, 'objectid': 36411, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209867', 'filename': '8. Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader Elementary School.pdf', 'datasetid': 'document', 'fileid': 209867, 'mime_type': 'application/pdf', 'hash': 'b9e827daf3fe18a270757a87781192d5'}], 'main': '8. Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader Elementary School.pdf', 'docid': 36411, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36411', 'eprintid': 22866, 'placement': 1}]",825,,,,,,,,,,,,,,,,
9,['FKIP3'],,disk0/00/00/96/73,pub,7,public,2018-11-12 01:14:53,submitted,['L1'],2018-09-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9673,"This study aims to develop teaching materials in the form of students worksheet based on discovery learning in
thematic learning of fourth grader elementary school. The type of research used is research and development (R
& D) that refers to the theory of Borg & Gall. The population of this study is all fourth grade elementary school students in Langkapura sub-district. Sample were taken by using random sampling technique as many as 56 students of SD Negeri 2 Langkapura. Data were collected through questionnaires and test questions. Questionnaire is  used  to  measure the feasibility of students  worksheets and  test questions to  measure the improvement of student learning outcomes. The results showed that students worksheet based on discovery learning were developed feasible and effective for learning. This is proved from the results of the acquisition of
questionnaires by experts and teachers who stated that the development products are feasible based on didactic,
construction and technical requirements. As well as the results of the calculation of effectiveness tests that obtain an average gain value of 0.365 which proves that students worksheet based on discovery learning are effective in improving student learning outcomes.

Keywords: Student worksheets, Discovery learning, Learning outcomes",,Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader Elementary School,thesis,"[{'id': None, 'name': {'given': 'MRW', 'honourific': None, 'lineage': None, 'family': 'Mesi Ruli Wulan'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Alben Ambarita', 'given': 'Alben'}, 'id': None}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'family': 'Darsono', 'lineage': None, 'honourific': None, 'given': 'Darsono'}}, {'name': {'lineage': None, 'family': 'Arwin Subakti', 'honourific': None, 'given': 'AS'}, 'id': 'arwinsubakti@yahoo.com'}]",show,2018-11-12 01:14:53,9673,archive,2018-11-12 01:14:53,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/22691', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 9673, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '44681-48108-1-PB.pdf', 'docid': 22691, 'files': [{'hash_type': 'MD5', 'mtime': '2018-11-09 06:31:36', 'filesize': 193238, 'objectid': 22691, 'uri': 'http://repository.lppm.unila.ac.id/id/file/91699', 'filename': '44681-48108-1-PB.pdf', 'fileid': 91699, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'ef65e7fb4f25e247632e6deebc3eba4d'}], 'format': 'text'}]",956,,,,https://iiste.org/Journals/index.php/JEP/article/view/44681,,,,,,,mphil,"Arikunto, S. (2013). Prosedur Penelitian: Suatu Pendekatan Praktik. Jakarta: PT. Rineka Cipta.

Balim, G A. (2009). The Effects of Discovery Learning on Students Success’ and Inquiry Learning Skills.

Eurasian Journal of Education Research. 35. 1-20.
Borg, R,. W,. & Gall, D. M. (2003). Educational Research An Introduction. Boston: Perason Education, Inc. Budiningsih. (2010). Model Pembelajaran Discovery Learning. Jakarta: Bumi Aksara.

Celikler, D. (2010). The Effect of Worksheets Developed for the Subject of Chemical Compounds on Student Achievement and Permanent Learning. Educational Research Association. The International Journal of Research in Teacher Education. 1. (1). 42-51.

Hake, R., R. (1991). Analyzing Change/Gain Score. American Educational Research Association’s Division
Measurement               and               Research               Methodology.               [Online]               Available:
http://www.physics.indiana.edu/~sdi/AnalyzingChange-Gain.pdf [18 Oktober 2017]

Illahi, M T. (2012). Pembelajaran Discovery Strategy & Mental Vocational Skill. Yogyakarta: DIVA Press.

Joy,  A.  (2014).  Impact  of  Discovery-Based  Learning  Method  on  Senior  Secondary  School  Physics.  IOSR Journal of Research & Method in Education. 4. (3). [V]. 32-36.

Kyriazis, A. et al. (2009). Discovery Learning and the Computational Experiment in Higher Mathematics and
Science Education: A Combined Approach. Journal iJET. 4. (4). 25-34.

Lee, C D. (2014). Worksheet Usage, Reading Achievement, Classes’ Lack of Readiness, and Science Achievement: A Cross-Country Comparison. International Journal of Education in Mathematics Science and Technology. 2. (2). 96-106.

Majid, A. (2014). Pembelajaran Tematik Terpadu. Bandung: Remaja Rosdakarya.

Ozmen, H., and Yildirim, N. (2005). Effect Of Worksheets on Student’s Success: Acids and Bases Sample. Journal of Turkish Science Education. 2. (2). 10-13.

Podolak, K., & Jordyn, D. (2013).   Interactive Modern Physics Worksheets Methodology and Assessment.
European J of Physics Education. 4. (2). 27-31.

Sugiyoono. (2015). Metode Penelitian Pendidikan: Penelitian Kuantitatif Kualitatif dan R & D. Bandung: Alfabeta.

Toman, U. (2013). Extended Worksheet Developed According To 5e Model Based On Constructivist Learning Approach. International Journal on New Trends in Education and Their Implications. 4. (4). 173-183.",masters,Education Faculty,University of lampung,
