,abstract,volume,date,uri,date_type,subjects,full_text_status,issn,status_changed,ispublished,rev_number,divisions,publisher,publication,dir,userid,number,lastmod,official_url,documents,datestamp,eprintid,id_number,eprint_status,metadata_visibility,pagerange,creators,type,title,refereed,succeeds,department,institution,thesis_name,thesis_type,place_of_pub,patent_applicant,isbn,pages,related_url,projects,funders,editors
0,"The research objective of this article is to determine (1) what leadership style does the principal apply? (2) What strategy did the principal use? (3) What affects the leadership style and strategy of the principal in carrying out inclusive education? Using the search and review method of articles, the review process begins with the search engine, Google Scholar and DOAJ, to search for articles with keywords. The results of the review show that (1) principals adopt different leadership styles and (2) principals implement various strategies. (3) The factors that influence the various styles and strategies are diverse resources, government policies, and local values.

Keywords: education inclusive in the world, principalship",3.0,2020-12-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31572,published,['L1'],public,2581-8341,2021-06-02 01:04:04,pub,7,['FKIP5'],IJCSRR,International Journal of Current Science Research and Review,disk0/00/03/15/72,214,12,2021-06-02 01:04:04,https://ijcsrr.org/single-view/?id=3356&pid=3267,"[{'eprintid': 31572, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/142843', 'pos': 1, 'format': 'text', 'files': [{'hash': 'f88a5993bb6e59a10f49c867bffb773c', 'mime_type': 'application/pdf', 'fileid': 374111, 'datasetid': 'document', 'filename': '2 ARTIKEL JURNAL INTERNASIONAL Afrianti&HAriri et al 12 2020 Principals Role.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/374111', 'objectid': 142843, 'filesize': 459843, 'mtime': '2021-06-01 03:40:06', 'hash_type': 'MD5'}], 'main': '2 ARTIKEL JURNAL INTERNASIONAL Afrianti&HAriri et al 12 2020 Principals Role.pdf', 'docid': 142843, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-06-02 01:04:04,31572,10.47191/ijcsrr/V3-i12-10,archive,show,271 -284,"[{'id': None, 'name': {'family': 'Afrianti', 'lineage': None, 'honourific': None, 'given': 'Lilis'}}, {'id': 'ridwanrosidimuawi@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Ridwan', 'given': 'Ridwan'}}, {'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Hariri', 'given': 'Hasan'}}, {'id': None, 'name': {'given': 'Rini', 'lineage': None, 'family': 'Riswanti', 'honourific': None}}, {'name': {'given': 'Sowiyah', 'family': 'Sowiyah', 'lineage': None, 'honourific': None}, 'id': None}]",article,Principals Role in Inclusive Education: A Literature Review,TRUE,,,,,,,,,,,,,
1,"Abstract--- This study aims to analyze and describe academic
program planning, facilities and infrastructure in realizing
campus-friendly disabilities at UML, organizing academic
programs and facilities and infrastructure in creating disabilityfriendly

campuses in UML, implementing academic program,
facilities and infrastructure in realizing campus-friendly
disabilities in UML, evaluating  academic programs and facilities
and infrastructure in creating a disability friendly campus at
UML. The method used in this study is qualitative with a
phenomenological design. The informants were the rector, dean,
head of the PLB study program, lecturers, and students. The
results showed that planning academic programs in realizing
campus-friendly disabilities has (1) structure, (2) rules of task
completion, (3) plan of activities, and (4) objectives.
Infrastructure planning begins with determining when the
committee, needs analysis and preparation of a list of needs.
Organizing academic programs to prepare knowledge or insight
for all PLB students, both those with disabilities or those who are
unable to enter the world of inclusion after graduating from
UML.Organizing infrastructure through the stages of
procurement, and controlling / controlling facilities and
infrastructure. The implementation of the academic program
implements the Tri Dharma of Higher Education, the
maintenance of infrastructure is carried out by checking efforts
periodically once a year to prevent damage. Evaluation of
academic programs consists of several aspects as follows: 1)
Evaluation of learning outcomes; 2) Cumulative achievement
index every semester; 3) Final evaluation of the S1 program. The
evaluation of sarpras was carried out in accordance with Law
no.12/2012 of Higher Education and the Indonesian Higher
Education System regarding the characteristics of the
organization of tertiary education and management of tertiary
institutions where tertiary institutions have the right to nonacademic

autonomy (management): to improve the quality of
education; principles of good university governance: (1) regulate
the organization & make its own decisions; (2) management of
tablespoons; (3) asset management; (4) financial management. 
Key Words: Campus Friendly Disabilities, Management",4.0,2020-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22979,published,['L1'],public,2454-6186,2020-07-02 02:14:43,pub,10,['FKIP5'],www.rsisinternational.org,International Journal of Research and Innovation in Social Science (IJRISS),disk0/00/02/29/79,685,2,2020-07-02 02:14:43,https://www.rsisinternational.org/journals/ijriss/Digital-Library/volume-4-issue-2/28-31.pdf,"[{'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36527', 'security': 'public', 'placement': 2, 'eprintid': 22979, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 4, 'content': 'published', 'main': 'Dina Agustina, Sowiyah, Deddy Hermanto Karwan 2020 Uni Management.pdf', 'files': [{'mtime': '2020-07-01 19:12:44', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/210660', 'filename': 'Dina Agustina, Sowiyah, Deddy Hermanto Karwan 2020 Uni Management.pdf', 'objectid': 36527, 'filesize': 396708, 'hash': '7a9bd722c17e72302f8296c9968a4432', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 210660}], 'docid': 36527, 'format': 'text'}]",2020-07-02 02:14:43,22979,,archive,show,28-31,"[{'id': None, 'name': {'honourific': None, 'family': 'Agustina', 'lineage': None, 'given': 'Dina'}}, {'name': {'lineage': None, 'family': 'sowiyah', 'honourific': None, 'given': 'sowiyah'}, 'id': None}, {'name': {'given': 'Dedy H.', 'honourific': None, 'lineage': None, 'family': 'Karwan'}, 'id': 'dhkarwan@yahoo.co.id'}]",article,University Management In Making Disability Friendly Campus,TRUE,22386.0,,,,,,,,,,,,
2,,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/29956,completed,['L1'],public,,2021-05-05 01:03:13,unpub,7,['FKIP5'],,,disk0/00/02/99/56,214,,2021-05-05 01:03:13,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 134421, 'main': '12 Dini Cahyati p2.pdf', 'files': [{'hash': 'ce1505a1e7d4d549c6edca75128ffaf3', 'mime_type': 'application/pdf', 'fileid': 355094, 'datasetid': 'document', 'mtime': '2021-05-04 14:18:49', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/355094', 'filename': '12 Dini Cahyati p2.pdf', 'filesize': 189201, 'objectid': 134421}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134421', 'eprintid': 29956, 'placement': 1}]",2021-05-05 01:03:13,29956,,archive,show,,"[{'name': {'given': 'Dini', 'honourific': None, 'lineage': None, 'family': 'Cahyati'}}]",thesis,Kepemimpinan Rektor Perempuan pada Perguruan Tinggi,,,MAP,Universitas Lampung,other,masters,,,,,,,,
3,,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/29963,completed,['L1'],public,,2021-05-05 01:03:31,unpub,7,['FKIP5'],,,disk0/00/02/99/63,214,,2021-05-05 01:03:31,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '19 Ridha Mentari Dwansi p2.pdf', 'files': [{'objectid': 134444, 'filesize': 591855, 'filename': '19 Ridha Mentari Dwansi p2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/355160', 'hash_type': 'MD5', 'mtime': '2021-05-04 14:39:32', 'fileid': 355160, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '08c56d11513165cc65c95a80e2292f1e'}], 'docid': 134444, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/134444', 'pos': 1, 'eprintid': 29963, 'placement': 1}]",2021-05-05 01:03:31,29963,,archive,show,,"[{'name': {'given': 'Ridha Mentari', 'lineage': None, 'family': 'Dwansi', 'honourific': None}}]",thesis,Manajemen Kelas Inklusif (Studi Kasus di Pendidikan Anak Usia Dini Ceria Bandar Lampung).,,,MAP,Universitas Lampung,other,masters,,,,,,,,
4,,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/29784,completed,['L1'],public,,2021-04-30 01:14:06,unpub,7,['FKIP5'],,,disk0/00/02/97/84,214,,2021-04-30 01:14:06,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43987', 'eprintid': 29784, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 43987, 'main': '2 Tesis Elvira Putri Erlinda.pdf', 'files': [{'filename': '2 Tesis Elvira Putri Erlinda.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/263562', 'objectid': 43987, 'filesize': 175201, 'mtime': '2021-04-29 10:14:50', 'hash_type': 'MD5', 'hash': '63219a169632ba0decaf93288f50fdfc', 'mime_type': 'application/pdf', 'fileid': 263562, 'datasetid': 'document'}]}]",2021-04-30 01:14:06,29784,,archive,show,,"[{'name': {'given': 'Elvira Putri', 'family': 'Erlinda', 'lineage': None, 'honourific': None}}]",thesis,Kepemimpinan Partisipatif Kepala PAUD IT Qurrota A’yun,,,MAP,Universitas Lampung,other,masters,,,,,,,,
5,,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/24454,,['L1'],public,,2020-11-02 04:21:02,pub,9,['FKIP5'],Menkumham,,disk0/00/02/44/54,214,,2021-08-09 04:08:54,,"[{'placement': 1, 'eprintid': 24454, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38189', 'security': 'public', 'formatdesc': 'HAKI', 'main': 'Hariri etal 2020 Haki sertifikat_EC00202035582 buku pendampingan.pdf', 'docid': 38189, 'files': [{'objectid': 38189, 'filesize': 773537, 'uri': 'http://repository.lppm.unila.ac.id/id/file/222336', 'filename': 'Hariri etal 2020 Haki sertifikat_EC00202035582 buku pendampingan.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-01 17:30:42', 'datasetid': 'document', 'fileid': 222336, 'hash': 'd3ab4ca5490b98a0ee61164234b5b543', 'mime_type': 'application/pdf'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'content': 'published'}]",2020-11-02 04:21:02,24454,"EC00202035582, 25 September 2020",archive,show,,"[{'name': {'lineage': None, 'family': 'Haenilah', 'honourific': None, 'given': 'Een Yayah'}, 'id': 'eenhaenilah@gmail.com'}, {'id': 'ridwanrosidimuawi@gmail.com', 'name': {'lineage': None, 'family': 'Ridwan', 'honourific': None, 'given': 'Ridwan'}}, {'name': {'given': 'Hasan', 'family': 'Hariri', 'lineage': None, 'honourific': None}, 'id': 'hasan.hariri@staff.unila.ac.id'}, {'id': 'dhkarwan@yahoo.co.id', 'name': {'given': 'Dedy H.', 'family': 'Karwan', 'lineage': None, 'honourific': None}}]",other,"Pendampingan Manajemen Peningkatan Mutu Layanan Guru Pada
Kompetensi Pedagogik (Panduan Komprehensif Pembinaan Guru)",,,,,,,Jakarta,,,,,,,
6,,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/34014,published,['L1'],public,,2021-09-21 00:57:12,pub,6,['FKIP5'],,,disk0/00/03/40/14,214,,2021-09-21 00:57:12,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/154272', 'pos': 6, 'security': 'public', 'placement': 6, 'eprintid': 34014, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'fa492d75b0dc7e9638f624c020d0b544', 'datasetid': 'document', 'fileid': 401684, 'filename': 'HakiReviewPendpgn.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401684', 'filesize': 928636, 'objectid': 154272, 'mtime': '2021-09-20 15:57:10', 'hash_type': 'MD5'}], 'main': 'HakiReviewPendpgn.pdf', 'docid': 154272, 'format': 'text'}]",2021-09-21 00:57:12,34014,EC00202035582,archive,show,,"[{'id': 'eenhaenilah@gmail.com', 'name': {'family': 'Haenilah', 'lineage': None, 'honourific': None, 'given': 'Een Yayah'}}, {'name': {'given': 'Ridwan', 'honourific': None, 'family': 'Ridwan', 'lineage': None}, 'id': 'ridwanrosidimuawi@gmail.com'}, {'name': {'lineage': None, 'family': 'Hariri', 'honourific': None, 'given': 'Hasan'}, 'id': 'hasan.hariri@staff.unila.ac.id'}, {'id': 'dhkarwan@yahoo.co.id', 'name': {'given': 'Dedy H.', 'honourific': None, 'lineage': None, 'family': 'Karwan'}}]",patent,"Pendampingan Manajemen Peningkatan Mutu Layanan Guru pada
Kompetensi Pedagogik (Panduan Komprehensif Pembinaan Guru)",,29335.0,,,,,,"Een Y. Haenilah, Ridwan, Hasan Hariri, Dedy H. Karwan",,,,,,
7,"The scope of the school environment includes the physical, mental, and social
environment. These three scopes are related to one another in shaping the character of students.
A healthy, good, and friendly school environment is an ideal condition for students' learning process in school. Education should be used as an effective means of forming attitudes and concerns for the environment, through intensive education. It is possible to improve the quality of students’ positive attitudes and behaviours towards the environment. The problem in this
study is how to shape the character and attitudes of students' concern for the school
environment and how to overcome existing obstacles. This study aims to understand and apply
the green school movement to the formation of environmental care characters from an early
age and inspire principals as school managers to create an environmentally and friendly school as school culture in SMP Negeri (State Junior High School) 2 Adiluwih. This research is a descriptive qualitative study using document study and observation to collect the data. The
results of this study are the school has efforts in implementing go green school program activities and integrating environmental materials in all subjects and have been included in each lesson plan and syllabus, self-development in daily activities. After implementing these program activities, students can care more about their environment. These program activities have contributed to making the SMP Negeri 2 Adiluwih win a national Adiwiyata (Green School) Award.",1655.0,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/24640,published,['L1'],public,,2020-11-09 09:03:48,pub,7,['FKIP5'],IOP Publishing,Journal of Physics: Conference Series,disk0/00/02/46/40,214,2020,2020-11-09 09:03:48,https://iopscience.iop.org/article/10.1088/1742-6596/1655/1/012115,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/38382', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24640, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'main': 'Hariri Handayani Hariri Sowiyah Ridwan Nov 2020 The Shaping of the Student Character Caring.pdf', 'docid': 38382, 'files': [{'hash': 'ea1f1d5b7ebd97e78f1afb47c19771d1', 'mime_type': 'application/pdf', 'fileid': 223699, 'datasetid': 'document', 'mtime': '2020-11-07 08:09:08', 'hash_type': 'MD5', 'filename': 'Hariri Handayani Hariri Sowiyah Ridwan Nov 2020 The Shaping of the Student Character Caring.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/223699', 'filesize': 1128274, 'objectid': 38382}], 'format': 'text'}]",2020-11-09 09:03:48,24640,10.1088/1742-6596/1655/1/012115,archive,show,12115,"[{'id': None, 'name': {'given': 'Nur', 'lineage': None, 'family': 'Handayani', 'honourific': None}}, {'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Hariri', 'given': 'Hasan'}}, {'name': {'given': 'Sowiyah', 'lineage': None, 'family': 'Sowiyah', 'honourific': None}, 'id': None}, {'id': 'ridwanrosidimuawi@gmail.com', 'name': {'given': 'Ridwan', 'honourific': None, 'family': 'Ridwan', 'lineage': None}}]",article,The Shaping of the Student Character Caring for the School Environment through the Green School Movement in SMP Negeri 2 Adiluwih,TRUE,,,,,,,,,,,,,
8,,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/24453,published,['L1'],public,,2020-11-02 04:20:56,pub,8,['FKIP5'],Menkumham,,disk0/00/02/44/53,214,,2020-11-02 04:20:56,,"[{'content': 'published', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Hariri Sep 2020 Haki sertifikat_EC00202035584 Pembuatan Keputusan.pdf', 'files': [{'datasetid': 'document', 'fileid': 222328, 'hash': '91d9062c8c99f18a6313648c5002f575', 'mime_type': 'application/pdf', 'objectid': 38188, 'filesize': 779024, 'filename': 'Hariri Sep 2020 Haki sertifikat_EC00202035584 Pembuatan Keputusan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/222328', 'hash_type': 'MD5', 'mtime': '2020-11-01 17:24:26'}], 'docid': 38188, 'security': 'public', 'formatdesc': 'HAKI', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38188', 'eprintid': 24453, 'placement': 1}]",2020-11-02 04:20:56,24453,"EC00202035584, 25 September 2020",archive,show,,"[{'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'honourific': None, 'family': 'Hariri', 'lineage': None, 'given': 'Hasan'}}]",other,HAKI Pembuatan Keputusan Kepala Sekolah: Prediktor Kepuasan Kerja Guru dalam Memantapkan Komitmen Guru dan Meningkatkan Prestasi Siswa,,,,,,,Jakarta,,,,,,,
9,"Purpose: This paper aims at examining how principal leadership styles are associated with leadership outcomes in an Indonesian school context.
Research Methodology: Survey data were collected using MLQ 5X-Short and a demographic questionnaire completed by 475 teachers in 36 junior high schools in the Province of Lampung, Indonesia. With the help of SPSS version 22, the collected data were initially analyzed using descriptive statistics and then Pearson product-moment correlation.  
Results: Results show that transformational and transactional leadership styles are positively and significantly associated with the leadership outcomes, but the laissez-faire leadership style is negatively and significantly associated with the leadership outcomes.  
Limitations: This paper used a quantitative research approach and is acknowledged for being limited to using the survey questionnaire so that it could not explain why and how principal leadership styles affect such leadership outcomes.
Contribution: This paper theoretically and practically contributes to the body of knowledge, particularly concerning leadership styles and their outcomes.",2.0,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/24447,published,['L1'],public,2656-3355,2020-11-02 04:19:23,pub,7,['FKIP5'],Goodwood Publishing,"International Journal of Financial, Accounting, and Management",disk0/00/02/44/47,214,2,2020-11-02 04:19:23,https://goodwoodpub.com/index.php/ijfam/article/view/236,"[{'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'docid': 38182, 'main': 'Hariri Sep 2020 Leadership in a school context IJFAM.pdf', 'files': [{'filename': 'Hariri Sep 2020 Leadership in a school context IJFAM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/222282', 'objectid': 38182, 'filesize': 366159, 'mtime': '2020-11-01 15:57:56', 'hash_type': 'MD5', 'hash': '637ea1816cc1164dac51b9f6dbe1c6ad', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 222282}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38182', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24447}]",2020-11-02 04:19:23,24447,https://doi.org/10.35912/ijfam.v2i2.236,archive,show,159-170,"[{'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'honourific': None, 'family': 'Hariri', 'lineage': None, 'given': 'Hasan'}}]",article,Leadership in a school context: how leadership styles are associated with leadership outcomes,TRUE,,,,,,,,,,,,,
