,subjects,date_type,date,uri,abstract,publication,divisions,dir,related_url,rev_number,ispublished,status_changed,full_text_status,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,official_url,userid,refereed,title,type,creators,issn,publisher,pres_type,event_dates,event_location,pagerange,event_type,funders,event_title,projects,place_of_pub,isbn,pages,succeeds,institution,department,thesis_type,thesis_name
0,['L1'],published,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/33978,"The purpose of this study was to analyze and know the positive and significant influence on the use of inquiry learning model to the natural science learning outcomes of V SD Negeri 4 west metro. This type of research was experimental research. The research design used is non-equivalent control group design. The population in this research amounted to 48 student of grade 5. Technique of collecting data was done by technique of test and questionnaire. The result obtained by t-count data was 2,057 while t-table 2.021. the comparison show that (2,057 > 2,021) means accepted. It means there was a positive and significant influence of the use inquiry learning model to the natural science learning outcomes of V SD Negeri 4 west metro.",Pedagogi : Jurnal Pendidikan Dasar,['FKIP5'],disk0/00/03/39/78,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16259'}]",6,pub,2021-09-20 01:06:52,public,show,archive,33978,2021-09-20 01:06:52,"[{'placement': 1, 'eprintid': 33978, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154226', 'security': 'public', 'main': '3. 16259-36397-1-PB.pdf', 'docid': 154226, 'files': [{'mime_type': 'application/pdf', 'hash': '40c676965c9779409bc4d60c9e694be6', 'datasetid': 'document', 'fileid': 401420, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401420', 'filename': '3. 16259-36397-1-PB.pdf', 'filesize': 362775, 'objectid': 154226, 'mtime': '2021-09-19 14:33:25', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-09-20 01:06:52,http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16259,968,TRUE,The influence of the use of inquiry learning model on natural science learning outcomes.,article,"[{'name': {'given': 'Adelia', 'family': 'Adelia Sukmayanti', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Sowiyah', 'honourific': None, 'lineage': None, 'family': 'Sowiyah'}}]",,,,,,,,,,,,,,,,,,
1,['L1'],published,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/33981,"Research purpose is to know and analyze the positive and significant influence of the principal managerial, organizational culture and achievement motivation on the performance of special assistant teacher inclusion elementary School in Metro City. The research used ex post facto approach. Research population was Special Assistant Teacher at elementary School Inclusion in Metro City. Data collection using questionnaire and analysis using regression. The results of this study indicate the existence of cohesiveness of school principal, organizational culture and achievement motivation for the performance of special assistant teacher of elementary school inclusion in Metro City either partially or simultaneously. This can be done with the principal's managerial skills, organizational culture and achievement motivation increases, so the performance of special assistant teacher will also increase.",Jurnal Manajemen Mutu Pendidikan,['FKIP5'],disk0/00/03/39/81,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JMMP/article/view/15343', 'type': 'pub'}]",6,pub,2021-09-20 01:07:06,public,show,archive,33981,2021-09-20 01:07:06,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154229', 'pos': 1, 'eprintid': 33981, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'filesize': 236419, 'objectid': 154229, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401438', 'filename': '6. 15343-34296-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-19 14:48:22', 'datasetid': 'document', 'fileid': 401438, 'hash': '7990d1f39a58d4c56883f0a3b96ee814', 'mime_type': 'application/pdf'}], 'main': '6. 15343-34296-1-PB.pdf', 'docid': 154229}]",2021-09-20 01:07:06,,968,TRUE,Performance Of Special Assistant Teacher In Inclusion Primary School,article,"[{'name': {'given': 'Egi', 'honourific': None, 'lineage': None, 'family': 'Egi Septa Wardani'}, 'id': None}, {'name': {'honourific': None, 'family': 'Sowiyah', 'lineage': None, 'given': 'Sowiyah'}, 'id': None}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Alben Ambarita', 'given': 'Alben'}}]",e-ISSN: 2716-4616 | p-ISSN 2302-1772,FKIP Unila,,,,,,,,,,,,,,,,
2,['L1'],published,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/12855,"This article examined influence of students' intrinsic and extrinsic motivation on their self-efficacy in public junior secondary schools (SMPN) in Lampung Province. This paper used a quantitative research design with a survey questionnaire method to collect data from SMPN students in Lampung Province using multistage random sampling. The Motivated Strategies for Learning Questionnaire (MSLQ) was completed by 408 students (82% response rate) from five districts. The data were analyzed using descriptive statistics and multiple regressions with the help of SPSS version 23. The results showed that the students’ intrinsic motivation, extrinsic motivation, and self-efficacy were positively and significantly correlated, and that the students’ intrinsic motivation and extrinsic had a positive and significant influence on their self-efficacy.

Keywords: self-efficacy, motivation, learning, school",,['FKIP5'],disk0/00/01/28/55,,9,pub,2020-06-23 01:30:34,public,show,archive,12855,2020-06-23 01:30:34,"[{'docid': 36218, 'main': 'Pengaruh Motivasi Intrinsik dan Ekstrinsik Siswa.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-22 18:48:56', 'filesize': 11904953, 'objectid': 36218, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208459', 'filename': 'Pengaruh Motivasi Intrinsik dan Ekstrinsik Siswa.pdf', 'datasetid': 'document', 'fileid': 208459, 'mime_type': 'application/pdf', 'hash': 'd75d81eb433a6921cc35b88d83ec06db'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 12855, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36218', 'pos': 1, 'security': 'public'}]",2020-06-23 01:30:34,,214,TRUE,Pengaruh motivasi instrinsik dan ekstrinsik siswa terhadap efikasi diri siswa: Studi pada SMP Negeri di Provinsi Lampung,conference_item,"[{'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'honourific': None, 'family': 'Hariri', 'lineage': None, 'given': 'Hasan'}}, {'name': {'honourific': None, 'family': 'Haenilah', 'lineage': None, 'given': 'Een Y.'}, 'id': 'eenhaenilah@gmail.com'}, {'id': 'riswanti.rini@gmail.com', 'name': {'honourific': None, 'family': 'Rini', 'lineage': None, 'given': 'Riswanti'}}, {'id': 'dhkarwan@yahoo.co.id', 'name': {'family': 'Karwan', 'lineage': None, 'honourific': None, 'given': 'Dedy H.'}}]",,,paper,13 December 2018,Bandar Lampung,391-402,conference,['Universitas Lampung'],Desimenasi Hasil Penelitian dalam Mendukung Pembangunan berkelanjutan,['Hibah Penelitian Unggulan'],,,,,,,,
3,['L1'],,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/14657,,,['FKIP5'],disk0/00/01/46/57,,7,pub,2019-11-04 02:49:02,public,show,archive,14657,2019-11-04 02:49:02,"[{'eprintid': 14657, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27765', 'format': 'text', 'main': 'sertifikat_EC00201854505_Buku MP_Hasan Hariri dkk.pdf', 'docid': 27765, 'files': [{'filename': 'sertifikat_EC00201854505_Buku MP_Hasan Hariri dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/126955', 'objectid': 27765, 'filesize': 770335, 'mtime': '2019-10-28 07:57:01', 'hash_type': 'MD5', 'hash': '38f1b16331f7d6a5e5ade00777f42d44', 'mime_type': 'application/pdf', 'fileid': 126955, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-11-04 02:49:02,,214,,Manajemen Pendidikan,other,"[{'name': {'lineage': None, 'family': 'Hariri', 'honourific': None, 'given': 'Hasan'}}, {'name': {'lineage': None, 'family': 'Karwan', 'honourific': None, 'given': 'Dedy Hermanto'}}]",,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,,,,,,,,,,,,,,,,
4,['L1'],published,2018-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22830,"Prestasi siswa dalam menempuh pendidikannya sering dikaitkan dengan kualitas, kuantitas, dan kinerja guru. Guru berkuasa penuh atas kelas yang dipimpinnya. Guru berkuasa menjadikan ruang kelasnya sebagai neraka yang membuat siswanya trauma untuk datang. Namun, guru juga berkuasa menjadikan ruang kelasnya sebagai surga yang membuat siswanya betah dan selalu termotivasi untuk ke sekolah dan sebagai tempat yang dirindukan siswanya. Benarkah guru satu-satunya variabel yang sangat menentukan?
Sekilas kepemimpinan sebagai variabel antara dan mungkin saja tidak bertindak secara langsung atas prestasi siswa. Hallinger dan Heck menyatakan bahwa kondisi sekolah dipengaruhi oleh kepemimpinan sekolah. Kondisi-kondisi tersebut mencakup tujuan dan sasaran, struktur sekolah dan jaringan sosial, sumberdaya manusia, dan budaya organisasi. Kepala sekolah memainkan peran sebagai komandan dan sumber yang membangun hubungan dengan masyarakat untuk mencapai visi dan tujuan sekolah",,['FKIP5'],disk0/00/02/28/30,,8,pub,2020-06-29 11:01:27,public,show,archive,22830,2020-06-29 11:01:27,"[{'format': 'text', 'files': [{'hash': '39484104f457a15217f0dfa8172df806', 'mime_type': 'application/pdf', 'fileid': 209551, 'datasetid': 'document', 'mtime': '2020-06-29 06:35:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209551', 'filename': '00 Hariri et al 2018 Referensi Kepemimpinan Sekolah_sent ok.pdf', 'filesize': 40707960, 'objectid': 36340}], 'main': '00 Hariri et al 2018 Referensi Kepemimpinan Sekolah_sent ok.pdf', 'docid': 36340, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22830, 'placement': 4, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36340', 'pos': 4}, {'main': '00 Hariri et al 2018 Referensi Kepemimpinan Sekolah_sent ok.pdf', 'files': [{'filesize': 40707960, 'objectid': 36341, 'filename': '00 Hariri et al 2018 Referensi Kepemimpinan Sekolah_sent ok.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209553', 'hash_type': 'MD5', 'mtime': '2020-06-29 06:37:51', 'datasetid': 'document', 'fileid': 209553, 'mime_type': 'application/pdf', 'hash': '39484104f457a15217f0dfa8172df806'}], 'docid': 36341, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 5, 'eprintid': 22830, 'pos': 5, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36341', 'security': 'public'}]",2020-06-29 11:01:27,,214,TRUE,Kepemimpinan Sekolah dan Pengaruhnya terhadap Kinerja Guru dalam Mendongkrak Prestasi Siswa,book,"[{'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'honourific': None, 'family': 'Hariri', 'lineage': None, 'given': 'Hasan'}}, {'name': {'given': 'Ridwan', 'honourific': None, 'lineage': None, 'family': 'Ridwan'}, 'id': 'ridwanrosidimuawi@gmail.com'}, {'id': 'dhkarwan@yahoo.co.id', 'name': {'honourific': None, 'family': 'Karwan', 'lineage': None, 'given': 'Dedy H.'}}]",,Graha Ilmu,,,,,,['Universitas Lampung'],,,Yogyakarta,978-602-262-855-2,92.0,12879.0,,,,
5,['L1'],published,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/33979,"This research analyze and know the influence of applying model of cooperative learning type jigsaw to result of learning of Civics class V SD Negeri 1 Metro Timur. The type of this research is experimental research with quantitative approach. The research method used is quasi experimental design. The research design used is non-equivalent control group design. Technique of collecting data is done by technique of test and questionnaire. Calculation of hypothesis test using independent formula t-test sample obtained tcount of 3,675 while ttable of 2.021, the comparison shows (3,675>2,021) there is positive and significant influence on applying cooperative learning type jigsaw model to result of learning.",Pedagogi : Jurnal Pendidikan Dasar,['FKIP5'],disk0/00/03/39/79,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16155', 'type': 'pub'}]",6,pub,2021-09-20 01:07:00,public,show,archive,33979,2021-09-20 01:07:00,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154227', 'pos': 1, 'eprintid': 33979, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '4. 16155-36209-1-PB.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-09-19 14:39:30', 'filesize': 232195, 'objectid': 154227, 'filename': '4. 16155-36209-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401426', 'datasetid': 'document', 'fileid': 401426, 'mime_type': 'application/pdf', 'hash': 'e251e3475affcac50f62f9caeba5f1b2'}], 'docid': 154227}]",2021-09-20 01:07:00,http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16155,968,TRUE,The Influence of Cooperative Learning Model of Jigsaw Type to the Learning Outcomes of Primary School Civics,article,"[{'name': {'given': 'Kukuh', 'lineage': None, 'family': 'Kukuh Bintoro', 'honourific': None}}, {'name': {'given': 'Sowiyah', 'honourific': None, 'family': 'Sowiyah', 'lineage': None}}, {'name': {'family': 'RAPANI', 'lineage': None, 'honourific': None, 'given': 'RAPANI'}}]",,,,,,,,,,,,,,,,,,
6,['L1'],published,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/33977,"Masalah dalam penelitian ini adalah rendahnya hasil belajar IPS siswa kelas V SD Negeri
1 Sribasuki. Penelian ini bertujuan untuk mengetahui pengaruh yang signifikan dan
positif pada penerapan model pembelajaran problem posing terhadap hasil belajar IPS.
Penelitian ini menggunakan metode penelitian kuantitatif dan jenis penelitian eksperimen
dengan desain penelitian Non-Equivalent Group Design. Teknik pengumpulan data
dilakukan dengan menggunakan tes mengetahui hasil belajar dan angket untuk mengukur
efektivitas pengaruh model problem posing. Hasil penelitian menunjukan bahwa terdapat
pengaruh yang signifikan dan positif pada penerapan model pembelajaran problem posing
terhadap hasil belajar. Pengujian hipotesis menggunakan rumus diperoleh data uji-t
sebesar 2,16 sedangkan ttabel sebesar 2,021, perbandingan tersebut menunjukan (2,16 >
2,021) berarti Ha diterima. Artinya terdapat pengaruh dalam penerapan model
pembelajaran problem posing terhadap hasil belajar.",Pedagogi : Jurnal Pendidikan Dasar,['FKIP5'],disk0/00/03/39/77,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16318', 'type': 'pub'}]",7,pub,2021-09-20 01:06:50,public,show,archive,33977,2021-09-20 01:06:50,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 154225, 'main': '2. 16318-36554-1-PB.pdf', 'files': [{'objectid': 154225, 'filesize': 427305, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401413', 'filename': '2. 16318-36554-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-19 14:14:44', 'datasetid': 'document', 'fileid': 401413, 'hash': 'e1def5d9abc95c726b7abbbaaf86fd02', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154225', 'pos': 1, 'eprintid': 33977, 'placement': 1}]",2021-09-20 01:06:50,http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16318,968,TRUE,"PENGARUH MODEL PEMBELAJARAN PROBLEM POSING
TERHADAP HASIL BELAJAR IPS SISWA",article,"[{'name': {'given': 'Febrilla', 'honourific': None, 'family': 'MILLA MARTHA FEBRILLA', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sowiyah', 'given': 'Sowiyah'}}, {'name': {'given': 'Muncarno', 'lineage': None, 'family': 'MUNCARNO', 'honourific': None}}]",,,,,,,,,,,,,,,,,,
7,['L1'],published,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/33980,"This study aimed to describe and analyze the Performance of Certified Primary School Teachers. The focus of this research is the performance of certified primary school teachers’. Research Sub-focused in the form of Performance of certified primary school teachers’. This is research uses qualitative research. Collecting data use interview, observation and data analysis. Based on the study, it concluded that : (1) the policy teacher certification can motivating teachers. (2) the policy teacher certification that effectiveness of activities in an effort to improve the teachers’ performance.",Pedagogi : Jurnal Pendidikan Dasar,['FKIP5'],disk0/00/03/39/80,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16155'}]",6,pub,2021-09-20 01:07:04,public,show,archive,33980,2021-09-20 01:07:04,"[{'placement': 1, 'eprintid': 33980, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154228', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': 'bc8b2236fb5e248f679de7da71563ce0', 'datasetid': 'document', 'fileid': 401432, 'mtime': '2021-09-19 14:44:37', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401432', 'filename': '5. 15342-34297-1-PB.pdf', 'objectid': 154228, 'filesize': 422479}], 'main': '5. 15342-34297-1-PB.pdf', 'docid': 154228, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-09-20 01:07:04,http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16155,968,TRUE,"The Certified Primary School Teachers’ Performance In Cluster I Baradatu, Way Kanan District",article,"[{'name': {'given': 'Nazar', 'lineage': None, 'family': 'Nazar', 'honourific': None}}, {'name': {'given': 'Sowiyah', 'honourific': None, 'lineage': None, 'family': 'Sowiyah'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Riswanti', 'given': 'Rini'}}]",,,,,,,,,,,,,,,,,,
8,['L1'],completed,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/29958,,,['FKIP5'],disk0/00/02/99/58,,7,unpub,2021-05-05 01:03:18,public,show,archive,29958,2021-05-05 01:03:18,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 134423, 'main': '14 Ivana Nur p2.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-05-04 14:26:02', 'filesize': 460925, 'objectid': 134423, 'uri': 'http://repository.lppm.unila.ac.id/id/file/355108', 'filename': '14 Ivana Nur p2.pdf', 'datasetid': 'document', 'fileid': 355108, 'hash': 'd9417a0af00f64ad986530da595ac1e5', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/134423', 'pos': 1, 'eprintid': 29958, 'placement': 1}]",2021-05-05 01:03:18,,214,,Kompetensi Manajerial Kepala Perpustakaan,thesis,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Nur', 'given': '. Ivana'}}]",,,,,,,,,,,,,,,Universitas Lampung,MAP,masters,other
9,['L1'],completed,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/29959,,,['FKIP5'],disk0/00/02/99/59,,7,unpub,2021-05-05 01:03:20,public,show,archive,29959,2021-05-05 01:03:20,"[{'format': 'text', 'docid': 134424, 'main': '15 Juwita Rubayhan p2.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'ee89025ea0e59d45d07e8b12ec77fb05', 'datasetid': 'document', 'fileid': 355115, 'mtime': '2021-05-04 14:28:31', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/355115', 'filename': '15 Juwita Rubayhan p2.pdf', 'objectid': 134424, 'filesize': 312705}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 29959, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134424'}]",2021-05-05 01:03:20,,214,,"Pengaruh Ke[emimpinan Partisipatif Kepala Sekolah, Budaya Sekolah dan Motivasi Berprestasi terhadap Kompetensi Pedagogik Guru SD Negeri di Kecamatan Muaradua",thesis,"[{'name': {'given': 'Juwita', 'lineage': None, 'family': 'Rubayhan', 'honourific': None}}]",,,,,,,,,,,,,,,Universitas Lampung,MAP,masters,other
