,abstract,date,book_title,full_text_status,ispublished,publisher,contributors,userid,number,official_url,pages,documents,datestamp,eprint_status,id_number,eprintid,pagerange,place_of_pub,refereed,uri,date_type,subjects,status_changed,rev_number,dir,divisions,lastmod,editors,metadata_visibility,type,creators,title,funders,event_type,event_title,projects,event_dates,pres_type,event_location,volume,issn,related_url,publication
0,"Misalignment cracks are transverse cracks that occur not in the cutting line but that are shifted within less than 500 mm of the cutting line. This crack does not cross other segments. This paper describes the mechanism of the formation of misalignment cracks and the stresses that occur in concrete pavement under plastic and brittle condition. This paper was written based on observations of misalignment cracks on toll roads in Lampung Province, Indonesia. Bending strength of the concrete pavement is ±4.5 MPa. This crack was found at the concrete age of 18–72 hours. This research is supported by observing deformation and inner temperature in the laboratory on a concrete plate with compressive strength of 60 MPa measuring 300 cm × 160 cm × 15 cm, which is placed on several supports. Observations were made every 15 minutes for 90 days. Misalignment cracks occur because cutting in concrete pavement is done in brittle conditions. Misalignment cracks were also found on one side, which dowel shift. In this phenomenon, misalignment cracks follow dowel shifting.",2020-02-14 00:00:00.000000000,Pavement Engineering,public,pub,Intech Open,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],846,1.0,https://www.intechopen.com/online-first/the-mechanism-of-misalignment-of-saw-cutting-crack-of-concrete-pavement,20.0,"[{'placement': 1, 'eprintid': 19415, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32640', 'security': 'public', 'files': [{'objectid': 32640, 'filesize': 4471805, 'filename': 'The Mechanism of Misalignment of Saw Cutting Crack of Concrete Pavement _ IntechOpen.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/162339', 'hash_type': 'MD5', 'mtime': '2020-05-04 05:32:22', 'datasetid': 'document', 'fileid': 162339, 'hash': 'c737d5826baf40fe96aa16aa381c922a', 'mime_type': 'application/pdf'}], 'main': 'The Mechanism of Misalignment of Saw Cutting Crack of Concrete Pavement _ IntechOpen.pdf', 'docid': 32640, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-05-04 06:52:09,archive,DOI: 10.5772/intechopen.91149,19415,1-20,Intech Open,TRUE,http://repository.lppm.unila.ac.id/id/eprint/19415,published,['TA'],2020-05-04 06:52:09,8,disk0/00/01/94/15,['FT2'],2020-05-04 06:52:09,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Zaghloul', 'given': 'Sameh'}}]",show,book_section,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Chatarina', 'given': 'Niken'}, 'id': 'chatarinaniken@yahoo.com'}]",The Mechanism of Misalignment of Saw Cutting Crack of Concrete Pavement,,,,,,,,,,,
1,"Masalah kemandirian daging masih merupakan masalah Nasional. Protein hewani sangat penting bagi tumbuhnya masyarakat yang sehat dan generasi yang kuat. Daging sapi sebagai salah satu sumber protein hewani, masih didatangkan bibitnya dari luar negeri. Indonesia sendiri mempunyai bebek sebagai sumber protein hewani. Pendampingan untuk Peternak Bebek agar membudidayakan pakan ternaknya dilakukan secara online dengan menggunakan whatapp yang sudah tidak asing bagi mereka. Karena umur panen bebek lebih panjang daripada ayam, maka biaya pakan menjadi tinggi. Tingginya harga konsentrat karena kandungan protein dan prosesnya. Protein untuk kebutuhan pakan bebek dapat dipenuhi oleh maggot yang merupakan tetasan telur black soldier fly (BSF). Petani bebek yang didampingi dalam budidaya maggot adalah dari Desa Mulyasari, Kecamatan Mande, Kabupaten Cianjur, Jawa Barat. Petani bebek ini juga mengajak anak-anak muda dalam melaksanakan budidaya maggot. Dengan pendampingan ini, Peternak sudah dapat membuat pakan fermentasi sebagai media hidup dan pakan maggot. Peternak sudah memanen hasilnya dan telah membuat pakan fermentasi empat kali dalam waktu 2 bulan. Peternak sudah merasakan manfaat maggot dan merasa kebutuhan BSF yang lebih banyak.",1970-01-01 00:00:00.000002020,,public,pub,,"[{'type': 'http://www.loc.gov/loc.terms/relators/FND', 'name': {'given': 'LPPM', 'lineage': None, 'family': 'UNILA', 'honourific': None}, 'id': 'lppmunila.ac.id'}]",846,,http://repository.lppm.unila.ac.id/28828/1/Prosiding%20SENAPATI%202020_Anisa%20Ulya%20D.pdf,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155168', 'security': 'public', 'placement': 1, 'eprintid': 34594, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'fileid': 406579, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8775c2433b864ea0af79ff0bdc685767', 'objectid': 155168, 'filesize': 3522357, 'filename': 'Chatarina Niken- Maggot- Senapati 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406579', 'hash_type': 'MD5', 'mtime': '2021-10-24 03:27:50'}], 'main': 'Chatarina Niken- Maggot- Senapati 2020.pdf', 'docid': 155168, 'format': 'text'}]",2021-10-25 03:19:21,archive,,34594,234-238,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/34594,published,['TA'],2021-10-25 03:19:21,7,disk0/00/03/45/94,['FT2'],2021-10-25 03:19:21,,show,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Chatarina', 'given': 'Niken'}, 'id': 'chatarinaniken@yahoo.com'}]",Pendampingan dengan Sistem Daring Peternak Bebek untuk Berbudidaya Maggot di Desa Mulyasari Mande Cianjur,['DIPA BLU'],conference,SENAPATI 2020,['LPPM'],22-23 September 2020,paper,"Daring, Universitas Lampung",,,,
2,"Penelitian ini bertujuan untuk mengatasi kelemahan-kelemahan teknik perkuatan tersebut dengan merancang inovasi konstruksi cerucuk pancang ferosemen (disingkat ‘cerucangfero’) yang memanfaatkan lekatan permukaannya dengan tanah lunak dan daya angkat tanah lunak yang terpampatkan di dalamnya sebagai kekuatan utama dalam menahan beban. Penelitian ini sangat dibutuhkan untuk mendukung analisis kapasitas cerucangfero dalam menahan beban di atas tanah lunak yang dikaitkan dengan luasan permukaan cerucangfero dan volume tanah yang terpampatkan. Hasil penelitian dapat digunakan sebagai landasan pertimbangan para praktisi konstruksi dalam merencanakan dan menggunakan cerucangfero di atas tanah lunak. 
Penelitian dilakukan di laboratorium Mekanik Tanah Fakultas Teknik Unila dengan tahapan pengujian sifat fisis tanah, kuat lekatan dan kapasitas daya dukung cerucangfero. Pengujian sifat fisis untuk mendapat faktor yang mempengaruhi daya lekat meliputi kohesi dan kuat geser. Pengujian lekatan fokus pada kekuatan lekatan atau geser antara tanah lunak dan ferosemen. Pengujian daya dukung cerucangfero terhadap beban yang bekerja di atasnya akan dihubungkan dengan volume tanah lunak yang dapat dipampatkan didalamnya dan terkait luas lekatan permukaan cerucangfero",2020-02-01 00:00:00.000000000,,public,unpub,LPPM Unila,,1021,,,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Masdar Helmi_FT_Unila_Prop.pdf', 'docid': 34248, 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-28 07:36:55', 'filesize': 1630123, 'objectid': 34248, 'filename': 'Masdar Helmi_FT_Unila_Prop.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/195153', 'datasetid': 'document', 'fileid': 195153, 'hash': '32fb053b1dfb62bbfd2fd7c19b510373', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34248', 'security': 'public', 'placement': 1, 'eprintid': 20864}]",2020-05-28 11:49:33,archive,,20864,,,,http://repository.lppm.unila.ac.id/id/eprint/20864,,['TA'],2020-05-28 11:49:33,8,disk0/00/02/08/64,['FT2'],2020-05-28 11:49:33,,show,other,"[{'name': {'given': 'Masdar', 'lineage': None, 'family': 'Helmi', 'honourific': None}, 'id': 'masdar.helmi@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Iswan', 'honourific': None, 'given': 'iswan'}, 'id': 'one_iswan@ymail.com'}, {'name': {'family': 'ALAMI', 'lineage': None, 'honourific': None, 'given': 'FIKRI'}, 'id': 'fikri.alami@eng.unila.ac.id'}]",Cerucuk Pancang Ferosemen (CERUCANGFERO) untuk Pondasi Konstruksi Ringan di Atas Tanah Lunak,,,,,,,,,,,
3,"Tingkat kecelakaan antara para pengguna jalan dengan kereta api sebenarnya dapat ditekan seminimal
mungkin karena lalu lintas kereta api tidak sepadat lalu lintas di jalan raya. Dalam penelitian ini menggunakan
teknik stated preference, Stated Preference adalah sebuah pendekatan dengan menyampaikan pernyataan pilihan
(option) berupa suatu hipotesa untuk dinilai oleh responden. Dengan meggunakan teknik anlisis regresi, peneliti
dapat melihat faktor-faktor dominan penyebab terjadinya kecelakaan di perlitasan kereta api khususnya perlintasan
tarahan – perlintasan sukamenenati yang ada pada situasi yang dihipotesis. Untuk menentukan faktor-faktor dominan
penyebab terjadinya kecelakaan di perlintasan kereta api berdasarkan hasil kuesioner terhadap instansi terkait
dikomparasi dengan data jumlah angka kejadian kecelakaan kereta api pada tahun 2012-2017 yang didapat dari
instansi terkait digunakan analisa regresi dengan bantuan program SPSS. Hasil analisa yang diperoleh adalah :
(Jumlah Kejadian Kecelakaan Pada Tahun 2012-2017) = -9,256 + 0,008 X_12 + 0,009 X_6 + 0,011 X_10 + 0,015
X_5
Dari hasil analisa regresi faktor dominan penyebab terjadinya kecelakaan adalah Jalur Kereta yang tak memadai,
ketersediaan gerbong yang minim, ketersediaan palang pintu yang kurang memadai, kerusakan mesin, faktor usia
gerbong (X_12), Pengendara Kendaraan Kelelahan Fisik Pada Saat Mengendarai Kendaraannya (X_6), Kerusakan
prasarana seperti rel yang aus, rel spaten (memuai), rel gongsol, rel gompal, sambungan rel retak, skilu pada rel,
bantalan lapuk, ballast yang tidak rata/tidak sesuai, tirepont yang lepas, serta wesel yang tidak terkunci (X_10),Masinis Kelelahan Fisik/ Mengantuk Pada Saat Bertugas (X_5).",2020-03-23 00:00:00.000000000,,public,pub,"Engineering Faculty, the University of Lampung",,392,1.0,http://sinta.eng.unila.ac.id/,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'PROSIDING_SINTA_2019-Published-2020.pdf', 'docid': 32047, 'files': [{'hash': 'ff89040e212d84db96ab280c9fadcd4f', 'mime_type': 'application/pdf', 'fileid': 158103, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158103', 'filename': 'PROSIDING_SINTA_2019-Published-2020.pdf', 'objectid': 32047, 'filesize': 19374226, 'mtime': '2020-03-23 13:21:13', 'hash_type': 'MD5'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32047', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18841}]",2020-03-30 01:11:08,archive,,18841,54-62,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/18841,published,['TA'],2020-03-30 01:11:08,6,disk0/00/01/88/41,['FT2'],2020-03-30 01:11:08,,show,article,"[{'name': {'lineage': None, 'family': 'Karunia', 'honourific': None, 'given': 'Meutia Nadia'}, 'id': 'meutianadia91@yahoo.com'}, {'id': 'sulistyorini.smd@gmail.com', 'name': {'lineage': None, 'family': 'Sulistyorini', 'honourific': None, 'given': 'Rahayu'}}, {'id': 'aleksander.purba@eng.unila.ac.id', 'name': {'given': 'Aleksander', 'honourific': None, 'lineage': None, 'family': 'Purba'}}]","Analisis Risiko Daerah Rawan Kecelakaan Pada Perlintasan
Sebidang Kereta Api
(Studi Kasus: Perlintasan Tarahan – Perlintasan Sukamenanti)",,,,,,,,2.0,2655-2914,[{'url': 'http://sinta.eng.unila.ac.id/PROSIDING_SINTA_2019.pdf'}],SEMINAR NASIONAL ILMU TEKNIK DAN APLIKASI INDUSTRI - SINTA 2019
4,"Pekerjaan  perkerasan  kakupada  proyek  jalan  toltrans  Sumatera  ruas  Bakauheni-Sidomulyo,  terjadi  retak  setelah  pengecoran.  Hal  ini  menyebabkan  kerugian  bagi pengguna  jasa,  sehingga perlu untuk  menganalisis  terjadinya  retak  tersebut.  Hasil analisis   ini   menjadi   bahan   pertimbangan   dalam   pengecoran   perkerasan   kaku, sehingga  retak  tersebut  tidak  kembali  terjadi.Pengamatan  dalam  penelitian  ini dilakukan  sepanjang  39,4  km  dengan duajalur -empatlajur,  yang  terbagi  menjadi 31.520 segmen.  Retak  melintang  dibagi duatipe,  yaitu  retak  pertengahan  segmen dan retak saw joint. Jumlah retak melintang pertengahan segmen sebanyak 185 buah (0,58%  dari  total  pengecoran),  retak  melintang saw  joint134  segmen  (0,42%  dari total  pengecoran).  Selain  retak  melintang  terdapat juga retak  rambut, yang terjadi sepanjang  125  segmen  (0,40%  dari  total  pengecoran).  Retak  pertengahan  segmen disebabkan adanya interval pengecoran yang lebih dari 15 menit antara beton yang telah  terhampar  dengan  beton  yang  belum  terhampar,  sehingga  terjadi  perbedaan kembang   dan   susut   pada   batasnya.   Retak saw   joint dikarenakan   bergesernya tulangan doweldari  as  segmen  dan  keterlambatan  pemotongan  beton  yaitu  lebih dari    18    jam.    Untuk    penyebab    retak    rambut    dikarenakan    tidak    meratanya penyiraman  cairan curing  compoundsaat  proses  pengecoran  berlangsung.  Retak  ini juga  dapat  muncul  saat  masa  pemeliharaan  beton.  Pemeliharaan  dilakukan  dengan cara penyiraman air ke permukaan beton, selain itu retak juga dapat muncul karena pemeliharaan yang dilakukan kurang dari 7 hari.",2020-04-01 00:00:00.000000000,,public,pub,Fakultas Teknik Universitas Lampung,,846,1.0,https://rekayasa.ft-sipil.unila.ac.id/index.php/rjits/article/view/7/1,,"[{'eprintid': 27891, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41872', 'pos': 1, 'format': 'text', 'main': 'rjits/article/view/7', 'docid': 41872, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/248554', 'filename': 'rjits/article/view/7', 'filesize': 28016, 'objectid': 41872, 'mtime': '2021-02-15 09:45:41', 'hash_type': 'MD5', 'mime_type': 'text/html', 'hash': 'acba2701a42eaeb94728be5d1503ad95', 'fileid': 248554, 'datasetid': 'document'}], 'content': 'published', 'language': 'id', 'mime_type': 'text/html', 'rev_number': 3}]",2021-02-16 03:56:28,archive,https://doi.org/10.23960/rekrjits.v24i1.7,27891,1-5,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/27891,published,['TE'],2021-02-16 03:56:28,8,disk0/00/02/78/91,['FT2'],2021-02-16 03:56:28,,show,article,"[{'id': 'rainal198928@gmail.com', 'name': {'given': 'Rainal', 'honourific': None, 'family': 'Rainal', 'lineage': None}}, {'id': 'chatarinaniken@yahoo.com', 'name': {'given': 'Niken', 'honourific': None, 'lineage': None, 'family': 'Chatarina'}}, {'name': {'given': 'Muhammad', 'honourific': None, 'lineage': None, 'family': 'Karami'}, 'id': 'muhammad.karami@eng.unila.ac.id'}]",Analisis penyebab retak melintang pada perkerasan kaku (studi kasus jalan tol Bakauheni-Sidomulyo di Lampung Selatan),,,,,,,,24.0,,,Jurnal Rekayasa Universitas Lampung Vol 24 No 1
5,"Percepatan   konstruksi   jembatan   telah   menjadi   alternatif   populer   yang   digunakan   dalam pembangunan  jembatan  baru.  Di  Indonesia  saat  ini,  masih  banyak  konstruksi  jembatan Cast  in  Place Balanced   Cantilever   Prestressed   Box   Girder.   Sebagai   studi   kasus,   kajian   ini   dilakukan   pada   Proyek Pembangunan Jalan Tol Semarang –Solo Seksi 1, dalam lingkupnya proyek ini harus menyelesaikan 3 buah jembatan  box  girder  yaitu Jembatan Banyumanik1(170m’), Jembatan Banyumanik2(384  m’)dan Jembatan Gedawang(470m’).  Percepatan masa  konstruksi  dilakukan  dengan  mempersingkat cycle  timemetode balanced  cantileverdari  7  hari  menjadi  5  hari,  dengan  mengurangi  durasi curing  timebeton  dari  3 hari  menjadi  2  hari.  Pada  umur  2  hari  kuat  tekan  beton  harus  mencapai  80%*f’c (33.20  MPa) untuk keperluan prestressing  tendons.  Penelitian  ini  bertujuan  untuk  mengembangkan  campuran  beton  kekuatan awal   tinggi,   membandingkan   campuran   beton   dengan   penambahan   beberapa   produk superplastisizerditinjau  dari  aspek  nilai  slump  dan  kuat  tekan,  serta  mendapatkan  campuran  beton  dengan  kuat  tekan 80%*f’c(33.20  MPa)pada  umur  2  hari. Penelitian  ini  menggunakan  metode  eksperimen (trial mix)dengan menambahkan superplastisizersikament LN dosis 1.7%,  Glenium C-315 dosis 1.2%  dan ViscoCrete 3110 ID dosis  1.2%  selanjutnya  dilakukan  uji  kuat  tekan  pada  umur  1,2,7  dan  28  hari.    Benda  uji  berupa  silinder beton  Ø15  x  30  cm  dengan  jumlah  sampel  72  buah  dan  kuat  tekan  rencana  41.5  MPa.Hasil  penelitian  ini menunjukkan nilai slump ketiga campuran diatas 20±2 cm, kuat tekan rerata tertinggi pada umur 1,2 dan 7 hari pada campuran beton dengan Glenium C-315 1.2% (26.85 MPa, 37.52 MPa dan 44.78 MPa) dan umur 28  hari  pada  campuran  beton  dengan  Sikament  LN  1.7% sebesar  51.33  MPa,  kuat  tekan  karakteristik tertinggi umur 28 hari pada campuran beton dengan Sikament LN 1.7% sebesar 49.55 MPa dan kuat tekan beton  umur  2 hari  yang  sudah mencapai  80%  f’c (33.20  MPa)   didapat  pada  campuran  beton  dengan Glenium C-316 1.2% sebesar 37.52 MPa dan ViscoCrete 3110 ID 1.2% sebesar 36.40 MPa.",2020-06-01 00:00:00.000000000,,public,pub,Fakultas Teknik Universitas Lampung,,392,1.0,http://jpi.eng.unila.ac.id,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '11-Article Text-25-1-10-20200413.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-08-12 04:25:08', 'filesize': 781778, 'objectid': 37238, 'uri': 'http://repository.lppm.unila.ac.id/id/file/215624', 'filename': '11-Article Text-25-1-10-20200413.pdf', 'datasetid': 'document', 'fileid': 215624, 'hash': '01d88674fe18424271863e9834a63744', 'mime_type': 'application/pdf'}], 'docid': 37238, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37238', 'pos': 1, 'eprintid': 23603, 'placement': 1}]",2020-08-13 02:16:04,archive,,23603,5-10,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/23603,published,['TA'],2020-08-13 02:16:04,6,disk0/00/02/36/03,['FT2'],2020-08-13 02:16:04,,show,article,"[{'id': 'dharmasinyo@gmail.com', 'name': {'given': 'Darmawan', 'lineage': None, 'family': 'Susanto', 'honourific': None}}, {'id': 'aleksander.purba@eng.unila.ac.id', 'name': {'given': 'Aleksander', 'honourific': None, 'lineage': None, 'family': 'Purba'}}, {'name': {'given': 'Fauzan', 'family': 'Murdapa', 'lineage': None, 'honourific': None}, 'id': 'fauzan.murdapa@eng.unila.ac.id'}]",Penerapan Beton Kekuatan Awal Tinggi Untuk Percepatan Pekerjaan Jembatan Cast inPlace BalancedCantilever Prestressed Box Girder,,,,,,,,1.0,2722-5771,[{'url': 'https://doi.org/10.23960/jpi.v1n1.11'}],Jurnal Profesi insinyur Universitas Lampung
6,PROCEDIA ENV. SCI. VOL 13 2012 BARU,1970-01-01 00:00:00.000002020,,public,pub,UNIVERSITY OF LAMPUNG,,874,,,,"[{'main': 'HOK GABUNGAN.pdf', 'docid': 36219, 'files': [{'hash': '13795661bc3334ca1bc5e7eed3764182', 'mime_type': 'application/pdf', 'fileid': 208466, 'datasetid': 'document', 'mtime': '2020-06-22 21:43:38', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208466', 'filename': 'HOK GABUNGAN.pdf', 'filesize': 659456, 'objectid': 36219}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 22717, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36219', 'security': 'public'}]",2020-06-23 01:31:34,archive,,22717,,,,http://repository.lppm.unila.ac.id/id/eprint/22717,,"['TA', 'TC', 'TD']",2020-06-23 01:31:34,9,disk0/00/02/27/17,['FT2'],2020-06-23 01:31:34,,show,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Susilo', 'given': 'Gatot E'}, 'id': 'gatot89@yahoo.ca'}]",PROCEDIA ENV. SCI. VOL 13 2012 BARU,,,,,,,,,,,
7,HOKKAIDO LINK REVIEWER,1970-01-01 00:00:00.000002020,,public,pub,UNIVERSITY OF LAMPUNG,,874,,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'HOK_merged.pdf', 'docid': 36195, 'files': [{'filename': 'HOK_merged.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208315', 'filesize': 1179248, 'objectid': 36195, 'mtime': '2020-06-22 05:42:37', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f84b53458cd23e294c266b6a9edbcb7b', 'fileid': 208315, 'datasetid': 'document'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36195', 'eprintid': 22700, 'placement': 1}]",2020-06-22 05:51:28,archive,,22700,,,,http://repository.lppm.unila.ac.id/id/eprint/22700,,"['T1', 'TA', 'TC', 'TD']",2020-06-22 05:51:28,10,disk0/00/02/27/00,['FT2'],2020-06-22 05:51:28,,show,other,"[{'name': {'honourific': None, 'family': 'Susilo', 'lineage': None, 'given': 'Gatot Eko'}, 'id': 'gatot89@yahoo.ca'}]",HOKKAIDO LINK REVIEWER,,,,,,,,,,,
8,JWET LINK REVIEWER,1970-01-01 00:00:00.000002020,,public,pub,UNIVERSITY OF LAMPUNG,,874,,,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36192', 'security': 'public', 'placement': 1, 'eprintid': 22697, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'JWET_merged.pdf', 'docid': 36192, 'files': [{'mime_type': 'application/pdf', 'hash': '4fb23b943e99879bbf801e5c5c3345cf', 'datasetid': 'document', 'fileid': 208285, 'mtime': '2020-06-22 05:08:19', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208285', 'filename': 'JWET_merged.pdf', 'filesize': 800563, 'objectid': 36192}], 'format': 'text'}]",2020-06-22 05:49:29,archive,,22697,,,,http://repository.lppm.unila.ac.id/id/eprint/22697,,"['T1', 'TA', 'TC', 'TD']",2020-06-22 05:49:29,10,disk0/00/02/26/97,['FT2'],2020-06-22 05:49:29,,show,other,"[{'name': {'given': 'Gatot Eko', 'family': 'Susilo', 'lineage': None, 'honourific': None}, 'id': 'gatot89@yahoo.ca'}]",JWET LINK REVIEWER,,,,,,,,,,,
9,PROCEDIA 1 LINK REVIEWER,1970-01-01 00:00:00.000002020,,public,pub,UNIVERSITY OF LAMPUNG,,874,,,,"[{'eprintid': 22701, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36196', 'pos': 1, 'format': 'text', 'main': 'PROCEDIA 2012.pdf', 'files': [{'mtime': '2020-06-22 05:51:00', 'hash_type': 'MD5', 'filename': 'PROCEDIA 2012.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208326', 'objectid': 36196, 'filesize': 1180519, 'hash': 'd7ad61ef8e1bad9f6e0cc7cb423e8edd', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 208326}], 'docid': 36196, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-06-23 01:30:45,archive,,22701,,,,http://repository.lppm.unila.ac.id/id/eprint/22701,,"['T1', 'TA', 'TC', 'TD']",2020-06-23 01:30:45,10,disk0/00/02/27/01,['FT2'],2020-06-23 01:30:45,,show,other,"[{'id': 'gatot89@yahoo.ca', 'name': {'family': 'Susilo', 'lineage': None, 'honourific': None, 'given': 'Gatot Eko'}}]",PROCEDIA 1 LINK REVIEWER,,,,,,,,,,,
