,pagerange,datestamp,id_number,eprint_status,eprintid,official_url,documents,userid,number,refereed,date,abstract,related_url,publisher,ispublished,full_text_status,issn,metadata_visibility,lastmod,title,type,creators,date_type,subjects,uri,volume,funders,publication,dir,divisions,rev_number,status_changed,contributors,projects,event_location,event_dates,pres_type,event_title,event_type,corp_creators
0,35-46,2021-10-25 03:17:47,10.7176/CER/11-4-05,archive,34574,https://www.iiste.org,"[{'formatdesc': 'Jurnal', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155109', 'pos': 1, 'eprintid': 34574, 'placement': 1, 'content': 'published', 'mime_type': 'application/xml', 'language': 'en', 'rev_number': 3, 'format': 'other', 'main': 47815, 'files': [{'mtime': '2021-10-21 09:44:22', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406384', 'filename': 47815, 'objectid': 155109, 'filesize': 17825, 'hash': 'dc83e48349bf4c89759e5d8f0521c1d2', 'mime_type': 'application/xml', 'datasetid': 'document', 'fileid': 406384}], 'docid': 155109}, {'main': 'Lab and full scale.docx', 'docid': 155110, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '31f33a1023b07e4b9f8b898538f7c8e9', 'fileid': 406386, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406386', 'filename': 'Lab and full scale.docx', 'filesize': 9402687, 'objectid': 155110, 'mtime': '2021-10-21 09:47:19', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'placement': 2, 'eprintid': 34574, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155110', 'pos': 2, 'security': 'public'}]",846,4.0,TRUE,2019-05-01 00:00:00.000000000,"The beam is a significant element structure in bridge and high - rise building. The aim of this study is to obtain the difference of early age shrinkage between beam with laboratory scale and full scale. High-performance concrete with compressive strength of 60 MPa was used. This research was done experimentally in Indonesia for 24 hours. Three pieces of specimens measuring laboratory size of 150 mm × 150 mm × 600 mm, and one specimen measuring 200 mm ×600 mm ×3000 mm as full - scale specimen were used. All specimens were covered with styrofoam to eliminate transfer humidity. Early age shrinkage was obtained by using an embedded vibrating wire strain gauge for each laboratory size specimen and four embedded vibrating wire strain gauge for the full-scale specimen. As a result, the shrinkage type of full- scale specimen is a similar type to laboratory size. Shrinkage in laboratory size specimen is 31.5% larger than in full-scale specimen. Maximum shrinkage in a full-scale specimen is about 0.8E-04 occurs at the concrete age of 15.8 hours, while in laboratory size specimen is about 1.255E-04 occur at the age of 22.2 hours. Fluctuation expansion and shrinkage are smoother in full-scale than in laboratory size specimen. This is because in full-scale ettringite can expand more optimally so that it can come with stand shrinkage losses due to the growth of hydration products. High rate deformation of both specimens scale is occurring in the age range of 5-9 hours. Therefore, it is safe to assume the behavior of a real beam of high-performance concrete similar to laboratory size beam.","[{'type': 'pub', 'url': 'https://www.iiste.org/Journals/index.php/CER/article/view/47815'}]",IISTE,pub,public,2225-0514,show,2021-10-25 03:17:47,Early-age Shrinkage of High-Performance Concrete Beam in Laboratory and Full Scale,article,"[{'name': {'given': 'Niken', 'honourific': None, 'lineage': None, 'family': 'Chatarina'}, 'id': 'chatarinaniken@yahoo.com'}]",published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/34574,11.0,"['Indocement, Sika']",Civil and Environmental Research,disk0/00/03/45/74,['FT2'],10,2021-10-25 03:17:47,,,,,,,,
1,1-11,2020-05-05 04:52:53,DOI: 10.7176/CER/11-4-05,archive,19426,https://iiste.org/Journals/index.php/CER/article/view/47815,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32651', 'security': 'public', 'placement': 1, 'eprintid': 19426, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'daeaf93e07e82a2d2f7ebb4d76880dad', 'datasetid': 'document', 'fileid': 162422, 'mtime': '2020-05-04 07:15:45', 'hash_type': 'MD5', 'filename': 'Edited-Early age shrinkage beam lab  and  full scale.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/162422', 'objectid': 32651, 'filesize': 9402676}], 'main': 'Edited-Early age shrinkage beam lab  and  full scale.docx', 'docid': 32651, 'format': 'text'}]",846,4.0,TRUE,2019-05-31 00:00:00.000000000,"The beam is a significant element structure in bridge and high - rise building. The aim of this study is to obtain the difference of early age shrinkage between beam with laboratory scale and full scale. High-performance concrete with compressive strength of 60 MPa was used. This research was done experimentally in Indonesia for 24 hours. Three pieces of specimens measuring laboratory size of 150 mm × 150 mm × 600 mm, and one specimen measuring 200 mm ×600 mm ×3000 mm as full - scale specimen were used. All specimens were covered with styrofoam to eliminate transfer humidity. Early age shrinkage was obtained by using an embedded vibrating wire strain gauge for each laboratory size specimen and four embedded vibrating wire strain gauge for the full-scale specimen. As a result, the shrinkage type of full- scale specimen is a similar type to laboratory size. Shrinkage in laboratory size specimen is 31.5% larger than in full-scale specimen. Maximum shrinkage in a full-scale specimen is about 0.8E-04 occurs at the concrete age of 15.8 hours, while in laboratory size specimen is about 1.255E-04 occur at the age of 22.2 hours. Fluctuation expansion and shrinkage are smoother in full-scale than in laboratory size specimen. This is because in full-scale ettringite can expand more optimally so that it can come with stand shrinkage losses due to the growth of hydration products. High rate deformation of both specimens scale is occurring in the age range of 5-9 hours. Therefore, it is safe to assume the behavior of a real beam of high-performance concrete similar to laboratory size beam.",,IISTE,pub,public,2225-0514,show,2020-05-05 04:52:53,Early–Age Shrinkage of High-Performance Concrete Beam in Laboratory and Full-Scale,article,"[{'id': 'chatarinaniken@yahoo.com', 'name': {'family': 'Chatarina', 'lineage': None, 'honourific': None, 'given': 'Niken'}}]",published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/19426,11.0,,Civil and Environmental Research,disk0/00/01/94/26,['FT2'],6,2020-05-05 04:52:53,"[{'id': 'chatarinaniken@yahoo.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Niken', 'family': 'Chatarina', 'lineage': None, 'honourific': None}}]",,,,,,,
2,1-8,2021-10-25 03:18:41,0.1088/1757-899X/669/1/012012,archive,34581,https://iopscience.iop.org,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/155134', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 34581, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 406470, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e2614d0efac6a84c81024becd5576a8d', 'filesize': 770092, 'objectid': 155134, 'uri': 'http://repository.lppm.unila.ac.id/id/file/406470', 'filename': 'Prosiding Int IOP One day.pdf', 'hash_type': 'MD5', 'mtime': '2021-10-22 08:21:29'}], 'main': 'Prosiding Int IOP One day.pdf', 'docid': 155134, 'format': 'text'}]",846,,TRUE,1970-01-01 00:00:00.000002019,"Plate, beam, and column have a different mechanical characteristic. Understanding the one-day mechanism of the three concrete structural elements is the objective of this study. The quality of the concrete used is fc’ of 60 MPa. Observation of concrete strain was done during 24 hours. Five small specimens measuring of 150 mm × 150 mm × 600 mm with one strain gauges (EVWSG) for each specimen, three specimens in horizontal position as a beam and two specimens in vertical positions as a column; one full-scale beam specimen measuring of 200 mm × 600 mm × 3000 mm (four EVWSG), and one plate specimen measuring of 3000 mm × 1600 mm × 150 mm (four EVWSG) were used. All specimens were covered with styrofoam. One-day behavior was found by computing the average strain change from a small beam and column specimens, and average strain change of the fourth EVWSG in the plate/full- scale beam. As a result, there is a similar type between concrete temperature and the behavior of plate, beam, and column. The behavior of the beam is identically to the plate behavior. Column behavior is more fluctuating than beam and plate. High rate shrinkage is significant in beam and plate, but in the column, expansion was dominated.",[{'url': 'https://iopscience.iop.org/article/10.1088/1757-899X/669/1/012012'}],IOP Publishing,pub,public,1757-899X,show,2021-10-25 03:18:41,"One day High Performance Concrete Mechanism of Plate, Beam and Column",article,"[{'id': 'chatarinaniken@yahoo.com', 'name': {'given': 'Niken', 'lineage': None, 'family': 'Chatarina', 'honourific': None}}]",published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/34581,669.0,"['Indocement, Sika']",IOP Conference Series: Materials Science and Engineering,disk0/00/03/45/81,['FT2'],6,2021-10-25 03:18:41,"[{'id': 'corpsec@indocement.co.id', 'type': 'http://www.loc.gov/loc.terms/relators/FND', 'name': {'honourific': None, 'lineage': None, 'family': 'Indocement, Ltd', 'given': 'Indonesia'}}, {'name': {'given': 'Indonesia', 'lineage': None, 'family': 'Sika, Ltd', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/FND', 'id': 'sikacare@id.sika.com'}]",,,,,,,
3,1-5,2021-10-25 03:19:31,,archive,34597,http://repository.lppm.unila.ac.id/28828/1,"[{'placement': 1, 'eprintid': 34597, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155171', 'security': 'public', 'docid': 155171, 'main': 'Chatarina Niken-Unila, Perahu Ting-ting.docx', 'files': [{'hash_type': 'MD5', 'mtime': '2021-10-24 06:29:01', 'filesize': 18093374, 'objectid': 155171, 'uri': 'http://repository.lppm.unila.ac.id/id/file/406603', 'filename': 'Chatarina Niken-Unila, Perahu Ting-ting.docx', 'fileid': 406603, 'datasetid': 'document', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '67caedfdf55d37666f22682be38d3467'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}]",846,,TRUE,1970-01-01 00:00:00.000002019,"Pada tanggal 22 Desember 2018, terjadi tsunami akibat erupsi gunung Anak Krakatau di daerah pesisir Banten dan Lampung.  Terdapat lima kabupaten yang mengalami kerusakan, yaitu Pandeglang, Serang, Lampung Selatan, Pesawaran, dan Tanggamus. Pandeglang adalah Kabupaten yang menderita paling parah. Jarak antara Gunung Anak Krakatau dan Kabupaten Pandeglang sekitar 65km. Dengan jarak tersebut jumlah orang tewas Pandeglang terbanyak yaitu 296 meninggal dunia. Metode yang digunakan dalam membantu korban adalah dengan survey tentang kebutuhan mendesak yang diperlukan. Dari hasil survey kebutuhan yang mendesak adalah perahu ting-ting dan penanganan trauma anak-anak. Perahu ting-ting merupakan prasana utama masyarakat Banyuasih Pandeglang dalam mencari nafkah.  Tsunami tersebut menyebabkan 53 perahu ting-ting mengalami kerusakan dan hilang tertelan tsunami. Langkah selanjutnya adalah mengumpulkan dana dari para relawan, membuat system agar para keluarga bisa menggunakan perahu ting-ting bantuan dengan system bergiliran dan setoran ke Badan Usaha Milik Desa sebesar Rp 500.000 setiap melaut, memonitor untuk memastikan sistem tersebut berjalan baik dengan cara memeriksa administrasi penggunaan perahu dan keuangan dari setoran, serta memonitor penggunaan uang setoran untuk pembuatan perahu ting-ting lagi dengan melaporkan melalui WhatsApp disertai foto dan kunjungan. Terapi trauma untuk anak-anak adalah mengajak bergembira, bernyanyi, mewarnai dan mendengarkan dongeng sehingga anak-anak merasa diperhatikan.",,,pub,public,,show,2021-10-25 03:19:31,"Pengarahan dan Penyerahan Bantuan Pembuatan Perahu  
Tingting serta Penghiburan Anak-anak Korban Tsunami 
di Desa Banyuasih Pandeglang Banten",conference_item,"[{'name': {'given': 'Niken', 'family': 'Chatarina', 'lineage': None, 'honourific': None}, 'id': 'chatarinaniken@yahoo.com'}]",published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/34597,,['Yayasan Prana Indonesia'],,disk0/00/03/45/97,['FT2'],7,2021-10-25 03:19:31,"[{'type': 'http://www.loc.gov/loc.terms/relators/FND', 'name': {'given': 'GMCKS', 'family': 'Yayasan Prana Indonesia', 'lineage': None, 'honourific': None}, 'id': 'prana.indonesia@gmail.com'}]",['Yayasan Prana Indonesia'],Bandar Lampung,24 April 2019,paper,Senapati 2019,conference,
4,14-19,2021-10-25 03:19:24,,archive,34595,http://repository.lppm.unila.ac.id/28828/1,"[{'eprintid': 34595, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155169', 'format': 'text', 'docid': 155169, 'main': 'Chatarina Niken-Unila-Jalan Beton.docx', 'files': [{'hash_type': 'MD5', 'mtime': '2021-10-24 04:01:48', 'filesize': 60823860, 'objectid': 155169, 'uri': 'http://repository.lppm.unila.ac.id/id/file/406586', 'filename': 'Chatarina Niken-Unila-Jalan Beton.docx', 'fileid': 406586, 'datasetid': 'document', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '4cf58009e76b710e4b7fa23a40e311fd'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}]",846,,TRUE,1970-01-01 00:00:00.000002019,"Kabupaten Mesuji merupakan penghasil sawit.  Jalan di kabupaten Mesuji menjadi sarana utama transportasi sawit dari perkebunan menuju pabrik pembuatan minyak goreng. Selain sawit, juga penghasil kayu.  Dengan demikian beban yang harus ditahan oleh jalan lebih dari 10 ton.  Karena jalan tidak cukup kuat, maka timbul kerusakan dimana-mana.  Selain perencanaannya tidak memadai, pembangunan tersebut tidak sesuai dengan standar yang harus dipenuhi. Pembangunan jalan Kabupaten pada umumnya dilakukan oleh tukang atau masyarakat setempat.  Karena kurangnya pengetahuan maka performance jalan cukup memprihatinkan. Oleh sebab itu, Bupati Kabupaten Mesuji menginginkan pembangunan jalan Kabupaten dengan perkerasan kaku. Karena terdapat material kerikil dan pasir dari daerah Mesuji sendiri dan untuk meningkatkan ketrampilan bagi masyarakat Mesuji dalam membangun, maka diperlukan penyuluhan dan praktek pembuatan jalan beton. Peserta yang akan mengikuti pelatihan diseleksi oleh Kepala Dinas Pekerjaan Umum Kabupaten Mesuji. Dalam pelatihan dilakukan penjajagan awal kemampuan peserta dengan tanya-jawab langsung. Penyampaian materi dilakukan dengan Bahasa yang sederhana dan alat peraga. Peserta merangkum inti pelatihan dan membuat Standard Operating Procedure (SPO) bersama pemateri. Intisari pelatihan ditulis oleh masing-masing peserta dan ditandatangani oleh pemateri. Peserta melakukan praktek pengecoran dan pembuatan benda uji",[{'url': 'http://repository.lppm.unila.ac.id/16216/1/Lengkap-min.pdf'}],,pub,public,,show,2021-10-25 03:19:24,"Penyuluhan Pembuatan Jalan Beton di Kabupaten Mesuji, Provinsi Lampung",conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Chatarina', 'given': 'Niken'}, 'id': 'chatarinaniken@yahoo.com'}, {'id': 'sasana.putra@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Putra', 'honourific': None, 'given': 'Sasana'}}]",published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/34595,,['Pemda Mesuji'],,disk0/00/03/45/95,['FT2'],8,2021-10-25 03:19:24,"[{'id': 'https://mesujikab.go.id/', 'name': {'family': 'Pemda Mesuji', 'lineage': None, 'honourific': None, 'given': 'Kabupaten Mesuji'}, 'type': 'http://www.loc.gov/loc.terms/relators/FND'}]",['Pemda Mesuji'],Bandar Lampung,24 April 2019,paper,Senapati 2019,conference,['Suroso']
5,1-5,2019-05-23 02:52:22,,archive,13125,,"[{'eprintid': 13125, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26128', 'format': 'text', 'main': '52-Dwi JokoWinarno_review V2.docx', 'docid': 26128, 'files': [{'filesize': 3434768, 'objectid': 26128, 'uri': 'http://repository.lppm.unila.ac.id/id/file/115388', 'filename': '52-Dwi JokoWinarno_review V2.docx', 'hash_type': 'MD5', 'mtime': '2019-05-21 05:02:59', 'datasetid': 'document', 'fileid': 115388, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'd8d04dc9d1c1f0ee58fe7baaba87b0e3'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}]",577,,TRUE,2019-04-24 00:00:00.000000000,"Kalibrasi merupakan upaya untuk memenuhi ketersediaan data dan informasi hidrologi yang memadai, akurat, tepat waktu dan berkesinambungan yang sudah menjadi tuntutan mendesak untuk dapat segera diwujudkan. Namun kenyataannya hingga saat ini kualitas data hidrologi yang ada, dapat dikatakan masih rendah. Sehingga untuk mewujudkan cita-cita tersebut harus didukung usaha pengelolaan hidrologi yang lebih profesional. Tugas pengukur debit dan kalibrator pintu air adalah sebagai berikut: a).melakukan pengukuran debit; b).mencatat, menghitung dan melaporkan hasil pengukuran debit untuk berbagai kondisi (perlakuan) dan perulangan; c). Membuat rating curve (liku kalibrasi) pintu air. Pemberdayaan dilakukan dengan disertai praktek lapangan pengukuran kalibrasi pintu air terutama pengukuran debit Daerah Irigasi Sekampung Sistem.",,,pub,public,,show,2019-05-23 02:52:22,PEMBERDAYAAN SURVEYOR DAN PETUGAS PINTU AIR IRIGASI DALAM MELAKUKAN KALIBRASI PINTU AIR IRIGASI,conference_item,"[{'id': 'd.jokowinarno@gmail.com', 'name': {'given': 'Dwi', 'honourific': None, 'family': 'Jokowinarno', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Kusumastuti', 'lineage': None, 'given': 'Dyah Indriana'}, 'id': 'kusumast@gmail.com'}]",,['TA'],http://repository.lppm.unila.ac.id/id/eprint/13125,,,,disk0/00/01/31/25,['FT2'],7,2019-05-23 02:52:22,,,Bandar Lampung,24 April 2019,paper,Seminar SENAPATI,conference,
6,1-10,2019-11-04 08:20:18,,archive,14523,http://icoste2019.uwks.ac.id/,"[{'format': 'text', 'docid': 27604, 'main': 'ICoSTE-Aleksander Purba-fullpaper.pdf', 'files': [{'mtime': '2019-10-09 14:23:42', 'hash_type': 'MD5', 'filename': 'ICoSTE-Aleksander Purba-fullpaper.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/125830', 'filesize': 197409, 'objectid': 27604, 'hash': '3172107fc758b509c2d2dd5d99be79cb', 'mime_type': 'application/pdf', 'fileid': 125830, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 14523, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27604', 'pos': 1}]",392,,TRUE,2019-08-29 00:00:00.000000000,"The existence of exclusive stopping space (ESS) at the signalized intersection is expected to improve the performance of intersection, by collecting the motorcycle in an exclusive space and discharging it early when the signal is display green. This research compares the level of saturation flow on the approach with ESS and approach without ESS and finds that ESS's effectiveness is influenced primarily by occupancy rate. The findings of this study indicated that at 71% of ESS occupancy rate, the approach was able to discharge the saturation flow by 20% higher than the approach with a width of 4.5 m but without ESS. On the contrary, the approach without ESS with a width of 6.5 m looks better in discharge saturation flow compared with the approach with ESS but with an occupancy rate of only 38%. Careful design is highly recommended especially the area of ESS provided for motorcycle so that the functions performed by exclusive space run an effective way as planned.",[{'url': 'http://icostesci.uwks.ac.id/'}],,submitted,public,,show,2019-11-04 08:20:18,A Study on the Influences of Exclusive Stopping Space on Saturation Flow (Case Study: Bandar Lampung),conference_item,"[{'id': 'aleksander.purba@eng.unila.ac.id', 'name': {'given': 'Aleksander', 'lineage': None, 'family': 'Purba', 'honourific': None}}, {'id': 'ikakustiani@yahoo.com', 'name': {'given': 'Ika', 'lineage': None, 'family': 'Kustiani', 'honourific': None}}]",submitted,['TA'],http://repository.lppm.unila.ac.id/id/eprint/14523,,,,disk0/00/01/45/23,['FT2'],8,2019-11-04 08:20:18,,,"Jogjakarta, Indonesia",29-30 August 2019,paper,"International Conference on Science, Technology and Environment",conference,
7,1-10,2020-02-17 04:16:09,3487327,archive,17566,https://dx.doi.org/10.2139/ssrn.3487327,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30692', 'security': 'public', 'placement': 1, 'eprintid': 17566, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Dari SRRN-journal.pdf', 'files': [{'hash': '00ddfa8db2ec861f3578d6cf85269eed', 'mime_type': 'application/pdf', 'fileid': 148468, 'datasetid': 'document', 'mtime': '2020-01-15 06:19:03', 'hash_type': 'MD5', 'filename': 'Dari SRRN-journal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148468', 'filesize': 196297, 'objectid': 30692}], 'docid': 30692, 'format': 'text'}]",392,,TRUE,2019-11-18 00:00:00.000000000,"The existence of exclusive stopping space (ESS) at the signalized intersection is expected to improve the performance of intersection, by collecting the motorcycle in an exclusive space and discharging it early when the signal is display green. This research compares the level of saturation flow on the approach with ESS and approach without ESS and finds that ESS's effectiveness is influenced primarily by occupancy rate. The findings of this study indicated that at 71% of ESS occupancy rate, the approach was able to discharge the saturation flow by 20% higher than the approach with a width of 4.5 m but without ESS. On the contrary, the approach without ESS with a width of 6.5 m looks better in discharge saturation flow compared with the approach with ESS but with an occupancy rate of only 38%. Careful design is highly recommended especially the area of ESS provided for motorcycle so that the functions performed by exclusive space run an effective way as planned.",[{'url': 'http://papers.ssrn.com/abstract=3487327'}],ELSEVIER,pub,public,‎1556-5068,show,2020-02-17 04:16:09,A Study on the Influences of Exclusive Stopping Space on Saturation Flow (Case Study: Bandar Lampung),article,"[{'id': 'aleksander.purba@eng.unila.ac.id', 'name': {'given': 'Aleksander', 'honourific': None, 'lineage': None, 'family': 'Purba'}}, {'id': 'ikakustiani@yahoo.com', 'name': {'honourific': None, 'family': 'Kustiani', 'lineage': None, 'given': 'Ika'}}]",published,['TA'],http://repository.lppm.unila.ac.id/id/eprint/17566,,,SSRN,disk0/00/01/75/66,['FT2'],6,2020-02-17 04:16:09,,,,,,,,
8,1-13,2019-11-18 07:08:42,,archive,16710,http://journal.eng.unila.ac.id/index.php/jrsdd/index,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-16 07:54:05', 'filesize': 290532, 'objectid': 29785, 'uri': 'http://repository.lppm.unila.ac.id/id/file/142197', 'filename': 'Inclined Column.pdf', 'fileid': 142197, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '0f47edad1d0ec90c10d7c7a9a932078a'}], 'main': 'Inclined Column.pdf', 'docid': 29785, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29785', 'pos': 1, 'eprintid': 16710, 'placement': 1}]",492,2.0,FALSE,2019-06-01 00:00:00.000000000,"The increasing development of high-rise building construction with unique design in Indonesia
today can not be denied. The high-rise buildings must have earthquake resistance because of
Indonesia is a country that has the risk of an earthquake. This requires a multi-storey structure
designer to be able to design a multi-storey building structure with various conditions and
configurations. Based on that problems, a building will be designed with unusual shape by
inclining the entire main structural column with a slope angle is 80o. And as a comparison,
another building will be designed which uses vertical column. The building plan will be located in
Banjarmasin, South Kalimantan, Indonesia.
The building plans with inclined and vertical column use reinforced concrete material with Ordinary Moment Resisting Frame (OMRF) as a structural strength system. This system is
determined by the location of the building based on Indonesian Earthquake Map 2012.
The result of the analysis and design is the building with inclined column has greater internal force compared to a building with vertical column and requires a reinforcement of 70.89% more than the building with vertical column.",,Jurusan Teknik Sipil Universitas Lampung,pub,public,2303-0011,show,2019-11-18 07:08:42,"Analisis dan Desain Elemen Struktur Beton Bertulang pada Gedung yang Memiliki Kolom Miring dengan Sistem Rangka Pemikul Momen Biasa
(SRPMB)",article,"[{'id': 'angelinadhiniuli@gmail.com', 'name': {'given': 'Angelina Dhini', 'honourific': None, 'lineage': None, 'family': 'Simatupang'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Bayzoni', 'given': 'Bayzoni'}, 'id': 'bayzoni.1973@eng.unila.ac.id'}, {'name': {'family': 'Kusnadi', 'lineage': None, 'honourific': None, 'given': 'Andi'}, 'id': 'andi.kusnadi@eng.unila.ac.id'}]",,['TA'],http://repository.lppm.unila.ac.id/id/eprint/16710,7.0,,Jurnal Rekayasa Sipil dan Desain (JRSDD),disk0/00/01/67/10,['FT2'],8,2019-11-18 07:08:42,,,,,,,,
9,,2020-03-12 04:38:27,,archive,18459,,"[{'format': 'text', 'docid': 31618, 'main': 'J7-CIVENSE3.pdf', 'files': [{'hash': '2bca17e1d3552397e87bf5dd9ae4e0c7', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 155234, 'mtime': '2020-03-08 14:44:56', 'hash_type': 'MD5', 'filename': 'J7-CIVENSE3.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/155234', 'objectid': 31618, 'filesize': 1989463}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 18459, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31618'}]",874,,,1970-01-01 00:00:00.000002019,,,Badan Penerbitan Jurnal Fakultas Teknik Universitas Brawijaya,pub,public,,show,2020-03-12 04:38:27,"REPOSITORY REVIEWER: Civil and Environmental Science Journal, Vol.2(1) tahun 2019",other,"[{'id': 'gatot89@yahoo.ca', 'name': {'lineage': None, 'family': 'Susilo', 'honourific': None, 'given': 'Gatot Eko'}}]",,"['TA', 'TD']",http://repository.lppm.unila.ac.id/id/eprint/18459,,,,disk0/00/01/84/59,['FT2'],8,2020-03-12 04:38:27,,,,,,,,
