,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,creators,type,title,refereed,date_type,subjects,abstract,corp_creators,volume,date,uri,related_url,publisher,divisions,publication,dir,full_text_status,issn,status_changed,rev_number,ispublished,event_location,event_dates,pres_type,event_type,event_title,contributors,id_number,isbn,book_title,place_of_pub,pages,patent_applicant,editors,series,thesis_name,thesis_type,department,institution
0,2019-04-29 08:19:28,archive,11326,show,127-135,307,2.0,http://jurnaladministratio.fisip.unila.ac.id/index.php/administratio/article/view/72,2019-04-29 08:19:28,"[{'docid': 24323, 'main': 'malu menganggur (studi implementasi).pdf', 'files': [{'datasetid': 'document', 'fileid': 103070, 'mime_type': 'application/pdf', 'hash': '67f0ae7634da658778046aa103ee6d37', 'filesize': 270458, 'objectid': 24323, 'filename': 'malu menganggur (studi implementasi).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/103070', 'hash_type': 'MD5', 'mtime': '2019-04-26 07:09:17'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 11326, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24323', 'pos': 1, 'security': 'public'}]","[{'name': {'given': 'Rizkiana  Nuansa', 'family': 'Antari', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Yulianto', 'lineage': None, 'given': 'Yulianto'}, 'id': 'yulianto@fisip.unila.ac.id'}, {'id': 'itaprihantika@fisip.unila.ac.id', 'name': {'given': 'Ita', 'honourific': None, 'lineage': None, 'family': 'Prihantika'}}]",article,PROGRAM MALU MENGANGGUR (STUDI IMPLEMENTASI DI KABUPATEN LAMPUNG TIMUR),TRUE,published,['H1'],"A program called ""Malu Menganggur"" is an independent workforce program aims to empower communities from local government of East Lampung regency by providing specialized training to create products and its market home-based products by forming industry groups. The purpose of this study is to analyze the implementation of ""Malu Menganggur"" program and to analyze the obstacles in the implementation of ""Malu Menganggur"" program by the Department of Cooperatives of Small and Medium Enterprises and Manpower of East Lampung regency in Jabung and Purbolinggo sub-districts. The method used in this research was qualitative approach. The data collection techniques were conducted through interviews, observation and documentation.","['Jurusan Administrasi Negara', 'Jurusan Administrasi Negara', 'Jurusan Administrasi Negara']",9.0,2018-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11326,[{'url': 'http://jurnaladministratio.fisip.unila.ac.id/index.php/administratio/article/view/72'}],Jurusan Administrasi Negara FISIP Unila dan Persadi Lampung,['FISIP2'],Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,disk0/00/01/13/26,public,2087-0825,2019-04-29 08:19:28,6,pub,,,,,,,,,,,,,,,,,,
1,2019-05-09 06:20:18,archive,12252,show,88-98,590,2.0,http://jurnaladministratio.fisip.unila.ac.id,2019-05-09 06:20:18,"[{'format': 'text', 'main': 'Slum Housing _Administratio.pdf', 'files': [{'mtime': '2019-05-09 05:40:04', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/109385', 'filename': 'Slum Housing _Administratio.pdf', 'filesize': 662216, 'objectid': 25227, 'hash': 'b14b3e2349903d1cc64b30be68f900ee', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 109385}], 'docid': 25227, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 12252, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25227', 'pos': 1}]","[{'name': {'lineage': None, 'family': 'Astuti', 'honourific': None, 'given': 'Puji Sri'}, 'id': None}, {'name': {'family': 'Hermawan', 'lineage': None, 'honourific': None, 'given': 'Dedy'}, 'id': 'hermawan.dedy@yahoo.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sulistiowati', 'given': 'Rahayu'}, 'id': 'rahayu.sulistiowati@fisip.unila.ac.id'}]",article,ADMINISTRATIOp-ISSN 2087-0825/ e-ISSN 2548-6977IMPLEMENTATION OF THE SLUM-HOUSING UPGRADINGPROGRAM IN BANDAR LAMPUNG IN 2014,TRUE,published,['H1'],"Program   Peningkatan   Perumahan   Kumuh   adalah   upaya   untuk   mempercepat pengentasan   kemiskinan   di   Bandar   Lampung.   Tujuan   dari   program   ini   adalah   untuk mendukung   keluarga   miskin   agar   memiliki   rumah   yang   layak   sehingga   mereka dapat memenuhi  kebutuhan  dasar  mereka.  Tujuan  dari  penelitian  ini  adalah  untuk  menguji implementasi  kebijakan  peningkatan  permukiman  kumuh  di  Bandar  Lampung  pada  tahun 2014,  dan  untuk  menyelidiki  faktor-faktor  yang  menghambat  implementasi.  Metode  yang digunakan  dalam  penelitian  ini  adalah  pendekatan  kualitatif  deskriptif.  Data  diperoleh melalui  wawancara,  observasi  dan  dokumentasi.  Hasil  penelitian  menunjukkan  bahwa  (1) proses  sosialisasi  atau  penyampaian  informasi  telah  dilakukan  di  tingkat  eksekutif  program, namun  penyebaran  informasi  kepada  kelompok  sasaran  belum  dilaksanakan  dengan  baik.  (2) Sumber  daya  manusia  dalam  jumlah  terbatas  sebagai  pelaksana  program  dan  sumber  daya pendanaan  terbatas.  (3)  Kecenderungan  untuk  menerapkan  kebijakan  oleh  para  pemangku kepentingan dalam mendukung program peningkatan daerah kumuh telah dianggap memadai (4) Implementasi kebijakan, prosedur kerja dasar atau prosedur operasi standar dari program peningkatan daerah kumuh telah tersedia sebagai standar atau referensi yang digunakan oleh pelaksana kebijakan selama implementasi kebijakan peningkatan-kumuh, pembagian tugas di antara  unit-unit  organisasi  telah  dilakukan  dengan  baik  dan  terkoordinasi.  Selain  itu,  ada beberapa   ancaman   yang   memicu   masalah   dalam   pelaksanaan   program yaitu   status kepemilikan  rumah  /  tanah,  akurasi  data  dan  objektivitas  penargetan,  anggaran  yang terbatas,    dan    kurangnya    tenaga    kerja    untuk    pekerjaan    lapangan.    Penelitian    ini merekomendasikan  bahwa:  (1)  penyebaran  informasi  perlu  ditingkatkan  lebih  lanjut  (2) rekrutmen staf  harus sesuai dengan persyaratan organisasi (3)  komitmen terhadap  kebijakan peningkatan daerah kumuh perlu ditingkatkan (4) koordinasi perlu lebih ditingkatkan","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",9.0,2018-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/12252,[{'url': 'http://jurnaladministratio.fisip.unila.ac.id/index.php/administratio/article/view/67/49'}],Jurusan Administrasi Negara FISIP Unila dan Persadi Lampung,['FISIP2'],Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,disk0/00/01/22/52,public,2087-0825,2019-05-09 06:20:18,6,pub,,,,,,,,,,,,,,,,,,
2,2022-10-25 02:43:12,archive,45920,show,87-98,590,2.0,https://jurnaladministratio.fisip.unila.ac.id/index.php/administratio/article/view/67,2022-10-25 02:43:12,"[{'format': 'text', 'main': 'Cek Similarity Sulistiowati 2018 Slum Housing _Administratio.pdf(1).pdf', 'files': [{'filesize': 709164, 'objectid': 184731, 'filename': 'Cek Similarity Sulistiowati 2018 Slum Housing _Administratio.pdf(1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/508548', 'hash_type': 'MD5', 'mtime': '2022-10-24 09:49:36', 'datasetid': 'document', 'fileid': 508548, 'mime_type': 'application/pdf', 'hash': '1a7c23023d07f5ebca606fcebe919724'}], 'docid': 184731, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 45920, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184731', 'pos': 1}]","[{'id': None, 'name': {'honourific': None, 'family': 'Astuti', 'lineage': None, 'given': 'Sri Puji'}}, {'id': 'hermawan.dedy@yahoo.com', 'name': {'honourific': None, 'family': 'Hermawan', 'lineage': None, 'given': 'Dedy'}}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'given': 'Rahayu', 'family': 'Sulistiowati', 'lineage': None, 'honourific': None}}]",article,"IMPLEMENTATION OF THE SLUM-HOUSING UPGRADING
PROGRAM IN BANDAR LAMPUNG IN 2014",TRUE,published,['H1'],"ABSTRAK. Program Peningkatan Perumahan Kumuh adalah upaya untuk mempercepat
pengentasan kemiskinan di Bandar Lampung. Tujuan dari program ini adalah untuk
mendukung keluarga miskin agar memiliki rumah yang layak sehingga mereka dapat
memenuhi kebutuhan dasar mereka. Tujuan dari penelitian ini adalah untuk menguji
implementasi kebijakan peningkatan permukiman kumuh di Bandar Lampung pada tahun
2014, dan untuk menyelidiki faktor-faktor yang menghambat implementasi. Metode yang
digunakan dalam penelitian ini adalah pendekatan kualitatif deskriptif. Data diperoleh
melalui wawancara, observasi dan dokumentasi. Hasil penelitian menunjukkan bahwa (1)
proses sosialisasi atau penyampaian informasi telah dilakukan di tingkat eksekutif program,
namun penyebaran informasi kepada kelompok sasaran belum dilaksanakan dengan baik. (2)
Sumber daya manusia dalam jumlah terbatas sebagai pelaksana program dan sumber daya
pendanaan terbatas. (3) Kecenderungan untuk menerapkan kebijakan oleh para pemangku
kepentingan dalam mendukung program peningkatan daerah kumuh telah dianggap memadai
(4) Implementasi kebijakan, prosedur kerja dasar atau prosedur operasi standar dari program
peningkatan daerah kumuh telah tersedia sebagai standar atau referensi yang digunakan oleh
pelaksana kebijakan selama implementasi kebijakan peningkatan-kumuh, pembagian tugas di
antara unit-unit organisasi telah dilakukan dengan baik dan terkoordinasi. Selain itu, ada
beberapa ancaman yang memicu masalah dalam pelaksanaan program yaitu status
kepemilikan rumah / tanah, akurasi data dan objektivitas penargetan, anggaran yang
terbatas, dan kurangnya tenaga kerja untuk pekerjaan lapangan. Penelitian ini
merekomendasikan bahwa: (1) penyebaran informasi perlu ditingkatkan lebih lanjut (2)
rekrutmen staf harus sesuai dengan persyaratan organisasi (3) komitmen terhadap kebijakan
peningkatan daerah kumuh perlu ditingkatkan (4) koordinasi perlu lebih ditingkatkan.","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",9.0,2018-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/45920,[{'url': 'https://jurnaladministratio.fisip.unila.ac.id/index.php/administratio/article/view/67'}],Jurusan Ilmu Administrasi Negara Unila,['FISIP2'],Administratio: Jurnal Ilmiah Administrasi Publik dan Pembangunan,disk0/00/04/59/20,public,2548 - 6977,2022-10-25 02:43:12,6,pub,,,,,,,,,,,,,,,,,,
3,2019-05-14 08:30:51,archive,12580,show,198-203,127,,http://jurnal.polinela.ac.id/index.php/PROSIDING,2019-05-14 08:30:51,"[{'format': 'text', 'docid': 25562, 'main': '198-204. Dewie Brima rev.pdf', 'files': [{'filesize': 413534, 'objectid': 25562, 'uri': 'http://repository.lppm.unila.ac.id/id/file/111547', 'filename': '198-204. Dewie Brima rev.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-10 07:01:39', 'fileid': 111547, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '46d9a29c0e878a68466573463c92875f'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 12580, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25562'}]","[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'given': 'Dewie', 'family': 'Atika', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Ita', 'lineage': None, 'family': 'Prihantika', 'honourific': None}, 'id': 'itaprihantika@fisip.unila.ac.id'}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Sulistiowati', 'lineage': None, 'given': 'Rahayu'}}]",conference_item,Peningkatan Kapasitas Perangkat Desa Dalam Penyusunan Laporan Keuangan Desa Se-Kecamatan Buay Bahuga Kabupaten Way Kanan,TRUE,published,['H1'],"Village financial reporting is a form of accountability and transparency which is a necessity for the village apparatus. Based on information obtained, in Bay Bahuga Subdistrict, Way Kanan District, Lampung Province, many village officials who did not understand in the preparation of village financial reports were good and right so sending reports to the sub-district was often late. This is a problem that is the starting point for the implementation of this activity. The methods used in this activity are lectures and group discussions. Based on the results of the pre-test and post-test, the participants' understanding of village financial reporting was 23.67%.
Keywords: Village Financial Report, Village Apparatus, Accountability, Transparency","['unila', 'Unila', 'unila']",,2018-10-18 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/12580,[{'url': 'http://jurnal.polinela.ac.id/index.php/PROSIDING'}],,['FISIP2'],Prosiding Seminar Nasional Penerapan IPTEKS,disk0/00/01/25/80,public,ISBN 978-602-5730-68-9,2019-05-14 08:30:51,9,pub,Bandarlampung,08 Oktober 2018,paper,conference,Prosiding Seminar Nasional Penerapan IPTEKS,,,,,,,,,,,,,
4,2018-11-12 01:15:28,archive,9711,show,,307,,,2018-11-12 01:15:28,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Dewie Brima_SEMNAS IPTEK POLINELA.pdf', 'docid': 22727, 'files': [{'mtime': '2018-11-10 14:11:49', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/91946', 'filename': 'Dewie Brima_SEMNAS IPTEK POLINELA.pdf', 'objectid': 22727, 'filesize': 283810, 'hash': 'f424ac4ce9a0e98bf876ac966d1ac047', 'mime_type': 'application/pdf', 'fileid': 91946, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22727', 'security': 'public', 'placement': 1, 'eprintid': 9711}]","[{'name': {'given': 'Dewie', 'family': 'Atika', 'lineage': None, 'honourific': None}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}, {'name': {'given': 'Ita', 'honourific': None, 'family': 'Prihantika', 'lineage': None}, 'id': 'itaprihantika@fisip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Sulistiowati', 'honourific': None, 'given': 'Rahayu'}, 'id': 'rahayu.sulistiowati@fisip.unila.ac.id'}]",conference_item,Peningkatan Kapasitas Perangkat Desa dalam Penyusunan Laporan Keuangan Desa se-Kecamatan Buay Bahuga Kabupaten Way Kanan,TRUE,published,['H1'],"Village financial reporting is a form of accountability and transparency which is a necessity for the village apparatus. Based on information obtained, in Buay Bahuga Subdistrict, Way Kanan District, Lampung Province, many village officials who did not understand in the preparation of village financial reports were good and right so sending reports to the sub-district was often late. This is a problem that is the starting point for the implementation of this activity. The methods used in this activity are lectures and group discussions. Based on the results of the pre-test and post-test, the participants' understanding of village financial reporting was 23.67%.","['FISIP, Universitas Lampung', 'FISIP, Universitas Lampung', 'FISIP, Universitas Lampung']",,2018-10-11 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9711,,,['FISIP2'],,disk0/00/00/97/11,public,,2018-11-12 01:15:28,7,inpress,"Bukit Randu, Lampung",11 Oktober 2018,paper,conference,Semnas TEKTAN dan Semnas Penerapan Iptek Tahun 2018,,,,,,,,,,,,,
5,2019-05-10 02:32:51,archive,11113,show,67-73,127,2.0,http://wacanapublik.stisipoldharmawacana.ac.id,2019-05-10 02:32:51,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '02 Dewie Brima no 2.pdf', 'docid': 25352, 'files': [{'objectid': 25352, 'filesize': 336131, 'filename': '02 Dewie Brima no 2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/110193', 'hash_type': 'MD5', 'mtime': '2019-05-09 18:30:19', 'datasetid': 'document', 'fileid': 110193, 'mime_type': 'application/pdf', 'hash': '22083ceddb06e30d79b27349e5ad2dcc'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25352', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 11113}]","[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'given': 'Dewie', 'honourific': None, 'family': 'Atika', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Suminar', 'honourific': None, 'given': 'Ratna'}, 'id': None}]",article,ANALISIS KOORDINASI ANTAR STAKEHOLDERS DALAM PROGRAM PENGEMBANGAN KOTA HIJAU DI KOTA BANDAR LAMPUNG,TRUE,published,['H1'],"Koordinasi merupakan peran penting dalam suatu organisasi untuk mencapai tujuan yang diinginkan. Untuk mencapai koordinasi yang efektif yaitu meliputi Komunikasi, tujuan yang jelas, serta adanya hubungan yang baik. Karena itu pemerintah Kota Bandar Lampung seharusnya mewujudkan kerjasama yang efektif, dalam mewujudkan pembangunan kota yang baik yaitu program kota hijau. Tulisan ini bertujuan untuk mendapatkan gambaran koordinasi antar instansi dalam melaksanakan program pengembangan kota hijau di Bandar Lampung dan juga untuk mengidentifikasi faktor-faktor kendala koordinasi dalam program pengembangan kota hijau di Bandar Lampung

Tulisan ini menitik beratkan pada koordinasi yang dilakukan antar instansi pada program pengembangan kota hijau yang dilakukan oleh dinas-dinas terkait seperti Bappeda, Dinas Kebersihan dan Pertamanan, Dinas Tata Kota, serta BPPLH. Dalam mengungkap permasalahan ini, peneliti menggunakan teori Sembilan syarat untuk mencapai koordinasi milik Tripathi dan Reddy, dan beberapa teori penunjang lainnya. Jenis penelitian ini adalah penelitian deskriptif dengan pendekatan kualitatif. Penelitian ini dilakukan pada dinas-dinas terkait di Kota Bandar Lampung. Hasil dan kesimpulan dari penelitian ini adalah tidak efektifnya koordinasi pemerintah Kota Bandar Lampung dalam program pengembangan kota hijau. Dari Sembilan syarat untuk mencapai koordinasi hanya lima syarat yang dapat berjalan. Kendala yang dihadapi meliputi kendala komunikasi yang tidak efektif antar SKPD, kurangnya pemahaman para SKPD tentang program dan masa berlaku program kota hijau.","['Jurusan Administrasi Negara', 'Jurusan Administrasi Negara']",12.0,2018-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11113,,LP3M  STISIPOL Dharma Wacana,['FISIP2'],Wacana Publik,disk0/00/01/11/13,public,1858-2400,2019-05-10 02:32:51,6,pub,,,,,,,,,,,,,,,,,,
6,2018-11-02 01:51:26,archive,9156,show,323-333,508,79.0,https://rjoas.com/,2018-11-02 01:51:26,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22226', 'security': 'public', 'placement': 1, 'eprintid': 9156, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 22226, 'main': 'article_36.pdf', 'files': [{'datasetid': 'document', 'fileid': 88180, 'hash': 'fe1383f4c9d1108685023bcfa6a6c987', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-10-31 06:49:16', 'objectid': 22226, 'filesize': 244328, 'filename': 'article_36.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/88180'}], 'format': 'text'}]","[{'id': None, 'name': {'lineage': None, 'family': 'Benjamin', 'honourific': None, 'given': 'Benjamin'}}, {'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'given': 'dian', 'family': 'Kagungan', 'lineage': None, 'honourific': None}}]",article,STRATEGY FOR BUILDING COMMUNITY-RELIANCE IN MANAGING AND UTILIZING COMMUNITY FORESTS THROUGH THE POLICY OF COMMUNITY FORESTS DEVELOPMENT,FALSE,published,['H1'],"The objective of this research is to provide policy recommendation with regard to strategy formulation for the development of community forests. The policy recommendation aims to improve local people's economy, to alleviate poverty and to achieve community-reliance through the utilization of community forest programs. This study is also aimed to strengthen roles and functions of various institutions to be synergized in empowerment activities in line with the jurisdiction of rights for management and utilization of community forest. This research used descriptive qualitative approach. Data was collected from Tanggamus Regency in Lampung Province of Indonesia through interviews. Secondary data was also obtained from related sources: literature and government regulations. This study found that the implementation of community forest policy is merely based on the government regulation. Another finding is that empowerment practices undertaken in the community forest is still lack of the involement of stakeholders. In addition, there is a positive impact in the practice of community forest which can be seen from the level of public awareness to the forest and in planting crops. Therefore, this research suggests that: first, there is the need of policy to overcome bureaucratic system in applying the community forest management permits; second, it needs a new formulation of budget to facilitate the community in the application of the community forest management.",,7.0,2018-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9156,[{'url': 'https://rjoas.com/issue-2018-07/article_36.pdf'}],AGRIS Network of the Food and Agriculture Organization,['FISIP2'],Russian Journal of Agricultural and Socio-Economic Sciences,disk0/00/00/91/56,public,2226-1184,2018-11-02 01:51:26,6,pub,,,,,,,,,,,,,,,,,,
7,2019-09-16 15:22:33,archive,14202,show,,508,,,2019-09-16 15:22:33,"[{'main': 'Strategi For building.pdf', 'docid': 27256, 'files': [{'objectid': 27256, 'filesize': 4737794, 'filename': 'Strategi For building.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123376', 'hash_type': 'MD5', 'mtime': '2019-09-13 04:59:13', 'datasetid': 'document', 'fileid': 123376, 'mime_type': 'application/pdf', 'hash': '93e0d4432a5a0b48f2e073f5d7da57d4'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 14202, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27256', 'pos': 1, 'security': 'public'}, {'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27257', 'pos': 2, 'eprintid': 14202, 'placement': 2, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'filesize': 611208, 'objectid': 27257, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123378', 'filename': 'STRATEGY FOR BUILDING COMMUNITY-RELIANCE IN MANAGING AND UTILIZING COMMUNITY FORESTS THROUGH THE POLICY OF COMMUNITY FORESTS DEVELOPMENT..docx', 'hash_type': 'MD5', 'mtime': '2019-09-13 05:00:31', 'datasetid': 'document', 'fileid': 123378, 'hash': '2568037f0dda44c3be8b984a40230ef7', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}], 'main': 'STRATEGY FOR BUILDING COMMUNITY-RELIANCE IN MANAGING AND UTILIZING COMMUNITY FORESTS THROUGH THE POLICY OF COMMUNITY FORESTS DEVELOPMENT..docx', 'docid': 27257}, {'security': 'public', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27258', 'eprintid': 14202, 'placement': 3, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 123380, 'mime_type': 'application/pdf', 'hash': '1f0b37b4abd1b178d084c103a527f7fa', 'hash_type': 'MD5', 'mtime': '2019-09-13 05:01:50', 'filesize': 4788957, 'objectid': 27258, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123380', 'filename': 'Similarity check_STRATEGY FOR BUILDING COMMUNITY-RELIANCE IN MANAGING AND UTILIZING COMMUNITY FORESTS THROUGH THE POLICY OF COMMUNITY FORESTS DEVELOPMENT..pdf'}], 'main': 'Similarity check_STRATEGY FOR BUILDING COMMUNITY-RELIANCE IN MANAGING AND UTILIZING COMMUNITY FORESTS THROUGH THE POLICY OF COMMUNITY FORESTS DEVELOPMENT..pdf', 'docid': 27258}]","[{'name': {'given': 'Benjamin', 'family': 'Benjamin', 'lineage': None, 'honourific': None}, 'id': 'bensosunila@gmail.com'}, {'name': {'given': 'dian', 'honourific': None, 'lineage': None, 'family': 'Kagungan'}, 'id': 'dian.kagungan@fisip.unila.ac.id'}]",other,STRATEGY FOR BUILDING COMMUNITY-RELIANCE IN MANAGING AND UTILIZING COMMUNITY FORESTS THROUGH THE POLICY OF COMMUNITY FORESTS DEVELOPMENT,,,['H1'],"Hasil Scan Jurnal
Penilaian Sejawat
Hasil Scan cek similirity",,,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/14202,,RJOAS: Russian Journal of Agricultural and Socio-Economic Sciences,['FISIP2'],,disk0/00/01/42/02,public,,2019-09-16 15:22:33,10,pub,,,,,,,,,,,,,,,,,,
8,2019-11-04 07:37:41,archive,14925,show,22-31,659,1.0,https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,2019-11-04 07:37:41,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Jurnal_Unes_2019.pdf', 'docid': 28042, 'files': [{'mtime': '2019-11-01 06:10:08', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/128725', 'filename': 'Jurnal_Unes_2019.pdf', 'objectid': 28042, 'filesize': 5163782, 'mime_type': 'application/pdf', 'hash': '2aa9b62be506fbf56b302875ba351960', 'datasetid': 'document', 'fileid': 128725}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28042', 'security': 'public', 'placement': 1, 'eprintid': 14925}]","[{'name': {'honourific': None, 'lineage': None, 'family': 'Cahyadi', 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}, {'name': {'family': 'Hermawan', 'lineage': None, 'honourific': None, 'given': 'Dedy'}, 'id': 'hermawan.dedy@yahoo.com'}, {'name': {'lineage': None, 'family': 'Indrajat', 'honourific': None, 'given': 'Himawan'}, 'id': 'jogobonito83@gmail.com'}, {'name': {'given': 'Budi', 'family': 'Kurniawan', 'lineage': None, 'honourific': None}, 'id': None}]",article,Hasil cek similarity artikel: Capitalism and Corporate in Lampung Local Politics,TRUE,published,['JK'],"State and company / corporation in the context of governance are two of the three fundamental pillars of democratic development in addition to the market . The relation of both, in the context of Lampung's local politics is object to study, in particular the company /SGC. This research was conducted in May 2014. The study used a qualitative research type, which saw most of the intrinsic social life, with in-depth interviews with personalities and selected informants. The approach used in this study is the approach of critical social science (CSS), which saw social science as a process of critical inquiry phenomenon. The results showed that in Lampung local election at 2014 ago, there were strong relations between the corporation / company in the case of the Sugar Group Company (SGC) in the Lampung Governor  candidates. SGC is serving as a source of funding for the campaign of the election for the last governor election in 2014. SGC does it as a way of business development.",,11.0,2018-03-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/14925,,Universitas Negeri Semarang,['FISIP2'],Komuntas:  International Journal Indonesian Society and Culture,disk0/00/01/49/25,public,2460-7320,2019-11-04 07:37:41,6,pub,,,,,,,,,,,,,,,,,,
9,2019-11-04 03:14:58,archive,14993,show,,572,4.0,https://e-journal.unair.ac.id/MKP,2019-11-04 03:14:58,"[{'main': 'Jurnal Ilmiah Nasional (Chantelism In Bandar Lampung Mayor Election 2018 Sindung).pdf', 'files': [{'datasetid': 'document', 'fileid': 129263, 'mime_type': 'application/pdf', 'hash': 'c22bc94118b2cd2ce6f5d50592602d4d', 'hash_type': 'MD5', 'mtime': '2019-11-02 05:14:27', 'filesize': 566274, 'objectid': 28124, 'filename': 'Jurnal Ilmiah Nasional (Chantelism In Bandar Lampung Mayor Election 2018 Sindung).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/129263'}], 'docid': 28124, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 14993, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28124', 'pos': 1, 'security': 'public'}]","[{'name': {'given': 'Dedy', 'lineage': None, 'family': 'Dedy Hermawan', 'honourific': None}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}]",article,Clientelism In Bandar Lampung's Mayor Election:2018: A Case study of Herman H.N and Yusuf Kohar as candidate pair,TRUE,published,['HF'],Hasil Penilaian Peer Review/Teman Sejawat,['Universitas Lampung'],31.0,2018-12-08 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/14993,,Universitas Airlangga,['FISIP2'],"masyarakat, kebudayaan dan politik",disk0/00/01/49/93,public,2086-7050,2019-11-04 03:14:58,6,pub,,,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
