,title,creators,type,lastmod,metadata_visibility,rev_number,status_changed,publication,dir,divisions,uri,volume,subjects,date_type,refereed,documents,official_url,number,userid,pagerange,eprint_status,id_number,eprintid,datestamp,ispublished,full_text_status,issn,publisher,related_url,date,corp_creators,abstract,succeeds,contributors,event_title,event_type,event_location,event_dates,pres_type,isbn,place_of_pub,pages,book_title,series,patent_applicant
0,"Kinerja Pokdarwis dalam Upaya Pengembangan Ekowisata Melalui Program Dinas Kepemudaan, Olahraga, dan Pariwisata (Disporapar) Kabupaten Pringsewu","[{'id': None, 'name': {'family': 'Anisa', 'lineage': None, 'honourific': None, 'given': 'Muthidatul'}}, {'id': 'yulianto@fisip.unila.ac.id', 'name': {'given': 'Yulianto', 'honourific': None, 'family': 'Yulianto', 'lineage': None}}, {'name': {'given': 'Rahayu', 'lineage': None, 'family': 'Sulistiowati', 'honourific': None}, 'id': 'rahayu.sulistiowati@fisip.unila.ac.id'}]",article,2023-05-19 01:29:20,show,6,2023-05-19 01:29:20,Administrativa,disk0_bak/00/05/17/92,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/51792,3.0,['H1'],published,TRUE,"[{'main': 'Administrativa 2021 Muthidatul.pdf', 'files': [{'filesize': 664754, 'objectid': 250435, 'uri': 'http://repository.lppm.unila.ac.id/id/file/613609', 'filename': 'Administrativa 2021 Muthidatul.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-18 02:59:00', 'fileid': 613609, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '645d6106281b21b99b29cc613c115d35'}], 'docid': 250435, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 51792, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250435', 'pos': 1, 'security': 'public'}]",https://administrativa.fisip.unila.ac.id/index.php/1/article/view/102,3.0,590,311-326,archive,DOI: https://doi.org/10.23960/administrativa.v3i3.102,51792,2023-05-19 01:29:20,pub,public,2714-7673,Jurusan administrasi negara fisip unila,[{'url': 'https://administrativa.fisip.unila.ac.id/index.php/1/issue/view/7'}],2022-03-05 00:00:00.000000000,"['universitas lampung', 'Universitas lampung', 'Universitas lampung']","The problem that occurs in tourism in Pringsewu Regency is poor management of ecotourism destinations which causes a decrease in visits. Therefore, the role of DISPORAPAR (Department of Youth, Sports, and Tourism) is needed to help develop tourism and improve Pokdarwis performance. The role of local governments in ecotourism development efforts is based on Article 6 and Article 8 of Law Number 10 of 2009. The research method used in this study is a descriptive research method, with qualitative data analysis. The research method used in this research is descriptive research method, with qualitative data analysis. The results showed that, (1) Pokdarwis performance in ecotourism development efforts through the Youth, Sports, and Tourism Office (DISPORAPAR) Pringsewu Regency can be seen from the level of achievement of targets or goals that have been set by taking into account inputs, outputs, outcomes, benefits and impacts. from the tourist destination of Pringsewu Regency. The results of the assessment obtained from these elements can then be seen and conclusions can be drawn regarding the performance of Pokdarwis in developing ecotourism through the DISPORAPAR program, because if viewed from various aspects the researchers did there were still very many shortcomings. (2) The inhibiting factors for Pokdarwis performance in ecotourism development efforts in Pringsewu Regency are the lack of awareness of Pokdarwis, lack of capital support, lack of communication between members, and lack of government role.",,,,,,,,,,,,,
1,EVALUATION OF DOMESTIC APPRENTICESHIP PROGRAMS AS AN EFFORT TO IMPROVE COMPETENCY OF JOB SEEKERS IN LAMPUNG PROVINCE,"[{'name': {'honourific': None, 'family': 'Asmiati', 'lineage': None, 'given': 'Asmiati'}, 'id': 'Asmiati@gmail.com'}, {'name': {'given': 'Rahayu', 'lineage': None, 'family': 'Sulistiowati', 'honourific': None}, 'id': 'rahayu.sulistiowati@fisip.unila.ac.id'}, {'id': 'itaprihantika@fisip.unila.ac.id', 'name': {'given': 'Ita', 'honourific': None, 'lineage': None, 'family': 'Prihantika'}}]",article,2022-10-13 01:18:40,show,7,2022-10-13 01:18:40,Journal of Research in Social Science And Humanities,disk0/00/04/56/61,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/45661,3.0,"['H1', 'HN']",published,TRUE,"[{'placement': 1, 'eprintid': 45661, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184469', 'security': 'public', 'docid': 184469, 'main': 'asmiati rahayu ita science n humanities 2022.pdf', 'files': [{'hash': '75ddcb6268cce2389369bd8dde351eaa', 'mime_type': 'application/pdf', 'fileid': 506561, 'datasetid': 'document', 'mtime': '2022-10-12 14:18:51', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506561', 'filename': 'asmiati rahayu ita science n humanities 2022.pdf', 'objectid': 184469, 'filesize': 170847}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",http://www.jrssh.org/index.php/jrssh/article/view/3105,1.0,590,25-30,archive,doi.org/10.47679/jrssh.v3i1.39,45661,2022-10-13 01:18:40,pub,public,2807-3916,Utan Kayu Publising,[{'url': 'http://www.jrssh.org/index.php/jrssh'}],2022-08-01 00:00:00.000000000,,"The domestic apprenticeship program in Lampung Province still encounters problems, such as the socialization process that is carried out less than optimally so that only a few companies are interested in collaborating. As a result, the company's recruitment implementation has not been able to achieve the specified target. This study aims to evaluate the implementation of the domestic apprenticeship program and identify the factors supporting and inhibiting the implementation of the domestic apprenticeship program in Lampung Province. The study was conducted with a qualitative descriptive approach using 4 program evaluation indicators consisting of input evaluation, process evaluation, outcome evaluation, impact evaluation (Wirawam, 2016). The results of this study indicate that the overall achievement of this domestic apprenticeship program is quite good so that this program can be continued by modifying or improving some that are less effective in order to achieve maximum results/targets for the coming year. Supporting factors in this domestic apprenticeship program are supported by complete facilities and infrastructure to support program implementation and are supported by competent instructors in training and guiding participants and inhibiting factors: lack of human resources, lack of commitment, domestic apprenticeship programs have not gone hand in hand with independent campus internship program and insufficient incentives.


KEYWORDS

Program evaluation; Domestic apprenticeship; Competence; Job seekers",,,,,,,,,,,,,
2,"Evaluation of Domestic Apprenticeship Programs as an Effort to
Improve Competency of Job Seekers in Lampung Province","[{'id': 'Asmiati@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Asmiati', 'given': 'Asmiati'}}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Sulistiowati', 'lineage': None, 'given': 'Rahayu'}}, {'name': {'given': 'Ita', 'family': 'Prihantika', 'lineage': None, 'honourific': None}, 'id': 'itaprihantika@fisip.unila.ac.id'}]",article,2022-10-13 01:18:50,show,6,2022-10-13 01:18:50,JOURNAL OF RESEARCH IN SOCIAL SCIENCE AND HUMANITIES,disk0/00/04/56/65,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/45665,3.0,['HN'],published,TRUE,"[{'eprintid': 45665, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184473', 'format': 'text', 'docid': 184473, 'main': 'asmiati rahayu ita science n humanities 2022.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-10-12 15:14:23', 'filesize': 170847, 'objectid': 184473, 'filename': 'asmiati rahayu ita science n humanities 2022.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506586', 'fileid': 506586, 'datasetid': 'document', 'hash': '75ddcb6268cce2389369bd8dde351eaa', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",http://www.jrssh.org/index.php/jrssh/article/view/3105,1.0,590,25-30,archive,doi.org/10.47679/jrssh.v3i1.39,45665,2022-10-13 01:18:50,pub,public,2807-3916,Utan Kayu Publising,"[{'url': 'http://www.jrssh.org/index.php/jrssh', 'type': 'pub'}]",1970-01-01 00:00:00.000002022,,"The domestic apprenticeship program in Lampung Province still encounters problems, such as the socialization process that
is carried out less than optimally so that only a few companies are interested in collaborating. As a result, the company's
recruitment implementation has not been able to achieve the specified target. This study aims to evaluate the
implementation of the domestic apprenticeship program and identify the factors supporting and inhibiting the
implementation of the domestic apprenticeship program in Lampung Province. The study was conducted with a qualitative
descriptive approach using 4 program evaluation indicators consisting of input evaluation, process evaluation, outcome
evaluation, impact evaluation (Wirawam, 2016). The results of this study indicate that the overall achievement of this
domestic apprenticeship program is quite good so that this program can be continued by modifying or improving some that
are less effective in order to achieve maximum results/targets for the coming year. Supporting factors in this domestic
apprenticeship program are supported by complete facilities and infrastructure to support program implementation and are
supported by competent instructors in training and guiding participants and inhibiting factors: lack of human resources, lack
of commitment, domestic apprenticeship programs have not gone hand in hand with independent campus internship
program and insufficient incentives.
Keywords: program evaluation, Domestic apprenticeship, Competence, Job seekers",,,,,,,,,,,,,
3,"Evaluation of Domestic Apprenticeship Programs as an Effort to
Improve Competency of Job Seekers in Lampung Province","[{'name': {'given': 'asmiati', 'family': 'Asmiati', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'given': 'Rahayu', 'honourific': None, 'lineage': None, 'family': 'Sulistiowati'}}, {'id': 'itaprihantika@fisip.unila.ac.id', 'name': {'given': 'Ita', 'honourific': None, 'lineage': None, 'family': 'Prihantika'}}]",article,2022-10-27 10:20:41,show,6,2022-10-27 10:20:41,Journal of Research in Social Science and  Humanities,disk0/00/04/60/23,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/46023,3.0,['H1'],,TRUE,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'hash': '379576165aa71efdd3a919c3cd9a6879', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 509317, 'filename': 'ceksimilarity evaluation domestic asmi rahayu ita.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/509317', 'filesize': 202441, 'objectid': 184847, 'mtime': '2022-10-27 09:43:23', 'hash_type': 'MD5'}], 'main': 'ceksimilarity evaluation domestic asmi rahayu ita.pdf.pdf', 'docid': 184847, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184847', 'security': 'public', 'placement': 1, 'eprintid': 46023}]",http://www.jrssh.org/index.php/jrssh/article/view/3105,1.0,590,25-30,archive,DOI: 10.47679/jrssh.v3i1.39,46023,2022-10-27 10:20:41,pub,public,"ISSN 2809-3356 (print), ISSN 2807-3916 (online)",UK institute,[{'url': 'http://www.jrssh.org/index.php/jrssh/article/view/3105'}],1970-01-01 00:00:00.000002022,"['universitas lampung', 'Universitas lampung', 'Universitas lampung']","The domestic apprenticeship program in Lampung Province still encounters problems, such as the socialization process that is carried out less  than optimally so  that only a few  companies are interested in  collaborating. As a result, the company's recruitment  implementation  has  not  been  able  to  achieve the  specified target.  This  study   aims  to  evaluate   the implementation of  the domestic apprenticeship program and identify the factors supporting and inhibiting the implementation of the domestic apprenticeship program in Lampung Province. The study was conducted with a qualitative descriptive approach using 4  program evaluation indicators consisting of  input evaluation, process evaluation, outcome evaluation, impact evaluation (Wirawam, 2016). The  results of  this study indicate that the overall achievement of  this domestic apprenticeship program is quite good so that this program can be continued by modifying or improving some that are less  effective in order to achieve maximum results/targets  for the coming year. Supporting factors in this domestic apprenticeship program are supported by complete facilities and infrastructure to support program implementation and are supported by competent instructors in training and guiding participants and inhibiting factors: lack  of human resources, lack of  commitment, domestic apprenticeship programs have not gone hand in hand with independent  campus internship program and insufficient incentives.

Keywords: program evaluation, Domestic apprenticeship, Competence, Job seekers",,,,,,,,,,,,,
4,"Penilaian Nilai Sejawat : Transformasi Manajemen Badan Usaha Milik Negara Di Era Persaingan Global (Studi Pada PT. Pos Indonesia, Kota Metro Tahun 2019)","[{'name': {'honourific': None, 'lineage': None, 'family': 'Atika', 'given': 'Dewie'}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}]",other,2022-03-30 01:07:10,show,8,2022-03-30 01:07:10,,disk0/00/04/07/02,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/40702,,"['H1', 'HN']",,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162077', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 40702, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Transformasi Manajemen Badan Usaha Milik Negara Di Era Persaingan Global (Studi Pada PT. Pos Indonesia, Kota Metro Tahun 2019).pdf', 'docid': 162077, 'files': [{'filesize': 575630, 'objectid': 162077, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452971', 'filename': 'Transformasi Manajemen Badan Usaha Milik Negara Di Era Persaingan Global (Studi Pada PT. Pos Indonesia, Kota Metro Tahun 2019).pdf', 'hash_type': 'MD5', 'mtime': '2022-03-29 12:57:37', 'datasetid': 'document', 'fileid': 452971, 'mime_type': 'application/pdf', 'hash': 'c6ca9afdffc71472e496b97aaf04e95f'}], 'format': 'text'}]",,,127,,archive,,40702,2022-03-30 01:07:10,unpub,public,,Administrasi  Negara,,2022-03-01 00:00:00.000000000,['Universitas Lampung'],,,,,,,,,,,,,,
5,Penilaian Teman Sejawat : DINAMIKA AKTOR DALAM PERUMUSAN KEBIJAKAN DESA LAYAK ANAK,"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'family': 'Atika', 'lineage': None, 'honourific': None, 'given': 'Dewie'}}]",other,2022-03-30 01:07:08,show,8,2022-03-30 01:07:08,,disk0/00/04/07/01,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/40701,,"['H1', 'HN']",,,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 162076, 'main': 'DINAMIKA AKTOR DALAM PERUMUSAN KEBIJAKAN DESA LAYAK ANAK.pdf', 'files': [{'fileid': 452963, 'datasetid': 'document', 'hash': 'ac6a88a0245cfe2a6a8f78fcfa2e6be8', 'mime_type': 'application/pdf', 'objectid': 162076, 'filesize': 666289, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452963', 'filename': 'DINAMIKA AKTOR DALAM PERUMUSAN KEBIJAKAN DESA LAYAK ANAK.pdf', 'hash_type': 'MD5', 'mtime': '2022-03-29 12:55:15'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162076', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 40701}]",,,127,,archive,,40701,2022-03-30 01:07:08,unpub,public,,Administrasi  Negara,,2022-03-01 00:00:00.000000000,['Universitas Lampung'],,,,,,,,,,,,,,
6,Penilaian Teman Sejawat : Implementasi Kebijakan Kabupaten Layak Anak Di Kabupaten Pringsewu,"[{'name': {'given': 'Dewie', 'family': 'Atika', 'lineage': None, 'honourific': None}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}]",other,2022-04-05 07:13:17,show,8,2022-04-05 07:13:17,,disk0/00/04/10/67,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/41067,,"['H1', 'HN']",,,"[{'placement': 1, 'eprintid': 41067, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162493', 'security': 'public', 'main': 'implementasi Kabupaten LAyak anak.pdf', 'files': [{'filename': 'implementasi Kabupaten LAyak anak.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/456119', 'filesize': 863110, 'objectid': 162493, 'mtime': '2022-04-05 06:01:33', 'hash_type': 'MD5', 'hash': '72f8f3898bb1a5aa229bd892c1ab623c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 456119}], 'docid': 162493, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,,127,,archive,,41067,2022-04-05 07:13:17,unpub,public,,Administrasi  Negara,,2022-03-01 00:00:00.000000000,['Universitas Lampung'],,40703.0,,,,,,,,,,,,
7,Penilaian Teman Sejawat ANALISIS PRINSIP GOOD GOVERNANCE DALAM PENGADAAN PEGAWAI NEGERI SIPIL (PNS) MELALUI PENGANGKATAN HONORER KATEGORI 2 (STUDI PADA BADAN KEPEGAWAIAN DAERAH (BKD) KABUPATEN PRINGSEWU TAHUN 2013),"[{'name': {'honourific': None, 'lineage': None, 'family': 'Atika', 'given': 'Dewie'}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}]",other,2022-03-30 01:06:51,show,8,2022-03-30 01:06:51,,disk0/00/04/06/93,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/40693,,"['H1', 'HN']",,,"[{'docid': 162068, 'main': 'ANALISIS PRINSIP GOOD GOVERNANCE DALAM PENGADAAN PEGAWAI NEGERI SIPIL (PNS) MELALUI PENGANGKATAN HONORER KATEGORI 2 (.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '2b10d598dab88f4e2d0cd1e44300354b', 'fileid': 452899, 'datasetid': 'document', 'mtime': '2022-03-29 12:27:48', 'hash_type': 'MD5', 'filename': 'ANALISIS PRINSIP GOOD GOVERNANCE DALAM PENGADAAN PEGAWAI NEGERI SIPIL (PNS) MELALUI PENGANGKATAN HONORER KATEGORI 2 (.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/452899', 'objectid': 162068, 'filesize': 705364}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 40693, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162068', 'security': 'public'}]",,,127,,archive,,40693,2022-03-30 01:06:51,unpub,public,,Administrasi  Negara,,2022-03-01 00:00:00.000000000,['Universitas Lampung'],,,,,,,,,,,,,,
8,"Penilaian Teman Sejawat: DETERMINANT OF PERSONAL TAX COMPLIANCE IN INDONESIA,","[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'given': 'Dewie', 'honourific': None, 'family': 'Atika', 'lineage': None}}]",other,2022-03-30 01:07:14,show,8,2022-03-30 01:07:14,,disk0/00/04/07/04,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/40704,,"['H1', 'HN']",,,"[{'docid': 162079, 'main': 'DETERMINANT OF PERSONAL TAX COMPLIANCE IN INDONESIA,.pdf', 'files': [{'datasetid': 'document', 'fileid': 452987, 'mime_type': 'application/pdf', 'hash': '1e65429b470270a6b724ff151aea7361', 'hash_type': 'MD5', 'mtime': '2022-03-29 13:02:51', 'objectid': 162079, 'filesize': 617549, 'filename': 'DETERMINANT OF PERSONAL TAX COMPLIANCE IN INDONESIA,.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/452987'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 40704, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162079', 'pos': 1, 'security': 'public'}]",,,127,,archive,,40704,2022-03-30 01:07:14,unpub,public,,Administrasi  Negara,,2022-03-01 00:00:00.000000000,['Universitas Lampung'],,,,,,,,,,,,,,
9,Penilaian Teman Sejawat: ENVIRONMENTAL SCANNING POTENSI DAN KENDALA DESA DALAM MENDIRIKAN BADAN USAHA MILIK DESA (STUDI DI PEKON PARDASUKA KECAMATAN PARDASUKA),"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'given': 'Dewie', 'honourific': None, 'family': 'Atika', 'lineage': None}}]",other,2022-03-30 01:07:06,show,8,2022-03-30 01:07:06,,disk0/00/04/07/00,['FISIP2'],http://repository.lppm.unila.ac.id/id/eprint/40700,,"['H1', 'HN']",,,"[{'docid': 162075, 'main': 'ENVIRONMENTAL SCANNING POTENSI DAN KENDALA DESA DALAM MENDIRIKAN BADAN USAHA MILIK DESA (STUDI DI PEKON PARDASUKA KECAMATAN PARDASUKA).pdf', 'files': [{'fileid': 452955, 'datasetid': 'document', 'hash': '9ff3295c8cbf2e0f73f46b93a61fcbde', 'mime_type': 'application/pdf', 'objectid': 162075, 'filesize': 636435, 'filename': 'ENVIRONMENTAL SCANNING POTENSI DAN KENDALA DESA DALAM MENDIRIKAN BADAN USAHA MILIK DESA (STUDI DI PEKON PARDASUKA KECAMATAN PARDASUKA).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/452955', 'hash_type': 'MD5', 'mtime': '2022-03-29 12:52:36'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 40700, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162075', 'pos': 1, 'security': 'public'}]",,,127,,archive,,40700,2022-03-30 01:07:06,unpub,public,,Administrasi  Negara,,2022-03-01 00:00:00.000000000,['Universitas Lampung'],,,,,,,,,,,,,,
