,full_text_status,status_changed,rev_number,ispublished,divisions,publisher,dir,uri,date,date_type,subjects,book_title,place_of_pub,isbn,creators,type,title,refereed,userid,lastmod,pages,documents,datestamp,editors,eprint_status,eprintid,metadata_visibility,abstract,volume,publication,issn,number,corp_creators,projects,pagerange,official_url,related_url,monograph_type,contributors,contact_email,keywords,referencetext,note,department,institution,series,event_dates,pres_type,event_location,event_title,event_type,funders,id_number
0,public,2017-06-02 11:58:07,7,pub,['FH3'],Justice Publisher,disk0/00/00/27/60,http://repository.lppm.unila.ac.id/id/eprint/2760,1970-01-01 00:00:00.000002015,published,['K1'],Perkembangan Hukum Nasional dan Internasional,Bandar Lampung,978-602-1071-38-0,"[{'id': None, 'name': {'family': 'Anwar', 'lineage': None, 'honourific': None, 'given': 'Khaidir'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Syofyan', 'given': 'Ahmad'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",book_section,"PERDEBATAN PERUSAHAAN SEBAGAI SUBJEK HUKUM
INTERNASIONAL BERDASARKAN KONVENSI HUKUM LAUT 1982",TRUE,230,2017-06-02 11:58:07,248.0,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2619', 'pos': 1, 'eprintid': 2760, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'hukum-laut-nasional-internasional.pdf', 'files': [{'fileid': 18903, 'datasetid': 'document', 'hash': 'ca4ebc9b69304c41283e587da74eb7bc', 'mime_type': 'application/pdf', 'filesize': 7822146, 'objectid': 2619, 'filename': 'hukum-laut-nasional-internasional.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/18903', 'hash_type': 'MD5', 'mtime': '2017-06-01 06:56:40'}], 'docid': 2619}]",2017-06-02 11:58:07,"[{'name': {'given': 'Heryandi', 'family': 'Heryandi', 'lineage': None, 'honourific': None}}]",archive,2760,show,,,,,,,,,,,,,,,,,,,,,,,,,,
1,public,2019-10-22 08:39:11,6,pub,['FH3'],,disk0/00/01/45/97,http://repository.lppm.unila.ac.id/id/eprint/14597,1970-01-01 00:00:00.000002015,published,['K1'],,,,"[{'name': {'given': 'Budiyono', 'family': 'Budiyono', 'lineage': None, 'honourific': None}}]",article,Dekonstruksi Urusan Pemerintahan Konkuren Dalam Undang- Undang Pemerintahan Daerah,TRUE,561,2019-10-22 08:39:11,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Review Budiyono Dekonstruksi Urusan Pemerintah Konkuren dalam UU.pdf', 'docid': 27690, 'files': [{'objectid': 27690, 'filesize': 667964, 'uri': 'http://repository.lppm.unila.ac.id/id/file/126470', 'filename': 'Review Budiyono Dekonstruksi Urusan Pemerintah Konkuren dalam UU.pdf', 'hash_type': 'MD5', 'mtime': '2019-10-22 07:38:40', 'datasetid': 'document', 'fileid': 126470, 'hash': 'f34a9ddd2c4caba121392e7338172606', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27690', 'security': 'public', 'placement': 1, 'eprintid': 14597}]",2019-10-22 08:39:11,,archive,14597,show,Peer Review,-,Karun,0854-5489,67,,,,,,,,,,,,,,,,,,,,,
2,public,2019-08-30 08:12:13,6,unpub,['FH3'],Lampung University,disk0/00/01/39/09,http://repository.lppm.unila.ac.id/id/eprint/13909,2015-10-01 00:00:00.000000000,,['K1'],,,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Candra Perbawati', 'given': 'Candra'}, 'id': 'perbawaticandra@yahoo.com'}]",article,EVALUASI KEBIJAKAN PENATAAN PEDAGANG KAKI LIMA DI PASAR BAMBU KUNING BANDAR LAMPUNG TAHUN ANGGARAN 2014,TRUE,366,2019-08-30 08:12:13,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26941', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 13909, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 26941, 'main': 'Candra Perbawati Evaluasi Kbijakan Penataan Pedagangan Kaki Lima di Pasar Bambu Kuning.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '68f5e9403368d99479c0ba9fa60751c7', 'datasetid': 'document', 'fileid': 121279, 'mtime': '2019-08-21 02:49:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/121279', 'filename': 'Candra Perbawati Evaluasi Kbijakan Penataan Pedagangan Kaki Lima di Pasar Bambu Kuning.pdf', 'filesize': 978620, 'objectid': 26941}], 'format': 'text'}]",2019-08-30 08:12:13,,archive,13909,show,"salah satu masalah pokok yang menjadi tanggung jawab dinas pasar kota bandar lampung adalah pedagang kaki lima. pedagang kaki lima merupakan jenis pekerjaan yang relative khas dalam sector informal di daerah perkotaan. Pedagang kaki lima menjadi suatu komponen dalam masyarakat karna warga kota mendapatkan kemudahan di dalam memenuhi kebutuhannya. Hal ini yang menyebabkan pedagang kaki lima telah menjadi fenomena social yang merupakan bagian pertumbuhan masyarakat. Tujuan penelitian untuk melihat pelaksanaan pembinaan terhadap pedagang kaki lima pada pasar bamboo kuning dan melihat hambatan yang dihadapi dalam pembinaan terhadap pedagang kaki lima. Tipe penelitian adalah deskriptif dengan analisis data kualitatif. hasil penelitian menunjukan pelaksanaan pembinaan terhadap pedagang kaki lima dalam penataan pasar, merupakan usaha yang dilakukan secara sadar dan terencana sesuai dengan surat perintah tugas kepala dinas kota bandar lampung no 800/645/IV.38/2015 yaitu dilakukan dengan cara melaksanakan sosialisasi, pembinaan dan pengawasan terhadap pedagang kaki lima dalam lingkungan pasar kota bandar lampung. Hambatan yang dihadapi yaitu ada 2 secara internal dan eksternal, yaitu baik secara lingkungan yang berada di dalam organisasi maupun sebagai komponen komponen yang berada dalam luar organisasi.",,"Evaluasi kebijakan penataan pedagang kaki lima, di pasar bambu kuning bandar lampung, tahun anggaran 2014",,,['fakultas hukum universitas lampung'],['DIPA UNIVERSITAS LAMPUNG'],1-40,,,,,,,,,,,,,,,,,,
3,public,2018-08-03 07:38:50,6,pub,['FH3'],Fakultas Syariah IAIN Raden Intan Lampung,disk0/00/00/86/67,http://repository.lppm.unila.ac.id/id/eprint/8667,2015-12-01 00:00:00.000000000,,['K1'],,,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Candra Perbawati', 'given': 'Candra'}}]",article,Penegakan Hak Asasi Manusia di Era Globalisasi dalam Perspektif Hukum Islam,FALSE,366,2018-08-03 07:38:50,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21737', 'security': 'public', 'placement': 1, 'eprintid': 8667, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Candra (Jurnal = Penegakan HAM di Era Globalisasi).pdf', 'docid': 21737, 'files': [{'mime_type': 'application/pdf', 'hash': '52bfe317a15d02dfe1ecafd1cbec6496', 'fileid': 84584, 'datasetid': 'document', 'filename': 'Candra (Jurnal = Penegakan HAM di Era Globalisasi).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/84584', 'filesize': 6602607, 'objectid': 21737, 'mtime': '2018-07-19 04:20:45', 'hash_type': 'MD5'}], 'format': 'text'}]",2018-08-03 07:38:50,,archive,8667,show,,XII,Al-'Adalah,0854-1272,4,,,843-854,,,,,,,,,,,,,,,,,,
4,public,2017-07-20 08:56:27,9,pub,['FH3'],Fakultas Hukum Universitas Lampung,disk0/00/00/27/87,http://repository.lppm.unila.ac.id/id/eprint/2787,2015-07-01 00:00:00.000000000,,['K1'],,,,"[{'name': {'honourific': None, 'family': 'Churul Aini', 'lineage': None, 'given': 'Desy'}}]",article,Harmonisasi Undang-Undang Dasar 1945 dengan Ketentuan Internasional tentang Masyarakat Ekonomi Asean 2015 (Asean Economic Community/AEC 2015),FALSE,95,2017-07-20 08:56:27,,"[{'mime_type': 'text/html', 'language': 'id', 'rev_number': 3, 'main': 606, 'docid': 2644, 'files': [{'mtime': '2017-06-01 07:49:03', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/19064', 'filename': 606, 'objectid': 2644, 'filesize': 24150, 'hash': '8bfc723bf94490ba25688209b99946d6', 'mime_type': 'text/html', 'datasetid': 'document', 'fileid': 19064}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2644', 'security': 'public', 'placement': 1, 'eprintid': 2787}]",2017-06-02 05:30:40,,archive,2787,show,,9,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,3,,,365-395,http://jurnal.fh.unila.ac.id/index.php/fiat/article/viewFile/606/,,,,,,,,,,,,,,,,,
5,public,2017-07-20 08:56:55,6,pub,['FH3'],Program Studi Ilmu Hukum Universitas Maritim Raja Ali Haji,disk0/00/00/28/22,http://repository.lppm.unila.ac.id/id/eprint/2822,2015-05-01 00:00:00.000000000,published,['K1'],,,,"[{'name': {'honourific': None, 'family': 'Churul Aini', 'lineage': None, 'given': 'Desy'}, 'id': 'desychurulaini@yahoo.com'}]",article,"Pengaturan tentang Status Hukum Illegal Immigrant berdasarkan Hukum Internasional, Hukum Nasional dan Penanganannya di Indonesia",TRUE,95,2017-07-20 08:56:55,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/19316', 'filename': 'DEsy jurnal umrah.pdf', 'objectid': 2679, 'filesize': 8189515, 'mtime': '2017-06-01 08:50:39', 'hash_type': 'MD5', 'hash': '86b10e27e27f5fcf5c95ffe87196825f', 'mime_type': 'application/pdf', 'fileid': 19316, 'datasetid': 'document'}], 'main': 'DEsy jurnal umrah.pdf', 'docid': 2679, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 2822, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2679', 'pos': 1, 'security': 'public'}]",2017-07-20 08:56:55,,archive,2822,show,,2,Jurnal Ilmu Hukum SELAT Universitas Maritim Raja Ali Haji,2354-8649,2,,,244-261,,[{'url': 'http://ojs.umrah.ac.id/index.php/selat/article/view/89'}],,,,,,,,,,,,,,,,
6,public,2017-06-13 01:56:40,8,pub,['FH3'],Justice Publisher,disk0/00/00/28/25,http://repository.lppm.unila.ac.id/id/eprint/2825,2015-01-01 00:00:00.000000000,published,['K1'],Hukum Laut Internasional dalam Perkembangan,,978-602-1071-29-8,"[{'name': {'honourific': None, 'family': 'Churul Aini', 'lineage': None, 'given': 'Desy'}, 'id': 'desychurulaini@yahoo.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Candra Jaya', 'given': 'Beni Prawira'}, 'id': None}]",book_section,Pengaturan Pemanfaatan Sumber Daya Alam Hayati di Zona Ekonomi Eksklusif berdasarkan Hukum Internasional dan Hukum Nasional,TRUE,95,2017-06-13 01:56:40,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'hukum kelautan.pdf', 'files': [{'datasetid': 'document', 'fileid': 19344, 'hash': '53da4addb8574f5cd5e5eefb40a9b834', 'mime_type': 'application/pdf', 'filesize': 6625540, 'objectid': 2683, 'uri': 'http://repository.lppm.unila.ac.id/id/file/19344', 'filename': 'hukum kelautan.pdf', 'hash_type': 'MD5', 'mtime': '2017-06-01 09:00:54'}], 'docid': 2683, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2683', 'security': 'public', 'placement': 1, 'eprintid': 2825}]",2017-06-13 01:56:40,,archive,2825,show,,3,,,,,,172-187,http://Jurnal.fh.unila.ac.id/index.php/monograf/issue/view/77,,,,,,,,,,,,,,,,,
7,public,2019-08-07 04:19:55,7,pub,['FH3'],publishing bandar lampung,disk0/00/01/37/37,http://repository.lppm.unila.ac.id/id/eprint/13737,1970-01-01 00:00:00.000002015,,['K1'],Implikasi hukum kebijakan pendaftaran tanah terhadap keberlanjutan pembangunan dalam buku hukum lingkungan dan pembangunan berkelanjutan,,978-602-1534-47-2,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hamidah', 'given': 'Upik'}}]",book_section,Implikasi hukum kebijakan pendaftaran tanah terhadap keberlanjutan pembangunan dalam buku hukum lingkungan dan pembangunan berkelanjutan,TRUE,769,2019-08-07 04:19:55,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26749', 'eprintid': 13737, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'peerreview upik implikasi hukum.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'b70248dcf3ab905880c4863bb4b205be', 'datasetid': 'document', 'fileid': 119812, 'filename': 'peerreview upik implikasi hukum.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119812', 'objectid': 26749, 'filesize': 277498, 'mtime': '2019-08-07 01:55:56', 'hash_type': 'MD5'}], 'docid': 26749}]",2019-08-07 04:19:55,,archive,13737,show,hasil penilaian sejawat sebidang atau peer review,,,,,['universitas lampung'],,,,,,,,,,,,,,,,,,,,
8,public,2019-08-07 04:19:47,6,pub,['FH3'],,disk0/00/01/37/40,http://repository.lppm.unila.ac.id/id/eprint/13740,2015-12-01 00:00:00.000000000,,['K1'],,,,"[{'name': {'given': 'Upik', 'honourific': None, 'family': 'Hamidah', 'lineage': None}}]",article,pengaturan hukum pengelolaan sumber daya air di kota bandar lampung,TRUE,769,2019-08-07 04:19:47,,"[{'placement': 1, 'eprintid': 13740, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26752', 'pos': 1, 'security': 'public', 'main': 'peerreview upik pengaturan hkm.pdf', 'docid': 26752, 'files': [{'mime_type': 'application/pdf', 'hash': '39632c0160d5532aa3f136f69dc53212', 'datasetid': 'document', 'fileid': 119831, 'mtime': '2019-08-07 02:35:26', 'hash_type': 'MD5', 'filename': 'peerreview upik pengaturan hkm.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119831', 'filesize': 306764, 'objectid': 26752}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-08-07 04:19:47,,archive,13740,show,hasil penilaian sejawat sebidang atau peer review,26,citra hukum,,2,['Universitas Lampung'],,,,,,,,,,,,,,,,,,,,
9,public,2017-06-02 12:01:47,8,pub,['FH3'],Justice Publisher,disk0/00/00/27/78,http://repository.lppm.unila.ac.id/id/eprint/2778,1970-01-01 00:00:00.000002015,,['K1'],Perkembangan hukum Nasional dan Internasional,,978-602-1071-38-0,"[{'name': {'given': 'Heryandi', 'lineage': None, 'family': 'Heryandi', 'honourific': None}, 'id': None}, {'id': 'desychurulaini@yahoo.com', 'name': {'given': 'Desy', 'honourific': None, 'family': 'Churul Aini', 'lineage': None}}]",book_section,Pengaturan Alur Laut Kepulauan berdasarkan Konvensi Hukum Laut 1982 dan Implementasinya di Indonesia,FALSE,95,2017-06-02 12:01:47,42.0,"[{'placement': 1, 'eprintid': 2778, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2633', 'security': 'public', 'docid': 2633, 'main': 'hukum-laut-nasional-internasional.pdf', 'files': [{'hash': 'ca4ebc9b69304c41283e587da74eb7bc', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 18984, 'filename': 'hukum-laut-nasional-internasional.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/18984', 'objectid': 2633, 'filesize': 7822146, 'mtime': '2017-06-01 07:32:22', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2017-06-02 12:01:47,"[{'name': {'given': 'Heryandi', 'honourific': None, 'family': 'Heryandi', 'lineage': None}}]",archive,2778,show,,,,,,,,65-106,http://Jurnal.fh.unila.ac.id/index.php/monograf/issue/view/78,,,,,,,,,,,,,,,,,
