,type,creators,title,refereed,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,dir,publisher,publication,divisions,full_text_status,issn,status_changed,rev_number,keywords,ispublished,date_type,subjects,abstract,volume,corp_creators,date,uri,department,institution,monograph_type,place_of_pub,pages,id_number,pres_type,event_dates,event_location,event_type,event_title,isbn,editors,funders,projects,related_url,contributors,contact_email,book_title,referencetext,succeeds,series
0,article,"[{'name': {'given': 'Praja negara', 'family': 'Abdul Rahman', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'family': 'Wati', 'lineage': None, 'honourific': None, 'given': 'Rahmi Ria'}, 'id': None}, {'id': 'dewiseptiana80@yahoo.co.id', 'name': {'given': 'Dewi Septiana', 'honourific': None, 'lineage': None, 'family': 'Dewi Septiana'}}]",Analisa Yuridis Terhadap Pengikatan Benda Jaminan Secara Fidusia Sebagai Perjanjian Yang Bersifat Accessoi,TRUE,2019-11-04 07:54:11,archive,15075,show,590-605,796,2.0,https://jurnal.fh.unila.ac.id/index.php/plj/article/view/1515/pdf,2019-11-04 07:54:11,"[{'placement': 1, 'eprintid': 15075, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28216', 'pos': 1, 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': 'f0e453277ad487925d0ddf1d898e5d41', 'datasetid': 'document', 'fileid': 129833, 'uri': 'http://repository.lppm.unila.ac.id/id/file/129833', 'filename': '1515-5095-1-PB.pdf', 'objectid': 28216, 'filesize': 940680, 'mtime': '2019-11-03 07:56:22', 'hash_type': 'MD5'}], 'main': '1515-5095-1-PB.pdf', 'docid': 28216, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",disk0/00/01/50/75,fakultas hukum,Pactum Law Journal,['FH3'],public,2615-7837,2019-11-04 07:54:11,6,"Perjanjian,Jaminan, Fidusia",pub,published,['K1'],"Perjanjian  Pembiayaan  Konsumen  dengan  pengikatan  jaminan  secara  Fidusia merupakan Perjanjian  yang bersifat accessoir sebagaimana diatur dalam Undang-Undang  Nomor  42  Tahun  1999  Tentang  Jaminan  Fidusia.  Perjanjian  Jaminan Fidusia  secara  hukum  wajib  didaftarkan  kepada  Kantor  Pendaftaran  Fidusia, namun  dalam  praktiknya  ketentuan  tersebut  tidak  dilaksanakan  oleh  Perusahaan Pembiayaan  (PT  ADIRA  FINANCE).  Tidak  didaftarkannya  perjanjian  jaminan fidusia  menimbulkan  permasalahan  hukum  bagi  PT  ADIRA  FINANCE  karena tidak  memiliki  kewenangan  untuk  melakukan  penarikan  terhadap  benda  jaminan ketika  debitur  mengalami  keterlambatan  pembayaran.  Penelitian  ini    membahas tentang  kedudukan  perjanjian  jaminan  fidusia  sebagai  perjanjian  yang  bersifat accessoirdan perlindungan konsumen dalam  hal  perjanjian  jaminan  fidusia tidak didaftarkan.   Metode   pendekatan   yang   digunakan   dalam   penelitian   adalah penelitian  hukum  normatif-empiris,  pendekatan  masalah  dalam  penelitian  ini menggunakan  pendekatan  peraturan  perundang-undangan  dan  pendekatan  kasus,dengan tipe penelitian deskriptif. Data yang digunakan adalah data sekunder yang terdiri  dari  bahan  hukum  primer,  sekunder  dan  tersier  serta  pengumpulan  data menggunakan studi kepustakaan. Pengolahan data dilakukan dengan pemeriksaan data  dan sistematika  data.  Analisis  data  dalam  penelitian  ini  dilakukan  secara kualitatif. Hasil penelitian menunjukkan bahwa perjanjian jaminan fidusia sebagai perjanjian  yang  bersifat accessoir menimbulkan  konsekuensi  bahwa  perjanjian jaminan  fidusia  tidak  bisa  berdiri  sendiri  dan  keberlakuannya  tergantung  pada perjanjian    pokoknya.    Tidak    didaftarkannya    perjanjian    jaminan    fidusia, memberikan  hak  kepada  konsumen  untuk  mempertahankan  hak  kebendaannya dalam hal kreditur akan melakukan eksekusi",2.0,['fakultas hukum perdata'],2019-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15075,,,,,,,,,,,,,,,,,,,,,,
1,monograph,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ade', 'given': 'Arif Firmansyah'}}, {'name': {'given': 'Budiyono', 'lineage': None, 'family': 'Budiyono', 'honourific': None}}]",PEMETAAN LEGAL FRAMEWORK DALAM PEMBENTUKAN PERATURAN DAERAH  TENTANG PERLINDUNGAN DAN PEMENUHAN HAK PENYANDANG DISABILITAS,,2019-05-10 03:25:25,archive,12429,show,,561,,,2019-05-10 03:25:25,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/25409', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 12429, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Monograf HTN Alm. Armen.pdf', 'files': [{'filename': 'Monograf HTN Alm. Armen.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/110591', 'filesize': 4167588, 'objectid': 25409, 'mtime': '2019-05-10 02:41:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'a7fbc6c1c9b45ce3dab6d8102de879bf', 'fileid': 110591, 'datasetid': 'document'}], 'docid': 25409, 'format': 'text'}]",disk0/00/01/24/29,AURA CV. Anugrah Utama Raharja,,['FH3'],public,,2019-05-10 03:25:25,7,,pub,published,['K1'],"Negara Republik Indonesia yang berdasarkan Pancasila dan UUDNRI Tahun 1945 menghormati dan menjunjung tinggi harkat dan martabat manusia. Hak asasi manusia sebagai hak dasar yang secara kodrati melekat pada diri manusia bersifat universal, perlu dilindungi, dihormati, dan dipertahankan, sehingga Pelindungan dan hak asasi manusia terhadap kelompok rentan, khususnya Penyandang Disabilitas wajib untuk diupayakan oleh semua pihak",,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/12429,bagian hukum tata negara,fakultas hukum universitas lampung,manual,fakultas hukum universitas lampung,1.0,No.003/LPU/2013,,,,,,,,,,,,,,,,
2,monograph,"[{'name': {'family': 'Ade', 'lineage': None, 'honourific': None, 'given': 'Arif Firmansyah'}}, {'name': {'given': 'Evendia', 'family': 'Malicia', 'lineage': None, 'honourific': None}}]",Konsep Two Golden Rules Butt dan Castle dalam Legal Drafting: Ikhtiar Menuju Regulasi yang Responsif,,2019-05-14 08:27:33,archive,12724,show,,1153,,,2019-05-14 08:27:33,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25705', 'security': 'public', 'placement': 1, 'eprintid': 12724, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'e5f9ccdfc7d6d53438b7de30870491e9', 'datasetid': 'document', 'fileid': 112511, 'mtime': '2019-05-10 22:09:36', 'hash_type': 'MD5', 'filename': 'Monograf Prof Kadir.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/112511', 'filesize': 2544085, 'objectid': 25705}], 'main': 'Monograf Prof Kadir.pdf', 'docid': 25705, 'format': 'text'}]",disk0/00/01/27/24,AURA PRESS,,['FH3'],public,,2019-05-14 08:27:33,7,,pub,,['K1'],,,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/12724,,,working_paper,,,,,,,,,,,,,,,,,,,
3,conference_item,"[{'name': {'honourific': None, 'family': 'Ahmad', 'lineage': None, 'given': 'Saleh'}, 'id': None}, {'id': None, 'name': {'given': 'Evendia', 'family': 'Malicia', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Yulia Neta', 'honourific': None, 'given': 'Yulia'}, 'id': 'yulia.neta@fh.unila.ac.id'}, {'name': {'family': 'Martha', 'lineage': None, 'honourific': None, 'given': 'Riananda'}, 'id': None}]",ROADMAP OF LOCAL GOVERNMENT AUTHORITY IN MANAGING PEOPLE MINING BASED ON CONCURRENT AFFAIRS,TRUE,2019-02-08 02:06:38,archive,10702,show,,1229,,,2019-02-08 02:06:38,"[{'language': 'en', 'mime_type': 'image/jpeg', 'rev_number': 1, 'format': 'image', 'main': 'cover 3rd shield.jpg', 'docid': 23711, 'files': [{'filename': 'cover 3rd shield.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/98845', 'filesize': 63521, 'objectid': 23711, 'mtime': '2019-02-06 06:00:50', 'hash_type': 'MD5', 'hash': 'c3c9bd8c407fb930e6f05e2d73378199', 'mime_type': 'image/jpeg', 'datasetid': 'document', 'fileid': 98845}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23711', 'eprintid': 10702, 'placement': 1}, {'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 23712, 'main': 'ROADMAP_OF_LOCAL_GOVERNMENT_AUTHORITY_IN_MANAGING_PEOPLE_MINING_BASED_ON_CONCURRENT_AFFAIRS-15486465671.pdf', 'files': [{'datasetid': 'document', 'fileid': 98847, 'hash': '316f36661f429dbe29a9435338c2ab64', 'mime_type': 'application/pdf', 'filesize': 189517, 'objectid': 23712, 'filename': 'ROADMAP_OF_LOCAL_GOVERNMENT_AUTHORITY_IN_MANAGING_PEOPLE_MINING_BASED_ON_CONCURRENT_AFFAIRS-15486465671.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/98847', 'hash_type': 'MD5', 'mtime': '2019-02-06 06:01:02'}], 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23712', 'eprintid': 10702, 'placement': 2}]",disk0/00/01/07/02,,,['FH3'],public,,2019-02-08 02:06:38,9,,pub,published,"['K1', 'KZ']","This study aims to analyze and describe the roadmap of regional government
authority in terms of managing people mining. The replacement of Law No. 32 of 2004 became
Law No. 23 of 2014 concerning Regional Government, has deconstructed various government
affairs in the administration of regional government, one of which is in the field of energy and
mineral resources. People mining is the scope of the sub affairs of energy and mineral resources.
The deconstruction of this authority has resulted in the shifting of authority in the management
of community mining from the district/city government to the authority of the provincial
government.",,,2019-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10702,,,,,,,paper,9-11 November 2018,university of Lampung,conference,International Conference 3rd SHIELD 2018,,,,,,,,,,,
4,article,"[{'id': 'amnawaty@yahoo.com', 'name': {'given': 'S.H., M.H', 'honourific': None, 'lineage': None, 'family': 'Amnawaty'}}, {'id': None, 'name': {'given': 'oktariatas', 'family': 'ade', 'lineage': None, 'honourific': None}}]",REFORMASI SISTEM HUKUM PENCATATAN PERKAWINAN WARGA MUSLIM DAN PERLINDUNGAN HUKUM ANAK DARI NIKAH SIRRI,TRUE,2019-11-05 10:58:55,archive,15625,show,17-35,955,1.0,http://e-journal.metrouniv.ac.id/index.php/nizham/article/view/1517,2019-11-05 10:58:55,"[{'eprintid': 15625, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28747', 'pos': 1, 'format': 'text', 'files': [{'filesize': 519311, 'objectid': 28747, 'uri': 'http://repository.lppm.unila.ac.id/id/file/134541', 'filename': 'jurnal nizam.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-05 07:50:05', 'datasetid': 'document', 'fileid': 134541, 'mime_type': 'application/pdf', 'hash': '99ece983e1ae5c1af3c0cfb2ebc008c8'}], 'main': 'jurnal nizam.pdf', 'docid': 28747, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",disk0/00/01/56/25,Post-Graduate IAIN Metro Lampung,Nizham Journal of Islamic Studies,['FH3'],public,2541-7061,2019-11-05 10:58:55,6,"Sirri Marriage, Law Protection, Recorded Marriage, Reformation",pub,published,['K1'],"Portrait of the legal system for marriage registration and child protection. Whereas all regulations in the form of laws, such as the Marriage Law, Government Regulations, Civil Registration Laws, Regional Government Laws, Child Protection Laws, Compilation of Islamic Law and Decrees of the Minister of Religion in formulating legal marriages still refer to Article 2 paragraph (1) and paragraph (2) of the Marriage law. This means that children in marriage are not recorded not protected by the state. Post-Decision of the Constitutional Court No. 46 / PU-VIII / 2010 has protected the rights of children born of marriage not recorded, but the decision has not been followed by other regulations, so that the decision cannot be implemented. Islamic law fully protects the rights of these children, but does not become a positive law. As a result, there are impacts such as legal smuggling, legal neglect. It is necessary to reform the Muslim marriage registration legal system so that children born from Sirri marriages can be protected. The method offered is to build public legal awareness about the importance of marriage registration.",7.0,['IAIN Metro Lampung'],2019-06-12 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15625,,,,,,,,,,,,,,,,,,,,,,
5,conference_item,"[{'id': 'rinaldy.amrullah@fh.unila.ac.id', 'name': {'given': 'Rinaldi', 'honourific': None, 'family': 'Amrullah', 'lineage': None}}, {'name': {'given': 'Rudi Natamiharja', 'family': 'Rudi Natamiharja', 'lineage': None, 'honourific': None}, 'id': 'rudi.natamiharja@unila.fh.ac.id'}]",Asset Recovery in the Criminal Act of Corruption in ASEAN,TRUE,2019-11-14 11:01:10,archive,15949,show,,697,,,2019-11-14 11:01:10,"[{'format': 'text', 'main': 'Full paper_Rinaldy Amrullah_Rudi Natamiharja_final.pdf', 'docid': 29038, 'files': [{'mtime': '2019-11-08 02:30:00', 'hash_type': 'MD5', 'filename': 'Full paper_Rinaldy Amrullah_Rudi Natamiharja_final.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/136708', 'objectid': 29038, 'filesize': 893042, 'hash': 'd6a4ed243c4e441aba0572c15d33b1fb', 'mime_type': 'application/pdf', 'fileid': 136708, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 15949, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29038'}]",disk0/00/01/59/49,,,['FH3'],public,,2019-11-14 11:01:10,8,,unpub,,['K1'],"The eradication of corruption is not only limited to imprisonment for perpetrators but also optimally recaptures what has been taken by corruptors (asset recovery). This action needs to be done to create a deterrent effect for corruptors and return the state property. The corruption eradication in Southeast Asia, especially by ASEAN member countries, has not shown seriousness. This fact demonstrated from Transparency International report. The majority of ASEAN country member has not been optimal in the orientation of asset recovery in handling corruption cases. How could ASEAN countries eradicate corruption through asset recovery efforts? This study uses a normative comparative method through a qualitative approach. Based on the results of the study found that the level of corruption in Southeast Asia is not the worst, but also not in a safe condition from the threat of corruption and is still classified as an area of concern. Brunei Darussalam, the Philippines, Indonesia and Singapore are among the countries that have succeeded in increasing corruption eradication scores. Indonesia and Thailand become countries that struggle hard to eradicate corruption while Vietnam and Laos are considered to be countries that are still lacking in fighting corruption. Based on the results of the study, it was found that the recovery of corruption assets is still a matter of little concern by the majority of countries except Singapore and Malaysia. In eradicating corruption, particularly in asset recovery, ASEAN needs to have a political will determined and become a law in conducting multilateral cooperation. The agreement must be set forth in the form of regional cooperation that has a strong tie so that this can help efforts to eradicate corruption in ASEAN.
Keywords: asset recovery, ASEAN, corruption, UNCAC, South East Asia",,,2019-10-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15949,,,,,,,paper,30-31 Oct 2019,Palembang,conference,Konferensi Nasional Hukum Pidana,,,,,,,,,,,
6,article,"[{'name': {'honourific': None, 'family': 'Annisa adelia', 'lineage': None, 'given': 'Yusuf'}}, {'name': {'given': 'Nargis', 'honourific': None, 'lineage': None, 'family': 'Nilla'}}, {'name': {'given': 'Nurlaili', 'honourific': None, 'lineage': None, 'family': 'Elly'}}]",TRANSAKSI JUAL BELI MELALUI JASA GO FOOD DALAM PERSPEKTIF HUKUM ISLAM,TRUE,2019-11-04 07:54:15,archive,15080,show,619-633,627,2.0,https://jurnal.fh.unila.ac.id/index.php/plj/article/view/1517/pdf,2019-11-04 07:54:15,"[{'eprintid': 15080, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28220', 'format': 'text', 'main': '1517-5097-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/129866', 'filename': '1517-5097-1-PB.pdf', 'objectid': 28220, 'filesize': 818446, 'mtime': '2019-11-03 08:25:34', 'hash_type': 'MD5', 'hash': '3ecee06fd3541819d79cba1b665d1057', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 129866}], 'docid': 28220, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",disk0/00/01/50/80,fakultas hukum,Pactum Law Journal,['FH3'],public,2615-7837,2019-11-04 07:54:15,6,"transaksi Jual Beli, Go-Food, Hukum Islam",pub,published,['K1'],"Fitur Go-Food dalam  aplikasi Go-Jekmerupakan  layanan  jual  beli  antara  konsumen dengan  penjual  melalui pengemudi Go-Jek.Rumusan masalahdalam  penelitian  ini, yaitu:Bagaimanakah syarat  dan  prosedur transaksi  jual  beli  melalui  jasa Go-Food?Bagaimanakah  perspektif  hukum  Islam terhadap transaksi  jual  beli  melalui  jasa Go-Food?Penelitianini  menggunakan  jenis  normatifdengan  pendekatan  deskriptif  dannormatif  terapan.  Data  dikumpulkan  dengan  prosedur  studi  kepustakaan,dokumen dan  wawancara.Analisis  data  dilakukan  secara  yuridis  kualitatif.Hasil  penelitian bahwasyarat transaksi  jual  beli  melalui  jasa Go-Food yaitumenginstal  aplikasi Go-Jekdanmematuhi  syarat  yang ditentukanpihak  perusahaan.  Prosedur  transaksi  jual beli  melalui  jasa Go-Food yaitubuka  aplikasi Go-Jekpada smartphone, pilih  fitur Go-Food, pilih    lokasipembelian, tentukanjumlah    makanan    atau    minuman, klikpesan, sistem Go-Jekmencarikan  pengemudi,  pengemudi  menelpon  konsumen untuk konfirmasi  pesanan,tunggu  pesanandiantarkan  oleh  pengemudi.Perspektif hukum Islam yang menghalalkan transaksi jual beli melalui jasa Go-Fooddidasarkan Al Qur’an dan Al Haditsyang memperbolehkan mewakilkan pembelian (wakalah bil ujrah)dan  memandang  pemanfaatan  jasa  pengemudiGo-Jek sebagai ijarahyang dibayar berdasarkankeikhlasan.  Perspektif yang  mengharamkan transaksi  jual  beli melalui  jasa Go-Fooddidasarkan Al Qur’an danAl Hadits  yang  mengharamkan riba danmemandang  bahwa  terjadi  penggabungan  akad(al ‘uquud al murakkabah) yang hukumnya haram",2.0,['fakultas hukum perdata'],2019-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15080,,,,,,,,,,,,,,,,,,,,,,
7,article,"[{'name': {'given': 'Alim Wijaya', 'honourific': None, 'lineage': None, 'family': 'Aria'}, 'id': None}, {'name': {'given': 'Murniati', 'honourific': None, 'family': 'Rilda', 'lineage': None}, 'id': None}, {'id': 'trijaya', 'name': {'honourific': None, 'family': 'Mohammad', 'lineage': None, 'given': 'wendy'}}]",HAK EKSEKUSI KREDITOR SEPARATIS TERHADAP BENDA AGUNAN DALAM KEPAILITAN,TRUE,2019-11-04 07:50:54,archive,15062,show,713-724,638,3.0,https://jurnal.fh.unila.ac.id/index.php/plj/article/view/1685,2019-11-04 07:50:54,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28202', 'security': 'public', 'placement': 1, 'eprintid': 15062, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 28202, 'main': '1685-5414-1-PB.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-03 05:55:16', 'objectid': 28202, 'filesize': 251966, 'filename': '1685-5414-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/129750', 'fileid': 129750, 'datasetid': 'document', 'hash': '606eb04025f039ff035eda15e98d884a', 'mime_type': 'application/pdf'}], 'format': 'text'}]",disk0/00/01/50/62,fakultas hukum,Pactum Law Journal,['FH3'],public,2615-7837,2019-11-04 07:50:54,6,"Kedudukan, Hak Eksekusi, Penangguhan Eksekusi, Kreditor Separatis",pub,published,['K1'],"Perseroan Terbatas (PT) Jaba Garmindo selaku debitor pailit memiliki kreditor separatis yaitu PT. Bank Commerce International Merchant Bankers Niaga Tbk (Bank CIMB Niaga), Shima Hong Kong, Shima Jepang, dan SMFL Hong Kong. Para kreditor separatis keberatan dengan daftar pembagian harta pailit tahap pertama yang disusun curator, sehingga mengajukan perlawanan ke Pengadilan Niaga Jakarta Pusat dan Bank CIMB Niaga mengajukan kasasi kepada Mahkamah Agung (MA). Penelitian ini menganalisis dan membahas secara rinci kedudukan dan hak kreditor separatis serta penerapan hak eksekusi yang dimiliki kreditor separatis terhadap pembagian harta pailit. Penelitian ini adalah penelitian normatif dengan tipe penelitian deskriptif, pendekatan masalah secara normatif terapan dengan tipe studi kasus, pengumpulan data secara studi pustaka dan studi dokumen, serta pengolahan data dilakukan analisis secara kualitatif. Hasil penelitian dan pembahasan adalah kreditor separatis memiliki kedudukan lebih tinggi, didahulukan pembayarannya dari kreditor lainnya, dipisahkannya hak atas benda agunan dari harta pailit, serta memiliki kedudukan untuk merubah status dari kreditor separatis menjadi kreditor konkuren. Pengadilan Niaga dan MA menolak permohonan perlawanan para kreditor separatis dengan pertimbangan keadaan benda agunan yang saling bersinggungan sehingga daftar pembagian harta pailit harus disusun berdasarkan asas pari passu pro rata parte. Tingkatan sifat/golongan kreditor telah sesuai Putusan Mahkamah Konstitusi (MK) Nomor 67/PUUXI/2013.",2.0,['Fakultas Hukum'],2019-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15062,,,,,,,,,,,,,,,,,,,,,,
8,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ati', 'given': 'Yuniati'}}]","KEBIJAKAN HUKUM PENGELOLAAN DANA DESA 
DALAM PERSPEKTIF OTONOMI DESA",TRUE,2019-11-18 08:32:03,archive,16987,show,,278,,,2019-11-18 08:32:03,"[{'main': 'artikel atii.doc', 'docid': 30078, 'files': [{'filename': 'artikel atii.doc', 'uri': 'http://repository.lppm.unila.ac.id/id/file/144281', 'objectid': 30078, 'filesize': 107520, 'mtime': '2019-11-18 08:00:40', 'hash_type': 'MD5', 'mime_type': 'application/msword', 'hash': '63ac29ed28f75701a0fc75c7f6bcf725', 'fileid': 144281, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/msword', 'rev_number': 1, 'placement': 1, 'eprintid': 16987, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30078', 'pos': 1, 'security': 'public'}]",disk0/00/01/69/87,,Seminar Hasil-Hasil Penelitian DIPA BLU Unila Tahun 2019,['FH3'],public,,2019-11-18 08:32:03,6,,unpub,,['K1'],"Lahirnya otonomi desa menjadikan desa untuk lebih mandiri dalam mengurus rumah tangga desanya. Dengan ditebitkannya Undang-Undang Nomor 6 Tahun 2014 tentang Desa, Peraturan Meteri Dalam Negeri Nomor 20 Tahun 2018 tentang Pengelolaan Keuangan Desa membuat pemerintahan desa memiliki badan otonomi sendiri untuk mengelola keuangan desa. Peran dan tanggungjawab yang diterima oleh desa belum dimbangi dengan Sumber Daya Manusia (SDM) yang memadai baik dari segi kuantitas maupun kualitas. Meskipun dana yang dimiliki oleh suatu desa sangat besar, tetapi bila tidak diatur dengan baik dalam perencanaan dan penggunanya, maka akan mengakibatkan dana tersebut menjadi sia-sia atau tidak bisa memberikan hasil yang maksimal dalam penggunaan dana desa tersebut.",,,2019-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16987,,,,,,,,,,,,,,,,,,,,,,
9,article,"[{'name': {'given': 'Yuniati', 'honourific': None, 'family': 'Ati', 'lineage': None}}]","LEGAL POLICY OF VILLAGE FUND MANAGEMENT 
BASED ON VILLAGE AUTONOMY PERSPECTIVE",TRUE,2019-11-18 08:32:06,archive,17001,show,,278,,,2019-11-18 08:32:06,"[{'mime_type': 'application/msword', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'artikel atie.doc', 'docid': 30092, 'files': [{'fileid': 144383, 'datasetid': 'document', 'hash': '861da0430ea9ccf417d1bb9a94384147', 'mime_type': 'application/msword', 'hash_type': 'MD5', 'mtime': '2019-11-18 08:26:05', 'objectid': 30092, 'filesize': 81920, 'filename': 'artikel atie.doc', 'uri': 'http://repository.lppm.unila.ac.id/id/file/144383'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30092', 'eprintid': 17001, 'placement': 1}]",disk0/00/01/70/01,,Prociding Icoffees 2019,['FH3'],public,,2019-11-18 08:32:06,6,,unpub,,['K1'],"Roles and responsibilities received by villages have not been matched with adequate Human Resources (HR) in terms of both quantity and quality. Even though the funds owned by a village are very large, but if they are not regulated properly in their planning and its utilization, it will result that these funds being wasted or unable to provide maximum results in the use of these village funds. Issues to be discussed in this study are the authority of village fund management in the perspective of village autonomy in Wiyono Village and the procedures and substance of village fund management in Wiyono Village, Pesawaran Regency",,,2019-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/17001,,,,,,,,,,,,,,,,,,,,,,
