,refereed,event_dates,title,pres_type,creators,type,event_location,metadata_visibility,eprint_status,eprintid,datestamp,documents,official_url,lastmod,userid,event_type,divisions,dir,rev_number,ispublished,status_changed,full_text_status,subjects,event_title,date_type,uri,abstract,publisher,institution,monograph_type,number,pagerange,volume,succeeds,issn,publication,corp_creators,contributors,contact_email
0,TRUE,"November 9, 2018",Developing STEM Learning Makerspace for Fostering Student’s 21st Century Skills in The Fourth Industrial Revolution Era,keynote,"[{'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",conference_item,"emersia hotel, bandar lampung",show,archive,10301,2018-11-19 04:17:57,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23295', 'pos': 1, 'eprintid': 10301, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'format': 'text', 'main': 'ARTIKEL KEYNOTE SPEAKER YSSTEE.docx', 'docid': 23295, 'files': [{'fileid': 96024, 'datasetid': 'document', 'hash': '09c643eae8e1642c8f56d8aaaee3999e', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'objectid': 23295, 'filesize': 492814, 'filename': 'ARTIKEL KEYNOTE SPEAKER YSSTEE.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/96024', 'hash_type': 'MD5', 'mtime': '2018-11-19 02:55:10'}]}]",https://conference.urpiuinradenintan.org/,2018-11-19 04:17:57,435,conference,['FKIP4'],disk0/00/01/03/01,8,submitted,2018-11-19 04:17:57,public,['LB'],YOUNG SCHOLAR SYMPOSIUM ON TRANSDISCIPLINARY IN EDUCATION AND ENVIRONMENT 2018,submitted,http://repository.lppm.unila.ac.id/id/eprint/10301,"The need for higher education to respond is urgent  as the power of 4IR technologies and 21st century challenges for either positive social impacts or devastating environmental damage. Recent researches on how to make an alternative solution in the form of STEM learning methods and strategies to address the challenges of the 21st century and 4IR technology had been widely investigated. However, the implementation in the term of integrated-STEM field. The implementation of integrated STEM was still fragmented so that the essence of a whole STEM meaning had not been described. Recent studies oriented to the development of learning strategies had not emphasized the makerspace concept, even though a good understanding of makerspace concept was the start point in implementing integrated-STEM essence. Makerspace in STEM is the deliberate positioning of student learning in contexts that require the drawing together of skills and knowledge from the areas of science, technology, engineering, and mathematics to create, construct, and critique a product or artefact. The research presented in this paper describes a type of STEM makerspace that was defined by its purpose: to foster Student’s 21st Century Skills in  4IR technologies and 21st century challenges. This approach is innovative into STEM education. A new model of STEM makerspace that is currently being validated in an extended, funded project framed this research that involved secondary students in Indonesia. A large set of qualitative data was collected, this paper reports on the progress and reflections of the teacher education students, and shares insights into their personal learning and development as teachers. A quasi-experimental study  in Heat transfer STEM makerspace was conducted. Results of samples paired  t-test showed Sig.(2-tailed) 0.000 which indicated that there were differences in results pretest and posttest when STEM makerspace was implemented with the effect size data was in a high category.",,,,,,,,,,,,
1,,,"Studi analisis dampak pembelajaran asynchronous dan synchronous terhadap kemampuan representasi, metakognisi dan miskonsepsi mahasiswa calon guru Biologi",,"[{'name': {'family': 'Dewi Lengkana', 'lineage': None, 'honourific': None, 'given': 'Dewi Lengkana'}, 'id': 'dewilengkana76@gmail.com'}, {'id': 'jalmotri@yahoo.com', 'name': {'lineage': None, 'family': 'Tri Jamo', 'honourific': None, 'given': 'Tri Jalmo'}}]",monograph,,show,archive,38222,2022-01-24 01:15:45,"[{'placement': 1, 'eprintid': 38222, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159231', 'pos': 1, 'security': 'public', 'docid': 159231, 'main': 'laporan Penelitian Professorship dewi.pdf', 'files': [{'filesize': 1006571, 'objectid': 159231, 'uri': 'http://repository.lppm.unila.ac.id/id/file/433772', 'filename': 'laporan Penelitian Professorship dewi.pdf', 'hash_type': 'MD5', 'mtime': '2022-01-22 12:44:01', 'datasetid': 'document', 'fileid': 433772, 'mime_type': 'application/pdf', 'hash': 'a47345cd9450e8bd550664cdf18613a4'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,2022-01-24 01:15:45,992,,['FKIP4'],disk0/00/03/82/22,8,unpub,2022-01-24 01:15:45,public,['LB'],,,http://repository.lppm.unila.ac.id/id/eprint/38222,"Studi Analisis Dampak Pembelajaran Asynchronous dan Synchronous terhadap  Kemampuan Representasi, Metakognisi   dan  Miskonsepsi  
mahasiswa calon guru Biologi.

Abstrak

Konten materi Biologi  bersifat abstrak, kompleks dan dikomunikasikan dalam bentuk multi representasi sehingga untuk memahaminya diperlukan kemampuan representasi. Berdasarkan hasil observasi di kelas proses pembelajaran pada materi konsep bersifat searah atau teacher centered  dan tidak melibatkan serta mengembangkan potensi kemampuan representasi siswa. Selama pandemi covid 19 pembelajanran  dilaksanakan secara online model asynchronous dan synchronous. Dalam pembelajaran online model synchronous materi diberikan secara langsung virtual time, sedangkan dalam model asynchronous materi diinput di learning system. Di Unila pembelajaran online secara asynchronous difasilitasi menggunakan LMS moodle   dalam bentuk  Vclass.  Hasil belajar siswa  pada aspek kognitif umum nya dievaluasi  dengan mengacu pada taxomoni pengetahuan Bloom yang telah direvisi. Berdasarkan taksonomi Bloom yang baru, hasil belajar siswa bisa dievaluasi kemampuan metakognisinya. Penelitian ini bertujuan untuk mengkaji pengaruh pembelajaran online synnchronus dan asynchronous  terhadap kemampuan metakognisi dan tingkat miskonsepsi mahasiswa calon guru Biologi. Penelitian  merupakan penelitian quasy eksperiment akan dilaksanakan menggunakan rancangan Non equivalent Group Pretest-Postest design  sampel diambil secara purposive sampling  dengan populasinya mahasiswa calon guru Biologi Semester 7.  Untuk mencapai tujuan tersebut langkah-langkah penelitian yang akan dilakukan adalah sebagai berikut: (1) melakukan observasi dan melaksanakan  need assesment  ke  mahasiswa calon guru Biologi  FKIP Unila, (2) melakukan identifikasi kemampuan representasi pada mahasiswa (3) menyusun instrument  untuk mengukur kemampuan representasi, kemampuan metakognisi, dan miskonsepsi  (4) memvalidasi semua perangkat penelitian (4) melaksanakan penelitian, (5) menganalisis data kemampuan representasi, data kemampuan metakognisi dan kemampuan miskonsepsi mahasiswa. Luaran yang akan dihasilkan dari penelitian ini adalah laporan penelitian,  seminar hasil penelitian, serta artikel di jurnal nasional atau jurnal internasional.",LPPM Unila,LPPM Unila,project_report,,,,,,,,,
2,,,SK Mengajar Magister Pendidikan IPA Semester Genap 2020/2021,,"[{'name': {'lineage': None, 'family': 'Diawati', 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}]",other,,show,archive,42991,2022-07-06 07:41:10,"[{'eprintid': 42991, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164815', 'pos': 1, 'format': 'text', 'main': 'SK Mengajar Genap 2020-2021_MKIPA (1) (1).pdf', 'files': [{'filesize': 1182751, 'objectid': 164815, 'filename': 'SK Mengajar Genap 2020-2021_MKIPA (1) (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470641', 'hash_type': 'MD5', 'mtime': '2022-07-06 04:02:32', 'datasetid': 'document', 'fileid': 470641, 'hash': 'c80aaa186374e0513c741bd193899220', 'mime_type': 'application/pdf'}], 'docid': 164815, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,2022-07-06 07:41:10,958,,['FKIP4'],disk0/00/04/29/91,7,unpub,2022-07-06 07:41:10,public,['LB2300'],,,http://repository.lppm.unila.ac.id/id/eprint/42991,,FKIP Unila,,,,,,,,,,,
3,,,SK Pembimbing Akademik S2 Pendidikan IPA Semester Genap 2020/2021,,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'given': 'Chansyanah', 'family': 'Diawati', 'lineage': None, 'honourific': None}}]",other,,show,archive,42995,2022-07-06 07:41:17,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/164828', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 42995, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 164828, 'main': 'SK PA Genap 2020-2021_MKIPA (1).pdf', 'files': [{'filename': 'SK PA Genap 2020-2021_MKIPA (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470680', 'filesize': 1256041, 'objectid': 164828, 'mtime': '2022-07-06 04:52:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '065ecb5a60aebcad824482e68d4b8db1', 'fileid': 470680, 'datasetid': 'document'}], 'format': 'text'}]",,2022-07-06 07:41:17,958,,['FKIP4'],disk0/00/04/29/95,8,unpub,2022-07-06 07:41:17,public,['LB2300'],,,http://repository.lppm.unila.ac.id/id/eprint/42995,,FKIP Unila,,,,,,,,,,,
4,,,"Check Similarity: MENINGKATKAN HOTS SISWA KELAS VIIA SMP IT AR
RAIHAN BANDAR LAMPUNG MELALUI PENERAPAN LKS BERBASIS ARGUMENT DRIVEN INQUIRY (ADI)",,"[{'name': {'given': 'Neni', 'honourific': None, 'lineage': None, 'family': 'Hasnunidah'}, 'id': 'nenihasnunidah@gmail.com'}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}}]",other,,show,archive,51252,2023-05-09 03:06:05,"[{'eprintid': 51252, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/191023', 'pos': 1, 'format': 'text', 'main': 'Turnitin_Angga.pdf.pdf', 'files': [{'objectid': 191023, 'filesize': 29665557, 'filename': 'Turnitin_Angga.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550604', 'hash_type': 'MD5', 'mtime': '2023-05-08 21:30:33', 'datasetid': 'document', 'fileid': 550604, 'mime_type': 'application/pdf', 'hash': '939c36b84e79580d95f8cb98faf53a6f'}], 'docid': 191023, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,2023-05-09 03:06:05,986,,['FKIP4'],disk0_bak/00/05/12/52,10,unpub,2023-05-09 03:06:05,public,['L1'],,,http://repository.lppm.unila.ac.id/id/eprint/51252,,"Faculty of Teacher Training and Education, University of Lampung",,,,,,,,,,,
5,TRUE,,"STEM literacy profile of junior high school students in
Lampung Province, Indonesia",paper,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ibrohim', 'given': 'Ibrohim'}, 'id': None}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'lineage': None, 'family': 'Abdurrahman'}}, {'id': 'tri.jalmo@fkip.unila.ac.id', 'name': {'given': 'Tri', 'lineage': None, 'family': 'Jalmo', 'honourific': None}}]",conference_item,Bandar Lampung,show,archive,24744,2020-11-09 09:12:42,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/38495', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24744, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 38495, 'main': '7. Ibrohim-AB-TJ2020.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '84c11538bdeef896703ef01f22eed1f1', 'datasetid': 'document', 'fileid': 224400, 'mtime': '2020-11-09 05:43:20', 'hash_type': 'MD5', 'filename': '7. Ibrohim-AB-TJ2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/224400', 'filesize': 1422266, 'objectid': 38495}], 'format': 'text'}]",,2020-11-09 09:12:42,812,conference,['FKIP4'],disk0/00/02/47/44,5,pub,2020-11-09 09:12:42,public,['L1'],Journal of Physics: Conference Series,published,http://repository.lppm.unila.ac.id/id/eprint/24744,"The 21st-century learning paradigm emphasizes the ability of students to think
critically, be able to connect science with the real world, master information technology,
communicate and collaborate so everyone must have critical thinking skills, knowledge and
digital literacy skills, information literacy, media literacy, and master information technology
and communication. This study aimed to describe the literacy profile of STEM (Science,
Technology, Engineering, and Mathematics) on junior high school students in daily life. The
study was conducted on junior high school students in Lampung Indonesia involving 167
students from 13 public and private schools. The method used in this study was a mixed-method
with Sequential Explanatory Strategy. The research instrument used a questionnaire and
interview guidelines. The results showed that junior high school students had used or
implemented STEM (Science, Technology, Engineering, and Mathematics) in their daily lives
even though sometimes they were not aware of it. The lack of practice in learning to use or apply
the four STEM domains causes students to find it difficult to use or apply STEM in daily life.
Therefore, the STEM approach needs to be maximized in learning especially science so that
students can connect the knowledge obtained with reality in daily life.",,,,,,,,,,,,
6,FALSE,,IMPLEMENTATION OF PROBLEM-BASED LEARNING MODEL TO INCREASE SELFCONFIDENCE AND UNDERGRADUATE STUDENTS UNDERSTANDING OF THE ELECTROCHEMISTRY CONCEPT IN CHEMICAL EDUCATION,,"[{'name': {'given': 'RBR', 'lineage': None, 'family': 'Ratu Betta Rudibyani', 'honourific': None}}]",other,,show,archive,29531,2021-04-20 08:35:11,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43677', 'pos': 1, 'eprintid': 29531, 'placement': 1, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '6. Implementation Of Problem-Based Learning Model To Increase Self-Confidence And Undergraduate Students Understanding Of The Electrochemistry Concept In Chemical Education.pdf', 'files': [{'hash': 'bbe8e1b053f7383d94ff25c9cd220cf7', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 261509, 'filename': '6. Implementation Of Problem-Based Learning Model To Increase Self-Confidence And Undergraduate Students Understanding Of The Electrochemistry Concept In Chemical Education.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/261509', 'filesize': 244120, 'objectid': 43677, 'mtime': '2021-03-31 03:07:15', 'hash_type': 'MD5'}], 'docid': 43677}, {'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 43678, 'main': 'Scan-4.pdf', 'files': [{'hash': '6e6e3fa15288a94e1cc689addabb59aa', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 261511, 'filename': 'Scan-4.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/261511', 'filesize': 1142258, 'objectid': 43678, 'mtime': '2021-04-20 07:48:12', 'hash_type': 'MD5'}], 'security': 'public', 'formatdesc': 'Reviewer', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43678', 'pos': 2, 'eprintid': 29531, 'placement': 2}, {'eprintid': 29531, 'placement': 3, 'security': 'public', 'formatdesc': 'Similarity', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43679', 'pos': 3, 'format': 'text', 'docid': 43679, 'main': 'Implementation_Of_Problem_Based_Learning_Model_To_.pdf', 'files': [{'mtime': '2021-04-20 07:49:31', 'hash_type': 'MD5', 'filename': 'Implementation_Of_Problem_Based_Learning_Model_To_.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/261513', 'objectid': 43679, 'filesize': 3394524, 'hash': 'ed43ed25799ea6ed8b24825dee108ece', 'mime_type': 'application/pdf', 'fileid': 261513, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2}]",https://journals.indexcopernicus.com/api/file/viewByFileId/1021573.pdf,2021-04-20 08:35:11,705,,['FKIP4'],disk0/00/02/95/31,7,pub,2021-04-20 08:35:11,public,"['L1', 'LB1501', 'LC5201']",,published,http://repository.lppm.unila.ac.id/id/eprint/29531,"Chemistry is one of the scientific disciplines considered difficult for students to understand its microscopic
and macroscopic concepts. Students also claim that this discipline is tedious and complicated. They are unable
to connect what is shown in the visual structure to the process and phenomenon. In the context of self-motivation
among university students, there is a higher chance of expanding the stimulation of learning. This study aimed to
improve self-confidence and the mastery of concepts of chemistry teaching students using problem-based
learning. The quasi-experimental method was used with the design of the non-equivalent pre-test-post-test control
group. The population included all students in the electrochemistry class at Lampung University in 2019. The
purposeful sampling technique employed divided the sample into two groups. The first group was called Class A
and was considered as the experimental class - using problem-based learning -. The second group, Class B, was
recognized as the control class - using the conventional model in which the teacher applied the speech method
in the delivery of materials during the class -. Class A's self-confidence and mastery of concepts have a higher nGain value than class B, and the result of the effect size is that class B has a more significant effect than class A.
Based on the outcome, one can conclude that problem-based learning has a significant influence on improving
self-confidence and mastery of concepts on the electrochemical theme.",Periódico Tchê Química,,,35.0,216-226,17.0,28753.0,2179 - 0302,Peri�dico Tch� Qu�mica,,,
7,,,Visualizing Three-Dimensional Hybrid Atomic Orbitals Using Winplot: An Application for Student Self Instruction,,"[{'id': 'andriansaputra@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Saputra', 'given': 'Andrian'}}, {'id': None, 'name': {'given': 'Lorenz R.', 'family': 'Canaval', 'lineage': None, 'honourific': None}}, {'id': 'sunyono.1965@fkip.unila.ac.id', 'name': {'given': 'Sunyono', 'honourific': None, 'family': 'Sunyono', 'lineage': None}}, {'name': {'given': 'Noor', 'family': 'Fadiawati', 'lineage': None, 'honourific': None}, 'id': 'noor.fadiawati@fkip.unila.ac.id'}, {'name': {'family': 'Diawati', 'lineage': None, 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Setyarini', 'given': 'M.'}, 'id': 'marina_setyorini@yahoo.com'}, {'name': {'family': 'Kadaritna', 'lineage': None, 'honourific': None, 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}, {'name': {'lineage': None, 'family': 'Kadaryanto', 'honourific': None, 'given': 'Budi'}, 'id': 'kadaryanto@gmail.com'}]",other,,show,archive,28990,2021-04-08 01:10:58,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Visualizing Three Dimensional Hybrid Atomic Orbitals Using Winplot An Application for Student Self Instruction.pdf', 'docid': 43092, 'files': [{'objectid': 43092, 'filesize': 1849718, 'filename': 'Visualizing Three Dimensional Hybrid Atomic Orbitals Using Winplot An Application for Student Self Instruction.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/257198', 'hash_type': 'MD5', 'mtime': '2021-04-07 08:22:28', 'fileid': 257198, 'datasetid': 'document', 'hash': 'dda31cb4981f2c797a53e3bf11bd71e0', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43092', 'pos': 1, 'eprintid': 28990, 'placement': 1}]",,2021-04-08 01:10:58,1028,,['FKIP4'],disk0/00/02/89/90,9,unpub,2021-04-08 01:10:58,public,"['L1', 'LB2300']",,completed,http://repository.lppm.unila.ac.id/id/eprint/28990,,FKIP Univeresitas Lampung,,,,,,,,,"['Prodi S1 PendidikanKimia', 'Prodi S1 Pendidikan Kimia', 'Prodi S2 Keguruan IPA']","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",
8,TRUE,,"The prospective science teaching material based on
Integrated-STEM approach: Analysis of teachers and
students expectations",,"[{'id': 'mutiaraindarsari23@gmail.com', 'name': {'given': 'Mutiara Indah', 'lineage': None, 'family': 'Sari', 'honourific': None}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'family': 'Abdurrahman', 'lineage': None, 'honourific': None, 'given': 'Abdurrahman'}}, {'name': {'lineage': None, 'family': 'Jalmo', 'honourific': None, 'given': 'Tri'}, 'id': 'tri.jalmo@fkip.unila.ac.id'}]",article,,show,archive,24867,2020-11-11 05:16:24,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38612', 'security': 'public', 'placement': 1, 'eprintid': 24867, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 38612, 'main': '6. Sari-AB-TJ 2020.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-10 14:14:49', 'objectid': 38612, 'filesize': 1286416, 'filename': '6. Sari-AB-TJ 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/225328', 'datasetid': 'document', 'fileid': 225328, 'mime_type': 'application/pdf', 'hash': 'a9aaf5893876c3b83db03897b51f8486'}], 'format': 'text'}]",,2020-11-11 05:16:24,812,,['FKIP4'],disk0/00/02/48/67,6,pub,2020-11-11 05:16:24,public,['L1'],,published,http://repository.lppm.unila.ac.id/id/eprint/24867,"The implementation of learning in Indonesia is expected to prepare graduates to be
able to face the 21st century. One factor that determines competent graduates is teaching material.
Teaching material is an important factor in supporting the learning process. However, in learning
there are still many print science teaching materials used, science teaching materials downloaded
from internet sites and there are no science teaching materials based on integrated STEM
approach. This study aimed to describe and analyze the expectations of teachers and students
for science teaching materials based on Science, Technology, Engineering, and Mathematics
(STEM). The study was conducted in Junior High School in Lampung Province in 8th grade
involving 120 students and 50 Science teachers. The method used in this study was mixed
method with Sequential Explanatory Strategy. The research instrument used observation,
questionnaires and interviews. The results showed that to support STEM-based learning, future
science teaching materials were needed included interactive books, e-worksheets, video
animation, stimulation and virtual lab. Materials needed in the development of science teaching
materials include the pressure of substances and their application in daily life. In the 2013
curriculum the teacher had not prepared science teaching materials based on integrated STEM
approach. So in the future it is necessary to develop science teaching materials based on
integrated STEM approach to support the learning process that is designed to the maximum and
integrated with technology.",IOP Publishing,,,,,,,,Journal of Physics: Conference Series,,,
9,TRUE,,"STEM literacy load analysis on the planning and
implementation of science learning on the topic of simple
machine",,"[{'id': '*emasurani12@gmail.com', 'name': {'lineage': None, 'family': 'Surani', 'honourific': None, 'given': 'E'}}, {'name': {'honourific': None, 'family': 'Jalmo', 'lineage': None, 'given': 'Tri'}, 'id': 'tri.jalmo@fkip.unila.ac.id'}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'family': 'Abdurrahman', 'lineage': None, 'honourific': None}}]",article,,show,archive,24866,2020-11-11 05:16:17,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38611', 'eprintid': 24866, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '5. Surani-TJ-AB 2020.pdf', 'files': [{'filename': '5. Surani-TJ-AB 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/225322', 'objectid': 38611, 'filesize': 1087736, 'mtime': '2020-11-10 14:07:19', 'hash_type': 'MD5', 'hash': '3baf91c1b827b184444c6c65c79d4fb2', 'mime_type': 'application/pdf', 'fileid': 225322, 'datasetid': 'document'}], 'docid': 38611}]",https://www.researchgate.net/publication/342948086_STEM_literacy_load_analysis_on_the_planning_and_implementation_of_science_learning_on_the_topic_of_simple_machine,2020-11-11 05:16:17,812,,['FKIP4'],disk0/00/02/48/66,6,pub,2020-11-11 05:16:17,public,['L1'],,published,http://repository.lppm.unila.ac.id/id/eprint/24866,"The purpose of this study was to determine STEM literacy in the planning and
implementation of science learning on the topic of simple machine. This research method is a
descriptive qualitative method. Data were obtained using observations, document analysis, and
interviews, which involved 200 junior high school science teachers in six districts of Lampung
province, data analyzed with percentage. The results of STEM literacy analysis on the planning
of natural science learning on the topic of simple machine have a high category of planning
average (61%) and the average category of implementation is also of a high category (65%).
Data analysis shows that learning science in simple machine material had integrated STEM but
focused more on science and rarely used technology in student learning. Also, teachers realize
that applying the STEM approach makes student learning more relevant, stimulates the
emergence of meaningful experiences, encourages students to think higher and solve problems
and increase retention. So that by the demands of the revolutionary education era 4.0.",IOP Publishing,,,,,,,,Journal of Physics: Conference Series,,,
