,event_type,divisions,dir,ispublished,rev_number,status_changed,full_text_status,subjects,event_title,date_type,date,uri,abstract,refereed,event_dates,title,pres_type,creators,type,event_location,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,official_url,userid,pagerange,number,contributors,publisher,publication,related_url,issn,volume,id_number,corp_creators,contact_email,referencetext,keywords,funders
0,conference,['FKIP22'],disk0/00/03/11/85,pub,7,2021-05-29 00:35:12,public,['L1'],International Conference on Progressive Education (ICOPE 2020) dengan tema “Exploring the New Era of Education”,published,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/31185,"E-learning is a learning and knowledge tools which are carried out using computers or other electronic devices. This article is a study of several studies that discuss the use of e-learning interactive media as learning media in improving the quality of mathematics learning. This study uses a Meta-Analysis research design. In this
research the database searching for international journals using semantic scholars and in searching for national journals using the search database google scholar. The studies to be included in the meta-analysis are determined based on 6 criteria and took 12 journal
articles divided by 8 international journals and 4 national journals for sample in this study. Research results state that the use of e-learning media has a good impact on student learning. The benefits of using e-learning media as a learning tool where learning
will become more interesting and can help students absorb the subject matter in more depth so that the quality of mathematics learning can be improved by using e-learning
media.",TRUE,16-17 October 2020,"A Meta-Analysis: Utilization of E-Learning Interactive
Media In Improving The Quality of Mathematical 
Learning",paper,"[{'name': {'lineage': None, 'family': 'Al Farisyi', 'honourific': None, 'given': 'Salman'}, 'id': None}, {'id': 'hastuti_noer@yahoo.com', 'name': {'honourific': None, 'family': 'Noer', 'lineage': None, 'given': 'Sri Hastuti'}}]",conference_item,University of Lampung,show,archive,31185,2021-05-29 00:35:12,"[{'format': 'text', 'docid': 140929, 'main': 'eai.16-10-2020.2305190 (1).pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '5cec571c6d4f79515a6e9a4e408b5e71', 'datasetid': 'document', 'fileid': 369759, 'mtime': '2021-05-28 12:30:55', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/369759', 'filename': 'eai.16-10-2020.2305190 (1).pdf', 'objectid': 140929, 'filesize': 146926}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 31185, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/140929', 'pos': 1}]",2021-05-29 00:35:12,https://eudl.eu/proceedings/ICOPE/2020,548,,,,,,,,,,,,,,
1,,['FKIP22'],disk0/00/02/86/33,pub,6,2021-03-29 08:01:45,public,['LB1603'],,published,2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28633,"This study was aimed to describe the mathematical communication skill of eighthgrade students of SMP IT Insan Mulia of Batanghari based on gender in solving
questions about circle material. The subjects of this study consisted of 21 male and 21 female students. The research method used is descriptive qualitative. The data
collection instrument used in this study is the mathematical communication skill test. The mathematical communication skill test instrument consists of three questions in the form of an essay. The results showed that in general, the mathematical communication skills of male and female students are in a low category. The low ability of students' mathematical communication is due to a weak understanding of concepts, not understanding the usefulness of mathematical symbols, and students' unfamiliarity in working on problems. Male and female students have different mathematical communication skills. Female students have better communication skills than male students in conveying ideas to provide an explanation on each indicator of the mathematical communication skills test.",TRUE,,MATHEMATICAL COMMUNICATION SKILLS BASED ON GENDER,,"[{'id': 'dimas.alfarisyi38@gmail.com', 'name': {'given': 'Dimas', 'family': 'Alfarisyi', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sutiarso', 'given': 'Sugeng'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}]",article,,show,archive,28633,2021-03-29 08:01:45,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42692', 'pos': 1, 'eprintid': 28633, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '9df37b9539c0090ff4d33797392a449e', 'fileid': 254071, 'datasetid': 'document', 'mtime': '2021-03-28 14:25:31', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/254071', 'filename': 'JURNAL_7 Sugeng Sutiarso.pdf', 'filesize': 909736, 'objectid': 42692}], 'main': 'JURNAL_7 Sugeng Sutiarso.pdf', 'docid': 42692}]",2021-03-29 08:01:45,http://journal.uin-alauddin.ac.id/index.php/Mapan/article/view/13348/pdf,864,300-314,2.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Dimas', 'honourific': None, 'lineage': None, 'family': 'Alfarisyi'}, 'id': 'dimas.alfarisyi38@gmail.com'}, {'type': 'http://www.loc.gov/loc.terms/relators/THS', 'name': {'lineage': None, 'family': 'sutiarso', 'honourific': None, 'given': 'sugeng'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}]",UIN Alauddin Makasar,MaPan : Jurnal Matematika dan Pembelajaran,[{'url': 'http://journal.uin-alauddin.ac.id/index.php/Mapan/article/view/13348/pdf'}],2581-172X,8.0,,,,,,
2,,['FKIP22'],disk0/00/02/51/67,pub,6,2020-11-16 01:25:40,public,['LB1603'],,published,2020-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/25167,"This study aims to produce a development product in the form of a contextual learning development design and
learning tools (syllabus, lesson plans, student worksheet, and mathematical representation ability tests) that are valid and practical to improve students' mathematical representation skills. This research is a Research and Development (R&D). The R&D stage starts from research and information-collecting, planning, developing
preliminary of product. This research was conducted at SMP Al-Huda Jatiagung South Lampung in the odd
semester of the 2020/2021 school year. The subjects in this study consisted of 2 experts (design, material, and
media) validation tests, 2 teachers and 5 practitioner test students (responses), and 14 students who tested the
mathematical representation ability test analysis. The research data were obtained from interviews, expert
validation questionnaires, teacher and student practitioner questionnaires, and students' mathematical
representation ability tests. The development of contextual learning and learning tools is valid according to experts, and practical according to teachers and students. The results of expert validation tests on product development get a mean score 85.30% with valid criteria, and the results of the teacher practitioner test of the learning device got a mean score of 82.25% with practical criteria, and the results of the mean score of student assessments on LKPD were 79.80% with practical criteria.",TRUE,,"PENGEMBANGAN STRATEGI PEMBELAJARAN KONTEKSTUAL
UNTUK MENINGKATKAN KEMAMPUAN REPRESENTASI  
MATEMATIS SISWA",,"[{'name': {'lineage': None, 'family': 'Ambarwati', 'honourific': None, 'given': 'Esty Pramitasari'}, 'id': 'estypramitasari.ambarwati@gmail.com'}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'family': 'Sutiarso', 'lineage': None, 'honourific': None, 'given': 'Sugeng'}}, {'id': 'hastuti_noer@yahoo.com', 'name': {'given': 'Sri Hastuti', 'family': 'Noer', 'lineage': None, 'honourific': None}}]",article,,show,archive,25167,2020-11-16 01:25:40,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38947', 'security': 'public', 'placement': 1, 'eprintid': 25167, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '2020_S3_Cendekia_Anngota21_NOP.pdf', 'docid': 38947, 'files': [{'objectid': 38947, 'filesize': 911469, 'filename': '2020_S3_Cendekia_Anngota21_NOP.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/227645', 'hash_type': 'MD5', 'mtime': '2020-11-13 14:23:35', 'fileid': 227645, 'datasetid': 'document', 'hash': '35a268bd7f1c8c5cb35cbc1031b59e1d', 'mime_type': 'application/pdf'}], 'format': 'text'}]",2020-11-16 01:25:40,https://j-cup.org/index.php/cendekia/article/view/343,864,1011-1022,2.0,"[{'name': {'given': 'Esty Pramitasari', 'honourific': None, 'family': 'Ambarwati', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'estypramitasari.ambarwati@gmail.com'}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'family': 'sutiarso', 'lineage': None, 'honourific': None, 'given': 'sugeng'}, 'type': 'http://www.loc.gov/loc.terms/relators/THS'}, {'id': 'hastuti_noer@yahoo.com', 'name': {'family': 'noer', 'lineage': None, 'honourific': None, 'given': 'sri hastuti'}, 'type': None}]",Universitas Pahlawan Tuanku Tambusai,Jurnal Cendekia: Jurnal Pendidikan Matematika,"[{'url': 'https://j-cup.org/index.php/cendekia/article/view/343', 'type': 'pub'}]",2579-9258,4.0,,,,,,
3,conference,['FKIP22'],disk0/00/02/13/80,pub,7,2020-06-02 01:02:29,public,['L1'],SEMINAR NASIONAL PENDIDIKAN FKIP UNILA 2020,published,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/21380,Penelitian eksperimen semu ini bertujuan untuk mengetahui efektivitas pembelajaran Alqurun Teaching Model ditinjau dari kemampuan representasi matematis siswa. Populasi dalam penelitian ini adalah seluruh siswa kelas VIII SMP Negeri 12 Bandarlampung semester ganjil tahun pelajaran 2019/2020 yang terdistribusi dalam 9 kelas yaitu dari kelas VIII A hingga VIII I. Sampel penelitian ini adalah siswa kelas VIII B dan VIII C yang dipilih dengan menggunakan teknik cluster random sampling. Desain penelitian ini adalah posttest only control group design. Data penelitian diperoleh melalui tes kemampuan representasi matematis siswa berbentuk uraian. Berdasarkan analisis data menggunakan uji-t dan uji proporsi dengan,TRUE,16 JANUARI 2020,EFEKTIVITAS MODEL PEMBELAJARAN ALQURUN TERHADAP KEMAMPUAN REPRESENTASI  MATEMATIS SISWA,paper,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Aulia', 'given': 'Nur Sella'}, 'id': None}, {'name': {'given': 'Sugeng', 'family': 'Sutiarso', 'lineage': None, 'honourific': None}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'id': 'widyaa58@gmail.com', 'name': {'given': 'Widyastuti', 'honourific': None, 'lineage': None, 'family': 'Widyastuti'}}]",conference_item,LAMPUNG,show,archive,21380,2020-06-02 01:02:29,"[{'format': 'text', 'docid': 34779, 'main': 'PROSIDING SEMNAS FKIP 2020_Nursella_Widyastuti-compressed.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-01 14:02:33', 'filesize': 319857, 'objectid': 34779, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198716', 'filename': 'PROSIDING SEMNAS FKIP 2020_Nursella_Widyastuti-compressed.pdf', 'datasetid': 'document', 'fileid': 198716, 'hash': '35413b206ca46e1b36db8eb94f1621d8', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 21380, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34779'}]",2020-06-02 01:02:29,http://semnaspend.fkip.unila.ac.id/2019/08/14/prosiding/,1140,123-131,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,,
4,,['FKIP22'],disk0/00/02/15/32,pub,6,2020-06-02 14:12:26,public,['L1'],,published,2020-06-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21532,"Pengaruh Model Pembelajaran Berbasis Masalah Ditinjau Dari Kemampuan Representasi Matematis Siswa. Penelitian eksperimen semu ini bertujuan untuk mengetahui pengaruh model pembelajaran berbasis masalah terhadap kemampuan representasi matematis siswa. Populasi penelitian ini adalah seluruh siswa kelas VIII SMP Negeri 9 Bandarlampung tahun pelajaran 2019/2020 sebanyak 244 siswa yang terdistribusi ke dalam 8 kelas. Melalui
teknik cluster random sampling 2 kelas diambil sebagai sampel yaitu kelas VIII H sebanyak 30 siswa dan VIII G sebanyak 30 siswa. Penelitian ini menggunakan the randomized posttest only control design. Analisis data penelitian ini menggunakan uji",TRUE,,"Pengaruh Model Pembelajaran Berbasis Masalah Ditinjau Dari
Kemampuan Representasi Matematis Siswa",,"[{'id': 'kenncell155@gmail.com', 'name': {'honourific': None, 'family': 'Daryono', 'lineage': None, 'given': 'Daryono'}}, {'name': {'lineage': None, 'family': 'Noer', 'honourific': None, 'given': 'Sri Hastuti'}, 'id': 'hastuti_noer@yahoo.com'}, {'name': {'given': 'Pentatito', 'lineage': None, 'family': 'Gunowibowo', 'honourific': None}, 'id': 'pentatito.gunowibowo@fkip.unila.ac.id'}]",article,,show,archive,21532,2020-06-02 14:12:26,"[{'format': 'text', 'main': 'DARYONO.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/199727', 'filename': 'DARYONO.pdf', 'objectid': 34929, 'filesize': 306359, 'mtime': '2020-06-02 14:01:18', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '09dc94d70ffbd0ed8f90465805aba950', 'fileid': 199727, 'datasetid': 'document'}], 'docid': 34929, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 21532, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34929', 'pos': 1}]",2020-06-02 14:12:26,,403,,,,FKIP Unila,Jurnal Pendidikan Matematika,,2715 – 856X,,,,,,,
5,,['FKIP22'],disk0/00/02/20/43,pub,6,2020-06-08 01:24:12,public,['L1'],,published,2020-03-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22043,"This study aims to analyze the students’ mathematical critical thinking skills in the circle material. The method used in this study is descriptive. The technique of collecting data through a test of critical thinking skills consisting of 2 items of the essay. The research subjects were the VIII grade students’ of SMP Negeri 3 Bandar Lampung, totaling 106 students consisting of 53 male students and 53 female students. The results showed that the percentage of male students' critical thinking skills indicators achievement was better than the female students. The results show that there is a need for innovation that can make learning effective in facilitating the critical thinking skills of male and female students.
 
Keyword: mathematical critical thinking skills",TRUE,,The Analysis of Students’ Mathematical Critical Thinking Skills in Terms of Gender,,"[{'name': {'family': 'Fauziah', 'lineage': None, 'honourific': None, 'given': 'Siti'}, 'id': 'fauziahsiti972@gmail.com'}, {'name': {'given': 'Caswita', 'honourific': None, 'family': 'Caswita', 'lineage': None}, 'id': None}]",article,,show,archive,22043,2020-06-08 01:24:12,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Proceeding2019_Siti Fauziah.pdf', 'docid': 35446, 'files': [{'fileid': 203238, 'datasetid': 'document', 'hash': '9db0f17f2aff88fdff4a0e7fe5ee5da3', 'mime_type': 'application/pdf', 'filesize': 566508, 'objectid': 35446, 'filename': 'Proceeding2019_Siti Fauziah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/203238', 'hash_type': 'MD5', 'mtime': '2020-06-06 09:52:07'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35446', 'security': 'public', 'placement': 1, 'eprintid': 22043}]",2020-06-08 01:24:12,https://www.atlantis-press.com/proceedings/icope-19/125937564,55,127-131,,,Atlantis Press,"Advances in Social Science, Education and Humanities Research (ASSEHR)",,2352-5398,422.0,,,,,,
6,,['FKIP22'],disk0/00/02/57/85,pub,6,2020-11-17 06:37:34,public,['L1'],,published,2020-06-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/25785,"This study aims to describe the improvement of student’s conceptual understanding in
Language and Automata theory through MURDER strategy. The population of this study
were students of STMIK Tunas Bangsa in academic year 2019/2020 who studied the
course of Language and Automata theory. Sample randomly choosed from students who
have low mathematical abilities. Data were collected through conceptual understanding
test instrument in essay form. Based on data analyzed using Wilcoxon test at 5%
significant level, it was concluded that MURDER strategy improved student’s conceptual
understanding in low category.",TRUE,,Peningkatan Pemahaman Konsep Mahasiswa pada Teori Bahasa dan Automata Melalui Strategi MURDER,,"[{'name': {'given': 'Muhammad', 'lineage': None, 'family': 'Ferdiansyah', 'honourific': None}, 'id': 'vei_aja@yahoo.com'}, {'id': 'widyaa58@gmail.com', 'name': {'family': 'Widyastuti', 'lineage': None, 'honourific': None, 'given': 'Widyastuti'}}]",article,,show,archive,25785,2020-11-17 06:37:34,"[{'format': 'text', 'main': '20985-49201-1-PB (1).pdf', 'files': [{'fileid': 232007, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3c2fdc541dbde963f1edf233c5032681', 'objectid': 39573, 'filesize': 243660, 'uri': 'http://repository.lppm.unila.ac.id/id/file/232007', 'filename': '20985-49201-1-PB (1).pdf', 'hash_type': 'MD5', 'mtime': '2020-11-17 06:12:58'}], 'docid': 39573, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 25785, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39573', 'pos': 1}]",2020-11-17 06:37:34,http://jurnal.fkip.unila.ac.id/index.php/MTK/index,1140,100-109,2.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",FKIP Universitas Lampung,Jurnal Pendidikan Matematika Unila,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/20985/pdf'}],2338-1183,8.0,http://dx.doi.org/10.23960/mtk/v8i2.pp100-109,,,,,
7,conference,['FKIP22'],disk0/00/01/98/63,pub,10,2020-05-18 02:36:27,public,['LB1603'],International Conference on Progressive Education (ICOPE 2019) dengan tema “Education in the Era of Industrial Revolution 4.0”,published,2020-03-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/19863,"This study aims to analyze and describe the mathematical communication skills of junior high school students reviewed from gender and school origin. This reaserch is a qualitative descriptive study, with the subject of the study being the eighth grade students of Pasir Sakti State 2 Junior High School, which subject of study eight students, namely 4 students from State elementary schools (2 males and 2 females) and 4 students from Private elementary  schools (2 males and 2 females). The data collection technique was mathematical communication skills tests used the data presentation material consisting two questions. The research data was collected by researchers directly. Technique of data analysis in this study are Data Reduction, Data Display, and Conclusions Drawing/Verification. The results showed: The mathematical communication skills of junior high school students overall are (1) The ability of female students were higher than male students with a difference of 11.11%. (2) The ability of students from public elementary schools were higher than students from private elementary schools with a difference of 2.78%. (3) The ability of students in Drawing aspect were higher than Written Text aspect, and Mathematical Expression aspect.",TRUE,26-27 Oktober 2019,Analysis of Mathematical Communication Skills of  Junior High School Students Reviewed from Gender  and School Origin,paper,"[{'id': 'pujihayati99@gmail.com', 'name': {'given': 'Puji', 'family': 'Hayati', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Sugeng', 'honourific': None, 'lineage': None, 'family': 'Sutiarso'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'name': {'given': 'Syarifuddin', 'honourific': None, 'family': 'Dahlan', 'lineage': None}, 'id': 'syarif.dahlan@yahoo.co.id'}]",conference_item,Hotel bukit Randu Lampung,show,archive,19863,2020-05-18 02:36:27,"[{'eprintid': 19863, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33166', 'format': 'text', 'docid': 33166, 'main': 'conference puji sugeng.pdf', 'files': [{'hash': 'fe07e129a12e68b034104d6d58c7288b', 'mime_type': 'application/pdf', 'fileid': 188012, 'datasetid': 'document', 'mtime': '2020-05-17 07:47:20', 'hash_type': 'MD5', 'filename': 'conference puji sugeng.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/188012', 'filesize': 351067, 'objectid': 33166}], 'content': 'published', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-05-18 02:36:27,https://www.atlantis-press.com/proceedings/icope-19/125937552,864,147-151,,"[{'id': 'pujihayati99@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Puji', 'honourific': None, 'lineage': None, 'family': 'Hayati'}}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'family': 'Sutiarso', 'lineage': None, 'honourific': None, 'given': 'Sugeng'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Syarifuddin', 'honourific': None, 'lineage': None, 'family': 'Dahlan'}, 'id': 'syarif.dahlan@yahoo.co.id'}]",,,,,,,['Universitas Lampung'],,,,
8,conference,['FKIP22'],disk0/00/02/13/81,pub,7,2020-06-02 01:02:34,public,['L1'],SEMINAR NASIONAL PENDIDIKAN FKIP UNILA 2020,published,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/21381,"Penelitian ini bertujuan untuk mengetahui efektivitas pembelajaran alqurun teaching model ditinjau dari kemampuan representasi matematis siswa. Populasi penelitian ini adalah seluruh siswa kelas VIII SMP Negeri 2 Terusan Nunyai, Kabupaten Lampung Tengah semester ganjil tahun pelajaran 2019/2020 yang terdistribusi dalam 4 kelas. Sampel pada penelitian ini adalah siswa kelas VIIIA dan VIIIB yang dipilih dengan menggunakan teknik cluster random sampling. Desain penelitian ini ialah the randomized posttest-only control group design.  Data penelitian diperoleh melalui tes kemampuan representasi matematis siswa. Dengan menggunakan uji-t dengan α = 0,05 dan uji proporsi. Hasil uji hipotesis menunjukkan peningkatan kemampuan representasi matematis siswa pada kelas alqurun teaching model lebih tinggi daripada siswa pada kelas konvensional, tetapi proporsi siswa dengan kemampuan representasi matematis dengan nilai minimum 72 tidak lebih dari 60% jumlah siswa yang mengikuti alqurun teaching model. Berdasarkan hasil analisis tersebut diperoleh kesimpulan bahwa alqurun teaching model tidak efektif ditinjau dari kemampuan representasi matematis siswa.",TRUE,16 JANUARI 2020,KEMAMPUAN REPRESENTASI MATEMATIS SISWA  DENGAN MENGGUNAKAN MODEL PEMBELAJARAN ALQURUN,paper,"[{'id': None, 'name': {'given': 'Ria', 'honourific': None, 'family': 'Hidayani', 'lineage': None}}, {'name': {'given': 'Widyastuti', 'family': 'Widyastuti', 'lineage': None, 'honourific': None}, 'id': 'widyaa58@gmail.com'}, {'name': {'lineage': None, 'family': 'Sutiarso', 'honourific': None, 'given': 'Sugeng'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}]",conference_item,LAMPUNG,show,archive,21381,2020-06-02 01:02:34,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34780', 'security': 'public', 'placement': 1, 'eprintid': 21381, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash': 'c1157122777a65c45832c80f238b3386', 'mime_type': 'application/pdf', 'fileid': 198723, 'datasetid': 'document', 'mtime': '2020-06-01 14:07:16', 'hash_type': 'MD5', 'filename': 'PROSIDING SEMNAS FKIP 2020_Ria_Widyastuti-compressed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198723', 'objectid': 34780, 'filesize': 322151}], 'main': 'PROSIDING SEMNAS FKIP 2020_Ria_Widyastuti-compressed.pdf', 'docid': 34780, 'format': 'text'}]",2020-06-02 01:02:34,http://semnaspend.fkip.unila.ac.id/2019/08/14/prosiding/,1140,149-158,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,,
9,,['FKIP22'],disk0/00/03/18/53,pub,7,2021-06-03 06:40:07,public,['LB1501'],,published,2020-11-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31853,"This study generally uses the R & D procedure from Borg and Gall (1983: 775) which uses 7 out of 10 stages. Inparticular, the learning design uses the learning design development model according to Branch (2009: 17) withanalysis, design, development, implementation, and evaluation (ADDIE) stages which aim to find out how the
results of PBM model development are, and their effectiveness on the ability to think reflective mathematicallyand student self-efficacy. The subjects of this study were students of class VIII SMPN 20 Bandar Lampung forthe 2019/2020 academic year. The research data were obtained through a mathematical reflective thinking testand a self-efficacy scale. The data analysis technique used the t test and N-gain. The results of this studynamely (1) a preliminary study showed the need to develop problem-based learning that focused on the needsand difficulties in high-order thinking of students facilitated by LKPD. (2) learning development has a validcategory, learning tools that also have a valid category, namely syllabus, lesson plans, and student worksheetwith an average percentage of 80.11%, (3) the practicality and attractiveness of the development has a practical
category with an average percentage 84.8% and interesting category 83.43%, and (4) The results of theeffectiveness test showed that the PBM developed with TPS was effective in improving students' mathematicalreflective thinking skills with an average N-gain of 0.502. PBM developed with the TPS stage shows that it ismore effective than mathematical reflective thinking skills and student self-efficacy with learning that does nouse the developed PBM.",FALSE,,"PENGEMBANGAN PBM DENGAN TAHAPAN TPS UNTUK
MENINGKATKAN KEMAMPUAN BERPIKIR REFLEKTIF
MATEMATIS DAN SELF- EFFICACY SISWA",,"[{'id': None, 'name': {'given': 'Indri Cahya', 'lineage': None, 'family': 'Kusuma', 'honourific': None}}, {'id': 'hastuti_noer@yahoo.com', 'name': {'family': 'Noer', 'lineage': None, 'honourific': None, 'given': 'Sri Hastuti'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Caswita', 'given': 'Caswita'}, 'id': None}]",article,,show,archive,31853,2021-06-03 06:40:07,"[{'placement': 1, 'eprintid': 31853, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144252', 'pos': 1, 'security': 'public', 'docid': 144252, 'main': '321-indri CK.pdf', 'files': [{'hash': '6aef58905ff6987ee5ffc21a044b4efb', 'mime_type': 'application/pdf', 'fileid': 377128, 'datasetid': 'document', 'filename': '321-indri CK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/377128', 'objectid': 144252, 'filesize': 661693, 'mtime': '2021-06-03 05:54:05', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-06-03 06:40:07,https://doi.org/10.31004/cendekia.v4i2,548,870-885,2.0,,Universitas Pahlawan Tuanku Tambusai,Jurnal Cendekia: Jurnal Pendidikan Matematika,,2579-9258,4.0,,"['Program Pasca Sarjana Pendidikan Matematika, Universitas Lampung', 'Program Pasca Sarjana Pendidikan Matematika, Universitas Lampung', 'Program Pasca Sarjana Pendidikan Matematika, Universitas Lampung']",,,,
