,creators,type,title,place_of_pub,datestamp,eprintid,eprint_status,metadata_visibility,userid,official_url,lastmod,documents,related_url,divisions,publisher,dir,full_text_status,status_changed,ispublished,rev_number,date_type,subjects,abstract,date,uri,issn,publication,volume,refereed,number,pagerange,id_number,event_location,pres_type,event_dates,corp_creators,event_title,event_type,contributors,contact_email
0,"[{'id': 'neli.aida@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'AIDA', 'lineage': None, 'given': 'NELI'}}, {'id': 'endri.hermawan1015@gmail.com', 'name': {'given': 'endri', 'honourific': None, 'lineage': None, 'family': 'hermawan'}}, {'name': {'honourific': None, 'family': 'Ciptawaty', 'lineage': None, 'given': 'Ukhti'}, 'id': 'ukhti.ciptawaty@feb.unila.ac.id'}]",other,"The Effect of GRDP, Foreign Invesment and 
Population Density on Environmental Quality in Java 
Island (2010-2019)","Proceedings of the 4th International Conference of Economics, Business, and Entrepreneurship, ICEBE 2021",2022-08-08 01:50:23,43944,archive,show,2787,https://eudl.eu/doi/10.4108/eai.7-10-2021.2316225,2022-08-08 01:50:23,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165936', 'pos': 1, 'eprintid': 43944, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'The Effect of GRDP, Foreign Invesment and Population Density on Environmental Quality in Java Island (2010-2019).pdf', 'files': [{'fileid': 478281, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '319c47f87f36bde9ab6908ac9cd4f0bc', 'objectid': 165936, 'filesize': 1412252, 'uri': 'http://repository.lppm.unila.ac.id/id/file/478281', 'filename': 'The Effect of GRDP, Foreign Invesment and Population Density on Environmental Quality in Java Island (2010-2019).pdf', 'hash_type': 'MD5', 'mtime': '2022-08-06 06:27:55'}], 'docid': 165936}]",[{'url': 'https://eudl.eu/doi/10.4108/eai.7-10-2021.2316225'}],['FEB5'],EAI,disk0/00/04/39/44,public,2022-08-08 01:50:23,pub,7,published,['H1'],"Abstract. This study aims to analyze and determine the effect of GRDP, Foreign 
investment and population density on the quality of the environment in Java Island from 
2010 - 2019.. The method used in this study is Panel Least Square (PLS) with Common 
Effects Model (CEM). The results of the analysis conducted show that the three 
independent variables have effects on the dependent variable EQI. With a confidence level 
of 95% and a significant result, With a confidence level of 95% and significant results, the 
GRDP variable has a positive and significant effect, while the foreign investment variable 
and population density have a negative effect on the quality of the environment on the 
island of Java in 2010 - 2019. From the result of this study, the right steps can be taken for 
policy makers to achieve sustainable economic development and issue programs or 
policies that can support environmental quality improvement.",2022-04-20 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/43944,,,,,,,,,,,,,,,
1,"[{'id': 'neli.aida@feb.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'AIDA', 'given': 'NELI'}}, {'id': 'endri.hermawan1015@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'hermawan', 'given': 'endri'}}, {'id': 'ukhti.ciptawaty@feb.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Ciptawaty', 'given': 'Ukhti'}}]",other,"The Effect of GRDP, Foreign Invesment and 
Population Density on Environmental Quality in Java 
Island (2010-2019)","Proceedings of the 4th International Conference of Economics, Business, and Entrepreneurship, ICEBE 2021",2022-08-08 01:50:39,43953,archive,show,2787,https://eudl.eu/doi/10.4108/eai.7-10-2021.2316225,2022-08-08 01:50:39,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165946', 'pos': 1, 'eprintid': 43953, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Lembar Peer Review_Publikasi Prosiding Internasional_The Effect of GDRP, Foreign Investment and Population Density on Environmental Quality in Java Island (2010-2019)_Ukhti Ciptawaty.pdf', 'files': [{'fileid': 478340, 'datasetid': 'document', 'hash': '856d09c7e4108bd8d54bd551dea9fb24', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-08-07 06:42:46', 'objectid': 165946, 'filesize': 66715, 'uri': 'http://repository.lppm.unila.ac.id/id/file/478340', 'filename': 'Lembar Peer Review_Publikasi Prosiding Internasional_The Effect of GDRP, Foreign Investment and Population Density on Environmental Quality in Java Island (2010-2019)_Ukhti Ciptawaty.pdf'}], 'docid': 165946}]",[{'url': 'https://eudl.eu/doi/10.4108/eai.7-10-2021.2316225'}],['FEB5'],EAI,disk0/00/04/39/53,public,2022-08-08 01:50:39,pub,7,published,['H1'],"This study aims to analyze and determine the effect of GRDP, Foreign 
investment and population density on the quality of the environment in Java Island from 
2010 - 2019.. The method used in this study is Panel Least Square (PLS) with Common 
Effects Model (CEM). The results of the analysis conducted show that the three 
independent variables have effects on the dependent variable EQI. With a confidence level 
of 95% and a significant result, With a confidence level of 95% and significant results, the 
GRDP variable has a positive and significant effect, while the foreign investment variable 
and population density have a negative effect on the quality of the environment on the 
island of Java in 2010 - 2019. From the result of this study, the right steps can be taken for 
policy makers to achieve sustainable economic development and issue programs or 
policies that can support environmental quality improvement.",2022-04-20 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/43953,,,,,,,,,,,,,,,
2,"[{'name': {'given': 'Herma Yola', 'family': 'Andesta', 'lineage': None, 'honourific': None}, 'id': 'hermayolaa@gmail.com'}, {'id': 'toto.gunarto@yahoo.co.id', 'name': {'given': 'Toto Gunarto', 'honourific': None, 'lineage': None, 'family': 'gunarto'}}, {'name': {'honourific': None, 'family': 'AIDA', 'lineage': None, 'given': 'NELI'}, 'id': 'neli.aida@feb.unila.ac.id'}]",article,Influence of Good Governance on ASEAN Economic Growth,,2023-03-31 07:43:46,49482,archive,show,515,https://ijebe.feb.unila.ac.id/index.php/ijebe/article/view/196,2023-03-31 07:43:46,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189107', 'security': 'public', 'placement': 1, 'eprintid': 49482, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 189107, 'main': 'Herma yola.pdf', 'files': [{'objectid': 189107, 'filesize': 840320, 'filename': 'Herma yola.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/536902', 'hash_type': 'MD5', 'mtime': '2023-03-31 04:18:34', 'fileid': 536902, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '54ced471c97f8b4321c2e69fc933408d'}], 'format': 'text'}]","[{'url': 'https://ijebe.feb.unila.ac.id/index.php/ijebe/article/view/196', 'type': 'pub'}]",['FEB5'],"International Journal of Economics, Business, and Entrepreneurship",disk0_bak/00/04/94/82,public,2023-03-31 07:43:46,pub,6,published,['H1'],"Economic growth is the process of changing the economic conditions of a country on an ongoing basis towards a better 
state, namely an increase in the physical production of goods and services prevailing in a country. The success of the 
performance of the government and its institutions and agencies related to the economy is measured by the resulting 
economic growth. Therefore, economic growth becomes important in assessing the success of a country in achieving 
its economic development over a certain period. This study aims to analyze the influence of the government on 
economic growth. The research was conducted in ASEAN countries with 5 categories of countries with the highest level 
of voice and accountability. The data used is secondary data from 2009-2019. The analytical tool used in this research 
is the Fixed Effect Model. Based on the results of data processing and discussions that have been carried out, it can be 
concluded that Voice and Accountability, Political Stability, Rule of Law, Foreign Direct Investment, Manpower and 
Initial Growth have a positive and significant impact on economic growth in 10 ASEAN countries in 2009-2019",1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/49482,ISSN 2615-6873,Influence of Good Governance on ASEAN Economic Growth,5.0,TRUE,5.0,69-75,,,,,,,,,
3,"[{'name': {'lineage': None, 'family': 'Athallah', 'honourific': None, 'given': 'Ahmad Dharu'}, 'id': 'dharuahmad18@gmail.com'}, {'name': {'given': 'NELI', 'lineage': None, 'family': 'AIDA', 'honourific': None}, 'id': 'neli.aida@feb.unila.ac.id'}, {'name': {'given': 'Asih', 'honourific': None, 'family': 'Murwiati', 'lineage': None}, 'id': 'asih.murwiati@feb.unila.ac.id'}, {'name': {'honourific': None, 'family': 'wahyudi', 'lineage': None, 'given': 'heru'}, 'id': 'heru.abiyahya@gmail.com'}]",article,Pengaruh Perkembangan Sektor Teknologi Informasi Terhadap Perkembangan Sektor E-Commerce (Studi Kasus: Negara-Negara Asean 2015-2019),,2023-03-31 07:43:23,49474,archive,show,515,https://jist.publikasiindonesia.id/index.php/jist/article/view/510,2023-03-31 07:43:23,"[{'placement': 1, 'eprintid': 49474, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189098', 'pos': 1, 'security': 'public', 'main': '510-Article Text-4816-1-10-20221010.pdf', 'files': [{'hash': '7f44229bb333f7c6cc6b46e190e7fe15', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 536852, 'mtime': '2023-03-31 02:05:59', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/536852', 'filename': '510-Article Text-4816-1-10-20221010.pdf', 'filesize': 1033933, 'objectid': 189098}], 'docid': 189098, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]","[{'type': 'pub', 'url': 'https://jist.publikasiindonesia.id/index.php/jist/article/view/510'}]",['FEB5'],Vol. 3 No. 10 (2022): Jurnal Indonesia Sosial Teknologi,disk0_bak/00/04/94/74,public,2023-03-31 07:43:23,pub,6,published,['H1'],"This study aims to determine the effect of the development of the information technology sector on the development of the e-commerce transaction sector, analyze the variables that support the use of information technology such as the number of mobile phone users, the number of internet users and the number of broadband telephone users on the value of e-commerce transactions in countries. in ASEAN. This study uses secondary data. This research uses Fixed Effect Model (FEM) approach. The data analysis model used is panel data regression.

The results of this study indicate that the variable number of internet users and the number of mobile phone users has a positive and significant effect on the value of e-commerce transactions in ASEAN countries. While the number of broadband telephone users has a positive but not significant effect on the value of e-commerce transactions in ASEAN countries.",2022-10-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49474,p–ISSN: 2723 - 6609 e-ISSN : 2745-5254,Pengaruh Perkembangan Sektor Teknologi Informasi Terhadap Perkembangan Sektor E-Commerce (Studi Kasus: Negara-Negara Asean 2015-2019),3.0,TRUE,10.0,1-16,Doi :10.36418/jist.v3i10.510,,,,,,,,
4,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ciptawaty', 'given': 'Ukhti'}, 'id': 'ukhti.ciptawaty@feb.unila.ac.id'}, {'name': {'given': 'Mochamad Firman', 'honourific': None, 'lineage': None, 'family': 'Ghazali'}, 'id': 'firman.ghazali@eng.unila.ac.id'}, {'id': 'reshaatina@gmail.com', 'name': {'family': 'Resha', 'lineage': None, 'honourific': None, 'given': 'Moniyana'}}, {'name': {'given': 'NELI', 'family': 'AIDA', 'lineage': None, 'honourific': None}, 'id': 'neli.aida@feb.unila.ac.id'}]",other,"Patterns of Spatial Modeling of The Economy; Human 
Capital and Poverty in 60 Regions in Southern 
Sumatera","Proceedings of the 4th International Conference of Economics, Business, and Entrepreneurship, ICEBE 2021",2022-08-08 01:50:17,43941,archive,show,2787,https://eudl.eu/doi/10.4108/eai.7-10-2021.2316809,2022-08-08 01:50:17,"[{'format': 'text', 'docid': 165934, 'main': 'Patterns of Spatial Modeling of The Economy; Human Capital and Poverty in 60 Regions in Southern Sumatera.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-08-06 04:58:38', 'objectid': 165934, 'filesize': 1211623, 'filename': 'Patterns of Spatial Modeling of The Economy; Human Capital and Poverty in 60 Regions in Southern Sumatera.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/478265', 'datasetid': 'document', 'fileid': 478265, 'hash': '02a377614afe5055ceeaa19abd83528e', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 43941, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165934', 'pos': 1}]",[{'url': 'https://eudl.eu/doi/10.4108/eai.7-10-2021.2316809'}],['FEB5'],EAI,disk0/00/04/39/41,public,2022-08-08 01:50:17,pub,7,published,['H1'],"This study tests spatial concepts which is calculated in each region of the 60 
regions of South Area of Sumatra by analyzing the observed spatial patterns and spatial 
autocorrelation. The Spatial Analytical Regression (SAR) model was chosen to analyze 
the cases of spatial linkage and determine how the variables meet the requirements of the 
model. The analysis tool uses Expletory Spatial Data Analysis with Geographic 
Information Systems (GIS) and Geodes to analyze the status of the proportion of poor 
people using Moran I, LISA, and LISA cluster map statistics in 2015. The GRDP of 
Sumatra's 60 regions suggests a spatial relationship. That is, there should be a clustered 
pattern of regions with the same characteristics. The results of the Moran I scatter plot 
show the division of the Moran I quadrant. Eventually, this study shows how  population 
proportions have a significant impact on GRDP and (HDI).",2022-04-20 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/43941,,,,,,,,,,,,,,,
5,"[{'id': 'ukhti.ciptawaty@feb.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Ciptawaty', 'given': 'Ukhti'}}, {'id': 'firman.ghazali@eng.unila.ac.id', 'name': {'given': 'Mochamad Firman', 'honourific': None, 'lineage': None, 'family': 'Ghazali'}}, {'id': 'reshaatina@gmail.com', 'name': {'family': 'Resha', 'lineage': None, 'honourific': None, 'given': 'Moniyana'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'AIDA', 'given': 'NELI'}, 'id': 'neli.aida@feb.unila.ac.id'}]",other,"Patterns of Spatial Modeling of The Economy; Human 
Capital and Poverty in 60 Regions in Southern 
Sumatera","Proceedings of the 4th International Conference of Economics, Business, and Entrepreneurship, ICEBE 2021",2022-08-08 01:50:32,43951,archive,show,2787,https://eudl.eu/doi/10.4108/eai.7-10-2021.2316809,2022-08-08 01:50:32,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165944', 'security': 'public', 'placement': 1, 'eprintid': 43951, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Lembar Peer Review_Publikasi Prosiding Internasional_Patterns of Spatial Modeling of The Economy_ Human Capital and Poverty in 60 Regions in Southern Sumatera_Ukhti Ciptawaty.pdf', 'docid': 165944, 'files': [{'mtime': '2022-08-06 15:18:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/478326', 'filename': 'Lembar Peer Review_Publikasi Prosiding Internasional_Patterns of Spatial Modeling of The Economy_ Human Capital and Poverty in 60 Regions in Southern Sumatera_Ukhti Ciptawaty.pdf', 'objectid': 165944, 'filesize': 69778, 'hash': '7301f42508864e15772b4877cd861a6f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 478326}], 'format': 'text'}]",[{'url': 'https://eudl.eu/doi/10.4108/eai.7-10-2021.2316809'}],['FEB5'],EAI,disk0/00/04/39/51,public,2022-08-08 01:50:32,pub,8,published,['H1'],"This study tests spatial concepts which is calculated in each region of the 60 
regions of South Area of Sumatra by analyzing the observed spatial patterns and spatial 
autocorrelation. The Spatial Analytical Regression (SAR) model was chosen to analyze 
the cases of spatial linkage and determine how the variables meet the requirements of the 
model. The analysis tool uses Expletory Spatial Data Analysis with Geographic 
Information Systems (GIS) and Geodes to analyze the status of the proportion of poor 
people using Moran I, LISA, and LISA cluster map statistics in 2015. The GRDP of 
Sumatra's 60 regions suggests a spatial relationship. That is, there should be a clustered 
pattern of regions with the same characteristics. The results of the Moran I scatter plot 
show the division of the Moran I quadrant. Eventually, this study shows how  population 
proportions have a significant impact on GRDP and (HDI).",2022-04-20 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/43951,,,,,,,,,,,,,,,
6,"[{'id': 'arif.darmawan@feb.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Darmawan', 'given': 'Arif'}}]",conference_item,Strengthen the Role of Village Owned Enterprises (BUMDes) to Improve Social Welfare and Reduce Inequality in Rural Areas: Lesson from Indonesia,,2022-10-06 05:22:57,45555,archive,show,2788,https://eudl.eu/proceedings/ICBAE/2022,2022-10-06 05:22:57,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'ICBAE eai.pdf', 'docid': 184334, 'files': [{'datasetid': 'document', 'fileid': 505757, 'mime_type': 'application/pdf', 'hash': 'cda638a7ef0f9194e6d3a87cd398cbb3', 'objectid': 184334, 'filesize': 425698, 'filename': 'ICBAE eai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/505757', 'hash_type': 'MD5', 'mtime': '2022-10-06 05:15:02'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184334', 'pos': 1, 'eprintid': 45555, 'placement': 1}]",,['FEB5'],,disk0/00/04/55/55,public,2022-10-06 05:22:57,pub,8,published,"['HC', 'HD']","The primary purpose of the village fund is to lessen the gap between urban and rural and increase social welfare in the Village. However, the existence of this village fund has not been fully optimized to improve the welfare of rural communities that have received village funds from the government. The multiplier effect of the village funds allocation only focuses on the physical infrastructure development sector, such as roads, buildings, and bridges, up to 37%. In comparison, the allocation to the community development sector is only 8%, or the smallest allocation from other sectors (social health, education, and investigation). In this case, Village Owned Enterprises (BUMDes) have a vital role in developing a community that combines the for-profit and social organization sectors. BUMDes aims to develop the village economy and public services, manage village potential, create markets and employment opportunities, and increase business and income for villagers. This study analyses BUMDes effectiveness, which uses a descriptive and quantitative method using an approach of difference in difference (DID) approach. This was chosen based on the argument that this research would be helpful for policymakers, especially the government, who have a role in the village fund program, and village officials, who also play a role in the use of village funds for the community's welfare through maximizing BUMDes.",2022-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/45555,,,,TRUE,,,,Purwokerto,paper,10-11 Agustus 2022,"['Rizal Alamsyah', 'Risandi Koswara', 'Dwi Ahmadi']","The 3rd International Conference on Business, Accounting, and Economics",conference,,
7,"[{'id': 'arif.darmawan@feb.unila.ac.id', 'name': {'given': 'Arif', 'honourific': None, 'lineage': None, 'family': 'Darmawan'}}]",other,"Turnitin Test for Article ""Development of an Environmental Insurance Program based on Islamic Values in the Palm Oil Industry in Indonesia for Community Welfare""",,2023-04-03 00:57:47,49569,archive,show,2788,,2023-04-03 00:57:47,"[{'eprintid': 49569, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189200', 'format': 'text', 'docid': 189200, 'main': 'Iltizam Sinta 4.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'e0191aab22a8ce722656402cf5e05709', 'datasetid': 'document', 'fileid': 537515, 'mtime': '2023-04-02 07:03:55', 'hash_type': 'MD5', 'filename': 'Iltizam Sinta 4.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/537515', 'objectid': 189200, 'filesize': 3603465}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,['FEB5'],Universitas Ahmad Dahlan,disk0_bak/00/04/95/69,public,2023-04-03 00:57:47,pub,7,,['HD'],,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/49569,,,,,,,,,,,,,,,
8,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Darmawan', 'given': 'Arif'}, 'id': 'arif.darmawan@feb.unila.ac.id'}, {'name': {'given': 'Dwi', 'lineage': None, 'family': 'Ahmad', 'honourific': None}, 'id': 'da0dwiahmadi@gmail.com'}]",article,Development of an Environmental Insurance Program based on Islamic Values in the Palm Oil Industry in Indonesia for Community Welfare,,2022-12-15 08:01:05,47234,archive,show,2788,https://e-journal.lp2m.uinjambi.ac.id/ojp/index.php/iltizam/article/view/1385,2022-12-15 08:01:05,"[{'eprintid': 47234, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186207', 'format': 'text', 'files': [{'mtime': '2022-12-15 02:20:32', 'hash_type': 'MD5', 'filename': '1385-Article Text-5615-1-10-20221202.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518535', 'objectid': 186207, 'filesize': 418837, 'hash': '61b89f89df1be7c77410da390d7102cc', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 518535}], 'main': '1385-Article Text-5615-1-10-20221202.pdf', 'docid': 186207, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,['FEB5'],,disk0/00/04/72/34,public,2022-12-15 08:01:05,pub,7,completed,"['H1', 'HB']","Economic development is synonymous with growth rates where the relationship between development and environmental sustainability is apparent. Allah SWT blesses Indonesia with abundant natural resources. One of Indonesia's potentials is palm oil or CPO (Crude Palm Oil). The CPO industry is one of the biggest contributors to Indonesia's foreign exchange. Palm oil can rely on around 13.50% of nonoil and gas exports, covering around 3.50% of Indonesia's Gross Domestic Product (GDP). Until the end of 2020, the value of CPO exports in Indonesia reached 27,326.1 tons from various destination countries. However, in this perspective of industrial climate, environmental issues surrounding the CPO industry continue to be voiced from various circles. As a result of such a large demand, it has an impact on land clearing for oil palm production. Real action from the government and palm oil companies is needed to overcome this. Synergy is needed between the government through policies and the role of oil palm companies through production mechanisms and programs that support the environment, such as the implementation of environmental insurance programs. This study uses a qualitative analysis method with a qualitative descriptive analysis approach. This qualitative analysis, it provides benefits to ensure production in the crude palm oil industry in facing the challenges of environmental issues. The environmental insurance program has two insurance policy applications: Pollutant Payment Principles and Instrument Payments. However, this environmental insurance program has not been implemented with the right system. Therefore, the actualization of Islamic values is expected to help
optimize the program.",1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/47234,2598-2540,Iltizam Journal of Shariah Economic Research,6.0,TRUE,1.0,145-159,,,,,,,,,
9,"[{'name': {'given': 'Arif', 'honourific': None, 'family': 'Darmawan', 'lineage': None}, 'id': 'arif.darmawan@feb.unila.ac.id'}, {'name': {'given': 'moneyzar', 'lineage': None, 'family': 'usman', 'honourific': None}, 'id': 'moneyzar usman@gmail.com'}, {'name': {'given': 'Resha Moniyana', 'lineage': None, 'family': 'Putri', 'honourific': None}, 'id': None}]",conference_item,Increasing Indonesia’s Young Entrepreneurs: The Role of Business Incubators,,2022-08-10 06:11:37,43987,archive,show,2788,https://sites.google.com/unud.ac.id/smart/home,2022-10-04 13:28:40,"[{'format': 'text', 'main': 'Proceeding smart-conference 2022rev.pdf', 'files': [{'fileid': 478635, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f2169b33d24a00621b612f9c6eb2a0eb', 'filesize': 4876307, 'objectid': 165986, 'filename': 'Proceeding smart-conference 2022rev.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/478635', 'hash_type': 'MD5', 'mtime': '2022-08-10 01:47:57'}], 'docid': 165986, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 43987, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165986'}]",,['FEB5'],,disk0/00/04/39/87,public,2022-08-10 06:11:37,pub,9,published,"['HB', 'HC']","Business incubators have been proven simultaneously for creating jobs and engaging the vibes of new business. This paper tries to describe and identify the successful way to enhance young entrepreneurs in Indonesia. Moreover, the business incubator can be an alternative for delivering and managing the basic concept of entrepreneurship in the era after the pandemic of Covid-19. However, the basic concept of business incubation remains until today, there have been several enhancements to the capability of business incubators to create entrepreneurs and economic drivers. Moreover, the institutional theory said that business
incubators had generated positive results for small businesses to succeed in growing and now exist. The methodology used in this study is based on a mixed-methods approach, identifying as a case study and qualitative (literature review) and then examine with Indonesia case studies. Some data was retrieved through references from journals, articles, and business incubator reports.
The rapid expansion of business incubators in Indonesia is one of the most important phenomena affecting economic growth especially when the slowdown economy happened in the mid-2020. This study finds that the experiences and characteristics of the incubation industry in Indonesia show that the intervention and support from local and central governments will provide pour strong drive to the incubation industry. On the other hand, partnerships and sharing among incubates is a crucial components to make incubators more successful. The finding of this research can help government and policymakers for successful implementation.
Also, add and expand new knowledge for academic literature about incubators, entrepreneurs, and economic development.",2022-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/43987,,,,TRUE,,111-119,,"Denpasar, Bali",paper,23 Maret 2022,,International Conference on Innovation for Sustainable Development,conference,,
