,creators,type,refereed,title,eprintid,eprint_status,datestamp,pagerange,metadata_visibility,userid,documents,lastmod,official_url,divisions,publication,dir,status_changed,full_text_status,issn,ispublished,rev_number,subjects,date_type,volume,abstract,uri,date,contributors,number,corp_creators,publisher,related_url,contact_email,book_title,place_of_pub,isbn,pages,editors,id_number,referencetext,pres_type,event_location,event_title,event_type,funders,succeeds,event_dates,projects
0,"[{'name': {'lineage': None, 'family': 'Ahadiat', 'honourific': None, 'given': 'Ayi'}, 'id': None}, {'id': None, 'name': {'family': 'Ribhan', 'lineage': None, 'honourific': None, 'given': 'Ribhan'}}, {'name': {'lineage': None, 'family': 'Maydiantoro', 'honourific': None, 'given': 'Albet'}, 'id': 'albet.maydiantoro@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'Fajrin Satria Dwi', 'family': 'Kesumah', 'lineage': None, 'honourific': None}}]",article,TRUE,"The theory of planned Behavior and Marketing Ethics Theory in
Predicting Digital Piracy Intentions",40820,archive,2022-03-31 02:38:31,690-702,show,404,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162209', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 40820, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'The theory of planned Behavior and Marketing Ethics Theory in.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-03-30 16:14:57', 'filesize': 1305922, 'objectid': 162209, 'uri': 'http://repository.lppm.unila.ac.id/id/file/454092', 'filename': 'The theory of planned Behavior and Marketing Ethics Theory in.pdf', 'datasetid': 'document', 'fileid': 454092, 'hash': '98ba803ac414c8da3d841473767f1c9f', 'mime_type': 'application/pdf'}], 'docid': 162209, 'format': 'text'}]",2022-03-31 02:38:31,https://wseas.com/journals/articles.php?id=244,['FEB6'],WSEAS TRANSACTIONS on BUSINESS and ECONOMICS,disk0/00/04/08/20,2022-03-31 02:38:31,public,"1109-9526,",pub,6,['H1'],published,18,"This study discusses an interactive model that integrates behaviour theory with ethical theory to
determine individual behaviour towards digital piracy. This study uses a quantitative approach by testing
assumptions using the Structural Equation Model (SEM) assisted using the AMOS 4.0 application program. The
results showed that the Theory of Planned Behavior (TPB) and the theory of marketing ethics (HV theory) could
be used to predict the intention to commit digital piracy. Digital piracy intentions are not influenced by TPB's
arbitrary rules, while digital piracy expectations and behaviour management significantly impact digital piracy
intentions. Moral obligations and perceived benefits directly influence digital piracy. Moral obligation has clear
negative effects, whereas perceived benefits positively impact piracy. Moral obligation hurts subjective value.
Meanwhile, the perceived dangers often undermine individual attitudes towards digital piracy. The benefits
people experience influence attitudes to digital piracy. This habit has had a dramatic and positive impact on
digital piracy. 

Key-Words: Planed behavior theory, marketing ethics theory, attitude, subjective norm, regulate perceived
behavior, moral liability, fairness.",http://repository.lppm.unila.ac.id/id/eprint/40820,2021-04-12 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,
1,"[{'name': {'family': 'Derry', 'lineage': None, 'honourific': None, 'given': 'Westryananda'}, 'id': None}, {'name': {'given': 'Sri', 'family': 'Hasnawati', 'lineage': None, 'honourific': None}, 'id': 'sri.hasnawati@feb.unila.ac.id'}, {'id': 'muslimin.1975@feb.unila.ac.id', 'name': {'given': 'muslimin', 'lineage': None, 'family': 'muslimin', 'honourific': None}}]",article,TRUE,Ramadan Effect and Volatility Risk by Garch Model: Evidence in Indonesia Stock Market,32021,archive,2021-06-04 07:13:17,,show,1031,"[{'format': 'text', 'main': 'Ramadan Effek Paper Publish JBM 2021.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-04 03:40:48', 'filesize': 265059, 'objectid': 145098, 'filename': 'Ramadan Effek Paper Publish JBM 2021.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/378987', 'fileid': 378987, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'dc27c403e3919e0719bfeace387b3f45'}], 'docid': 145098, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 32021, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145098'}]",2021-06-04 07:13:17,http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/220,['FEB6'],JURNAL BISNIS MANAJEMEN,disk0/00/03/20/21,2021-06-04 07:13:17,public,"ISSN 1411-9366, e-ISSN 2747-0032",pub,6,['HG'],published,17,"This study aims to analyze the effect of the Ramadan effect and volatility risk on the Indonesian stock market using the GARCH model. The population in this study are companies listed on the LQ45 index on the Indonesia Stock Exchange during 2019. There are 42 companies used as samples in this study. The research sample was taken using purposive sampling method. This study uses the GARCH model as an analytical tool. The results of this study indicate that there is no Ramadan effect on the LQ45 index, but the volatility in the month of Ramadan affects the volatility in the LQ45 index.",http://repository.lppm.unila.ac.id/id/eprint/32021,1970-01-01 00:00:00.000002021,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Derry', 'given': 'Westryananda'}}, {'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}}, {'name': {'family': 'Muslimin', 'lineage': None, 'honourific': None, 'given': 'Muslimin'}}]",2.0,['University of Lampung'],FEB UNILA,,,,,,,,,,,,,,,,,
2,"[{'name': {'lineage': None, 'family': 'Dery', 'honourific': None, 'given': 'Westryananda Putra'}, 'id': 'dery011@live.com'}, {'name': {'given': 'Hasnawati', 'honourific': None, 'lineage': None, 'family': 'Sri'}, 'id': 'sri.hasna2015@gmail.com'}, {'name': {'honourific': None, 'family': 'Muslimin', 'lineage': None, 'given': 'Muslimin'}, 'id': 'muslimin.1975@feb.unila.ac.id'}]",article,FALSE,Ramadan Effect and Volatility Risk by GARCH Model: Evidence in Indonesia Stock Market,32074,archive,2021-06-05 11:40:53,14-25,show,111,"[{'placement': 1, 'eprintid': 32074, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145362', 'pos': 1, 'security': 'public', 'docid': 145362, 'main': 'View of Ramadan Effect and Volatility Risk by Garch Model_ Evidence in Indonesia Stock Market.o.pdf', 'files': [{'mtime': '2021-06-04 12:12:15', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/379611', 'filename': 'View of Ramadan Effect and Volatility Risk by Garch Model_ Evidence in Indonesia Stock Market.o.pdf', 'filesize': 222474, 'objectid': 145362, 'hash': '6fe08514af57ea006f026c76d64aa246', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 379611}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-06-05 11:40:53,,['FEB6'],Jurnal Bisnis dan Manajemen,disk0/00/03/20/74,2021-06-05 11:40:53,public,1411-9366,pub,6,['HG'],published,17,"Penelitian ini bertujuan untuk menganalisis pengaruh Ramadhan effect dan risiko volatilitas terhadap pasar saham Indonesia dengan menggunakan model GARCH. Populasi dalam penelitian ini adalah perusahaan yang terdaftar pada indeks LQ45 di Bursa Efek Indonesia selama tahun 2019. Terdapat 42 perusahaan yang dijadikan sampel dalam penelitian ini. Sampel penelitian diambil dengan menggunakan metode purposive sampling. Penelitian ini menggunakan model GARCH sebagai alat analisis. Hasil penelitian ini menunjukkan bahwa tidak ada pengaruh Ramadhan terhadap indeks LQ45, namun volatilitas pada bulan Ramadhan berpengaruh terhadap volatilitas pada indeks LQ45.",http://repository.lppm.unila.ac.id/id/eprint/32074,2021-02-01 00:00:00.000000000,"[{'id': 'dery011@live.com', 'name': {'family': 'Dery', 'lineage': None, 'honourific': None, 'given': 'Westryananda Putra'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'id': 'sri.hasna2015@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Sri', 'given': 'Hasnawati'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'id': 'muslimin.1975@feb.unila.ac.id', 'name': {'given': 'Muslimin', 'honourific': None, 'family': 'Muslimin', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",2.0,,Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,"[{'url': 'http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/220', 'type': 'org'}]",dery011@live.com,,,,,,,,,,,,,,,
3,"[{'id': 'Alipfahmi.af@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Fahmi', 'given': 'M. Alif'}}, {'name': {'given': 'Keumala', 'family': 'Hayati', 'lineage': None, 'honourific': None}, 'id': 'umi_asra@yahoo.co.id'}, {'id': 'jodiesafitri@gmail.com', 'name': {'family': 'Safitri', 'lineage': None, 'honourific': None, 'given': 'Dina'}}]",book_section,TRUE,"Tingkat Keseimbangan Kehidupan Kerja dan Kebanggaan 
Organisasi Terhadap Kepuasan Kerja",30632,archive,2022-02-07 06:59:08,21-30,show,108,,2022-02-07 06:59:08,,['FEB6'],,disk0/00/03/06/32,2022-02-07 06:59:08,none,,pub,9,['HD28'],,1,"Tingkat keseimbangan kehidupan kerja, kebanggaan organisasi dan kepuasan kerja karyawan masih menjadi masalah serius bagi perusahaan perbankan. Tujuan dalam penelitian ini adalah untuk mengetahui tingkat keseimbangan kehidupan kerja dan kebanggaan organisasi terhadap kepuasan kerja karyawan perbankan di Bandar Lampung. Pengumpulan data menggunakan  kuesioner kepada karyawan perbankan di Bandar Lampung dengan jumlah sampel 93 orang. Analisis data menggunakan analisis regresi linier berganda menunjukkan bahwa keseimbangan kehidupan kerja dan kebanggaan organisasi berpengaruh terhadap kepuasan kerja karyawan perbankan di Bandar Lampung.",http://repository.lppm.unila.ac.id/id/eprint/30632,1970-01-01 00:00:00.000002021,,,,Aura,,,Book Chapter: Mozaik Riset Manajemen,Bandar Lampung,978-623-211-264-3,61.0,"[{'name': {'lineage': None, 'family': 'Hayati', 'honourific': None, 'given': 'Keumala'}, 'id': 'umi_asra@yahoo.co.id'}]",,,,,,,,,,
4,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Fihartini', 'given': 'Yuniarti'}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Helmi', 'honourific': None, 'given': 'R. Arief'}, 'id': 'arief.helmi@unpad.ac.id'}, {'id': 'meydia.hasan@unpad.ac.id', 'name': {'given': 'Meydia', 'lineage': None, 'family': 'Hassan', 'honourific': None}}, {'name': {'given': 'Yevis Marty', 'lineage': None, 'family': 'Oesman', 'honourific': None}, 'id': 'yevis.marty@unpad.ac.id'}]",article,TRUE,The Mediating Role of Affective Experience to The Effect of Online Retail Ethic on Repurchase Intention: Indonesian Y and Z Generation Perspective,30048,archive,2021-05-07 03:45:24,,show,174,"[{'content': 'published', 'language': 'en', 'rev_number': 3, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 356275, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '250beaaed7f8fe4a5f3db911df3abc11', 'objectid': 134916, 'filesize': 509635, 'filename': 'ICEBE-eai.1-10-2020.2304738.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/356275', 'hash_type': 'MD5', 'mtime': '2021-05-07 02:09:26'}], 'main': 'ICEBE-eai.1-10-2020.2304738.pdf', 'docid': 134916, 'security': 'public', 'formatdesc': 'http://dx.doi.org/10.4108/eai.1-10-2020.2304738', 'uri': 'http://repository.lppm.unila.ac.id/id/document/134916', 'pos': 2, 'eprintid': 30048, 'placement': 2}]",2021-05-07 03:45:24,https://eudl.eu/proceedings/ICEBE/2020,['FEB6'],"Proceedings of the First International Conference of Economics, Business & Entrepreneurship",disk0/00/03/00/48,2021-05-07 03:45:24,public,2593-7650,pub,27,"['BJ', 'H1']",published,,"Ethical violations are more likely to occur in online transactions compared to face-to-face transactions, and have been trigging negative perception regarding online retail ethic and negative experience of customer. Those are identified as the major problems causing consumers’ hesitance toward taking decision for shopping online. This study is to investigate the effect of consumer perception of online retail ethic on repurchase intention with the affective experience as a mediation variable. An online survey conducted toward customer between 17–40 age and have experience in purchasing product online in Indonesia. The results show that consumer perception of online retail ethic effects affective experience and affective experience effects repurchase intention. Consumer perception of online retail ethic also has direct effects on repurchase intention. Thus, the affective experience partially mediates the effect of consumer perception regarding online retail ethic and repurchase intention.",http://repository.lppm.unila.ac.id/id/eprint/30048,2021-04-12 00:00:00.000000000,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'family': 'Fihartini', 'lineage': None, 'given': 'Yuniarti'}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}, {'name': {'given': 'R. Arief', 'family': 'Helmi', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'arief.helmi@unpad.ac.id'}, {'id': 'meydia.hasan@unpad.ac.id', 'name': {'given': 'Meydia', 'lineage': None, 'family': 'Hassan', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'id': 'yevis.marty@unpad.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Oesman', 'lineage': None, 'honourific': None, 'given': 'Yevis Marty'}}]",,"['Universitas Lampung', 'Universitas Padjadjaran', 'Universitas Padjadjaran', 'Universitas Padjadjaran']",EAI,[{'url': 'https://eudl.eu/doi/10.4108/eai.1-10-2020.2304738'}],,,,,,,http://dx.doi.org/10.4108/eai.1-10-2020.2304738,,,,,,,,,
5,"[{'name': {'given': 'Yuniarti', 'honourific': None, 'lineage': None, 'family': 'Fihartini'}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Helmi', 'given': 'R. Arief'}, 'id': 'arief.helmi@unpad.ac.id'}, {'id': 'meydia.hasan@unpad.ac.id', 'name': {'given': 'Meydia', 'honourific': None, 'family': 'Hassan', 'lineage': None}}, {'id': 'yevis.marty@unpad.ac.id', 'name': {'family': 'Oesman', 'lineage': None, 'honourific': None, 'given': 'Yevis Marty'}}]",article,FALSE,"Perceived health risk, online retail ethics, and consumer behavior within online shopping during the COVID-19 pandemic",33125,archive,2021-07-10 13:11:38,17-29,show,174,"[{'format': 'text', 'main': 'IM_2021_03_Fihartini_2.pdf', 'docid': 151197, 'files': [{'mime_type': 'application/pdf', 'hash': '665959b0a708c52aaa3242698513328c', 'datasetid': 'document', 'fileid': 392389, 'uri': 'http://repository.lppm.unila.ac.id/id/file/392389', 'filename': 'IM_2021_03_Fihartini_2.pdf', 'objectid': 151197, 'filesize': 641018, 'mtime': '2021-07-09 13:33:39', 'hash_type': 'MD5'}], 'content': 'published', 'language': 'en', 'rev_number': 3, 'mime_type': 'application/pdf', 'eprintid': 33125, 'license': 'cc_by_4', 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/151197', 'pos': 1}]",2021-07-10 13:11:38,https://www.businessperspectives.org/index.php/journals/innovative-marketing/issue-388/perceived-health-risk-online-retail-ethics-and-consumer-behavior-within-online-shopping-during-the-covid-19-pandemic#,['FEB6'],Innovative Marketing,disk0/00/03/31/25,2021-07-10 13:11:38,public,"1814-2427 (print), 1816-6326 (online)",pub,13,['H1'],published,17,"The risk of virus contracting during the COVID-19 pandemic has changed consumer preference for online shopping to meet their daily needs than shopping in brick-and-mortar stores. Online shopping presents a different environment, atmosphere, and experience. The possibility of ethical violations is higher during online than face-to-face transactions. Therefore, this study was conducted to investigate the influence of perceived health risk and customer perception of online retail ethics on consumer online shopping behavior during the COVID-19 pandemic, involving seven variables, namely perceived health risk, security, privacy, non-deception, reliability fulfillment, service recovery, and online shopping behavior. The data were collected through an online survey by employing the purposive sampling technique to a consumer who has shopped online during the COVID-19 pandemic in Indonesia. 315 valid responses were obtained and analyzed through quantitative method using SEM-Amos. The results showed that perceived health risk and four variables of online retail ethics including security, privacy, reliability fulfillment, and service recovery affected online shopping behavior. Meanwhile, non-deception was found to have an insignificant effect. The coefficient value proved perceived health risk to be more dominant in influencing online shopping behavior than the variables of online retail ethics. Thus, consumers pay more concern for their health during online shopping. However, positive consumer perceptions of the behavior of online retail websites in providing services also can encourage consumers to shop online during this pandemic.",http://repository.lppm.unila.ac.id/id/eprint/33125,2021-07-09 00:00:00.000000000,,3.0,"['Universitas Lampung', 'Universitas Padjadjaran', 'Universitas Padjadjaran', 'Universitas Padjadjaran']",Business Perspectives,"[{'url': 'https://www.businessperspectives.org/index.php/journals/innovative-marketing?category_id=30', 'type': 'pub'}]",,,,,,,doi:10.21511/im.17(3).2021.02,,,,,,,,,
6,"[{'name': {'honourific': None, 'family': 'Ginanjar', 'lineage': None, 'given': 'Agung'}, 'id': None}, {'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Hasnawati'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Fiska', 'lineage': None, 'given': 'Huzaimah'}, 'id': None}]",article,TRUE,"THE EFFECT OF INVESTMENT DECISION, FINANCING DECISION, DIVIDEND POLICY ON FIRM VALUE (STUDY ON FOOD AND BEVERAGE INDUSTRY LISTED ON THE INDONESIA STOCK EXCHANGE, 2016-2018)",30249,archive,2021-05-20 07:33:10,1-12,show,1031,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/135969', 'pos': 1, 'eprintid': 30249, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'The effect of Investment Dec, Fin Dec, Dividend Policy  on  FIRM VALUE.pdf', 'files': [{'filesize': 354939, 'objectid': 135969, 'uri': 'http://repository.lppm.unila.ac.id/id/file/358638', 'filename': 'The effect of Investment Dec, Fin Dec, Dividend Policy  on  FIRM VALUE.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-20 02:41:31', 'fileid': 358638, 'datasetid': 'document', 'hash': 'd084c6af4450995a9d9b95733554b25e', 'mime_type': 'application/pdf'}], 'docid': 135969}]",2021-05-20 07:33:10,http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/189,['FEB6'],Jurnal Bisnis dan Manajemen,disk0/00/03/02/49,2021-05-20 07:33:10,public,1411,pub,6,['HG'],published,17,"This study aims to determine the influence of investment decision, financing decision, dividend policy on firm value. Using purposive sampling method, 22 firms in the food and beverage industry listed in Indonesia Stock Exchange for the period 2016- 2018 wereselectedassamples.Datawereanalyzedusingmultiplelinearregression.Itis concluded that Investment Decision (PER) has a positive and significant effect on firm value, supports the Signaling Theory which explains the relationship between investment decision and firm value. Financing Decision (DER) has no effect on firm value, according to Trade Off Theory which explains that at a certain level of debt, tax savings (tax shields) from additional debt will be equal to the cost of financial distress. Dividend Policy (DPR) has a positive and significant effect on firm value, supported by the Signaling Theory which states that good quality firms will deliberately give signals to the market. The results of the suitability test model show that simultaneously investment decision (PER), financing decision (DER) and dividend policy (DPR) influence firm value.",http://repository.lppm.unila.ac.id/id/eprint/30249,1970-01-01 00:00:00.000002021,"[{'name': {'honourific': None, 'family': 'Ginanjar', 'lineage': None, 'given': 'Agung'}}, {'name': {'family': 'Hasnawati', 'lineage': None, 'honourific': None, 'given': 'Sri'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Fiska', 'given': 'Huzaimah'}}]",1.0,['University Of Lampung'],FEB UNILA,[{'url': 'http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/189'}],,,,,,,,,,,,,,,,
7,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hardman', 'given': 'Satria'}, 'id': 'hardmansatria95@gmail.com'}, {'name': {'given': 'Hendrawaty', 'honourific': None, 'lineage': None, 'family': 'Ernie'}, 'id': 'ernie.hendrawaty@feb.unila.ac.id'}, {'name': {'given': 'Muslimin', 'family': 'Muslimin', 'lineage': None, 'honourific': None}, 'id': 'muslimin.1975@feb.unila.ac.id'}]",article,FALSE,PERBANDINGAN MAQASHID INDEX BANK UMUM SYARIAH DI INDONESIA DAN MALAYSIA,32076,archive,2021-06-05 11:41:00,27-34,show,111,"[{'placement': 1, 'eprintid': 32076, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145369', 'pos': 1, 'security': 'public', 'docid': 145369, 'main': '219-Article Text-886-1-10-20210604.pdf', 'files': [{'objectid': 145369, 'filesize': 293531, 'uri': 'http://repository.lppm.unila.ac.id/id/file/379625', 'filename': '219-Article Text-886-1-10-20210604.pdf', 'hash_type': 'MD5', 'mtime': '2021-06-04 14:29:34', 'datasetid': 'document', 'fileid': 379625, 'mime_type': 'application/pdf', 'hash': '2e45e89bd12dada31742f37a410beae2'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-06-05 11:41:00,http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/221/114,['FEB6'],Jurnal Bisnis dan Manajemen,disk0/00/03/20/76,2021-06-05 11:41:00,public,1411 – 9366,pub,7,['HG'],published,17,"Riset ini bertujuan menguji perbedaan kinerja pada 11 bank syariah di Indonesia dengan 16 bank syariah di Malaysia berbasis pendekatan MSI (Maqashid Syariah Index). Riset ini ialah riset komparatif yang memakai uji beda independent sample t- test untuk mengidentifikasi perbandingan kinerja bank syariah di Indonesia dengan di Malaysia berbasis pendekatan maqashid indeks. Variabel independen pada riset ini merupakan 3 tujuan syariah dari maqashid indeks ialah pembelajaran orang, menghasilkan keadilan, serta kepentingan universal. Hasil riset disimpulkan bahwa kinerja bank syariah di Indonesia berbeda dengan kinerja bank syariah Malaysia berbasis pendekatan maqashid indeks.",http://repository.lppm.unila.ac.id/id/eprint/32076,2021-01-01 00:00:00.000000000,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'family': 'Hardman', 'lineage': None, 'given': 'Satria'}, 'id': 'hardmansatria95@gmail.com'}, {'id': 'ernie.hendrawaty@feb.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'lineage': None, 'family': 'Ernie', 'honourific': None, 'given': 'Hendrawaty'}}, {'id': 'muslimin.1975@feb.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Muslimin', 'lineage': None, 'family': 'Muslimin', 'honourific': None}}]",2.0,,Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,,hardmansatria95@gmail.com,,,,,,,,,,,,,,,
8,"[{'name': {'given': 'Sri', 'family': 'Hasnawati', 'lineage': None, 'honourific': None}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",article,TRUE,Intellectual Capital and Firm Value: Evidence on Indonesia Banking Subsector,36579,archive,2021-11-13 02:17:59,,show,1031,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'ICEBE 4 Intelectual capital Evidence on indonesia  banking subsector.pdf', 'files': [{'mtime': '2021-11-12 14:20:45', 'hash_type': 'MD5', 'filename': 'ICEBE 4 Intelectual capital Evidence on indonesia  banking subsector.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/421723', 'objectid': 157492, 'filesize': 312345, 'hash': '993f4c7e156ea6bb402ae8eff68c35f8', 'mime_type': 'application/pdf', 'fileid': 421723, 'datasetid': 'document'}], 'docid': 157492, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/157492', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 36579}]",2021-11-13 02:17:59,,['FEB6'],ICEBE 4,disk0/00/03/65/79,2021-11-13 02:17:59,public,,submitted,7,['HG'],submitted,,"This paper aims to examine the relationship between intellectual capital to firm value in the Indonesia banking subsector listed on the Indonesian Stock Exchange 2018- 2020 related to resource-based theory and stakeholder theory. According to the resource- based theory, a company that has an extraordinary resource and is having a great empowering resource capability will achieve more competitive advantage than those that did not empower. In accordance to stakeholder theory, in which stakeholder is seen as a significant actor in developing a business, stakeholder theory is defined as a concept of strategic management where the goal is to help companies to strengthen their credibility to related external groups and develop a competitive advantage. However, the intellectual capital affect contribution that could be seen as intangible competitive advantage assets depends on the type of industry and in several pieces of research have a different result of significance on affecting firm value.",http://repository.lppm.unila.ac.id/id/eprint/36579,1970-01-01 00:00:00.000002021,"[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}}]",,['University of Lampung'],,,,,,,,,,,,,,,,,,
9,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'given': 'Sri', 'lineage': None, 'family': 'Hasnawati', 'honourific': None}}]",other,,Lembar review Article:  Life Cycle Theory of Dividend: A Review Literature,30019,archive,2021-05-06 06:47:27,,show,1031,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134743', 'security': 'public', 'placement': 1, 'eprintid': 30019, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '3. Life cycle Theory of Dividend A Review literature.pdf', 'docid': 134743, 'files': [{'datasetid': 'document', 'fileid': 355853, 'mime_type': 'application/pdf', 'hash': 'a27f482d33f3e1300cfa2bedba351fee', 'objectid': 134743, 'filesize': 1281738, 'uri': 'http://repository.lppm.unila.ac.id/id/file/355853', 'filename': '3. Life cycle Theory of Dividend A Review literature.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-06 02:49:08'}], 'format': 'text'}]",2021-05-06 06:47:27,https://eudl.eu/pdf/10.4108/eai.1-10-2020.2304742,['FEB6'],,disk0/00/03/00/19,2021-05-06 06:47:27,public,,submitted,7,['HG'],submitted,,"Lembar Review Article:

The purpose of the paper is to examine the relationship between dividend policy of the company and the life cycle theory. According to the life cycle theory, the company will pay dividend in the third stage, namely the maturity stage. In the early stage, the company has investment opportunities with high profit potential so that it requires large funds. As a result, dividend payments will be delayed. However, dividend payments remain a matter of debate today because dividend payments will be associated with company value. The theory of dividend policy states that paying dividends will increase firm value, but several research results show that dividend payments are not related to firm value.",http://repository.lppm.unila.ac.id/id/eprint/30019,1970-01-01 00:00:00.000002021,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hasnawati', 'given': 'Sri'}}]",,['University Of Lampung'],ICEBE 3,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/29697'}],,,Indonesia,,,,,,,,,,,,,
