,metadata_visibility,datestamp,eprintid,id_number,eprint_status,official_url,lastmod,documents,contributors,userid,title,type,creators,place_of_pub,date_type,subjects,uri,date,abstract,corp_creators,related_url,publisher,divisions,dir,ispublished,rev_number,full_text_status,status_changed,volume,isbn,refereed,pages,editors,number,pagerange,issn,publication,event_location,event_dates,pres_type,event_type,event_title,funders,institution,monograph_type,projects,department,contact_email,patent_applicant,succeeds,book_title
0,show,2020-11-22 11:51:41,26596,DOI: 10.18502/kss.v3i10.3407,archive,https://knepublishing.com/index.php/KnE-Social/article/view/3407/7174,2020-11-22 11:51:41,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40494', 'security': 'public', 'placement': 1, 'eprintid': 26596, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 40494, 'main': '18 reviewer Value at Risk and Expected return portofolio.pdf', 'files': [{'hash': '1b0bbcb3e086e427385223553e92b887', 'mime_type': 'application/pdf', 'fileid': 239078, 'datasetid': 'document', 'mtime': '2020-11-22 07:14:49', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239078', 'filename': '18 reviewer Value at Risk and Expected return portofolio.pdf', 'objectid': 40494, 'filesize': 639581}], 'format': 'text'}]","[{'name': {'given': 'Salsabila', 'honourific': None, 'lineage': None, 'family': 'Adinda'}}, {'name': {'given': 'Sri', 'lineage': None, 'family': 'Hasnawati', 'honourific': None}}]",1031,Form Penilaian Reviewer: Value at Risk and Expected returns portfolio )companies listed on LQ45 index period 2013-2016,other,"[{'name': {'honourific': None, 'family': 'Adinda', 'lineage': None, 'given': 'Salsabila'}, 'id': None}, {'name': {'honourific': None, 'family': 'Hasnawati', 'lineage': None, 'given': 'Sri'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",ICOI- JEPANG,published,['HG'],http://repository.lppm.unila.ac.id/id/eprint/26596,2018-11-01 00:00:00.000000000,"Form Penilaian Reviewer:The objective of this research is to investigate whether there is a positive relationship between Value at Risk and Expected Portfolio Returns on the Indonesia Stock Exchange. The population of this research is companies listed on the LQ45 index for the period 2013–2016, and the sample is 20 companies that meet the criteria. Markowitz method was used to form 65 portfolios; each consists of a combination of two stocks that have a negative correlation. The result shows that there is no positive relationship between Value at Risk and Expected Portfolio Returns. On the contrary, the correlation coefficient indicated that there is a negative relationship between the variables, which means that there is an inverse relationship (high return low risk, and vice versa). It proves that the assumption of a rational investor is avoiding risk (risk averse). This result is also supported by the findings from Schroders Global Investment Trends Survey 2015, which shows that 63% of investors in Indonesia prefer to allocate their investments in instruments with low- and medium-risk levels. However, it does not mean that the concept of high-risk high-return is not applicable in Indonesia because the result is not significant.",['Universitas lampung'],[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/12149'}],ICOI,['FEB6'],disk0/00/02/65/96,pub,7,public,2020-11-22 11:51:41,,,,,,,,,,,,,,,,,,,,,,,
1,show,2019-05-14 08:28:42,12797,,archive,,2019-09-25 04:30:14,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25770', 'security': 'staffonly', 'placement': 1, 'eprintid': 12797, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'files': [{'filesize': 5317799, 'objectid': 25770, 'uri': 'http://repository.lppm.unila.ac.id/id/file/112911', 'filename': 'BUKU AJAR E COMMERCE.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-13 05:57:56', 'fileid': 112911, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '93c5c77bce60f481f580337e9b8eca94'}], 'main': 'BUKU AJAR E COMMERCE.pdf', 'docid': 25770, 'format': 'text'}]",,308,E-COMMERCE,book,"[{'id': None, 'name': {'honourific': None, 'family': 'Aida Sari', 'lineage': None, 'given': 'Aida Sari'}}, {'name': {'given': 'Faila', 'lineage': None, 'family': 'Shofa', 'honourific': None}, 'id': 'shofafaila@gmail.com'}, {'name': {'honourific': None, 'family': 'Ramelan', 'lineage': None, 'given': 'Mudji Rachmat'}, 'id': 'muji@feb.unila.ac.id'}]",Bandar Lampung,,['HF'],http://repository.lppm.unila.ac.id/id/eprint/12797,2018-11-26 00:00:00.000000000,,,,Pustaka At-Tirmizi,['FEB6'],disk0/00/01/27/97,inpress,8,restricted,2019-05-14 08:28:42,1.0,978-602-5777-12-7,TRUE,246.0,"[{'name': {'given': 'Basti A', 'family': 'Dede', 'lineage': None, 'honourific': None}}]",,,,,,,,,,,,,,,,,,
2,show,2020-06-30 03:35:41,22878,DOI: 10.14419/ijet.v7i4.12189,archive,https://www.sciencepubco.com/index.php/ijet/article/view/12189,2020-06-30 03:35:41,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36422', 'security': 'public', 'placement': 1, 'eprintid': 22878, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 2809710, 'objectid': 36422, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209945', 'filename': 'Determinants of Attitude Tourist in E-Tourism Usage.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-30 03:19:50', 'datasetid': 'document', 'fileid': 209945, 'hash': '11d83fb535484b783447d0f07e72d1de', 'mime_type': 'application/pdf'}], 'main': 'Determinants of Attitude Tourist in E-Tourism Usage.pdf', 'docid': 36422, 'format': 'text'}]",[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],1046,"Determinants of Attitude Tourist
in E-Tourism Usage",article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Anggalia Wibasuri', 'given': 'AW'}}, {'name': {'honourific': None, 'family': 'Satria Bangsawan', 'lineage': None, 'given': 'SB'}}, {'name': {'given': 'MS', 'honourific': None, 'lineage': None, 'family': 'Mahrinasari MS'}}, {'name': {'lineage': None, 'family': 'Ribhan', 'honourific': None, 'given': 'RB'}}]",,published,"['H1', 'HC']",http://repository.lppm.unila.ac.id/id/eprint/22878,1970-01-01 00:00:00.000002018,"This paper examine the influence of five variables on attitude tourist: perceived ease of use, perceived usefulness, self efficacy, domain
specific innovativeness, and experience. The analysis attitude tourist toward e-tourism usage gauges the moderating role of e-trust. A
sample of 216 tourist of was analyzed using structural equation modeling. Result show that perceived ease of use, perceived usefulness,
domain specific inovativeness, and experience significantly influence attitude tourist. E-trust moderates the impact of e-tourism usage.
These results entail a better understanding of specificities, with practical actions for addressing their real needs and expectations. The
study limitations, implications, along with directions for further research are discussed.","['Student of the Doctor Faculty of Economics and Business, University of Lampung, Indonesia', 'Lecturer at the Faculty of Economics and Business, University of Lampung, Indonesia', 'Lecturer at the Faculty of Economics and Business, University of Lampung, Indonesia', 'Lecturer at the Faculty of Economics and Business, University of Lampung, Indonesia']",,Science Publishing Corporation,['FEB6'],disk0/00/02/28/78,pub,9,public,2020-06-30 03:35:41,7.0,,TRUE,,,4.0,6044-6050,2227-524X,International Journal of Enginering and Technology,,,,,,,,,,,,,,
3,show,2020-02-13 01:10:09,17967,,archive,http://sinta2.ristekdikti.go.id/authors/detail?id=6039551&view=book,2020-02-13 01:10:09,"[{'format': 'text', 'docid': 31112, 'main': 'Merged_File.pdf', 'files': [{'filesize': 10034499, 'objectid': 31112, 'filename': 'Merged_File.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/151352', 'hash_type': 'MD5', 'mtime': '2020-02-12 00:05:57', 'datasetid': 'document', 'fileid': 151352, 'mime_type': 'application/pdf', 'hash': '9982d6a136d4c991cc69f6ec070e9d46'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 17967, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31112'}]","[{'id': 'igo@staff.unila.ac.id', 'name': {'lineage': None, 'family': 'Prayugo', 'honourific': None, 'given': 'Prayugo'}, 'type': 'http://www.loc.gov/loc.terms/relators/COV'}]",1046,Urgensi Strategi Pemasaran Dalam Upaya Pemberdayaan Usaha Kecil Yang Berdaya Saing Di Era Globalisasi,book,"[{'id': 'satria.bangsawan@feb.unila.ac.id', 'name': {'given': 'Satria', 'family': 'Bangsawan', 'lineage': None, 'honourific': None}}]",,published,['H1'],http://repository.lppm.unila.ac.id/id/eprint/17967,1970-01-01 00:00:00.000002018,,,,AURA CV. Anugrah Utama Raharja,['FEB6'],disk0/00/01/79/67,pub,7,public,2020-02-13 01:10:09,,9786025940651,TRUE,,"[{'id': 'pr1nch1t4@yahoo.com', 'name': {'given': 'Mahrinasari', 'honourific': None, 'family': 'MS', 'lineage': None}}]",,,,,,,,,,,,,,,,,,
4,show,2018-04-25 08:31:10,6630,,archive,,2018-04-25 08:31:10,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Prosiding.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-03-21 07:34:30', 'objectid': 19598, 'filesize': 5058549, 'filename': 'Prosiding.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61155', 'fileid': 61155, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '581da4d571f026f43a93f7a05d35012e'}], 'docid': 19598, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19598', 'eprintid': 6630, 'placement': 1}]",,174,MODEL PERSEPSI PERILAKU ETIS ONLINE RETAIL TERHADAP NIAT PEMBELIAN ONLINE DENGAN RISIKO DAN KEPERCAYAAN SEBAGAI PEMEDIASI,article,"[{'name': {'lineage': None, 'family': 'Fihartini', 'honourific': None, 'given': 'Yuniarti'}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}]",,published,"['H1', 'HF']",http://repository.lppm.unila.ac.id/id/eprint/6630,2018-02-08 00:00:00.000000000,"Lingkungan belanja online dan offline menyajikan pengalaman belanja yang berbeda. Pada belanja online, konsumen berinteraksi dengan peritel di ruang maya tanpa adanya tatap muka, konsumen pun tidak dapat melihat dan memeriksa produk yang dibelinya secara fisik seperti yang terjadi pada belanja offline. Belanja online menimbulkan unsur ketidakpastian akan kualitas dan kinerja produk yang dibeli, layanan purna jual, keamanan e-transaction, privasi informasi pribadi, serta kredibilitas retail online. Hal tersebut memungkinkan terjadinya pelanggaran etika oleh retail online, adanya risiko pembelian yang dirasakan konsumen, dan unsur ketidakpercayaan konsumen pada retail online yang berasal dari perbedaan antara ekspektasi dan realisasi yang dirasakan konsumen serta berdampak pada niat pembelian onlinenya.
Tujuan penelitian ini adalah untuk menguji pengaruh persepsi perilaku etis online retail terhadap niat pembelian online konsumen melalui kepercayaan konsumen pada situs online dan risiko yang dirasakan konsumen yang memediasinya. Penelitian dilakukan secara survey dengan metode non-probability sampling dan teknik purposive sampling, terhadap 270 responden konsumen online di Bandar Lampung.
Hasil penelitian menunjukkan bahwa persepsi perilaku etis online retail berpengaruh secara tidak langsung terhadap niat pembelian online konsumen, yang dimediasi oleh kepercayaan konsumen pada situs online retail dan risiko yang dirasakan konsumen. Jika konsumen merasa situs online retail beretika, maka dapat menurunkan tingkat risiko belanja online yang dirasakan konsumen serta meningkatkan kepercayaan konsumen pada situs online retail yang berdampak pada semakin kuatnya niat konsumen untuk melakukan pembelian online

Kata Kunci :  Persepsi Perilaku Etis, Risiko Online, Kepercayaan Konsumen, Niat Pembelian Online",['Universitas Lampung'],,,['FEB6'],disk0/00/00/66/30,pub,8,public,2018-04-25 08:31:10,,,TRUE,,,,,,Prosiding Seminar Nasional Forum Pendidikan Tinggi Vokasi Indonesia (FPTVI) Tahun 2018: “Membangun Sinergi Penelitian Terapan Dengan Kebutuhan Pembangunan Daerah dan Dunia Industri”,,,,,,,,,,,,,,
5,show,2018-05-28 03:44:51,6940,,archive,,2018-05-28 03:44:51,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19910', 'pos': 1, 'eprintid': 6940, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'PROSIDING SEMINAR NASIONAL FPTVI 2018.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'a26c6ea7576a7a7c624b9416bf8c6219', 'fileid': 63570, 'datasetid': 'document', 'mtime': '2018-05-26 01:32:34', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/63570', 'filename': 'PROSIDING SEMINAR NASIONAL FPTVI 2018.pdf', 'filesize': 8573611, 'objectid': 19910}], 'docid': 19910}]",,174,MODEL PERSEPSI PERILAKU ETIS ONLINE RETAIL TERHADAP NIAT PEMBELIAN ONLINE DENGAN RISIKO DAN KEPERCAYAAN SEBAGAI PEMEDIASI,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Fihartini', 'given': 'Yuniarti'}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}]",,published,"['H1', 'HF']",http://repository.lppm.unila.ac.id/id/eprint/6940,2018-02-08 00:00:00.000000000,"Lingkungan belanja online dan offline menyajikan pengalaman belanja yang berbeda. Pada belanja
online, konsumen berinteraksi dengan peritel di ruang maya tanpa adanya tatap muka, konsumen pun
tidak dapat melihat dan memeriksa produk yang dibelinya secara fisik seperti yang terjadi pada belanja
offline. Belanja online menimbulkan unsur ketidakpastian akan kualitas dan kinerja produk yang dibeli,
layanan purna jual, keamanan e-transaction, privasi informasi pribadi, serta kredibilitas retail online.
Hal tersebut memungkinkan terjadinya pelanggaran etika oleh retail online, adanya risiko pembelian
yang dirasakan konsumen, dan unsur ketidakpercayaan konsumen pada retail online yang berasal dari
perbedaan antara ekspektasi dan realisasi yang dirasakan konsumen serta berdampak pada niat
pembelian onlinenya.
Tujuan penelitian ini adalah untuk menguji pengaruh persepsi perilaku etis online retail terhadap niat
pembelian online konsumen melalui kepercayaan konsumen pada situs online dan risiko yang dirasakan
konsumen yang memediasinya. Penelitian dilakukan secara survey dengan metode non-probability
sampling dan teknik purposive sampling, terhadap 270 responden konsumen online di Bandar
Lampung.
Hasil penelitian menunjukkan bahwa persepsi perilaku etis online retail berpengaruh secara tidak
langsung terhadap niat pembelian online konsumen, yang dimediasi oleh kepercayaan konsumen pada
situs online retail dan risiko yang dirasakan konsumen. Jika konsumen merasa situs online retail
beretika, maka dapat menurunkan tingkat risiko belanja online yang dirasakan konsumen serta
meningkatkan kepercayaan konsumen pada situs online retail yang berdampak pada semakin kuatnya
niat konsumen untuk melakukan pembelian online",['Universitas Lampung'],,Forum Pendidikan Tinggi Vokasi Indonesia (FPTVI) Tahun 2018,['FEB6'],disk0/00/00/69/40,pub,9,public,2018-05-28 03:44:51,,,TRUE,,,,385-405,978-602-51407-0-9,Prosiding Seminar Nasional Forum Pendidikan Tinggi Vokasi Indonesia (FPTVI) Tahun 2018: “Membangun Sinergi Penelitian Terapan Dengan Kebutuhan Pembangunan Daerah dan Dunia Industri”.,,,,,,,,,,,,,,
6,show,2019-05-14 08:17:50,12714,,archive,,2019-05-14 08:17:50,"[{'docid': 25696, 'main': 'PROCEEDING SEMNAS FEB 2018-Penyebab-Dan-Konsekuensi-Yuniarti-Fihartini-1.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/112434', 'filename': 'PROCEEDING SEMNAS FEB 2018-Penyebab-Dan-Konsekuensi-Yuniarti-Fihartini-1.pdf', 'objectid': 25696, 'filesize': 781540, 'mtime': '2019-05-10 15:55:06', 'hash_type': 'MD5', 'hash': 'cf2e5ce93dc7624ecde90452ad8702e4', 'mime_type': 'application/pdf', 'fileid': 112434, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 12714, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25696', 'security': 'public'}]",,174,"Penyebab Dan Konsekuensi Kepuasan Konsumen:
Suatu Perspektif Holistik Pengalaman Belanja Online",article,"[{'name': {'given': 'Yuniarti', 'family': 'Fihartini', 'lineage': None, 'honourific': None}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Dwi asri siti', 'lineage': None, 'given': 'ambarwati'}, 'id': 'dwiasrisitiambarwati@gmail.com'}, {'id': None, 'name': {'family': 'Karim', 'lineage': None, 'honourific': None, 'given': 'Mirwan'}}]",,published,['H1'],http://repository.lppm.unila.ac.id/id/eprint/12714,2018-11-15 00:00:00.000000000,"Belanja online menyajikan lingkungan dan suasana yang berbeda dengan belanja secara offline. Keterlibatan konsumen secara fisik, sensoris,rasional, dan emosional, dalam proses belanja online menciptakan pengalaman yangberbeda dengan belanja secara offline. Hal tersebut menjadi tantangan bagi bisnisonline dalam menciptakan pengalaman berbelanja yang dinamis, menarik, danbernilai seperti yang didapat konsumen dari toko offline, agar tercipta kepuasankonsumen dan berdampak pada loyalitasnya. Penelitian ini bertujuan untuk mengetahui penyebab dan hasil dari kepuasankonsumen online dengan mengidentifikasi faktor-faktor pengalaman belanja onlinesecara menyeluruh pada proses pembelian online mulai dari tahap pra-pembelian,tahap pembelian, dan tahap pasca-pembelian, menggunakan metode survei melaluiwawancara dan penyebaran kuesioner baik online maupun offline dengan tekniknon-probabilitysampling kepada konsumen yang pernah melakukan belanja padatoko online Lazada, sebanyak 450 responden. Pengujian hipotesis penelitian inidilakukan secara multivariate dengan teknik analisis data menggunakan StructuralEquation Model (SEM) pada aplikasi Amos. Hasilpenelitian ini menunjukkan bahwa dimensi-dimensi dari tiga tahapanpengalaman belanja online mulai dari tahap pra pembelian, tahap pembelian, dantahap setelah pembelian terbukti memiliki pengaruh terhadap kepuasan kosumendalam berbelanja online yang berdampak pada loyalitas konsumen konsumen padatoko online. Secara keseluruhan bahwa kepuasan konsumen online terbentuk daripengalaman positif dalam tiga tahap belanja online tersebut. Pengalaman atas kualitasinformasi produk yang disajukan pada website took online, penampilan website, dankemudahan menyelesaikan transaksi paling dominan dalam membentuk kepuasankonsumen online.",['Universitas Lampung'],,"Fakultas Ekonomi dan Bisnis, Universitas Lampung",['FEB6'],disk0/00/01/27/14,pub,9,public,2019-05-14 08:17:50,,,TRUE,,,,204-214,978-602-53436-1-2,Prosiding Penelitian: Seminar Nasional Fakultas Ekonomi dan Bisnis Universitas Lampung,,,,,,,,,,,,,,
7,show,2020-07-24 00:56:23,23346,,archive,http://repository.lppm.unila.ac.id/id/eprint/7528,2020-07-24 00:56:23,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Similarity Check  Financial Performance Small Versus Larges Listed Companies in Indonesia IFA 4.pdf', 'files': [{'hash': 'bb1a8db3028664ff835c21ea426a1dc2', 'mime_type': 'application/pdf', 'fileid': 213569, 'datasetid': 'document', 'mtime': '2020-07-23 08:47:26', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/213569', 'filename': 'Similarity Check  Financial Performance Small Versus Larges Listed Companies in Indonesia IFA 4.pdf', 'objectid': 36940, 'filesize': 3486742}], 'docid': 36940, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36940', 'eprintid': 23346, 'placement': 1}]",,1031,Financial Performance Small Versus Larges Listed Companies in Indonesia. International Finance Association. (Unpublished),other,"[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",Bandar Lampung,published,['HG'],http://repository.lppm.unila.ac.id/id/eprint/23346,1970-01-01 00:00:00.000002018,"SIMILARITY CHECK:
This study aims to continue the results of previous studies on the Indonesia Stock Exchange, which large companies provide greater returns than small companies. This is in contrast to previous research results in several countries and world stock markets. Based on these findings, the question arises, Is a large company that produces a larger return compared with a small company supported by good financial performance as well? The study was conducted using the same data and period with the previous research. The selected sample of 60 companies is separated into small companies and large companies during 2013-2015. The results found that large companies generally had better financial performance and lower financial risk than small companies. In addition to financial performance, the good performance of large companies is also due to the balanced composition of ownership structure. Keywords: Small Companies, Larges Companies, Financial Performace, ownership structure",['Universitas Lampung'],[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/7528'}],IFA,['FEB6'],disk0/00/02/33/46,pub,7,public,2020-07-24 00:56:23,,,,,,,,,,,,,,,,,,,,,,,
8,show,2020-11-22 11:50:26,26585,,archive,http://repository.lppm.unila.ac.id/id/eprint/12165,2020-11-22 11:50:26,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'filesize': 568156, 'objectid': 40482, 'filename': '10. Reviewer Hubungan dewan direksi dan kinerja keu perusahaan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238999', 'hash_type': 'MD5', 'mtime': '2020-11-22 05:37:56', 'datasetid': 'document', 'fileid': 238999, 'hash': '7d50aa6364912efaa0bdcb78ee499c4e', 'mime_type': 'application/pdf'}], 'main': '10. Reviewer Hubungan dewan direksi dan kinerja keu perusahaan.pdf', 'docid': 40482, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40482', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26585}]","[{'name': {'honourific': None, 'lineage': None, 'family': 'Hasnawati', 'given': 'Sri'}}]",1031,"Form Penilaian Reviewer, Hubungan Dewan Direksi dan kinerja keuangan perusahaan kapitalisasi kecil di BEI",other,"[{'name': {'honourific': None, 'family': 'Hasnawati', 'lineage': None, 'given': 'Sri'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",INDONESIA,published,['HG'],http://repository.lppm.unila.ac.id/id/eprint/26585,2018-11-01 00:00:00.000000000,"Form Penilaian reviewer: This study aims to see the relation between the number of board directors and the financial performance of small companies that have small capital values on the Indonesia Stock Exchange. The observation was carried out in the year of 2012 to 2014. The research population was all public companies in Indonesia. The samples were sorted out from the highest to the lowest capital values by using the 2015 data. A number of 50 shares that have the lowest capital value were used as samples. As many as 27 companies had fulfilled the selection requirements and became the research samples. The result of the study shows that the company's financial performance in generating profits is quite high (25%). With an average number of three board directors, the small capital firms are able to contribute positively to the company's financial performance.",['Universitas Lampung'],[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/12165'}],FMI- Palembang,['FEB6'],disk0/00/02/65/85,pub,7,public,2020-11-22 11:50:26,,,,,,,,,,,,,,,,,,,,,,,
9,show,2020-11-22 11:50:45,26589,,archive,http://repository.lppm.unila.ac.id/id/eprint/12138,2020-11-22 11:50:45,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 40487, 'main': '12. Reviewer Financial performance small versus.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/239028', 'filename': '12. Reviewer Financial performance small versus.pdf', 'objectid': 40487, 'filesize': 559185, 'mtime': '2020-11-22 06:08:36', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '2708d2a8c3ce555399f79055805791fe', 'datasetid': 'document', 'fileid': 239028}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40487', 'pos': 1, 'eprintid': 26589, 'placement': 1}]","[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}}]",1031,Form Penilaian Reviewer: Financial Performance small versos large listed companies in Indonesia.,other,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Hasnawati', 'given': 'Sri'}}]",Bandar lampung Indonesia,published,['HG'],http://repository.lppm.unila.ac.id/id/eprint/26589,1970-01-01 00:00:00.000002018,"Form Penilaian Reviewer; This study aims to continue the results of previous studies on the Indonesia Stock Exchange, which large companies provide greater returns than small companies. This is in contrast to previous research results in several countries and world stock markets. Based on these findings, the question arises, Is a large company that produces a larger return compared with a small company supported by good financial performance as well? The study was conducted using the same data and period with the previous research. The selected sample of 60 companies is separated into small companies and large companies during 2013-2015. The results found that large companies generally had better financial performance and lower financial risk than small companies. In addition to financial performance, the good performance of large companies is also due to the balanced composition of ownership structure.",['Universitas lampung'],[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/12138'}],IFA- Unila,['FEB6'],disk0/00/02/65/89,pub,7,public,2020-11-22 11:50:45,,,,,,,,,,,,,,,,,,,,,,,
