,event_type,divisions,dir,rev_number,ispublished,full_text_status,status_changed,date_type,subjects,event_title,date,uri,abstract,title,refereed,event_dates,pres_type,type,creators,event_location,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,documents,userid,pagerange,number,publication,volume,related_url,official_url,contributors,publisher,issn,corp_creators,place_of_pub,id_number,contact_email,succeeds,referencetext,isbn,pages,book_title,editors,funders,keywords,projects
0,conference,['FEB6'],disk0/00/02/49/93,7,submitted,public,2020-11-12 02:18:33,submitted,['H1'],The 3rd International Conference of Economic and Business Entrepreneurship,2020-08-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24993,"A small number of Muslims who use Syariah banks, indicating that there are still many Muslim communities in Indonesia who do not understand the nature of Syariah banks. The purpose of this research is to examine the effect of marketing communication on the awareness and intention of customers of Syariah banks. This study used a survey method with college student respondents in Bandar Lampung. The sample was taken using non-probability sampling. Data analysis was performed using SEM. The results showed that marketing communications able to provide information to students were advertising (advertisements, brochures, signboards, and banners) and direct marketing (websites Syariah bank). Marketing communication affects customer intention to use Syariah bank products and awareness partially mediating the effect of marketing communication on customer intention to use Syariah bank products. This research is important for policymakers at Syariah banks to determine marketing communication strategies, especially for millennials.","The Customer Awareness and Intention of Syariah Bank:
The Role of Marketing Communications",TRUE,1 Oktober 2020,paper,conference_item,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">ocha.lina77@gmail.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">habibullah.jimad@gmail.com,</font></font>', 'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","Hotel Horison, Bandar Lampung",show,2020-11-12 02:18:33,archive,24993,2020-11-12 02:18:33,"[{'format': 'text', 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '5b57df097638bfb4cce57154b038df14', 'datasetid': 'document', 'fileid': 226373, 'filename': 'ICEBE2020_paper_88_rev.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/226373', 'filesize': 55898, 'objectid': 38758, 'mtime': '2020-11-11 13:41:32', 'hash_type': 'MD5'}], 'main': 'ICEBE2020_paper_88_rev.docx', 'docid': 38758, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'rev_number': 1, 'eprintid': 24993, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38758', 'pos': 1}]",588,,,,,,,,,,,,,,,,,,,,,,
1,conference,['FEB6'],disk0/00/02/51/05,7,submitted,public,2020-11-13 01:22:05,submitted,['H1'],"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Konferensi Internasional Kewirausahaan Ekonomi dan Bisnis ke-3</font></font>",2020-08-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/25105,"A small number of Muslims who use Syariah banks, indicating that there are still many Muslim communities in Indonesia who do not understand the nature of Syariah banks. The purpose of this research is to examine the effect of marketing communication on the awareness and intention of customers of Syariah banks. This study used a survey method with college student respondents in Bandar Lampung. The sample was taken using non-probability sampling. Data analysis was performed using SEM. The results showed that marketing communications able to provide information to students were advertising (advertisements, brochures, signboards, and banners) and direct marketing (websites Syariah bank). Marketing communication affects customer intention to use Syariah bank products and awareness partially mediating the effect of marketing communication on customer intention to use Syariah bank products. This research is important for policymakers at Syariah banks to determine marketing communication strategies, especially for millennials",The Customer Awareness and Intention of Syariah Bank:The Role of Marketing Communications,TRUE,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">1 Oktober 2020</font></font>",paper,conference_item,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">ocha.lina77@gmail.com</font></font>'}, {'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">habibullah.jimad@gmail.com,</font></font>'}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Hotel Horison, Bandar Lampung</font></font>",show,2020-11-13 01:22:05,archive,25105,2020-11-13 01:22:05,"[{'eprintid': 25105, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38891', 'pos': 1, 'format': 'text', 'main': 'ICEBE2020_paper_88_rev_ok.docx', 'docid': 38891, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/227218', 'filename': 'ICEBE2020_paper_88_rev_ok.docx', 'objectid': 38891, 'filesize': 49002, 'mtime': '2020-11-12 15:28:01', 'hash_type': 'MD5', 'hash': 'd4b8fa7c50676cf0bf57b4b0c2b61359', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 227218, 'datasetid': 'document'}], 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1}]",588,,,,,,,,,,,,,,,,,,,,,,
2,,['FEB6'],disk0/00/02/64/94,6,pub,public,2020-11-20 08:06:45,published,['AC'],,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/26494,"The aim of the current study is to examine the effects of ethical leadership and employee commitment on employee work passion. The data was collected from employees of public sector organizations currently operating in Indonesia. As a survey study, 500 self-administered questionnaires were distributed to a targeted sample. Participation in the study was volunteer by the targeted sample. Partial least square structural equation modelling (PLS-SEM) was used with the help of Smart PLS for hypotheses testing. The results of the study showed that ethical leadership and employee commitment were found to affect employee work passion significantly. This study is essential for the management of public sector organizations especially in Indonesia as it guides to increase work passion in employees with the help of both social and personal factors. By providing a safe environment for employees along with autonomy and mental security, organizations can enhance work passion.
Key words: ethical leadership, employee commitment, psychological safety, employee work passion, public sector organizations.",EFFECTS OF ETHICAL LEADERSHIP AND EMPLOYEE COMMITMENT ON EMPLOYEES’ WORK PASSION,TRUE,,,article,"[{'name': {'given': 'Ayi', 'honourific': None, 'lineage': None, 'family': 'Ahadiat'}}, {'name': {'lineage': None, 'family': 'Dacko', 'honourific': None, 'given': 'Pikiewicz Z'}}]",,show,2020-11-20 08:06:45,archive,26494,2020-11-20 08:06:45,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/40378', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26494, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 40378, 'main': '1. EFFECTS OF ETHICAL LEADERSHIP.pdf', 'files': [{'mtime': '2020-11-20 07:53:32', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238343', 'filename': '1. EFFECTS OF ETHICAL LEADERSHIP.pdf', 'objectid': 40378, 'filesize': 679605, 'mime_type': 'application/pdf', 'hash': 'a1d4544ffcdf29461d9f0bde85cd17f7', 'fileid': 238343, 'datasetid': 'document'}], 'format': 'text'}]",384,24-35,2,POLISH JOURNAL OF MANAGEMENT STUDIES,21,,,,,,,,,,,,,,,,,,
3,,['FEB6'],disk0/00/02/64/95,6,pub,public,2020-11-20 08:07:15,published,['AC'],,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/26495,"It is well known that entrepreneurial characteristics such as passion, creativity, the role of knowledge, social skills and the power of risk-taking are very essential to become a successful entrepreneur and success of the companies. The given study has the primary aim to analyze the role of entrepreneurs' characteristics such as the role of creativity and autonomy on banking sector entrepreneurial intentions with the help of religiosity as a mediating variable and Islamic finance knowledge as a moderator. The data of the given study regarding characteristics and its impact on the banking sector has been collected from Indonesian banks and especially from Islamic banks. Almost 426 employees are there from whom the data is collected, out of 55% were male respondents and 45% were female respondents. The questionnaire distribution technique has been used for the data collection purpose. Some of the questionnaires also sent through email to get the responses. Besides this, under the analysis section most significant tests are applied such as SEM, CFA, KMO and descriptive analysis test for gender information. The results and tables of findings have provided the detail that the entrepreneur's characteristics have a positive impact on entrepreneurial intentions. At the same time, the moderator and mediator both have significant roles. In the end, some of the limitations have discussed to improve them in further researchers.
Keywords: Autonomy, Creativity, Entrepreneurial intentions, Religiosity, Islamic financing knowledge.",Leading Entrepreneur' Personality towards Entrepreneurial Intentions in Banking Sector through Religiosity in Indonesia: Moderating Role of Islamic Financing Knowledge,TRUE,,,article,"[{'id': None, 'name': {'given': 'Ayi', 'family': 'Ahadiat', 'lineage': None, 'honourific': None}}, {'id': 'pr1nch1t4@yahoo.com', 'name': {'given': 'MAHRINASARI', 'family': 'MS', 'lineage': None, 'honourific': None}}]",,show,2020-11-20 08:07:15,archive,26495,2020-11-20 08:07:15,"[{'main': ""Leading Entrepreneur' Personality.pdf"", 'files': [{'filename': ""Leading Entrepreneur' Personality.pdf"", 'uri': 'http://repository.lppm.unila.ac.id/id/file/238360', 'filesize': 484139, 'objectid': 40379, 'mtime': '2020-11-20 07:57:59', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '8c39635793ff4233b603b451b47ea714', 'fileid': 238360, 'datasetid': 'document'}], 'docid': 40379, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 26495, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40379', 'pos': 1, 'security': 'public'}]",384,1489-1501,1,Talent Development & Excellence,12,,,,,,,,,,,,,,,,,,
4,conference,['FEB6'],disk0/00/04/06/07,7,pub,public,2022-03-30 09:31:59,published,['H1'],ICEBE 2020: Proceedings of the First International Conference of Economics,2020-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40607,"The two largest strategic groups of Indonesia Banking show an intense competition recently. While
BCA is the largest market capitalization in Indonesian stock market, state-owned banks should set the
appropriate strategies to capture larger market. The aim of this study is to analyze the strategies from the
banking strategic groups in Indonesia, particularly strategy in improving the third party funds and total credit,
and  in which state-owned banks is proxied by BRI, and private-owned banks is represented by BCA. The
method applied in this study is by implementing game theory approach to identify the best strategies based on
other players’ movement. The findings suggest that Pure Strategy Nash Equilibrium 1 of Game 1 is to increase
the deposit segment for each bank and Pure Strategy Nash Equilibrium 2 in Game 2 suggests to focus more on
increasing credits on the sector of micro business. 
Keywords: State-owned banks, Game theory, Banking strategy, Firm Performance",Analysis of Strategic Group of State-Owned Banks VS Private Owned Banks: Application of Game Theory,TRUE,,paper,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ahadiat', 'given': 'Ayi'}, 'id': None}, {'id': 'Wan_abbas@yahoo.com', 'name': {'lineage': None, 'family': 'Zakaria', 'honourific': None, 'given': 'Wan Abbas'}}, {'id': None, 'name': {'given': 'Ribhan', 'lineage': None, 'family': 'Ribhan', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Kesumah', 'honourific': None, 'given': 'Fajrin Satria Dwi'}, 'id': None}]",,show,2022-03-30 09:31:59,archive,40607,2022-03-30 09:31:59,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/161971', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 40607, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Analysis strategic Group_Ribhan.pdf', 'docid': 161971, 'files': [{'mime_type': 'application/pdf', 'hash': '38784e317ac17eed7a1f659f22cb9e72', 'fileid': 452312, 'datasetid': 'document', 'filename': 'Analysis strategic Group_Ribhan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/452312', 'objectid': 161971, 'filesize': 309675, 'mtime': '2022-03-28 07:05:09', 'hash_type': 'MD5'}], 'format': 'text'}]",404,,,,,[{'url': 'https://sinta.ristekbrin.go.id/author/?mod=profile&p=publications#!'}],https://eprints.eudl.eu/id/eprint/3292/1/eai.1-10-2020.2305003.pdf,,,,,,,,,,,,,,,,
5,,['FEB6'],disk0/00/02/44/85,6,pub,public,2020-11-05 01:11:05,published,['H1'],,2020-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24485,The Research aims to determine the relationship between services qualities and repurchase intention with customer satisfaction as mediator variable on e-commerce in Indonesia. Data were obtained from 162 respondents by using close and self administration types of questions. The respondent independently filled the given questionnaires with the likert scale and structural equation model (SEM) was use for analysis. The findings show that customer satisfaction variable is a mediation of web service quality and repurchase intention on e-commerce in Indonesia,The Mediation Relationship of Customer Satisfaction Between Service Quality and Repurchase Intention on E-Commerce in Indonesia,TRUE,,,article,"[{'id': 'aida.fakultasekonomi@gmail.com', 'name': {'given': 'Aida Sari', 'lineage': None, 'family': 'Aida Sari', 'honourific': None}}, {'name': {'family': 'Ambarwati', 'lineage': None, 'honourific': None, 'given': 'Dwi Asri Siti'}, 'id': 'dwiasrisitiambarwati@gmail.com'}, {'name': {'honourific': None, 'family': 'Ramelan', 'lineage': None, 'given': 'Mudji Rachmat'}, 'id': 'muji@feb.unila.ac.id'}]",,show,2020-11-05 01:11:05,archive,24485,2020-11-05 01:11:05,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 222562, 'mime_type': 'application/pdf', 'hash': '26241a179494bc95021d34f150af0303', 'hash_type': 'MD5', 'mtime': '2020-11-04 06:06:58', 'filesize': 180062, 'objectid': 38219, 'filename': 'publikasi trisakti.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/222562'}], 'main': 'publikasi trisakti.pdf', 'docid': 38219, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 24485, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38219'}]",238,137-150,1,Jurnal Manajemen dan Pemasaran Jasa,13,,https://trijurnal.lemlit.trisakti.ac.id/,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",Lembaga Penelitian Trisakti,2442 - 9732,,,,,,,,,,,,,
6,conference,['FEB6'],disk0/00/02/44/59,7,pub,public,2020-11-02 04:20:38,published,['H1'],"The3rd International Conference of Economics, Business and Entrepreneurship",2020-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24459,"Abstract. The aim of this study is to examine consumer perceptions that make consumers hold up or feel comfortable for a long time on web store as a results of layout on online store. This study conducts three types of layout through experimental studies. It also examines the effects of differences in layout on the perceived usefulness of consumers, perceived convenience by consumers, and entertainment and time spent by consumers on online store by using products derived from the production of several MSMEs in Lampung. The findings show that the benefits perceived by consumers will be better if the design used is the tree layout; the perceived ease for consumers will be better if using the pipeline layout; and entertainment is better to use the guiding pathway layout design.
Keywords: online shop, layout, tree layout, pipeline layout, guiding pathway layout.",Experimental Study on Design Layout of Online Store for Lampung Products in Indonesia,TRUE,01 Oktober 2020,paper,conference_item,"[{'name': {'lineage': None, 'family': 'Aida Sari', 'honourific': None, 'given': 'Aida Sari'}, 'id': 'aida.fakultasekonomi@gmail.com'}, {'id': 'dwiasrisitiambarwati@gmail.com', 'name': {'lineage': None, 'family': 'Ambarwati', 'honourific': None, 'given': 'Dwi Asri Siti'}}, {'id': 'muji@feb.unila.ac.id', 'name': {'given': 'Mudji Rachmat', 'family': 'Ramelan', 'lineage': None, 'honourific': None}}, {'id': 'nuzulinasnabilaa@gmail.com', 'name': {'honourific': None, 'family': 'Nabila', 'lineage': None, 'given': 'Nuzul Inas'}}]",Bandar lampung,show,2020-11-02 04:20:38,archive,24459,2020-11-02 04:20:38,"[{'format': 'text', 'main': 'icebe 3rd AIDASARI- 3rd-rev-29-10-2020.docx', 'docid': 38194, 'files': [{'hash': '01a09a3624775dd4c3246c7d8746adf0', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'datasetid': 'document', 'fileid': 222376, 'filename': 'icebe 3rd AIDASARI- 3rd-rev-29-10-2020.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/222376', 'objectid': 38194, 'filesize': 37026, 'mtime': '2020-11-02 03:48:49', 'hash_type': 'MD5'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'eprintid': 24459, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38194'}]",238,,,,,[{'url': 'https://icebeconference.org/'}],http://feb.unila.ac.id/event/international-conference-of-economics-business-and-entrepreneurship-icebe-2020-2/,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,,,,,,
7,,['FEB6'],disk0/00/02/04/87,9,pub,restricted,2020-05-26 01:55:46,published,['HF'],,2020-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20487,"This research aims to determine the relationship between service qualities and repurchase intention with customer satisfaction as the mediator variable on e-commerce in Indonesia. Data were obtained from 162 respondents by using close and selfadministered types of questions. The respondents independently filled the given questionnaires with the Likert scale and Structural Equation Model (SEM) was used for analysis. The findings show that customer satisfaction variable is a mediation of web service quality and repurchase intention on e-commerce in Indonesia. 
 
Keywords: customer satisfaction; e-commerce; repurchase intention; website service quality",The mediation relationship of customer satisfaction between service quality and repurchase intention on  e-commerce in Indonesia,TRUE,,,article,"[{'name': {'given': 'Aida Sari', 'family': 'Aida Sari', 'lineage': None, 'honourific': None}, 'id': 'aida.fakultasekonomi@gmail.com'}, {'id': 'dwiasrisitiambarwati@gmail.com', 'name': {'given': 'ambarwati', 'honourific': None, 'family': 'Dwi asri siti', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Mudji', 'lineage': None, 'given': 'Ramelan'}, 'id': 'muji@feb.unila.ac.id'}]",,show,2020-05-26 01:55:46,archive,20487,2020-05-26 01:55:46,"[{'main': 'jasa', 'files': [{'mtime': '2020-05-26 00:45:45', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/192463', 'filename': 'jasa', 'filesize': 50238, 'objectid': 33837, 'hash': 'fb1caa7c93d57181ae49b2a82a5f2e3d', 'mime_type': 'text/html', 'fileid': 192463, 'datasetid': 'document'}], 'docid': 33837, 'format': 'text', 'language': 'en', 'mime_type': 'text/html', 'rev_number': 4, 'content': 'published', 'placement': 1, 'eprintid': 20487, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33837', 'pos': 1, 'security': 'validuser'}, {'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published', 'files': [{'filesize': 538795, 'objectid': 33838, 'filename': '6102-21061-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/192465', 'hash_type': 'MD5', 'mtime': '2020-05-26 00:46:29', 'fileid': 192465, 'datasetid': 'document', 'hash': '9aab6cac975587553c0cc9294b5dffab', 'mime_type': 'application/pdf'}], 'main': '6102-21061-1-PB.pdf', 'docid': 33838, 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33838', 'security': 'public', 'placement': 2, 'eprintid': 20487}]",116,137-150,1,Jurnal Manajemen dan Pemasaran Jasa,13,"[{'type': 'org', 'url': 'https://trijurnal.lemlit.trisakti.ac.id/jasa/article/view/6102/5375'}]",https://trijurnal.lemlit.trisakti.ac.id/jasa/issue/view/754,,Lembaga Penelitian Trisakti,2442 - 9732,,,,,,,,,,,,,
8,,['FEB6'],disk0/00/04/25/98,6,pub,public,2022-06-20 01:20:41,,['AC'],,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/42598,"Some companies have various strategies to build the strong value of the companies’ brand image so that the consumers intend to buy the products through strengthening sales promotion, product quality, and empowering the use of celebrity endorsers. Therefore, the purpose of this study is to analyze the effect of sales promotion, product quality, and celebrity endorser in building Brand Image to trigger purchase intention so that the main objective of this research is to examine the role of the mediating effect of Brand Image.
The number of respondents in this study was 200 respondents by implementing a
probability sampling technique. By implementing Multiple regression analysis, the results of this study show that sales promotion, product quality, and celebrity endorsers affect brand image, and brand image has a mediating role in boosting consumer purchase intention. Celebrity endorser has the highest influence on brand image. The higher brand image has, the higher purchase intention will be created due to the more attractive celebrity endorser role, then followed by intensive sales promotions and high product quality.","The Mediating Role of Brand Image in the Effect of Sales Promotion, Product Quality, and Celebrity Endorser on Purchase Intention",TRUE,,,article,"[{'name': {'given': 'Rizki', 'family': 'Akbari', 'lineage': None, 'honourific': None}, 'id': 'riski@gmail.com'}, {'name': {'family': 'Mahrinasari', 'lineage': None, 'honourific': None, 'given': 'Mahrinasari'}, 'id': 'mahrinasari@feb.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Pandjaitan', 'honourific': None, 'given': 'Dorothy Rouly H.'}, 'id': 'dorothy_rouly@yahoo.com'}]",,show,2022-06-20 01:20:41,archive,42598,2022-06-20 01:20:41,"[{'files': [{'hash': 'a14751e4c27a3b199f390f80b8cda03a', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 467584, 'uri': 'http://repository.lppm.unila.ac.id/id/file/467584', 'filename': 'Reviwer The Mediating Role of Brand Image in the Effect of sales_Dorothy_merged (4).pdf', 'objectid': 164311, 'filesize': 1620438, 'mtime': '2022-06-18 06:48:35', 'hash_type': 'MD5'}], 'main': 'Reviwer The Mediating Role of Brand Image in the Effect of sales_Dorothy_merged (4).pdf', 'docid': 164311, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 42598, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164311', 'pos': 1, 'security': 'public'}]",253,272-282,10,"The Mediating Role of Brand Image in the Effect of Sales Promotion, Product Quality, and Celebrity Endorser on Purchase Intention",22,,https://jusst.org/wp-content/uploads/2020/10/The-Mediating-Role-of-Brand-Image-in-the-Effect-of-Sales-Promotion-3-1.pdf,,Jusst,272-282,,,,,,,,,,,,,
9,,['FEB6'],disk0/00/04/25/99,6,pub,public,2022-06-20 01:20:43,published,['AC'],,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/42599,"Some companies have various strategies to build the strong value of the companies’ brand image so that the consumers intend to buy the products through strengthening sales promotion, product quality, and empowering the use of celebrity endorsers. Therefore, the purpose of this study is to analyze the effect of sales promotion, product quality, and celebrity endorser in building Brand Image to trigger purchase intention so that the main objective of this research is to examine the role of the mediating effect of Brand Image.
The number of respondents in this study was 200 respondents by implementing a
probability sampling technique. By implementing Multiple regression analysis, the results of this study show that sales promotion, product quality, and celebrity endorsers affect brand image, and brand image has a mediating role in boosting consumer purchase intention. Celebrity endorser has the highest influence on brand image. The higher brand image has, the higher purchase intention will be created due to the more attractive celebrity endorser role, then followed by intensive sales promotions and high product quality.","The Mediating Role of Brand Image in the Effect of Sales Promotion, Product Quality, and Celebrity Endorser on Purchase Intention",TRUE,,,article,"[{'name': {'lineage': None, 'family': 'Akbari', 'honourific': None, 'given': 'Rizki'}, 'id': 'riski@gmail.com'}, {'id': 'mahrinasari@feb.unila.ac.id', 'name': {'given': 'Mahrinasari', 'lineage': None, 'family': 'Mahrinasari', 'honourific': None}}, {'id': 'dorothy_rouly@yahoo.com', 'name': {'given': 'Dorothy Rouly H.', 'honourific': None, 'lineage': None, 'family': 'Pandjaitan'}}]",,show,2022-06-20 01:20:43,archive,42599,2022-06-20 01:20:43,"[{'main': 'turnitin The Mediating Role of Brand Image in the Effect of Sales Promotion, Product Quality, and Celebrity Endorser on Purchase Intention.pdf', 'files': [{'objectid': 164312, 'filesize': 2509287, 'uri': 'http://repository.lppm.unila.ac.id/id/file/467590', 'filename': 'turnitin The Mediating Role of Brand Image in the Effect of Sales Promotion, Product Quality, and Celebrity Endorser on Purchase Intention.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-18 07:01:24', 'fileid': 467590, 'datasetid': 'document', 'hash': '9a79bd4b1246b221ae45350c0f7d3fe6', 'mime_type': 'application/pdf'}], 'docid': 164312, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 42599, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164312', 'pos': 1, 'security': 'public'}]",253,272-282,10,"The Mediating Role of Brand Image in the Effect of Sales Promotion, Product Quality, and Celebrity Endorser on Purchase Intention",22,,https://jusst.org/wp-content/uploads/2020/10/The-Mediating-Role-of-Brand-Image-in-the-Effect-of-Sales-Promotion-3-1.pdf,,JSST,1007-6735,,,,,,,,,,,,,
