,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,number,lastmod,official_url,documents,creators,type,title,refereed,date_type,subjects,abstract,corp_creators,volume,uri,date,related_url,publisher,dir,publication,divisions,issn,full_text_status,status_changed,rev_number,ispublished,event_title,event_type,event_location,pres_type,contributors
0,2017-05-29 05:32:34,archive,1758,show,505-518,733,2.0,2017-05-29 05:32:38,https://e-jurnal.stielampung.net/index.php/gem/article/view/110/55,"[{'main': '110-13-269-1-10-20170520.pdf', 'files': [{'objectid': 1620, 'filesize': 324196, 'uri': 'http://repository.lppm.unila.ac.id/id/file/12155', 'filename': '110-13-269-1-10-20170520.pdf', 'hash_type': 'MD5', 'mtime': '2017-05-28 07:17:32', 'fileid': 12155, 'datasetid': 'document', 'hash': '1cac8a4daac8b99a955b92bbe26e3f6b', 'mime_type': 'application/pdf'}], 'docid': 1620, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 1758, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1620', 'security': 'public'}]","[{'id': 'yuniaamelia@yahoo.com', 'name': {'honourific': None, 'family': 'Amelia', 'lineage': None, 'given': 'Yunia'}}]",article,Framming Efect Sebagai Determinat Esklasi Komitmen Manajer Dalam Keputusan Investasi:Dampak Dari Latar Belakang Pendidikan Akuntansi dan Non Akuntansi,TRUE,published,"['HB', 'HF', 'HF5601', 'HG']","Penelitian ini  ingin mengkonfirmasi bahwa efek pembingkaian berpengaruh sebagai
determinan eskalasi komitmen,  namun hal ini t ergant ung dari latar belakang
pendidikan para subyek. Penelitian ini bertujuan untuk menguji secara empiris
apakah lat ar belakang pendidikan dari seorang manajer (akunt ansi vs non
akuntansi) berpengaruh terhadap pilihan keputusan eskalasi komitmen yang diambil
seorang manajer yang mengalami efek pembingkaian (framming effect)? Penelitian ini
menggunakan rancangan eksperimen, dengan faktorial 2 x 2. Variabel independen
(faktor-faktor) adalah pembingkaian pilihan keputusan secara negatif dan positif dan Latar
belakang pendidikan. Subyek yang berpartisipasi dalam eksperimen ini sebanyak 100
orang dikelompokkan atas dua kelompok. Subyek yang  berasal dari latar belakang
pendidikan non akuntansi terdiri dari 50 orang yang diambil dari para mahasiswa fakultas
hukum sebuah perguruan tinggi, sedangkan Subyek yang  berasal dari latar belakang
pendidikan akuntansi diambil dari para mahasiswa program S1 jurusan akuntansi pada
sebuah perguruan tinggi. Tanggapan atas kuesioner oleh para subyek penelitian dianalisis
dengan ANOVA faktorial 2 x 2 dengan jenis bingkai keputusan dan tingkat latar belakang
pendidikan sebagai variabel-variabel between-subjects dan keputusan melanjutkan
proyek sebagai variabel dependen. Hasil penelitian ini konsisten dengan penelitian
Schoorman et al. (1994) yang mendapatkan efek pembingkaian tidak berpengaruh
terhadap eskalasi komitmen, namun berbeda dengan penelitian Schoorman et al. Manajer
atau subyek yang berlatar belakang akuntansi memperlihatkan kecenderungan yang kuat
untuk melanjutkan proyek.
Penelitian ini  ingin mengkonfirmasi bahwa efek pembingkaian berpengaruh sebagai
determinan eskalasi komitmen,  namun hal ini t ergant ung dari latar belakang
pendidikan para subyek. Penelitian ini bertujuan untuk menguji secara empiris
apakah lat ar belakang pendidikan dari seorang manajer (akunt ansi vs non
akuntansi) berpengaruh terhadap pilihan keputusan eskalasi komitmen yang diambil
seorang manajer yang mengalami efek pembingkaian (framming effect)? Penelitian ini
menggunakan rancangan eksperimen, dengan faktorial 2 x 2. Variabel independen
(faktor-faktor) adalah pembingkaian pilihan keputusan secara negatif dan positif dan Latar
belakang pendidikan. Subyek yang berpartisipasi dalam eksperimen ini sebanyak 100
orang dikelompokkan atas dua kelompok. Subyek yang  berasal dari latar belakang
pendidikan non akuntansi terdiri dari 50 orang yang diambil dari para mahasiswa fakultas
hukum sebuah perguruan tinggi, sedangkan Subyek yang  berasal dari latar belakang
pendidikan akuntansi diambil dari para mahasiswa program S1 jurusan akuntansi pada
sebuah perguruan tinggi. Tanggapan atas kuesioner oleh para subyek penelitian dianalisis
dengan ANOVA faktorial 2 x 2 dengan jenis bingkai keputusan dan tingkat latar belakang
pendidikan sebagai variabel-variabel between-subjects dan keputusan melanjutkan
proyek sebagai variabel dependen. Hasil penelitian ini konsisten dengan penelitian
Schoorman et al. (1994) yang mendapatkan efek pembingkaian tidak berpengaruh
terhadap eskalasi komitmen, namun berbeda dengan penelitian Schoorman et al. Manajer
atau subyek yang berlatar belakang akuntansi memperlihatkan kecenderungan yang kuat
untuk melanjutkan proyek.",['Universitas Lampung'],4.0,http://repository.lppm.unila.ac.id/id/eprint/1758,2014-08-01 00:00:00.000000000,"[{'url': 'https://e-jurnal.stielampung.net/index.php/gem/article/view/110/55', 'type': 'pub'}]",lppm Stie Prasetiya Mandiri Lampung,disk0/00/00/17/58,Jurnal Ilmiah GEMA EKONOMI,['FEB4'],2087-4324,public,2017-05-29 05:32:38,11,pub,,,,,
1,2020-11-10 11:32:29,archive,24854,show,,175,,2020-11-10 11:32:29,http://repository. I ppm .unila.ac. id/159/1 /ISEA _8%28 4%29%202014.pdf,"[{'placement': 1, 'eprintid': 24854, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38600', 'pos': 1, 'security': 'public', 'docid': 38600, 'main': 'PENILAIAN REVIEWER COMPARATION.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-10 09:12:34', 'objectid': 38600, 'filesize': 395589, 'uri': 'http://repository.lppm.unila.ac.id/id/file/225219', 'filename': 'PENILAIAN REVIEWER COMPARATION.pdf', 'datasetid': 'document', 'fileid': 225219, 'mime_type': 'application/pdf', 'hash': 'ab14ce47d696526f9f5fc9d13edee2fc'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]","[{'name': {'given': 'Yuztitya', 'honourific': None, 'family': 'Asmaranti', 'lineage': None}, 'id': 'yuztitya@yahoo.com'}, {'name': {'given': 'Lindrianasari', 'honourific': None, 'family': 'Lindrianasari', 'lineage': None}, 'id': 'sari_170870@yahoo.com'}]",other,Comparation  of Greenhouse Gas Emission  Disclosure  Before and After Enactment of the Indonesia Act No.  17 of2004,,published,['HG'],,,,http://repository.lppm.unila.ac.id/id/eprint/24854,1970-01-01 00:00:00.000002014,,Indonesian Center for Social  &  Environmental Accounting Research  & Development (TCSEARD),disk0/00/02/48/54,,['FEB4'],,public,2020-11-10 11:32:29,7,pub,,,,,
2,2017-05-05 03:00:22,archive,1587,show,225-235,175,4.0,2017-05-05 03:00:22,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1456', 'security': 'public', 'placement': 1, 'eprintid': 1587, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 1456, 'filesize': 903055, 'uri': 'http://repository.lppm.unila.ac.id/id/file/10986', 'filename': 'ISEA 2014.pdf', 'hash_type': 'MD5', 'mtime': '2017-05-05 02:31:35', 'fileid': 10986, 'datasetid': 'document', 'hash': '1e3b7ee772da28658621ce6bc5ecb308', 'mime_type': 'application/pdf'}], 'main': 'ISEA 2014.pdf', 'docid': 1456, 'format': 'text'}]","[{'id': 'yuztitya@yahoo.com', 'name': {'given': 'Yuztitya', 'honourific': None, 'lineage': None, 'family': 'Asmaranti'}}, {'id': 'sari_170870@yahoo.com', 'name': {'given': 'Lindrianasari', 'lineage': None, 'family': 'Lindrianasari', 'honourific': None}}]",article,"Comparation of Greenhouse Gas Emission 
Disclosure Before and After Enactment of the  
Indonesia Act No. 17 of 2004",TRUE,published,['AC'],"Indonesia, as a country with high vulnerable to the effects of global climate change due to
greenhouse gas emissions, is committed to implementing the Kyoto Protocol by issuing the
Law No. 17 of 2004 regulating the ratification of the Kyoto Protocol to the United Nations
Framework Convention on Climate Change. On the other hand, Indonesia with the second largest
tropical
forest
in
the
world
is
expected
to
contribute
oxygen
to
protect
the
world's
top
greenhouse

gas effect as the main cause of global warming. This study aims to provide empirical
evidence of the extent to which the response of companies in Indonesia in addressing global
warming due to carbon emissions leading to dumping greenhouse gases and what efforts done
as a form of corporate social responsibility. This study found that there are differences in the
disclosure of carbon emissions before and after the enactment of Indonesian Act No. 17 of
2004. However, the study also found that only about 10% of manufacturing companies in Indonesia have an action associated with a reduction in carbon emissions of the company.
 
Keyword: Carbon Emission Disclosure, Greenhouse Gas, Kyoto Protokol",,8.0,http://repository.lppm.unila.ac.id/id/eprint/1587,1970-01-01 00:00:00.000002014,,Indonesian center for social and environmental accounting research & development,disk0/00/00/15/87,Issues in Social and Environmental Accounting,['FEB4'],1978-0591,public,2017-05-05 03:00:22,7,pub,,,,,
3,2020-11-10 07:14:45,archive,24795,show,,175,,2020-11-10 07:14:45,http://repository.lppm.unila.ac.id/159/1/ISEA_8%284%29%202014.pdf,"[{'files': [{'hash': 'd2a1c0ad4941cee395f21b65517db116', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 224842, 'mtime': '2020-11-10 03:42:53', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/224842', 'filename': 'Comparation of Greenhouse Gas Emission Disclosure Before and After Enactment of the Indonesia Act No. 17 of 2004.pdf', 'filesize': 2252982, 'objectid': 38538}], 'main': 'Comparation of Greenhouse Gas Emission Disclosure Before and After Enactment of the Indonesia Act No. 17 of 2004.pdf', 'docid': 38538, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 24795, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38538', 'security': 'public'}]","[{'name': {'given': 'Yuztitya', 'lineage': None, 'family': 'Asmaranti', 'honourific': None}, 'id': 'yuztitya@yahoo.com'}, {'name': {'given': 'Lindrianasari', 'honourific': None, 'lineage': None, 'family': 'Lindrianasari'}, 'id': 'sari_170870@yahoo.com'}]",other,Comparation of Greenhouse Gas Emission Disclosure Before and After Enactment of the Indonesia Act No. 17 of 2004,,published,"['H1', 'HG']","Indonesia, as a country with high vulnerable to the effects of global climate change due to greenhouse gas emissions, is committed to implementing the Kyoto Protocol by issuing the Law No. 17 of 2004 regulating the ratification of the Kyoto Protocol to the United Nations Framework Convention on Climate Change. On the other hand, Indonesia with the second larg- est tropical forest in the world is expected to contribute oxygen to protect the world's top green- house gas effect as the main cause of global warming. This study aims to provide empirical evidence of the extent to which the response of companies in Indonesia in addressing global warming due to carbon emissions leading to dumping greenhouse gases and what efforts done as a form of corporate social responsibility. This study found that there are differences in the disclosure of carbon emissions before and after the enactment of Indonesian Act No. 17 of 2004. However, the study also found that only about 10% of manufacturing companies in Indo- nesia have an action associated with a reduction in carbon emissions of the company.",,,http://repository.lppm.unila.ac.id/id/eprint/24795,1970-01-01 00:00:00.000002014,,Indonesian Center for Social & Environmental Accounting Research & Development (ICSEARD),disk0/00/02/47/95,,['FEB4'],,public,2020-11-10 07:14:45,9,pub,,,,,
4,2017-11-16 03:25:57,archive,4784,show,313-328,202,2.0,2017-11-16 03:25:57,http://fe-akuntansi.unila.ac.id/download/jak,"[{'main': 'JAK-Juli-2014.pdf', 'docid': 17695, 'files': [{'mime_type': 'application/pdf', 'hash': 'ab67c4013c24a0f2cb7c25ade91e9c92', 'datasetid': 'document', 'fileid': 46604, 'filename': 'JAK-Juli-2014.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/46604', 'filesize': 1509483, 'objectid': 17695, 'mtime': '2017-11-07 01:43:48', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 4784, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17695', 'security': 'public'}]","[{'id': None, 'name': {'family': 'Danepo', 'lineage': None, 'honourific': None, 'given': 'Muhammad'}}, {'id': 'ninukdewi@gmail.com', 'name': {'given': 'Ninuk Dewi', 'family': 'Kesumaningrum', 'lineage': None, 'honourific': None}}]",article,PENGARUH PARTISIPASI DALAM PENGANGGARAN DAN PERAN MANAJEMEN PUBLIK PENGELOLA KEUANGAN DAERAH TERHADAP KINERJA PEMERINTAH DAERAH,TRUE,published,"['AI', 'HB']","This research aims to analyze the effect of budgetary participation and the role of public management of
district financial manager influences district government performance. In previous research, the effect of
both independent variables to dependent variable has measured qualitatively (non-financial) with
primary data based on employee’s perception. In this research, performance measuring is supported by
financial data that is Budgetary Realization Report (LRA) in 2009 – 2011, and the research
objects are districts in Lampung Province.
Populations in this research were district financial managers. Collecting data were using multistage
sampling technique. Primary data consisting of 145 respondents, which divided into two, three, and
four echelon employees who work in district governments. The method for analyzing data is multiple
regressions. To analyzing the quantitative data was using district financial performance ratio which are
efficiency ratio, effectiveness ratio, activity ratio, and district autonomy ratio.
The result of this study demonstrated that variable of budgetary participation and the role of public
management of district financial manager had significantly positive effected district government
performance. Thus, in arranging the budgetary need to involving all of employees, and the district
financial manager should has the role of Public Management so that can managing all of the resources
to achieve the goals.
Keywords: Budgetary participation, district financial manager, the role of public management, district
government, performance.",,19.0,http://repository.lppm.unila.ac.id/id/eprint/4784,2014-07-01 00:00:00.000000000,,Fakultas Ekonomi Universitas Lampung,disk0/00/00/47/84,Jurnal Akuntansi dan Keuangan,['FEB4'],1410-1831,public,2017-11-16 03:25:57,7,pub,,,,,
5,2020-11-19 11:40:47,archive,26207,show,,175,,2020-11-19 11:40:47,,"[{'docid': 40102, 'main': 'PENILAIAN Reviewer pengaruh manajemen laba.pdf', 'files': [{'mtime': '2020-11-19 04:34:18', 'hash_type': 'MD5', 'filename': 'PENILAIAN Reviewer pengaruh manajemen laba.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/236181', 'objectid': 40102, 'filesize': 401080, 'mime_type': 'application/pdf', 'hash': 'ae4e5dc790b152ee28428dc5134c3781', 'fileid': 236181, 'datasetid': 'document'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 26207, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40102', 'security': 'public'}]","[{'id': None, 'name': {'given': 'Febriani', 'honourific': None, 'lineage': None, 'family': 'Devia'}}, {'name': {'honourific': None, 'family': 'Asmaranti', 'lineage': None, 'given': 'Yuztitya'}, 'id': 'yuztitya@yahoo.com'}]",other,3.	Pengaruh Manajemen Laba Terhadap Nilai Perusahaan Dengan Mekanisme Corporate Governance Sebagai Variabel Pemoderasi Pada Perusahaan Yang Terdaftar Di Bursa Efek Indonesia,,published,['HG'],,,,http://repository.lppm.unila.ac.id/id/eprint/26207,1970-01-01 00:00:00.000002014,,Fakultas Ekonomi dan Bisnis Universitas Lampung,disk0/00/02/62/07,,['FEB4'],,public,2020-11-19 11:40:47,7,pub,,,,,
6,2017-05-05 03:26:29,archive,1600,show,,331,,2017-05-05 03:26:29,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'ARTICLE FOR NZMAC.pdf', 'docid': 1469, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/11076', 'filename': 'ARTICLE FOR NZMAC.pdf', 'objectid': 1469, 'filesize': 235282, 'mtime': '2017-05-05 03:08:50', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '0d580126f276a227059a0c887769cac0', 'datasetid': 'document', 'fileid': 11076}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1469', 'security': 'public', 'placement': 1, 'eprintid': 1600}]","[{'name': {'given': 'Fajar', 'family': 'Gustiawaty Dewi', 'lineage': None, 'honourific': None}, 'id': 'fajargd@yahoo.com'}, {'id': 'ahalim58@yahoo.com', 'name': {'given': 'Abdul', 'honourific': None, 'lineage': None, 'family': 'Halim'}}, {'id': None, 'name': {'given': 'Slamet', 'family': 'Sugiri', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Nahartyo', 'lineage': None, 'given': 'Ertambang'}, 'id': None}]",conference_item,"PERFORMANCE MEASUREMENT INFORMATION, JOB ROTATION, ROLE STRESS AND PERFORMANCE:
INVESTIGATING IN LOCAL GOVERNMENT",TRUE,,['AC'],"Budgets in the public sector, especially in local government becomes the starting point for local governments to implement public service. Many strategic decisions relating to the budget that must be taken by public manager for future service improvements.
This study raised the issue that the quality of public manager strategic decisions require performance measurement information and role stress in local government. Therefore, the performance of public managers associated with budgeting evaluated in this study.
The study was conducted by using experimental methods to obtain evidence of a causal relationship between performance measurement information, job rotation, role stress, and performance of public managers. This study used a Multivariate Analysis of Variance and path analysis as an data analysis. 
The results showed that lower role ambiguity on public manager who received non-financial and financial performance information than public manager who received non-financial performance information only. Public manager performance was significantly higher at the time experience low role ambiguity. These results support the role theory and contingency theory. However, no evidence was obtained that public managers who received non-financial and financial performance measurement information experience role conflict is lower than the official who received the non-financial performance measurement information or financial information alone. Similarly, about the job rotation. This study did not obtain evidence that role ambiguity and role conflict were lower in the job rotation with high frequency.
The results also indicate that role ambiguity is fully mediate the effects of performance measurement information on the performance of local government public managers. However, no evidence was obtained that role conflict mediates the influence of performance measurement information on the performance of public managers. Other results showed that role ambiguity and role conflict did not mediate the association with the job rotation and performance.

Keyword: financial and non-financial performance information, job rotation, performance measurement, role stress.",,,http://repository.lppm.unila.ac.id/id/eprint/1600,1970-01-01 00:00:00.000002014,,,disk0/00/00/16/00,,['FEB4'],,public,2017-05-05 03:26:29,7,unpub,New Zealand Management Accounting Conference,conference,New Zealand,paper,
7,2017-07-20 09:02:02,archive,3583,show,439-448,732,3.0,2017-07-20 09:02:02,https://journal.perbanas.ac.id/,"[{'placement': 1, 'eprintid': 3583, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3444', 'security': 'public', 'files': [{'fileid': 25075, 'datasetid': 'document', 'hash': 'ae5a6c54594b13891b619d442598aa54', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-06-13 09:15:22', 'filesize': 264781, 'objectid': 3444, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25075', 'filename': 'IIIA1b2a.pdf'}], 'main': 'IIIA1b2a.pdf', 'docid': 3444, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]","[{'name': {'given': 'Junaidi', 'family': 'Junaidi', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Apriyanto', 'lineage': None, 'honourific': None, 'given': 'Harun Pamungkas'}}, {'name': {'family': 'Nurdiono', 'lineage': None, 'honourific': None, 'given': 'Nurdiono'}}, {'name': {'given': 'Eko', 'lineage': None, 'family': 'Suwardi', 'honourific': None}}]",article,The effect of audit firm tenure in artificial rotation on audit quality,TRUE,published,['H1'],"This study aimed to examine the effect of auditor tenure in artificial rotation on audit
quality. Tenure shows the relationship between the audit firms and a client that is
measured in years. Artificial rotation of auditor (audit firm) indicates a condition that,
conceptually, there has been a change of auditors leading to the auditor relationship
with the client to be disconnected, whereas substantive auditor-client relationship is
ongoing. Formally, the auditor does not violate the rules and is still able to audit for
the same client. Yet, in the long-term, it could affect the audit quality. The longer
auditor tenure, the closer auditor-client relationship is. Thus, the auditor accommodates
the interests of the client at the client's financial statements, including the practice
of discretionary accruals as a proxy for audit quality. The samples were selected by
purposive sampling method of the companies listed in Indonesia Stock Exchange from
the year 2002-2010, with multiple linear regression approach. It shows that tenure,
and total assets do not affect the quality of the audit while the size of the audit firm,
and debt statistically have significant effect on audit quality. Future studies may extend
the period of observation, and using other audit quality measures, such as fraud,
and the propensity of auditor to issue going concern opinion",,17.0,http://repository.lppm.unila.ac.id/id/eprint/3583,2014-12-01 00:00:00.000000000,[{'url': 'https://journal.perbanas.ac.id/index.php/jebav/article/view/365/284'}],Perbanas Business School Surabaya - Indonesia,disk0/00/00/35/83,"Journal of Economics, Business, and Accountancy Ventura",['FEB4'],2087-3735,public,2017-07-20 09:02:02,6,pub,,,,,
8,2016-11-04 02:48:36,archive,159,show,225-234,901,4.0,2016-11-04 02:48:36,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/174', 'pos': 1, 'eprintid': 159, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 174, 'main': 'ISEA_8(4) 2014.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'f88a816a418af085a600170dd7de3eac', 'datasetid': 'document', 'fileid': 934, 'mtime': '2016-07-14 03:04:48', 'hash_type': 'MD5', 'filename': 'ISEA_8(4) 2014.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/934', 'objectid': 174, 'filesize': 901482}]}]","[{'id': 'sari_170870@yahoo.com', 'name': {'given': 'Lindrianasari', 'family': 'Lindrianasari', 'lineage': None, 'honourific': None}}]",article,Comparation of Greenhouse Gas Emission Disclosure Before and After Enactment of the Indonesia Act No. 17 of 2004,TRUE,published,['HG'],"Indonesia, as a country with high vulnerable to the effects of global climate change due to greenhouse gas emissions, is committed to implementing the Kyoto Protocol by issuing the Law No. 17 of 2004 regulating the ratification of the Kyoto Protocol to the United Nations Framework Convention on Climate Change. On the other hand, Indonesia with the second larg- est tropical forest in the world is expected to contribute oxygen to protect the world's top green- house gas effect as the main cause of global warming. This study aims to provide empirical evidence of the extent to which the response of companies in Indonesia in addressing global warming due to carbon emissions leading to dumping greenhouse gases and what efforts done as a form of corporate social responsibility. This study found that there are differences in the disclosure of carbon emissions before and after the enactment of Indonesian Act No. 17 of 2004. However, the study also found that only about 10% of manufacturing companies in Indo- nesia have an action associated with a reduction in carbon emissions of the company.",['Universitas Lampung'],8.0,http://repository.lppm.unila.ac.id/id/eprint/159,1970-01-01 00:00:00.000002014,,,disk0/00/00/01/59,Issues in Social and Environmental Accounting,['FEB4'],1978-0591,public,2016-11-04 02:48:36,6,pub,,,,,
9,2020-06-10 00:54:24,archive,22138,show,237,92,2.0,2020-06-10 00:54:24,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/35551', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22138, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mtime': '2020-06-09 09:03:55', 'hash_type': 'MD5', 'filename': 'JBM Volume 10 No. 2 Tahun 2014.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/203942', 'filesize': 637143, 'objectid': 35551, 'hash': '58c511de30a17ca32620ea56a63efef8', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 203942}], 'main': 'JBM Volume 10 No. 2 Tahun 2014.pdf', 'docid': 35551, 'format': 'text'}]","[{'id': 'mega.metalia@feb.unila.ac.id', 'name': {'given': 'Mega', 'family': 'Metalia', 'lineage': None, 'honourific': None}}]",article,ANALISIS ASIMETRI INFORMASI TERHADAP PRAKTIK MANAJEMEN LABA,TRUE,published,['H1'],,,10.0,http://repository.lppm.unila.ac.id/id/eprint/22138,1970-01-01 00:00:00.000002014,,Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,disk0/00/02/21/38,Jurnal Bisnis dan Manajemen,['FEB4'],1411-9366,public,2020-06-10 00:54:24,6,pub,,,,,
