,place_of_pub,title,type,creators,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,ispublished,rev_number,status_changed,full_text_status,divisions,publisher,dir,uri,abstract,subjects,event_type,event_title,pres_type,refereed,pagerange,official_url,output_media,date_type,funders,event_location,event_dates,corp_creators,contributors,publication,related_url,number,volume,issn,id_number,contact_email,succeeds,monograph_type,book_title,pages,pedagogic_type,keywords
0,Bandar Lampung,Uji Kinerja Alat Pengering Silinder Vertikal pada Proses Pengeringan Jagung (Zea mays ssp.mays),other,"[{'name': {'given': 'Made', 'honourific': None, 'lineage': None, 'family': 'Aditya putra'}, 'id': None}, {'id': 'Shandiasmara@yahoo.com', 'name': {'lineage': None, 'family': 'Asmara', 'honourific': None, 'given': 'Sandi'}}, {'name': {'given': 'cicih', 'honourific': None, 'lineage': None, 'family': 'sugianti'}, 'id': 'cicih.sugianti@fp.unila.ac.id'}, {'name': {'given': 'Tamrin', 'family': 'Tamrin', 'lineage': None, 'honourific': None}, 'id': 'tamrinajis62@gmail.com'}]","[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 42789, 'main': 'Scan2020-Reviewer Penelitian6.pdf', 'files': [{'filename': 'Scan2020-Reviewer Penelitian6.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/254877', 'objectid': 42789, 'filesize': 1309032, 'mtime': '2021-03-30 17:26:53', 'hash_type': 'MD5', 'hash': 'c96d50b0e00987f56eac88ad3a90f8bb', 'mime_type': 'application/pdf', 'fileid': 254877, 'datasetid': 'document'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42789', 'eprintid': 28729, 'placement': 1}, {'placement': 2, 'eprintid': 28729, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42790', 'security': 'public', 'main': 2516, 'files': [{'hash': 'd4f8c9f0ba6f4cb001db2c0bfcc28f32', 'mime_type': 'application/xml', 'datasetid': 'document', 'fileid': 254880, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254880', 'filename': 2516, 'filesize': 25173, 'objectid': 42790, 'mtime': '2021-03-30 17:27:35', 'hash_type': 'MD5'}], 'docid': 42790, 'format': 'text', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/xml', 'content': 'other'}]",2021-03-31 02:15:00,432,show,28729,archive,2021-03-31 02:15:00,unpub,10,2021-03-31 02:15:00,public,['FP18'],Universitas Lampung,disk0/00/02/87/29,http://repository.lppm.unila.ac.id/id/eprint/28729,Lembar Hasil Penilaian Reviewer Jurnal Teknik Pertanian Lampung,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"Decreasing of Environmental Loads in Tapioca 
Industry Through Utilization of Biogas Digester 
Effluent for Fertigation During Vegetables Production",conference_item,"[{'id': None, 'name': {'given': 'Julfi Restu', 'lineage': None, 'family': 'Amelia', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Maulidia', 'lineage': None, 'given': 'O'}, 'id': None}, {'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}}, {'name': {'given': 'Udin', 'lineage': None, 'family': 'Hasanudin', 'honourific': None}, 'id': 'udinha65@gmail.com'}, {'id': 'sugeng.triyono@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Triyono', 'honourific': None, 'given': 'Sugeng'}}]","[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/156484', 'pos': 1, 'eprintid': 35594, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-08 15:37:14', 'filesize': 303748, 'objectid': 156484, 'uri': 'http://repository.lppm.unila.ac.id/id/file/414402', 'filename': 'Utilization of Biogas Digester.pdf', 'fileid': 414402, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c0c8adde89ae2c51b5da6815708b7b95'}], 'main': 'Utilization of Biogas Digester.pdf', 'docid': 156484}]",2021-11-09 01:16:14,832,show,35594,archive,2021-11-09 01:16:14,pub,8,2021-11-09 01:16:14,public,['FP18'],,disk0/00/03/55/94,http://repository.lppm.unila.ac.id/id/eprint/35594,"ABSTRACT
In order to lower environmental burden, a tapioca industry make use its wastewater to generate biogas through 
anaerobic digestion process using a covered lagoon system. However, the effluent from the digester still has not met 
the quality standards so that it cannot be disposed into the water body. Organic matter remaining in the digester 
effluent is expected to be used as a source of plant nutrients through fertigation. The purpose of this study was to 
calculate the reduction potential of environment load th rough the utilization of wastewater effluent from the tapioca 
wastewater biogas digester and determine the fertigation dose of wastewater addition during vegetable cultivation on 
soil media. Completely randomized design was used in this experimental with two factors, namely plant type(T) as 
first factor consisting of T1=pakcoy, T2=water spinach, T3= tomato, and T4=cucumber, and fertigation rate (in term 
of available water level) as the second factor consisting of K1=100-81%,K2 = 80-61%, K3= 60-41%, K4= 40-21% of 
available water. The experiment was carried out with three replications and no chemical fertilizer was added. Results 
showed that water spinach and pakcoy have a higher potential in reducing COD, nitrogen, phosphorus, and potassium 
as compared to tomatoes and cucumbers. Results also showed that cultivation of pakcoy with available soil water 
81%-100% (T1K1) was able to decrease environmental load of 7,47%, water spinach with soil water 61%-
80%(T2K2) reduced the load by 8,26%, tomato with soil water41%-60% (T3K3) reduced the load by 6,43%, and 
cucumber with soil water 81%-100% (T4K4) reduced the load by 4,54%. 
Keywords: Tapioca, Biogas, Digester, Fertigation, Vegetable Production",['S1'],conference,International Conference on Sustainable Biomass,paper,TRUE,2021,https://www.atlantis-press.com/proceedings/series/aer/recent-volumes,,,,,,,,,,,,,,,,,,,,
2,Bandar Lampung,"Pengaruh Kecepatan Putar Terhadap Unjuk Kerja,Masin Pencacah Pelepah Sawit (Chopper) Tipe TEP-1",other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Andrian', 'given': 'Muchsin'}, 'id': 'mandiansonirala86@gmail.com'}, {'name': {'family': 'Asmara', 'lineage': None, 'honourific': None, 'given': 'Sandi'}, 'id': 'Shandiasmara@yahoo.com'}, {'id': 'siti.suharyatun@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Suharyatun', 'lineage': None, 'given': 'Siti'}}]","[{'format': 'text', 'main': 'Scan2020-Reviewer Penelitian3.pdf', 'files': [{'objectid': 42782, 'filesize': 1321913, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254840', 'filename': 'Scan2020-Reviewer Penelitian3.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-30 17:10:48', 'datasetid': 'document', 'fileid': 254840, 'hash': '8250fc742e9281e6b4c161f796cfbdd9', 'mime_type': 'application/pdf'}], 'docid': 42782, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 28726, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42782', 'pos': 1}, {'eprintid': 28726, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42784', 'format': 'text', 'main': 2161, 'docid': 42784, 'files': [{'fileid': 254847, 'datasetid': 'document', 'hash': 'b60235da193b45a8200eb2ffaf78117e', 'mime_type': 'application/xml', 'hash_type': 'MD5', 'mtime': '2021-03-30 17:12:43', 'filesize': 23317, 'objectid': 42784, 'filename': 2161, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254847'}], 'content': 'other', 'language': 'en', 'mime_type': 'application/xml', 'rev_number': 3}]",2021-03-31 02:14:49,432,show,28726,archive,2021-03-31 02:14:49,unpub,13,2021-03-31 02:14:49,public,['FP18'],Universitas Lampung,disk0/00/02/87/26,http://repository.lppm.unila.ac.id/id/eprint/28726,Lembar Penilaian Hasil Reviewer Jurnal Teknik Pertanian Lampung,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bandar Lampung,Unjuk Kerja Mesin Pemotong Padi (Paddy Mover) saat Pemanenan Padi (Oryza Sativa L.) di Lahan Basah.,other,"[{'name': {'given': 'Siti', 'honourific': None, 'family': 'Anisa', 'lineage': None}, 'id': 'siti.anisaa100896@gmail.com'}, {'name': {'given': 'Siti', 'honourific': None, 'family': 'Suharyatun', 'lineage': None}, 'id': 'siti.suharyatun@fp.unila.ac.id'}, {'id': 'oktafri.1964@fp.unila.ac.id', 'name': {'given': 'Oktafri', 'lineage': None, 'family': 'Oktafri', 'honourific': None}}, {'id': 'Shandiasmara@yahoo.com', 'name': {'family': 'Asmara', 'lineage': None, 'honourific': None, 'given': 'Sandi'}}]","[{'placement': 1, 'eprintid': 28779, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42841', 'security': 'public', 'files': [{'filename': 'Scan2020-Reviewer Penelitian7.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255278', 'filesize': 1301707, 'objectid': 42841, 'mtime': '2021-03-31 05:06:19', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '8a4a877fe7778450f8cfedfc05f4a271', 'datasetid': 'document', 'fileid': 255278}], 'main': 'Scan2020-Reviewer Penelitian7.pdf', 'docid': 42841, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/42843', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 28779, 'language': 'en', 'rev_number': 3, 'mime_type': 'application/xml', 'content': 'other', 'main': 2467, 'files': [{'mime_type': 'application/xml', 'hash': '6fad8bc7dc8bba3d7de5291203d9cace', 'fileid': 255285, 'datasetid': 'document', 'filename': 2467, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255285', 'filesize': 25760, 'objectid': 42843, 'mtime': '2021-03-31 05:07:22', 'hash_type': 'MD5'}], 'docid': 42843, 'format': 'text'}]",2021-04-01 01:56:57,432,show,28779,archive,2021-04-01 01:56:57,unpub,13,2021-04-01 01:56:57,public,['FP18'],Universitas Lampung,disk0/00/02/87/79,http://repository.lppm.unila.ac.id/id/eprint/28779,Lembar Hasil Penilaian Peer Review Jurnal Teknik Pertanian Lampung,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Mempelajari Proses Pengeringan pada Bahan Olahan Karet RSS di PTPN VII Unit Usaha kedato (Way Galih),image,"[{'name': {'family': 'Ario', 'lineage': None, 'honourific': None, 'given': 'Panji'}, 'id': 'panji_ario@gmail.com'}, {'name': {'given': 'Iskandar', 'honourific': None, 'family': 'Zulkarnain', 'lineage': None}, 'id': 'zul2007@gmail.com'}]","[{'format': 'image', 'files': [{'fileid': 67813, 'datasetid': 'document', 'mime_type': 'image/jpeg', 'hash': '0e863d4e6d65552eb49b8dab93512758', 'filesize': 1695804, 'objectid': 20553, 'filename': 'Panji Ario.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/67813', 'hash_type': 'MD5', 'mtime': '2018-06-22 04:30:07'}], 'main': 'Panji Ario.jpg', 'docid': 20553, 'language': 'en', 'mime_type': 'image/jpeg', 'rev_number': 1, 'eprintid': 7514, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20553'}]",2018-06-25 02:35:47,353,show,7514,archive,2018-06-25 02:35:47,pub,7,2018-06-25 02:35:47,public,['FP18'],JURUSAN TEKNIK PERTANIAN UNILA,disk0/00/00/75/14,http://repository.lppm.unila.ac.id/id/eprint/7514,"Tanaman karet (hevea brasiliensis) adalah tanaman getah. Dinamanakan demikian karena golongan ini mempunyai jaringan tanaman ini banyak mengandung getah (lateks), dan getah tersebut akan mengalir keluar apabila jaringan tersebut dilukai.
Pengelollaan lateks di PTPN VII adalah berupa RSS (Ribbed Smoked Sheet). Hasil olahan tersebut diekspor ke luar negeri.",['S1'],,,,,,,Wall,,,,,,,,,,,,,,,,,,,
5,Bandar Lampung,Sifat Viscoelastis Buah Alpokat (Persea americana Mill) Dalam Kemasan,other,"[{'name': {'given': 'Sandi', 'family': 'Asmara', 'lineage': None, 'honourific': None}, 'id': 'Shandiasmara@yahoo.com'}]","[{'main': 'Scan2020-Reviewer Penelitian1.pdf', 'docid': 42638, 'files': [{'mtime': '2021-03-26 02:54:58', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/253659', 'filename': 'Scan2020-Reviewer Penelitian1.pdf', 'objectid': 42638, 'filesize': 1329546, 'hash': '54242f837649d89354ce7e5b20b7f8f5', 'mime_type': 'application/pdf', 'fileid': 253659, 'datasetid': 'document'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28579, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42638', 'pos': 1, 'security': 'public'}, {'files': [{'fileid': 253662, 'datasetid': 'document', 'mime_type': 'text/html', 'hash': '824daf847fb602852bf76f2d7a9193f5', 'objectid': 42639, 'filesize': 9295, 'filename': 'login', 'uri': 'http://repository.lppm.unila.ac.id/id/file/253662', 'hash_type': 'MD5', 'mtime': '2021-03-26 02:55:20'}], 'main': 'login', 'docid': 42639, 'format': 'text', 'language': 'en', 'rev_number': 3, 'mime_type': 'text/html', 'content': 'other', 'placement': 2, 'eprintid': 28579, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42639', 'security': 'public'}]",2021-03-31 02:14:33,432,show,28579,archive,2021-03-31 02:14:33,unpub,9,2021-03-31 02:14:33,public,['FP18'],Universitas Lampung,disk0/00/02/85/79,http://repository.lppm.unila.ac.id/id/eprint/28579,Lembar Penilaian Reviewer Artikel Jurnal Tropika,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
6,,"Performance Test of Cassava Cutting Machine Type of Double Block Cutter. Teknik Pertanian Lampung,",other,"[{'id': 'Shandiasmara@yahoo.com', 'name': {'honourific': None, 'family': 'Asmara', 'lineage': None, 'given': 'Sandi'}}, {'id': 'elhamidarezkia@gmail.com', 'name': {'lineage': None, 'family': 'Elhamida', 'honourific': None, 'given': 'Rezkia'}}, {'id': 'elhamidarezkia@gmail.com', 'name': {'given': 'Elhamiida', 'honourific': None, 'family': 'Rezkia Amin', 'lineage': None}}, {'id': 'warji1978@gmail.com', 'name': {'family': 'Warji', 'lineage': None, 'honourific': None, 'given': 'Warji'}}, {'id': 'tamrinajis62@gmail.com', 'name': {'lineage': None, 'family': 'Tamrin', 'honourific': None, 'given': 'Tamrin'}}, {'id': 'winda.rahmawati@fp.unila.ac.id', 'name': {'given': 'Winda', 'honourific': None, 'family': 'Rahmawati', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kurniawan', 'given': 'Betta'}, 'id': None}]","[{'format': 'text', 'docid': 188918, 'main': '6. Performance Test of Cassava Cutting Machine Type of Double Block-7-17.pdf.pdf', 'files': [{'filesize': 1158109, 'objectid': 188918, 'uri': 'http://repository.lppm.unila.ac.id/id/file/535910', 'filename': '6. Performance Test of Cassava Cutting Machine Type of Double Block-7-17.pdf.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-30 00:55:53', 'fileid': 535910, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e827b428eac79639ba9856487a4967de'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 49370, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188918'}]",2023-03-30 04:39:52,432,show,49370,archive,2023-03-30 04:39:52,pub,10,2023-03-30 04:39:52,public,['FP18'],Jurnal Teknik Pertanian Lampung,disk0_bak/00/04/93/70,http://repository.lppm.unila.ac.id/id/eprint/49370,"Preparation of cassava seeds using a machete or hand saw takes a long time, the results are not uniform, and there is a potential for damage to cassava seedlings. The double block cutter type cassava stem cutting machine has been designed to produce high capacity and good quality cassava seeds. This study aims to test the performance of the cassava stem cutting machine with the double block cutter type. Performance tests include measuring machine working capacity, fuel consumption, seed uniformity, and planting test. The cutting test was carried out using 3 varieties of cassava seedlings. The machine works at a rotational speed of 3800 rpm and the test was carried out with various feeding loads, namely 3 rods, 4 rods, and 5 rods with. Each test was repeated 3 times. Cassava stem cutting machine (Petokong) is suitable for producing cassava stems with an average working capacity of 16275 seeds/hour. The results of the Anova test showed that the number of baits and varieties of cassava seeds and their interaction had a significant effect on the working capacity of the Petokong machine. Variations in fuel consumption are thought to be influenced by the variety of cassava stem used, which is influenced by the stem diameter of each variety. The Petokong machine is far superior to manual cutting using a machete or saw which can only produce 815 and 3005 seeds/hour per hour. The average fuel consumption is 1.82 liters per hour. Seed uniformity is about 98% and seedling damage can be minimized to 2%. The seeds produced by the Petokong machine can grow well, which is indicated by the appearance of shoots and an even distribution of roots.",['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bandar Lampung,Rancang Bangun Alat Pengering Mekanis Biji Jagung Tipe Batch Dryer Berpengaduk,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Asmara', 'given': 'Sandi'}, 'id': 'Shandiasmara@yahoo.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Irwansyah', 'lineage': None, 'given': 'Deby'}}]","[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Scan2020-Reviewer Penelitian13.pdf', 'files': [{'hash': 'e28bc36dcd7b7b4e32bde1f1c7263551', 'mime_type': 'application/pdf', 'fileid': 256966, 'datasetid': 'document', 'mtime': '2021-04-07 02:32:51', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256966', 'filename': 'Scan2020-Reviewer Penelitian13.pdf', 'filesize': 1330658, 'objectid': 43053}], 'docid': 43053, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43053', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28958}, {'eprintid': 28958, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43054', 'pos': 2, 'format': 'text', 'files': [{'hash': 'e8ff2f5fdc5405724d6956fb4f41e7be', 'mime_type': 'text/html', 'fileid': 256972, 'datasetid': 'document', 'mtime': '2021-04-07 02:37:30', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256972', 'filename': 'index.html', 'objectid': 43054, 'filesize': 22737}], 'main': 'index.html', 'docid': 43054, 'content': 'other', 'mime_type': 'text/html', 'language': 'en', 'rev_number': 3}]",2021-04-08 01:09:39,432,show,28958,archive,2021-04-08 01:09:39,unpub,9,2021-04-08 01:09:39,public,['FP18'],Universitas Lampung,disk0/00/02/89/58,http://repository.lppm.unila.ac.id/id/eprint/28958,Lembar Hasil Penilaian Peer Reviewer Prosiding Seminar Nasional SEMIRATA Dekan WIl Barat,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Rancang Bangun Alat Pengering Mekanis Biji Jagung Tipe Batch Dryer Berpengaduk,conference_item,"[{'name': {'given': 'Sandi', 'lineage': None, 'family': 'Asmara', 'honourific': None}, 'id': 'Shandiasmara@yahoo.com'}, {'name': {'given': 'Deby', 'lineage': None, 'family': 'Irwnsyah', 'honourific': None}, 'id': None}]","[{'docid': 43041, 'main': 'Scan2021-04-06_153145.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '7cf4c093cc9e697d56adc6ccaa984bfd', 'fileid': 256847, 'datasetid': 'document', 'mtime': '2021-04-06 09:16:14', 'hash_type': 'MD5', 'filename': 'Scan2021-04-06_153145.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256847', 'objectid': 43041, 'filesize': 7794714}], 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'placement': 1, 'eprintid': 28947, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43041', 'security': 'public'}]",2021-04-07 01:38:29,432,show,28947,archive,2021-04-07 01:38:29,pub,8,2021-04-07 01:38:29,public,['FP18'],,disk0/00/02/89/47,http://repository.lppm.unila.ac.id/id/eprint/28947,"Permasalahan utama alat pengering yang sudah ada adalah penyebaran suhu pada bahan kurang merata sehingga kadar air yang dihasilkan tidak seragam atau merata.Untuk itu diperlukan alternatif alat pengering yang dilengkapi dengan pengaduk pada bak pengering sehingga bahan yang dikeringkan dapat kontinu bergerak dan kadar air yang dicapai merata serta diharapkan pemanfaatan energinya lebih optimum. Pengujian alat pengering mekanis biji jagung tipe batch dryer berpengaduk dilakukan dengan 2 pengujian. Pertama pengujian tanpa beban dengan kipas berkecepatan 1407 rpm dan tanpa kipas. Penyebaran suhu relatif lebih cepat merata (pada ruang plenum) jika menggunakan kipas, udara panas lebih banyak termanfaatkan. Tanpa kipas pemanfaatan udara panasnya lebih sedikit dan penyebaran suhunya lebih lambat merata. Pengujian kedua yaitu pengujian dengan beban yang bertujuan untuk mengukur penyebaran suhu di ruang plenum dan bahan di bak pengering serta melakukan analisis pengeringan. Hasilnya rata-rata suhu udara pengering di ruang plenum pada pengeringan dengan pengaduk adalah 76,57 °C dan suhu rata-rata bahan pada ruang pengering adalah 36,47 °C. Sedangkan tanpa pengaduk, suhu pengeringan pada ruang plenum sebesar 76,60 oC dan suhu bahan di ruang pengering sebesar 36,75 oC., Kadar air rata-rata pada akhir proses pengeringan dengan pengaduk mencapai 13,69 % dengan laju pengeringan rata-rata 1,06 kg.H2O/jam atau 2,04 %bb/jam. Sedangkan tanpa pengadukan dengan waktu yang sama, kadar air akhir yang diperoleh sebesar 14,15 % dan belum tercapai kadar air yang diharapkan. Oleh karena itu, pengeringan dengan pengadukan bahan secara kontinu lebih baik karena dapat membantu mempercepat proses penurunan kadar airnya dengan kadar air yang merata. Waktu yang dibutuhkan untuk menurunkan kadar air biji jagung dari kadar air awal hingga kadar air akhir 12 – 14 % adalah 5 jam, dengan rata-rata beban uap air 5,31 kg.H2O. Rata-rata energi yang digunakan sebesar 93.164,11 kJ sedangkan energi yang digunakan untuk menguapkan air adalah 12.310,66 kJ. Sehingga diperoleh efisiensi pengeringan sebesar 13,22 %. Nilai efisiensi kecil, karena banyak panas yang hilang selama proses pengeringan berlangsung antara lain saat penambahan bahan bakar, melalui celah-celah pada ruang pembakaran dan bagian atas bak pengering yang terbuka sehingga udara panas langsung",['S1'],conference,Seminar Nasional Rapat Tahunan Dekan Wil Barat Bidang Ilmu Pertanian,paper,FALSE,,,,published,['Universitas Sultan Ageng Tirtayasa'],Serang Banten,29 - 30 April 2009,,,,,,,,,,,,,,,
9,https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012039/pdf,SIMILARITY Producing Organic Pot from Cassava Stem Waste for Water Spinach (Ipomea reptans Poir) as Waste Management Strategy,other,"[{'name': {'given': 'Sandi', 'lineage': None, 'family': 'Asmara', 'honourific': None}, 'id': 'Shandiasmara@yahoo.com'}, {'name': {'honourific': None, 'family': 'Rahmawati', 'lineage': None, 'given': 'Winda'}, 'id': 'winda.rahmawati@fp.unila.ac.id'}, {'name': {'given': 'Siti', 'honourific': None, 'family': 'Suharyatun', 'lineage': None}, 'id': 'siti.suharyatun@fp.unila.ac.id'}, {'name': {'given': 'Betta', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}, 'id': None}, {'id': 'indahlistiana@yahoo.com', 'name': {'family': 'Listiana', 'lineage': None, 'honourific': None, 'given': 'Indah'}}, {'id': 'radianawidyastuti@yahoo.co.id', 'name': {'lineage': None, 'family': 'widyastuti', 'honourific': None, 'given': 'diana'}}]","[{'placement': 1, 'eprintid': 49167, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188615', 'pos': 1, 'security': 'public', 'files': [{'objectid': 188615, 'filesize': 1200994, 'uri': 'http://repository.lppm.unila.ac.id/id/file/534237', 'filename': 'Producing Organic Pot from Cassava Stem Waste for Water Spinach (Ipomea reptans Poir) as Waste Manag.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-23 02:45:53', 'fileid': 534237, 'datasetid': 'document', 'hash': '1f6c7f6479578cc9c26b0526cd505777', 'mime_type': 'application/pdf'}], 'main': 'Producing Organic Pot from Cassava Stem Waste for Water Spinach (Ipomea reptans Poir) as Waste Manag.pdf', 'docid': 188615, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-03-24 01:30:50,131,show,49167,archive,2023-03-24 01:30:50,pub,8,2023-03-24 01:30:50,public,['FP18'],IOP Conference Series: Earth and Environmental Science,disk0_bak/00/04/91/67,http://repository.lppm.unila.ac.id/id/eprint/49167,"Abstract. Cassava stem waste in Lampung Province has not been utilized to its maximum potential, so there is a need for an alternative treatment to process the cassava stem waste into a useful material. One way to do this is by turning the stem waste into an organic pot. There are several aims in this study, which are to design the composition of the raw materials and adhesives needed to develop organic pot for media to grow land variant of kangkung (Ipomea reptans Poir), second, to determine the physical properties of organic pots made from cassava stem waste raw material, coconut fiber, and tapioca adhesive. The raw materials used are cassava stem powder, coconut fiber, and tapioca adhesive with three levels of treatment, namely P1( 60% cassava steam, 10% coconut coir, 30% adhesive), P2 (50% cassava steam, 10% coconut coir, 40% adhesive), and P3 ( 50% cassava steam, 20% coconut coir, 30% adhesive). Research results from 15 Organic pots with 3 levels of treatment P1, P2, P3, based on physical characteristics and planting test of the three organic pot treatments, can be penetrated by roots and fully decomposed after 23 days and show good growth.",['S1'],,,,,,https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012039/pdf,,published,,,,,,,,,,,,,,,,,,
