,abstract,volume,date,uri,date_type,subjects,full_text_status,issn,status_changed,rev_number,ispublished,publisher,divisions,publication,dir,userid,contributors,number,official_url,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,type,creators,title,refereed,corp_creators,pagerange,event_location,pres_type,event_dates,event_title,event_type,projects,funders,id_number,related_url,succeeds,pages,contact_email,patent_applicant
0,"This study was carried out to determine the effect of low-pressure surface and sub-surface drip irrigation to soil wetting distribution pattern and emission uniformity.  The experiment was conducted with gravity drip irrigation system and modified point sources drip-line with polyester (PE) cloth.  The PE covered the drip-line with 1, 2, and layer and operation head was conducted by 0.5 m, 0.75 m, and 1 m. Evaluation of trickle irrigation system design were conducted by two treatment, surface and sub-surface, and slope of surface land were 0%, +2% and -2%.    The results indicated that the experiment using 3 layers of PE cover was better with the highest coefficient of water distribution uniformity with the following specifications: q= 1.31/hour with 1m head operation. The uniformity of distribution in sub-unit of this design was 74.6%, the average of diameter of soil surface wetting was 34 cm, and water content ranged from 20% - 54%. The average of sub-surface soil wetting was 31 cm, with average water content ranging from 24% - 30% in 6,5 hours application of irrigation. These ranges were still between the field capacity and permanent wilting point from the soil sample in location of study.",1.0,1970-01-01 00:00:00.000002012,http://repository.lppm.unila.ac.id/id/eprint/27958,published,['S1'],public,2302-559X,2021-02-18 07:44:27,6,pub,Jurusan Teknik Pertanian Fakultas Pertanian Unila,['FP18'],Jurnal Teknik Pertanian Lampung,disk0/00/02/79/58,602,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1.0,http://jurnal.fp.unila.ac.id/index.php/JTP/article/view/33,2021-02-18 07:44:27,"[{'mime_type': 'inode/x-empty', 'language': 'en', 'rev_number': 1, 'main': 'Vol 1, No 1 (2012) Dina A dkk.pdf', 'files': [{'mtime': '2021-02-18 02:23:42', 'filesize': 0, 'objectid': 41965, 'uri': 'http://repository.lppm.unila.ac.id/id/file/249067', 'filename': 'Vol 1, No 1 (2012) Dina A dkk.pdf', 'datasetid': 'document', 'fileid': 249067, 'mime_type': 'inode/x-empty'}], 'docid': 41965, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41965', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 27958}]",2021-02-18 07:44:27,27958,archive,show,article,"[{'name': {'lineage': None, 'family': 'Dina', 'honourific': None, 'given': 'Afriyana'}, 'id': None}, {'name': {'lineage': None, 'family': 'Tusi', 'honourific': None, 'given': 'Ahmad'}, 'id': 'ahmad.tusip@fp.unila.ac.id'}, {'id': 'oktafri.1964@fp.unila.ac.id', 'name': {'given': 'Oktafri', 'family': 'Oktafri', 'lineage': None, 'honourific': None}}]",Analysis Of Soil Water Distribution By Low-Pressure Drip Irrigation,TRUE,,,,,,,,,,,,,,,
1,Foto Presentasi,,1970-01-01 00:00:00.000002012,http://repository.lppm.unila.ac.id/id/eprint/33849,completed,['S1'],public,,2021-09-13 01:30:49,7,pub,APTA,['FP18'],,disk0/00/03/38/49,988,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Agus', 'family': 'Haryanto', 'lineage': None, 'honourific': None}}]",,,2021-09-13 01:30:49,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/154088', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33849, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'filesize': 396311, 'objectid': 154088, 'uri': 'http://repository.lppm.unila.ac.id/id/file/400445', 'filename': 'Bukti Kehadiran Seminar APTA BALI 2012.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-10 22:28:10', 'fileid': 400445, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1d85733d9a279328d3a9b32930fa5679'}], 'main': 'Bukti Kehadiran Seminar APTA BALI 2012.pdf', 'docid': 154088, 'format': 'text'}]",2021-09-13 01:30:49,33849,archive,show,other,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}}]",Bukti Kehadiran Seminar APTA BALI 2012,,['Universitas Lampung'],,,,,,,,,,,,,,
2,Sertifikat,,1970-01-01 00:00:00.000002012,http://repository.lppm.unila.ac.id/id/eprint/33845,completed,['S1'],public,,2021-09-13 01:30:38,7,pub,ITB,['FP18'],,disk0/00/03/38/45,988,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,2021-09-13 01:30:38,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154084', 'pos': 1, 'eprintid': 33845, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 154084, 'main': 'Bukti Kehadiran Seminar AUN SEED Bandung 2012 AH.pdf', 'files': [{'fileid': 400415, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '828ef73968baf0fafc0e6e4e8aade0bb', 'hash_type': 'MD5', 'mtime': '2021-09-10 22:15:34', 'objectid': 154084, 'filesize': 763687, 'filename': 'Bukti Kehadiran Seminar AUN SEED Bandung 2012 AH.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/400415'}]}]",2021-09-13 01:30:38,33845,archive,show,other,"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",Bukti Kehadiran Seminar AUN SEED Bandung 2012 AH,,['Universitas Lampung'],,,,,,,,,,,,,,
3,"Bioethanol industry was developed to support renewable energy development. In other side, bioethanol industry has also potential to emit green house gases from their wastewater. Wastewater treatment in bioethanol industry
used a conventional biological anaerobic process in an open lagoon that emitted methane to the atmosphere. Methane capturing and utilization as a renewable energy reduced green house gases emission. The objective of this study was to calculate the green house gasses emission reduction from wastewater treatment in bioethanol industries using cassava and molasses as raw materials. Complete Mixed Stirrer Tank Reactors with 50-litre working volume were used to evaluate
the COD removal and biogas production potential from vinasse (wastewater from molasses based bioethanol) and thinslop (wastewater from cassava-based bioethanol). The averages of COD removal were 84,55% and 74,11%, respectively for vinasse and thinslop. Biogas production potentials from vinasse
and thinslop were 542,12 m3/kL ethanol and 105,86 m3/kL ethanol, respectively. Methane concentration in the biogas was practically same for both wastewaters, namely 57,34% for vinasse and 57,0% for thinslop. The biogas from vinasse and
thinslop treatment potentially reduces green house gases emission about 4,19 ton CO2e/kL etanol and 0,82 ton CO2e/kL etanol, respectively. Biogas utilization to replace coal in ethanol industry reduced GHG emission into 0,213 ton CO2e/kL
ethanol and minus 0,81 ton CO2e/kL ethanol for cassava-based and molassesbased, respectively.",,1970-01-01 00:00:00.000002012,http://repository.lppm.unila.ac.id/id/eprint/13448,published,['TP'],public,978-602-17165-0-2,2019-08-01 07:27:19,6,pub,Centre for Environmental Studies – Institut Teknologi Bandung,['FP18'],The 5th AUN/SEED-Net Regional Conference on Global Environment,disk0/00/01/34/48,988,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'family': 'Haryanto', 'lineage': None, 'honourific': None}}]",,,2019-08-01 07:27:19,"[{'eprintid': 13448, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26457', 'pos': 1, 'format': 'text', 'main': '2012 RCGE BANDUNG.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/117679', 'filename': '2012 RCGE BANDUNG.pdf', 'objectid': 26457, 'filesize': 1367215, 'mtime': '2019-07-03 13:20:25', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '6f1e128f40335ca2eed603448cc77a99', 'fileid': 117679, 'datasetid': 'document'}], 'docid': 26457, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2019-08-01 07:27:19,13448,archive,show,article,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Agus'}}]",Green House Gases Emission Reduction Potential through Wastewater Utilization in Bioethanol Industry,TRUE,['University of Lampung'],441-450,,,,,,,,,,,,,
4,Kelengkapan Prodiding RCGE 2012 Bandung,,1970-01-01 00:00:00.000002012,http://repository.lppm.unila.ac.id/id/eprint/40012,completed,['S1'],public,,2022-03-09 01:06:04,8,pub,,['FP18'],,disk0/00/04/00/12,988,"[{'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",,,2022-03-09 01:06:04,"[{'main': '22 PROCEEDINGS RCGE BANDUNG 2012.pdf', 'files': [{'filesize': 1122882, 'objectid': 161302, 'filename': '22 PROCEEDINGS RCGE BANDUNG 2012.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/447643', 'hash_type': 'MD5', 'mtime': '2022-03-08 15:15:01', 'datasetid': 'document', 'fileid': 447643, 'mime_type': 'application/pdf', 'hash': '4b90716a7ca2181a7e4740a5a73fc1d8'}], 'docid': 161302, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 40012, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161302', 'pos': 1, 'security': 'public'}]",2022-03-09 01:06:04,40012,archive,show,conference_item,"[{'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",Kelengkapan Prodiding: Green House Gases Emission Reduction Potential through Wastewater Utilization in Bioethanol Industry,TRUE,['Universitas Lampung'],,Bandung,paper,2012,The 5th AUN/SEED-Net Regional Conference on Global Environment,conference,,,,,,,,
5,"Pemetaaan tentang potensi agroindustri kelapa sawit dilihat dari sisi efisiensi pemanfaatan sumber daya alam (biomas), penguasaan teknologi dari hulu sampai hilir, dan sebaran sumber daya manusia ahli di bidang tersebut sangat diperlukan dalam rangka merumuskan kebijakan
secara komprehensif untuk mencari terobosan baru/inovasi dalam pengembangan agroindustri kelapa sawit di Sumatera. Diharapkan langkah strategis ini dapat meningkatkan
nilai tambah yang dapat dihasilkan oleh petani dan agroindustri kelapa sawit.
Tujuan program ini adalah untuk: (1) Mengkaji efisiensi agro industri kelapa sawit dalam pemanfaatan sumber daya alam (biomass), (2) Mengidentifikasi peluang serta strategi untuk memanfaatkan hasil samping dan limbah pengolahan kelapa sawit dalam rangka peningkatan nilai tambah dan meminimalkan dampak lingkungan termasuk mengurangi emisi GRK, (3) Mengidentifikasi peluang serta strategi pengembangan produk hilir berbasis kelapa sawit, (4) Membuat model zero waste pada produksi kelapa sawit, (5) Melakukan simulasi untuk memperoleh pola produksi kelapa sawit yang optimum, (6) Melakukan verifikasi lapangan pola produksi kelapa sawit yang optimum dengan skala pilot.
Metode penelitian yang akan dilakukan dalam penelitian ini meliputi studi literatur, dan survey lapangan. Pengumpulan data dilakukan dari sumber-sumber publikasi legal yang bisa dipertanggungjawabkan serta kunjungan lapang dan diskusi dengan praktisi dan ahli di bidang kelapa sawit. Penyusunan strategi pengembangan dilakukan melalui focus groups discussion dengan para pemangku kepentingan. Pada tahun kedua difokuskan untuk menghitung manfaat aplikasi teknologi zero emission pada industri kelapa sawit, baik manfaat ekonomi, manfaat sosial, dan manfaat lingkungan. Pada tahun ketiga direncanakan ada kerjasama dengan industri kelapa sawit untuk menerapkan metode zero emission skala pilot.
Hasil penelitian menunjukkan bahwa dari model zero emission pada produksi kelapa sawit, dapat diidentifikasi peluang serta strategi memanfaatkan hasil samping dan limbah kelapa sawit. Observasi lapangan membuktikan bahwa limbah padat kelapa sawit, selain digunakan sebagai sumber bahan bakar untuk pembangkit listrik guna keperluan pengolahan sawit, juga dapat diolah menjadi kompos yang dikembalikan ke lahan sebagai sumber hara. Air limbah kelapa sawit (POME) yang selama ini digunakan untuk land application, ternyata dapat diproses untuk menghasilkan biogas terlebih dahulu. Biogas yang dihasilkan dapat digunakan sebagai sumber bahan bakar. Sedangkan effluent dapat digunakan untuk land application. Jika dilakukan, praktek ini akan dapat mengurangi emisi GRK secara signifikan sebagai akibat dari penangkapan gas metan dan pengurangan konsumsi pupuk kimia. Selain itu, limbah cair kelapa sawit ternyata dapat digunakan untuk budidaya algae dengan nilai tambah
ekonomi yang sangat prospektif.",,1970-01-01 00:00:00.000002012,http://repository.lppm.unila.ac.id/id/eprint/33868,completed,['S1'],public,,2021-09-13 01:31:50,7,unpub,,['FP18'],,disk0/00/03/38/68,988,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Haryanto', 'lineage': None, 'honourific': None, 'given': 'Agus'}}]",,,2021-09-13 01:31:50,"[{'placement': 1, 'eprintid': 33868, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154105', 'pos': 1, 'security': 'public', 'files': [{'filename': 'LAPORAN AKHIR MP3EI FINAL_compressed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/400569', 'objectid': 154105, 'filesize': 1917286, 'mtime': '2021-09-11 12:04:28', 'hash_type': 'MD5', 'hash': '042ef96a9e1b9dd658ffb4144b566c23', 'mime_type': 'application/pdf', 'fileid': 400569, 'datasetid': 'document'}], 'main': 'LAPORAN AKHIR MP3EI FINAL_compressed.pdf', 'docid': 154105, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-09-13 01:31:50,33868,archive,show,experiment,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}}]",Laporan Penelitian (Tahun I): INOVASI PENGEMBANGAN AGROINDUSTRI KELAPA SAWIT DALAM RANGKA OPTIMASI NILAI TAMBAH,,['Universitas Lampung'],,,,,,,['MP3EI'],['DIKTI'],,,,,,
6,"The objective of this research was to study emission characteristic of household stoves. Five stoves were tested, namely clay pot biomass stove, brick biomass stove, kerosene stove, coal stove, and LPG stove. Emission parameters to be measured were CO, NO2, SO2, and particulates. Gas emission was measured using gas analyzer Wolfsense TG 501, while particulate was determined based on Indonesian National Standard (SNI: 19-7117.12-2005). Results showed that LPG stove emitted no CO indicating that complete burning existed. Other stoves emitted CO with kerosene stove exhibited the highest CO emission of 1074 μg/m3. Biomass pot stoves produced SO2 (722 μg/m3) which is lower than LPG stove (1488 μg/m3) and kerosene stove (1055 μg/m3), but higher than coal stove (290 μg/m3). On the other side, biomass pot stoves produced more NO2 (99 μg/m3 with pot stove) as compared to kerosene stove (25 μg/m3). Particulate emission increased based on the fuels used with an order from the lowest was LPG stove, kerosene stove, coal stove, and biomass stove.",32.0,1970-01-01 00:00:00.000002012,http://repository.lppm.unila.ac.id/id/eprint/27388,published,['TP'],public,0216-0455,2021-01-20 03:11:31,6,pub,Fakultas Teknologi Pertanian UGM,['FP18'],AGRITECH,disk0/00/02/73/88,988,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'lineage': None, 'family': 'Haryanto'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",4.0,https://jurnal.ugm.ac.id/agritech/article/view/9587/7162,2021-01-20 03:11:31,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 41395, 'main': '2012 AGRITECH, STUDI EMISI TUNGKU MASAK RUMAH TANGGA.pdf', 'files': [{'fileid': 244987, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'ca8e7093022e193d14078e8905cb94e1', 'hash_type': 'MD5', 'mtime': '2021-01-20 03:02:52', 'filesize': 252083, 'objectid': 41395, 'filename': '2012 AGRITECH, STUDI EMISI TUNGKU MASAK RUMAH TANGGA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/244987'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41395', 'pos': 1, 'eprintid': 27388, 'placement': 1}]",2021-01-20 03:11:31,27388,archive,show,article,"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Triyono', 'given': 'Sugeng'}, 'id': 'sugeng.triyono@fp.unila.ac.id'}]",STUDI EMISI TUNGKU MASAK RUMAH TANGGA,TRUE,['Universitas Lampung'],425-431,,,,,,,,https://doi.org/10.22146/agritech.9587,,,,,
7,"Purpose: This study performed the oscillatory test using the texture analyzer to characterize the viscoelastic behavior of apples such as the storage modulus (E’), the loss modulus (E’’), the complex modulus (|E*|) and the energy dissipated per,cycle (Wdiss). Methods: The sinusoidal deformation with the frequency of 1~10 Hz and the maximum displacement of 0.1 mm were applied to the flesh tissues of Fuji, Golden Delicious and Red Delicious apples. The Lissajous figure was used to measure the phase angle(δ) between stress and strain curve. Results: Trigger force was critical to the measurement of the phase angle. E’, E’’, |E*| and Wdiss were measured using the Lissajous figure and the phase angle. The complex modulus of Golden Delicious apple was significantly lower than those of Fuji apple and Red Delicious apple. Conclusions: Apple flesh was exhibiting more elasticity at low frequency, and more viscosity at high frequency. Dynamic compressive properties of Fuji apple were similar to those of Red Delicious apple but significantly different from those of Golden Delicious apple.

Keywords: Dynamic mechanical test, Loss modulus, Phase angle, Storage modulus, Texture analyzer",37.0,1970-01-01 00:00:00.000002012,http://repository.lppm.unila.ac.id/id/eprint/49869,published,['T1'],restricted,2234-1862,2023-04-08 13:27:20,5,pub,,['FP18'],Journal of Biosystems Engineering,disk0_bak/00/04/98/69,439,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1.0,,2023-04-08 13:27:20,"[{'eprintid': 49869, 'placement': 1, 'security': 'staffonly', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189533', 'pos': 1, 'format': 'text', 'main': 'Measurement of Dynamic Compressive Properties J. of Biosystems Eng. 37(1)28-35. (2012. 2).pdf', 'docid': 189533, 'files': [{'mtime': '2016-09-14 14:01:03', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/539947', 'filename': 'Measurement of Dynamic Compressive Properties J. of Biosystems Eng. 37(1)28-35. (2012. 2).pdf', 'objectid': 189533, 'filesize': 923951, 'hash': 'c4415ed59603d5a6dccaaa7546ce422b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 539947}], 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3}, {'eprintid': 49869, 'placement': 7, 'security': 'public', 'pos': 7, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189539', 'format': 'text', 'docid': 189539, 'main': 'Turnitin-Measurement of Dynamic Compressive Properties J. of Biosystems Eng. 37(1)28-35. (2012. 2).pdf.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-07 10:37:19', 'filesize': 1533354, 'objectid': 189539, 'uri': 'http://repository.lppm.unila.ac.id/id/file/539954', 'filename': 'Turnitin-Measurement of Dynamic Compressive Properties J. of Biosystems Eng. 37(1)28-35. (2012. 2).pdf.pdf', 'fileid': 539954, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9f62cb407b346a23bfd001b6584ba4a8'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-04-08 13:27:20,49869,archive,show,article,"[{'id': 'jwlee@hknu.ac.kr', 'name': {'family': 'Lee', 'lineage': None, 'honourific': None, 'given': 'Jong Whan'}}, {'id': 'JingluT@missouri.edu', 'name': {'lineage': None, 'family': 'Tan', 'honourific': None, 'given': 'Jinglu'}}, {'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Waluyo'}, 'id': 'sri.waluyo@fp.unila.ac.id'}]",Measurement of Dynamic Compressive Properties of Apples using the Oscillatory Test,TRUE,"['Dept. of Mechanical Engineering, Hankyong National University, Anseong, Korea', 'Dept. of Biological Engineering, University of Missouri-Columbia, Missouri, USA', 'Dept. of Agricultural Engineering, University of Lampung, Lampung, Indonesia']",28-36,,,,,,,,,"[{'url': 'http://dx.doi.org/10.5307/JBE.2012.37.1.028', 'type': 'pub'}]",580.0,,,
8,"Fertilizer is a material that can add nutrients to soil. Phosphate is one of essential elements of fertilizer for 
plants. Ultrasonic waves can potentially be used as a method to dissolve phosphorus from phosphate stone, by 
means of immersion in water and gived of ultrasonic waves. The aim of this study was to analyze the P
content from phosphate stone that was dissolved in water and the excited by ultrasonic waves. The tests 
were the concentration of phosphate in water of 30, 60, and 90%, and the duration of ultrasonic wave (60 
kHz) of 15, 30, and 60 minutes. The parameters observed were the levels of dissolved P (P2O5), pH value, and 
specific energy. The samples were analyzed, namely liquid and solid samples were separated after ultrasonic 
vibrate. The results of the analysis of the highest levels of soluble P from liquid samples are at 90%
concentration, treatment time-vibrate 15 minutes, that is equal to 0.0415 mg/l, whereas the treatment of 
solid samples at concentrations of 60% , within 15 minutes, amounting to 1.38%. The measurement results 
show the solution pH is neutral phosphate after vibrated tend to alkaline with pH values between 7 – 8. 
Sample concentration of 60% treatment, 15 minutes and 90% concentration, treatment time of 15 minutes is 
the most efficient, because it uses only the smallest specific energy is 0.15 J/mg and 0.1 J/mg, can produce 
high levels of dissolved P.",1.0,2012-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49851,published,['T1'],public,2302-559X,2023-04-08 13:26:16,6,pub,Jurusan Teknik Pertanian Fakultas Pertanian Unila,['FP18'],Jurnal Teknik Pertanian Lampung,disk0_bak/00/04/98/51,439,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1.0,https://jurnal.fp.unila.ac.id/index.php/JTP,2023-04-08 13:26:16,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 189496, 'main': 'Turniitin-32. Pelarutan Fosfor dari Batuan Fosfat dengan Bantuan Gelombang Ultrasonik.pdf.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'a5951243b7025b5da42d352d3a30ce7c', 'fileid': 539801, 'datasetid': 'document', 'mtime': '2023-04-07 06:54:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/539801', 'filename': 'Turniitin-32. Pelarutan Fosfor dari Batuan Fosfat dengan Bantuan Gelombang Ultrasonik.pdf.pdf', 'objectid': 189496, 'filesize': 409824}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189496', 'security': 'public', 'placement': 1, 'eprintid': 49851}]",2023-04-08 13:26:16,49851,archive,show,article,"[{'name': {'lineage': None, 'family': ""Mas'ud"", 'honourific': None, 'given': 'Rahmad Ibnu'}, 'id': None}, {'id': 'sugeng.triyono@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Triyono', 'honourific': None, 'given': 'Sugeng'}}, {'id': 'sri.waluyo@fp.unila.ac.id', 'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Waluyo'}}, {'name': {'given': 'Tamrin', 'lineage': None, 'family': 'Tamrin', 'honourific': None}, 'id': 'tamrinajis62@gmail.com'}]",Pelarutan Fosfor dari Batuan Fosfat dengan Bantuan Gelombang Ultrasonik,TRUE,,17-22,,,,,,,,,,,,,
9,"Indonesia needs of the community against corn continues to increase with increasing population growth as well. One effort to support the increased productivity of corn agribusiness development program is the provision of adequate water for plant growth. This aims of the research were (1) calculate the amount of corn crop water requirements, (2) quantify the potential of rainwater that can be utilized and stored, (3) analyze the potential evapotranspiration, percolation and runoff rate, (4) to calculate Kc plants. Field experiment was conducted at the Integrated Field Laboratory College of Agriculture, University of Lampung from 26 August to 4 December 2011. Field observations carried out on two experimental treatment with four repettition, the treatment were plots with plastic liner (plot A) and without plastic liner (plot B) where are each equipped with a water storage pond at the downstream. The results showed that (1) The consumptive use (ETc) during the study water requirements of corn is 614,3 mm. (2) Total runoff that occurs on a plot with plastic liner adn without plastic liner of land is 58,96 mm and 37,24 mm. (3) Percolation that occurred during the study in the plot of land without plastic liner is 40,58 mm. (4) The corn crop coefficient (Kc) on average in the early developmental stages, vegetative stage, stage of flowering and seed formation, and aging stage were 1,26; 1,72; 1,66 and 1,02. (5) the water productivity on plot A was 1,88 kg/m3 while on the plot B was 2,48 kg/m3.",1.0,2012-10-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51568,published,['S1'],public,2302-559X,2023-05-15 01:21:31,8,pub,Jurusan Teknik Pertanian Fakultas Pertanian Unila,['FP18'],Jurnal Teknik Pertanian Lampung,disk0_bak/00/05/15/68,480,,1.0,https://jurnal.fp.unila.ac.id/index.php/JTP/article/view/22,2023-05-15 01:21:31,"[{'format': 'text', 'docid': 249243, 'main': 20, 'files': [{'datasetid': 'document', 'fileid': 610868, 'hash': '42d680fd40468138b2d649ca6a7803b3', 'mime_type': 'application/xml', 'hash_type': 'MD5', 'mtime': '2023-05-13 15:30:15', 'objectid': 249243, 'filesize': 24703, 'filename': 20, 'uri': 'http://repository.lppm.unila.ac.id/id/file/610868'}], 'content': 'published', 'language': 'en', 'mime_type': 'application/xml', 'rev_number': 3, 'eprintid': 51568, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249243'}]",2023-05-15 01:21:31,51568,archive,show,article,"[{'id': None, 'name': {'given': 'Muamar', 'family': 'Muamar', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Sugeng', 'honourific': None, 'family': 'Triyono', 'lineage': None}, 'id': 'sugeng.triyono@fp.unila.ac.id'}, {'id': 'ahmad.tusip@fp.unila.ac.id', 'name': {'given': 'Ahmad', 'honourific': None, 'family': 'Tusi', 'lineage': None}}, {'id': 'bustomirosadi@yahoo.com', 'name': {'lineage': None, 'family': 'Rosadi', 'honourific': None, 'given': 'Bustomi'}}]",Analisa Neraca Air Tanaman Jagung (Zea Mays) di Bandar Lampung,TRUE,,1-10,,,,,,,,,,,,,
