,userid,number,lastmod,documents,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,type,creators,title,refereed,volume,uri,date,date_type,subjects,issn,full_text_status,status_changed,rev_number,ispublished,dir,publisher,publication,divisions,corp_creators,abstract,pres_type,event_dates,event_location,funders,event_type,event_title,contact_email,official_url,patent_applicant,pages,id_number,isbn,succeeds
0,470,2.0,2018-06-21 02:09:08,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19921', 'pos': 1, 'eprintid': 6948, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '18-114-1-PB.pdf', 'files': [{'filesize': 266521, 'objectid': 19921, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63712', 'filename': '18-114-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2018-05-28 07:50:17', 'fileid': 63712, 'datasetid': 'document', 'hash': '2956a1bdebf459d6ee35e921f66b1082', 'mime_type': 'application/pdf'}], 'docid': 19921}]",2018-06-21 02:09:08,archive,6948,show,127-132,article,"[{'name': {'given': 'Aji', 'honourific': None, 'family': 'Aji Saputra', 'lineage': None}, 'id': 'ajisaputra2nd@gmail.com'}, {'name': {'lineage': None, 'family': 'Tarsim', 'honourific': None, 'given': 'TS'}, 'id': 'tarsimlampung@gmail.com'}, {'name': {'given': 'Yeni', 'honourific': None, 'family': 'Yeni Elisdianan', 'lineage': None}, 'id': None}]",Pengaruh Perendaman Benih Ikan Baung (Hemibagrus nemurus) pada Umur yang berbeda dalam Hormon Pertumbuhan Rekombinan (Rgh) dengan Dosis yang Berbeda Terhadap Pertumbuhan dan Kelulushidupan,TRUE,1.0,http://repository.lppm.unila.ac.id/id/eprint/6948,1970-01-01 00:00:00.000002017,published,['SH'],2599-1701,public,2018-06-21 02:09:08,7,pub,disk0/00/00/69/48,Masyarakat Akuakultur Indonesia,Jurnal Sains Teknologi Akuakultur,['FP3'],,,,,,,,,,,,,,,
1,333,2.0,2020-04-13 02:01:07,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 32318, 'main': 'evaluasi kesesuaian perairan  untuk budidaya ikan nila.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'f80eb6d1423d1505597daa3aa58770c8', 'datasetid': 'document', 'fileid': 159953, 'mtime': '2020-04-10 04:52:37', 'hash_type': 'MD5', 'filename': 'evaluasi kesesuaian perairan  untuk budidaya ikan nila.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/159953', 'filesize': 1499338, 'objectid': 32318}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32318', 'pos': 1, 'eprintid': 19079, 'placement': 1}]",2020-04-13 02:01:07,archive,19079,show,621-630,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Astuti', 'given': 'Muthia yuli'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Damai', 'given': 'Abdullah Aman'}, 'id': None}, {'name': {'lineage': None, 'family': 'Supono', 'honourific': None, 'given': 'Supono'}, 'id': 'supono_unila@yahoo.com'}]",Evaluasi Kesesuaian Perairan untuk  Budidaya Ikan Nila (Oreochromis niloticus) di Kawasan Pesisir Desakandang Besi Kecamatan Kota Agung Barat Kabupaten Tanggamus,TRUE,5.0,http://repository.lppm.unila.ac.id/id/eprint/19079,1970-01-01 00:00:00.000002017,published,['SH'],2302-3600,public,2020-04-13 02:01:07,6,pub,disk0/00/01/90/79,FP Universitas Lampung,Jurnal Rekayasa Teknologi dan Budidaya Perairan,['FP3'],"['Lampung University', 'lampung university', 'Lampung University']","Desa Kandang Besi merupakan salah satu desa yang potensial untuk budidaya perairan yang dilintasi oleh aliran Sungai Way Belu yang beradadi kawasan Pesisir Kecamatan Kota Agung Barat Kabupaten Tanggamus. Penelitian ini ditujukan untuk mengevaluasi tingkat kesesuaian perairan untuk budidaya ikan Nila (Oreochromis niloticus)serta infrastrukur yang mendukung. Penelitian ini menggunakan metode deskriptif kuantitatif dengan cara survey. Analisis kesesuaian perairan dilakukan dengan metode matching dan scoring. Teknik pengumpulan data melalui observasi dan pengisian angket oleh 15 pembudidaya yang dipilih dengan cara accidental sampling sedangkan penentuan lokasi ditentukan dengan purposiv. Hasil penelitian menunjukkan perairan memiliki tingkat kesesuaian disebut Cukup Sesuai (S2) dan Sesuai Marginal (S3). Cukup Sesuai menunjukan perairan tersebut Cukup sesuai untuk lokasi budidaya sedangkan Sesuai marginal menunjukkan perlu penanganan lebih lanjut jika ingin dijadikan lokasi budidaya. Variabel primer berupa kuesioner menunjukan bahwa sebagian masyarakat sudah cukup mengenal budidaya ikan nila dengan kepemilikan kolam secara pribadi sebanyak 53,28%. 
 
Kata Kunci : Kesesuaian perairan, Desa Kandang Besi, ikan nila.",,,,,,,,,,,,,
2,218,,2018-06-25 02:33:38,"[{'eprintid': 7588, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20649', 'pos': 1, 'format': 'slideshow', 'main': 'ppt mangrove.pptm', 'files': [{'datasetid': 'document', 'fileid': 68381, 'hash': '5aca3fe34d56e5501efcf463b3b5b5db', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'hash_type': 'MD5', 'mtime': '2018-06-23 09:56:08', 'objectid': 20649, 'filesize': 3627561, 'uri': 'http://repository.lppm.unila.ac.id/id/file/68381', 'filename': 'ppt mangrove.pptm'}], 'docid': 20649, 'content': 'presentation', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation'}]",2018-06-25 02:33:38,archive,7588,show,,conference_item,"[{'id': 'rara.diantari@fp.unila.ac.id', 'name': {'given': 'Rara', 'honourific': None, 'family': 'Diantari', 'lineage': None}}, {'name': {'given': 'Herman', 'family': 'Yulianto', 'lineage': None, 'honourific': None}, 'id': 'hnurman@gmail.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Wardiyanto', 'lineage': None, 'given': 'Wardiyanto'}}, {'id': None, 'name': {'honourific': None, 'family': 'Wahid Yusuf', 'lineage': None, 'given': 'Maulid'}}, {'name': {'lineage': None, 'family': 'Susanti', 'honourific': None, 'given': 'Oktora'}, 'id': None}]","KAJIAN SENYAWA BIOAKTIF EKSTRAK KELOPAK, BUAH, dan DAUN MANGROVE Avicennia sp. TERHADAP INFEKSI BAKTERI Vibrio sp.  PADA UDANG VANAME (Penaeus vannamei)",FALSE,,http://repository.lppm.unila.ac.id/id/eprint/7588,2017-12-04 00:00:00.000000000,published,['SH'],,public,2018-06-25 02:33:38,9,unpub,disk0/00/00/75/88,,,['FP3'],,"Udang vannamei merupakan udang  introduksi yang banyak diminati masyarakat . Hal ini dibuktikan  produksi udang vannamei meningkat  rata-rata 16% dengan kenaikan 209% selama periode 2009-2014.Vibriosis merupakan  penyakit  yang dikenal pembudidaya udang  sebagai penyakit yang menyerang kulit udang.  Penyakit ini disebabkan oleh spesies-spesies vibrio yang berbeda-beda, diantaranya yaitu Vibrio harveyi dan Vibrio  parahaemoliticus. Avicennia merupakan jenis mangrove yang memiliki  kandungan  sebagai antibakteri. Avicenia memiliki kandungan  alkaloid, saponin, glikosida, tannin, flavonoid  yang dapat  digunakan sebagai antibakteri.
 Tujuan dari penelitian ini adalah untuk mengetahui aktivitas antibakteri ekstrak mangrove Avicennia sp. terhadap bakteri vibrio harveyi dan vibrio parahaemolitycus.
Dari penelitian ini diketahui bahwa Ekstrak mangrove Avicenia sp. yang memiliki zona hambat paling baik yaitu pada ekstrak buah dengan pelarut etil asetat yang memiliki hasil mencapai  9,34 mm pada konsentrasi 100 mg/ml dengan inkubasi 48 jam untuk Vibrio harveyi  dan pada ekstrak daun 5,45 mm  pada konsentrasi 100 mg/ml  dengan inkubasi 24 jam untuk Vibrio parahaemolyticus .",speech,4 Desember 2017,"Hotel Emersian, Bandar lampung",['Dikti'],other,Seminar Hasil-Hasil Penelitan Universitas Lampung,,,,,,,
3,614,,2018-06-29 04:12:44,"[{'main': 'SITI HUDAIDAH DAN BERTA  PUTRI-MAKALAH SEMIRATA BABEL 2017.docx', 'files': [{'fileid': 43927, 'datasetid': 'document', 'hash': 'fadc218f0ac833c2cb2388baf73dc889', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'filesize': 78293, 'objectid': 17312, 'uri': 'http://repository.lppm.unila.ac.id/id/file/43927', 'filename': 'SITI HUDAIDAH DAN BERTA  PUTRI-MAKALAH SEMIRATA BABEL 2017.docx', 'hash_type': 'MD5', 'mtime': '2017-11-03 06:55:41'}], 'docid': 17312, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'placement': 1, 'eprintid': 4410, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17312', 'security': 'public'}]",2018-06-29 04:12:44,archive,4410,show,,conference_item,"[{'name': {'given': 'Siti', 'lineage': None, 'family': 'Hudaidah', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Putri', 'honourific': None, 'given': 'Berta'}}]","PEMELIHARAAN BENIH IKAN BADUT Amphiprion percula PADA LINGKUNGAN  
DAN KONDISI PAKAN Artemia DIPERKAYA YANG BERBEDA",TRUE,,http://repository.lppm.unila.ac.id/id/eprint/4410,2017-06-01 00:00:00.000000000,submitted,['SH'],,public,2018-06-29 04:12:44,10,submitted,disk0/00/00/44/10,,,['FP3'],,"Abstrak
Pembenihan ikan badut (Amphiprion percula) mengalami kendala dengan pertumbuhan dan pertahanan terhadap penyakit meskipun dipelihara pada lingkungan yang terkontrol. Kedua kendala tersebut dapat diatasi dengan pemberian pakan alami dengan manipulasi kandungan nutrisi yang sesuai. Manipulasi kandungan nutrisi diperlukan untuk memperoleh pertumbuhan yang optimum dan pengaruh lainnya yang mendukung produksi benih yang berkualitas. Pemeliharaan benih ikan badut pada terkontrol pada tempat terbuka atau tertutup membuka kesempatan ditemukannya inovasi teknik budidaya. Penelitian bertujuan mempelajari pengaruh kondisi pakan alami (segar dan beku) hasil pengayaan Artemia oleh berbagai jenis plankton dan tepung Spirulina pada benih ikan badut yang dipelihara pada tempat terbuka dan tertutup pada pertumbuhan dan pertahanan terhadap penyakit. Percobaan dilakukan dengan rancangan faktorial yaitu faktor Artemia diperkaya dalam kondisi hidup dan segar dan faktor lingkungan pemeliharaan benih yaitu tempat terbuka dan tertutup. Perlakuannya antara lain: pemeliharaan dengan 2 kondisi pakan Artemia tanpa pengayaan pada 2 lingkungan berbeda (A); pemeliharaan dengan 2 jenis pakan Artemia diperkaya oleh tepung Spirulina  pada 2 lingkungan berbeda (B); pemeliharaan dengan 2 jenis pakan Artemia diperkaya oleh   Isochyrsis dan Nannochloropsis pada 2 lingkungan berbeda (C); dan pemeliharaan dengan 2 jenis pakan Artemia diperkaya oleh tepung Spirulina,  Isochyrsis dan Nannochloropsis pada 2 lingkungan berbeda (D). Hasil penelitian menunjukkan bahwa pertumbuhan berat benih lebih baik pada lingkungan terbuka dengan pakan beku atau segar dibandingkan lingkungan tertutup. Secara umum pertumbuhan panjang dan berat pada perlakuan C lebih baik dibandingkan perlakuan lainnya.  Kelangsungan hidup benih bervariasi pada lingkungan terbuka dibandingkan tertutup. Analisis multivarian menunjukkan bahwa jenis pakan mempengaruhi pertumbuhan berat ikan. Parameter kualitas air (oksigen terlarut, suhu, pH, salinitas dan amonia) masih sesuai untuk pemeliharaan benih ikan badut. 
Kata-kata kunci: benih Amphiprion, Artemia, Spirulina, Isochyrsis, Nannochloropsis",paper,20 Juli 2017,Pangkalpinang,,conference,Seminar Nasional dan Rapat Tahunan Dekan Bidang Ilmu Pertanian BKS PTN Wilayah Barat di Pangkalpinang,siti.hudaidah@fp.unila.ac.id,,,,,,
4,614,1.0,2018-06-29 04:07:38,"[{'files': [{'datasetid': 'document', 'fileid': 45859, 'hash': '25855dc40fef69a0e19f77db561720e8', 'mime_type': 'application/pdf', 'objectid': 17600, 'filesize': 874446, 'uri': 'http://repository.lppm.unila.ac.id/id/file/45859', 'filename': '1950-4204-1-SM.pdf', 'hash_type': 'MD5', 'mtime': '2017-11-06 01:25:28'}], 'main': '1950-4204-1-SM.pdf', 'docid': 17600, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 3, 'placement': 1, 'eprintid': 4684, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17600', 'security': 'public'}]",2018-06-29 04:07:38,archive,4684,show,50-58,article,"[{'name': {'given': 'Dharta', 'honourific': None, 'lineage': None, 'family': 'Mahardani'}}, {'name': {'lineage': None, 'family': 'Putri', 'honourific': None, 'given': 'Berta'}}, {'name': {'given': 'Siti', 'honourific': None, 'family': 'Hudaidah', 'lineage': None}}]","Pengaruh Salinitas Berbeda Terhadap Pertumbuhan dan Kandungan 
Karotenoid
Dunaliella 
sp. Dalam Media Ekstrak 
Daun Lamtoro (
Leucaena leucocephala",TRUE,7.0,http://repository.lppm.unila.ac.id/id/eprint/4684,2017-06-01 00:00:00.000000000,published,['SH'],"p  – ISSN 2089  – 3469,e  – ISSN 2540  – 9484",public,2018-06-29 04:07:38,10,pub,disk0/00/00/46/84,"UNTIRTA,",Ju rnal Perikanan dan Kelautan,['FP3'],,"ABSTRAK
Dunaliella 
merupakan
mikroalga  hijau  yang  menghasilkan    karotenoid,  salah  satu jenis 
karotenoid  yang  dihasilkan  adalah  β
-
karoten  yang  mampu  diakumulasi  dalam  jumlah 
sangat  tinggi  pada  beberapa  kondisi  stress  seperti  keterbatasan  nitrogen,  salinitas  yang 
tinggi dan terkena int
ensitas cahaya tinggi. Daun lamtoro (
Leucaena leucocephala) 
salah 
satu  bahan  alami  yang  berpotensi  sebagai  sumber  nutrisi  untuk  memenuhi  kebutuhan 
nutrisi 
Dunaliella 
sp.  serta  meningkatkan  pertumbuhan.  Tujuan  dari  penelitian  ini  yaitu 
untuk  mengetahui  peng
aruh  salinitas  yang  berbeda  dalam 
m
edia 
e
kstrak  Daun  Lamtoro 
terhadap  pertumbuhan  dan  kandungan  karotenoid 
Dunaliella 
sp.  Penelitian  dilakukan  di 
Laboratorium  Budidaya  Perikanan,  Fakultas  Pertanian,  Universitas  Lampung  selama  8 
hari   waktu   kultur.   Rancangan
penelitian   yang   digunakan   adalah   Rancangan   Acak 
Lengkap  (RAL)  dengan  4  perlakuan  3  kali  ulangan.  Perlakuan  yang  digunakan  yaitu 
m
edia 
e
kstrak  Daun  Lamtoro  dengan  salinitas  30  ppt,  35  ppt,  40  ppt  dan  45  ppt.  Hasil 
penelitian   menunjukkan   bahwa   penggunaan 
m
e
dia 
e
kstrak   Daun   Lamtoro   dengan 
salinitas   berbeda   berpengaruh   terhadap   kepadatan   sel   dan   kandungan   karotenoid 
Dunaliella
sp.  (p<0,05).  Kepadatan  sel  tertinggi  terjadi  pada  perlakuan  salinitas  30  ppt 
dengan   kepadatan   sel   mencapai   5,09×10
6
sel/ml,   sedangkan   k
andungan   karotenoid 
tertinggi dihasilkan pada perlakuan salinitas 35 ppt yaitu sebanyak 1,0668 

g/ml.
Kata Kunci
:
D
unaliella
, 
k
arotenoid, 
k
epadatan 
s
el,
e
kstrak   daun   l
amtoro,  
s
alinitas
.",,,,,,,dhartamahardani3@gmail.com,https://jurnal.untirta.ac.id/index.php/jpk/article/viewFile/1950/1492,,,,,
5,1193,1.0,2017-11-10 15:25:29,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17082', 'security': 'public', 'placement': 1, 'eprintid': 4187, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 17082, 'main': '1622-4315-1-SM.pdf', 'files': [{'datasetid': 'document', 'fileid': 42351, 'mime_type': 'application/pdf', 'hash': '9b2c750428816c477b63eabcbef2c684', 'filesize': 317529, 'objectid': 17082, 'filename': '1622-4315-1-SM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/42351', 'hash_type': 'MD5', 'mtime': '2017-10-30 13:50:15'}], 'format': 'text'}]",2017-11-10 15:25:29,archive,4187,show,683-690,article,"[{'id': None, 'name': {'given': 'Winny', 'honourific': None, 'family': 'Mutiasari', 'lineage': None}}, {'id': None, 'name': {'given': 'Limin', 'lineage': None, 'family': 'Santoso', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Utomo', 'honourific': None, 'given': 'Deny Sapto Chondro'}, 'id': 'deny.utomo@fp.unila.ac.id'}]",KAJIAN PENAMBAHAN TEPUNG AMPAS KELAPA PADA PAKAN IKAN BANDENG (Chanos chanos),FALSE,6.0,http://repository.lppm.unila.ac.id/id/eprint/4187,2017-10-01 00:00:00.000000000,published,['SH'],2302-3600,public,2017-11-10 15:25:29,10,pub,disk0/00/00/41/87,"Jurusan Budidaya Perairan, Fakultas Pertanian Universitas Lampung",E-JURNAL REKAYASA DAN TEKNOLOGI BUDIDAYA PERAIRAN,['FP3'],,"Ikan bandeng (Chanos chanos) merupakan salah satu komoditas perairan payau yang potensial untuk dibudidayakan. Penyediaan benih dan pakan yang baik secara kualitas maupun kuantitas sangat diperlukan demi meningkatkan produksi ikan bandeng. Ampas kelapa adalah limbah pertanian yang dapat digunakan sebagai campuran bahan baku pakan ikan melalui proses penepungan. Penggunaan tepung ampas kelapa ini diharapkan dapat mengurangi penggunaan bahan baku pakan impor yang harganya mahal. Penelitian ini bertujuan untuk mengetahui jumlah penambahan ampas kelapa yang optimal pada pakan untuk pertumbuhan ikan bandeng. Penelitian dilaksanakan pada bulan Januari – Maret 2017 bertempat di Desa Purworejo Kecamatan Pasir Sakti Kabupaten Lampung Timur. Penelitian menggunakan 4 perlakuan dengan 3 kali ulanganyaitu Perlakuan A (Pelet komersil), B (Pelet komersil + tepung ampas kelapa 10%), C (Pelet komersil + tepung ampas kelapa 20%) dan D (Pelet komersil + tepung ampas kelapa 30%). Parameter yang diamati yaitu laju pertumbuhan (pertumbuhan mutlak dan harian), efisiensi pakan, identifikasi dan kelimpahan fitoplankton serta parameter pendukung yaitu kualitas air. Hasil penelitianmenunjukkan bahwa pada parameter laju pertumbuhan (pertumbuhan mutlak dan harian) serta efisiensi pakan perlakuan D berbeda nyata dengan perlakuan A, B, dan C. Akan tetapi perlakuan A, B dan C tidak berbeda nyata. Kesimpulan yang didapat bahwa penggunaan tepung ampas kelapa dengan jumlah maksimal 20% tidak memberikan pengaruh terhadap laju pertumbuhan dan efisiensi pakan pada ikan bandeng.",,,,,,,mutiasariwinny@yahoo.co.id,,,,,,
6,333,1.0,2018-06-22 03:51:34,"[{'format': 'text', 'main': 1618, 'files': [{'mtime': '2018-06-21 14:57:43', 'hash_type': 'MD5', 'filename': 1618, 'uri': 'http://repository.lppm.unila.ac.id/id/file/67502', 'filesize': 29015, 'objectid': 20514, 'mime_type': 'application/xml', 'hash': '2e8a658be1239095940f56249b0e6098', 'datasetid': 'document', 'fileid': 67502}], 'docid': 20514, 'language': 'en', 'mime_type': 'application/xml', 'rev_number': 3, 'eprintid': 7472, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20514'}]",2018-06-22 03:51:34,archive,7472,show,643-651,article,"[{'id': None, 'name': {'given': 'Aan', 'honourific': None, 'lineage': None, 'family': 'Pratama'}}, {'name': {'given': 'wardiyanto', 'lineage': None, 'family': 'wardiyanto', 'honourific': None}, 'id': None}, {'name': {'family': 'Supono', 'lineage': None, 'honourific': None, 'given': 'Supono'}, 'id': 'supono_unila@yahoo.com'}]",STUDI PERFORMA UDANG VANAME (Litopenaeus vannamei) YANG DIPELIHARA DENGAN SISTEM SEMI INTENSIF PADA KONDISI AIR TAMBAK DENGAN KELIMPAHAN PLANKTON YANG BERBEDA PADA SAAT PENEBARAN,TRUE,6.0,http://repository.lppm.unila.ac.id/id/eprint/7472,2017-10-01 00:00:00.000000000,published,['SH'],2302-3600,public,2018-06-22 03:51:34,9,pub,disk0/00/00/74/72,universitas lampung,Jurnal Rekayasa Teknologi dan Budidaya Perairan,['FP3'],,"Budidaya udang vaname (Litopenaeus vannamei) yang dilakukan dengan sistem semi intensif ditekankan pada pengolahan kualitas air untuk menumbuhkan plankton di tambak budidaya dan menjaga parameter kualitas air lainnya agar tetap berada pada nilai optimum untuk kegiatan budidaya. Ketersediaan plankton di tambak memegang peranan penting dalam menyuplai oksigen terlarut (Disolved Oxygen)  bagi udang. Penelitian ini bertujuan untuk mengetahui performa udang vaname (Litopenaeus vannamei) yang dipelihara dengan sistem semi intensif dengan kelimpahan plankton yang berbeda pada saat penebaran yang meliputi pertumbuhan, tingkat kelangsungan hidup, biomassa, dan konversi pakan. Tipe penelitian ini merupakan studi kasus pada tambak udang vaname semi intensif dengan padat tebar 66 ekor/m2. Metode yang dilakukan adalah dengan cara mengumpulkan data-data primer dan sekunder di lapangan kemudian di analisis menggunakan metode Descriptive test. Hasil penelitian menunjukkan bahwa tambak udang dengan kelimpahan plankton yang tinggi pada saat penebaran memiliki tingkat kelangsungan hidup yang lebih baik, yaitu sebesar 92,5 % dengan nilai konversi pakan 1,3, dan biomass udang mencapai 1050 kg. Sedangkan perkembangan udang pada tambak yang dipelihara dengan kelimpahan plankton rendah memiliki tingkat kelangsungan hidup yang lebih rendah, yaitu sebesar 40,13% dengan nilai konversi pakan 1,9, dan biomassa udang mencapai 550 kg. 
 
Kata kunci: Plankton, semi intensif, pertumbuhan, biomassa, konversi pakan",,,,,,,,http://jurnal.fp.unila.ac.id/index.php/bdpi/article/view/1618,,,,,
7,142,,2018-04-25 02:49:22,"[{'format': 'text', 'files': [{'objectid': 18930, 'filesize': 11018, 'uri': 'http://repository.lppm.unila.ac.id/id/file/55613', 'filename': 'Analisis Kelimpahan Mikroalga Diatom di Perairan Pulau Pasaran.pdf', 'hash_type': 'MD5', 'mtime': '2017-11-18 12:53:24', 'fileid': 55613, 'datasetid': 'document', 'hash': '1b30e4e690d3a57417166c82c9339929', 'mime_type': 'application/pdf'}], 'main': 'Analisis Kelimpahan Mikroalga Diatom di Perairan Pulau Pasaran.pdf', 'docid': 18930, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 6009, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18930', 'pos': 1}]",2018-04-25 02:49:22,archive,6009,show,,conference_item,"[{'name': {'given': 'Berta', 'honourific': None, 'lineage': None, 'family': 'Putri'}}]","Analisis Kelimpahan Mikroalga Diatom di Perairan Pulau Pasaran, 
Bandar Lampung",TRUE,,http://repository.lppm.unila.ac.id/id/eprint/6009,2017-06-12 00:00:00.000000000,submitted,['SH'],,public,2018-04-25 02:49:22,7,unpub,disk0/00/00/60/09,,,['FP3'],,"Penelitian kelimpahan mikroalga diatom telah dilakukan di perairan Pulau Pasaran, Bandar Lampung. Penelitian ini bertujuan untuk mengidentifikasi kelimpahan mikroalga Diatom di perairan Pulau Pasaran yang dikaitkan kondisi lingkungan lainnya. Pengambilan sampel dilakukan pada bulan Mei 2017 di lima stasiun yang mewakili perairan dekat muara, area keramba jaring apung, perairan dekat pelabuhan ikan dan pelabuhan barang. Hasil penelitian ditemukan lima genus diatom yaitu: Coscinodiscus sp. dengan kelimpahan tertinggi, berturut-turut diikuti oleh Nitzschia sp., Chaetoceros sp., Skeletonema sp. dan Thalassionema sp.

Kata kunci: diatom, kelimpahan, mikroalga, pulau Pasaran,",speech,20-21 Juli 2017,BANGKA BELITUNG,,conference,SEMIRATA BKS-PTN BARAT UNIVERSITAS BANGKA BELITUNG 2017,,,,,,,
8,651,,2017-11-10 14:39:57,,2017-11-10 14:39:57,archive,5129,show,,article,"[{'id': None, 'name': {'given': 'Indri Saputri', 'honourific': None, 'family': 'Ramadhani', 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Harpeni', 'honourific': None, 'given': 'Esti'}}, {'name': {'honourific': None, 'family': 'Tarsim', 'lineage': None, 'given': 'Tarsim'}, 'id': None}, {'id': 'limin.sentiko@gmail.com', 'name': {'family': 'Santoso', 'lineage': None, 'honourific': None, 'given': 'Limin'}}]",Potensi sinbiotik lokal terhadap respon imun non spesifik udang vaname (Litopenaeus vannamei),FALSE,,http://repository.lppm.unila.ac.id/id/eprint/5129,1970-01-01 00:00:00.000002017,,['SH'],25026194,none,2017-11-10 14:39:57,5,pub,disk0/00/00/51/29,,"Depik Jurnal Ilmu-Ilmu Perairan, Pesisir dan Perikanan",['FP3'],,"The aims of the study were to examine the exact percentage of prebiotics in sinbiotics, administered through feed, so as to enhance nonspecific immune responses in white shrimp. The sweet potato extract was used as prebiotic, combined with local isolated Bacillus sp. D2.2 as a probiotic applied simultaneously as a synbiotic. The feed was treated with 0% sinbiotic treatment (treatment A / control), 0% prebiotic and 6% probiotics (B treatment), 2% prebiotic and 6% probiotics (treatment C), 4% prebiotics and 6% probiotics (treatment D). Examination of nonspecific immune responses to shrimp included total hemocyte count (THC), phagocytosis activity (AP), phagocytosis index (IP), phenoloxidase activity (PO), and superoxide dismutase activity (SOD). Observation of the non-specific immune response of vaname shrimp after treatment showed that treatment C was the best prebiotic  to increase non-specific immune response in vaname shrimp",,,,,,,,,,,,,
9,333,,2017-11-16 08:08:40,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/18336', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 5388, 'language': 'en', 'rev_number': 1, 'mime_type': 'image/jpeg', 'docid': 18336, 'main': 'HKI.jpg', 'files': [{'datasetid': 'document', 'fileid': 50898, 'mime_type': 'image/jpeg', 'hash': 'b5aa5809a634c358214002896ba775d7', 'hash_type': 'MD5', 'mtime': '2017-11-13 08:31:08', 'objectid': 18336, 'filesize': 140888, 'uri': 'http://repository.lppm.unila.ac.id/id/file/50898', 'filename': 'HKI.jpg'}], 'format': 'image'}]",2017-11-16 08:08:40,archive,5388,show,,patent,"[{'id': 'supono_unila@yahoo.com', 'name': {'given': 'Supono', 'lineage': None, 'family': 'Supono', 'honourific': None}}]",Manajemen Kualitas Lingkungan untuk Akuakultur,,,http://repository.lppm.unila.ac.id/id/eprint/5388,2017-10-19 00:00:00.000000000,published,['SH'],,public,2017-11-16 08:08:40,8,pub,disk0/00/00/53/88,,,['FP3'],,"Lingkungan kolam  yang meliputi  air dan tanah  berperan penting dalam menunjang keberhasilan budidaya ikan/udang.  Manajemen kualitas air selama ini dianggap merupakan faktor paling  penting dalam pengelolaan akuakultur, namun demikian akhir-akhir ini banyak penelitian yang menunjukkan bahwa  terdapat hubungan yang sangat erat antara  variabel kualitas  tanah dan  air.  Tanah dasar kolam berpegaruh terhadap  tingkat kesuburan kolam.  Tanah dasar kolam merupakan tempat akumulasi limbah akuakultur yang dapat menghasilkan senyawa beracun seperti amonia (NH3), nitrit   (NO2-) maupun hidrogen sulfida (H2S).  Pengelolaan yang komprehensif kualitas air dan tanah akan mendukung keberhasilan budidaya ikan/udang.
Buku Manajemen Lingkungan untuk  Akuakultur ini berisi tentang peranan lingkungan kolam dalam  akuakultur, manajemen kualitas air, manajemen kualitas tanah, benthic diatom, senyawa  beracun  dalam kolam,  dinamika ekosistem kolam, bahan kimia dalam akuakultur, Manajemen kualitas air dan tanah,  sistem heterotrof dalam  akuakultur serta  prosedur pengukuran sampel.  Disamping  berisi tentang teori-teori yang berkaitan dengan  akuakultur,  buku ini juga berisi tentang permasalahan-permasalahan yang muncul dalam budidaya ikan  dan udang yang  berkaitan  dengan lingkungan  akuakultur.   Buku ini dapat dijadikan rujukan  bagi akademisi  dan  praktisi budidaya ikan, udang  atau kultivan lainnya yang ingin mendalami  tentang lingkungan akuakultur, dinamika ekosistem kolam serta manajemen kualitas air dan tanah.",,,,,,,,,supono,103.0,4571.0,,
