,userid,documents,pages,lastmod,eprintid,eprint_status,datestamp,metadata_visibility,creators,type,isbn,refereed,title,date,uri,subjects,date_type,book_title,status_changed,full_text_status,ispublished,rev_number,divisions,publisher,dir,volume,number,official_url,pagerange,issn,publication,event_location,event_dates,pres_type,abstract,event_title,event_type,corp_creators,funders,related_url
0,725,"[{'format': 'text', 'main': 'Buku - 50 TIU.pdf', 'files': [{'filename': 'Buku - 50 TIU.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/216115', 'objectid': 37299, 'filesize': 6752365, 'mtime': '2020-08-18 14:53:10', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'bb919e1180aced8a6d69bda30faaaced', 'datasetid': 'document', 'fileid': 216115}], 'docid': 37299, 'content': 'published', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'eprintid': 23668, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37299', 'pos': 1}]",0.0,2020-08-19 02:42:21,23668,archive,2020-08-19 02:42:21,show,"[{'name': {'given': 'AS', 'lineage': None, 'family': 'Admi Syarif', 'honourific': None}, 'id': 'admi_syarif@yahoo.com'}]",book_section,978-602-14841-3-5,TRUE,50 Tokoh Inspiratif Unila,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/23668,['AS'],published,50 Tokoh Inspiratif Unila,2020-08-19 02:42:21,public,pub,8,['FMIPA3'],BPHM Universitas Lampung dan Lampost Publishing,disk0/00/02/36/68,,,,,,,,,,,,,,,
1,725,"[{'placement': 1, 'eprintid': 23669, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37300', 'security': 'public', 'docid': 37300, 'main': 'Buku - Kamus Lampung.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-08-18 15:00:02', 'objectid': 37300, 'filesize': 4875857, 'uri': 'http://repository.lppm.unila.ac.id/id/file/216123', 'filename': 'Buku - Kamus Lampung.pdf', 'fileid': 216123, 'datasetid': 'document', 'hash': '33664a8cd552867ba610c907f5b791df', 'mime_type': 'application/pdf'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,2020-08-19 02:42:31,23669,archive,2020-08-19 02:42:31,show,"[{'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}]",book_section,978-602-262-516-2,TRUE,Kamus Lengkap Indonesia-Lampung Lampung-Indonesia,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/23669,['AS'],,Kamus Lengkap Indonesia-Lampung Lampung-Indonesia,2020-08-19 02:42:31,public,pub,7,['FMIPA3'],Graha Ilmu,disk0/00/02/36/69,2.0,,,,,,,,,,,,,,
2,725,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 216138, 'mime_type': 'application/pdf', 'hash': '3b83934766ac661802eb8a1f15e8d7a3', 'hash_type': 'MD5', 'mtime': '2020-08-18 15:11:04', 'filesize': 9922694, 'objectid': 37302, 'uri': 'http://repository.lppm.unila.ac.id/id/file/216138', 'filename': 'Buku - 50 Thn Unila.pdf'}], 'main': 'Buku - 50 Thn Unila.pdf', 'docid': 37302, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37302', 'eprintid': 23671, 'placement': 1}]",,2020-08-19 02:42:51,23671,archive,2020-08-19 02:42:51,show,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'lineage': None, 'family': 'Admi Syarif', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Suparman', 'given': 'Arif'}, 'id': 'suparman.arif@fkip.unila.ac.id'}, {'name': {'given': 'Maskun', 'lineage': None, 'family': 'Maskun', 'honourific': None}, 'id': 'maskun.1959@fkip.unila.ac.id'}, {'name': {'given': 'Syahperi', 'honourific': None, 'family': 'Mardi', 'lineage': None}, 'id': None}, {'id': 'sutiknolampung@yahoo.com', 'name': {'given': 'Sutikno', 'lineage': None, 'family': 'Sutikno', 'honourific': None}}, {'id': 'cipta.ginting@fp.unila.ac.id', 'name': {'family': 'Ginting', 'lineage': None, 'honourific': None, 'given': 'Cipta'}}, {'id': None, 'name': {'given': 'Buhani', 'lineage': None, 'family': 'Buhani', 'honourific': None}}, {'id': None, 'name': {'given': 'Farida', 'family': 'Aryani', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Bertoven Vivit', 'honourific': None, 'family': 'Nurdin', 'lineage': None}}, {'name': {'given': 'Elida', 'honourific': None, 'lineage': None, 'family': 'Purba'}, 'id': 'elida.purba@eng.unila.ac.id'}, {'name': {'given': 'Habibullah', 'lineage': None, 'family': 'Djimat', 'honourific': None}, 'id': None}]",book_section,978-602-0860-01-5,TRUE,50 Tahun Universitas Lampung Membangun Negeri,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/23671,['AS'],published,50 Tahun Universitas Lampung Membangun Negeri,2020-08-19 02:42:51,public,pub,9,['FMIPA3'],PT. PROFAJAR,disk0/00/02/36/71,,,,,,,,,,,,,,,
3,215,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'format': 'text', 'main': '1128-2681-3-PB.pdf', 'docid': 29314, 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-13 02:44:59', 'objectid': 29314, 'filesize': 662016, 'filename': '1128-2681-3-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/138682', 'fileid': 138682, 'datasetid': 'document', 'hash': 'c03860f5dbd8d55ff042545a82ae2234', 'mime_type': 'application/pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29314', 'eprintid': 16211, 'placement': 1}]",,2019-11-14 10:14:52,16211,archive,2019-11-14 10:14:52,show,"[{'name': {'lineage': None, 'family': 'Aristoteles', 'honourific': None, 'given': 'Aristoteles'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Wardiyanto', 'given': 'Wardiyanto'}}]",article,,TRUE,Sistem Pakar Diagnosa Penyakit Ikan Budidaya Air Tawar dengan Metode Forward Chaining,2015-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16211,['QA76'],published,,2019-11-14 10:14:52,public,pub,7,['FMIPA3'],Jurusan Ilmu Komputer Universitas Lampung,disk0/00/01/62/11,3.0,2.0,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1128/935,99-108,2541-0350,Jurnal Komputasi,,,,,,,,,
4,191,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '43 Febi Eka.pdf', 'docid': 428, 'files': [{'filesize': 710754, 'objectid': 428, 'uri': 'http://repository.lppm.unila.ac.id/id/file/2710', 'filename': '43 Febi Eka.pdf', 'hash_type': 'MD5', 'mtime': '2016-08-31 07:08:49', 'datasetid': 'document', 'fileid': 2710, 'mime_type': 'application/pdf', 'hash': '050f7bce3d6e333c99bf7c7d8030ee7f'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/428', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 505}]",,2016-09-01 01:21:25,505,archive,2016-09-01 01:21:25,show,"[{'id': 'febi.febriansyah@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Febriansyah', 'lineage': None, 'given': 'Febi Eka'}}, {'id': None, 'name': {'given': 'Astria', 'lineage': None, 'family': 'Hijriani', 'honourific': None}}]",conference_item,,FALSE,"Pembuatan Pohon Berbobot Untuk Pencarian Semantik
 Menggunakan Algoritma Weighted Tree Similarity Pada
 Penilaian Dokumen Rencana Perkuliahan
 (SAP, GBPP/Silabus Dan Kontrak Kuliah)",2015-11-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/505,['QA75'],published,,2016-09-01 01:21:25,public,pub,13,['FMIPA3'],,disk0/00/00/05/05,,,,,,,Bandar Lampung,3 November 2015,paper,"In order to speed up the examination process of the lecture plan documents (GBPP, SAP and Contracts Lecture), needed an application that is able to match the format of writing the document. Semantic search method with metadata, one of which is weighted tree similarity, it is very suitable to be applied in this application. This study focused on the
establishment of weighing tree of weighted tree similarity algorithm for searching and matching documents lecture plan that matches the format of the assessment standards PPMU. Matching only aimed at the main key words, such as GBPP, SAP, Course, Department, Course Descriptions, Competence, etc. A comparison is made with tree branches without a label, only the value of the weight on the branch. The amount of weight on each branch is divided equally by the number of branches, its value between 0 to 1.

Keywords: Contracts Lecture, GBPP, SAP, Semantik Search, Weighted Tree Similarity.


Guna mempercepat proses pemeriksaan dokumen rencana perkuliahan (GBPP, SAP dan Kontrak Kuliah), dibutuhkan sebuah aplikasi yang mampu mencocokan format penulisan dokumen tersebut. Metode pencarian semantik dengan metadata, salah satunya adalah weighted tree similarity, sangat cocok diterapkan pada aplikasi ini. Penelitian ini dipusatkan pada pembentukan pohon (tree) berbobot dari algoritma weighted tree similarity untuk pencarian dan pencocokan dokumen rencana perkuliahan yang sesuai dengan format standar penilaian dari PPMU. Pencocokan hanya ditujukan pada kata-kata kunci utama, seperti GBPP, SAP, Matakuliah, Jurusan, Deskripsi Matakuliah, Kompetensi Dasar, dsb. Pohon pembanding dibuat dengan cabang tanpa label, hanya ada nilai bobot pada cabang. Besarnya nilai bobot pada tiap cabang dibagi sama rata berdasarkan jumlah cabang, nilainya antara 0 (nol) sampai dengan 1 (satu).

Kata kunci: GBPP, Kontrak Kuliah, Pencarian Semantik, SAP, Weighted Tree Similarity.",Seminar Nasional Sains & Teknologi VI,conference,,,
5,99,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42117', 'eprintid': 28061, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'filename': 'ARS_2015013015390138.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/249907', 'filesize': 6620866, 'objectid': 42117, 'mtime': '2021-02-23 08:32:05', 'hash_type': 'MD5', 'hash': '35c4fb19926bd5bd81a7aebca6a63516', 'mime_type': 'application/pdf', 'fileid': 249907, 'datasetid': 'document'}], 'main': 'ARS_2015013015390138.pdf', 'docid': 42117}]",,2021-02-24 05:04:44,28061,archive,2021-02-24 05:04:44,show,"[{'name': {'given': 'Sergey', 'honourific': None, 'family': 'Gavrilov', 'lineage': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Kubo', 'honourific': None, 'given': 'Mamoru'}}, {'id': None, 'name': {'lineage': None, 'family': 'Tran', 'honourific': None, 'given': 'Vu Anh'}}, {'name': {'given': 'Duc Luu', 'family': 'Ngo', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'Ngoc G', 'honourific': None, 'family': 'Nguyen', 'lineage': None}}, {'id': None, 'name': {'given': 'Lan Anh T.', 'honourific': None, 'family': 'Nguyen', 'lineage': None}}, {'id': 'favorisen.lumbanraja@fmipa.unila.ac.id', 'name': {'family': 'Lumbanraja', 'lineage': None, 'honourific': None, 'given': 'Favorisen R'}}, {'name': {'given': 'Dau', 'honourific': None, 'family': 'Phan', 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Kenji', 'family': 'Satou', 'lineage': None, 'honourific': None}}]",article,,TRUE,Feature Analysis and Classification of Particle Data from Two-DimensionalVideo Disdrometer,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/28061,['QA75'],,,2021-02-24 05:04:44,public,pub,8,['FMIPA3'],Scientific Research,disk0/00/02/80/61,4.0,1.0,https://www.scirp.org/journal/ars/,1-14,2169-2688,Advances in Remote Sensing,,,,"We developed a ground observation system for solid precipitation using two-dimensional video disdrometer (2DVD). Among 16,010 particles observed by the system, around 10% of them were randomly sampled and manually classified into five classes which are snowflake, snowflake-like, intermediate, graupel-like, and graupel. At first, each particle was represented as a vector of 72
features containing fractal dimension and box-count to represent the complexity of particle shape. Feature analysis on the dataset clarified the importance of fractal dimension and box-count features for characterizing particles varying from snowflakes to graupels. On the other hand, performance evaluation of two-class classification by Support Vector Machine (SVM) was conducted. The experimental results revealed that, by selecting only 10 features out of 72, the average accuracy of classifying particles into snowflakes and graupels could reach around 95.4%, which had not been achieved by previous studies.",,,,,
6,752,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '520-2631-4-PB.pdf', 'files': [{'datasetid': 'document', 'fileid': 431821, 'hash': '4f9cafeebc14fe57968ad272ff323d3d', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-01-17 16:13:24', 'filesize': 480391, 'objectid': 158903, 'uri': 'http://repository.lppm.unila.ac.id/id/file/431821', 'filename': '520-2631-4-PB.pdf'}], 'docid': 158903, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158903', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 37963}]",,2022-01-18 01:37:40,37963,archive,2022-01-18 01:37:40,show,"[{'name': {'family': 'Kurniasari', 'lineage': None, 'honourific': None, 'given': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'name': {'family': 'Muludi', 'lineage': None, 'honourific': None, 'given': 'Kurnia'}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}]",article,,TRUE,Development Of Information Dissemination System Through Sms Gateway For Community Service (Lpm) Of University Of Lampung,2015-04-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/37963,['Q1'],published,,2022-01-18 01:37:40,public,pub,6,['FMIPA3'],Jurusan Ilmu Komputer Universitas Lampung,disk0/00/03/79/63,3.0,1.0,https://jurnal.fmipa.unila.ac.id/komputasi/issue/view/52,17-25,2541-0350,Jurnal Komputasi,,,,"Community service programs is one of the three core services (Tri Darma) which is coordinated by LPM of the 
University of Lampung. Since there are large number of lectures who follow LPM Program, it is needed to have 
a special strategy for providing a means of dissemination of information to them. One of the technologies that 
are very popular among cell phone users is SMS (Short Message Service). The natures of SMS are practical, 
economical, and efficient to deliver information. SMS is a technology that is used by many people. It is also 
relatively cheap for message delivery. In this research, Information dissemination system with SMS Gateway is 
implemented using Gammu and is combined with PHP programming language and MySQL database. The 
results of the implementation of the system is helpful and easy for lectureres to obtain information about the 
program of community service where they are joined to.",,,"['Universitas Lampung', 'Universitas Lampung']",,
7,215,"[{'eprintid': 16220, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29328', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-13 03:23:45', 'objectid': 29328, 'filesize': 593042, 'uri': 'http://repository.lppm.unila.ac.id/id/file/138752', 'filename': '1143-2683-3-PB.pdf', 'datasetid': 'document', 'fileid': 138752, 'hash': 'd73046f50a8c27feab65d34e32f05113', 'mime_type': 'application/pdf'}], 'main': '1143-2683-3-PB.pdf', 'docid': 29328, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf'}]",,2019-11-14 10:18:14,16220,archive,2019-11-14 10:18:14,show,"[{'id': 'didikunila@gmail.com', 'name': {'given': 'Didik', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}}, {'id': None, 'name': {'given': 'Aristoteles', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}}]",article,,TRUE,Pengembangan Aplikasi Sistem Pembelajaran Klasifikasi (Taksonomi) dan Tata Nama Ilmiah (Binomial Nomenklatur) pada Kingdom Plantae (Tumbuhan) Berbasis Android,2015-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16220,['QA76'],published,,2019-11-14 10:18:14,public,pub,7,['FMIPA3'],Jurusan Ilmu Komputer Universitas Lampung,disk0/00/01/62/20,3.0,2.0,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1143/937,,2541-0350,Jurnal Komputasi,,,,,,,,,
8,1,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '45 Kurnia Muludi.pdf', 'docid': 49, 'files': [{'fileid': 187, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '018f505e6fd1980ff49b9e39748cbb67', 'filesize': 501439, 'objectid': 49, 'uri': 'http://repository.lppm.unila.ac.id/id/file/187', 'filename': '45 Kurnia Muludi.pdf', 'hash_type': 'MD5', 'mtime': '2016-06-30 02:35:36'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/49', 'eprintid': 29, 'placement': 1}]",,2016-06-30 02:38:20,29,archive,2016-06-30 02:38:20,show,"[{'name': {'lineage': None, 'family': 'Muludi', 'honourific': None, 'given': 'Kurnia'}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}]",conference_item,,TRUE,"IMPLEMENTASI FRAMEWORK MODEL-VIEW-CONTROLLER
PADA SISTEM INFORMASI AKADEMIK UNIVERSITAS LAMPUNG",2015-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29,['AC'],published,,2016-06-30 02:38:20,public,pub,7,['FMIPA3'],,disk0/00/00/00/29,,,http://satek.unila.ac.id,528-536,,,Bandar Lampung,3 November 2015,paper,"Information System characteristics should be able to handle mass transaction, could
present real time data and provide interactive experince to its user. This paper would
discuss Model-View-Controller framework implementation on Academic Information
System of The University of Lampung. Result showed Model-View-Controller
architecture could seperate data core processing and it functionality, consistency among
views,  fleksible interface in relation to the views and could present the information in
many forms.

Keywords: Academic Information System, Model-View-Controller, Web Framework.",Seminar Nasional Sains & Teknologi VI,conference,,,
9,139,"[{'eprintid': 5947, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18863', 'format': 'archive', 'main': 'index.php_action=pages_view_main&active_action=repository_action_common_download&item_id=11119&item_no=1&attribute_id=26&file_no=1&page_id=13&block_id=21', 'files': [{'hash': 'c79a6e393d544f50e2d1f4a71482896c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 55178, 'uri': 'http://repository.lppm.unila.ac.id/id/file/55178', 'filename': 'index.php_action=pages_view_main&active_action=repository_action_common_download&item_id=11119&item_no=1&attribute_id=26&file_no=1&page_id=13&block_id=21', 'objectid': 18863, 'filesize': 3780825, 'mtime': '2017-11-18 02:07:35', 'hash_type': 'MD5'}], 'docid': 18863, 'content': 'published', 'language': 'en', 'rev_number': 3, 'mime_type': 'application/pdf'}]",,2018-03-21 02:15:31,5947,archive,2018-03-21 02:15:31,show,"[{'id': 'tristiyanto.1981@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Tristiyanto', 'given': 'Tristiyanto'}}]",article,,TRUE,Bankruptcy Prediction on Margin Trading and Applications,2015-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/5947,['QA75'],,,2018-03-21 02:15:31,public,pub,9,['FMIPA3'],,disk0/00/00/59/47,59.0,,http://hdl.handle.net/2297/44681,1-26,,The science reports of the Kanazawa University = 金沢大学理科報告,,,,"Although bankruptcy and default are well known as critical factors leading to various financial recessions or financial bubbles, such as the Great Depression in the USA that began in 1929 and the Lost Decade of Japan in the 1990s, predicting when they will occur has not been studied sufficiently. In this paper, we propose a method that filters out risky investors and keeps good investors in a margin-trading simulation. Investors are divided into three classes (bankrupt, surviving and profitable) instead of the standard two (bankrupt/bad and surviving/good). As a result, bubble bursting can be thwarted, since maintaining credit absorption for the qualified investors can prevent the collapse of prices. We expose the problems with using the minimum margin as the de facto tool for controlling trading on the margin. We compare the results of four well-known data classification methods (multiple discriminant analysis, neural networks, decision trees and support vector machines) in order to determine the one that is most suitable for building a credit-scoring schema. Of the methods considered, the C4.5 algorithm for building decision trees was found to be the best. Our proposed strategy can successfully use credit scoring to tame the bubble phenomenon.",,,,['Dikti'],[{'url': 'https://kanazawa-u.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=11119&item_no=1&page_id=13&block_id=21'}]
