,eprint_status,eprintid,datestamp,pagerange,metadata_visibility,userid,documents,official_url,lastmod,pres_type,type,creators,refereed,title,subjects,event_title,date_type,abstract,uri,date,dir,divisions,event_type,status_changed,full_text_status,rev_number,ispublished,id_number,publisher,number,issn,publication,volume,corp_creators,related_url,patent_applicant,contact_email,keywords,referencetext,event_location,event_dates
0,archive,23910,2020-09-07 07:59:52,1-12,show,725,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 37588, 'main': 'SI_11_IOP_ICSTAR_2018 - Volume 332.pdf', 'files': [{'fileid': 218009, 'datasetid': 'document', 'hash': 'd097a98d1adb4f960c7a4ae22284e490', 'mime_type': 'application/pdf', 'filesize': 1269619, 'objectid': 37588, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218009', 'filename': 'SI_11_IOP_ICSTAR_2018 - Volume 332.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-07 05:46:42'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37588', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23910}]",http://doi.org/10.1088/1757-899X/332/1/012003,2020-09-07 07:59:52,paper,conference_item,"[{'name': {'honourific': None, 'family': 'Admi Syarif', 'lineage': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'Kurnia', 'honourific': None, 'family': 'Muludi', 'lineage': None}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Andrian', 'given': 'Rico'}, 'id': 'rico.andrian@fmipa.unila.ac.id'}, {'name': {'given': 'Mitsuo', 'honourific': None, 'lineage': None, 'family': 'Gen'}, 'id': 'mitsuogen@gmail.com'}]",TRUE,Solving Fuzzy Shortest Path Problem by Genetic Algorithm,['T1'],Indonesian Operations Research Association - International Conference on Operations Research 2017,published,"Shortest Path Problem (SPP) is known as one of well-studied fields in the area Operations Research and Mathematical Optimization. It has been applied for many engineering and management designs. The objective is usually to determine path(s) in the network with minimum total cost or traveling time. In the past, the cost value for each arc was usually assigned or estimated as a deteministic value. For some specific real world applications, however, it is often difficult to determine the cost value properly. One way of handling such uncertainty in decision making is by introducing fuzzy approach. With this situation, it will become difficult to solve the problem optimally. This paper presents the investigations on the application of Genetic Algorithm (GA) to a new SPP model in which the cost values are represented as Triangular Fuzzy Number (TFN). We adopts the concept of ranking fuzzy numbers to determine how good the solutions. Here, by giving his/her degree value, the decision maker can determine the range of objective value. This would be very valuable for decision support system in the real world applications.Simulation experiments were carried out by modifying several test problems with 10-25 nodes. It is noted that the proposed approach is capable attaining a good solution with different degree of optimism for the tested problems.",http://repository.lppm.unila.ac.id/id/eprint/23910,1970-01-01 00:00:00.000002018,disk0/00/02/39/10,['FMIPA3'],conference,2020-09-07 07:59:52,public,7,pub,,,,,,,,,,,,,,
1,archive,28374,2021-04-01 01:47:18,,show,725,"[{'main': '18. iop17_nilai.pdf', 'docid': 42891, 'files': [{'fileid': 255549, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'da9f47e701126faf7ca0759e0772cb43', 'hash_type': 'MD5', 'mtime': '2021-03-31 19:55:06', 'filesize': 2559494, 'objectid': 42891, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255549', 'filename': '18. iop17_nilai.pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 28374, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42891', 'pos': 1, 'security': 'public'}]",http://doi.org/10.1088/1757-899X/332/1/012003,2021-04-01 01:47:18,,other,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'lineage': None, 'family': 'Admi Syarif', 'honourific': None}}, {'id': 'rico.andrian@fmipa.unila.ac.id', 'name': {'family': 'Rico Andrian', 'lineage': None, 'honourific': None, 'given': 'RA'}}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'given': 'Kurnia', 'honourific': None, 'lineage': None, 'family': 'Muludi'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Gen', 'given': 'Mitsuo'}, 'id': 'mitsuogen@gmail.com'}]",,Peer Review: Solving fuzzy shortest path problem by genetic algorithm,['T1'],,,"Shortest Path Problem (SPP) is known as one of well-studied fields in the area Operations Research and Mathematical Optimization. It has been applied for many engineering and management designs. The objective is usually to determine path(s) in the network with minimum total cost or traveling time. In the past, the cost value for each arc was usually assigned or estimated as a deteministic value. For some specific real world applications, however, it is often difficult to determine the cost value properly. One way of handling such uncertainty in decision making is by introducing fuzzy approach. With this situation, it will become difficult to solve the problem optimally. This paper presents the investigations on the application of Genetic Algorithm (GA) to a new SPP model in which the cost values are represented as Triangular Fuzzy Number (TFN). We adopts the concept of ranking fuzzy numbers to determine how good the solutions. Here, by giving his/her degree value, the decision maker can determine the range of objective value. This would be very valuable for decision support system in the real world applications.Simulation experiments were carried out by modifying several test problems with 10-25 nodes. It is noted that the proposed approach is capable attaining a good solution with different degree of optimism for the tested problems.",http://repository.lppm.unila.ac.id/id/eprint/28374,2018-04-01 00:00:00.000000000,disk0/00/02/83/74,['FMIPA3'],,2021-04-01 01:47:18,public,7,pub,DOI: 10.1088/1757-899X/332/1/012003,IOP Publishing,,,,,,,,,,,,
2,archive,16018,2019-11-08 10:27:51,1-10,show,215,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'main': '1655-3869-1-PB.pdf', 'docid': 29117, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/137301', 'filename': '1655-3869-1-PB.pdf', 'objectid': 29117, 'filesize': 1039344, 'mtime': '2019-11-08 09:47:34', 'hash_type': 'MD5', 'hash': '3b5882563edee7eee88d031c895852bd', 'mime_type': 'application/pdf', 'fileid': 137301, 'datasetid': 'document'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29117', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 16018}]",http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1655/1332,2019-11-08 10:27:51,,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}, 'id': None}, {'id': 'nur.efendi@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Efendi', 'lineage': None, 'given': 'N'}}, {'name': {'given': 'Febi Eka', 'honourific': None, 'family': 'Febriansyah', 'lineage': None}, 'id': 'febi.febriansyah@fmipa.unila.ac.id'}]",TRUE,Sistem Informasi Kuliah Kerja Nyata (KKN) Berbasis Android Universitas Lampung,['QA76'],,,,http://repository.lppm.unila.ac.id/id/eprint/16018,2018-10-01 00:00:00.000000000,disk0/00/01/60/18,['FMIPA3'],,2019-11-08 10:27:51,public,7,pub,,Jurusan Ilmu Komputer Universitas Lampung,2.0,2541-0350,Jurnal Komputasi,6.0,,,,,,,,
3,archive,16019,2019-11-08 10:27:57,64-74,show,215,"[{'eprintid': 16019, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29118', 'pos': 1, 'format': 'text', 'main': '1573-3789-1-PB.pdf', 'docid': 29118, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/137308', 'filename': '1573-3789-1-PB.pdf', 'filesize': 465963, 'objectid': 29118, 'mtime': '2019-11-08 09:51:10', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '85ac98d81a77e28afbddae5305a1a748', 'datasetid': 'document', 'fileid': 137308}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2}]",http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1573/1319,2019-11-08 10:27:57,,article,"[{'name': {'lineage': None, 'family': 'Aristoteles', 'honourific': None, 'given': 'Aristoteles'}, 'id': None}, {'id': 'martinus@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Martinus', 'lineage': None, 'given': 'Martinus'}}]",TRUE,Panduan Lapangan Jenis Kupu-kupu di Lingkungan Universitas Lampung Berbasis Android,['QA76'],,published,,http://repository.lppm.unila.ac.id/id/eprint/16019,2018-04-01 00:00:00.000000000,disk0/00/01/60/19,['FMIPA3'],,2019-11-08 10:27:57,public,7,pub,,Jurusan Ilmu Komputer Universitas Lampung,1.0,2541-0350,Jurnal Komputasi,6.0,,,,,,,,
4,archive,9594,2018-11-16 17:22:03,126-143,show,99,"[{'eprintid': 9594, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22625', 'pos': 1, 'format': 'text', 'docid': 22625, 'main': 'JBiSE_2018062813402281.pdf', 'files': [{'datasetid': 'document', 'fileid': 91160, 'hash': '6ba836a5d77e9015ee2468f9faec34d4', 'mime_type': 'application/pdf', 'filesize': 415501, 'objectid': 22625, 'filename': 'JBiSE_2018062813402281.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/91160', 'hash_type': 'MD5', 'mtime': '2018-11-07 04:32:40'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",https://www.scirp.org/journal/PaperInformation.aspx?PaperID=85685,2018-11-16 17:22:03,,article,"[{'name': {'given': 'Muhammad Reza', 'honourific': None, 'lineage': None, 'family': 'Faisal'}, 'id': 'reza.faisal@gmail.com'}, {'name': {'given': 'Bahriddin', 'family': 'Abipihi', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'family': 'Nguyen', 'lineage': None, 'honourific': None, 'given': 'Ngoc G'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Purnama', 'honourific': None, 'given': 'Bedy'}}, {'id': None, 'name': {'honourific': None, 'family': 'Delimayanti', 'lineage': None, 'given': 'Mera K'}}, {'name': {'honourific': None, 'family': 'Phan', 'lineage': None, 'given': 'Dau'}, 'id': None}, {'name': {'family': 'Lumbanraja', 'lineage': None, 'honourific': None, 'given': 'Favorisen R'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Kubo', 'lineage': None, 'given': 'Mamoru'}}, {'id': None, 'name': {'honourific': None, 'family': 'Satou', 'lineage': None, 'given': 'Kenji'}}]",TRUE,Improving Protein Sequence Classification Performance Using Adjacent and Overlapped Segments on Existing Protein Descriptors,['QA75'],,,"In protein sequence classification research, it is popular to convert a variable length sequence of protein into a fixed length numerical vector by using various descriptors, for instance, composition of k-mer composition. Such position-independent descriptors are useful since they are applicable to any length of sequence; however, positional information of subsequence is discarded even though it might have high contribution to classification performance. To solve this problem, we divided the original sequence into some segments, and then calculated the numerical features for them. It enables us to partially introduce positional information (for instance, compositions of serine in anterior and posterior segments of a sequence). Through comprehensive experiments on the number of segments and length of overlapping region, we found our classification approach with sequence segmentation and feature selection is effective to improve the performance. We evaluated our approach on three protein classification problems and achieved significant improvement in all cases which have a dataset with sufficient amino acid in each sequence. This result has shown the great potential of using additional segments in protein sequence classification to solve other sequence problems in bioinformatics.",http://repository.lppm.unila.ac.id/id/eprint/9594,2018-06-29 00:00:00.000000000,disk0/00/00/95/94,['FMIPA3'],,2018-11-16 17:22:03,public,18,pub,https://doi.org/10.4236/jbise.2018.116012,Scientific Research,6.0,1937-6871,Journal of Biomedical Science and Engineering,11.0,,,,,,,,
5,archive,10117,2018-11-16 17:27:22,30-38,show,80,"[{'placement': 1, 'eprintid': 10117, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23126', 'security': 'public', 'docid': 23126, 'main': 309, 'files': [{'fileid': 94789, 'datasetid': 'document', 'hash': '019f1c665e4ac95c8a8f3a28e6e6851f', 'mime_type': 'text/html', 'filesize': 4317, 'objectid': 23126, 'filename': 309, 'uri': 'http://repository.lppm.unila.ac.id/id/file/94789', 'hash_type': 'MD5', 'mtime': '2018-11-16 03:24:38'}], 'format': 'text', 'rev_number': 3, 'language': 'en', 'mime_type': 'text/html', 'content': 'published'}]",http://jurnalsaintek.uinsby.ac.id/index.php/SYSTEMIC/,2018-11-16 17:27:22,,article,"[{'id': 'astria.hijriani@gmail.com', 'name': {'given': 'Astria', 'family': 'Hijriani', 'lineage': None, 'honourific': None}}, {'id': 'aprilliadewi06@gmail.com', 'name': {'honourific': None, 'family': 'Aprillia', 'lineage': None, 'given': 'Dewi'}}]",TRUE,Priority Determination of Application Candidate UsingWard and Peppard’s Composite Matrix Portfolio and Business Process Analysis for Customer Relationship Management (CRM),['QA75'],,,"By using CRM, the organization will be able to identify of what customerrequires and needs, thus will improve the service. The designing of CRMthe ComputerScience Department using Zachman  Framework  is  one  of  the  approach  methods to  serve  customers  in  better  ways. Zachman  Framework  has  not  provided  a  method  for  determining the  priority  of  the application candidates that will be designed.In this research the authors use the Ward and Peppard’scomposite matrix portfolio and business process analysis for priority to determine the priority of application candidates. The phase of candidate’sdetermination by using Ward and Peppard’s composite matrix and business processconsist of six steps.The results arein the form of mappingfor each application candidate/application system into four quadrants which are providedin compositematrix for the decision-makingprocess. The matrixconsistsof keyoperational,  strategic,  high  potential  and  support.  The  mapping  on  Ward  and Peppard’s  composite  matrix  is  then  used  to  separate  the  application  candidates  into  two groups, the main priority of application group/information system and non-main priority of application  group/information  system.  There  are  five  information  systems  which  are classified into mainpriority application group/information systemand recommended to be developedin further research",http://repository.lppm.unila.ac.id/id/eprint/10117,2018-08-01 00:00:00.000000000,disk0/00/01/01/17,['FMIPA3'],,2018-11-16 17:27:22,public,7,pub,https://doi.org/10.29080/systemic.v4i1,Fakultas Sains dan Teknologi Universitas Islam Negeri Sunan Ampel Surabaya,1.0,2548-6551,SYSTEMIC : Information System and Informatics Journal,4.0,"['Lampung University', 'Lampung University']","[{'url': 'http://jurnalsaintek.uinsby.ac.id/index.php/SYSTEMIC/issue/view/42', 'type': 'pub'}]",,,,,,
6,archive,19841,2020-05-18 02:22:29,88-96,show,139,"[{'language': 'id', 'rev_number': 3, 'mime_type': 'text/html', 'docid': 33141, 'main': 1699, 'files': [{'datasetid': 'document', 'fileid': 187857, 'hash': 'b0555407038c84f572f1b5f89d8e7f1d', 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2020-05-17 04:18:50', 'objectid': 33141, 'filesize': 28923, 'filename': 1699, 'uri': 'http://repository.lppm.unila.ac.id/id/file/187857'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33141', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 19841}]",https://jurnal.fmipa.unila.ac.id/komputasi/article/view/1699,2020-05-18 02:22:29,,article,"[{'name': {'given': 'Feri', 'honourific': None, 'family': 'Krisnanto', 'lineage': None}, 'id': None}, {'id': 'tristiyanto.1981@fmipa.unila.ac.id', 'name': {'family': 'Tristiyanto', 'lineage': None, 'honourific': None, 'given': 'Tristiyanto'}}, {'name': {'lineage': None, 'family': 'Ardiansyah', 'honourific': None, 'given': 'Ardiansyah'}, 'id': 'ardiansyah@fmipa.unila.ac.id'}]",TRUE,Simulasi Sistem Informasi Komoditas Pasar Berbasis Web Menggunakan Metode Continuous Double Auction,['QA75'],,published,"Sale-purchase often expect the occurrence of mutually fair transaction. Perfect Competition Market is an ideal market structure, because many sellers and buyers will be determined the price based on demand and supply. Continuous Double Auction (CDA) is one method that allows the occurrence of many transactions with the result that buyers get the cheapest price and the seller get a highest price. Currently, transactions can be made online by multiple platforms that promise the information, spacious seller and buyer access, and perfect price competition. CDA method can also be applied to the online market system. This research tries to make e-auction system and simulate that  market commodities using CDA method, focusing on the indication of price change (price fluctuation) that happened. The quantity of participants who make a sale or buy will also affect the price fluctuation changes. If there are more sellers than the buyer, the market increase (Bullish) and otherwise the market decrease (Bearish). The simulation which applies profit-selling strategy, will increase the price higher than the random simulation.",http://repository.lppm.unila.ac.id/id/eprint/19841,2018-10-01 00:00:00.000000000,disk0/00/01/98/41,['FMIPA3'],,2020-05-18 02:22:29,public,7,pub,,Jurusan Ilmu Komputer Universitas Lampung,2.0,2541-0350,Jurnal Komputasi,6.0,,,,,,,,
7,archive,15987,2019-11-08 10:22:08,,show,193,"[{'files': [{'fileid': 137038, 'datasetid': 'document', 'hash': 'de4e87b81d3a5c9ffde5d37b133f1e1f', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-08 08:18:59', 'filesize': 771138, 'objectid': 29077, 'filename': 'Sertifikat_EC00201850274_000121567.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/137038'}], 'main': 'Sertifikat_EC00201850274_000121567.pdf', 'docid': 29077, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'placement': 1, 'eprintid': 15987, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29077', 'pos': 1, 'security': 'public'}]",https://e-hakcipta.dgip.go.id/index.php/c?code=m8K6%2FjrOD4iKqq032gBolf1B9%2BGcXscRRet1POxuOJM%3D,2019-11-08 10:22:08,,patent,"[{'id': '.didikunila@gmail.com', 'name': {'given': 'Didik', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}}, {'id': '.', 'name': {'given': 'Anie Rose', 'honourific': None, 'lineage': None, 'family': 'Irawati'}}]",,Sistem Informasi Pemetaan UMKM,['QA76'],,published,,http://repository.lppm.unila.ac.id/id/eprint/15987,2018-10-19 00:00:00.000000000,disk0/00/01/59/87,['FMIPA3'],,2019-11-08 10:22:08,public,8,pub,121567,,,,,,,,Program Komputer,,,,,
8,archive,9593,2018-11-16 17:22:00,144-157,show,99,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22624', 'eprintid': 9593, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 22624, 'main': 'JBiSE_2018062813462109.pdf', 'files': [{'objectid': 22624, 'filesize': 1914653, 'filename': 'JBiSE_2018062813462109.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/91154', 'hash_type': 'MD5', 'mtime': '2018-11-07 04:02:21', 'fileid': 91154, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2a099449fb464aade7e154103dd8c8b4'}]}]",https://www.scirp.org/journal/PaperInformation.aspx?PaperID=85690,2018-11-16 17:22:00,,article,"[{'name': {'given': 'Favorisen R', 'honourific': None, 'family': 'Lumbanraja', 'lineage': None}, 'id': 'favorisen@gmail.com'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Nguyen', 'given': 'Ngoc G'}}, {'id': None, 'name': {'given': 'Dau', 'honourific': None, 'family': 'Phan', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Faisal', 'honourific': None, 'given': 'Mohammad  Reza'}, 'id': None}, {'id': None, 'name': {'given': 'Bahriddin', 'lineage': None, 'family': 'Abipihi', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Purnama', 'lineage': None, 'given': 'Bedy'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Delimayanti', 'lineage': None, 'given': 'Mera K'}}, {'name': {'family': 'Kubo', 'lineage': None, 'honourific': None, 'given': 'Mamoru'}, 'id': None}, {'name': {'family': 'Satou', 'lineage': None, 'honourific': None, 'given': 'Kenji'}, 'id': None}]",TRUE,"Improved Protein Phosphorylation Site Prediction by a
New Combination of Feature Set and Feature Selection",['QA75'],,published,"Phosphorylation of protein is an important post-translational modification that enables activation
of various enzymes and receptors included in signaling pathways. To reduce the cost of identifying phosphorylation site by laborious experiments, computational prediction of it has been actively studied. In this study, by adopting a new set of features and applying  feature selection by Random Forest with grid search before training by Support Vector Machine, our method achieved better or comparable performance of phosphorylation site prediction for two different data sets.",http://repository.lppm.unila.ac.id/id/eprint/9593,2018-06-29 00:00:00.000000000,disk0/00/00/95/93,['FMIPA3'],,2018-11-16 17:22:00,public,9,pub,https://doi.org/10.4236/jbise.2018.116013,Scientific Research,6.0,1937-6871,Journal of Biomedical Science and Engineering,11.0,,,,,,,,
9,archive,14498,2019-10-15 02:03:36,,show,883,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27578', 'eprintid': 14498, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2019-10-09 03:40:19', 'objectid': 27578, 'filesize': 868197, 'filename': 'ARSITEKTUR SISTEM EKSTRKSI INFORMASI 2018.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/125653', 'fileid': 125653, 'datasetid': 'document', 'hash': '60ae300dde058cfe1ca15bc125c5d237', 'mime_type': 'application/pdf'}], 'main': 'ARSITEKTUR SISTEM EKSTRKSI INFORMASI 2018.pdf', 'docid': 27578}]",,2019-10-15 02:03:36,,other,"[{'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'given': 'Kurnia', 'lineage': None, 'family': 'Muludi', 'honourific': None}}]",,Peer Review paper ARSITEKTUR SISTEM EKSTRKSI INFORMASI,['QA76'],,,,http://repository.lppm.unila.ac.id/id/eprint/14498,1970-01-01 00:00:00.000002018,disk0/00/01/44/98,['FMIPA3'],,2019-10-15 02:03:36,public,8,unpub,,Universitas Lampung,,,,,,,,,,,,
