,status_changed,full_text_status,rev_number,ispublished,publisher,divisions,dir,uri,date,subjects,place_of_pub,creators,type,title,userid,documents,lastmod,eprint_status,id_number,eprintid,datestamp,metadata_visibility,official_url,number,pagerange,contact_email,refereed,abstract,volume,date_type,issn,publication,event_location,pres_type,event_dates,event_type,event_title,corp_creators,related_url,contributors,succeeds,referencetext
0,2021-04-01 01:45:32,public,8,pub,PT. Graha Ilmu,['FMIPA3'],disk0/00/02/83/28,http://repository.lppm.unila.ac.id/id/eprint/28328,1970-01-01 00:00:00.000002016,['TA'],Yogyakarta,"[{'name': {'given': 'AS', 'honourific': None, 'lineage': None, 'family': 'Admi Syarif'}, 'id': 'admi_syarif@yahoo.com'}]",other,"Peer Review: ALGORITMA GENETIKA, Teori dan Aplikasi",725,"[{'format': 'text', 'main': '1. ga16_nilai.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '53c84d90b27243b7ca88b984c67f7984', 'fileid': 255501, 'datasetid': 'document', 'filename': '1. ga16_nilai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255501', 'objectid': 42876, 'filesize': 2224969, 'mtime': '2021-03-31 19:32:44', 'hash_type': 'MD5'}], 'docid': 42876, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 28328, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42876', 'pos': 1}]",2021-04-01 01:45:32,archive,ISBN: 978-602-262-307-6,28328,2021-04-01 01:45:32,show,,,,,,,,,,,,,,,,,,,,
1,2016-12-29 01:06:35,restricted,15,pub,Asian Research Publishing Network,['FMIPA3'],disk0/00/00/13/29,http://repository.lppm.unila.ac.id/id/eprint/1329,2016-04-10 00:00:00.000000000,['QA75'],,"[{'name': {'given': 'AS', 'honourific': None, 'family': 'Admi Syarif', 'lineage': None}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'AR', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'A. Dwiastuti', 'lineage': None, 'given': 'AD'}}, {'name': {'given': 'RM', 'family': 'R. Malinda', 'lineage': None, 'honourific': None}, 'id': None}]",article,PERFORMANCE EVALUATION OF VARIOUS GENETIC ALGORITHM APPROACHES FOR KNAPSACK PROBLEM,215,"[{'main': 'Jurnal Int  2016 ARPN Journal of Engineering and Applied Sciences -aristoteles.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2016-12-19 07:44:57', 'objectid': 1207, 'filesize': 936439, 'filename': 'Jurnal Int  2016 ARPN Journal of Engineering and Applied Sciences -aristoteles.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8933', 'fileid': 8933, 'datasetid': 'document', 'hash': 'ef2c746869c501d73bd3f3960ffa6f3d', 'mime_type': 'application/pdf'}], 'docid': 1207, 'format': 'text', 'rev_number': 6, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'placement': 2, 'eprintid': 1329, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1207', 'security': 'validuser'}]",2016-12-29 01:06:35,archive,,1329,2016-12-29 01:06:35,show,http://www.arpnjournals.org/jeas/research_papers/rp_2016/jeas_0416_4013.pdf,7.0,4713-4719,aristoteles.1981@fmipa.unila.ac.id,TRUE,"Knapsack Problem (KP) is known as one of optimization problems that has taken great interest of researchers. It
has been applied for many practical applications. Since it belongs to the class of NP-hard problems, most of researchers reported heuristic methods to solve it. Those include Branch and Bound, Greedy Algorithm, Genetic Algorithm and Dynamic Programming.  

In this paper, we focus on the performance evaluation of various Genetic Algorithm (GA) approaches to solve
Knapsack Problem. We developed four different GA approaches with different strategies. The first, random penalty GA
(rpGA) uses random strategy to generate chromosome and penalty strategy to handle infeasible chromosome. The second, directed penalty GA (dpGA) uses directed strategy to generate chromosome and penalty to handle infeasible chromosome. The third, random repairing GA (rrGA) uses random strategy to generate chromosome and repairing strategy to handle
infeasible chromosome. The fourth, directed repairing GA (drGA) uses directed strategy to generate chromosome and
repairing strategy to handle infeasible chromosome. 

In order to investigate the performance of those Algorithms, we have done several numerical experiments by using different size Benchmark test problems given in literature. The effectiveness and the efficiency of the methods are also evaluated by varying GA parameters. Based on our experiments, it is shown that drGA was the best performance to give optimal solution within reasonable computational time. 
 
Keywords:
knapsack problem, combinatorial optimization, evaluation strategy, genetic algorithm.",11,published,1819-6608,ARPN Journal of Engineering and Applied Sciences,,,,,,,,,,
2,2021-04-01 01:45:40,public,8,pub,Asian Research Publishing Network,['FMIPA3'],disk0/00/02/83/39,http://repository.lppm.unila.ac.id/id/eprint/28339,2016-04-01 00:00:00.000000000,['T1'],,"[{'id': 'admi_syarif@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Admi Syarif', 'given': 'AS'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Arianti', 'lineage': None, 'given': 'Dwiastuti'}}, {'id': None, 'name': {'given': 'Malinda', 'honourific': None, 'lineage': None, 'family': 'Riska'}}]",other,Peer Review: Performance evaluation of various genetic algorithm approaches for knapsack problem,725,"[{'placement': 1, 'eprintid': 28339, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42878', 'pos': 1, 'security': 'public', 'main': '5. arpn116_nilai.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-03-31 19:33:51', 'objectid': 42878, 'filesize': 2628842, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255507', 'filename': '5. arpn116_nilai.pdf', 'fileid': 255507, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'a5e1a0fd4eb974eb0591754caecb7911'}], 'docid': 42878, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-04-01 01:45:40,archive,,28339,2021-04-01 01:45:40,show,http://www.arpnjournals.org/jeas/research_papers/rp_2016/jeas_0416_4013.pdf,,,,,"Knapsack Problem (KP) is known as one of optimization problems that has taken great interest of researchers. It has been applied for many practical applications. Since it belongs to the class of NP-hard problems, most of researchers reported heuristic methods to solve it. Those include Branch and Bound, Greedy Algorithm, Genetic Algorithm and Dynamic Programming. In this paper, we focus on the performance evaluation of various Genetic Algorithm (GA) approaches to solve Knapsack Problem. We developed four different GA approaches with different strategies. The first, random penalty GA (rpGA) uses random strategy to generate chromosome and penalty strategy to handle infeasible chromosome. The second, directed penalty GA (dpGA) uses directed strategy to generate chromosome and penalty to handle infeasible chromosome. The third, random repairing GA (rrGA) uses random strategy to generate chromosome and repairing strategy to handle infeasible chromosome. The fourth, directed repairing GA (drGA) uses directed strategy to generate chromosome and repairing strategy to handle infeasible chromosome. In order to investigate the performance of those algorithms, we have done several numerical experiments by using different size Benchmark test problems given in literature. The effectiveness and the efficiency of the methods are also evaluated by varying GA parameters. Based on our experiments, it is shown that drGA was the best performance to give optimal solution within reasonable computational time. Keywords: knapsack problem, combinatorial optimization, evaluation strategy, genetic algorithm.",,,,,,,,,,,,,,
3,2017-08-11 03:57:59,public,9,pub,,['FMIPA3'],disk0/00/00/38/16,http://repository.lppm.unila.ac.id/id/eprint/3816,2016-10-20 00:00:00.000000000,['QA75'],,"[{'name': {'given': 'Aristoteles', 'lineage': None, 'family': 'Aristoteles', 'honourific': None}, 'id': 'aristoteles.1981@fmipa.unila.ac.id'}, {'name': {'given': 'Kusuma', 'honourific': None, 'lineage': None, 'family': 'Adhianto'}, 'id': '.'}, {'name': {'given': 'Puji Abdulah', 'lineage': None, 'family': 'Puja', 'honourific': None}, 'id': None}]",conference_item,An Expert System To Diagnose Chicken Diseases With Certainty Factor Based On Android,215,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/3676', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3816, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'datasetid': 'document', 'fileid': 26721, 'mime_type': 'application/pdf', 'hash': '4bded5e8bda0dedb2c290ef1dd5e0236', 'hash_type': 'MD5', 'mtime': '2017-08-10 05:45:15', 'filesize': 1393830, 'objectid': 3676, 'filename': 'Proceeding_IWS_2016_Aristoteles.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26721'}], 'main': 'Proceeding_IWS_2016_Aristoteles.pdf', 'docid': 3676, 'format': 'text'}]",2017-08-11 03:57:59,archive,,3816,2017-08-11 03:57:59,show,http://wildlife.unila.ac.id/download/proceeding-iws-unila-2016/,,117-12,,TRUE,"There search was conducted to create an expert system that is able to diagnose chicken diseases based on the experts / specialists knowledge. This study uses a calculation method called Certainty Factor (CF) to calculate the level of expertise. The expert system created on Android mobile device platform.The research data consist of symptoms data, chicken diseases data, and data rules. Chicken disease data is limited to diseases caused by bacteria (bacterial), totaling 19 types of diseases with 78 kinds  of  symptoms and  184  types  of  rules.Inference method  that  used  is  forward  chaining  by searching for rules based on user answers in the form of check mark (√). Users answers are processed according to the rules and calculated using certainty factor method. The test results showed that : (1) Functional testing using Black Box Equivalence Partitioning (EP) get results as expected as the test scenarios in each test class.(2) Diagnosis testing by comparing the results of manual calculations and systems calculations showed 99 percent was appropriate and well-run.(3) Questionnaire testing with 31 respondents were divided into three groups of respondents indicated; first respondents group consisting of specialists of chicken diseases gets 63.33 percent of an average value (categorized good), the second respondents group consisting of breeder and students of majoring in animal. husbandry gets 77.71 percent of an average value (categorized good), and the third respondents group consisting of students of majoring computer science gets 82 percent of an average value (categorized very good).",,published,,,Bandarlampung,paper,18-20 October 2016,conference,3rd  INTERNATIONAL WILDLIFE SYMPOSIUM,,,,,
4,2017-08-11 04:00:20,public,7,pub,,['FMIPA3'],disk0/00/00/37/65,http://repository.lppm.unila.ac.id/id/eprint/3765,2016-10-20 00:00:00.000000000,['QA75'],,"[{'id': 'aristoteles.1981@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}}, {'id': None, 'name': {'given': 'Kusuma', 'lineage': None, 'family': 'Adhianto', 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Puja Putri', 'lineage': None, 'given': 'Abdullah'}}]",conference_item,"AN EXPERT SYSTEM TO DIAGNOSE CHICKEN DISEASES WITH
CERTAINTY FACTOR BASED ON ANDROID",215,"[{'eprintid': 3765, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3621', 'pos': 1, 'format': 'text', 'docid': 3621, 'main': 'Proceeding_IWS_2016_Aristoteles.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-08-03 14:01:27', 'objectid': 3621, 'filesize': 1393830, 'uri': 'http://repository.lppm.unila.ac.id/id/file/26394', 'filename': 'Proceeding_IWS_2016_Aristoteles.pdf', 'datasetid': 'document', 'fileid': 26394, 'hash': '4bded5e8bda0dedb2c290ef1dd5e0236', 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2017-08-11 04:00:20,archive,,3765,2017-08-11 04:00:20,show,http://wildlife.unila.ac.id/download/proceeding-iws-unila-2016/,,117-126,aristoteles.1981@fmipa.unila.ac.id,TRUE,"Theresearch was conducted to create an expert system that is able to diagnosechicken diseases based
on the experts / specialists knowledge. This study uses a calculation method called Certainty Factor
(CF) to calculate the level of expertise. The expert system created on Android mobile device 
platform.The research data consist of symptoms data, chicken diseases data, and data rules. Chicken
disease data is limited to diseases caused by bacteria (bacterial), totaling 19 types of diseases with 78
kinds  of  symptoms and  184  types  of  rules.Inference method  that  used  is  forward  chaining  by
searching for rules based on user answers in the form of check mark (√).Users answers are processed
according to the rules and calculated using certainty factor method. The test results showed that : (1)
Functional testing using Black Box Equivalence Partitioning (EP) get results as expected as the test 
scenarios in each test class.(2) Diagnosis testing by comparing the results of manual calculations and
systems calculations showed 99 percent was appropriate and well-run.(3) Questionnaire testing with
31 respondents were divided into three groups of respondents indicated; first respondents group consisting of specialists of chicken diseases gets 63.33 percent of an average value (categorized good),the second respondents group consisting of breeder and students of majoring in animal husbandrygets77.71 percent of an average value (categorized good), and the third respondents group consisting of students of majoring computer science gets82 percent of an average value (categorized very good). 
Keywords: Android, Certainty Factor, CF method, Chicken Disease, Expert System.",,published,,,Bandarlampung,paper,18-20 October 2016,conference,3rd  INTERNATIONAL WILDLIFE SYMPOSIUM,,,,,
5,2019-11-14 10:14:39,public,7,pub,Jurusan Ilmu Komputer Universitas Lampung,['FMIPA3'],disk0/00/01/62/10,http://repository.lppm.unila.ac.id/id/eprint/16210,2016-04-01 00:00:00.000000000,['QA76'],,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}, 'id': None}, {'name': {'given': 'Dwi', 'family': 'Sakethi', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'admi_syarif@yahoo.com', 'name': {'given': 'Admi', 'honourific': None, 'lineage': None, 'family': 'Syarif'}}]",article,Pengembangan Sistem Informasi Comicreader Menggunakan Kerangka Kerja Yii,215,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29313', 'security': 'public', 'placement': 1, 'eprintid': 16210, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'docid': 29313, 'main': '1191-2750-2-PB (1).pdf', 'files': [{'objectid': 29313, 'filesize': 771120, 'filename': '1191-2750-2-PB (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/138672', 'hash_type': 'MD5', 'mtime': '2019-11-13 02:40:08', 'datasetid': 'document', 'fileid': 138672, 'hash': '2b0798cc4e8bddd9d89ed7bc8c4052ca', 'mime_type': 'application/pdf'}], 'format': 'text'}]",2019-11-14 10:14:39,archive,,16210,2019-11-14 10:14:39,show,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1191/974,1.0,176-186,,TRUE,,4,published,2541-0350,Jurnal Komputasi,,,,,,,,,,
6,2017-07-31 07:36:47,public,6,pub,Jurusan Ilmu Komputer Universitas Lampung,['FMIPA3'],disk0/00/00/37/23,http://repository.lppm.unila.ac.id/id/eprint/3723,2016-04-01 00:00:00.000000000,['QA75'],,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hijriani', 'given': 'Astria'}, 'id': 'astria.hijriani@gmail.com'}, {'id': 'febi.febriansyah@fmipa.unila.ac.id', 'name': {'given': 'Febi Eka', 'family': 'Febriansyah', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Ana', 'honourific': None, 'lineage': None, 'family': 'Ana'}, 'id': None}]",article,"Pengembangan Modul Penerimaan Karyawan dan
Modul Penggajian pada Sistem Informasi Kepegawaian
Pt. Traktor Nusantara Bandar Lampung",80,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '1135-2678-3-PB.pdf', 'docid': 3586, 'files': [{'mime_type': 'application/pdf', 'hash': '9b8af1031a89e1dc7bb31a632f0ff395', 'fileid': 26152, 'datasetid': 'document', 'mtime': '2017-07-25 08:59:19', 'hash_type': 'MD5', 'filename': '1135-2678-3-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26152', 'filesize': 565785, 'objectid': 3586}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3586', 'pos': 1, 'eprintid': 3723, 'placement': 1}]",2017-07-31 07:36:47,archive,,3723,2017-07-31 07:36:47,show,http://jurnal.fmipa.unila.ac.id/index.php/komputasi/index,1.0,75-83,,FALSE,"This study developed a Decision Support System (DSS) by utilizing Analytical Hierarchy Process (AHP)
Method as a process in selection of employees acquisition. This selection process used several criteria
(multicriteria) to choose which applicants will be accepted. This Decision Support System (DSS) helps
managers of Human Resources (HR) in deciding which applicants will be selected. In this application, there are
criteria used and the weight of those criteria. This application of module business process will be able to
generate the rank of each applicant based on the final amount. The applicant who has the greatest value will be
given a better rank and it means that the applicant has criteria in accordance with company’s requirement. In
addition, Web Service as a business process of payroll modules. In this process, a set of functions or methods
which contained on a server can exchange data and information using an operating system and application that
different from each other through the internet that uses XML as the format of message delivery. This system
constructed by using PHP and MySQL as language. The result of functional testing data based on test case
testing shows that the system can work ""in accordance"" with its analysis.",4,published,2541-0350,Jurnal Komputasi,,,,,,"['Jurusan Ilmu Komputer Universitas Lampung', 'Jurusan Ilmu Komputer Universitas Lampung', 'Jurusan Ilmu Komputer Universitas Lampung']","[{'type': 'pub', 'url': 'http://jurnal.fmipa.unila.ac.id/index.php/komputasi/article/view/1135/932'}]","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,
7,2017-07-31 03:52:14,public,7,pub,UPN Veteran Jawa Timur,['FMIPA3'],disk0/00/00/37/18,http://repository.lppm.unila.ac.id/id/eprint/3718,2016-02-01 00:00:00.000000000,['QA75'],,"[{'name': {'given': 'Didik', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}, 'id': 'didikunila@gmail.com'}, {'name': {'lineage': None, 'family': 'Hijriani', 'honourific': None, 'given': 'Astria'}, 'id': 'astria.hijriani@gmail.com'}]",article,PENERAPAN TEKNOLOGI INFORMASI PADA UKM KERAJINAN LAS DAN ALUMUNIUM DI KELURAHAN SUSUNAN BARU  DENGAN PENINGKATAN KEMAMPUAN E-COMMERCE,80,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3582', 'pos': 1, 'eprintid': 3718, 'placement': 1, 'content': 'published', 'rev_number': 2, 'language': 'id', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Jurnal SCAN UPN Veteran.pdf', 'docid': 3582, 'files': [{'mtime': '2017-07-25 07:29:05', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26130', 'filename': 'Jurnal SCAN UPN Veteran.pdf', 'objectid': 3582, 'filesize': 3026504, 'mime_type': 'application/pdf', 'hash': '28bfac0e77cd4d899a0de02989fa628b', 'fileid': 26130, 'datasetid': 'document'}]}]",2017-07-31 03:52:14,archive,,3718,2017-07-31 03:52:14,show,http://ejournal.upnjatim.ac.id/index.php/scan/index,1.0,31-35,,FALSE,"Salah satu tantangan bagi pelaku usaha kecil dan menengah adalah bagaimana mengembangkan target pemasaran produk yang dihasilkan, hal ini dapat dilakukan dengan pemanfaatan teknologi informasi. Akan tetapi berdasarkan catatan Biro Pusat Statistik sebagian besar taraf pendidikan pelaku usaha kecil dan menengah lulusan sekolah dasar yaitu sebesar 48% yang menyebabkan belum memanfaatkan teknologi informasi sebagai sarana untuk memperluas pemasaran produknya. Dalam penelitian ini melakukan uji coba terhadap 2 UKM untuk menerapkan teknologi informasi berupa e-commerce. Dari penerapan ini, didapatkan hasil bahwa terdapat peningkatan jumlah pelanggan yang dipengaruhi informasi dari penerepan e-commerce ini. Akan tetapi karena karakteristik pemakai produk dari UKM ini harus melakukan tatap muka secara langsung untuk menentukan spesifikasi produknya, maka pemanfaatan fungsi-fungsi e-commerce tidak maksimal.",XI,published,1978-0087,SCAN - Jurnal Teknologi Informasi dan Komunikasi,,,,,,"['Jurusan Ilmu Komputer Universitas Lampung', 'Jurusan Ilmu Komputer Universitas Lampung']","[{'type': 'pub', 'url': 'http://ejournal.upnjatim.ac.id/index.php/scan/article/view/631'}]","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,
8,2019-11-14 10:14:37,public,7,pub,Jurusan Ilmu Komputer Universitas Lampung,['FMIPA3'],disk0/00/01/62/09,http://repository.lppm.unila.ac.id/id/eprint/16209,2016-10-01 00:00:00.000000000,['QA76'],,"[{'name': {'given': 'Kurnia', 'lineage': None, 'family': 'Muludi', 'honourific': None}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}, {'id': None, 'name': {'given': 'Aristoteles', 'honourific': None, 'lineage': None, 'family': 'Aristoteles'}}]",article,Pemetaan Sebaran Asal Siswa dan Klasifikasi Jarak Asal Siswa SMA Negeri di Kabupaten Pringsewu Menggunakan Metode NaïVe Bayes,215,"[{'main': '1351-3403-1-PB.pdf', 'docid': 29312, 'files': [{'hash': 'ab76c79300ec81040769b96303d9391c', 'mime_type': 'application/pdf', 'fileid': 138664, 'datasetid': 'document', 'filename': '1351-3403-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/138664', 'objectid': 29312, 'filesize': 724071, 'mtime': '2019-11-13 02:36:41', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'placement': 1, 'eprintid': 16209, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29312', 'pos': 1, 'security': 'public'}]",2019-11-14 10:14:37,archive,,16209,2019-11-14 10:14:37,show,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1351/1213,2.0,52-66,,TRUE,,4,published,2541-0350,Jurnal Komputasi,,,,,,,,,,
9,2021-02-24 05:04:50,public,8,pub,Scientific Research,['FMIPA3'],disk0/00/02/80/63,http://repository.lppm.unila.ac.id/id/eprint/28063,1970-01-01 00:00:00.000002016,['QA75'],,"[{'name': {'given': 'Ngoc G', 'family': 'Nguyen', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Vu Anh', 'honourific': None, 'lineage': None, 'family': 'Tran'}}, {'name': {'honourific': None, 'family': 'Phan', 'lineage': None, 'given': 'Dau'}}, {'name': {'family': 'Lumbanraja', 'lineage': None, 'honourific': None, 'given': 'Favorisen R'}}, {'name': {'family': 'Faisal', 'lineage': None, 'honourific': None, 'given': 'Mohammad  Reza'}}, {'name': {'given': 'Bahriddin', 'lineage': None, 'family': 'Abapihi', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kubo', 'given': 'Mamoru'}}, {'name': {'given': 'Kenji', 'honourific': None, 'family': 'Satou', 'lineage': None}}]",article,DNA Sequence Classification by Convolutional Neural Network,99,"[{'format': 'text', 'main': 'JBiSE_2016042713533805.pdf', 'docid': 42119, 'files': [{'mtime': '2021-02-23 08:49:54', 'hash_type': 'MD5', 'filename': 'JBiSE_2016042713533805.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/249923', 'objectid': 42119, 'filesize': 916176, 'mime_type': 'application/pdf', 'hash': 'dbae4ba1fd7253f1d84e1589bf61cd1f', 'datasetid': 'document', 'fileid': 249923}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 28063, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42119'}]",2021-02-24 05:04:50,archive,,28063,2021-02-24 05:04:50,show,https://www.scirp.org/journal/jbise,5.0,280-286,,TRUE,"In recent years, a deep learning model called convolutional neural network with an ability of extracting features of high-level abstraction from minimum preprocessing data has been widely
used. In this research, we proposed a new approach in classifying DNA sequences using the convolutional neural network while considering these sequences as text data. We used one-hot vectors to represent sequences as input to the model; therefore, it conserves the essential position information of each nucleotide in sequences. Using 12 DNA sequence datasets, we evaluated our proposed model and achieved significant improvements in all of these datasets. This result has shown a potential of using convolutional neural network for DNA sequence to solve other sequence problems in bioinformatics.",9,,1937-688X,Journal Biomedical Science and Engineering,,,,,,,,,,
