,userid,lastmod,documents,datestamp,eprintid,editors,eprint_status,metadata_visibility,pagerange,place_of_pub,isbn,creators,type,title,refereed,abstract,corp_creators,date,uri,date_type,subjects,book_title,full_text_status,status_changed,ispublished,rev_number,publisher,divisions,dir,publication,issn,id_number,official_url,contact_email,related_url,event_title,event_type,funders,event_dates,pres_type,event_location,volume,number,note,projects,keywords,referencetext
0,269,2021-03-15 01:42:51,"[{'main': 'Representasi Perempuan pada Pilkada di Masa Pandemi 2020.pdf', 'files': [{'mtime': '2021-03-14 10:19:16', 'hash_type': 'MD5', 'filename': 'Representasi Perempuan pada Pilkada di Masa Pandemi 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/252101', 'filesize': 732509, 'objectid': 42402, 'mime_type': 'application/pdf', 'hash': '341bc7573afb7a08f1eacccb4abb9116', 'datasetid': 'document', 'fileid': 252101}], 'docid': 42402, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28363, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42402', 'security': 'public'}]",2021-03-15 01:42:51,28363,"[{'name': {'given': 'Hertanto', 'honourific': None, 'lineage': None, 'family': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}, {'id': 'arizka.warganegara@fisip.unila.ac.id', 'name': {'given': 'Arizka', 'family': 'Warganegara', 'lineage': None, 'honourific': None}}, {'id': 'robi_ck@yahoo.com, robi.cahyadi@fisip.unila.ac.id', 'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}}]",archive,show,1-450,Bandar Lampung,ISBN: 978-623-211-253-7,"[{'name': {'given': 'Dwi Wahyu', 'honourific': None, 'family': 'Handayani', 'lineage': None}, 'id': 'dwi.wahyu@fisip.unila.id.'}]",book_section,"Representasi Perempuan Pada Pilkada di Masa
Pandemi Covid-19",TRUE,"Kontestasi politik berbagai negara di masa pandemi Covid-19
ini memunculkan kajian menarik mengenai kesetaraan pada
representasi politik perempuan. Ada kekawatiran, representasi
politik perempuan terbelenggu selama pandemi atau pada masa
darurat lainnya, karena beban ganda perempuan semakin intens
pada area domestik dan publik (Chairani, 2020: 40). Sementara,
kepemimpinan perempuan yang minim dikaitkan dengan
kemungkinan salah urus sistem dan pelaporan hasil kesehatan
masyarakat yang tidak konsisten. Maka itu  perlu penilaian dan
rekomendasi peran kesetaraan gender dalam menangani krisis ini,
tidakhanya untuk pemulihan ekonomi paska krisis Covid-19, tetapi
juga mencegah dan mengelola bencana semacam itu di masa depan
(Leung T.Y dkk, 2020:197).",['Universitas Lampung'],2020-11-05 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28363,published,['JA'],PILKADA DI MASA PANDEMI: TANTANGAN DAN HARAPAN DARI BERAGAM PERSPEKTIF,public,2021-03-15 01:42:51,pub,7,AURA,['FISIP6'],disk0/00/02/83/63,,,,,,,,,,,,,,,,,,
1,813,2020-02-25 04:04:47,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31294', 'pos': 1, 'eprintid': 18154, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 152918, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '02689356f0b0a02f21a2fc89f7e8e543', 'objectid': 31294, 'filesize': 270117, 'filename': 'MENJERNIHKAN PILKADA LAMPUNG 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/152918', 'hash_type': 'MD5', 'mtime': '2020-02-21 09:24:21'}], 'main': 'MENJERNIHKAN PILKADA LAMPUNG 2020.pdf', 'docid': 31294}]",2020-02-25 04:04:47,18154,,archive,show,,,,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'family': 'Hertanto', 'lineage': None, 'honourific': None, 'given': 'Hertanto'}}]",article,MENJERNIHKAN PILKADA LAMPUNG 2020,TRUE,"Pemilihan kepala daerah (pilkada) serentak tahun 2020 di Lampung akan diselenggarakan pada delapan kabupaten dan kota, yaitu Kabupaten Lampung Selatan, Lampung Tengah, Lampung Timur, Way Kanan, Pesawaran, Pesisir Barat, Kota Bandar Lampung, dan Kota Metro. Dari delapan pilkada tersebut, lima bakal calon petahana berasal dari para wakil kepala daerah lama, yaitu Nanang Ermanto (PLT Bupati Lamsel), Loekman Joyosoemarto (Bupati Lamteng), Zaiful Bokhari (Bupati Lamtim), Yusuf Kohar, dan Djohan. Sedangkan, pilkada di Kabupaten Way Kanan, Pesawaran, dan Pesisir Barat nampaknya bakal calon petahana berasal dari bupati dan wakilnya, baik akan maju bersama berpasangan lagi atau saling bersaing sebagai lawan. Pada akhirnya, proses elektoral Pilkada Lampung 2020 masih akan ditandai sejumlah fenomena umum seperti di daerah lainnya, yaitu maraknya dinasti politik, menguatnya oligarki parpol, kentalnya politik SARA, dan meningkatnya politik transaksional. Pilkada Lampung 2020 yang diharapkan bisa meningkatkan kualitas politik dan demokrasi lokal masih terkendala berbagai persoalan penyimpangan yang terus berulang. Inilah potret buram Pilkada Lampung 2020 yang perlu dijernihkan.",['LAMPUNG POST'],2020-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18154,published,['JA'],,public,2020-02-25 04:04:47,pub,7,"Harian Umum ""Lampung Post""",['FISIP6'],disk0/00/01/81/54,Lampung Post,1234,,,,,,,,,,,,,,,,
2,813,2020-06-11 08:37:36,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35704', 'eprintid': 22285, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-11 08:25:35', 'filesize': 292770, 'objectid': 35704, 'uri': 'http://repository.lppm.unila.ac.id/id/file/204936', 'filename': 'Pilkada Sehat.pdf', 'fileid': 204936, 'datasetid': 'document', 'hash': '0d7ee3ea8ab239e92e7d964ccef0137a', 'mime_type': 'application/pdf'}], 'main': 'Pilkada Sehat.pdf', 'docid': 35704}]",2020-06-11 08:37:36,22285,,archive,show,4-4,,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hertanto', 'given': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",article,PARTISIPASI MASYARAKAT DALAM PILKADA SEHAT,TRUE,"Pada 9 Desember 2020 di Lampung akan diselenggarakan pemilihan kepala daerah (pilkada) serentak di 8 kabupaten dan kota, sesuai Perppu nomor 2 tahun 2020, yaitu Kabupaten Lampung Selatan, Lampung Tengah, Lampung Timur, Way Kanan, Pesawaran, Pesisir Barat, Kota Bandar Lampung, dan Kota Metro. Pilkada merupakan salah satu perwujudan pelaksanaan demokrasi lokal yang pada prinsipnya diselenggarakan sebagai sarana kedaulatan rakyat, sarana partisipasi masyarakat, memilih pemimpin politik, dan sarana sirkulasi elit pemerintahan. Namun, pilkada tahun 2020 ini mempunyai tantangan yang sangat besar karena masih dalam suasana berjangkitnya Pandemi Covid-19. Tantangan ini meliputi, pertama, kekhawatiran masalah kesehatan dan keselamatan masyarakat untuk terlibat langsung dalam tahapan pilkada, terutama sebagai pemilih. Kedua, kemerosotan tingkat partisipasi pemilih (voters turn out). Ketiga, penolakan sebagian masyarakat terhadap penyelenggaraan pilkada pada tahun 2020 dan meminta diundurkan sampai tahun 2021.",,2020-06-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22285,published,['JS'],,public,2020-06-11 08:37:36,pub,6,"Harian Umum ""Lampung Post""",['FISIP6'],disk0/00/02/22/85,Lampung Post,1234,(0721) 783-693,https://lampungpost.id/blog/category/kolom/opini/,opini@lampungpost.co.id,[{'url': 'https://lampungpost.id/blog/category/kolom/opini/'}],,,,,,,,,,,,
3,813,2022-09-05 09:59:25,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/166631', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 44752, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'HAK PILIH NARAPIDANA_JURSOS_20.pdf.pdf', 'files': [{'mtime': '2022-09-05 06:29:17', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/483233', 'filename': 'HAK PILIH NARAPIDANA_JURSOS_20.pdf.pdf', 'objectid': 166631, 'filesize': 278657, 'mime_type': 'application/pdf', 'hash': '8eef467e369080204640f18f60dd1bc9', 'fileid': 483233, 'datasetid': 'document'}], 'docid': 166631, 'format': 'text'}]",2022-09-05 09:59:25,44752,,archive,show,,,,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Hertanto', 'honourific': None, 'given': 'Hertanto'}}, {'id': 'handi.mulyaningsih@fisip.unila.ac.id', 'name': {'given': 'Handi', 'lineage': None, 'family': 'Handi Mulyaningsih', 'honourific': None}}]",other,"Similirity : PEMENUHAN HAK  PILIH NARAPIDANA 
PADA PEMILIHAN GUBERNUR DAN WAKIL GUBERNUR LAMPUNG",,,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/44752,,"['JA', 'JC']",,public,2022-09-05 09:59:25,pub,8,Universitas Lampung,['FISIP6'],disk0/00/04/47/52,,,,,,,,,,,,,,,,,,
4,813,2020-11-22 11:42:34,"[{'eprintid': 26526, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40421', 'format': 'text', 'main': 'NASKAH PUBLIKASI_Kewargaan Inklusif.pdf', 'docid': 40421, 'files': [{'mtime': '2020-11-21 05:24:06', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238593', 'filename': 'NASKAH PUBLIKASI_Kewargaan Inklusif.pdf', 'filesize': 554253, 'objectid': 40421, 'mime_type': 'application/pdf', 'hash': '1d3b5b4cb4eaf3f9e2376e5e8de11eea', 'datasetid': 'document', 'fileid': 238593}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-11-22 11:42:34,26526,,archive,show,1-12,,,"[{'name': {'given': 'Hertanto', 'lineage': None, 'family': 'Hertanto', 'honourific': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}, {'id': 'anna_tabah@yahoo.com', 'name': {'given': 'Tabah', 'family': 'Maryanah', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'susanto', 'honourific': None, 'given': 'Adi'}}]",conference_item,"Kewargaan Inklusif: Model Strategi Pemenuhan Hak Elektoral 
Kelompok Minoritas Suku Anak Dalam Sub-etnis Orang Rimba 
di Kabupaten Batanghari",TRUE,"Every citizen has electoral rights guaranteed by law. The Orang Rimba sub-ethnic group also has the same rights as other Indonesian citizens. Many Orang Rimba lost their electoral political rights in the 2019 Election. This paper reveals the causes of the Orang Rimba's lost electoral rights and the Batanghari KPU's strategy how to solve it. The research method used is qualitative in the form of the most extreme type case studies. Data collection was carried out by means of FGDs with election-related institutions, follow-up interviews with FGD participants and Orang Rimba figures. Data were analyzed using critical discourse analysis. The results show that the loss of the Orang Rimba's electoral political rights is caused by the State treating the Orang Rimba with the perspective of the majority ethnic culture who live permanently. The KPU's efforts to get Orang Rimba have electronic KTPs are not sufficient. Orang Rimba electoral voting rights will be fulfilled if they apply inclusive citizenship to the Orang Rimba, especially citizenship in a cultural dimension.

Keywords: inclusive citizenship, electoral political rights, Orang Rimba.",,2020-09-29 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26526,completed,['JQ'],,public,2020-11-22 11:42:34,unpub,9,,['FISIP6'],disk0/00/02/65/26,,,,http://lppm.unila.ac.id/jadwal-monev-penelitian-tahun-2020/,,"[{'type': 'org', 'url': 'http://lppm.unila.ac.id/jadwal-monev-penelitian-tahun-2020/'}]",Monitoring & Evaluasi Penelitian Tahun 2020,workshop,['http://lppm.unila.ac.id/jadwal-monev-penelitian-tahun-2020/'],29 September 2020,paper,NOVOTEL Bandar Lampung,,,,,,
5,813,2021-06-02 01:07:22,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Hertanto_Jurnal_1.pdf', 'files': [{'objectid': 143027, 'filesize': 227738, 'filename': 'Hertanto_Jurnal_1.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/374489', 'hash_type': 'MD5', 'mtime': '2021-06-01 09:58:24', 'fileid': 374489, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1963626616cd2f302ba6a16151f3996d'}], 'docid': 143027, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/143027', 'pos': 1, 'eprintid': 31607, 'placement': 1}]",2021-06-02 01:07:22,31607,,archive,show,165-188,,,"[{'name': {'given': 'Hertanto', 'family': 'Hertanto', 'lineage': None, 'honourific': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}, {'id': 'handi.mulyaningsih@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Mulyaningsih', 'honourific': None, 'given': 'Handi'}}]",article,"PEMENUHAN HAK  PILIH NARAPIDANA LAPAS WAY HUWI 
PADA PEMILIHAN GUBERNUR LAMPUNG 2018",TRUE,"Di Indonesia hak pilih itu konstitusional dan untuk menjadi pemilih harus memenuhi persyaratan. Negara wajib mengatur sebuah prosedur agar persyaratan tidak menghambat pemenuhan hak pilih. Prosedur pemutakhiran data pemilih harus berpinsip valid, mutakhir dan komprehensif. Pertanyaannya adalah bagaimana pemenuhan hak pilih di lapas? Lapas bukan wilayah administratif namun di dalamnya tinggal narapidana yang berasal dari manapun, yang setiap saat ada perubahan jumlah dan narapidananya. Penelitian ini menggunakan metode kualitatif, data diambil melalui wawancara terhadap 15 informan mantan komisioner KPU dan Admin Sidalih KPU, serta dokumen yang ada di KPU. Hasil penelitian menunjukkan bahwa pemutakhiran data di lapas berbeda dengan di luar lapas. Untuk memastikan pemilih di lapas digunakan data narapidana terbaru. Data ini dipilah yang masih ditahan hingga hari pemungutan suara dan setelahnya, serta yang sebelum hari pemungutan suara sudah keluar. Untuk yang ditahan minimal sampai hari pemungutan suara, akan dicek domisilinya berdasarkan KTP Elektroniknya. Bagi yang tidak memiliki KTP Elektronik dilakukan pengecekan oleh Disdukcapil.  Apabila belum pernah perekaman KTP-El maka dilakukan perekaman. Bagi yang sama sekali tidak jelas identitasnya maka KPU berkoordinasi dengan Kanwil Hukum dan HAM untuk memperoleh identitas tahanan. Apabila sudah masuk di DPT dilakukan proses pindah memilih dari domisilinya ke TPS Lapas atau seputaran lapas. 
Kata Kunci: Narapidana, hak pilih, KTP Elektronik, DPT",,2020-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31607,published,['JA'],,public,2021-06-02 01:07:22,pub,6,Universitas Lampung,['FISIP6'],disk0/00/03/16/07,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,1411-0040,http://sosiologi.fisip.unila.ac.id,http://jurnalsosiologi.fisip.unila.ac.id/index.php/jurnal/issue/view/1,sosiologifisip@fisip.unila.ac.id,"[{'url': 'http://jurnalsosiologi.fisip.unila.ac.id/index.php/jurnal/issue/view/1', 'type': 'pub'}]",,,,,,,22.0,2.0,,,,
6,813,2022-06-30 01:01:07,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 164530, 'main': 'Prosiding Semnas_LPPM_2020.pdf', 'files': [{'filesize': 1109234, 'objectid': 164530, 'uri': 'http://repository.lppm.unila.ac.id/id/file/468990', 'filename': 'Prosiding Semnas_LPPM_2020.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-29 23:35:28', 'fileid': 468990, 'datasetid': 'document', 'hash': 'c946b72eb4f2f3f15bf4c875f35813c7', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164530', 'pos': 1, 'eprintid': 42788, 'placement': 1}]",2022-06-30 01:01:07,42788,,archive,show,42-53,,,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Hertanto', 'lineage': None, 'given': 'Hertanto'}}, {'id': 'handi.mulyaningsih@fisip.unila.ac.id', 'name': {'given': 'Handi', 'honourific': None, 'family': 'Mulyaningsih', 'lineage': None}}, {'id': 'himawan.indrajat@fisip.unila.ac,id', 'name': {'family': 'Indrajat', 'lineage': None, 'honourific': None, 'given': 'Himawan'}}, {'id': 'ahmad.robiulzikri@gmail.com', 'name': {'family': 'Ulzikri', 'lineage': None, 'honourific': None, 'given': 'Ahmad Robi'}}]",conference_item,Strategi Pendidikan Politik Antipolitik Uang pada Pemilih Pemula dalam Pemilihan Kepala Daerah di Lampung Selatan,TRUE,"The objectives of this activity are, first, to increase knowledge and insight into democratic politics of anti-political money for new voters. Second, building the ability to think comprehensively, analytically and critically about the anti-political money of new voters. Third, generate motivation, awareness and participatory skills that are quality and responsible for new voters to anti-money politics. The method of activity is education and training to increase political knowledge, with the following techniques: a) transfer of knowledge à making scientific attitude - to build critical thinking power based on the political rights of student and student beginner voters in a democratic country; b) transfer of attitude à making democratic citizenship attitude - build an attitude of equality among student and student voters and become democratic citizens. The results of the community service activities indicated that the participants' knowledge of (1) money politics; (2) prohibitions and sanctions on money politics; and (3) knowledge about prevention of money politics has increased. First, in the aspect of knowledge about money politics, participants experienced an increase of 13.3 percent. Second, participants' knowledge of prohibitions and sanctions on money politics increased by 60 percent. Third, the participants' attitudes towards preventing money politics showed an increase in knowledge and attitudes by 56.7 percent. This shows that students and university students have a positive attitude towards preventing the practice of money politics in the regional elections in South Lampung. However, knowledge of the prohibitions and sanctions on money politics needs to be further improved among students, both through active and periodic socialization by election organizers (KPU and Bawaslu), as well as through collaboration with universities, civil society groups, and schools.

Keywords: Political Education, Money Politics, Attitudes, Awareness, Prevention.",,2020-11-06 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42788,published,['JS'],,public,2022-06-30 01:01:07,pub,8,,['FISIP6'],disk0/00/04/27/88,,,,http://lppm.unila.ac.id/seminar-nasional-pengabdian-kepada-masyarakat-universitas-lampung-t-a-2020/,lppm@kpa.unila.ac.id,,Seminar Nasional Pengabdian Kepada Masyarakat,conference,,6 November 2020,paper,"Hotel Radisson, Bandar Lampung, Indonesia",,,,,,
7,813,2020-11-20 07:46:24,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40368', 'security': 'public', 'placement': 1, 'eprintid': 26483, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'JASP VOL 4 JULI 2020.pdf', 'docid': 40368, 'files': [{'datasetid': 'document', 'fileid': 238276, 'hash': '52b53529f6cff3ae7c94df0c59287419', 'mime_type': 'application/pdf', 'filesize': 1560328, 'objectid': 40368, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238276', 'filename': 'JASP VOL 4 JULI 2020.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-20 07:16:40'}], 'format': 'text'}]",2020-11-20 07:46:24,26483,,archive,show,1-11,,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'MAIDANI', 'given': 'HANIZAR'}, 'id': None}, {'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'given': 'Hertanto', 'honourific': None, 'family': 'Hertanto', 'lineage': None}}, {'id': 'anna_tabah@yahoo.com', 'name': {'given': 'Tabah', 'family': 'Maryanah', 'lineage': None, 'honourific': None}}]",article,STRATEGI KPU KABUPATEN PESAWARAN DALAM MENCEGAH MANIPULASI SUARA DI TINGKAT PANITIA ADHOC PADA PEMILU 2019,TRUE,"ABSTRAK
Pencegahan manipulasi suara merupakan aspek penting dalam mewujudkan pemilu demokratik dan berintegritas. Pada Pemilu 2014 di Pesawaran terjadi kasus manipulasi suara oleh panitia ad hoc. Berkaca pada Pemilu 2014, KPU Kabupaten Pesawaran membutuhkan strategi untuk mencegah hal tersebut agar tidak terulang pada Pemilu 2019. Penelitian ini bertujuan mengetahui faktor penyebab terjadinya potensi manipulasi suara di tingkat panitia ad hoc dan mengetahui strategi KPU Kabupaten Pesawaran dalam mencegah hal tersebut. Tipe penelitian bersifat deskriptif kualitatif dengan jenis similar case studi. Hasil penelitian (1) Faktor penyebab terjadinya potensi manipulasi suara antara lain lemahnya integritas panitia  ad hoc, honorarium tidak sebanding dengan beban kerja, akurasi berita acara dan sertifikat hasil penghitungan suara, dan rektrumen panitia ad hoc. Potensi manipulasi suara pada Pemilu 2019 di Pesawaran sebenarnya besar, namun karena strategi yang dilakukan tepat, maka potensi tersebut tidak manifest. (2) Strategi yang digunakan (a) Strategi organisasi, melalui penguatan visi dan misi, monitoring sebagai pengawasan internal, pemotongan jalur rekap penghitungan suara di tingkat kelurahan/desa (b) Strategi program, melalui bimtek, sosialisasi peraturan perundangan c) Strategi pendukung sumber daya, melalui rekrutmen panitia ad hoc, honor tepat waktu, teknologi situng (d) Strategi kelembagaan, melalui pembagian divisi dan koordinasi dengan lembaga lain. Dari keempat strategi ini yang diperkuat adalah strategi pendukung sumber daya.
Kata kunci: Strategi, KPU, Manipulasi suara",,2020-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26483,published,['JQ'],,public,2020-11-20 07:46:24,pub,6,FISIP UNILA,['FISIP6'],disk0/00/02/64/83,Jurnal Analisis Sosial Politik,2580-8559,,,jurnal.asp@fisip.unila.ac.id,,,,,,,,4.0,1.0,,,,
8,813,2020-11-21 03:12:21,"[{'format': 'text', 'main': 'STRATEGI KPU_MAIDANI.pdf', 'docid': 40416, 'files': [{'fileid': 238552, 'datasetid': 'document', 'hash': 'c6c2f3a9785c4fbe9844eb0342ceeacf', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-20 15:15:48', 'objectid': 40416, 'filesize': 733673, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238552', 'filename': 'STRATEGI KPU_MAIDANI.pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 26520, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40416', 'pos': 1}]",2020-11-21 03:12:21,26520,,archive,show,1-10,,,"[{'id': 'honeymaidani@gmail.com', 'name': {'family': 'Maidani', 'lineage': None, 'honourific': None, 'given': 'Hanizar'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Hertanto', 'given': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}, {'id': 'anna_tabah@yahoo.com', 'name': {'given': 'Tabah', 'honourific': None, 'family': 'Maryanah', 'lineage': None}}]",article,STRATEGI KPU KABUPATEN PESAWARAN DALAM MENCEGAH MANIPULASI SUARA DI TINGKAT PANITIA AD HOC PADA PEMILU 2019,TRUE,"ABSTRACT
Prevention of vote manipulation is an important aspect in realizing democratic elections and integrity. In the 2014 General Election, there was a case of vote manipulation in Pesawaran Regency by the ad hoc committee. Reflecting from the 2014 Electional problem, KPU of Pesawaran Regency has required a strategy to prevent this so it would not reoccur in the 2019 Election. This study aims to (1) find out the potential factors causing the vote manipulation at the level of ad hoc committee (2) to determine the strategy of General Election Commission (KPU) of Pesawaran Regency in preventing this. This research is a descriptive qualitative with a type of similar case study. The results of this research (1) among the potential factors causing vote manipulation included: the weak integrity of the ad hoc committee, the in-proportional honorarium received, the accuracy of the official reports and certificates of the results of vote counting, and the recruitment of the ad hoc committee. Even though there was a big chance for vote manipulation in the 2019 Election in Pesawaran, it is not manifested eventually because the strategy carried out by the KPU of Pesawaran Regency was right (2) Among those strategies (a) Corporate strategy, through strengthening the vision and mission, monitoring as internal supervision, cutting the recapitulation at the village level (b) Program strategy was done through technical guidance and socialization of the legislation regulations c) Resource support strategy was carried out through the recruitment of ad hoc committees, the provision of timely honorariums, and the use of arithmetic technology (d)  Institutional strategy was done through the division of divisions and coordination with other institutions. From the four strategies above, KPU of Pesawaran Regency has strengthened a strategy to support  resources.
Keywords: Strategy, KPU, Vote manipulation",,2020-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26520,published,['JQ'],,public,2020-11-21 03:12:21,pub,9,FISIP UNILA,['FISIP6'],disk0/00/02/65/20,Jurnal Analisis Sosial Politik,2580-8559,,http://jasp.fisip.unila.ac.id/index.php/JASP/article/view/44,jurnal.jasp@fisip.unila.ac.id,"[{'url': 'http://jasp.fisip.unila.ac.id/index.php/JASP/article/view/44', 'type': 'pub'}]",,,,,,,4.0,1.0,,,,
9,813,2021-06-04 07:14:08,"[{'format': 'text', 'main': 'Ade_JurnalWacanaPublik.pdf', 'docid': 145210, 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-04 05:54:30', 'filesize': 755867, 'objectid': 145210, 'filename': 'Ade_JurnalWacanaPublik.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/379240', 'datasetid': 'document', 'fileid': 379240, 'hash': '7931ccc06abe365ab0278c37c866a344', 'mime_type': 'application/pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 32045, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/145210', 'pos': 1}]",2021-06-04 07:14:08,32045,,archive,show,103-111,,,"[{'id': 'adelydia698@gmail.com', 'name': {'family': 'Sari', 'lineage': None, 'honourific': None, 'given': 'Ade Lidya'}}, {'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'given': 'Hertanto', 'family': 'Hertanto', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Tabah', 'honourific': None, 'family': 'Maryanah', 'lineage': None}, 'id': 'anna_tabah@yahoo.com'}]",article,EVALUASI KEBIJAKAN FASILITASI PENDANAAN APK OLEH KPU PADA PILGUB LAMPUNG 2018,TRUE,"The facilitation policy of the Campaign Props (APK) for the Lampung Governor Election (Pilgub) in 2018 was the form from the state through the General Election Commission (KPU) for giving the value of equality and justice to the candidate pairs (paslon) in campaigning. The study aims to find out how the APK facilitation mechanism by KPU of Lampung Province in Pilgub Lampung 2018. And what is the impact of the policy evaluation to the APK facilitation in Pilgub Lampung 2018. The type of this research is descriptive qualitative. The results of the study show: 1) That the APK policy mechanism is created that the policy runs well, there is no distortion in the distribution of communication, the number of ASNs that in the quota restrictions, but its implementation has no significant effect, KPU of Lampung Province is able to maintain its integrity, the changes or the additional bureaucratic structure are no needed in the APK policy implementation. 2) The policy evaluation results of the study stated that the APK facilitation policy was not effective and efficient yet because the policy goals were not felt by all the paslon and the costs incurred did not reach the highest effectiveness. The aspects of adequacy and equity were not fulfilled due to inadequate APK quantity. The the public’s responsiveness is neither apathetic nor positive, in the end the policy objectives were not achieved substantively, so the APK facilitation policy in the Pilgub Lampung 2018 did not reach the accuracy aspect. The impact of this policy is paslon printed the APK outside the provisions, the euphoria was less pronounced but on the other side the beauty aesthetic appears.

Keywords: Policy Evaluation, APK, Election of Lampung Governor",,2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32045,published,['JQ'],,public,2021-06-04 07:14:08,pub,6,Stisipol Dharma Wacana Metro,['FISIP6'],disk0/00/03/20/45,Jurnal Wacana Publik,ISSN 1858-2400,DOI: https://doi.org/10.37295/wp.v14i02,http://wacanapublik.stisipoldharmawacana.ac.id/index.php/wacanapublik/issue/view/10,redaksiwacanapublik@stisipoldharmawacana.ac.id,"[{'url': 'http://wacanapublik.stisipoldharmawacana.ac.id/index.php/wacanapublik/issue/view/10', 'type': 'pub'}]",,,,,,,14.0,2.0,,,,
