,title,refereed,type,creators,metadata_visibility,pagerange,datestamp,eprint_status,eprintid,official_url,lastmod,documents,userid,related_url,publisher,publication,divisions,dir,ispublished,rev_number,full_text_status,status_changed,date_type,subjects,date,uri,abstract,id_number,number,volume,issn,pres_type,event_dates,event_location,event_type,event_title,corp_creators,contact_email
0,Begini Maksud dan Tujuan Tes Jasmani Maupun Kejiwaan Paslon Menurut Akademisi Unila,TRUE,article,"[{'id': 'robi_ck@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Cahyadi', 'given': 'Robi'}}]",show,1-2,2018-01-29 04:13:56,archive,6380,http://lampung.tribunnews.com/2018/01/11/begini-maksud-dan-tujuan-tes-jasmani-maupun-kejiwaan-paslon-menurut-akademisi-unila,2018-01-29 04:13:56,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19303', 'security': 'public', 'placement': 1, 'eprintid': 6380, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 19303, 'main': 'Tes Jasmani & Kejiawaan - Tribun Lampung.pdf', 'files': [{'fileid': 59235, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '5eb9a31e52839faf40f927185020860d', 'objectid': 19303, 'filesize': 1227187, 'filename': 'Tes Jasmani & Kejiawaan - Tribun Lampung.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59235', 'hash_type': 'MD5', 'mtime': '2018-01-27 04:34:30'}], 'format': 'text'}]",680,[{'url': 'http://lampung.tribunnews.com/2018/01/11/begini-maksud-dan-tujuan-tes-jasmani-maupun-kejiwaan-paslon-menurut-akademisi-unila'}],Tribun Lampung,TribunLampung.co.id,['FISIP6'],disk0/00/00/63/80,pub,6,public,2018-01-29 04:13:56,published,['H1'],2018-01-11 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6380,"TRIBUNLAMPUNG.CO.ID - Pemeriksaan kesehatan termasuk tahapan yang sangat penting dalam proses pemilihan kepala daerah.
Dengan beragam tes kesehatan, baik jasmani maupun kejiwaan, maka bisa didapatkan sosok pemimpin yang ideal.",,,,,,,,,,,
1,PDIP Akhirnya Usung Paket Herman-Sutono,TRUE,article,"[{'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",show,1-4,2018-01-29 04:12:49,archive,6387,http://www.mediaindonesia.com/news/read/139317/pdip-akhirnya-usung-paket-herman-sutono/2018-01-05,2018-01-29 04:12:49,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 19310, 'main': 'PDIP Akhirnya Usung Paket Herman-Sutono _ Media Indonesia.pdf', 'files': [{'fileid': 59283, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '6f67d0d248314420bb0894b8e2cc6e90', 'hash_type': 'MD5', 'mtime': '2018-01-27 06:05:40', 'filesize': 461047, 'objectid': 19310, 'uri': 'http://repository.lppm.unila.ac.id/id/file/59283', 'filename': 'PDIP Akhirnya Usung Paket Herman-Sutono _ Media Indonesia.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19310', 'security': 'public', 'placement': 1, 'eprintid': 6387}]",680,"[{'url': 'http://www.mediaindonesia.com/news/read/139317/pdip-akhirnya-usung-paket-herman-sutono/2018-01-05', 'type': 'pub'}]",Media Indonesia,Media Indonesia,['FISIP6'],disk0/00/00/63/87,pub,6,public,2018-01-29 04:12:49,published,['H1'],2018-01-05 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6387,"SURAT rekomendasi Partai Demokrasi Indonesia Perjuangan (PDIP) untuk pemilihan Gubernur dan Wakil Gubernur Lampung, yang selama ini menjadi pertanyaan banyak pihak, akhirnya terjawab.

Ketua Umum PDIP Megawati Soekarnoputri pada Kamis (4/1), secara resmi mengumumkan pasangan Herman HN dan Sutono sebagai bakal calon yang akan diusung dalam Pilkada serentuak 2018.",,,,,,,,,,,
2,Pilgub Lampung - Pengamat Sebut Angka Golput Bisa Tinggi karena Faktor Alam,TRUE,article,"[{'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}}]",show,1-3,2018-01-29 04:13:32,archive,6382,http://lampung.tribunnews.com/2018/01/10/pilgub-lampung-pengamat-sebut-angka-golput-bisa-tinggi-karena-faktor-alam,2018-01-29 04:13:32,"[{'format': 'text', 'main': 'Pilgub Lampung - Tribun Lampung.pdf', 'files': [{'datasetid': 'document', 'fileid': 59245, 'hash': '684f338b4d031e217ab26b7300bebd57', 'mime_type': 'application/pdf', 'filesize': 816117, 'objectid': 19305, 'uri': 'http://repository.lppm.unila.ac.id/id/file/59245', 'filename': 'Pilgub Lampung - Tribun Lampung.pdf', 'hash_type': 'MD5', 'mtime': '2018-01-27 04:49:04'}], 'docid': 19305, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 6382, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19305', 'pos': 1}]",680,"[{'type': 'pub', 'url': 'http://lampung.tribunnews.com/2018/01/10/pilgub-lampung-pengamat-sebut-angka-golput-bisa-tinggi-karena-faktor-alam'}]",Tribun Lampung,TribunNews.com,['FISIP6'],disk0/00/00/63/82,pub,6,public,2018-01-29 04:13:32,published,['H1'],2018-01-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6382,"TRIBUNLAMPUNG.CO.ID, BANDAR LAMPUNG - Pengamat Politik Universitas Lampung (Unila) Robi Cahyadi mengungkapkan jika melihat 4 pasangan calon saat ini akan diprediksi partisipasi masyarakat dalam memilih akan meningkat.",,,,,,,,,,,
3,"Pilgub Lampung Panas, Begini Peta Keunggulan Herman dan Ridho Merebut Perahu PDIP",TRUE,article,"[{'name': {'family': 'Cahyadi', 'lineage': None, 'honourific': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Indrajat', 'given': 'Himawan'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Purba', 'given': 'Darmawan'}}, {'name': {'family': 'Hermawan', 'lineage': None, 'honourific': None, 'given': 'Dedy'}, 'id': 'hermawan.dedy@yahoo.com'}]",show,1-5,2018-01-29 04:11:45,archive,6383,http://lampung.tribunnews.com/2018/01/03/pilgub-lampung-panas-begini-peta-keunggulan-herman-dan-ridho-merebut-perahu-pdip?page=all,2018-01-29 04:11:45,"[{'placement': 1, 'eprintid': 6383, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19306', 'security': 'public', 'main': 'Pilgub Lampung Panas- Tribun Lampung.pdf', 'docid': 19306, 'files': [{'hash_type': 'MD5', 'mtime': '2018-01-27 05:25:24', 'filesize': 577574, 'objectid': 19306, 'filename': 'Pilgub Lampung Panas- Tribun Lampung.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59259', 'fileid': 59259, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9dbdbec0b9bff5ed099570abfa4c718b'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",680,"[{'type': 'pub', 'url': 'http://lampung.tribunnews.com/2018/01/03/pilgub-lampung-panas-begini-peta-keunggulan-herman-dan-ridho-merebut-perahu-pdip?page=all'}]",Tribun Lampung,TribunNews.com,['FISIP6'],disk0/00/00/63/83,pub,6,public,2018-01-29 04:11:45,published,['H1'],2018-01-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6383,"TRIBUNLAMPUNG.CO.ID, BANDAR LAMPUNG - PDI Perjuangan masih memegang kunci perebutan kepemimpinan dalam Pemilihan Gubernur Lampung 2018.

Faktor bisa mengusung calon sendiri tanpa koalisi, menjadikan partai ini 'bebas' menentukan calon gubernur.",,,,,,,,,,,
4,"MENDORONG PEMILU 2019 BERKUALITAS 
DAN BERINTEGRITAS DI PROVINSI LAMPUNG",TRUE,article,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Hertanto', 'honourific': None, 'given': 'Hertanto'}}]",show,23-32,2020-03-02 10:21:47,archive,18251,,2020-03-02 10:21:47,"[{'eprintid': 18251, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31403', 'pos': 1, 'format': 'text', 'main': 'Mendorong Pemilu 2019 Berkualitas.pdf', 'files': [{'filename': 'Mendorong Pemilu 2019 Berkualitas.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/153689', 'objectid': 31403, 'filesize': 2603707, 'mtime': '2020-02-27 05:58:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'd7e8d9541e0ace03eb6a279e2203b171', 'datasetid': 'document', 'fileid': 153689}], 'docid': 31403, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",813,,FISIP UNILA,Jurnal Analisis Sosial Politik,['FISIP6'],disk0/00/01/82/51,pub,6,public,2020-03-02 10:21:47,published,['JA'],2018-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18251,"ABSTRACT

The 2019 General Election (Pemilu) is the first simultaneous election in Indonesia which will simultaneously elect a presidential / vice-presidential candidate, a candidate member of the Republic of Indonesia Parliament, the DPD RI, and the Provincial / Regency / City DPRD. Various analyzes predict that the practice of simultaneous elections will take place is not easy, full of challenges, and has the potential to experience many problems. So there is an assumption that this is the most complicated election in the world. This study wants to explain how the challenges and potential vulnerability of the 2019 Election in Lampung, and how to anticipate it. The results of the analysis explain that the potential challenges of the 2019 Election are quality and integrity in Lampung on the factors of money politics, campaign implementation, use of state and regional facilities. While the potential for vulnerability is based on the predictions of the Republic of Indonesia General Election Supervisory Board (Bawaslu) that the 2019 Election vulnerability index in Lampung belongs to the high category (49.56). Based on the 2018 Pilkada Election in Lampung Province, the highest potential vulnerability is in the participation dimension, where the public supervision variable shows a fairly high index and is followed by the suffrage variable (IKP Pilkada 2018: 55). Meanwhile, the dimensions of election organizers have the potential for vulnerability which needs to be anticipated in the variable integrity and professionalism of the organizers. Therefore, based on challenges and vulnerabilities it needs to be anticipated by encouraging the active participation of civil society groups (NGOs, universities, mass media) to exercise control over: the practice of money politics, campaign funds, and misuse of government facilities and policies as instruments victory. Strengthening the control of civil society will result in a quality electoral process, and ultimately will result in elections with integrity.",721704626,2.0,4.0,2580-8559,,,,,,,
5,"Citizenship in Everyday Life:
Exclusion of the Chinese Indonesians By
Non-Chinese Indonesians in
Bandar Lampung - Indonesia",TRUE,article,"[{'name': {'lineage': None, 'family': 'Maryanah', 'honourific': None, 'given': 'Tabah'}}]",show,516-531,2022-01-25 09:58:15,archive,38312,https://knepublishing.com/index.php/Kne-Social/article/view/2353/5200,2022-01-25 09:58:15,"[{'format': 'text', 'main': 'Citizenship in Everyday Life.pdf', 'docid': 159375, 'files': [{'datasetid': 'document', 'fileid': 434518, 'mime_type': 'application/pdf', 'hash': 'f3c6b406f17b13b19b36ef792a6db2fd', 'hash_type': 'MD5', 'mtime': '2022-01-25 06:15:00', 'objectid': 159375, 'filesize': 1517872, 'filename': 'Citizenship in Everyday Life.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/434518'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 38312, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159375'}]",51,,Knowledge E,Proceeding of The 1st International Conference on South East Asia Studies,['FISIP6'],disk0/00/03/83/12,pub,6,public,2022-01-25 09:58:15,published,['JA'],2018-05-23 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/38312,"By law, since the fall of Soeharto Chinese Indonesians have been recognized as
citizens of Indonesia and not been excluded from formal politics. However, in
their everyday lifes they still face exclusion. They are still the targets of ridicule,
gossip and rumors, as well discussion and body language that indicates displeasure
and suspicion. As such, although Chinese Indonesians are recognized as citizens
of Indonesia, they are not apprehended. Exclusion is rarely considered, because
it occurs discursively in everyday life. Everyday exclusion is often unobservable,
as citizenship theory has never discursively analyzed it even though, everyday
exclusion impacts participation and representation. Exclusion is always followed by
resistance. As such, every day and discursive resistance are very important to analyze.",,,2018.0,2518-668X,,,,,,,
6,THE ACTOR DOMINATION IN THE COLLABORATIVE GOVERNANCE IN THE LAMPUNG PROVINCE CENTRAL GOVERNMENT DISPLACEMENT POLICY: AN AMBIVALENT,TRUE,article,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'lineage': None, 'family': 'Mukhlis', 'honourific': None, 'given': 'Maulana'}}]",show,507-524,2019-11-04 02:04:52,archive,14167,,2019-11-04 02:04:52,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/27208', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 14167, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '3.pdf', 'docid': 27208, 'files': [{'datasetid': 'document', 'fileid': 123116, 'hash': '2cf33e6f8eff7203ff136b603a96e741', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-09-12 02:45:48', 'filesize': 284774, 'objectid': 27208, 'filename': '3.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123116'}], 'format': 'text'}]",681,,,Jurnal Ilmiah Peuradeun,['FISIP6'],disk0/00/01/41/67,pub,6,public,2019-11-04 02:04:52,published,['AC'],1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/14167,Sejawat sebidang Peer Review,,3.0,6.0,2443-2067,,,,,,,
7,THE ACTOR DOMINATION IN THE COLLABORATIVE GOVERNANCE IN THE LAMPUNG PROVINCE CENTRAL GOVERNMENT DISPLACEMENT POLICY: AN AMBIVALENT.,TRUE,article,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'given': 'Maulana', 'honourific': None, 'family': 'Mukhlis', 'lineage': None}}]",show,507-524,2019-10-16 03:20:43,archive,14163,,2019-10-16 03:20:43,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 27204, 'main': '3. PEURADEUN.pdf', 'files': [{'mtime': '2019-09-12 01:57:36', 'hash_type': 'MD5', 'filename': '3. PEURADEUN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123092', 'objectid': 27204, 'filesize': 5504873, 'mime_type': 'application/pdf', 'hash': '2804a58222a058a2baf2ad01210ef969', 'fileid': 123092, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27204', 'security': 'public', 'placement': 1, 'eprintid': 14163}]",681,,,Jurnal Ilmiah Peuradeun,['FISIP6'],disk0/00/01/41/63,pub,6,public,2019-10-16 03:20:43,published,['AC'],1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/14163,Similarity,,3.0,6.0,2443-2067,,,,,,,
8,COLLABORATION VERSUS COORDINATION: A DILEMMA ABOUT STATE ACTORS’ POSITION IN A POLICY,TRUE,article,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'given': 'Maulana', 'honourific': None, 'family': 'Mukhlis', 'lineage': None}}]",show,113-119,2019-10-16 03:09:41,archive,14155,,2019-10-16 03:09:41,"[{'format': 'text', 'main': '2. RJOAS.pdf', 'docid': 27197, 'files': [{'hash': '4ca497a6a2d063dd448935b352757d5b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 123057, 'mtime': '2019-09-12 01:36:43', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123057', 'filename': '2. RJOAS.pdf', 'objectid': 27197, 'filesize': 3068052}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 14155, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27197', 'pos': 1}]",681,,,Russian Journal of Agricultural and Socio-Economic Sciences,['FISIP6'],disk0/00/01/41/55,pub,6,public,2019-10-16 03:09:41,published,['AC'],1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/14155,Similarity,,80.0,8.0,2226-1184,,,,,,,
9,"DEGREES OF APPROPRIATENESS, FAIRNESS, AND RATIONALITY IN THE AMOUNT OF HOUSING ALLOWANCE FOR MEMBERS OF REGIONAL HOUSE OF REPRESENTATIVE IN MESUJI DISTRICT OF LAMPUNG PROVINCE.",TRUE,conference_item,"[{'name': {'lineage': None, 'family': 'Mukhlis', 'honourific': None, 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}]",show,,2019-11-04 08:20:02,archive,14179,,2019-11-04 08:20:02,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '12.pdf', 'files': [{'filesize': 317331, 'objectid': 27220, 'filename': '12.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123193', 'hash_type': 'MD5', 'mtime': '2019-09-12 03:31:17', 'datasetid': 'document', 'fileid': 123193, 'hash': 'd1ebecf463cb085aaf7e7a2c761ee73b', 'mime_type': 'application/pdf'}], 'docid': 27220, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27220', 'pos': 1, 'eprintid': 14179, 'placement': 1}, {'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27221', 'security': 'public', 'placement': 2, 'eprintid': 14179, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '12.pdf', 'docid': 27221, 'files': [{'hash': 'd1ebecf463cb085aaf7e7a2c761ee73b', 'mime_type': 'application/pdf', 'fileid': 123195, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123195', 'filename': '12.pdf', 'filesize': 317331, 'objectid': 27221, 'mtime': '2019-09-12 03:31:57', 'hash_type': 'MD5'}], 'format': 'text'}]",681,,,,['FISIP6'],disk0/00/01/41/79,pub,8,public,2019-11-04 08:20:02,published,['AC'],2018-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/14179,Sejawat Sebidang peer review,,,,,paper,9-11 November 2018,Bandar Lampung.,conference,SHIELD Conference International,,
