,type,title,lastmod,editors,metadata_visibility,status_changed,rev_number,dir,divisions,funders,volume,uri,date_type,subjects,place_of_pub,isbn,refereed,userid,number,official_url,pages,documents,datestamp,eprint_status,id_number,eprintid,pagerange,full_text_status,ispublished,publisher,abstract,projects,date,book_title,series,publication,creators,pres_type,event_title,event_type,issn,related_url,corp_creators,department,institution,monograph_type,event_dates,event_location
0,book_section,Kebijakan Hukum Di Masa Pandemi Covid-19,2023-05-04 07:46:14,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'honourific': None, 'lineage': None, 'family': 'Sumarja'}}]",show,2023-05-04 07:46:14,8,disk0_bak/00/05/10/61,['FH2'],['Magister Ilmu Hukum Unila'],1,http://repository.lppm.unila.ac.id/id/eprint/51061,published,['K1'],Bandar Lampung,---,TRUE,940,1,http://repository.lppm.unila.ac.id/,1.0,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 190776, 'main': 'Kebijakan Hukum Di Masa Pandemi Covid-19 New (Juni 2021)_compressed-dikompresi-dikompresi.pdf', 'files': [{'mtime': '2023-05-04 07:01:04', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549093', 'filename': 'Kebijakan Hukum Di Masa Pandemi Covid-19 New (Juni 2021)_compressed-dikompresi-dikompresi.pdf', 'filesize': 2244078, 'objectid': 190776, 'mime_type': 'application/pdf', 'hash': 'c5006a11dd77acff81fd65c548683f26', 'fileid': 549093, 'datasetid': 'document'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190776', 'eprintid': 51061, 'placement': 1}]",2023-05-04 07:46:14,archive,1.0,51061,1-294,public,pub,Pusaka Media,"Menanggapi fenomena dampak pembangunan hukum akibat Covid-19 tersebut, Mahasiswa Program Magister Ilmu Hukum Universitas Lampung Angkatan 2020 pada bulan Maret 2021 mengadakan kegiatan “Call Of Paper Seri Diskusi Mahasiswa Magister Ilmu Hukum Universitas Lampung Angkatan 2020, dengan mengambil tema Pengembanan Hukum di Masa Pademi” guna mengumpulkan berbagai artikel ilmiah yang kemudian disusun dalam dua buah buku. Salah satu bukunya berisi 19 naskah diberi judul “Kebijakan Hukum Di Masa Pandemi Covid-19”. Kegiatan tersebut bertujuan untuk menumbuhkan minat mahasiswa dalam mengkritisi kebijakan pemerintah di bidang hukum, termasuk menuangkan analisis dan pendapat hukumnya guna mendapatkan solusi terhadap persoalan-persoalan hukum dalam situasi Covid-19. Selain itu, kegiatan ini juga bertujuan untuk meningkatkan kualitas publikasi karya ilmiah dan akreditasi Program Magister Ilmu Hukum Universitas Lampung menjadi Unggul.",['Seri Diskusi 1 Mahasiswa Magister Ilmu Hukum Unila'],2021-06-01 00:00:00.000000000,Kebijakan Hukum Di Masa Pandemi Covid-19,1,,,,,,,,,,,,,
1,article,The Court's Authority Over Cash Payment And Consignment On Land Acquisition For Development For Public Interest In Lampung Province,2021-04-09 04:25:22,,show,2021-04-09 04:25:22,6,disk0/00/02/90/61,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/29061,,['K1'],,,FALSE,769,,,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/43175', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29061, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'THE_COURT_S_AUTHORITY.pdf', 'files': [{'mtime': '2021-04-09 04:07:52', 'hash_type': 'MD5', 'filename': 'THE_COURT_S_AUTHORITY.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/257820', 'filesize': 1626804, 'objectid': 43175, 'mime_type': 'application/pdf', 'hash': '97c43d2a6b48347a2e9c2ca8efe43222', 'datasetid': 'document', 'fileid': 257820}], 'docid': 43175, 'format': 'text'}]",2021-04-09 04:25:22,archive,,29061,,public,pub,KLIBEL,Hasil Check Similarity,,2021-04-01 00:00:00.000000000,,,"International Journal of Business, Economics and Law","[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
2,article,The Court's Authority Over Cash Payment And Consignment On Land Acquisition For Development For Public Interest In Lampung Province,2021-04-13 08:04:43,,show,2021-04-13 08:04:43,6,disk0/00/02/93/09,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/29309,,['K1'],,,FALSE,769,,,,"[{'placement': 1, 'eprintid': 29309, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43429', 'security': 'public', 'main': 'IJBEL24-555 UPIK H.pdf', 'files': [{'hash': '8621e602e3041da82547b1bc2f0aaf4b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 259738, 'mtime': '2021-04-13 04:48:22', 'hash_type': 'MD5', 'filename': 'IJBEL24-555 UPIK H.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259738', 'filesize': 134270, 'objectid': 43429}], 'docid': 43429, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-04-13 08:04:43,archive,,29309,67-71,public,pub,KLIBEL,,,2021-04-01 00:00:00.000000000,,,"International Journal of Business, Economics and Law","[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">upikhamidah21@gmail.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
3,article,The Court's Authority Over Cash Payment And Consignment On Land Acquisition For Development For Public Interest In Lampung Province,2021-11-02 08:45:57,,show,2021-11-02 08:45:57,6,disk0/00/03/48/41,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/34841,,['K1'],,,FALSE,769,,,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/155524', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 34841, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'the.pdf', 'docid': 155524, 'files': [{'mime_type': 'application/pdf', 'hash': '6846bffd79213f0aba580357a4a61a9e', 'fileid': 408505, 'datasetid': 'document', 'filename': 'the.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/408505', 'filesize': 419533, 'objectid': 155524, 'mtime': '2021-11-02 07:10:45', 'hash_type': 'MD5'}], 'format': 'text'}]",2021-11-02 08:45:57,archive,,34841,,public,pub,KLIBEL,Hasil Peneilaian Sejawat Sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,,,"International Journal of Business, Economics and Law","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",,,,,,,,,,,
4,conference_item,Destructive Fishing Treatment Policy Based on Community Supervision in Lampung Province,2022-02-16 01:16:24,,show,2022-02-16 01:16:24,7,disk0/00/03/93/33,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39333,,['K1'],,,FALSE,318,,,,"[{'eprintid': 39333, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160616', 'format': 'text', 'main': 'Reviewer Destructive.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'c2a6d79b4c1cb6a3d17f06772aae9e40', 'datasetid': 'document', 'fileid': 442503, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442503', 'filename': 'Reviewer Destructive.pdf', 'objectid': 160616, 'filesize': 369726, 'mtime': '2022-02-15 09:27:08', 'hash_type': 'MD5'}], 'docid': 160616, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-02-16 01:16:24,archive,,39333,,public,pub,,Hasil Penilaian Sejawat Sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,,,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",paper,Proceeding ICETLAWBE 2020,conference,,,,,,,,
5,article,Distribution of Land Bank Assets Post Application of the Copyration Law in Realizing Equality Development in Indonesia,2021-12-03 01:06:48,,show,2021-12-03 01:06:48,6,disk0/00/03/71/18,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/37118,,['K1'],,,FALSE,769,,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 158029, 'main': 'Distribution_of_Land_Bank_Assets_Post_Application_.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-12-02 06:42:26', 'filesize': 2247735, 'objectid': 158029, 'filename': 'Distribution_of_Land_Bank_Assets_Post_Application_.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/425549', 'fileid': 425549, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b6bf9f436231631ee5683222145198a4'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158029', 'security': 'public', 'placement': 1, 'eprintid': 37118}]",2021-12-03 01:06:48,archive,,37118,,public,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Penerbit Cendekia Timur Tengah, Dubai, Uni Emirat Arab</font></font>",Hasil Check Similarity,,1970-01-01 00:00:00.000002021,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Internasional Sarjana Hukum, Kejahatan dan Keadilan</font></font>","[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">2617-3484 (Online)</font></font>",,,,,,,
6,book_section,ENDEKATAN HUKUM HUMANIS BERBASIS PANCASILA DALAM PENEGAKAN HUKUM TERHADAP ANAK PELAKU TINDAK PIDANA EXTRA ORDINARY,2022-02-16 01:17:09,,show,2022-02-16 01:17:09,7,disk0/00/03/93/67,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39367,,['K1'],,,FALSE,114,,,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2022-02-16 00:39:39', 'filesize': 558154, 'objectid': 160649, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442730', 'filename': 'REVIEW PENDEKATAN.pdf', 'fileid': 442730, 'datasetid': 'document', 'hash': '9ebcd68f080206673d303896604265b3', 'mime_type': 'application/pdf'}], 'main': 'REVIEW PENDEKATAN.pdf', 'docid': 160649, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160649', 'pos': 1, 'eprintid': 39367, 'placement': 1}]",2022-02-16 01:17:09,archive,,39367,,public,pub,PUSAKA MEDIA Anggota IKAPI No. 008/LPU/2020,Hasil Penilaian Sejawat Sebidang atau Peer Review,,2021-11-01 00:00:00.000000000,ENDEKATAN HUKUM HUMANIS BERBASIS PANCASILA DALAM PENEGAKAN HUKUM TERHADAP ANAK PELAKU TINDAK PIDANA EXTRA ORDINARY,,,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
7,article,Formulation Of Diversion In National And International Law  Instruments,2022-02-16 01:17:10,,show,2022-02-16 01:17:10,6,disk0/00/03/93/68,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39368,,['K1'],,,FALSE,114,,,,"[{'format': 'text', 'main': 'REVIEW FORMULATION.pdf', 'docid': 160650, 'files': [{'mtime': '2022-02-16 00:43:57', 'hash_type': 'MD5', 'filename': 'REVIEW FORMULATION.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442736', 'objectid': 160650, 'filesize': 597862, 'mime_type': 'application/pdf', 'hash': '8c793216f7a187eb0d9879ab7ef3d454', 'fileid': 442736, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39368, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160650', 'pos': 1}]",2022-02-16 01:17:10,archive,,39368,,public,pub,IJBEL,Hasil Penilaian Sejawat Sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,,,"International Journal of Business, Economics and Law","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
8,article,Formulation Of Diversion In National And International Law  Instruments,2022-02-21 07:39:22,,show,2022-02-21 07:39:22,6,disk0/00/03/96/70,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39670,,['K1'],,,FALSE,114,,,,"[{'eprintid': 39670, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160947', 'format': 'text', 'docid': 160947, 'main': 'FORMULATION_OF_DIVERSION_IN_NATIONAL_AND_INTERNATI.pdf', 'files': [{'hash': 'e9c1258d691431eaa2a820d38eaba02c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 445144, 'mtime': '2022-02-21 06:09:48', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/445144', 'filename': 'FORMULATION_OF_DIVERSION_IN_NATIONAL_AND_INTERNATI.pdf', 'filesize': 1792853, 'objectid': 160947}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-02-21 07:39:22,archive,,39670,,public,pub,IJBEL,Hasil Chcek Similarity,,1970-01-01 00:00:00.000002021,,,"nternational Journal of Business, Economics and Law","[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>', 'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
9,article,Illegal Fishing: Optimalisasi Kebijakan Penegakan Hukum Pidana Sebagai Primum Remedium,2022-02-16 01:16:09,,show,2022-02-16 01:16:09,6,disk0/00/03/93/24,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39324,,['K1'],,,FALSE,318,,,,"[{'eprintid': 39324, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160607', 'pos': 1, 'format': 'text', 'docid': 160607, 'main': 'Reviewer Illegal.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/442446', 'filename': 'Reviewer Illegal.pdf', 'filesize': 403833, 'objectid': 160607, 'mtime': '2022-02-15 08:49:46', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '95bd5247ea91c8369aa12d6d7fb0e8a5', 'fileid': 442446, 'datasetid': 'document'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-02-16 01:16:09,archive,,39324,,public,pub,"Ministry of Research, Technology, and Higher Education of the Republic of Indonesia,",Hasil Penilaian Sejawat Sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,,,Jurnal Wawasan Yuridika,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
