,event_title,subjects,date,uri,abstract,event_type,dir,divisions,ispublished,rev_number,status_changed,full_text_status,metadata_visibility,eprintid,eprint_status,datestamp,documents,lastmod,contributors,userid,refereed,event_dates,title,pres_type,type,creators,event_location,publisher,place_of_pub,corp_creators,volume,related_url,publication,issn,succeeds,pagerange,official_url,number,date_type,funders,projects,contact_email,id_number,keywords,referencetext,note
0,5 th  INTERNATIONAL SEMINAR OF  ANIMAL NUTRITION & FEED SCIENCE,['SF'],2017-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/5328,"The purpose of this study were  to determine the effect of vitamin E on dry matter intake, digestibility of dry matter, and weight gain of Etawa goat grade.  This study used 16 PE male goats with average weight 28 – 35 kg/head.  The design used was a randomized complate block design (RCBD) with 4 groups and 4 treatments.  The treatments were consisted R0: control feed (35% cassava, 25% copra oil, 15% tofu waste, 15% corn meal, and 10% cassava leaves), R1: R0 + vitamin E of 100 mg, R2: R0 + vitamin E of 200 mg, and R3: R0 + vitamin E of 300 mg.  The data were tested by analysis of variance (ANOVA), the followed by the least significant different (LSD) test to determine the best level of use vitamin E.  The results showed that: (1) supplementation of vitamin E in the diet with levels of 300 mg had significant effect (P <0.05) on digestibility dry matter, but not significant effect (P> 0.05) to the dry matter intake and weight goat; (2) supplementation of vitamin E at a level of 300 mg (R3) produces the highest digestibility values than the other treatments (R0, R1, and R2).",conference,disk0/00/00/53/28,['FP17'],inpress,9,2017-11-13 02:58:28,public,show,5328,archive,2017-11-13 02:58:28,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18285', 'eprintid': 5328, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 18285, 'main': 'Kusuma dkk Vitamin E.pdf', 'files': [{'datasetid': 'document', 'fileid': 50528, 'hash': '52d05f68c5af30f3c54f64c7f10274a9', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-13 01:13:28', 'objectid': 18285, 'filesize': 384110, 'uri': 'http://repository.lppm.unila.ac.id/id/file/50528', 'filename': 'Kusuma dkk Vitamin E.pdf'}]}]",2017-11-13 02:58:28,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",444,TRUE,7- 9 November 2017,EFFECT of VITAMIN E (Alpha tocoferol) on PERFORMANCE MALE ETAWA GOAT GRADE,paper,conference_item,"[{'name': {'honourific': None, 'family': 'Adhianto', 'lineage': None, 'given': 'Kusuma'}, 'id': '.'}, {'id': '.', 'name': {'given': 'Muhtarudin', 'family': 'Muhtarudin', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Liman', 'honourific': None, 'given': 'Liman'}, 'id': '.'}, {'id': '.', 'name': {'honourific': None, 'family': 'Widodo', 'lineage': None, 'given': 'Yusuf'}}, {'name': {'family': 'Artanti', 'lineage': None, 'honourific': None, 'given': 'Okni Winda'}, 'id': None}]",Senggigi Lombok  Indonesia,,,,,,,,,,,,,,,,,,,
1,,['SF'],1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/13662,"The purpose of this research was to study the effect of different level of protein addition in goat ration on feed addition in the ration on feed 
intake and physiological responses of Saburai goats (rectal temperature, respiratory rate, and heart rate). Twenty male Saburai goats were
randomly divided into 4 treatments group with 5 goats each. Goats in group 1 (PO) were fed with forage, while goats in group 2 (P1), 3 (P2), and
4 (P3) were fed with forage + concentratre with 13%, 16%, and 19% crude protein, respectively. The treatments were P0= feeding forage, P1=
feeding forage + concentrate with 13% crude protein (CP), P2= feeding forage + concentrate with 16% CP, and P3 feeding forage + concentrate
with 19% CP. The results showed that the rectal temperature and heart rate did not significantly affected (P>0.05) in all treatment, however the
heart rate was significantly (P<0.05) affected among the treatments. The conclusion is the addition of different protein level in the ration has no
effect on rectal temperature and respiratory rate, but significantly increases the heart rate frequency.
____________________________________________________________________________________________________________________",,disk0/00/01/36/62,['FP17'],pub,7,2019-08-01 06:50:06,public,show,13662,archive,2019-08-01 06:50:06,"[{'format': 'text', 'main': '1. review K_Adhianto_dkk JKH 11_2017.pdf', 'docid': 26674, 'files': [{'objectid': 26674, 'filesize': 1002799, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119223', 'filename': '1. review K_Adhianto_dkk JKH 11_2017.pdf', 'hash_type': 'MD5', 'mtime': '2019-07-26 01:40:48', 'fileid': 119223, 'datasetid': 'document', 'hash': 'df179cd952ef5089f48c733e841650ff', 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 13662, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26674', 'pos': 1}]",2019-08-01 06:50:06,,444,,,"PHYSIOLOGICAL RESPONSES OF SABURAI GOAT ON THE OF
ADDITION DIETARY PROTEIN LEVEL",,other,"[{'name': {'lineage': None, 'family': 'Adhianto', 'honourific': None, 'given': 'Kusuma'}, 'id': '.'}, {'id': '.', 'name': {'lineage': None, 'family': 'Muhtarudin', 'honourific': None, 'given': 'Muhtarudin'}}, {'name': {'honourific': None, 'family': 'Sulastri', 'lineage': None, 'given': 'Sulastri'}, 'id': None}, {'id': None, 'name': {'given': 'Madi', 'lineage': None, 'family': 'Hartono', 'honourific': None}}]",,Universitas Syiah Kuala,Jurnal Kedokteran hewan,,,,,,,,,,,,,,,,,
2,,['SF'],2017-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/5477,"The purpose of this research was to study the effect of different level of protein addition in goat ration on feed addition in the ration on feed 
intake and physiological responses of Saburai goats (rectal temperature, respiratory rate, and heart rate). Twenty male Saburai goats were
randomly divided into 4 treatments group with 5 goats each. Goats in group 1 (PO) were fed with forage, while goats in group 2 (P1), 3 (P2), and
4 (P3) were fed with forage + concentratre with 13%, 16%, and 19% crude protein, respectively. The treatments were P0= feeding forage, P1=
feeding forage + concentrate with 13% crude protein (CP), P2= feeding forage + concentrate with 16% CP, and P3 feeding forage + concentrate
with 19% CP. The results showed that the rectal temperature and heart rate did not significantly affected (P>0.05) in all treatment, however the
heart rate was significantly (P<0.05) affected among the treatments. The conclusion is the addition of different protein level in the ration has no
effect on rectal temperature and respiratory rate, but significantly increases the heart rate frequency.",,disk0/00/00/54/77,['FP17'],pub,6,2018-04-19 07:18:42,public,show,5477,archive,2017-11-16 04:49:33,"[{'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 18417, 'main': '4352-20688-1-PB.pdf', 'files': [{'hash': '6ddd9fb485a18f8e93bc287436926b46', 'mime_type': 'application/pdf', 'fileid': 51509, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/51509', 'filename': '4352-20688-1-PB.pdf', 'filesize': 228097, 'objectid': 18417, 'mtime': '2017-11-04 16:25:01', 'hash_type': 'MD5'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18417', 'eprintid': 5477, 'placement': 1}]",2018-04-19 07:18:42,,444,TRUE,,"Physiological Responses Of Saburai Goat On The Of
Addition Dietary Protein Level",,article,"[{'name': {'honourific': None, 'family': 'Adhianto', 'lineage': None, 'given': 'Kusuma'}, 'id': '.'}, {'name': {'honourific': None, 'family': 'Muhtarudin', 'lineage': None, 'given': 'Muhtarudin'}, 'id': '.'}, {'name': {'honourific': None, 'family': 'Sulastri', 'lineage': None, 'given': 'Sulastri'}, 'id': None}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'given': 'Madi', 'family': 'Hartono', 'lineage': None, 'honourific': None}}]",,Faculty of Veterinary Medicine Syiah Kuala University,,['Universitas Lampung'],11,[{'url': 'http://jurnal.unsyiah.ac.id/JKH/article/view/4352'}],Jurnal Kedokteran Hewan,2502-5600,4633.0,101-105,http://jurnal.unsyiah.ac.id/JKH/index,3,,,,,,,,
3,,['SF'],2017-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6694,"Penelitian dilakukan dengan tujuan untuk mengetahui performans produksi Kambing
Saburai di wilayah sumber bibit Kabupaten Tanggamus.  Penelitian dilaksanakan menggunakan 
metode survey, penentuan sampel menggunakan metode purposive sampling.  Jumlah sampel yang
digunakan adalah 180 ekor Kambing Saburai betina.  Peubah yang diamati meliputi bobot lahir,
bobot sapih, dan bobot satu tahun,  pertambahan bobot badan harian (PBBH) prasapih, PBBH
pascasapih, dan ukuran-ukuran tubuh (panjang badan, tinggi pundak, lingkar dada) pada kambing
Saburai Betina umur 1 tahun.Hasil penelitian menunjukkan di kecamatan Gisting dan Sumberrejo
rata-rata bobot lahir3,3+0,4 kg dan 3,1+0,3 kg, bobot sapih16,1+3,4 kg dan 14,9+3,7 kg, bobot setahun
37,2+5,01 kg dan 34,7+5,2kg, dan karakteristik morfologi (panjang badan51,3+6,5 cm dan 51,8+7,8
cm, tinggi pundak52,3+4,8 cm dan 53,2+5,6 cm, lingkar dada60,2+8,2 cm dan 58,8+7,8 cm) pada
kambing Saburai Betina umur 1 tahun.",,disk0/00/00/66/94,['FP17'],pub,8,2018-04-25 08:19:59,public,show,6694,archive,2018-04-25 08:19:59,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 61615, 'datasetid': 'document', 'hash': '25f31f43e1bba11e924638cb493edca3', 'mime_type': 'application/pdf', 'objectid': 19661, 'filesize': 260319, 'filename': 'Adhianto dkk naskah Terbit.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61615', 'hash_type': 'MD5', 'mtime': '2018-04-16 01:49:31'}], 'main': 'Adhianto dkk naskah Terbit.pdf', 'docid': 19661, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19661', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6694}]",2018-04-25 08:19:59,,444,TRUE,,Performans Kambing Saburai Betina Di Wilayah Sumber Bibit Kabupaten Tanggamus Provinsi Lampung,,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Adhianto', 'given': 'Kusuma'}, 'id': '.'}, {'id': None, 'name': {'lineage': None, 'family': 'Sulastri', 'honourific': None, 'given': 'Sulastri'}}, {'id': '.', 'name': {'honourific': None, 'family': 'Hamdani', 'lineage': None, 'given': 'M Dima Iqbal'}}, {'name': {'given': 'Dewi', 'lineage': None, 'family': 'Novriani', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Yuliani', 'given': 'Lisa'}, 'id': None}]",,Fakultas Peternakan Universitas Jambi,,,20,,Jurnal Ilmu-Ilmu Peternakan,eISSN: 2528 0805,,9-16,,1,published,,,,,,,
4,"acara  Seminar  Nasional  dengan  tema  “Peningkatan  Produktivitas  Ternak  melalui Inovasi Agribisnis Berbasis Peternakan”,",['SF'],2017-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/5471,"Tujuan dilakukan penelitian ini adalah mengetahui kondisi kinerja kambing Saburai yang dipelihara oleh peternak sebagai landasan pembentukan VBC. Penelitian dilakukan di kelompok peternak kambing Saburai berlokasi di Desa Campang, Kecamatan Gisting, Kabupaten Tanggamus, Lampung. Materi penelitian ini melibatkan ternak kambing Saburai pada berbagai tingkatan umur, baik induk, cempe, pejantan maupun kambing muda yang dipelihara oleh peternak juga peternak pemelihara sebagai responden. Untuk mengetahui manajemen pemeliharaan ternak, selain pengamatan langsung di lapangan, juga dilakukan wawancara dengan peternak dengan bantuan kuesioner. Hasil Penelitian di dapat rata-rata kinerja reproduksi yang meliputi litter size 1,53+0,60 ekor, Umur sapih 99,9+0,78 hari, post partum estrus 53+20,13 hari, siklus estrus 25,15+2,06 hari, post partum mating 82,8+0,94 hari, lama kebuntingan 158,22+3,34 hari, dan jarak beranak 249+1,04 hari. Sedangkan kinerja produksi yang meliputi bobot lahir rata-rata 3,05+0,23 kg, bobot sapih 16,76+1,64 kg, dan bobot satu tahun 43,67+5,51 kg. Berdasarkan kondisi tersebut secara umum peternak kambing Saburai telah menerapkan manajemen pemeliharaan secara intensif, sehingga ternak dapat berproduksi dengan baik dan  memiliki kinerja reproduksi dan produksi yang lebih baik jika dibandingkan dengan jenis kambing lainnya.",conference,disk0/00/00/54/71,['FP17'],inpress,7,2017-11-16 07:47:43,public,show,5471,archive,2017-11-16 07:47:43,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/18410', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 5471, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'hash': '731a7642191a949f81f4c11337cc1816', 'mime_type': 'application/pdf', 'fileid': 51475, 'datasetid': 'document', 'filename': 'kusuma dkk_Performa Kambing Saburai_SemNas Magelang.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/51475', 'objectid': 18410, 'filesize': 179784, 'mtime': '2017-11-14 05:43:20', 'hash_type': 'MD5'}], 'main': 'kusuma dkk_Performa Kambing Saburai_SemNas Magelang.pdf', 'docid': 18410, 'format': 'text'}]",2017-11-16 07:47:43,,444,TRUE,10 Agustus 2017,"PERFORMA KAMBING SABURAI YANG DIPELIHARA PETERNAK DI DESA 
CAMPANG KECAMATAN GISTING, TANGGAMUS",paper,conference_item,"[{'name': {'given': 'Kusuma', 'lineage': None, 'family': 'Adhianto', 'honourific': None}, 'id': '.'}, {'name': {'lineage': None, 'family': 'Sulastri', 'honourific': None, 'given': 'Sulastri'}, 'id': None}, {'id': None, 'name': {'given': 'Siswanto', 'honourific': None, 'family': 'Siswanto', 'lineage': None}}]",Magelang,,,,,,,,,,,,published,,,,,,,
5,Seminar Nasional Peningkatan  Produktivitas  Ternak  melalui Inovasi Agribisnis Berbasis Peternakan”,['SF'],1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/4635,"Tujuan dilakukan penelitian ini adalah mengetahui kondisi kinerja kambing Saburai yang dipelihara oleh peternak sebagai landasan pembentukan VBC. Penelitian dilakukan di kelompok peternak kambing Saburai berlokasi di Desa Campang, Kecamatan Gisting, Kabupaten Tanggamus, Lampung. Materi penelitian ini melibatkan ternak kambing Saburai pada berbagai tingkatan umur, baik induk, cempe, pejantan maupun kambing muda yang dipelihara oleh peternak juga peternak pemelihara sebagai responden. Untuk mengetahui manajemen pemeliharaan ternak, selain pengamatan langsung di lapangan, juga dilakukan wawancara dengan peternak dengan bantuan kuesioner. Hasil Penelitian di dapat rata-rata kinerja reproduksi yang meliputi litter size 1,53+0,60 ekor, Umur sapih 99,9+0,78 hari, post partum estrus 53+20,13 hari, siklus estrus 25,15+2,06 hari, post partum mating 82,8+0,94 hari, lama kebuntingan 158,22+3,34 hari, dan jarak beranak 249+1,04 hari. Sedangkan kinerja produksi yang meliputi bobot lahir rata-rata 3,05+0,23 kg, bobot sapih 16,76+1,64 kg, dan bobot satu tahun 43,67+5,51 kg. Berdasarkan kondisi tersebut secara umum peternak kambing Saburai telah menerapkan manajemen pemeliharaan secara intensif, sehingga ternak dapat berproduksi dengan baik dan  memiliki kinerja reproduksi dan produksi yang lebih baik jika dibandingkan dengan jenis kambing lainnya.",conference,disk0/00/00/46/35,['FP17'],inpress,7,2017-11-16 07:14:32,public,show,4635,archive,2017-11-16 07:14:32,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17548', 'eprintid': 4635, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'kusuma dkk_Performa Kambing Saburai_SemNas Magelang.pdf', 'docid': 17548, 'files': [{'datasetid': 'document', 'fileid': 45485, 'hash': '731a7642191a949f81f4c11337cc1816', 'mime_type': 'application/pdf', 'filesize': 179784, 'objectid': 17548, 'uri': 'http://repository.lppm.unila.ac.id/id/file/45485', 'filename': 'kusuma dkk_Performa Kambing Saburai_SemNas Magelang.pdf', 'hash_type': 'MD5', 'mtime': '2017-11-04 22:31:01'}]}]",2017-11-16 07:14:32,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",444,TRUE,10 Agustus 2017,"PERFORMA KAMBING SABURAI YANG DIPELIHARA PETERNAK DI DESA CAMPANG KECAMATAN GISTING, TANGGAMUS",paper,conference_item,"[{'name': {'given': 'Kusuma', 'honourific': None, 'lineage': None, 'family': 'Adhianto'}, 'id': '.'}, {'name': {'given': 'Sulastri', 'honourific': None, 'family': 'Sulastri', 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Siswanto', 'honourific': None, 'lineage': None, 'family': 'Siswanto'}}]",Magelang,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,,,,submitted,,,,,,,
6,,['SF'],2017-11-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/7007,"This research aimed to determine the botanical composition and nutrient value of grass in swamp of Menggala Sub-District Tulang Bawang Regency Lampung Province in August--October 2017. This research used survey method with purposive sampling. The data obtained from this study consisted of primary and secondary datas. The result showed that the botanical composition contained in the swamp of Hymenachne amplexicaulis 59,93%; Cynodon dactylon L. Pars 18,54%; Fimbristylis vahlii 7,54%; Brachiaria plantaginea 7,39% and Isachne indica Nees 6,60%. The average nutrient of grass contained in swamp of Menggala Sub-District were dry material 19.72%; crude fiber 28,90%; crude protein 5.72%; crude fat 4.51%; ash 14.05%; and NFE 42.16%.",,disk0/00/00/70/07,['FP17'],pub,10,2018-06-05 07:25:06,public,show,7007,archive,2018-06-05 07:25:06,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19979', 'eprintid': 7007, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '2540-6019-1-SM.pdf', 'docid': 19979, 'files': [{'mime_type': 'application/pdf', 'hash': '96e562849b83e113753583554fdd50ab', 'datasetid': 'document', 'fileid': 64149, 'filename': '2540-6019-1-SM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/64149', 'objectid': 19979, 'filesize': 197061, 'mtime': '2018-06-04 07:28:32', 'hash_type': 'MD5'}]}, {'eprintid': 7007, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19980', 'format': 'text', 'main': 2540, 'docid': 19980, 'files': [{'mime_type': 'application/xml', 'hash': 'e049d6eb513ebdc8297a13b58c55aec3', 'fileid': 64152, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/64152', 'filename': 2540, 'filesize': 24004, 'objectid': 19980, 'mtime': '2018-06-04 07:29:22', 'hash_type': 'MD5'}], 'content': 'published', 'language': 'en', 'mime_type': 'application/xml', 'rev_number': 3}]",2018-06-05 07:25:06,,1111,TRUE,,Evaluasi Komposisi Botani dan Nilai Nutrien pada Rumput di Rawa Kecamatan Menggala Kabupaten Tulang Bawang,,article,"[{'name': {'given': 'Ridho', 'family': 'Akbar', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'liman.1967@fp.unila.ac.id', 'name': {'given': 'Liman', 'honourific': None, 'family': 'Liman', 'lineage': None}}, {'name': {'given': 'Agung', 'honourific': None, 'lineage': None, 'family': 'Kusuma Wijaya'}, 'id': 'agung.kusumawijaya@fp.unila.ac.id'}]",,Jurusan Peternakan Unila,,,5,,JURNAL ILMIAH PETERNAKAN TERPADU,2303 1956,,72-76,http://jurnal.fp.unila.ac.id/index.php/JIPT/index,3,published,,,,,,,
7,,['SF'],2017-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4939,"The purpose of this research were : 1) value calving intervalof dairy cattles on people’s livestocksome districts/cities at Lampung Province; 2) the factors and value factors which disturbing calving interval of dairy cattles on people livestock at some districts/cities at Lampung Province. This research was held on June-July 2016 with 37 dairy cattles, 11 farmers, and 3 inseminators at Tanggamus District, West Lampung District, and Metro City. This research used survey method. Data was analyse by multiple regression analysis.  The result showed that calving interval of dairy cattles on people’s livestock at Lampung Provinceis 15,95 month. Factors that affecting calving interval of dairy cattles on people livestock at some disricts/cities at Lampung Province were long empty period, long dry period, and long lactation.

 

Keywords : Calving Interval, Factor, Dairy Cattle, People Livestock",,disk0/00/00/49/39,['FP17'],pub,6,2017-11-14 08:08:31,public,show,4939,archive,2017-11-14 08:08:31,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'JRIP Sri.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-11-09 07:20:15', 'objectid': 17869, 'filesize': 332406, 'uri': 'http://repository.lppm.unila.ac.id/id/file/47755', 'filename': 'JRIP Sri.pdf', 'fileid': 47755, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'd82e67911a4035a1dd511b1debfa9302'}], 'docid': 17869, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17869', 'security': 'public', 'placement': 1, 'eprintid': 4939}]",2017-11-14 08:08:31,,1002,TRUE,,FAKTOR-FAKTOR YANG MEMENGARUHI CALVING INTERVAL SAPI PERAH PADA PETERNAKAN RAKYAT DI BEBERAPA KABUPATEN/KOTA PROVINSI LAMPUNG,,article,"[{'name': {'given': 'Ahmad Fauzy', 'honourific': None, 'lineage': None, 'family': 'Al-amin'}}, {'name': {'lineage': None, 'family': 'Hartono', 'honourific': None, 'given': 'Madi'}}, {'name': {'given': 'Sri', 'family': 'Suharyati', 'lineage': None, 'honourific': None}}]",,"JURUSAN PETERNAKAN, FAKULTAS PERTANIAN,  UNIVERSITAS LAMPUNG",,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",1,[{'url': 'https://jppi.fp.unila.ac.id'}],Jurnal Riset dan Inovasi Peternakan,2598-3067,,33-36,https://jppi.fp.unila.ac.id,1,published,['Mandiri'],,,,,,
8,,['SF'],2017-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/7014,"The aim of research  to know the effect of cutting age on moisture, ash, and crude fat of Indigofera zollingeriana.  The study was done based on Completely Randomized Design (CRD) with 3 treatments and 4 replications. The treatments in this study were : 1) U40 (40 days of cutting age), 2) U50 (50 days of cutting age), and 3) U60 (60 days of cutting age).  Indigofera zollingeriana being cuts for the first time at 1 m height from the ground surface and plots of land measuring 3 x 3 m2 and is harvested at a different age.  The results showed that the effect of cutting age significantly (P < 0.01) affect moisture, ash, and crude fat of Indigofera zollingeriana.  Moisture content of Indigofera zollingeriana with cutting age of 40, 50, and 60 days  were 82,37%, 81,28 %, and 77,54% respectively.  Ash content of Indigofera zollingeriana with cutting age of 40, 50, and 60 days  were 9,72%, 10,51%, and 11,57% respectively.  Crude fat content of Indigofera zollingeriana with cutting age of 40, 50, and 60 days were 6,85%, 7,51%, and 10,86% respectively.",,disk0/00/00/70/14,['FP17'],pub,10,2018-06-05 07:24:12,public,show,7014,archive,2018-06-05 07:24:12,"[{'main': '20-33-1-SM.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-06-04 13:04:04', 'filesize': 112643, 'objectid': 19988, 'uri': 'http://repository.lppm.unila.ac.id/id/file/64203', 'filename': '20-33-1-SM.pdf', 'fileid': 64203, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e48406447828a6343cabc447724ad2ed'}], 'docid': 19988, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 7014, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19988', 'pos': 1, 'security': 'public'}, {'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19989', 'security': 'public', 'placement': 2, 'eprintid': 7014, 'language': 'en', 'rev_number': 3, 'mime_type': 'application/xml', 'files': [{'hash': '0f18b5bf27439b4f6f39cc9273519312', 'mime_type': 'application/xml', 'datasetid': 'document', 'fileid': 64206, 'uri': 'http://repository.lppm.unila.ac.id/id/file/64206', 'filename': 20, 'objectid': 19989, 'filesize': 17070, 'mtime': '2018-06-04 13:04:56', 'hash_type': 'MD5'}], 'main': 20, 'docid': 19989, 'format': 'archive'}]",2018-06-05 07:24:12,,1111,TRUE,,"PENGARUH UMUR PEMOTONGAN TERHADAP KADAR AIR, ABU, DAN LEMAK KASAR Indigofera zollingeriana",,article,"[{'name': {'given': 'Farah', 'honourific': None, 'family': 'Aulia', 'lineage': None}}, {'name': {'family': 'Erwanto', 'lineage': None, 'honourific': None, 'given': 'Erwanto'}}, {'name': {'given': 'Agung', 'honourific': None, 'lineage': None, 'family': 'Kusuma Wijaya'}}]",,"JURUSAN PETERNAKAN, FAKULTAS PERTANIAN,  UNIVERSITAS LAMPUNG",,,1,,Jurnal Riset dan Inovasi Peternakan,2598-3067,,1-4,http://jppi.fp.unila.ac.id/index.php/ojs/index,3,published,,,,,,,
9,,['SF'],1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/1613,"The purpose of the resarch was knowing characteristic and composition carcass of  krui cattle on Pesisir Barat Region, Lampung Province. This reserch was hold on June-July 2016, abaout characteristic like body weigh, carcass percentage, skin percentage, and kidney pelpic heart fat percentage, and composition carcass like  fat percentage, bone percentage, meat percentage, meat bone ratio, and meat fat ratio. The result of reserch refers to descriptive analisisc on average from body weigh on male krui cattle is 220,28 kg and female krui cattle 180,26 kg, carcass percentage  on male krui cattle is 48,09% and female krui cattle 44,47%, skin precentage on male krui cattle 6,47% and famale krui cattle 7,02%, percentage of kidney pelpic heart fat on male krui cattle is 0.86% and famele 0,92%, fat percentege of male krui cattle is 5,58% and female 5,28%, bone precentage of male krui cattle is 13,66% and famale 13,44%, maet precentage of male krui cattle is 34,43% and famale krui cattle 31,01%.",,disk0/00/00/16/13,['FP17'],pub,11,2017-05-18 00:58:04,restricted,show,1613,archive,2017-05-18 00:57:58,"[{'security': 'validuser', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1478', 'eprintid': 1613, 'placement': 1, 'content': 'published', 'language': 'id', 'mime_type': 'application/xml', 'rev_number': 6, 'date_embargo': '2018-03-10', 'format': 'text', 'docid': 1478, 'main': 'Dewantara et al', 'files': [{'hash': '59b763fc6e4131ae6bfa9cbd77072676', 'mime_type': 'application/xml', 'datasetid': 'document', 'fileid': 11146, 'filename': 'Dewantara et al', 'uri': 'http://repository.lppm.unila.ac.id/id/file/11146', 'filesize': 35170, 'objectid': 1478, 'mtime': '2017-05-07 15:24:03', 'hash_type': 'MD5'}]}]",2017-05-18 00:58:04,,444,TRUE,,Karakteristik dan Komposisi Karkas Pada Sapi Krui di Kabupaten Pesisir Barat Provinsi Lampung,,article,"[{'id': 'kusuma.adhianto@fp.unila.ac.id', 'name': {'given': 'Brisca Febria', 'honourific': None, 'family': 'Dewantara', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Iqbal Hamdani', 'honourific': None, 'given': 'M Dima'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Sulastri', 'given': 'Sulastri'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Adhianto', 'given': 'Kusuma'}, 'id': '.'}]",,Jurusan Peternakan FP UNS,,,15,,Sains Peternakan,1693 - 8828,,35-40,,1,published,,,,,,,
