,full_text_status,issn,status_changed,rev_number,ispublished,publisher,publication,divisions,dir,abstract,volume,uri,date,date_type,subjects,creators,type,title,refereed,userid,number,official_url,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,corp_creators,related_url,id_number
0,public,2541-1713,2023-05-02 01:40:32,10,pub,Jurnal Fisika Flux,Jurnal Fisika Flux,['FT1'],disk0_bak/00/05/08/52,"Pemetaan bahaya longsor menggunakan sistem informasi geografis (SIG) sangat penting karena 
membantu mengurangi risiko bencana dan melindungi masyarakat dari dampaknya. Dalam pemetaan 
kerawanan longsor, metode skoring dan pembobotan serta analisis overlay membantu menentukan tingkat 
kerawanan longsor. Data penelitian ini menggunakan beberapa parameter antara lain jenis tanah, geologi, 
curah hujan, tutupan lahan, kemiringan lereng. Kemiringan lereng dibuat berdasarkan data dari Digital 
Elevation Model Shuttle Radar Topography Mission (DEM SRTM). Alat yang digunakan adalah perangkat lunak 
ArcGIS v10.8 dan Microsoft Office 2019. Kabupaten Lebak memiliki curah hujan yang cukup banyak terutama 
pada musim hujan dengan intensitas kemarau hingga sedang berkisar antara 1501-2.000 mm/tahun dan 2001-
2.500 mm/tahun. Batu yang mudah aus dan terkorosi lebih rentan. Lereng yang terjal dapat meningkatkan 
risiko longsor, terutama di daerah dengan jenis tanah licin. Tutupan lahan yang dikonversi menjadi 
perkebunan atau pemukiman cenderung lebih rentan dibandingkan lahan utuh. Kabupaten Lebak terdiri dari 
3 longsoran yaitu rendah, sedang dan tinggi. Luas daerah risiko rendah 3.854,57 ha, luas daerah risiko sedang 
160884,09 ha, dan luas daerah risiko tinggi 164.993,60 ha. Daerah kerawanan longsor dengan dominasi tingkat 
kerawanan longsor rendah ditunjukkan di Kecamatan Wanasalam luas 2800.91 ha atau 0,08%, sedang terdapat 
di Kecamatan Cileles 14.001,21 ha atau 0,042%, dan tinggi ditunjukkan di Kecamatan Cibeber luas 32.501,61 
ha atau 0,098%.",20.0,http://repository.lppm.unila.ac.id/id/eprint/50852,2023-02-01 00:00:00.000000000,published,"['QE', 'T1']","[{'name': {'given': 'Sandri', 'lineage': None, 'family': 'Erfani', 'honourific': None}, 'id': 'sandri.erfani@eng.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Naimullah', 'given': 'Muhammad'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Winardi', 'given': 'Denta'}, 'id': None}]",article,"SIG Metode Skoring dan Overlay untuk Pemetaan Tingkat 
Kerawanan Longsor di Kabupaten Lebak, Banten",TRUE,3256,1.0,https://ppjp.ulm.ac.id/journal/index.php/f/article/view/15057,2023-05-02 01:40:32,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190562', 'pos': 1, 'eprintid': 50852, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '15057-45985-1-PB (1).pdf', 'docid': 190562, 'files': [{'mtime': '2023-04-29 23:45:27', 'hash_type': 'MD5', 'filename': '15057-45985-1-PB (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/547557', 'filesize': 999174, 'objectid': 190562, 'mime_type': 'application/pdf', 'hash': '5bbcf99c2cf25d906996a005504068dc', 'datasetid': 'document', 'fileid': 547557}]}]",2023-05-02 01:40:32,50852,archive,show,61-79,,,
1,public,1410-6175,2023-07-31 09:40:21,8,pub,Marine Geological Institute of Indonesia,Bulletin of the Marine Geology,['FT1'],disk0_bak/00/05/23/18,"The Sunda Asri Basin is dominated by normal faults and has little compressional structure.
This basin consists of several depocenters with a thickness of up to 6000 m. Among the geophysical
methods, gravity analysis has proven to be effective in determining the bedrock configuration and
identifying sedimentary basins. This study aims to analyze sedimentary sub-basin patterns, basement height
structures, faults, and bedrock configuration using trend surface analysis of polynomial filters. The analysis
of polynomial filter show that a 10th-order anomaly yields optimal results. The high correlation value of
0.990925 provides the suitability of a 10th-order anomaly for qualitative interpretation. Spectral analysis
results indicate an average bedrock depth of about 2.75 km within the Sunda Asri Basin. Furthermore, this
analysis reveals the presence of 14 sedimentary sub-basin patterns in this area. The gravity modeling results
indicate that the top layer has a density value of 2.37 g/cc, which interpreted as Pleistocene Tertiary
sediment. The second layer consists of Tertiary-Miocene sediment with a density value of 2.28 g/cc, while
the third layer comprises of Pre-Tertiary sedimentary rock at a density of 2.02 g /cc. The bottom layer of the
model corresponds to metamorphic bedrock with a density 2.7 g/cc. SVD (Second Vertical Derivative)
analysis successfully identified the presence of normal and thrust fault structures",38.0,http://repository.lppm.unila.ac.id/id/eprint/52318,2023-06-01 00:00:00.000000000,published,['T1'],"[{'name': {'family': 'Hayu', 'lineage': None, 'honourific': None, 'given': 'Nurfaedah'}, 'id': None}, {'id': 'muhsarkowi@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Sarkowi', 'given': 'Muh'}}]",article,Subsurface Geological Interpretation of the North Sunda Asri Basin Based on SVD Analysis and Gravity Anomaly Modeling.,TRUE,816,1.0,http://ejournal.mgi.esdm.go.id/index.php/bomg/article/view/833,2023-07-31 09:40:21,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'FullPaperBuletinMarineGeology-Sarkowi.pdf', 'files': [{'datasetid': 'document', 'fileid': 620089, 'mime_type': 'application/pdf', 'hash': '1228c7328dfb11f92a9fe061ed9a0074', 'hash_type': 'MD5', 'mtime': '2023-07-31 07:22:59', 'objectid': 253358, 'filesize': 5193621, 'filename': 'FullPaperBuletinMarineGeology-Sarkowi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/620089'}], 'docid': 253358, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253358', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 52318}]",2023-07-31 09:40:21,52318,archive,show,33-41,['Universitas Lampung'],[{'url': 'http://ejournal.mgi.esdm.go.id/index.php/bomg/article/view/833'}],http://dx.doi.org/10.32693/bomg.38.1.2023.833
2,public,2356-1599/ 2685-6182,2023-07-31 09:40:10,7,pub,"Geophysical Engineering Department, Engineering Faculty, Universitas Lampung",JGE (Jurnal Geofisika Eksplorasi),['FT1'],disk0_bak/00/05/23/14,"Penelitian gayaberat di Lapangan Iliran High Sumatera Selatan dilakukan untuk mengetahui struktur bawah permukaan di daerah tersebut, khususnya adanya sesar naik dan naiknya batuan dasar di daerah ini berdasarkan pengolahan dan pemodelan data gayaberat. Lapangan Iliran High terletak 40 km barat laut Palembang. Lapangan Iliran High merupakan bagian dari struktur Blok Rimau. Hasil studi menemukan adanya pola anomali Bouguer tinggi di bagian tengah yang memanjang dari NW-SE sesuai dengan struktur tinggi di daerah tersebut. Sedangkan pola anomali rendah di bagian utara dengan garis kontur yang padat menunjukkan adanya struktur sesar. Anomali Bouguer residual tinggi di bagian tengah berarah NW-SE sesuai dengan struktur tinggian dan prospek minyak berat di Formasi Telisa yang muncul pada kedalaman <55 meter (Sumur Tala dan Sumur Taba). Analisis turunan vertikal kedua dan pemodelan ke depan menunjukkan adanya sesar naik dan batuan dasar tinggi di bagian Utara daerah penelitian memanjang dari NW-SE. Adanya sesar naik dan batuan dasar tinggi di bagian Utara konsisten dengan data geologi, seismik dan sumur.",9.0,http://repository.lppm.unila.ac.id/id/eprint/52314,2023-07-01 00:00:00.000000000,published,['T1'],"[{'name': {'given': 'Sarkowi', 'family': 'Muh', 'lineage': None, 'honourific': None}, 'id': 'muhsarkowi@gmail.com'}]",article,Identifikasi Struktur Iliran High Sumatera Selatan Berdasarkan Analisa Anomaly Gravity,TRUE,816,2.0,https://jge.eng.unila.ac.id/index.php/geoph/article/view/303,2023-07-31 09:40:10,"[{'main': 'FullPaperJGE-Sarkowi.pdf', 'docid': 253339, 'files': [{'fileid': 620044, 'datasetid': 'document', 'hash': '81bcfc9c9fececb515ff6c723af4af53', 'mime_type': 'application/pdf', 'filesize': 5783284, 'objectid': 253339, 'filename': 'FullPaperJGE-Sarkowi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/620044', 'hash_type': 'MD5', 'mtime': '2023-07-31 06:57:11'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 52314, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253339', 'security': 'public'}]",2023-07-31 09:40:10,52314,archive,show,150-160,,,https://doi.org/10.23960/jge.v9i2.303
3,public,,2023-07-31 09:40:12,7,unpub,Universitas Lampung,,['FT1'],disk0_bak/00/05/23/15,Korespondensi JGE,,http://repository.lppm.unila.ac.id/id/eprint/52315,1970-01-01 00:00:00.000002023,,['AC'],"[{'id': 'muhsarkowi@gmail.com', 'name': {'honourific': None, 'family': 'Muh', 'lineage': None, 'given': 'Sarkowi'}}]",other,Korespondensi JGE,,816,,,2023-07-31 09:40:12,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253340', 'pos': 1, 'eprintid': 52315, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'KorespdensiPaperJGE.pdf', 'files': [{'mtime': '2023-07-31 07:06:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/620052', 'filename': 'KorespdensiPaperJGE.pdf', 'filesize': 4367393, 'objectid': 253340, 'hash': '2321754a2eccb1ed2517289edee34e33', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 620052}], 'docid': 253340}]",2023-07-31 09:40:12,52315,archive,show,,,,
4,public,,2023-07-31 09:40:15,7,unpub,Fakultas Teknik Universitas Lampung,,['FT1'],disk0_bak/00/05/23/16,Similirity JGE,,http://repository.lppm.unila.ac.id/id/eprint/52316,1970-01-01 00:00:00.000002023,,['AC'],"[{'name': {'given': 'MS', 'honourific': None, 'lineage': None, 'family': 'Muh Sarkowi'}}]",other,Similirity JGE,,816,,,2023-07-31 09:40:15,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253346', 'pos': 1, 'eprintid': 52316, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-07-31 07:10:12', 'filesize': 1770768, 'objectid': 253346, 'filename': 'Similirity-JGE.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/620064', 'datasetid': 'document', 'fileid': 620064, 'mime_type': 'application/pdf', 'hash': '45cba4ca7dc9479be0ebae1e183635ea'}], 'main': 'Similirity-JGE.pdf', 'docid': 253346}]",2023-07-31 09:40:15,52316,archive,show,,['Universitas Lampung'],,
5,public,1551-7616,2023-07-31 09:40:22,6,pub,AIP Publishing,"The 7th International Conference of Science, Technology, and Interdisciplinary Research (IC-STAR 2021)",['FT1'],disk0_bak/00/05/23/22,"Indonesia's territory has a high level of risk of landslides. One of them is Batu Keramat Village, Tanggamus district with steep topographical undulation, making it a landslide-prone area. This research aims to analyze landslide- prone zones based on Structure from Motion (SfM) and the method of electrical resistivity tomography (ERT). The research location has very potential for landslides, supported by signs on the surface and clarified with a subsurface image. From
the SfM analysis, the research location has a steep slope (> 600) with a slope height of about 30 m. Young volcanic rocks dominate in the study area in breccias, lava, and tuff with andesite-basalt composition. There are several Tertiary-aged andesite rocks exposed which are thought to be bedrock at this location. Based on the ERT model, the resistivity distribution value is in the range of 70-2100 ohm.m. The subsurface model has three layers divided into topsoil in the upper part, which
is indicated by a resistivity value of 350 - 500 ohm.m. The clay layer is indicated by a resistivity value of 70 - 120 ohm.m,and bedrock (andesite) is indicated by 1000 - 2100 ohm.m. The clay layer can become a slip surface and cause the study area to be prone to landslides.",2601.0,http://repository.lppm.unila.ac.id/id/eprint/52322,2023-06-01 00:00:00.000000000,published,['T1'],"[{'id': 'rahmat.caturwibowo@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Rahmat', 'lineage': None, 'given': 'C. Wibowo'}}, {'id': 'muhsarkowi@gmail.com', 'name': {'given': 'Sarkowi', 'honourific': None, 'lineage': None, 'family': 'Muh'}}]",article,"A combined of electrical resistivity tomography and
structure from motion method for landside-prone zone
analysis in East Kota Agung Region",TRUE,816,20001.0,https://pubs.aip.org/aip/acp/article-abstract/2601/1/020001/2894111/A-combined-of-electrical-resistivity-tomography?redirectedFrom=PDF,2023-07-31 09:40:22,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 253382, 'main': 'Paper-AIP-Kotaagung-Full.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-07-31 07:59:00', 'filesize': 1402235, 'objectid': 253382, 'uri': 'http://repository.lppm.unila.ac.id/id/file/620140', 'filename': 'Paper-AIP-Kotaagung-Full.pdf', 'datasetid': 'document', 'fileid': 620140, 'hash': '35b6f2f2b2866c756bcfe24b24dd2aca', 'mime_type': 'application/pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253382', 'eprintid': 52322, 'placement': 1}]",2023-07-31 09:40:22,52322,archive,show,020001-1-020001-8,,,https://doi.org/10.1063/5.0129571
6,public,,2023-05-05 09:11:04,7,unpub,sarkowi,,['FT1'],disk0_bak/00/05/11/02,Informasi Kegiatan Tambahan Calon Guru Besar an. Muh Sarkowi,,http://repository.lppm.unila.ac.id/id/eprint/51102,1970-01-01 00:00:00.000002023,completed,['AC'],"[{'name': {'given': 'Muh', 'family': 'Sarkowi', 'lineage': None, 'honourific': None}, 'id': 'muhsarkowi@gmail.com'}]",other,Informasi Kegiatan Tambahan an. Muh Sarkowi,,816,,,2023-05-05 09:11:04,"[{'format': 'text', 'files': [{'hash': '4e2e9ba2167d5cf16eaea7f07132a906', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'datasetid': 'document', 'fileid': 549437, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549437', 'filename': 'INFORMASI KEGIATAN TAMBAHAN-Sarkowi.docx', 'objectid': 190819, 'filesize': 41108616, 'mtime': '2023-05-05 09:07:47', 'hash_type': 'MD5'}], 'main': 'INFORMASI KEGIATAN TAMBAHAN-Sarkowi.docx', 'docid': 190819, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'eprintid': 51102, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190819', 'pos': 1}]",2023-05-05 09:11:04,51102,archive,show,,,,
7,public,,2023-05-05 09:16:14,7,unpub,sarkowi,,['FT1'],disk0_bak/00/05/11/03,Informasi Kegiatan Tambahan an. Sarkowi,,http://repository.lppm.unila.ac.id/id/eprint/51103,1970-01-01 00:00:00.000002023,completed,['AC'],"[{'id': 'muhsarkowi@gmail.com', 'name': {'given': 'Muh', 'family': 'Sarkowi', 'lineage': None, 'honourific': None}}]",other,Informasi Kegiatan Tambahan an. Sarkowi,,816,,,2023-05-05 09:16:14,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 549446, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c51031405fdb6bd1a75776848dff4d4a', 'objectid': 190820, 'filesize': 5290662, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549446', 'filename': 'INFORMASI KEGIATAN TAMBAHAN-Sarkowi.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-05 09:12:21'}], 'main': 'INFORMASI KEGIATAN TAMBAHAN-Sarkowi.pdf', 'docid': 190820, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190820', 'pos': 1, 'eprintid': 51103, 'placement': 1}]",2023-05-05 09:16:14,51103,archive,show,,,,
8,public,,2023-03-09 08:46:13,7,unpub,Fakultas Teknik Universitas Lampung,,['FT1'],disk0_bak/00/04/88/89,Informasi tambahan untuk syarat pengusulan Gurubesar an. Muh Sarkowi,,http://repository.lppm.unila.ac.id/id/eprint/48889,1970-01-01 00:00:00.000002023,,['AC'],"[{'id': 'muhsarkowi@gmail.com', 'name': {'given': 'Muh', 'family': 'Sarkowi', 'lineage': None, 'honourific': None}}]",other,Informasi tambahan untuk syarat pengusulan Gurubesar an. Muh Sarkowi,,816,,,2023-03-09 08:46:13,"[{'eprintid': 48889, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188329', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 532203, 'hash': 'e18af101cc1489b7b521bc13ca5018a7', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-03-09 06:54:21', 'filesize': 4379308, 'objectid': 188329, 'filename': 'INFORMASI KEGIATAN TAMBAHAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/532203'}], 'main': 'INFORMASI KEGIATAN TAMBAHAN.pdf', 'docid': 188329, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2023-03-09 08:46:13,48889,archive,show,,['Fakultas Teknik Universitas Lampung'],,
9,public,,2023-02-22 06:35:56,8,unpub,Fakultas Teknik Universitas Lampung,,['FT1'],disk0_bak/00/04/84/82,"Muh Sarkowi, Rahmi Mulyasari, I Gede Boy Darmawan, and Rahmat Catur Wibowo* Similirity Jurnal SJST dengan judul : Identification of the Semangko Fault in Sumatra, Indonesia,
based on gradient gravity data analysis",,http://repository.lppm.unila.ac.id/id/eprint/48482,2023-02-17 00:00:00.000000000,completed,"['AC', 'Z719']","[{'name': {'given': 'Muh', 'lineage': None, 'family': 'Sarkowi', 'honourific': None}, 'id': 'muhsarkowi@gmail.com'}, {'name': {'given': 'Rahmi Mulyasari', 'family': 'Rahmi Mulyasari', 'lineage': None, 'honourific': None}, 'id': 'rahmi.mulyasari@eng.unila.ac.id'}, {'name': {'given': 'I Gede Boy', 'honourific': None, 'family': 'Darmawan', 'lineage': None}, 'id': 'igedeboy@staff.unila.ac.id'}, {'name': {'given': 'Rahmat Catur', 'honourific': None, 'family': 'Wibowo', 'lineage': None}, 'id': 'rahmat.caturwibowo@eng.unila.ac.id'}]",other,"Muh Sarkowi, Rahmi Mulyasari, I Gede Boy Darmawan, and Rahmat Catur Wibowo* Similirity Jurnal SJST dengan judul : Identification of the Semangko Fault in Sumatra, Indonesia,
based on gradient gravity data analysis",,816,,,2023-02-22 06:35:56,"[{'placement': 1, 'eprintid': 48482, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187775', 'security': 'public', 'main': 'Similarity Check Sarkowi SJST 2023.pdf', 'docid': 187775, 'files': [{'filename': 'Similarity Check Sarkowi SJST 2023.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/528966', 'objectid': 187775, 'filesize': 667353, 'mtime': '2023-02-22 03:34:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'b44d3367ba3b0770238df61a34abb1c4', 'fileid': 528966, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2023-02-22 06:35:56,48482,archive,show,,['Universitas Lampung'],,
