,type,creators,title,datestamp,eprint_status,id_number,eprintid,metadata_visibility,userid,lastmod,documents,divisions,dir,full_text_status,status_changed,rev_number,ispublished,date_type,subjects,patent_applicant,date,uri,pres_type,refereed,event_type,event_title,pagerange,number,abstract,volume,publisher,publication,issn,official_url,pages,succeeds,isbn
0,patent,"[{'name': {'given': 'Harun', 'honourific': None, 'family': 'Al Rasyid', 'lineage': None}, 'id': 'harun.alrasyid@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Utomo', 'given': 'tanto Pratondo'}, 'id': 'tanto.utomo@fp.unila.ac.id'}, {'id': 'esa.ghanim@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Fadhallah', 'lineage': None, 'given': 'Esa Ghanim'}}]",Video Pembelajaran Mata Kuliah Technopreneur Agroindustri,2022-06-22 07:02:51,archive,EC00202219815,42705,show,5609,2022-06-22 07:02:51,"[{'placement': 1, 'eprintid': 42705, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164425', 'security': 'public', 'main': '18 sertifikat_MK Technopreneur Agroindustri.pdf', 'docid': 164425, 'files': [{'mtime': '2022-06-22 05:36:13', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/468346', 'filename': '18 sertifikat_MK Technopreneur Agroindustri.pdf', 'objectid': 164425, 'filesize': 2077529, 'mime_type': 'application/pdf', 'hash': 'd3d1731ef20fa9d0f8a1c514b1854e11', 'datasetid': 'document', 'fileid': 468346}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",['FP22'],disk0/00/04/27/05,public,2022-06-22 07:02:51,10,pub,published,['S1'],Fakultas Pertanian Universitas Lampung,2022-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42705,,,,,,,,,,,,,,,
1,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Kustyawati', 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}, {'id': 'harun.alrasyid@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Al Rasyid', 'lineage': None, 'given': 'Harun'}}, {'name': {'family': 'Nurainy', 'lineage': None, 'honourific': None, 'given': 'Fibra'}, 'id': 'fibranurainy@gmail.com'}, {'id': 'zulferiyenni@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Zulferiyenni', 'given': 'None'}}]",Kopi Peppermint,2022-11-14 03:25:41,archive,,46532,show,1017,2022-11-14 03:25:41,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185412', 'pos': 1, 'eprintid': 46532, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'image/png', 'format': 'image', 'docid': 185412, 'main': 'banner LPPM expo kopi peppermint.png', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-11 15:29:45', 'filesize': 9604317, 'objectid': 185412, 'uri': 'http://repository.lppm.unila.ac.id/id/file/513162', 'filename': 'banner LPPM expo kopi peppermint.png', 'datasetid': 'document', 'fileid': 513162, 'hash': 'a22a7a47665deb0a208d19ae1a51efcb', 'mime_type': 'image/png'}]}]",['FP22'],disk0/00/04/65/32,public,2022-11-14 03:25:41,7,unpub,,['S1'],,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46532,poster,TRUE,other,Pameran Inovasi Dies Unila ke 57,,,,,,,,,,,
2,article,"[{'name': {'given': 'Maria Erna', 'honourific': None, 'family': 'Kustyawati', 'lineage': None}, 'id': 'maria.erna@fp.unila.ac.id'}, {'id': 'esa.ghanim@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Fadhallah', 'given': 'Esa Ghanim'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Rizal', 'given': 'Samsul'}, 'id': 'samsul.rizal@fp.unila.ac.id'}]",Prebiotic activity of Lactobacillus casei grown on medium containing of Hylocereus undatus extract and its use in the ermentation of goat’s milk kefir,2023-05-04 01:37:17,archive,,51027,show,1017,2023-05-04 01:37:17,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190739', 'eprintid': 51027, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Biodiversitas_12420-PAS.pdf', 'docid': 190739, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/548832', 'filename': 'Biodiversitas_12420-PAS.pdf', 'filesize': 606165, 'objectid': 190739, 'mtime': '2023-05-03 10:46:33', 'hash_type': 'MD5', 'hash': '45673cfe48a5add5569104866f192f18', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 548832}]}]",['FP22'],disk0_bak/00/05/10/27,public,2023-05-04 01:37:17,6,pub,published,['S1'],,2022-12-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51027,,TRUE,,,6513-6519,12.0,"Kustyawati ME, Nurlita ME, Fadhallah EG, Rizal S. 2022. Prebiotic activity of Lactobacillus casei grown on medium 
containing of Hylocereus undatus extract and its use in the fermentation of goat’s milk kefir. Biodiversitas 23: 6513-6519. White dragon fruit extract used as a prebiotic source is thought to be an innovative exploration to enhance its application as a synbiotics in food products. This study aims to quantify the prebiotic index and prebiotic activity score for Lactobacillus casei grown on white dragon fruit 
extract containing media at different concentrations. The study was carried out using a completely randomized design (CRD) experimental method with one factor, concentration of white dragon fruit extract (P1-P5) with 5 levels (2, 4, 6, 8, and 10% respectively), and was repeated 3 times. The data were analyzed statistically by ANOVA, if the treatments were significantly different then the LSD test (5%). The result showed that all tested media had a beneficial effect on the growth of L. casei (prebiotic index higher than 1), while 
they did not support the growth of enteric Escherichia coli (prebiotic index less than 1 or negative). The highest score of prebiotic activity for L. casei was grown on 10%, while the lowest was 2%. The addition of 10% prebiotic extract of white dragon fruit in goat's milk fermentation produced goat's milk kefir with characteristics that met Codex Stand 243-2003 and had a DPPH radical scavenging activity of 55.13%.",23.0,Society for Indonesian Biodiversity,Biodiversitas Journal of Biological Diversity,1412-033X,,,,
3,article,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Kustyawati', 'lineage': None, 'given': 'Maria Erna'}}, {'name': {'lineage': None, 'family': 'Nurdin', 'honourific': None, 'given': 'Samsu Udayana'}, 'id': 'samsu.udayana@fp.unila.ac.id'}]",Inhibition effect of Rosella (Hibiscus sabdariffa L.) petal extract in Hard-Candy against Streptococcus mutans,2023-05-03 10:46:56,archive,,51026,show,1017,2023-05-03 10:46:56,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 190737, 'main': '597-Article Text as right template-2634-4-10-20221227_4.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-05-03 10:35:03', 'filesize': 679160, 'objectid': 190737, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548824', 'filename': '597-Article Text as right template-2634-4-10-20221227_4.pdf', 'datasetid': 'document', 'fileid': 548824, 'hash': '319a551c1d1715c08b4fe90cf482b853', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190737', 'security': 'public', 'placement': 1, 'eprintid': 51026}]",['FP22'],disk0_bak/00/05/10/26,public,2023-05-03 10:46:56,6,pub,published,['S1'],,2022-12-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51026,,TRUE,,,127-138,2.0,"Hard candy with the addition of roselle flower petal extract is considered an innovative product to improve the functional properties and sensory acceptance of roselle hard candy. The aim of the research was to determine the best concentration of rosella petal extract in hard candy that provided maximal bacterial effect against Streptococcus 
mutans and acceptable sensory. The research was arranged in 
Randomized Complete Block Design (RCBD) with six treatments and three replications. The treatments were the ratio concentration of rosella petal extract: water in the formulation for hard candy making (P). The Anova was performed and followed by LSD test at 5%. The results 
showed that different concentrations of rosella petal extract and water had a significant effect on total microbes, inhibition of S. mutans, and sensory analysis of rosella petal extract hard candy. The best treatment 
was formulation of P4 (rosella petal extract: water, 15: 85 mL). It produced rosella petal extract hard candy with total microbial of 1.5 x 102cfu/g and S.mutans inhibition of 8.43 mm, and met the SNI 3547.1:2008 requirement standards, except for the reducing sugar content. It was concluded that the hard candy with the additional ingredient of rosella petal extract could potentially help prevent the 
formation of dental plaque.",5.0,Universitas Hasanudin,"Canrea Journal: Food Technology, Nutritions, and Culinary",2621-9468,,,,
4,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Kustyawati', 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Sugiharto', 'honourific': None, 'given': 'R.'}}]","Microencapsulation of Green Capulaga (Elettaria cardamomum) 
Essential Oil with Maltodextrin and Its Applications in Coffee Drink",2023-05-04 01:37:15,archive,,51028,show,1017,2023-05-04 01:37:15,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Microencapsulation kopi JTEP 2022.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'abf231765a5a4870c8060335aa9266cd', 'datasetid': 'document', 'fileid': 548843, 'mtime': '2023-05-03 10:59:46', 'hash_type': 'MD5', 'filename': 'Microencapsulation kopi JTEP 2022.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/548843', 'objectid': 190740, 'filesize': 906139}], 'docid': 190740, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190740', 'security': 'public', 'placement': 1, 'eprintid': 51028}]",['FP22'],disk0_bak/00/05/10/28,public,2023-05-04 01:37:15,6,pub,published,['S1'],,2022-09-29 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51028,,TRUE,,,531 -541,3.0,"Microencapsulation of green cardamom (Elettaria cardamomum) essential oils and its application is considered an 
innovative technique to improve the functional properties of 
coffee drinks. This study aims to determine the best formulations (M) of combination of maltodextrin and cardamom essential oil, parameters such as microcapsule yields, water content, and solubility were measured. To find out whether the microcapsule was applicable for coffee drink, antioxidant activity and taste and aroma of coffee drink mixed with the best formulation were analyzed. Completely Randomized Block Design (CRBD) with four replications was used; the data were analyzed by ANOVA and further tested by the LSD test with a level of 5%. The results showed that formulations significantly affected the yields and 
solubility of cardamom essential oil microcapsules. The best 
formulation treatment was formulation M3 with a yield 
score,water content and solubility of 89.03%, 11.85%, and 
93.50%, respectively. Antioxidant activity, aroma and taste 
scores of ground coffee mixed with M3 were 77.61±0.23%, 4.31 
(typical of cardamom, little coffee), and 4.88 (typical of 
cardamom, little coffee), respectively. While ground coffee only has antioxidant activity of 76.32±0.31%. In conclusion, ground coffee mixed with microencapsulated cardamom essential oil has the potential as a herbal coffee drink.",11.0,Jurusan Teknik Pertanian Fakultas Pertanian Unila,Jurnal Teknik Pertanian Lampung,2302-559X,,,,
5,article,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'family': 'Kustyawati', 'lineage': None, 'honourific': None, 'given': 'Maria Erna'}}, {'id': 'erdi.suroso@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Suroso', 'given': 'Erdi'}}, {'name': {'given': 'Harun', 'family': 'Al Rasyid', 'lineage': None, 'honourific': None}, 'id': 'harun.alrasyid@fp.unila.ac.id'}]","Sistem Informasi Pemasaran Berbasis Website Terhadap Brand 
Awareness dan Minat Beli Produk Udang Instan Berbumbu 
Merek Seadang",2023-05-04 01:37:20,archive,,51029,show,1017,2023-05-04 01:37:20,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/548849', 'filename': 'Udang_14278-45067-1-PB.pdf', 'objectid': 190741, 'filesize': 219008, 'mtime': '2023-05-03 11:04:30', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '9ada64551c326c0645b95b4e0a5fc4ee', 'datasetid': 'document', 'fileid': 548849}], 'main': 'Udang_14278-45067-1-PB.pdf', 'docid': 190741, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190741', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51029}]",['FP22'],disk0_bak/00/05/10/29,public,2023-05-04 01:37:20,6,pub,published,['S1'],,2022-12-29 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51029,,TRUE,,,315-322,3.0,"Produk pangan yang menyehatkan, cepat saji, dan bercita rasa dibutuhkan oleh mayoritas masyarakat, sehingga diversifikasi produk pangan khususnya pengolahan hasil perikanan perlu dilakukan untuk menunjang ketahanan pangan di Indonesia. Udang instan berbumbu dengan merek Seadang dibuat dengan 
tujuan untuk meningkatkan ketahanan pangan serta nilai tambah dengan cita rasa khas yang disukai konsumen. Produk suatu perusahaan yang kurang dipromosikan akan mempengaruhi volume penjualan karena kesadaran merek (brand awareness) produk tersebut tidak melekat dalam benak konsumen. 
Penerapan teknologi website untuk memasarkan produk udang instan berbumbu akan membantu perkembangan produk, mempermudah penjualan, serta mengurangi biaya pengeluaran khususnya dibagian pemasaran. Tujuan penelitian ini adalah untuk mengetahui pengaruh kualitas website yang dirancang terhadap brand awareness dan minat beli produk udang instan berbumbu merek Seadang. Data penelitian diperoleh melalui kuesioner yang diberikan kepada 110 responden dan dianalisis menggunakan koefisien determinasi dan regresi linier sederhana. Hasil penelitian menunjukkan bahwa: 1) rancangan website diharapkan mampu memenuhi kebutuhan pemilik dan pelanggan, 2) kualitas website berpengaruh secara signifikan terhadap brand awareness dengan kontribusi sebesar 50,6%, 
dan 3) kualitas website berpengaruh secara signifikan terhadap minat beli dengan kontribusi sebesar 29,7%.",14.0,Unindra,Sosio e-Kons,2085-2266,,,,
6,article,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Ria Apriani', 'given': 'Ria'}}, {'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'given': 'Sussi', 'honourific': None, 'family': 'Sussi Astuti', 'lineage': None}}, {'name': {'given': 'Susilawati', 'honourific': None, 'family': 'Susilawati', 'lineage': None}, 'id': None}]","SUBSTITUSI JAMUR TIRAM PUTIH (Pleurotus ostreatus)
DALAM PEMBUATAN BAKSO IKAN BELOSO (Saurida tumbil):
EVALUASI SIFAT KIMIA DAN SENSORI",2022-05-23 07:49:14,archive,,41723,show,625,2022-05-23 07:49:14,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Bakso Ikan Beloso-Jurnal Agroindustri Berkelanjutan.pdf', 'docid': 163384, 'files': [{'hash_type': 'MD5', 'mtime': '2022-05-23 02:40:26', 'filesize': 211700, 'objectid': 163384, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461184', 'filename': 'Bakso Ikan Beloso-Jurnal Agroindustri Berkelanjutan.pdf', 'datasetid': 'document', 'fileid': 461184, 'hash': '33a6a2e3bf3992cb77e2a8b22f66824d', 'mime_type': 'application/pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163384', 'eprintid': 41723, 'placement': 1}]",['FP22'],disk0/00/04/17/23,public,2022-05-23 07:49:14,6,pub,published,['S1'],,2022-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/41723,,TRUE,,,61-77,1.0,"The aimed of the research was to obtain the concentration of substituted white oyster mushroom in making
beloso fish meatballs with chemical and sensory properties according to SNI 7266: 2014. The research was
arranged in a Complete Randomized Block Design with six treatments and four replications. Comparison of
beloso fish and white oyster mushroom treatment consisted of six levels, namely J1 (100%: 0%); J2 (90%:
10%); J3 (80%: 20%); J4 (70%: 30%); J5 (60%: 40%); and J6 (50%: 50%). Data similarity was analyzed by
Bartlett test and data addition by the Tuckey test, then analysis of variance was performed to determine the
effect between treatments. Data were further analyzed with Least Significant Difference Test (LSD) at the 5%
level. The results showed that the best white oyster mushroom beloso fishballs substitute was J3 treatment
(80% beloso fish and 20% white oyster mushroom). The best treatment of beloso fish meatballs (J3) produce
water content of 74,71%, ash content of 1,96%, protein content of 11,45%, water holding capacity of
58,43%, and fiber content of 0,3%, color with a score of 3,78 (whitey), aroma with a score of 3,88 (specific
fish aroma), taste with a score of 3,54 (specific fish taste), texture with a score of 3,68 (springy), and overall
acceptance with a score of 3,75 (likes). The ash content and protein content of the best fish meatballs
substituted by white oyster mushrooms had qualified the Indonesian National Standard of fish meatballs (SNI
7266: 2014), but water content of the best fish meatballs substituted by white oyster mushrooms have not
qualified the Indonesian National Standard of fish meatballs (SNI 7266: 2014).
Keywords: beloso fish, meatballs, substitution, white oyster mushrooms",1.0,"Jurusan Teknologi Hasil Pertanian, Fakultas Pertanian, Universitas Lampung",JURNAL AGROINDUSTRI BERKELANJUTAN,e-ISSN 2828-674X dan p-ISSN 2828-8513,https://jurnal.fp.unila.ac.id/index.php/JAB,,,
7,book,"[{'name': {'given': 'Neti', 'honourific': None, 'family': 'Yuliana', 'lineage': None}, 'id': 'neti.yuliana@fp.unila.ac.id'}]",BIOPROSES PENGOLAHAN UBI JALAR UNTUK PANGAN,2022-06-12 11:42:56,archive,,42327,show,1082,2022-06-12 11:42:56,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'fileid': 465679, 'datasetid': 'document', 'hash': '947827d533cd611948255afd41e277b7', 'mime_type': 'application/pdf', 'filesize': 1909871, 'objectid': 164034, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465679', 'filename': 'Bioproses Pengolahan Ubi Jalar Untuk Pangan ( with ISBN).pdf', 'hash_type': 'MD5', 'mtime': '2022-06-11 04:30:16'}], 'main': 'Bioproses Pengolahan Ubi Jalar Untuk Pangan ( with ISBN).pdf', 'docid': 164034, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164034', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 42327}]",['FP22'],disk0/00/04/23/27,public,2022-06-12 11:42:56,6,pub,,['S1'],,2022-06-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42327,,FALSE,,,,,"Ubi jalar merupakan sayuran umbi dengan kandungan utama karbohidrat terutama pati, sehingga merupakan media yang baik bagi mikroba agen tranformasi proses fermentasi (bioproses). Proses fermentasi yang diterapkan kemudian menjadi alat transformasi perubahan ubi jalar menjadi produk yang baru dan berbeda.  Selain pati, kandungan gizi esensial ubi jalar yang berupa gula, vitamin C, provitamin A, zat besi dan mineral akan menyumbang manfaat besar pada produk olahan bioproses ubi jalar. Tidak hanya zat gizi, beberapa varietas ubi jalar juga mengandung  fitokimia karoten dan antosianin yang tentunya turut memberikan manfaat pada produk bioproes ubi jalar. 
 Buku ini terdiri dari 6 bab yang mencakup pengertian dan dipilihnya bioproses pada pengolahan ubi jalar pada bab 1, komposisi kimia dan manfaat kesehatan ubi jalar pada bab 2, serta pembahasan bioproses pengolahan ubi jalar menjadi berbagai produk pangan pada bab 3 sampai dengan 6.  Pada bab 5 secara khusus dibahas modifikasi tepung dari ubi jalar dengan penerapan  fermentasi pada fase pengolahan ubi jalar menjadi tepung.",,Pusaka Media,,,,58.0,42063.0,
8,book,"[{'id': 'neti.yuliana@fp.unila.ac.id', 'name': {'given': 'Neti', 'family': 'Yuliana', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Nurainy', 'lineage': None, 'given': 'Fibra'}, 'id': 'fibranurainy@gmail.com'}, {'name': {'honourific': None, 'family': 'Sumardi', 'lineage': None, 'given': 'Sumardi'}, 'id': 'sumardi_bio@yahoo.co.id'}]",PENGOLAHAN HASIL SAMPING BUAH KAKAO,2023-03-31 00:47:53,archive,,49371,show,1082,2023-03-31 00:47:53,"[{'format': 'image', 'main': 'COVER BUKU PENGOLAHAN HASIL SAMPING BUAH KAKAO_Nov 2022.jpeg', 'docid': 188922, 'files': [{'hash_type': 'MD5', 'mtime': '2023-03-30 01:37:23', 'filesize': 244380, 'objectid': 188922, 'uri': 'http://repository.lppm.unila.ac.id/id/file/535951', 'filename': 'COVER BUKU PENGOLAHAN HASIL SAMPING BUAH KAKAO_Nov 2022.jpeg', 'datasetid': 'document', 'fileid': 535951, 'hash': '91642dfe9c027c092a0586c23b99eb8f', 'mime_type': 'image/jpeg'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'image/jpeg', 'eprintid': 49371, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188922', 'pos': 1}, {'eprintid': 49371, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189014', 'pos': 2, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-03-30 12:29:37', 'objectid': 189014, 'filesize': 905684, 'uri': 'http://repository.lppm.unila.ac.id/id/file/536549', 'filename': 'DAFTAR ISI_Pengolahan Hasil Samping Buah Kakao.pdf', 'fileid': 536549, 'datasetid': 'document', 'hash': 'ba33234a4bd7e32bf0201fe5c38a50ab', 'mime_type': 'application/pdf'}], 'main': 'DAFTAR ISI_Pengolahan Hasil Samping Buah Kakao.pdf', 'docid': 189014, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",['FP22'],disk0_bak/00/04/93/71,public,2023-03-31 00:47:53,17,pub,published,['S1'],,2022-11-17 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49371,,TRUE,,,,,"Kakao merupakan komoditas strategis dengan distribusi
limbah hasil samping pengolahan mencapai 70%. Potensi
pengolahan hasil samping buah kakao yang disajikan dalam buku ini diharapkan memperkaya khasanah pengetahuan pembaca
terutama mahasiswa dan peneliti. Buku ini mencakup potensi hasil samping industri kakao, karakteristik & komposisi kimia pulpa kakao dan kulit buah serta potensi pemanfaatannya. Secara khusus juga dibahas potensi pemanfaaatan kulit ari biji kakao dan hasil samping
buah kakao lainnya",,Pusaka Media,,,,70.0,,ISBN: 978-623-418-125-8
9,article,"[{'id': 'neti.yuliana@fp.unila.ac.id', 'name': {'given': 'Neti', 'honourific': None, 'lineage': None, 'family': 'Yuliana'}}, {'id': 'gusrianti@yahoo.com', 'name': {'given': 'G.L.', 'lineage': None, 'family': 'Sari', 'honourific': None}}, {'id': 'elwidi@yahoo.com', 'name': {'honourific': None, 'family': 'Widiastuti', 'lineage': None, 'given': 'E.L.'}}, {'id': 'suharyono@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Suharyono', 'honourific': None, 'given': 'Suharyono'}}, {'name': {'given': 'Teguh', 'family': 'Setiawan', 'lineage': None, 'honourific': None}, 'id': 'teguh.setiawan@fp.unila.ac.id'}]",The Sensory of Kombucha Cacao Pulp (Theobroma cacao) Fermented Using Symbiotic Culture of Bacteria and Yeast (Scoby) as a Starter,2023-03-31 00:48:43,archive,,49454,show,1082,2023-03-31 00:48:43,"[{'docid': 189015, 'main': 'Procceding Nov 2022_Sensory of Kombucha.pdf', 'files': [{'fileid': 536553, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '89ff27f6eace8426a1725b4bb8d7383c', 'hash_type': 'MD5', 'mtime': '2023-03-30 12:58:47', 'objectid': 189015, 'filesize': 301989, 'uri': 'http://repository.lppm.unila.ac.id/id/file/536553', 'filename': 'Procceding Nov 2022_Sensory of Kombucha.pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 49454, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189015', 'security': 'public'}]",['FP22'],disk0_bak/00/04/94/54,public,2023-03-31 00:48:43,8,pub,published,['S1'],,2022-11-22 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49454,,TRUE,,,16-21,,"The sensory of kombucha cocoa pulp during fermentation using bacteria-yeast symbiosis as a starter was
evaluated. This study used a completely random block design (CRBD), one factor with five levels of
fermentation time (0-8 days). Observation included color, aroma, taste, and overall acceptance of kombucha.
The data obtained were statistically analyzed using ANOVA followed by LSD at a 5% level. The results showed
that the fermentation time levels significantly affected the sensory and acceptance of kombucha pulp-cacao. Among samples, the panelists preferred the kombucha drink, which was fermented for four days, with a description of a slightly sour sweet taste, slightly cloudy cream color, and a moderate level of preference. This fair amount of preference indicates that the sensory kombucha pulp of cocoa still needs to be developed to bind its sensory acceptance so that consumers are interested and get the health benefits of kombucha pulp-cocoa",,Faculty of Agriculture Universitas Tidar,"An annual proceedin_International Conference On Agricultural, Nutraceutical and Food Science (ICANFS)",2962-1054,https://jurnal.untidar.ac.id/index.php/icanfs/article/view/6587,,,
