,official_url,lastmod,documents,userid,number,metadata_visibility,pagerange,datestamp,eprintid,eprint_status,title,refereed,type,creators,date,uri,abstract,volume,date_type,subjects,ispublished,keywords,rev_number,issn,full_text_status,status_changed,related_url,divisions,publisher,publication,dir,id_number,event_title,event_type,event_dates,pres_type,event_location,patent_applicant,corp_creators
0,http://jurnal.fp.unila.ac.id/index.php/JHT/,2016-10-26 03:36:06,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'format': 'text', 'docid': 826, 'main': 'Wahyu Hidayat-Contribution of private forest on farmers income in Buana Sakti Village Sub District of Batanghari District of Lampung Timur.pdf', 'files': [{'filesize': 2210443, 'objectid': 826, 'uri': 'http://repository.lppm.unila.ac.id/id/file/5855', 'filename': 'Wahyu Hidayat-Contribution of private forest on farmers income in Buana Sakti Village Sub District of Batanghari District of Lampung Timur.pdf', 'hash_type': 'MD5', 'mtime': '2016-10-26 02:39:57', 'datasetid': 'document', 'fileid': 5855, 'mime_type': 'application/pdf', 'hash': '200b2118ddc8707f00944489576289ca'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/826', 'pos': 1, 'eprintid': 933, 'placement': 1}]",144,1.0,show,47-54,2016-10-26 03:36:06,933,archive,Contribution of Private Forest on Farmers Income in Buana Sakti Village Sub District of Batanghari District of Lampung Timur,TRUE,article,"[{'id': None, 'name': {'given': 'Lina Nur', 'family': 'Aminah', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'family': 'Qurniati', 'lineage': None, 'honourific': None, 'given': 'Rommy'}}, {'name': {'family': 'Hidayat', 'lineage': None, 'honourific': None, 'given': 'Wahyu'}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}]",2013-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/933,"his study objective is to determine the contribution of private forest management on farmers total income. This study was conducted in March-May 2012 in the Buana Sakti Village, Sub District of Batanghari, District of Lampung Timur. The number of respondent of this study were 40 private forest farmers. Data were collected by direct field observation, interview, and literature review. Data were then analyzed using qualitative and quantitative analysis methods. The results revealed that the average area of private forest owned by farmers were 0,98 ha. The private forest were managed by monoculture, polyculture and agroforestry system. In monoculture system the farmers planted Acacia mangium, in polyculture system the farmers planted Acacia mangium and Hevea brasiliensis while in agroforesty system the farmers combine their land with Acacia mangium, with honey enterprises. The results showed that private forest contribute Rp 17.619.649 every year (70,54%) of the total farmers household income of Rp 24.984.774 every year.",1.0,published,['SD'],pub,"contributions, farmers income, private forest.",7,2339-0913,public,2016-10-26 03:36:06,"[{'type': 'pub', 'url': 'http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/291'}]",['FP5'],Jurusan Kehutanan Fakultas Pertanian Universitas Lampung,Sylva Lestari,disk0/00/00/09/33,,,,,,,,
1,http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/292/285,2019-01-31 07:22:40,"[{'placement': 1, 'eprintid': 10680, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23684', 'pos': 1, 'security': 'public', 'main': '2013-Marlica Tri Asmi-komposisi tanaman agroforestri dan kontribusi pendapatan di pesawaran indah.pdf', 'files': [{'hash': '10ab215b8b9e5f3637d76712d11edfd5', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 98669, 'mtime': '2019-01-31 04:38:41', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/98669', 'filename': '2013-Marlica Tri Asmi-komposisi tanaman agroforestri dan kontribusi pendapatan di pesawaran indah.pdf', 'objectid': 23684, 'filesize': 251758}], 'docid': 23684, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}, {'eprintid': 10680, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23685', 'pos': 2, 'format': 'text', 'files': [{'mime_type': 'application/xml', 'hash': '5d8a48108a8b93b8b641e603f3448f7b', 'fileid': 98672, 'datasetid': 'document', 'mtime': '2019-01-31 04:39:16', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/98672', 'filename': 285, 'filesize': 24046, 'objectid': 23685}], 'main': 285, 'docid': 23685, 'content': 'published', 'language': 'id', 'rev_number': 3, 'mime_type': 'application/xml'}]",466,1.0,show,55-64,2019-01-31 07:22:40,10680,archive,"KOMPOSISI TANAMAN AGROFORESTRI DAN KONTRIBUSINYA TERHADAP
PENDAPATAN RUMAH TANGGA DI DESA PESAWARAN INDAH KABUPATEN
PESAWARAN LAMPUNG",TRUE,article,"[{'id': None, 'name': {'family': 'Asmi', 'lineage': None, 'honourific': None, 'given': 'Marlica Tri'}}, {'id': 'rommy.qurniati@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Qurniati', 'given': 'Rommy'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Haryono', 'given': 'Dwi'}, 'id': 'dwih_unila@yahoo.com'}]",2013-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10680,"Agroforestri merupakan sistem pengelolaan dan pemanfaatan lahan dengan
mengkombinasikan tanaman kehutanan dengan tanaman pertanian dan atau ternak untuk
mendapatkan hasil produksi yang optimal (Indriyanto, 2006). Sistem agroforestri dengan
pola kebun campuran yang terdiri dari beragam jenis tanaman membentuk suatu komposisi
tanaman yang berbeda-beda sehingga memberikan pendapatan yang bervariasi dari tempat
satu ke tempat yang lainnya. Penelitian ini bertujuan untuk : (1) mengidentifikasi komposisi
tanaman agroforestri berdasarkan INP dan pengaruhnya terhadap pendapatan, (2)
menganalisis kontribusi komposisi produk agroforestri terhadap pendapatan total rumah
tangga petani. Metode pengambilan data untuk komposisi jenis menggunakan purposive
sampling sedangkan untuk responden petani menggunakan stratified random sampling.
Analisis data menggunakan metode analisis deskriptif kuantitatif. Hasil penelitian
menunjukkan bahwa komposisi tanaman yang memberikan kontribusi terbesar dari ketiga
fisiografi yaitu atas, tengah, dan bawah diperoleh pada komposisi IX yang terletak di
fisiografi bawah yaitu sebesar Rp 23.127.404,-/ha/th dengan INP tertinggi kakao sebesar
94,86%. Besarnya rata-rata pendapatan total petani dari tiap sumber pendapatan untuk sistem
agroforestri Rp 36.992.171/ha/th dan untuk non agroforestri sebesar Rp 9.312.500/th.
Besarnya kontribusi dari sistem agroforestri terhadap pendapatan petani Desa Pesawaran
Indah sebesar 91,44%, berarti bahwa agroforestri memberikan kontribusi yang besar terhadap
pendapatan rumah tangga petani",1.0,published,['SD'],pub,,9,ISSN 2339-0913,public,2019-01-31 07:22:40,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/292/285'}],['FP5'],Universitas Lampung,Jurnal Sylva Lestari,disk0/00/01/06/80,http://dx.doi.org/10.23960/jsl1155-64,,,,,,,
2,,2017-10-19 04:44:25,"[{'docid': 3842, 'main': 'Local Knowledge Community.pdf', 'files': [{'mtime': '2017-09-28 09:12:47', 'hash_type': 'MD5', 'filename': 'Local Knowledge Community.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/27890', 'objectid': 3842, 'filesize': 1015293, 'hash': '96d711825c8aa950022a61bf7a8536fd', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 27890}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 3986, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3842', 'security': 'public'}]",591,,show,178-184,2017-10-19 04:44:25,3986,archive,Local knowledge community in the selection of  shelter trees in dusung nutmeg: case study on hutumury village in ambon city,TRUE,conference_item,"[{'name': {'honourific': None, 'family': 'Bone', 'lineage': None, 'given': 'Iskar'}, 'id': None}, {'id': 'meis_forester@yahoo.com', 'name': {'family': 'Salampessy', 'lineage': None, 'honourific': None, 'given': 'Messalina Lovinia'}}, {'id': 'indragumay@yahoo.com', 'name': {'given': 'Indra Gumay', 'lineage': None, 'family': 'Febryano', 'honourific': None}}, {'id': None, 'name': {'given': 'Martha E', 'honourific': None, 'lineage': None, 'family': 'Siahaya'}}]",1970-01-01 00:00:00.000002013,http://repository.lppm.unila.ac.id/id/eprint/3986,,,published,['SD'],pub,,7,,public,2017-10-19 04:44:25,,['FP5'],,,disk0/00/00/39/86,,International spices conference,conference,19-21 Agustus 2013,paper,Ambon,,
3,,2022-02-23 01:16:45,"[{'eprintid': 39750, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161026', 'format': 'text', 'docid': 161026, 'main': 'Kisah Sukses Pejuang Kehutanan Indonesia.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/445802', 'filename': 'Kisah Sukses Pejuang Kehutanan Indonesia.pdf', 'filesize': 183543, 'objectid': 161026, 'mtime': '2022-02-22 11:35:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f30d5dc6f049c9954d9568293f591493', 'datasetid': 'document', 'fileid': 445802}], 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",469,,show,,2022-02-23 01:16:45,39750,archive,Kisah Sukses Pejuang Kehutanan Indonesia,,patent,"[{'name': {'given': 'Bainah Sari', 'honourific': None, 'lineage': None, 'family': 'Dewi'}}]",2013-11-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/39750,,,published,['SD'],pub,,8,,public,2022-02-23 01:16:45,,['FP5'],,,disk0/00/03/97/50,EC00201974192,,,,,,Menteri Hukum dan Hak Asasi Manusia Direktur Jenderal Kekayaan Intelektual,
4,http://www.mapeki.org/jitkt/,2016-10-27 02:32:26,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/833', 'security': 'public', 'placement': 1, 'eprintid': 940, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'files': [{'hash_type': 'MD5', 'mtime': '2016-10-26 05:19:47', 'filesize': 286709, 'objectid': 833, 'uri': 'http://repository.lppm.unila.ac.id/id/file/5933', 'filename': 'Wahyu Hidayat-Physical, Mechanical, and Durability Properties of OSB Prepared from CCB Treated fast Growing Tree Species Strands.pdf', 'fileid': 5933, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '600109f98f9bc3b7a0f61aedda166e60'}], 'main': 'Wahyu Hidayat-Physical, Mechanical, and Durability Properties of OSB Prepared from CCB Treated fast Growing Tree Species Strands.pdf', 'docid': 833, 'format': 'text'}]",144,1.0,show,55-61,2016-10-27 02:32:26,940,archive,"Physical, Mechanical, and Durability Properties of OSB Prepared from CCB Treated Fast Growing Tree Species Strands",TRUE,article,"[{'id': 'wahyu.hidayat@fp.unila.ac.id', 'name': {'given': 'Wahyu', 'honourific': None, 'family': 'Hidayat', 'lineage': None}}, {'id': None, 'name': {'family': 'Carolina', 'lineage': None, 'honourific': None, 'given': 'Anne'}}, {'name': {'honourific': None, 'family': 'Febrianto', 'lineage': None, 'given': 'Fauzi'}, 'id': None}]",2013-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/940,"The objective of this research was to evaluate the effect of preservative treatment of strands on the properties of oriented strand board (OSB) made from Paraserianthes falcataria, Maesopsis eminii and Acacia mangium strands. Prior to OSB manufacturing, strands were treated with chromium copper boron (CCB) soaking with concentration of 2% for 6 h. Three (3) layers OSB bonded with 7% of methylene diphenyl isocyanate (MDI) resin were produced with the core layer orientation perpendicular to the face and back layers. The results indicated that soaking strand with CCB significantly decreased the water absorption (WA) and thickness swelling (TS) values of OSB after immersed in water for 24 hours. Preservative treatment significantly decreased the mechanical properties of OSB (modulus of rupture/MOR parallel, modulus of elasticity/MOE parallel and internal bond/IB). Almost all board met the requirement of CSA 0437.0 standard for grade O-1 OSB panels, except board made from P. falcataria treated with preservative which did not achieve the requirement of TS, MOE in parallel direction, and IB. Preservative treatment strongly affected the durability of OSB. Soaking strand with CCB increased the resistance of OSB against termites attack 13.0 times higher than control board.",11.0,published,['SD'],pub,"chromium copper boron, fast growing tree species, methylene diphenyl isocyanate, oriented strand board.",7,1693-3834,public,2016-10-27 02:32:26,,['FP5'],Masyarakat Peneliti Kayu Indonesia,Jurnal  Ilmu dan Teknologi Kayu Tropis,disk0/00/00/09/40,,,,,,,,
5,http://ejournalmapeki.org/index.php/JITKT,2020-07-06 01:49:23,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '602d85fd0ce2df4db9ae8c20fbaf11f5', 'fileid': 210634, 'datasetid': 'document', 'filename': 'J. Nasional - Physical, Mechanical, and Durability .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/210634', 'objectid': 36519, 'filesize': 1490881, 'mtime': '2020-07-01 16:28:33', 'hash_type': 'MD5'}], 'main': 'J. Nasional - Physical, Mechanical, and Durability .pdf', 'docid': 36519, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36519', 'security': 'public', 'placement': 1, 'eprintid': 22974}]",144,1.0,show,55-61,2020-07-06 01:49:23,22974,archive,"Physical, Mechanical, and Durability Properties of OSB Prepared from CCB Treated Fast Growing Tree Species Strands",TRUE,article,"[{'name': {'family': 'Hidayat', 'lineage': None, 'honourific': None, 'given': 'Wahyu'}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}, {'name': {'given': 'Anne', 'honourific': None, 'family': 'Carolina', 'lineage': None}, 'id': None}, {'name': {'family': 'Febrianto', 'lineage': None, 'honourific': None, 'given': 'Fauzi'}, 'id': None}]",2013-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22974,"Lembar Hasil Penilaian Sejawat Sebidang/ Peer Review 
Karya Ilmiah: Jurnal Ilmiah Nasional",11.0,published,"['S1', 'SD']",pub,,9,1693-3834,public,2020-07-06 01:49:23,"[{'type': 'pub', 'url': 'http://ejournalmapeki.org/index.php/JITKT/article/view/104'}]",['FP5'],Masyarakat Peneliti Kayu Indonesia,Jurnal Ilmu dan Teknologi Kayu Tropis,disk0/00/02/29/74,,,,,,,,
6,http://dx.doi.org/10.23960/jsl1117-22,2022-06-03 01:21:05,"[{'format': 'text', 'docid': 163764, 'main': 'Studi Perilaku Makan Dan Analisis Vegetasi Pakan Lutung Jawa.pdf', 'files': [{'filename': 'Studi Perilaku Makan Dan Analisis Vegetasi Pakan Lutung Jawa.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/463856', 'objectid': 163764, 'filesize': 115896, 'mtime': '2022-06-02 22:52:14', 'hash_type': 'MD5', 'hash': '3abc49beb6f19163891d02f01830dc4c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 463856}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 42066, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163764'}]",826,1.0,show,17-22,2022-06-03 01:21:05,42066,archive,"STUDI PERILAKU MAKAN DAN ANALISIS VEGETASI PAKAN LUTUNG JAWA 
(Trachypithecus auratus) DI TAMAN NASIONAL GUNUNG CIREMAI",TRUE,article,"[{'name': {'given': 'Iqbal Amiruddin', 'family': 'Ihsanu', 'lineage': None, 'honourific': None}, 'id': 'iqbal_ihsan91@yahoo.com'}, {'name': {'lineage': None, 'family': 'Setiawan', 'honourific': None, 'given': 'Agus'}, 'id': 'aslulila@yahoo.com'}, {'id': 'ely.jazdzyk@yahoo.com', 'name': {'given': 'Elly L.', 'lineage': None, 'family': 'Rustiati', 'honourific': None}}]",2013-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42066,"Lutung Jawa (Trachypithecus auratus) merupakan salah satu primata endemik Pulau Jawa 
yang berstatus rentan dan termasuk salah satu jenis satwa yang terdaftar dalam Appendiks II 
dokumen CITES (dibatasi perdagangannya). Penelitian ini dilakukan untuk mengetahui 
perilaku makan lutung Jawa dan keragaman vegetasi pakan dari lutung Jawa agar bisa 
menekan penurunan populasi lutung Jawa di alam liar yang diakibatkan oleh perusakan 
habitat. Penelitian dilakukan pada bulan Maret-April 2012 di Situ Sangiang Taman Nasional 
Gunung Ciremai, Kabupaten Majalengka, Provinsi Jawa Barat. Metode yang digunakan 
adalah scan animal sampling untuk mengetahui perilaku makan dan purposive sampling 
untuk mengetahui keragaman vegetasi pakan. Hasil yang didapat waktu makan lutung Jawa
adalah pada kisaran pukul 07.00-11.00; 13.00-14.00; dan15.00-17.00, tempat lutung makan 
adalah di strata atas pohon (>15 meter), jenis yang sering dimakan adalah jenis haripingku
(Dysoxylum densiflorum). Jenis tumbuhan pakan yang lain adalah hantap (Sterculia 
oblongata), kigambir (Uncaria gambir), nangsi (Villebrunea rubescens), kiara (Ficus 
globosa), hamirung (Vernonea arborea), mara (Macaranga tanarius), tisuk (Hibiscus 
macrophyllus), kiara koneng (Ficus annulata Bl.), mahoni (Swietenia mahagoni), saninten 
(Castanopsis argentea), dan nunuk (*tidak teridentifikasi).
Kata kunci : lutung Jawa, perilaku makan, Taman Nasional Gunung Ciremai",1.0,published,['SD'],pub,,6,2339-0913,public,2022-06-03 01:21:05,,['FP5'],Jurusan Kehutanan FP Unila,Sylva Lestari,disk0/00/04/20/66,Vol. 1 No. 1. September 2013 (17—22),,,,,,,
7,https://doi.org/10.23960/jsl1117-22,2022-03-01 07:28:41,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/161152', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39870, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Studi Perilaku Makan Dan Analisis Vegetasi Pakan Lutung Jawa.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '3abc49beb6f19163891d02f01830dc4c', 'datasetid': 'document', 'fileid': 446699, 'filename': 'Studi Perilaku Makan Dan Analisis Vegetasi Pakan Lutung Jawa.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/446699', 'objectid': 161152, 'filesize': 115896, 'mtime': '2022-03-01 04:32:32', 'hash_type': 'MD5'}], 'docid': 161152, 'format': 'text'}]",826,1.0,show,17-22,2022-03-01 07:28:41,39870,archive,"STUDI PERILAKU MAKAN DAN ANALISIS VEGETASI PAKAN LUTUNG JAWA
(Trachypithecus auratus) DI TAMAN NASIONAL GUNUNG CIREMAI",TRUE,article,"[{'id': 'iqbal_ihsan91@yahoo.com', 'name': {'honourific': None, 'family': 'Iqbal Amiruddin Ihsanu', 'lineage': None, 'given': 'Iqbal'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Agus Setiawan', 'given': 'Agus'}, 'id': 'aslulila@yahoo.com'}, {'name': {'given': 'Elly', 'family': 'Elly Lestari Rustiati', 'lineage': None, 'honourific': None}, 'id': None}]",2013-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/39870,"Lutung Jawa (Trachypithecus auratus) merupakan salah satu primata endemik Pulau Jawa yang berstatus rentan dan termasuk salah satu jenis satwa yang terdaftar dalam Appendiks II dokumen CITES (dibatasi perdagangannya). Penelitian ini dilakukan untuk mengetahui perilaku makan lutung Jawa dan keragaman vegetasi pakan dari lutung Jawa agar bisa menekan penurunan populasi lutung Jawa di alam liar yang diakibatkan oleh perusakan habitat. Penelitian dilakukan pada bulan Maret-April 2012 di Situ Sangiang Taman Nasional Gunung Ciremai, Kabupaten Majalengka, Provinsi Jawa Barat. Metode yang digunakan adalah scan animal sampling untuk mengetahui perilaku makan dan purposive sampling
untuk mengetahui keragaman vegetasi pakan. Hasil yang didapat waktu makan lutung Jawa adalah pada kisaran pukul 07.00-11.00; 13.00-14.00; dan15.00-17.00, tempat lutung makan adalah di strata atas pohon (>15 meter), jenis yang sering dimakan adalah jenis haripingku (Dysoxylum densiflorum). Jenis tumbuhan pakan yang lain adalah hantap (Sterculia oblongata), kigambir (Uncaria gambir), nangsi (Villebrunea rubescens), kiara (Ficus globosa), hamirung (Vernonea arborea), mara (Macaranga tanarius), tisuk (Hibiscus macrophyllus), kiara koneng (Ficus annulata Bl.), mahoni (Swietenia mahagoni), saninten (Castanopsis argentea), dan nunuk (*tidak teridentifikasi).",1.0,published,['SD'],pub,,6,ISSN 2549-5747,public,2022-03-01 07:28:41,[{'url': 'http://repository.lppm.unila.ac.id/cgi/users/home?screen=EPrint::Edit&eprintid=39870&stage=core#t'}],['FP5'],Universitas Lampung,Jurnal Sylva Lestari,disk0/00/03/98/70,Vol. 1 No. 1. September 2013 (17—22),,,,,,,
8,http://jurnal.fp.unila.ac.id/index.php/JHT,2016-10-27 02:32:22,"[{'docid': 831, 'main': 'Wahyu Hidayat-Financial analysis of agroforestri cropping patterns in Pesawaran Indah Village Padang Cermin Sub District Pesawaran District Lampung.pdf', 'files': [{'filesize': 2449159, 'objectid': 831, 'filename': 'Wahyu Hidayat-Financial analysis of agroforestri cropping patterns in Pesawaran Indah Village Padang Cermin Sub District Pesawaran District Lampung.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/5919', 'hash_type': 'MD5', 'mtime': '2016-10-26 05:05:06', 'fileid': 5919, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'd0462124a5170b1dcb8555e97aed22d9'}], 'format': 'text', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 938, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/831', 'security': 'public'}]",144,1.0,show,65-74,2016-10-27 02:32:22,938,archive,Financial Analysis of Honey Bee (Apis cerana Fabr.) Enterprises at Sub Village Sidomukti Village Buana Sakti Sub District Batanghari East Lampung,TRUE,article,"[{'id': None, 'name': {'family': 'Nadeak', 'lineage': None, 'honourific': None, 'given': 'Nurpine'}}, {'name': {'given': 'Rommy', 'lineage': None, 'family': 'Qurniati', 'honourific': None}, 'id': None}, {'name': {'given': 'Wahyu', 'family': 'Hidayat', 'lineage': None, 'honourific': None}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}]",2013-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/938,"Honey consumption in Indonesia 10 gr/capital/year, nevertheleses the honey production only 3 gr/capital/year (Murtidjo, 2011). Due to the highest demand of honey so it is needed honey bee entrerprises. The purpose of this research was to know on financial feasibility of the Apis cerana Fabr. honey bee enterprises. The research was conducted at Sub Village Sidomukti Village Buana Sakti Sub District Batanghari East Lampung on March -- April 2012 used method interview with questionnaires and observation directly used R/C Ratio and BEP (Break Event Point). The results showed that the Apis Cerana Fabr. honey bee enterprises in Sub Village Sidomukti using stup and glodok (traditional stup). Based on economic life stup and glodok for two years so financially viable honey bee enterprises performed using stup media with the value of R/C ratio> 1 is 1,616 with number to be produced to reach the break event point were 75 stup or at price Rp Rp 174.807,94/stup so the honey bee farmers will get benefit of Apis cerana Fabr. honey bee enterprises.",1.0,published,['SD'],pub,"Apis cerana Fabr., financial analysis, honeybee.",7,2339-0913,public,2016-10-27 02:32:22,"[{'type': 'pub', 'url': 'http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/289'}]",['FP5'],Jurusan Kehutanan Fakultas Pertanian Universitas Lampung,Sylva Lestari,disk0/00/00/09/38,,,,,,,,
9,http://jurnal.fp.unila.ac.id/index.php/JHT,2020-07-06 01:49:14,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'J. Nasional - Manajemen Penangkaran.pdf', 'docid': 36518, 'files': [{'datasetid': 'document', 'fileid': 210630, 'hash': 'e9db1dd3698cc5e40eae1d7335d99626', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-07-01 16:26:53', 'objectid': 36518, 'filesize': 1468325, 'filename': 'J. Nasional - Manajemen Penangkaran.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/210630'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36518', 'pos': 1, 'eprintid': 22973, 'placement': 1}]",144,1.0,show,23-28,2020-07-06 01:49:14,22973,archive,Manajemen Penangkaran Lebah Madu (Apis cerana Fabr.) di Desa Buana Sakti Kecamatan Batanghari Kabupaten Lampung Timur,TRUE,article,"[{'name': {'lineage': None, 'family': 'Ningrum', 'honourific': None, 'given': 'Apriyanita Pitri'}, 'id': None}, {'name': {'given': 'Rudi', 'lineage': None, 'family': 'Hilmanto', 'honourific': None}, 'id': 'rudi.hilmanto@fp.unila.ac.id'}, {'name': {'given': 'Wahyu', 'honourific': None, 'family': 'Hidayat', 'lineage': None}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}]",2013-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22973,"Lembar Hasil Penilaian Sejawat Sebidang/ Peer Review 
Karya Ilmiah: Jurnal Ilmiah Nasional",1.0,published,"['S1', 'SD']",pub,,9,ISSN 2339-0913,public,2020-07-06 01:49:14,"[{'type': 'pub', 'url': 'https://jurnal.fp.unila.ac.id/index.php/JHT/article/view/288'}]",['FP5'],Universitas Lampung,Jurnal Sylva Lestari,disk0/00/02/29/73,10.23960/jsl1123-28,,,,,,,
