,publisher,dir,publication,divisions,related_url,status_changed,issn,full_text_status,ispublished,rev_number,subjects,volume,abstract,date,uri,type,creators,refereed,title,eprintid,eprint_status,datestamp,pagerange,metadata_visibility,number,userid,documents,lastmod,official_url,place_of_pub,id_number,date_type,corp_creators,succeeds
0,International Organization of Scientific Research (IOSR),disk0/00/02/00/73,IOSR Journal of Research & Method in Education (IOSR-JRME),['FKIP11'],[{'url': 'http://www.iosrjournals.org/iosr-jrme/papers/Vol-9%20Issue-6/Series-2/N0906027176.pdf'}],2020-05-19 06:39:59,2320–1959,public,pub,6,['LB1603'],9,"The aim of this research is to develop the Students worksheet based on CTL learning models and test it to the experts and students. The problems of this research are the number of students cannot master the material well, the teaching and learning is teacher centered, the students have lacks motivation, and students just have guidance book from library. Based on the result of checking the document found the effect of students failure was the material teaching. Because of it, researcher developed the students worksheet based CTL learning model. The method used was research and development. Based on the recapitulation results of the students' perception questionnaire towards the LKPD based CTL learning models developed, the total percentage obtained by 95% which stated that LKPD was perceived very well by students.",2019-11-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20073,article,"[{'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Dianingrum', 'given': 'Berta'}}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'lineage': None, 'family': 'Herpratiwi', 'honourific': None}}, {'name': {'given': 'Sugeng', 'lineage': None, 'family': 'Sutiarso', 'honourific': None}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}]",TRUE,The Development of Student worksheets Based on Contextual Teaching and Learning toOvercome the Problems in Teaching Mathematics at Elementary SchoolGrade 5 of Pringsew,20073,archive,2020-05-19 06:39:59,71-76,show,6,864,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33408', 'eprintid': 20073, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'journal berta sugeng des 2019.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-19 04:45:12', 'filesize': 278549, 'objectid': 33408, 'filename': 'journal berta sugeng des 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/189616', 'datasetid': 'document', 'fileid': 189616, 'mime_type': 'application/pdf', 'hash': 'bb30f284aa1e0a31747ea6aa498de8d0'}], 'docid': 33408}]",2020-05-19 06:39:59,http://www.iosrjournals.org/iosr-jrme/papers/Vol-9%20Issue-6/Series-2/N0906027176.pdf,,,,,
1,FKIP Unila,disk0/00/01/53/39,,['FKIP11'],"[{'url': 'http://semnas.fkip.unila.2019', 'type': 'org'}]",2019-11-04 07:47:43,,public,unpub,14,['L1'],,"Menurut Layng (2013) memang tidak mudah untuk mengajar konsep IPA kepada siswa, karena jika tidak tepat akan menimbulkan kesalahpamahan. Ada beberapa faktor  yang menyebabkan terjadinya masalah ini, salah satunya adalah konsep IPA bersifat abstrak dan untuk membangun sesuatu yang abstrak melalui pengamatan fakta-fakta yang ada sering terjadi kesalahan pemahaman terhadap konsep yang dibangun. Hasil penelitian ini berlaku pula pada pembelajaran IPA di propinsi Lampung. Hasil observasi yang dilakukan pada siswa SMA di kota Bandar Lampung menunjukkan peluang terjadi miskonsepsi siswa pada pemahaman konsep IPA, sangat besar. Untuk mengatasi peluang terjadinya miskonsepsi pada siswa dibutuhkan media pembelajaran yang berlandaskan strategi pembelajaran dan sesuai dengan karakteristik siswa serta mampu memfaktualkan konsep IPA yang abstrak secara tepat.

Tujuan khusus penelitian ini adalah untuk mencari solusi sebagai upaya meningkatkan hasil belajar IPA siswa. Solusi berupa pengembangan media IPA yang sesuai dengan strategi pembelajaran dan karakteristik siswa di propinsi Lampung serta mampu memfaktualkan konsep IPA yang abstrak. Tujuan akhir yang ingin dicapai adalah 1) dihasilkan media pembelajaran, 2) meningkatkan kemampuan dosen mempublikasikan artikel hasil penelitian dalam jurnal bereputasi dan seminar nasional atau internasional, dan 3) membantu guru meningkatkan hasil belajar IPA siswa.

Penelitian  ini menggunakan desain penelitian Research and Development (R & D). Dimulai dari analisis kebutuhan sampai uji lapangan dan revisi. Oleh karena keterbatasan waktu yang disediakan pada pengajuan penelitian hibah BLU Unila, maka penelitian ini dilakukan sampai tahap uji validasi isi, perorangan dan kelompok kecil. Tahap uji lapangan tetap dilakukan untuk tahun berikutnya. Kegiatan penelitian yang dilakukan terdiri dari  tahap-tahap prapenelitian, perencanaan, pengembangan, dan uji validasi. Uji validasi meliputi uji ahli, uji desain dan uji keterbacaan. 
Luaran penelitian yang dihasilkan adalah 1) media pembelajaran IPA berbasis strategi pembelajaran konstruktif dan sesuai dengan karakteristik siswa guna meminimalkan terjadinya miskonsepsi, luaran berupa buku ajar dan LKPD,  2) artikel ilmiah untuk dipublikasikan di jurnal nasional SINTA 4,  dan 3) artikel ilmiah terpublikasikan di proseding seminar nasional.
Kata kunci: media pembelajaran, pembelajaran IPA",2019-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15339,other,"[{'id': 'safira_shodiq@yahoo.com', 'name': {'given': 'Dwi', 'honourific': None, 'family': 'Dwi Yulianti', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Herpratiri', 'given': 'Herpratiwi'}, 'id': 'herpratiwi64@yahoo.com'}]",,PENGEMBANGAN MEDIA PEMBELAJARAN IPA BERBASIS STRATEGI PEMBELAJARAN KONSTRUKTIF SESUAI DENGAN KARAKTERISTIK LINGKUNGAN GUNA MEMINIMALKAN TERJADINYA MISKONSEPSI,15339,archive,2019-11-04 07:47:43,,show,,559,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28468', 'security': 'public', 'placement': 1, 'eprintid': 15339, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 28468, 'main': 'Laporan BLU Unila 2019 baru.pdf', 'files': [{'filesize': 1502629, 'objectid': 28468, 'uri': 'http://repository.lppm.unila.ac.id/id/file/132026', 'filename': 'Laporan BLU Unila 2019 baru.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-04 07:29:36', 'datasetid': 'document', 'fileid': 132026, 'hash': 'fc80a94a60b1f546b88872ab8a7c8722', 'mime_type': 'application/pdf'}], 'format': 'text'}]",2019-11-04 07:47:43,http://semnas.fkip.unila.2019,Bandar Lampung,Proseding seminar nasional,,,
2,Research and Scientific Innovation Society,disk0/00/02/93/05,International Journal of Research and Innovation in Social Science (IJRISS),['FKIP11'],,2021-04-13 08:04:33,2454-6186,public,pub,5,['LB'],III,"This study aim is to produce products such as media
android based applications for career information services on the learner SMAN 6 Bandar Lampung. This research is development. Subjects were taken in this study using the technique of random as many as 26 learners in SMAN 6 Bandar Lampung. Data collection using questionnaires and observation.Analysis of the data used to use conversion guidelines assessment scores into five categories to see the differences between the
mean pretest and posttest mean then performed paired samples Test. Products that dihasil own validation subject matter experts, expert design, and media experts, each of which states that the product is eligible for ujicobakan after the revision. The results of the small group trial, limited testing and field trials produce
products in very good criteria. Furthermore, the products
produced in the form of Android-based applications have a
significant efficacy for career information services. This is confirmed by the results of Test paired samples were obtained 38437 t count> t table 2086 thus then, Ho is rejected and Ha accepted, which means that there is an increasing before and after using android based applications for career information services. 
Keywords: android-based applications, various types of
professions, career information services",2019-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29305,article,"[{'id': None, 'name': {'honourific': None, 'family': 'Efendi', 'lineage': None, 'given': 'Muhammad Arifin'}}, {'id': 'riswandi.1976@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Riswandi', 'lineage': None, 'given': 'Riswandi'}}, {'name': {'given': 'Syarifuddin', 'honourific': None, 'family': 'Dahlan', 'lineage': None}, 'id': 'syarifuddin.d@fkip.unila.ac.id'}]",TRUE,"The Application Development of Various Types of
Professionals for Android Based on Information 
Services Career Senior High School Students State 6
Bandar Lampung",29305,archive,2021-04-13 08:04:33,494-498,show,XI,815,"[{'docid': 43423, 'main': 'Artikel Ijriss.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '4827b37834a4669d50c64dc6409a9443', 'datasetid': 'document', 'fileid': 259713, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259713', 'filename': 'Artikel Ijriss.pdf', 'objectid': 43423, 'filesize': 332391, 'mtime': '2021-04-13 03:56:00', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'placement': 1, 'eprintid': 29305, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43423', 'security': 'public'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/43424', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 29305, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 43424, 'main': 'Artikel IJRISS.pdf', 'files': [{'fileid': 259714, 'datasetid': 'document', 'hash': 'de5ff4af3d1fea745a972224c39db645', 'mime_type': 'application/pdf', 'filesize': 2682962, 'objectid': 43424, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259714', 'filename': 'Artikel IJRISS.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-13 03:56:22'}], 'format': 'text'}, {'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43425', 'pos': 3, 'eprintid': 29305, 'placement': 3, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mtime': '2021-04-13 03:57:24', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259715', 'filename': 'The_Application_Development_of_Various_Types_of_Pr(1).pdf', 'filesize': 1403679, 'objectid': 43425, 'hash': '8c8a32a79ba35402f6c8d3a144b99e18', 'mime_type': 'application/pdf', 'fileid': 259715, 'datasetid': 'document'}], 'main': 'The_Application_Development_of_Various_Types_of_Pr(1).pdf', 'docid': 43425}]",2021-04-13 08:04:33,https://www.rsisinternational.org/journals/ijriss/,,,published,['Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung'],29302.0
3,"International Journal of Innovation, Creativity and Change.",disk0/00/02/38/66,,['FKIP11'],,2020-09-02 07:12:08,,public,unpub,5,"['L1', 'LB1501', 'LC5201']",,,2019-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23866,other,"[{'name': {'given': 'Herpratiwi', 'family': 'Herpratiwi', 'lineage': None, 'honourific': None}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'name': {'given': 'erni', 'honourific': None, 'family': 'Erni', 'lineage': None}, 'id': None}, {'name': {'family': 'Nelly', 'lineage': None, 'honourific': None, 'given': 'Astuti'}, 'id': None}, {'id': None, 'name': {'given': 'Qomario', 'family': 'Qomario', 'lineage': None, 'honourific': None}}]",,"The Implementation of a Thematic
Team Games Tournament –
Cooperative Learning in the Fifth
Grade of Elementary School in
Lampung Province",23866,archive,2020-09-02 07:12:08,,show,,863,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '15. The Implementation of Thematic Team Games tournament.pdf', 'docid': 37524, 'files': [{'mtime': '2020-09-02 03:30:00', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/217700', 'filename': '15. The Implementation of Thematic Team Games tournament.pdf', 'filesize': 1056100, 'objectid': 37524, 'mime_type': 'application/pdf', 'hash': 'b48f1cb3561420087470358cb2557ac2', 'fileid': 217700, 'datasetid': 'document'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37524', 'pos': 2, 'eprintid': 23866, 'placement': 2}]",2020-09-02 07:12:08,,,,,"['Faculty of Teacher Training and Education, University of Lampung']",23685.0
4,"International Journal of Innovation, Creativity and Change",disk0/00/02/36/82,,['FKIP11'],,2020-08-24 04:54:07,,public,pub,12,"['L1', 'LB1501', 'LC5201']",,"This study aimed to analyse the effect of cooperative learning through a thematic team-games tournament in elementary school in Lampung Province. This was a quasi-experimental one-group pretest posttest study. The study involved 22 students. The data was collected from tests with five short-answer questions and 20 multiple-choice questions. The items measured were remembering, understanding, applying, and analysing. The reliability of the items fell into very high (0.92) and moderate to high (0.50 – 0.87) categories of validity. The
discrimination power of the test fell into the good category (0.41–0.70) with a moderate level of difficulty (0.31–0.70). The data was analysed with a t-test. The learning outcomes of the fifth-grade students of elementary school were influenced by the cooperative learning in the teams-games tournament with a significance level of 5%. The cooperative learning in a team-games tournament played an important role in increasing the fifth-grade students’ learning outcomes.",2019-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23682,other,"[{'name': {'lineage': None, 'family': 'Herpratiwi', 'honourific': None, 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'erni', 'family': 'Erni', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Nelly', 'honourific': None, 'given': 'Astuti'}}, {'id': None, 'name': {'lineage': None, 'family': 'Qomario', 'honourific': None, 'given': 'Qomario'}}]",,The Implementation of a Thematic Team Games Tournament – Cooperative Learning in the Fifth Grade of Elementary School in Lampung Province,23682,archive,2020-08-24 04:54:07,,show,,863,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/216207', 'filename': 'The_Implementation_of_a_Thematic_Team_Games_Tourna.pdf', 'filesize': 2850006, 'objectid': 37312, 'mtime': '2020-08-24 04:15:58', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'de7deafc103fdea62ce93b5370194d77', 'fileid': 216207, 'datasetid': 'document'}], 'main': 'The_Implementation_of_a_Thematic_Team_Games_Tourna.pdf', 'docid': 37312, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37312', 'security': 'public', 'placement': 1, 'eprintid': 23682}, {'placement': 2, 'eprintid': 23682, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37313', 'security': 'public', 'main': 'The_Implementation_of_a_Thematic_Team_Games_Tourna.pdf', 'docid': 37313, 'files': [{'filename': 'The_Implementation_of_a_Thematic_Team_Games_Tourna.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/216209', 'filesize': 2850006, 'objectid': 37313, 'mtime': '2020-08-24 04:16:28', 'hash_type': 'MD5', 'hash': 'de7deafc103fdea62ce93b5370194d77', 'mime_type': 'application/pdf', 'fileid': 216209, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-08-24 04:54:07,http://www.ijicc.net,"International Journal of Innovation, Creativity and Change","Volume 9, Issue 11",published,"['Faculty of Teacher Training and Education, University of Lampung']",
5,IOSR Journal of Research & Method in Education (IOSR-JRME),disk0/00/02/40/25,,['FKIP11'],,2020-09-16 03:23:24,,public,unpub,9,"['L1', 'LB1501', 'LC5201']",,,2019-12-04 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24025,other,"[{'name': {'honourific': None, 'family': 'Musa', 'lineage': None, 'given': 'Nurrasyid'}, 'id': None}, {'id': 'herpratiwi64@yahoo.com', 'name': {'given': 'Herpratiwi', 'lineage': None, 'family': 'Herpratiwi', 'honourific': None}}, {'name': {'family': 'Dwi', 'lineage': None, 'honourific': None, 'given': 'Yulianti'}, 'id': None}]",,The Development of the Material Teaching based Android in Teaching Chemistryat Senior High School Grade X of SMAN 2 BandarLampung,24025,archive,2020-09-16 03:23:24,,show,,863,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37725', 'security': 'public', 'placement': 1, 'eprintid': 24025, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '8. The Development of The Material Teaching.pdf', 'files': [{'fileid': 218895, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'cc2356c134d0cca6a5eaa98afdf0de42', 'filesize': 1247740, 'objectid': 37725, 'filename': '8. The Development of The Material Teaching.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/218895', 'hash_type': 'MD5', 'mtime': '2020-09-16 03:02:52'}], 'docid': 37725, 'format': 'text'}]",2020-09-16 03:23:24,,,,,"['Faculty of Teacher Training and Education, University of Lampung']",
6,IOSR Journal of Research & Method in Education (IOSR-JRME),disk0/00/02/27/67,,['FKIP11'],,2020-06-26 13:36:49,,public,pub,9,"['L1', 'LB1501', 'LC5201']",,"The aims of this research are to make the products like Andrid used to teach Chemistry for senior high school at Bandar Lampung grade X1. The problems of the research are students cannot master the concept of pH. The research method used was research and development, it created the Android and test it to the experts and students as the subjects. Besides that it also given to the small group to know the effect of the media usage.
Based on the result of the test it has better change for the students. Degeng (2001) the results of development of the product effective, efficiency and attractive. When the product was applied it has 135 minutes remains.",2019-12-04 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/22767,other,"[{'name': {'lineage': None, 'family': 'Musa', 'honourific': None, 'given': 'Nurrasyid'}, 'id': None}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'family': 'Herpratiwi', 'lineage': None, 'honourific': None, 'given': 'Herpratiwi'}}, {'name': {'lineage': None, 'family': 'Dwi Yulianti', 'honourific': None, 'given': 'Yulianti'}, 'id': None}]",,The Development of the Material Teaching based Android in Teaching Chemistryat Senior High School Grade X of SMAN 2 BandarLampung,22767,archive,2020-06-26 13:36:49,,show,,863,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 208934, 'datasetid': 'document', 'hash': 'bc79a9448b7c9fcb5cc4d657bc5227e3', 'mime_type': 'application/pdf', 'objectid': 36271, 'filesize': 1521890, 'filename': '8. The_Development_of_the_Material_Teaching_based_And.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208934', 'hash_type': 'MD5', 'mtime': '2020-06-26 03:03:16'}], 'main': '8. The_Development_of_the_Material_Teaching_based_And.pdf', 'docid': 36271, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36271', 'eprintid': 22767, 'placement': 1}]",2020-06-26 13:36:49,,,,published,"['Faculty of Teacher Training and Education, University of Lampung']",
7,IOP Publishing,disk0/00/03/32/42,Journal of Physics,['FKIP11'],,2021-07-20 11:50:35,1742-6593,public,pub,11,"['L1', 'LB1501', 'LC5201']",-,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/33242,article,"[{'id': 'bujang.suropati@gmail.com', 'name': {'given': 'Bujang', 'honourific': None, 'lineage': None, 'family': 'Rahman'}}, {'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'riswandi.unila@gmail.com', 'name': {'given': 'riswandi', 'lineage': None, 'family': 'Riswandi', 'honourific': None}}, {'id': 'hervin.maulina@staff.unila.ac.id', 'name': {'lineage': None, 'family': 'Maulina', 'honourific': None, 'given': 'Hervin'}}]",TRUE,"Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change: A Need Assessment Survey Analysis of Teacher in Lampung, Indonesia",33242,archive,2021-07-20 11:50:35,1-7,show,-,407,"[{'files': [{'mtime': '2021-07-19 04:14:52', 'hash_type': 'MD5', 'filename': 'Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change A Need Assessment Survey Analysis of Teacher in Lampung Indonesia.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/393809', 'filesize': 986605, 'objectid': 151831, 'mime_type': 'application/pdf', 'hash': 'f0f82491ff3949bbc1ed0677850baedd', 'fileid': 393809, 'datasetid': 'document'}], 'main': 'Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change A Need Assessment Survey Analysis of Teacher in Lampung Indonesia.pdf', 'docid': 151831, 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 33242, 'uri': 'http://repository.lppm.unila.ac.id/id/document/151831', 'pos': 1, 'formatdesc': 'Artikel', 'security': 'public'}, {'formatdesc': 'Similaritas', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/151832', 'pos': 2, 'eprintid': 33242, 'placement': 2, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '6e51c86e38be76662a1d0144dd8ec5dc', 'datasetid': 'document', 'fileid': 393811, 'mtime': '2021-07-19 04:15:09', 'hash_type': 'MD5', 'filename': 'Similaritas Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/393811', 'filesize': 1562192, 'objectid': 151832}], 'main': 'Similaritas Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change.pdf', 'docid': 151832}, {'format': 'text', 'docid': 151833, 'main': 'riswandi-19.pdf', 'files': [{'mtime': '2021-07-19 04:15:44', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/393813', 'filename': 'riswandi-19.pdf', 'objectid': 151833, 'filesize': 842727, 'mime_type': 'application/pdf', 'hash': '9c9b54ca923853a94d0d501b45ef5a51', 'fileid': 393813, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'eprintid': 33242, 'placement': 3, 'security': 'public', 'formatdesc': 'Riviewer', 'uri': 'http://repository.lppm.unila.ac.id/id/document/151833', 'pos': 3}]",2021-07-20 11:50:35,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012086/pdf,,,published,,
8,IJCIET,disk0_bak/00/04/81/83,,['FKIP11'],,2023-01-30 06:58:46,,public,pub,7,['L1'],,,2019-03-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48183,other,"[{'name': {'family': 'Rangga', 'lineage': None, 'honourific': None, 'given': 'Firdaus'}, 'id': 'ranggafirdaus@fkip.unila.ac.id'}]",,Similarity UBIQUITOUS LEARNING AN ALTERNATIVE,48183,archive,2023-01-30 06:58:46,,show,,698,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187416', 'security': 'public', 'placement': 1, 'eprintid': 48183, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'UBIQUITOUS LEARNING AN ALTERNATIVE .pdf', 'docid': 187416, 'files': [{'mtime': '2023-01-30 06:35:25', 'hash_type': 'MD5', 'filename': 'UBIQUITOUS LEARNING AN ALTERNATIVE .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/526609', 'filesize': 437961, 'objectid': 187416, 'hash': '2370a2c06acf5b95dee00aa257146582', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 526609}], 'format': 'text'}]",2023-01-30 06:58:46,,,,,,
9,IQSRjournals.org,disk0/00/01/69/26,Journal of Research and Method in Education (IQSR-JRME),['FKIP11'],[{'url': 'http://www.iqsrjournals.org'}],2019-11-18 07:04:44,2320-1959 (e). 2320-1940 (p),public,pub,8,['L1'],9,"The objectives of this research were: 1) describe the condition and potential the of teaching by applying audio visual based contextual. 2) product audio visual based contextual as teaching material. 3) evaluate the effective and attractiveness of result learning after using the product been done. The research methodology used was research and development (R&D) Borg and Gall by definition, planning, and development. The data were collected by observation test, and document from the field . Based on observation in this research, the N-Gain has average score 0.71 and it was very high.",2019-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16926,article,"[{'id': None, 'name': {'honourific': None, 'family': 'Sidartha Adi Gautama', 'lineage': None, 'given': 'Sidartha'}}, {'name': {'given': 'Dwi', 'family': 'Dwi Yulianti', 'lineage': None, 'honourific': None}, 'id': 'safira_shodiq@yahoo.com'}, {'name': {'given': 'Taridi', 'honourific': None, 'family': 'Taridi', 'lineage': None}, 'id': None}]",TRUE,The Development of Audio Visual Based Contextual to Improve Learning Result of Buddhism Education,16926,archive,2019-11-18 07:04:44,16-22,show,3,559,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'jurnal sidarta., Dwi Y., Taridi.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-18 05:46:37', 'objectid': 30010, 'filesize': 2314861, 'filename': 'jurnal sidarta., Dwi Y., Taridi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/143660', 'datasetid': 'document', 'fileid': 143660, 'mime_type': 'application/pdf', 'hash': '1d45cc7828029d75db78d1f5f75f245a'}], 'docid': 30010, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30010', 'eprintid': 16926, 'placement': 1}]",2019-11-18 07:04:44,http://www.iqsrjournals.org,,DOI: 10.9790/1959-0903041622,published,,
