,related_url,divisions,dir,event_type,full_text_status,status_changed,rev_number,ispublished,date_type,event_title,subjects,abstract,uri,creators,pres_type,type,title,event_dates,refereed,event_location,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,official_url,lastmod,documents,volume,publication,publisher,issn,number,id_number,isbn
0,[{'url': 'http://www.hepilampung.blogspot.com'}],['FKIP11'],disk0/00/00/88/03,conference,public,2018-10-29 04:17:14,8,pub,completed,Seminar Nasional HEPI,['L1'],"Masalah penelitian ini adalah tidak sesuai rasio media belajar dengan jumlah siswa, kurang dikenalnya wawasan mutu dan ekonomi, serta tidak mengacu pembelajaran industri. Penelitian ini bertujuan untuk mengembangkan model hipotetik media simulator kelistrikan otomotif di sekolah menengah kejuruan. Langkah penelitian melalui tiga tahap, yaitu; (1) penilaian kondisi pembelajaran faktual dan konseptual, (2) pengembangan model hipotetik media pembelajaran desain simulator otomotif, dan (3) dihasilkan model hipotetik pengembangan media pembelajaran simulator kelistrikan otomotif di sekolah menengah kejujuran. Hasil penelitian ini adalah model hipotetik media simulator kelistrikan otomotif yang berisi petunjuk penggunaan dan media simulator pembelajaran, yang langkah-langkahnya; a) menyusun rancangan pembelajaran berdasarkan standar kompetensi, b) penggunaan media simulator sesuai indikator pencapaian kompetensi, c) mengevaluasi sistem pembelajaran bermedia simulator.",http://repository.lppm.unila.ac.id/id/eprint/8803,"[{'name': {'given': 'Pratikno', 'family': 'Achmad Pratikno', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Herpratiwi', 'lineage': None, 'given': 'Herpratiwi'}}]",paper,conference_item,Pengembangan Model Hipotetik Media Simulator Kelistrikan Otomotif di SMK Kabupaten Pringsewu,10 September 2016,TRUE,Bandar Lampung,2018-10-29 04:17:14,8803,archive,show,31-42,863,http://www.hepilampung.blogspot.com,2018-10-29 04:17:14,"[{'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 2, 'main': 'Prosiding HEPI 2016.pdf', 'docid': 21883, 'files': [{'mime_type': 'application/pdf', 'hash': '2776e1a25a3f81eee8b66581d6314ff4', 'fileid': 85617, 'datasetid': 'document', 'filename': 'Prosiding HEPI 2016.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85617', 'objectid': 21883, 'filesize': 2116924, 'mtime': '2018-09-07 06:57:03', 'hash_type': 'MD5'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21883', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 8803}]",,,,,,,
1,,['FKIP11'],disk0/00/01/74/12,,public,2020-02-17 03:40:48,7,pub,,,['L1'],"The aim of this research is to develop the Students worksheet based on CTL learning models and test it to the experts and students. The problems of this research are the number of students cannot master the material well, the teaching and learning is teacher centered, the students have lacks motivation, and students just have guidance book from library. Based on the result of checking the document found the effect of students failure was the material teaching. Because of it, researcher developed the students worksheet based CTL learning model. The method used was research and development. Based on the recapitulation results of the students' perception questionnaire towards the LKPD based CTL learning models developed, the total percentage obtained by 95% which stated that LKPD was perceived very well by students.
Key words: CTL, LKPD, and Development.",http://repository.lppm.unila.ac.id/id/eprint/17412,"[{'name': {'given': 'Niken', 'honourific': None, 'lineage': None, 'family': 'Berta Niken Dianingrum'}, 'id': None}, {'name': {'lineage': None, 'family': 'Herpratiwi', 'honourific': None, 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'name': {'given': 'Sugeng', 'honourific': None, 'family': 'Sutiarso', 'lineage': None}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}]",,article,"The Development of Student worksheets Based on Contextual Teaching and Learning toOvercome the Problems in Teaching 
Mathematics at Elementary SchoolGrade 5 of Pringsewu",,TRUE,,2020-02-17 03:40:48,17412,archive,show,71-76,863,http://www.iosrjournals.org,2020-02-17 03:40:48,"[{'main': 'N0906027176.pdf', 'files': [{'hash': 'bb30f284aa1e0a31747ea6aa498de8d0', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 147336, 'filename': 'N0906027176.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147336', 'objectid': 30538, 'filesize': 278549, 'mtime': '2019-12-26 05:30:37', 'hash_type': 'MD5'}], 'docid': 30538, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 17412, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30538', 'security': 'public'}]",9.0,IOSR Journal of Research & Method in Education (IOSR-JRME),IOSR Journal of Research & Method in Education (IOSR-JRME),2320–1959,6.0,,
2,[{'url': 'http://www.ictlhe.com'}],['FKIP11'],disk0/00/00/88/10,conference,public,2018-10-29 04:18:06,7,pub,completed,International Conference on Teaching and Learning in Higher Education,['L1'],"The aims of this research are to determine: (1) interaction between initial capabilities through the written and oral journals toward students' learning achievement, (2) differences in learning achievement of students who use written and verbal journals in learning process, (3) differences in learning achievement of students who have high initial abilities using written and spoken journals. and (4) differences in learning achievement of students who have low entry using oral and written journals in learning process. The research used a quasi experimental approach to the design of non equivalent control group design. The independent variable is the learning journal, the variable attribute is the initial ability, and the dependent variable is academic achievement. The study is conducted in the department of health and sport Faculty of Teacher and Education of Lampung University. The sample was determined by purposive sampling technique. data were collected by using test instruments. Data were analyzed by using 2x2 factorial analyses. The result showed that (1) there is an interaction between early/initial abilities through oral and written journal of the students' learning achievement (p-value 0.050), (2) the average of students learning achievement using written journals is higher than those who use oral journals with different values-average 3.73. (3) The average in learning achievement of students who have high entry using written journal is higher than using oral journal with a value of 4.058 and the average difference is 8.13. (4) the average in learning students' achievement of students who have low entry using oral journals is higher than those who using written journal and the average difference is 0.667.",http://repository.lppm.unila.ac.id/id/eprint/8810,"[{'name': {'lineage': None, 'family': 'Bujang Rahman', 'honourific': None, 'given': 'Rahman'}, 'id': None}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Herpratiwi', 'honourific': None, 'given': 'Herpratiwi'}}, {'id': 'mulyanto.widodo@gmail.com', 'name': {'family': 'MULYANTO WIDODO', 'lineage': None, 'honourific': None, 'given': 'MULYANTO W'}}]",paper,conference_item,The Effect of Journal Toward Students' Learning Achievement at Department Health and Sport Faculty of Teacher and Education of Lampung University,21-23 November 2011,TRUE,Melaka,2018-10-29 04:18:06,8810,archive,show,94-94,863,http://www.ictlhe.com,2018-10-29 04:18:06,"[{'eprintid': 8810, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21890', 'pos': 1, 'format': 'text', 'main': 'ICTLHE2011.pdf', 'docid': 21890, 'files': [{'objectid': 21890, 'filesize': 3410672, 'filename': 'ICTLHE2011.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85669', 'hash_type': 'MD5', 'mtime': '2018-09-07 09:09:32', 'fileid': 85669, 'datasetid': 'document', 'hash': '0b4c72c2d7e0041b2e6d3ae12cf8284a', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,,,,,,
3,,['FKIP11'],disk0/00/02/20/96,,public,2020-06-09 01:11:28,7,pub,,,['L1'],"A teacher training program, named Model-Supported Scientific Inquiry Training Program (MSSITP) has been successfully developed to improve the inquiry skills of Indonesian elementary teachers. The skills enhanced by MSSITP are defining problems, formulating hypotheses, planning and doing investigations, drawing conclusions, and communicating the results. This teacher training program was evaluated by 48 teachers selected by stratified random sampling technique from 48 elementary schools in Bandar Lampung City, Lampung Province, Indonesia. The program was designed to follow Bandura’s stages of social learning: attention,
retention, production, and motivation. The impact of MSSITP was evaluated in three ways. First, by analyzing the improvements of inquiry skills compared to conventional SITP through pretest and posttest control group design. Second, by using an inquiry questionnaire to describe teachers’ perceptions of inquiry learning. Last, by using a response instrument to elicit teachers’ opinions of the program. The results indicate a significant difference (sig 0.00) in teachers’ skills acquired from the two different training programs. Mean posttest scores, varying from 34.7 to 56.9 for the control group and 58.3 to 98.6 for the experimental
group, confirmed the effectiveness of MSSITP.",http://repository.lppm.unila.ac.id/id/eprint/22096,"[{'name': {'given': 'CE', 'honourific': None, 'lineage': None, 'family': 'Chandra Ertikanto'}, 'id': None}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'honourific': None, 'lineage': None, 'family': 'Herpratiwi'}}, {'id': None, 'name': {'given': 'Yuniarti', 'lineage': None, 'family': 'Tina', 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'andrian saputra', 'given': 'saputra'}}]",,other,Development and Evaluation of a Model-Supported Scientific Inquiry Training Program for Elementary Teachers in Indonesia,,,,2020-06-09 01:11:28,22096,archive,show,,863,,2020-06-09 01:11:28,"[{'format': 'text', 'main': '1. Development & Evalualition ..., Chandra, Her Checker.pdf', 'files': [{'filename': '1. Development & Evalualition ..., Chandra, Her Checker.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/203582', 'filesize': 348084, 'objectid': 35495, 'mtime': '2020-06-08 08:07:51', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'db7513971e3a4e23c2b801be5ef594a3', 'datasetid': 'document', 'fileid': 203582}], 'docid': 35495, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 22096, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35495'}]",,,International Journal of Instruction,,,,
4,[{'url': 'http://www.e-iji.net/dosyalar/iji_2017_3_7.pdf'}],['FKIP11'],disk0/00/00/87/79,,public,2018-10-26 10:09:12,13,pub,completed,,['L1'],"A teacher training program, named Model-Supported Scientific Inquiry Training Program (MSSITP) has been successfully developed to improve the inquiry skills of Indonesian elementary teachers. The skills enhanced by MSSITP are defining problems, formulating hypotheses, planning and doing investigations, drawing conclusions, and communicating the results. This teacher training program was evaluated by 48 teachers selected by stratified random sampling technique from 48 elementary schools in Bandar Lampung City, Lampung Province, Indonesia. The program was designed to follow Bandura’s stages of social learning: attention, retention, production, and motivation. The impact of MSSITP was evaluated in three ways. First, by analyzing the improvements of inquiry skills compared to conventional SITP through pretest and posttest control group design. Second, by using an inquiry questionnaire to describe teachers’ perceptions of inquiry learning. Last, by using a response instrument to elicit teachers’ opinions of the program. The results indicate a significant difference (sig 0.00) in teachers’ skills acquired from the two different training programs. Mean posttest scores, varying from 34.7 to 56.9 for the control group and 58.3 to 98.6 for the experimental group, confirmed the effectiveness of MSSITP.",http://repository.lppm.unila.ac.id/id/eprint/8779,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Chandra Ertikanto', 'given': 'CE'}}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'family': 'Herpratiwi', 'lineage': None, 'honourific': None, 'given': 'Herpratiwi'}}, {'name': {'given': 'saputra', 'honourific': None, 'family': 'andrian saputra', 'lineage': None}, 'id': None}]",,article,Development and Evaluationof a Model- Supported  Scientific  Inquiry Training Program for Elementary Teachers in Indonesia,,TRUE,,2018-10-26 10:09:12,8779,archive,show,93-108,863,http://www.e-iji.net,2018-10-26 10:09:12,"[{'language': 'en', 'rev_number': 3, 'mime_type': 'application/pdf', 'content': 'published', 'files': [{'filesize': 785345, 'objectid': 21859, 'filename': 'iji_2017_3_7.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85450', 'hash_type': 'MD5', 'mtime': '2018-08-31 21:12:07', 'datasetid': 'document', 'fileid': 85450, 'hash': 'fedc269eaa8644d836ce90d0bd72885c', 'mime_type': 'application/pdf'}], 'main': 'iji_2017_3_7.pdf', 'docid': 21859, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21859', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 8779}]",10.0,International Journal of Instruction,Faculty of Education Eskisehir Osmangazi University.,p-ISSN: 1694-609X,3.0,doi,
5,,['FKIP11'],disk0/00/03/85/02,,public,2022-01-27 08:01:06,7,pub,,,['L1'],"Tujuan penelitian ini adalah mengembangkan LKPD berbasis PBL yang efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika peserta didik kelas V SD/MI. Penelitian pengembangan ini mengikuti enam tahap metode Borg and Gall. Populasi penelitian adalah seluruh peserta didik kelas V Madrasah Ibtidaiyah Negeri Kota Metro, Lampung. Sampel penelitian adalah seluruh peserta didik kelas VA MIN 3 Metro sebanyak 25 peserta didik. Data penelitian diperoleh melalui observasi, angket, dokumentasi, dan tes hasil belajar. Hasil penelitian menunjukkan bahwa produk LKPD berbasis PBL efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika kelas V SD/MI dengan perolehan n-gain sebesar 0,63 ternormalisasi pada klasifikasi sedang dan tingkat efektivitas pada kategori efekti",http://repository.lppm.unila.ac.id/id/eprint/38502,"[{'id': None, 'name': {'lineage': None, 'family': 'Dinda', 'honourific': None, 'given': 'Dinda'}}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'honourific': None, 'family': 'Alben Ambarita', 'lineage': None, 'given': 'Alben'}}, {'name': {'lineage': None, 'family': 'Herpratiwi', 'honourific': None, 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}]",,other,Similaritas_Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar,,,,2022-01-27 08:01:06,38502,archive,show,,863,,2022-01-27 08:01:06,"[{'placement': 1, 'eprintid': 38502, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159612', 'security': 'public', 'main': 'Similarity_Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar_2.pdf', 'files': [{'mtime': '2022-01-27 05:05:19', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/436041', 'filename': 'Similarity_Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar_2.pdf', 'objectid': 159612, 'filesize': 2575064, 'hash': '1d71971c3b38cd1686694da607849079', 'mime_type': 'application/pdf', 'fileid': 436041, 'datasetid': 'document'}], 'docid': 159612, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,,Basicedu,,,,
6,,['FKIP11'],disk0/00/03/85/26,,public,2022-01-27 11:51:17,7,unpub,,,['L1'],"Tujuan penelitian ini adalah mengembangkan LKPD berbasis PBL yang efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika peserta didik kelas V SD/MI. Penelitian pengembangan ini mengikuti enam tahap metode Borg and Gall. Populasi penelitian adalah seluruh peserta didik kelas V Madrasah Ibtidaiyah Negeri Kota Metro, Lampung. Sampel penelitian adalah seluruh peserta didik kelas VA MIN 3 Metro sebanyak 25 peserta didik. Data penelitian diperoleh melalui observasi, angket, dokumentasi, dan tes hasil belajar. Hasil penelitian menunjukkan bahwa produk LKPD berbasis PBL efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika kelas V SD/MI dengan perolehan n-gain sebesar 0,63 ternormalisasi pada klasifikasi sedang dan tingkat efektivitas pada kategori efektif",http://repository.lppm.unila.ac.id/id/eprint/38526,"[{'name': {'family': 'Dinda', 'lineage': None, 'honourific': None, 'given': 'Dinda'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Alben Ambarita', 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Herpratiwi', 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'id': 'nurhanurawati94@gmail.com', 'name': {'given': 'Nurhanurawati', 'lineage': None, 'family': 'Nurhanurawati', 'honourific': None}}]",,other,PeerReview_Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar,,,,2022-01-27 11:51:17,38526,archive,show,,863,,2022-01-27 11:51:17,"[{'placement': 1, 'eprintid': 38526, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159634', 'pos': 1, 'security': 'public', 'docid': 159634, 'main': 'pengembangan LKPD Matematika.....pdf', 'files': [{'filesize': 3205055, 'objectid': 159634, 'filename': 'pengembangan LKPD Matematika.....pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/436230', 'hash_type': 'MD5', 'mtime': '2022-01-27 09:20:24', 'fileid': 436230, 'datasetid': 'document', 'hash': 'd20eb6cd38901e613a49cdbcad730d66', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,,PeerReview,,,,
7,,['FKIP11'],disk0/00/03/57/22,,public,2021-11-10 02:55:43,6,pub,,,['L1'],"Tujuan penelitian ini adalah mengembangkan LKPD berbasis PBL yang efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika peserta didik kelas V SD/MI. Penelitian pengembangan ini mengikuti enam tahap metode Borg and Gall. Populasi penelitian adalah seluruh peserta
didik kelas V Madrasah Ibtidaiyah Negeri Kota Metro, Lampung. Sampel penelitian adalah seluruh peserta didik kelas VA MIN 3 Metro sebanyak 25 peserta didik. Data penelitian diperoleh melalui observasi, angket, dokumentasi, dan tes hasil belajar. Hasil penelitian menunjukkan bahwa produk LKPD berbasis PBL efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika kelas V SD/MI dengan perolehan n-gain sebesar 0,63 ternormalisasi pada klasifikasi sedang dan tingkat efektivitas pada kategori efektif.",http://repository.lppm.unila.ac.id/id/eprint/35722,"[{'name': {'given': 'Dinda', 'family': 'Dinda', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Alben Ambarita', 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}, {'name': {'honourific': None, 'family': 'Herpratiwi', 'lineage': None, 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'name': {'given': 'Nurhanurawati', 'family': 'Nurhanurawati', 'lineage': None, 'honourific': None}, 'id': 'nurhanurawati94@gmail.com'}]",,article,Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar,,TRUE,,2021-11-10 02:55:43,35722,archive,show,,863,,2021-11-10 02:55:43,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156656', 'eprintid': 35722, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '1439-5408-1-PB (3).pdf', 'files': [{'fileid': 415500, 'datasetid': 'document', 'hash': '4c7f3c75b8e2810636072cb43f8198c3', 'mime_type': 'application/pdf', 'filesize': 318050, 'objectid': 156656, 'filename': '1439-5408-1-PB (3).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/415500', 'hash_type': 'MD5', 'mtime': '2021-11-10 02:26:02'}], 'docid': 156656}]",,Jurnal Basicedu Journal of Elementary Education,Elementary Teacher Educatin Departement University of Pahlawan Tuanku Tambusai,2580-1147,,,
8,[{'url': 'http://www.publikasi.ilmiah.FKIPUnila.ac.id'}],['FKIP11'],disk0/00/00/88/08,conference,public,2018-10-29 04:18:03,7,pub,completed,International Teacher Education Conference,['L1'],"The aim of this study was to produce a training device of writing scientific papers on the basis of learning in accordance with the needs and characteristics of elementary school teachers in the Province of Lampung. The product of developing training device included 1) learning media, 2) teaching materials of scientific writing, and 3) teachers activity sheet in writing scientific paper on the basic of learning. The method used in this development research was R & D model which consisted of, the stages of searching and collecting information, planning, and developing the format of the initial product. The subjects were the teachers of elementary schools in South Lampung, Pesawaran, Bandar Lampung, and Central Lampung in 2012-2013 academic years. The study was conducted from november 2012 to may 2013. The result of this study were 1) draft of instructional media in the form of examples of scientific work about CAR (classroom action research), 2) draft of scientific paper teaching materials for individual learning, and 3) draft of teachers' activity sheets for individual learning.",http://repository.lppm.unila.ac.id/id/eprint/8808,"[{'id': None, 'name': {'given': 'Yulianti', 'family': 'Dwi Yulianti', 'lineage': None, 'honourific': None}}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'honourific': None, 'lineage': None, 'family': 'Herpratiwi'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Sultan Djasmi', 'given': 'Sultan'}}]",paper,conference_item,Developing Training Device of Scientific Writing on the Basic of Learning for Elementary School Teachers in Lampung,30 juni - 3 juli 2013,TRUE,Bandar Lampung,2018-10-29 04:18:03,8808,archive,show,65-72,863,http://www.publikasi.ilmiah.FKIPUnila.ac.id,2018-10-29 04:18:03,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Prosiding ITEC 2013.pdf', 'docid': 21888, 'files': [{'mime_type': 'application/pdf', 'hash': '6dc5779d3c3b866016f0b563d0f35a4e', 'datasetid': 'document', 'fileid': 85655, 'filename': 'Prosiding ITEC 2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85655', 'objectid': 21888, 'filesize': 2917398, 'mtime': '2018-09-07 08:21:16', 'hash_type': 'MD5'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21888', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 8808}]",,,,,,,
9,,['FKIP11'],disk0/00/04/67/54,,public,2022-11-21 01:08:46,6,pub,,,['T1'],"Rendahnya Kurangnya engagement siswa 
selama fase pelatihan di kelas XI IPA SMA Negeri 7 
Bandar Lampung memiliki andil terhadap hasil belajar 
matematikanya. Murid tidak berpartisipasi aktif dalam 
pelatihan di kelas dengan berinteraksi dengan guru atau 
siswa lain. Pelatihan tipe TGT merupakan komponen 
cara belajar kooperatif yang sederhana pelaksanaannya, 
menarik, dan menyenangkan bagi siswa. Ini menyangkut
siswa yang berpartisipasi dalam kegiatan pelatihan , 
siswa yang bertindak jadi tutor sebaya, dan permainan 
disertakan. Melalui model pelatihan kooperatif TGT, 
kajian ini bertujuan guna meningkatkan prestasi siswa 
dan acara terkait pelatihan .36 siswa berpartisipasi pada 
kajian tindakan kelas ini. Tes dan nontes adalah dua jenis 
metode pengumpulan data. Tes meliputi item untuk 
turnamen, sedangkan non-tes memuat observasi, 
wawancara, dan dokumentasi. Untuk setiap siklus, 
analisa deskriptif kualitatif dipakai untuk menguji hasil 
pengamatan, dan analisa deskriptif kuantitatif dipakai 
untuk menguji hasil. Setiap siklus dari turnamen 
Penelitian ini memakai tiga siklus. Dengan 
memperhatikan hasil penelitian, model pelatihan 
kooperatif Team Games Tournament dapat 
menumbuhkan kegiatan siswa dan hasil belajar 
matematika. Hal ini diperliatkan pada penumbuhan
acara siswa: pada siklus I , skor komulatif acara adalah 
61,115 yang termasuk dalam kategori baik; pada siklus II 
meningkat dari 7.944 jadi 69.059 dengan kategori baik; 
dan pada siklus III naik lagi dari 8.410 jadi 77.469 yang 
termasuk dalam kategori baik. Rata-rata hasil belajar 
pada siklus I adalah 71.441, dan terdapat 16 orang yang 
menggapai skor KKM dan 18 orang yang belum 
menggapai skor KKM. Selain itu, terjadi penumbuhan 
hasil belajar. Pada siklus II meningkat jadi 79.028 
terdapat 23 orang yang menggapai skor ketuntasan 
minimal dan 13 orang yang belum menggapai skorketuntasan minimal, dan pada siklus III meningkat jadi 
82,5 yaitu terdapat 30 orang yang menggapai skor KKM 
hanya 6 orang yang belum menggapai skor ketuntasan 
minimal. Dengan kata lain indikator keberhasilan 
penelitian dengan target acara siswa dalam pelatihan 
harus tergolong baik dan 83,3 % telah menggapai skor 
KKM (N ≥ 76) sudah tercapai.
Keywords: 
Aktifitas belajar, Hasil 
belajar, TGT(Team Group 
Turnamen)",http://repository.lppm.unila.ac.id/id/eprint/46754,"[{'name': {'honourific': None, 'family': 'Heldawati', 'lineage': None, 'given': 'H'}, 'id': 'heldawatisalsabila@gmail.com'}, {'id': 'mnurwahidin@yahoo.co.id', 'name': {'given': 'MN', 'honourific': None, 'lineage': None, 'family': 'Muhammad Nurwahidin'}}, {'id': 'SafiraShodiq@yahoo.com', 'name': {'honourific': None, 'family': 'Dwi Yulianti', 'lineage': None, 'given': 'DY'}}]",,article,"UPAYA MENINGKATKAN AKTIVITAS DAN HASIL BELAJAR MATEMATIKA MELALUI 
MODEL PELATIHAN KOOPERATIF TIPE TGT (TEAM GAMES TOURNAMENT)",,TRUE,,2022-11-21 01:08:46,46754,archive,show,2407-2425,559,,2022-11-21 01:08:46,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185671', 'pos': 1, 'eprintid': 46754, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 514851, 'datasetid': 'document', 'hash': '2e3a04a834a26545b53be49ab8bfad04', 'mime_type': 'application/pdf', 'objectid': 185671, 'filesize': 1177466, 'filename': '2793.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/514851', 'hash_type': 'MD5', 'mtime': '2022-11-19 15:35:39'}], 'main': '2793.pdf', 'docid': 185671}]",1.0,Jurnal Pendidikan Dasar Dan Sosial Humaniora,,,12.0,,
