,full_text_status,status_changed,ispublished,rev_number,publisher,divisions,dir,abstract,uri,date,date_type,subjects,place_of_pub,isbn,type,title,refereed,userid,lastmod,pages,documents,datestamp,editors,eprintid,eprint_status,metadata_visibility,patent_applicant,creators,official_url,id_number,number,pagerange,issn,publication,volume,output_media,contributors,corp_creators,related_url,projects,funders,succeeds,event_dates,pres_type,event_location,event_title,event_type
0,public,2023-05-29 01:33:09,pub,8,Penerbit IPB Press,['FP24'],disk0_bak/00/05/20/43,"Buku ""Serangga Berguna"" merupakan sumbangan ilmu dan pengetahuan dari para anggota Perhimpunan Entomologi Indonesia. Buku ini berisi deskripsi biologi dan manfaat dari berbagai serangga yang bermanfaat bagi manusia, pertanian, dan lingkungan secara umum.",http://repository.lppm.unila.ac.id/id/eprint/52043,2022-07-01 00:00:00.000000000,published,['Q1'],Bogor,978-623-467-167-4,book,SERANGGA BERGUNA,FALSE,1090,2023-05-29 01:33:09,246.0,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Buku serangga berguna + bukti pengesahan Hamim SUdarsono 18755.pdf', 'files': [{'filename': 'Buku serangga berguna + bukti pengesahan Hamim SUdarsono 18755.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/616639', 'objectid': 251810, 'filesize': 1657185, 'mtime': '2023-05-28 10:16:57', 'hash_type': 'MD5', 'hash': '106430cbc96195bcca50bf1829d5d364', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 616639}], 'docid': 251810, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251810', 'security': 'public', 'placement': 1, 'eprintid': 52043}]",2023-05-29 01:33:09,"[{'name': {'given': 'Dadang', 'honourific': None, 'family': 'Dadang', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Sudarsono', 'honourific': None, 'given': 'Hamim'}}, {'name': {'given': 'Hari', 'honourific': None, 'lineage': None, 'family': 'Purnomo'}}]",52043,archive,show,,,,,,,,,,,,,,,,,,,,,
1,public,2023-04-11 00:50:55,pub,8,,['FP24'],disk0_bak/00/05/01/48,"Video pembelajaran mata kuliah Hama Penting Tanaman ini bermanfaat untuk menambah pengetahuan mahasiswa peserta mata kuliah wajib pada Prodi Proteksi Tanaman FP Unila.  Video pembelajaran ini awalnya dibuat untuk menyiasati perkuliahan online pada masa pandemi, namun ternyata dapat digunakan pula untuk kuliah offline.",http://repository.lppm.unila.ac.id/id/eprint/50148,2022-09-08 00:00:00.000000000,published,['S1'],,,patent,Video Pembelajaran Mata Kuliah Hama Penting Tanaman,,1063,2023-04-11 00:50:55,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189849', 'eprintid': 50148, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 542203, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e7f57853842efa36f42c4b6025d7d1be', 'objectid': 189849, 'filesize': 2094483, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542203', 'filename': 'sertifikat_VMK Hama Penting Tanaman (1).pdf', 'hash_type': 'MD5', 'mtime': '2023-04-10 15:22:19'}], 'main': 'sertifikat_VMK Hama Penting Tanaman (1).pdf', 'docid': 189849}]",2023-04-11 00:50:55,,50148,archive,show,"Fitriana, Yuyun","[{'name': {'honourific': None, 'lineage': None, 'family': 'Fitriana', 'given': 'Yuyun'}, 'id': 'yuyun.fitriana@fp.unila.ac.id'}, {'id': 'puji.lestari@fp.unila.ac.id', 'name': {'given': 'Puji', 'family': 'Lestari', 'lineage': None, 'honourific': None}}, {'name': {'given': '.', 'lineage': None, 'family': 'Purnomo', 'honourific': None}, 'id': 'purnomo.1964@fp.unila.ac.id'}]",https://pdki-indonesia.dgip.go.id/detail/EC00202266831?type=copyright&keyword=Yuyun+Fitriana+video+pembelajaran+hama+tanaman,382570,,,,,,,,,,,,,,,,,
2,public,2022-10-26 06:41:02,pub,9,The Korean Society of Plant Pathology,['FP24'],disk0/00/04/59/82,"This study was performed to reveal phenotypic characters and identity of symbiont bacteria of Nasutitermes
as well as investigate their potential as antagonist of
plant pathogenic fungi. Isolation of the symbiont bacteria was carried out from inside the heads and the bodies of soldier and worker termite which were collected
from 3 locations of nests. Identification was performed
using phenotypic test and sequence of 16S ribosomal
DNA (16S rDNA). Antagonistic capability was investigated in the laboratory against 3 phytopathogenic fungi
i.e., Phytophthora capsici, Ganoderma boninense, and
Rigidoporus microporus. Totally, 39 bacterial isolates
were obtained from inside the heads and the bodies of
Nasutitermes. All the isolates showed capability to inhibit growth of P. capsici, however, 34 isolates showed
capability to inhibit growth of G. boninense and 32
isolates showed capability to inhibit growth of R. microporus. Two bacterial strains (IK3.1P and 1B1.2P)
which showed the highest percentage of inhibition were
further identified based on their sequence of 16S rDNA.",http://repository.lppm.unila.ac.id/id/eprint/45982,2022-10-01 00:00:00.000000000,published,['S1'],,,article,Lysinabacillus fusiformis and Paenibacillus alvei Obtained from the Internal of Nasutitermes Termites Revealed their Ability as Antagonist of Plant Pathogenic Fungi,TRUE,158,2022-10-26 06:41:02,,"[{'placement': 1, 'eprintid': 45982, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184798', 'pos': 1, 'security': 'public', 'files': [{'fileid': 509049, 'datasetid': 'document', 'hash': 'e9a46197881e3562f942991a658974cd', 'mime_type': 'application/pdf', 'objectid': 184798, 'filesize': 2719919, 'uri': 'http://repository.lppm.unila.ac.id/id/file/509049', 'filename': 'PPJ-OA-03-2022-0031 YUYUN dkk.pdf', 'hash_type': 'MD5', 'mtime': '2022-10-26 02:20:27'}], 'main': 'PPJ-OA-03-2022-0031 YUYUN dkk.pdf', 'docid': 184798, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-10-26 06:41:02,,45982,archive,show,,"[{'name': {'family': 'Fitriana', 'lineage': None, 'honourific': None, 'given': 'Yuyun'}, 'id': 'yuyun.fitriana@fp.unila.ac.id'}, {'name': {'given': 'Desi Apriani Teresa', 'honourific': None, 'family': 'Tampubolon', 'lineage': None}, 'id': None}, {'id': 'radix.suharjo@fp.unila.ac.id', 'name': {'given': 'Radix', 'honourific': None, 'lineage': None, 'family': 'Suharjo'}}, {'id': 'puji.lestari@fp.unila.ac.id', 'name': {'given': 'Puji', 'lineage': None, 'family': 'Lestari', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Swibawa', 'honourific': None, 'given': 'I Gede'}, 'id': 'igede.swibawa@fp.unila.ac.id'}]",https://ppjonline.org/journal/view.php?number=2341,https://doi.org/10.5423/PPJ.OA.03.2022.0031,5.0,449-460,eISSN 2093-9280,Plant Pathology Journal,38.0,,,,,,,,,,,,
3,public,2022-11-11 01:06:03,pub,7,Universitas Lampung,['FP24'],disk0/00/04/64/71,"Mata kuliah Ilmu Penyakit Benih merupakan mata kuliah pilihan bagi semua mahasiswa Fakultas Pertanian Universitas Lampung dalam memahami berbagai konsep penyakit pada benih tanaman sehingga dapat mengidentifikasi berbagai penyakit pada benih tanaman serta merencanakan teknologi yang dapat digunakan dalam pengelolaan penyakit pada benih tanaman yang ramah lingkungan serta berkelanjutan. Cakupan materi yang dibahas dalam mata kuliah ini yaitu Membahas pembentukan dan perkembangan benih, kandungan kimia benih, dormansi dan perkecambahan benih, longevitas dan deteorasi benih, viabilitas dan vigor benih, pengujian mutu benih, produksi dan pengolahan benih, penyimpanan dan tata niaga benih.",http://repository.lppm.unila.ac.id/id/eprint/46471,2022-11-02 00:00:00.000000000,,['S1'],,,video,Video Pembelajaran Mata Kuliah Ilmu Penyakit Benih-Studi Penyakit Benih,,330,2022-11-11 01:06:03,,"[{'placement': 1, 'eprintid': 46471, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185345', 'pos': 1, 'security': 'public', 'docid': 185345, 'main': 'Repositori 2Nov 2022 Ilmu Penyakit Benih.pdf', 'files': [{'mtime': '2022-11-10 07:48:11', 'hash_type': 'MD5', 'filename': 'Repositori 2Nov 2022 Ilmu Penyakit Benih.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/512674', 'objectid': 185345, 'filesize': 2241417, 'mime_type': 'application/pdf', 'hash': '2abaa8ab42014fdd501f9032462d4098', 'datasetid': 'document', 'fileid': 512674}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-11-11 01:06:03,,46471,archive,show,,"[{'id': None, 'name': {'given': 'Muhammad', 'honourific': None, 'family': 'Nurdin', 'lineage': None}}, {'id': 'suskandini.ratih@fp.unila.ac.id', 'name': {'given': 'Suskandini R.', 'honourific': None, 'lineage': None, 'family': 'Dirmawati'}}, {'name': {'given': 'Selvi', 'lineage': None, 'family': 'Helina', 'honourific': None}, 'id': None}]",https://www.youtube.com/watch?v=JBQMJx00o0c,,,,,,,Online,"[{'type': 'http://www.loc.gov/loc.terms/relators/CTB'}, {'type': 'http://www.loc.gov/loc.terms/relators/CTB'}, {'type': 'http://www.loc.gov/loc.terms/relators/CTB'}]","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",[{'url': 'https://www.youtube.com/watch?v=JBQMJx00o0c'}],,,,,,,,
4,public,2022-07-26 08:02:11,pub,7,Jurnal Agrotek Tropika,['FP24'],disk0/00/04/36/18,"ABSTRAK
Provinsi Lampung merupakan salah satu daerah sentra penghasil jagung di Indonesia. Produktivitas jagung masih belum optimal. Rendahnya produktivitas lahan jagung dapat disebabkan oleh berbagai faktor, salah satunya adanya penyakit bulai. Penyakit bulai dapat menyebabkan kehilangan hasil hingga 90%. Alternatif pengendalian yang efektif dan ramah lingkungan adalah dengan memanfaatkan Trichodema spp. sebagai penginduksi ketahanan tanaman terhadap penyakit bulai. Tujuan penelitian ini adalah untuk mengetahui pengaruh empat isolat Trichoderma spp. terhadap keterjadian dan keparahan penyakit bulai dan pengaruhnya terhadap pertumbuhan tanaman jagung. Penelitian ini dilakukan dalam Rancangan Acak Kelompok (RAK) dengan lima perlakuan dan empat ulangan. Perlakuan terdiri dari (T0) tanpa isolat Trichoderma sp., (T1) Trichoderma sp. isolat Hajimena, (T2) Trichoderma sp. isolat Lampung Tengah, (T3) Trichoderma spp. Isolat Lampung Timur, dan (T4) Trichoderma sp. isolat Metro. Hasil penelitian menunjukkan bahwa jamur Trichoderma spp Trichoderma spp. isolat Hajimena dan Metro dapat menekan keterjadian penyakit dan Trichoderma spp. isolat Hajimena dan Lampung Tengah dapat meningkatkan pertumbuhan tanaman pada bobot basah akar.
Kata kunci: Induksi ketahanan, keterjadian, ramah lingkungan.",http://repository.lppm.unila.ac.id/id/eprint/43618,2022-04-30 00:00:00.000000000,published,['SB'],,,article,PENGARUH EMPAT ISOLAT Trichoderma spp. TERHADAP PENYAKIT BULAI DAN PERTUMBUHAN TANAMAN JAGUNG (Zea mays L.),TRUE,852,2022-07-26 08:02:11,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165564', 'security': 'public', 'placement': 1, 'eprintid': 43618, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/475846', 'filename': '5873-16955-1-PB (1)Joko-Reza Putri.pdf', 'objectid': 165564, 'filesize': 1184476, 'mtime': '2022-07-26 06:30:37', 'hash_type': 'MD5', 'hash': '830ce686f182b2fa08107695232b0c80', 'mime_type': 'application/pdf', 'fileid': 475846, 'datasetid': 'document'}], 'main': '5873-16955-1-PB (1)Joko-Reza Putri.pdf', 'docid': 165564, 'format': 'text'}]",2022-07-26 08:02:11,,43618,archive,show,,"[{'id': 'rezaputri367@gmail.com', 'name': {'family': 'Putri', 'lineage': None, 'honourific': None, 'given': 'Reza'}}, {'name': {'family': 'Prasetyo', 'lineage': None, 'honourific': None, 'given': 'Joko'}, 'id': 'joko.prasetyo@fp.unila.ac.id'}, {'id': 'tri.maryono@fp.unila.ac.id', 'name': {'given': 'Maryono', 'honourific': None, 'lineage': None, 'family': 'Tri'}}, {'name': {'lineage': None, 'family': 'Dirmawati', 'honourific': None, 'given': 'Suskandini R.'}, 'id': 'suskandini.ratih@fp.unila.ac.id'}]",https://jurnal.fp.unila.ac.id/index.php/JA,,2.0,177-185,2337-4993,Jurnal Agrotek Tropika,10.0,,,"['LPPM UNILA', 'LPPM UNILA', 'LPPM UNILA', 'LPPM UNILA']",,['Penenllitian mandiri'],['Plant Clinic'],,,,,,
5,public,2022-11-11 01:01:19,pub,7,Universitas Lampung,['FP24'],disk0/00/04/64/57,"Mata kuliah Bakteriologi Tumbuhan merupakan mata kuliah wajib bagi semua mahasiswa Jurusan Proteksi Tanaman, Fakultas Pertanian Universitas Lampung dalam memahami berbagai konsep mengenai perkembangan bakteriologi dan bakteri pada tumbuhan sehingga dapat mengidentifikasi berbagai penyakit tanaman yang disebabkan oleh bakteri serta mengembangkan teknologi yang dapat digunakan dalam pengelolaan penyakit tanaman yang disebabkan oleh bakteri. Cakupan materi yang dibahas dalam mata kuliah ini yaitu pengertian dasar tentang bakteri; taksonomi, klasifikasi, dan identifikasi bakteri; deteksi dan diagnosis penyakit karena bakteri; penularan penyakit oleh bakteri; epidemiologi dan pengendalian bakteri.",http://repository.lppm.unila.ac.id/id/eprint/46457,2022-11-02 00:00:00.000000000,,['S1'],,,video,"Video Pembelajaran Mata Kuliah Bakteriologi Tumbuhan
topik PERTUMBUHAN BAKTERI",,330,2022-11-11 01:01:19,,"[{'eprintid': 46457, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185340', 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-10 06:53:54', 'filesize': 2779410, 'objectid': 185340, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512634', 'filename': 'Repositori 2Nov 2022 HaKI Bakteriologi Tumbuhan.pdf', 'datasetid': 'document', 'fileid': 512634, 'hash': '368a06de1a960c340c59cebf0726b64d', 'mime_type': 'application/pdf'}], 'main': 'Repositori 2Nov 2022 HaKI Bakteriologi Tumbuhan.pdf', 'docid': 185340, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-11-11 01:01:19,,46457,archive,show,,"[{'id': None, 'name': {'given': 'Radix', 'honourific': None, 'lineage': None, 'family': 'Suhardjo'}}, {'name': {'family': 'Efri', 'lineage': None, 'honourific': None, 'given': 'Efri'}, 'id': 'efri.1960@fp.unila.ac.id'}, {'id': 'suskandini.ratih@fp.unila.ac.id', 'name': {'given': 'Suskandini R.', 'honourific': None, 'lineage': None, 'family': 'Dirmawati'}}]",https://www.youtube.com/watch?v=uWB3pQYRFNo,,,,,,,Online,"[{'type': 'http://www.loc.gov/loc.terms/relators/CTB'}, {'type': 'http://www.loc.gov/loc.terms/relators/CTB'}, {'type': 'http://www.loc.gov/loc.terms/relators/CTB'}]","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",[{'url': 'https://www.youtube.com/watch?v=uWB3pQYRFNo'}],,,,,,,,
6,public,2023-04-03 00:56:34,pub,5,International Journal of Environmental Science and Development,['FP24'],disk0_bak/00/04/95/47,"The use of synthetic pesticides has been widely practiced by farmers to control plant diseases. However, it can promote negative impacts such as environmental pollution, threatening human health, and making pathogens more resistant. This study aims to determine the inhibition of Trichoderma Tc-Jjr-02 in vitro against Colletotrichum sp. and test its ability as a biopesticide and biofertilizer agent in suppressing the growth of anthracnose disease and chili production. The results show that, there was no interaction effect between the application of Trichoderma Tc-Jjr-02 as a biopesticide and biofertilizer agent. The in vitro test reveals that Trichoderma Tc-Jjr-02 could inhibit the growth of pathogenic colonies up to 61.4% at 11 days after inoculation. In vivo test show, that application of Trichoderma 6 hours before inoculation of pathogens (T1) and Trichoderma inoculation concurrent pathogens (T3) can reduce the symptoms intensity of anthracnose attacks 70% and 43%, respectively, then increasing the number of fresh fruit 62.66% and 76.58%, respectively, also increasing fresh fruit weights 84.83% and 91.90% respectively, compared with the pathogen inoculation treatment six hours before the application of Trichoderma. Thus, Trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent. Using Trichoderma asperellum as biopesticed can protect the environment.",http://repository.lppm.unila.ac.id/id/eprint/49547,2022-08-01 00:00:00.000000000,published,['S1'],,,other,Evaluation of Trichoderma asperellum Effect toward Anthracnose Pathogen Activity on Red Chili (Capsicum annum L.) As Ecofriendly Pesticide,,1063,2023-04-03 00:56:34,,"[{'placement': 1, 'eprintid': 49547, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189180', 'security': 'public', 'main': 'Similarity-IJESD Vol 13 No 4 Agustus 2022.pdf', 'docid': 189180, 'files': [{'hash': 'c7d20458a24ef3a3b197d078f4fac8d1', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 537370, 'filename': 'Similarity-IJESD Vol 13 No 4 Agustus 2022.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/537370', 'objectid': 189180, 'filesize': 2893411, 'mtime': '2023-04-01 14:09:38', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf'}]",2023-04-03 00:56:34,,49547,archive,show,,"[{'name': {'given': '.', 'honourific': None, 'lineage': None, 'family': 'Sutarman'}, 'id': 'sutarman@umsida.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Purnomo', 'given': '.'}, 'id': 'purnomo.1964@fp.unila.ac.id'}]",http://www.ijesd.org/show-180-1929-1.html,,,,,,,,,,,,,49544.0,,,,,
7,public,2023-03-28 08:35:09,pub,7,International Journal of Environmental Science and Developmen,['FP24'],disk0_bak/00/04/92/61,"The use of synthetic pesticides has been widely
practiced by farmers to control plant diseases. However, it can
promote negative impacts such as environmental pollution,
threatening human health, and making pathogens more
resistant. This study aims to determine the inhibition of
Trichoderma Tc-Jjr-02 in vitro against Colletotrichum sp. and
test its ability as a biopesticide and biofertilizer agent in
suppressing the growth of anthracnose disease and chili
production. The results show that, there was no interaction
effect between the application of Trichoderma Tc-Jjr-02 as a
biopesticide and biofertilizer agent. The in vitro test reveals that
Trichoderma Tc-Jjr-02 could inhibit the growth of pathogenic
colonies up to 61.4% at 11 days after inoculation. In vivo test
show, that application of Trichoderma 6 hours before
inoculation of pathogens (T1) and Trichoderma inoculation
concurrent pathogens (T3) can reduce the symptoms intensity
of anthracnose attacks 70% and 43%, respectively, then
increasing the number of fresh fruit 62.66% and 76.58%,
respectively, also increasing fresh fruit weights 84.83% and
91.90% respectively, compared with the pathogen inoculation
treatment six hours before the application of Trichoderma. Thus,Trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent. Using Trichoderma asperellum as biopesticed can protect the environment.
Index Terms—Anthracnose, Colletotrichum sp., red chili,
Trichoderma asperellum.",http://repository.lppm.unila.ac.id/id/eprint/49261,2022-08-01 00:00:00.000000000,,['S1'],,,article,"Evaluation of Trichoderma asperellum Effect toward
Anthracnose Pathogen Activity on Red Chili (Capsicum
annum L.) As Ecofriendly Pesticide",TRUE,1063,2023-03-28 08:35:09,,"[{'placement': 1, 'eprintid': 49261, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188810', 'security': 'public', 'docid': 188810, 'main': 'IJESD-13(4), August 2022, 131-137.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-03-26 08:10:23', 'objectid': 188810, 'filesize': 1167581, 'uri': 'http://repository.lppm.unila.ac.id/id/file/535063', 'filename': 'IJESD-13(4), August 2022, 131-137.pdf', 'datasetid': 'document', 'fileid': 535063, 'hash': '4517a11c0980cd6ce070ab157e913549', 'mime_type': 'application/pdf'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-03-28 08:35:09,,49261,archive,show,,"[{'name': {'given': '.', 'lineage': None, 'family': 'Sutarman', 'honourific': None}, 'id': 'sutarman@umsida.ac.id'}, {'name': {'given': 'T', 'honourific': None, 'lineage': None, 'family': 'Setiorini'}, 'id': None}, {'name': {'given': 'AS', 'honourific': None, 'family': ""Li'aini"", 'lineage': None}, 'id': None}, {'id': 'purnomo.1964@fp.unila.ac.id', 'name': {'given': '.', 'honourific': None, 'lineage': None, 'family': 'Purnomo'}}, {'name': {'lineage': None, 'family': 'Rahmat', 'honourific': None, 'given': 'Ali'}, 'id': None}]",http://www.ijesd.org/show-180-1929-1.html,http://dx.doi.org/10.23960/jat.v10i4.6467,4.0,131-137,2010-0264 (Print); 2972-3698 (Online),International Journal of Environmentgal Science and Development,13.0,,,,,,,,,,,,
8,none,2023-04-04 05:52:37,pub,6,International Journal of Environmental Science and Development,['FP24'],disk0_bak/00/04/96/22,"The use of synthetic pesticides has been widely practiced by farmers to control plant diseases. However, it can promote negative impacts such as environmental pollution, threatening human health, and making pathogens more resistant. This study aims to determine the inhibition of Trichoderma Tc-Jjr-02 in vitro against Colletotrichum sp. and test its ability as a biopesticide and biofertilizer agent in suppressing the growth of anthracnose disease and chili production. The results show that, there was no interaction effect between the application of Trichoderma Tc-Jjr-02 as a biopesticide and biofertilizer agent. The in vitro test reveals that Trichoderma Tc-Jjr-02 could inhibit the growth of pathogenic colonies up to 61.4% at 11 days after inoculation. In vivo test show, that application of Trichoderma 6 hours before inoculation of pathogens (T1) and Trichoderma inoculation concurrent pathogens (T3) can reduce the symptoms intensity of anthracnose attacks 70% and 43%, respectively, then increasing the number of fresh fruit 62.66% and 76.58%, respectively, also increasing fresh fruit weights 84.83% and 91.90% respectively, compared with the pathogen inoculation treatment six hours before the application of Trichoderma. Thus, Trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent. Using Trichoderma asperellum as biopesticed can protect the environment.",http://repository.lppm.unila.ac.id/id/eprint/49622,2022-08-01 00:00:00.000000000,published,['S1'],,,other,Evaluation of Trichoderma asperellum Effect toward Anthracnose Pathogen Activity on Red Chili (Capsicum annum L.) As Ecofriendly Pesticide,,1063,2023-04-04 05:52:37,,,2023-04-04 05:52:37,,49622,archive,show,,"[{'id': 'sutarman@umsida.ac.id', 'name': {'honourific': None, 'family': 'Sutarman', 'lineage': None, 'given': '.'}}, {'name': {'honourific': None, 'family': 'Setiorini', 'lineage': None, 'given': 'Triana'}, 'id': None}, {'id': None, 'name': {'family': ""Li'aini"", 'lineage': None, 'honourific': None, 'given': 'AS'}}, {'id': 'purnomo.1964@fp.unila.ac.id', 'name': {'given': '.', 'lineage': None, 'family': 'Purnomo', 'honourific': None}}, {'id': None, 'name': {'family': 'Rahmat', 'lineage': None, 'honourific': None, 'given': 'Ali'}}]",http://www.ijesd.org/show-180-1929-1.html,,,,,,,,,,,,,,,,,,
9,public,2023-04-05 02:22:31,pub,4,International Journal of Environmental Science and Development,['FP24'],disk0_bak/00/04/96/44,"The use of synthetic pesticides has been widely practiced by farmers to control plant diseases. However, it can promote negative impacts such as environmental pollution, threatening human health, and making pathogens more resistant. This study aims to determine the inhibition of Trichoderma Tc-Jjr-02 in vitro against Colletotrichum sp. and test its ability as a biopesticide and biofertilizer agent in suppressing the growth of anthracnose disease and chili production. The results show that, there was no interaction effect between the application of Trichoderma Tc-Jjr-02 as a biopesticide and biofertilizer agent. The in vitro test reveals that Trichoderma Tc-Jjr-02 could inhibit the growth of pathogenic colonies up to 61.4% at 11 days after inoculation. In vivo test show, that application of Trichoderma 6 hours before inoculation of pathogens (T1) and Trichoderma inoculation concurrent pathogens (T3) can reduce the symptoms intensity of anthracnose attacks 70% and 43%, respectively, then increasing the number of fresh fruit 62.66% and 76.58%, respectively, also increasing fresh fruit weights 84.83% and 91.90% respectively, compared with the pathogen inoculation treatment six hours before the application of Trichoderma. Thus, Trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent. Using Trichoderma asperellum as biopesticed can protect the environment.",http://repository.lppm.unila.ac.id/id/eprint/49644,2022-08-01 00:00:00.000000000,published,['S1'],,,other,Evaluation of Trichoderma asperellum Effect toward Anthracnose Pathogen Activity on Red Chili (Capsicum annum L.) As Ecofriendly Pesticide,,1063,2023-04-05 02:22:31,,"[{'placement': 1, 'eprintid': 49644, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189282', 'security': 'public', 'main': 'Similarity-IJESD Vol 13 No 4 Agustus 2022.pdf', 'files': [{'filename': 'Similarity-IJESD Vol 13 No 4 Agustus 2022.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/538207', 'filesize': 2893411, 'objectid': 189282, 'mtime': '2023-04-04 13:12:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'c7d20458a24ef3a3b197d078f4fac8d1', 'fileid': 538207, 'datasetid': 'document'}], 'docid': 189282, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2023-04-05 02:22:31,,49644,archive,show,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Sutarman', 'given': '.'}, 'id': 'sutarman@umsida.ac.id'}, {'id': None, 'name': {'given': 'Triana', 'lineage': None, 'family': 'Setiorini', 'honourific': None}}, {'id': None, 'name': {'family': ""Li'aini"", 'lineage': None, 'honourific': None, 'given': 'AS'}}, {'name': {'family': 'Purnomo', 'lineage': None, 'honourific': None, 'given': '.'}, 'id': 'purnomo.1964@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Rahmat', 'given': 'Ali'}, 'id': None}]",http://www.ijesd.org/show-180-1929-1.html,,,,,,,,,,,,,,,,,,
