,subjects,abstract,uri,publisher,divisions,dir,status_changed,full_text_status,rev_number,ispublished,eprintid,eprint_status,datestamp,metadata_visibility,userid,documents,lastmod,type,creators,title,refereed,pagerange,issn,publication,corp_creators,date_type,editors,book_title,number,official_url,volume,event_type,event_title,event_dates,pres_type,event_location,related_url,id_number,contact_email,funders,projects,pages,place_of_pub,isbn,series
0,['S1'],"LEMBAR HASIL PENILAIAN SEJAWAT SEBIDANG ATAU PEER REVIEW KARYA ILMIAH: JURNAL ILMIAH INTERNASIONAL
Identifikasi dan Uji Kisaran Inang Potogen peyebab Penyakit Busuk Lunak pada Tanaman Nanas",http://repository.lppm.unila.ac.id/id/eprint/13404,Universitas Lampung,['FP24'],disk0/00/01/34/04,2019-06-17 03:21:39,public,8,unpub,13404,archive,2019-06-17 03:21:39,show,579,"[{'eprintid': 13404, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26415', 'format': 'text', 'main': '12.pdf', 'files': [{'mtime': '2019-06-16 23:20:40', 'hash_type': 'MD5', 'filename': '12.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/117368', 'objectid': 26415, 'filesize': 5304256, 'mime_type': 'application/pdf', 'hash': 'b3053cd2d6511b88b94936d22aabdb2d', 'datasetid': 'document', 'fileid': 117368}], 'docid': 26415, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-06-17 03:21:39,other,"[{'name': {'given': 'Titik Nur', 'family': 'Aeny', 'lineage': None, 'honourific': None}, 'id': 'titik.nuraeny@fp.unila.ac.id'}, {'name': {'given': '.', 'lineage': None, 'family': 'Desnidasari', 'honourific': None}, 'id': None}, {'id': 'radix.suharjo@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Suharjo', 'honourific': None, 'given': 'Radix'}}, {'id': None, 'name': {'given': 'Sri', 'family': 'Windarti', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Wardhana', 'lineage': None, 'given': 'Rachmansyah A.'}}]",Lembar penilaian : Identifikasi dan Uji Kisaran Inang Potogen peyebab Penyakit Busuk Lunak pada Tanaman Nanas,,,,,,,,,,,,,,,,,,,,,,,,,
1,['S1'],Hasil review artikel biodiversitas : reviewer Suskandini Ratih,http://repository.lppm.unila.ac.id/id/eprint/14350,University of Lampung,['FP24'],disk0/00/01/43/50,2019-09-24 08:46:27,public,8,pub,14350,archive,2019-09-24 08:46:27,show,579,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27406', 'pos': 1, 'eprintid': 14350, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'filesize': 51432, 'objectid': 27406, 'uri': 'http://repository.lppm.unila.ac.id/id/file/124517', 'filename': 'suskandini biodiversitas.pdf', 'hash_type': 'MD5', 'mtime': '2019-09-24 07:34:14', 'datasetid': 'document', 'fileid': 124517, 'mime_type': 'application/pdf', 'hash': '2787bafea9d6d4a089b46b6194793e3a'}], 'main': 'suskandini biodiversitas.pdf', 'docid': 27406}]",2019-09-24 08:46:27,other,"[{'id': 'titik.nuraeny@fp.unila.ac.id', 'name': {'given': 'Titik Nur', 'honourific': None, 'lineage': None, 'family': 'Aeny'}}, {'name': {'honourific': None, 'family': 'Prasetyo', 'lineage': None, 'given': 'Joko'}, 'id': 'joko.prasetyo@fp.unila.ac.id'}, {'id': 'radix.suharjo@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Suharjo', 'lineage': None, 'given': 'Radix'}}, {'id': 'suskandini.ratih@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Dirmawati', 'honourific': None, 'given': 'Suskandini R.'}}, {'id': 'efri.1960@fp.unila.ac.id', 'name': {'given': 'Efri', 'honourific': None, 'lineage': None, 'family': 'Efri'}}, {'id': 'ainin.niswati@fp.unila.ac.id', 'name': {'family': 'Niswati', 'lineage': None, 'honourific': None, 'given': 'Ainin'}}]",Hasil review artikel biodiversitas : reviewer Suskandini Ratih,,,,,,,,,,,,,,,,,,,,,,,,,
2,['S1'],Hasil review artikel biodiversitas. Reviewer : joko prasetyo,http://repository.lppm.unila.ac.id/id/eprint/14347,University of Lampung,['FP24'],disk0/00/01/43/47,2019-09-24 08:46:24,public,9,pub,14347,archive,2019-09-24 08:46:24,show,579,"[{'eprintid': 14347, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27403', 'pos': 1, 'format': 'text', 'main': 'joko biodiversitas.pdf', 'docid': 27403, 'files': [{'mtime': '2019-09-24 07:18:06', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/124492', 'filename': 'joko biodiversitas.pdf', 'filesize': 49335, 'objectid': 27403, 'hash': '7035de5490d11029113f92b69f69fa29', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 124492}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-09-24 08:46:24,other,"[{'id': 'titik.nuraeny@fp.unila.ac.id', 'name': {'given': 'Titik Nur', 'family': 'Aeny', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Prasetyo', 'given': 'Joko'}, 'id': 'joko.prasetyo@fp.unila.ac.id'}, {'name': {'given': 'Radix', 'honourific': None, 'family': 'Suharjo', 'lineage': None}, 'id': 'radix.suharjo@fp.unila.ac.id'}, {'name': {'given': 'Suskandini R.', 'honourific': None, 'family': 'Dirmawati', 'lineage': None}, 'id': 'suskandini.ratih@fp.unila.ac.id'}, {'id': 'efri.1960@fp.unila.ac.id', 'name': {'given': 'Efri', 'honourific': None, 'lineage': None, 'family': 'Efri'}}, {'id': 'ainin.niswati@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Niswati', 'honourific': None, 'given': 'Ainin'}}]",Hasil review artikel biodiversitas. Reviewer : joko prasetyo,,,,,,,,,,,,,,,,,,,,,,,,,
3,['S1'],Hasil review-jurnal biodiver_radix,http://repository.lppm.unila.ac.id/id/eprint/14362,University of Lampung,['FP24'],disk0/00/01/43/62,2019-09-28 05:46:48,public,8,pub,14362,archive,2019-09-28 05:46:48,show,579,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27416', 'eprintid': 14362, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 27416, 'main': 'Biodiversitas_rev_total.pdf', 'files': [{'fileid': 124613, 'datasetid': 'document', 'hash': '2294323ae17ad5d67d16a08b725d47b5', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-09-27 02:48:47', 'filesize': 100313, 'objectid': 27416, 'uri': 'http://repository.lppm.unila.ac.id/id/file/124613', 'filename': 'Biodiversitas_rev_total.pdf'}]}]",2019-09-28 05:46:48,other,"[{'id': 'titik.nuraeny@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Aeny', 'lineage': None, 'given': 'Titik Nur'}}, {'id': 'joko.prasetyo@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Prasetyo', 'given': 'Joko'}}, {'id': 'radix.suharjo@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Suharjo', 'honourific': None, 'given': 'Radix'}}, {'id': 'suskandini.ratih@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Dirmawati', 'lineage': None, 'given': 'Suskandini R.'}}, {'id': 'efri.1960@fp.unila.ac.id', 'name': {'family': 'Efri', 'lineage': None, 'honourific': None, 'given': 'Efri'}}, {'name': {'given': 'Ainin', 'lineage': None, 'family': 'Niswati', 'honourific': None}, 'id': 'ainin.niswati@fp.unila.ac.id'}]",Hasil review-jurnal biodiver_radix,,,,,,,,,,,,,,,,,,,,,,,,,
4,['S1'],"LEMBAR HASIL PENILAIAN SEJAWAT SEBIDANG ATAU PEER REVIEW KARYA ILMIAH: JURNAL ILMIAH NASIONAL TERAKREDITASI DIKTI, Patogenisitas Empat Isolat jamur Beauveria bassiana (Bals) Vull. terhadap Ulat Api (Setothose spp.) di Laboratorium",http://repository.lppm.unila.ac.id/id/eprint/23434,Universitas Lampung,['FP24'],disk0/00/02/34/34,2020-07-29 09:20:06,public,7,unpub,23434,archive,2020-07-29 09:20:06,show,158,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-07-27 05:06:42', 'filesize': 1331466, 'objectid': 37057, 'filename': 'Patogenisitas Empat Isolat Jamur.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/214343', 'datasetid': 'document', 'fileid': 214343, 'hash': '83b23670d4a51340a138e030eb6a4c3f', 'mime_type': 'application/pdf'}], 'main': 'Patogenisitas Empat Isolat Jamur.pdf', 'docid': 37057, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37057', 'security': 'public', 'placement': 1, 'eprintid': 23434}]",2020-07-29 09:20:06,other,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Anggraini', 'given': 'Windari'}}, {'name': {'given': 'Yuyun', 'family': 'Fitriana', 'lineage': None, 'honourific': None}, 'id': 'yuyun.fitriana@fp.unila.ac.id'}, {'name': {'family': 'Hariri', 'lineage': None, 'honourific': None, 'given': 'Agus M.'}, 'id': 'agus.muhammad@fp.unila.ac.id'}, {'name': {'given': '.', 'family': 'Purnomo', 'lineage': None, 'honourific': None}, 'id': 'purjomo@yahoo.com'}]",Patogenisitas Empat Isolat jamur Beauveria bassiana (Bals) Vull. terhadap Ulat Api (Setothose spp.) di Laboratorium,,,,,,,,,,,,,,,,,,,,,,,,,
5,['S1'],"LEMBAR HASIL PENILAIAN SEJAWAT SEBIDANG ATAU PEER REVIEW KARYA ILMIAH: JURNAL ILMIAH NASIONAL TERAKREDITASI DIKTI, Keanekaragaman Arthropoda pada Pertanaman Tomat dengan Sistem Pertanaman Berbeda di Kabupaten Tanggamus Lampung",http://repository.lppm.unila.ac.id/id/eprint/23441,Universitas Lampung,['FP24'],disk0/00/02/34/41,2020-07-29 09:20:40,public,7,unpub,23441,archive,2020-07-29 09:20:40,show,158,"[{'placement': 1, 'eprintid': 23441, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37063', 'pos': 1, 'security': 'public', 'docid': 37063, 'main': 'Keanekaragamn Arthopoda pada Pertanaman Tomat.pdf', 'files': [{'hash': 'bacab47711dba010234402e2c948e6b2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 214381, 'mtime': '2020-07-27 05:38:22', 'hash_type': 'MD5', 'filename': 'Keanekaragamn Arthopoda pada Pertanaman Tomat.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/214381', 'filesize': 1384646, 'objectid': 37063}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-07-29 09:20:40,other,"[{'id': 'herlindaramadanti17februari@gmail.com', 'name': {'given': 'Herlinda Rama', 'honourific': None, 'family': 'Danti', 'lineage': None}}, {'name': {'given': 'Yuyun', 'family': 'Fitriana', 'lineage': None, 'honourific': None}, 'id': 'yuyun.fitriana@fp.unila.ac.id'}, {'name': {'given': 'Agus M.', 'lineage': None, 'family': 'Hariri', 'honourific': None}, 'id': 'agus.muhammad@fp.unila.ac.id'}, {'id': 'purjomo@yahoo.com', 'name': {'honourific': None, 'family': 'Purnomo', 'lineage': None, 'given': '.'}}]",Keanekaragaman Arthropoda pada Pertanaman Tomat dengan Sistem Pertanaman Berbeda di Kabupaten Tanggamus Lampung,,,,,,,,,,,,,,,,,,,,,,,,,
6,['S1'],"Abstrak
Salah satu gangguan pertanaman tebu adalah  lapuk akar dan lapuk pangkal
batang tebu yang disebabkan oleh Xylaria sp. Walaupun Xylaria sp merupakan
cendawan saprofit namun perlu pengendalian berupa aplikasi agensia hayati.
Tujuan penelitian adalah menyeleksi cendawan yang dapat berpotensi sebagai
cendawan antagonis yang mampu menghambat pertumbuhan Xylaria sp.
Penelitian dilaksanakan di Laboratorium Bioteknologi Fakultas Pertanian
Universitas Lampung bulan Mei sampai Agustus 2016. Penelitian  tahap pertama
berupa seleksi cendawan yang berpotensi sebagai antagonis berdasarkan daya
hambat penelitian menggunakan rancangan acak lengkap (RAL).  Penelitian tahap
dua adalah seleksi isolat cendawan yang berpotensi sebagai antagonis
berdasarkan pertumbuhan koloni, kerapatan spora dan viabilitas spora
menggunakan rancangan acak kelompok (RAK) yang dikelompokkan berdasarkan
ulangan sebanyak tiga kali. Data yang diperoleh kemudian dianalisis dengan
menggunakan sidik ragam dan dilanjutkan dengan uji Duncan pada taraf 5%.
Hasil penelitian diperoleh 34 isolat cendawan yang berpotensi sebagai agensia
hayati dan terdapat 3 isolat unggulan dari genus Trichoderma sp.
Kata kunci: Cendawan antagonis, Trichoderma sp., Xylaria sp.
Abstract
One of the problems found in sugar cane plantation is root and basal stem rots
caused by Xylaria sp. Even though it belongs to saprophpyte fungi, Xylaria sp.,
needs to be controlled through life agenct application. The purpose of the present
study was to select potential fungi to supress the growth of Xylaria sp. The study
was conducted in the Laboratory of Biotechnology of Agriculture Department,
Lampung Universiy, from May to August 2016. The first stage of this research was
selection of potential fungi based on supressive ability. At this stage, the research
was designed using complete randomized design (CRD). The second stage was
selection of isolates in fungi potential to be antagonyst based on growth of the
colony, and density and viability of spore. At this stage, the research was designed
using complete randomized block design and conducted in three replications. The
collected data were then analysed using ANOVA and continued with Dunncan test
at 5% confidence. The research showed that there were 34 isolates of fungi",http://repository.lppm.unila.ac.id/id/eprint/9399,Universitas Haluoleo Kendari,['FP24'],disk0/00/00/93/99,2018-11-04 13:30:14,public,6,pub,9399,archive,2018-11-04 13:30:14,show,330,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22449', 'eprintid': 9399, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 22449, 'main': 'Prosiding Seminar Nasional dan Kongres PFI Kendari cmprd.pdf', 'files': [{'objectid': 22449, 'filesize': 234093, 'filename': 'Prosiding Seminar Nasional dan Kongres PFI Kendari cmprd.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/89734', 'hash_type': 'MD5', 'mtime': '2018-11-03 08:54:55', 'fileid': 89734, 'datasetid': 'document', 'hash': 'bd058abfe9176e6b50a4a063a108be08', 'mime_type': 'application/pdf'}]}]",2018-11-04 13:30:14,article,"[{'id': None, 'name': {'given': 'Suskandini R.', 'honourific': None, 'lineage': None, 'family': 'Dirmawati'}}, {'id': 'efri.1960@fp.unila.ac.id', 'name': {'given': 'Efri', 'lineage': None, 'family': 'Efri', 'honourific': None}}, {'name': {'given': 'Radix', 'family': 'Suharjo', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'Annisa', 'family': 'Rachmawati', 'lineage': None, 'honourific': None}, 'id': None}]","SKRINING CENDAWAN ANTAGONIS TERHADAP CENDAWAN Xylaria
sp. PENYEBAB PENYAKIT LAPUK AKAR DAN PANGKAL
BATANG TEBU",TRUE,172-183,2622-2991,PROSIDING SEMINAR NASIONAL & KONGRES PERHIMPUNAN FITOPATOLOGI INDONESIA,['Universitas Lampung'],published,,,,,,,,,,,,,,,,,,,
7,['S1'],"ABSTRAK 
C. lunata dikenal sebagai penyebab bercak daun nenas namun sejak 2014 di Brazilia dilaporkan juga
menyebabkan busuk buah nenas.  Sebagai penghasil nenas, maka provinsi Lampung mengantisipasi meluasnya C.
lunata dengan berbagai upaya di antaranya aplikasi Trichoderma spp.  Penelitian ini bertujuan untuk menguji
keefektifan Trichoderma spp. mengendalikan Curvularia lunata in vitro maupun insitu.  Penelitian dilaksanakan di
Laboratorium Penyakit Tanaman, Proteksi Tanaman Fakultas Pertanian Universitas Lampung.  Penelitian
dilaksanakan Tahun 2016 sampai dengan 2017.  Nenas bergejala bercak daun dari Kecamatan Punggur, Lampung
Tengah terserang C. lunata, 5 isolat Trichoderma sp. (Punggur, Gading Rejo, Trimurjo, Semuli Raya, dan Unila 01). 
Analisis ragam menunjukkan pengaruh nyata pada perlakuan, dilanjutkan uji lanjutan dengan Uji BNT (Beda
Nyata Terkecil) pada taraf 5%.  Hasil penelitian menunjukkan Trichoderma spp. Punggur menghambat laju
pertumbuhan C. lunata dalam hal kecepatan pertumbuhan serta viabilitas spora, Trichoderma spp.Unila 01
menghambat C. lunata diindikasikan karena penurunan  kerapatan spora.  Kelima isolat Trichoderma spp. mampu
menghambat C. lunata secara in vitro dengan persentase  Trichoderma spp.  Semuli Raya 55,97 %, Trichoderma
spp. Trimurjo 62,12 %, Trichoderma spp. Gading Rejo 64,19 %, Trichoderma spp.Unila  01 sebesar 53,67 %,
danTrichoderma spp.  Punggur 66,19 %.  IsolatTrichoderma spp. insitu Punggur menghambat C. lunata secara in
planta dengan tingkat penurunan keparahan 20%.  

 
Kata kunci:  Buah, Busuk,  Curvularia, Daun, Nenas, Trichoderma
 
 
ABSTRACT
 

C. lunata is known to cause pineapple leaf spot but since 2014 in Brazil it has also been reported to
cause pineapple rot. As a pineapple producer, the Lampung province anticipates the expansion of C.
lunata with various efforts including the Trichoderma spp application. This study aims to examine the
effectiveness of Trichoderma spp. to control Curvularia lunata in vitro and insitu. The study was
conducted at the Laboratory of Plant Disease, Plant Protection Department, Faculty of Agriculture,
Lampung University. The study was carried out in 2016 to 2017. Pineapple symptomatic leaf spot from
Punggur District, Central Lampung was attacked by C. lunata, 5 isolates of Trichoderma sp. (Punggur,
Gading Rejo, Trimurjo, Semuli Raya, and Unila 01). Analysis of variance showed a significant effect on
the treatment, followed by further testing with BNT Test (Smallest Real Difference) at the level of 5%.
The results showed Trichoderma spp. Punggur inhibits the growth rate of C. lunata by  growth velocity
and spore viability. Trichoderma spp. Unila 01 inhibits C. lunata  by a decrease in spore density. The
five Trichoderma spp. isolates inhibit C. lunata in vitro with the percentage of Trichoderma spp. Semuli
Raya 55.97%, Trichoderma spp. Trimurjo 62.12%, Trichoderma sp. Gading Rejo 64.19%, Trichoderma sp. Unila 01 53.67%,  Trichoderma sp Punggur 66.19%.  Isolate Trichoderma spp. insitu Punggur
inhibits C. lunata in planta with a decrease in severity of 20%.


Keywords: Curvularia, Fruit, Leaves, Pineapple,Rot, Trichoderma",http://repository.lppm.unila.ac.id/id/eprint/9404,,['FP24'],disk0/00/00/94/04,2018-11-03 09:20:45,public,7,submitted,9404,archive,2018-11-03 09:20:45,show,330,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22452', 'security': 'public', 'placement': 1, 'eprintid': 9404, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Suskandini_Full_Paper-FKPTPI_2018.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-11-03 09:03:56', 'objectid': 22452, 'filesize': 665624, 'uri': 'http://repository.lppm.unila.ac.id/id/file/89751', 'filename': 'Suskandini_Full_Paper-FKPTPI_2018.pdf', 'fileid': 89751, 'datasetid': 'document', 'hash': 'f8484f6b4efd3b4d7220a8f7c8d70dcb', 'mime_type': 'application/pdf'}], 'docid': 22452, 'format': 'text'}]",2018-11-03 09:20:45,article,"[{'id': 'suskandini.ratih@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Dirmawati', 'given': 'Suskandini R.'}}, {'name': {'given': 'Radix', 'honourific': None, 'lineage': None, 'family': 'Suharjo'}, 'id': None}, {'name': {'given': 'Efri', 'honourific': None, 'lineage': None, 'family': 'Efri'}, 'id': 'efriyusuf@gmail.com'}, {'name': {'given': 'Ferdi', 'honourific': None, 'family': 'Purwandriya', 'lineage': None}, 'id': None}]","UPAYA PENGENDALIAN BUSUK CURVULARIA PADA NENAS 
(ANANAS COMOSUS L.) KULTIVAR MD2 MELALUI APLIKASI  
TRICHODERMA Spp.
 

APPLICATION TRICHODERMA Spp. TO PROTECT PINEAPPLE MD2 CULTIVAR  
AGAINST CURVULARIA ROT",TRUE,,,Seminar dan lokakarya nasional FKPTPI 2018 di Aceh,['Universitas Lampung'],,,,,,,,,,,,,,,,,,,,
8,['S1'],"LEMBAR HASIL PENILAIAN SEJAWAT SEBIDANG ATAU PEER REVIEW KARYA ILMIAH: JURNAL ILMIAH NASIONAL TERAKREDITASI DIKTI, Pengujian Efikasi Cendawan Metarhizium anisopliae S.L. pada Hama Ulat Api (Setothosea asigna) di Laboratorium",http://repository.lppm.unila.ac.id/id/eprint/23435,Universitas Lampung,['FP24'],disk0/00/02/34/35,2020-07-29 09:20:10,public,7,unpub,23435,archive,2020-07-29 09:20:10,show,158,"[{'eprintid': 23435, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37058', 'pos': 1, 'format': 'text', 'main': 'Pengujian Efikasi Cendawan.pdf', 'docid': 37058, 'files': [{'datasetid': 'document', 'fileid': 214349, 'hash': 'bb1a688047731e85c9d58c4d32a20806', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-07-27 05:12:50', 'objectid': 37058, 'filesize': 1356390, 'uri': 'http://repository.lppm.unila.ac.id/id/file/214349', 'filename': 'Pengujian Efikasi Cendawan.pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2020-07-29 09:20:10,other,"[{'id': 'yunidzulhia@icloud.com', 'name': {'given': 'Yuni', 'family': 'Dzulhia', 'lineage': None, 'honourific': None}}, {'name': {'given': 'FX', 'honourific': None, 'lineage': None, 'family': 'Susilo'}, 'id': 'fx.susilo@fp.unila.ac.id'}, {'id': 'agus.muhammad@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Hariri', 'honourific': None, 'given': 'Agus M.'}}, {'id': 'yuyun.fitriana@fp.unila.ac.id', 'name': {'given': 'Yuyun', 'honourific': None, 'family': 'Fitriana', 'lineage': None}}]",Pengujian Efikasi Cendawan Metarhizium anisopliae S.L. pada Hama Ulat Api (Setothosea asigna) di Laboratorium,,,,,,,,,,,,,,,,,,,,,,,,,
9,['S1'],,http://repository.lppm.unila.ac.id/id/eprint/5203,UNIVERSITAS LAMPUNG – BALITBANGDA LAMPUNG TENGAH,['FP24'],disk0/00/00/52/03,2017-11-10 15:22:58,public,15,pub,5203,archive,2017-11-10 15:22:58,show,1016,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/24742', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 5203, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Buku Cassava.pdf', 'docid': 24742, 'files': [{'objectid': 24742, 'filesize': 6016438, 'uri': 'http://repository.lppm.unila.ac.id/id/file/106005', 'filename': 'Buku Cassava.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-06 05:27:13', 'fileid': 106005, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'd61ed04fc4cf3ba563a544caddb5e159'}], 'format': 'text'}]",2019-05-06 05:27:13,book_section,"[{'id': 'efriyusuf@gmail.com', 'name': {'family': 'Efri', 'lineage': None, 'honourific': None, 'given': 'Efri'}}]",BEBERAPA PENYAKIT PENTING TANAMAN CASSAVA,TRUE,46-56,,,,,"[{'id': 'udin.hasanudin@fp.unila.ac.id', 'name': {'given': 'Hasanudin', 'lineage': None, 'family': 'udin', 'honourific': None}}, {'id': 'msyamshadi@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Hadi', 'given': 'Muhammad Syamsoel'}}, {'id': None, 'name': {'family': 'ERWIN', 'lineage': None, 'honourific': None, 'given': 'YULIADI'}}, {'id': 'kukuhsetiawan38@gmail.com', 'name': {'lineage': None, 'family': 'Setiawan', 'honourific': None, 'given': 'Kukuh'}}]","CASSAVA: BIBIT, PRODUKSI, MANFAAT, DAN PASCA PANEN",,,,,,,,,,,,,,,,,
