,publisher,publication,divisions,dir,full_text_status,status_changed,rev_number,ispublished,date_type,subjects,abstract,volume,uri,date,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,issn,event_dates,pres_type,event_location,event_type,event_title,corp_creators,related_url
0,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/67/67,public,2018-04-25 07:52:51,6,pub,published,['QA'],"Graf Hamiltonian merupakan salah satu jenis graf dimana graf tersebut mengandung graf sirkuit yang tiap vertex-nya berderajat dua. Loop Networks adalah jaringan yang memiliki paling sedikit satu struktur Ring (cycle atau sirkuit). Double Loop Network, dinotasikan G (n;s1,s2) yaitu digraph atau graf berarah dengan n vertex { 0, 1, 2, …, n − 1} dan 2n edge dengan arah i menuju i+s1(mod n) dan dan i menuju i+s2(mod n) dimana dan vertex yang dipilih. Pada penelitian ini akan didiskusikan tentang pembentukan dua sifat Hamiltonian cycle pada Double Loop Network",1.0,http://repository.lppm.unila.ac.id/id/eprint/6767,2013-05-10 00:00:00.000000000,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Aliana', 'given': 'Dina Fitri'}, 'id': None}, {'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}}]",PEMBENTUKAN HAMILTONIAN CYCLE PADA DOUBLE LOOP NETWORKS,TRUE,2018-04-25 07:52:51,6767,archive,show,1-8,791,1.0,http://fmipa.unila.ac.id/,2018-04-25 07:52:51,"[{'placement': 1, 'eprintid': 6767, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19734', 'security': 'public', 'docid': 19734, 'main': 'Prisiding BKS PTN B 2013_Dina_Wamiliana_Fitriani.pdf', 'files': [{'fileid': 62039, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9d06149c73cc3fded3e9e7dc1ca8c78c', 'hash_type': 'MD5', 'mtime': '2018-04-20 03:08:15', 'objectid': 19734, 'filesize': 1024858, 'filename': 'Prisiding BKS PTN B 2013_Dina_Wamiliana_Fitriani.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62039'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,,,,,,,
1,FMIPA Unila,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/68/25,public,2018-04-25 06:37:01,6,pub,published,['QA'],"Graf Hamiltonian merupakan salah satu jenis graf dimana graf tersebut mengandung graf sirkuit yang tiap vertex-nya berderajat dua. Loop Networks adalah jaringan yang memiliki paling sedikit satu struktur Ring (cycle atau sirkuit). Double Loop Network, dinotasikan G (n; s1, s2 ) yaitu digraph atau graf berarah dengan n vertex { 0, 1, 2, …, n − 1} dan 2n edge dengan arah i menuju i+s1 (mod n) dan i menuju i+s2 (mod n) dan dimana s1 dan s2 vertex yang dipilih. Pada penelitian ini akan didiskusikan tentang pembentukan dua sifat Hamiltonian cycle pada Double Loop Network",1.0,http://repository.lppm.unila.ac.id/id/eprint/6825,2013-05-10 00:00:00.000000000,article,"[{'id': None, 'name': {'given': 'Dina Fitri', 'honourific': None, 'family': 'Allana', 'lineage': None}}, {'id': 'wamiliana@gmail.com', 'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}}, {'name': {'given': 'Fitriani', 'family': 'Fitriani', 'lineage': None, 'honourific': None}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",Pembentukan Hamiltonian Cycle pada Double Loop Networks,TRUE,2018-04-25 06:37:01,6825,archive,show,1-8,263,1.0,,2018-04-25 06:37:01,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Prisiding BKS PTN B 2013_Dina_Wamiliana_Fitriani.pdf', 'docid': 19798, 'files': [{'fileid': 62516, 'datasetid': 'document', 'hash': '9d06149c73cc3fded3e9e7dc1ca8c78c', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-25 04:43:52', 'objectid': 19798, 'filesize': 1024858, 'filename': 'Prisiding BKS PTN B 2013_Dina_Wamiliana_Fitriani.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62516'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19798', 'security': 'public', 'placement': 1, 'eprintid': 6825}]",,,,,,,,
2,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat,GRAF LOBSTER BERBILANGAN KROMATIK LOKASI EMPAT,['FMIPA9'],disk0/00/00/67/33,public,2018-04-25 08:03:01,6,pub,published,['QA'],"Misalkan G=(V,E) adalah graf terhubung dan c suatu pewarnaan-k sejati dari G . Misal-kan pula Π={C1,C2,...,C3} merupakan partisi dari V(G) yang diinduksi oleh pewarnaan c. Kode warna, cΠ(v) dari v adalah koordinat (d(v,C1),d(v,C2),...,d(v,Ck)) dengan d(v,Ci)=min{d(v,x)|x∈Ci} untuk 1 <= i <= k. Jika semua titik di G mempunyai kode warna berbeda, maka c disebut pewarnaan lokasi . Bilangan kromatik lokasi dari G ,
dinotasikan dengan XL(G), adalah bilangan terkecil k sehingga G mempunyai pewarnaan-k lokasi. Pada paper ini akan dibahas sebuah graf lobster berbilangan kromatik lokasi empat.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6733,2013-05-10 00:00:00.000000000,article,"[{'id': 'asmiati308@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Asmiati', 'given': 'Asmiati'}}]",GRAF LOBSTER BERBILANGAN KROMATIK LOKASI EMPAT,TRUE,2018-04-25 08:03:01,6733,archive,show,1-3,821,1.0,,2018-04-25 08:03:02,"[{'main': 'Prosiding Seminar BKS PTN B 2013 Asmiati.pdf', 'docid': 19702, 'files': [{'datasetid': 'document', 'fileid': 61847, 'hash': '55d9250b08f8ca53f832d4c9bb21d91f', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-17 07:43:06', 'filesize': 95419, 'objectid': 19702, 'filename': 'Prosiding Seminar BKS PTN B 2013 Asmiati.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61847'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 6733, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19702', 'security': 'public'}]",,,,,,,,
3,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN 2013,['FMIPA9'],disk0/00/00/68/06,public,2018-04-25 04:26:04,6,pub,published,['QA'],Ide dasar teknik analitik HAM didasarkan pada deret Taylor. Validitas HAM tidak bergantung pada ada tidaknya parameter kecil pada persamaan diferensial taklinear. Karena itu teknik analitik ini lebih baik bila digunakan untuk menyelesaikan masalah– masalah tak linear.,1.0,http://repository.lppm.unila.ac.id/id/eprint/6806,2013-05-10 00:00:00.000000000,article,"[{'name': {'lineage': None, 'family': 'Aziz', 'honourific': None, 'given': 'Dorrah'}}]",Aplikasi Homotopy Analysis Method (HAM) pada PDB Sederhana,TRUE,2018-04-25 04:26:04,6806,archive,show,1-5,996,1.0,http://fmipa.unila.ac.id/,2018-04-25 04:26:04,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19778', 'pos': 1, 'eprintid': 6806, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 19778, 'main': 'Prosiding BKS PTN B 2013 Dorrah Azis.pdf', 'files': [{'fileid': 62298, 'datasetid': 'document', 'hash': '02e6ea043706dd71dfd2befd094577d9', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-24 06:47:43', 'objectid': 19778, 'filesize': 41692, 'filename': 'Prosiding BKS PTN B 2013 Dorrah Azis.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62298'}]}]",,,,,,,,
4,Indonesian Combinatorics,Electronic Journal of Graph Theory and Applications,['FMIPA9'],disk0/00/00/39/04,public,2017-09-15 01:19:36,6,pub,published,['QA'],"Let c be a proper k-coloring of a connected graph G. Let � = fS1; S2; : : : ; Skg be the induced
partition of V (G) by c, where Si is the partition class having all vertices with color i. The color
code c�(v) of vertex v is the ordered k-tuple (d(v; S1); d(v; S2); : : : ; d(v; Sk)), where d(v; Si) =
minfd(v; x)jx 2 Sig, for 1 � i � k. If all vertices of G have distinct color codes, then c is called a
locating-coloring of G. The locating-chromatic number of G, denoted by �L(G), is the smallest k
such that G posses a locating k-coloring. Clearly, any graph of order n � 2 has locating-chromatic
number k, where 2 � k � n. Characterizing all graphs with a certain locating-chromatic number
is a difficult problem. Up to now, all graphs of order n with locating chromatic number 2; n",1.0,http://repository.lppm.unila.ac.id/id/eprint/3904,1970-01-01 00:00:00.000002013,article,"[{'name': {'given': 'Edy Tri', 'family': 'Baskoro', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'asmiati308@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Asmiati', 'given': 'Asmiati'}}]","Characterizing all trees with locating-chromatic
number 3",TRUE,2017-09-15 01:19:36,3904,archive,show,109-117,821,2.0,http://ejgta.org/index.php/ejgta,2017-09-15 01:19:36,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Characterizing all trees with locating-chromatic 3.pdf', 'docid': 3765, 'files': [{'hash': '7327dbf296171b80183da2934b7e1b10', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 27335, 'filename': 'Characterizing all trees with locating-chromatic 3.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/27335', 'filesize': 420479, 'objectid': 3765, 'mtime': '2017-09-13 00:50:05', 'hash_type': 'MD5'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3765', 'pos': 1, 'eprintid': 3904, 'placement': 1}]",2338-2287,,,,,,,
5,"The First International Confrence on Law, Bussiness & Governance",,['FMIPA9'],disk0/00/01/86/73,public,2020-03-13 08:49:54,7,pub,published,['AC'],Hasil Penilaian Sejawat Sebidang atau Peereveview Karya Ilmiah: Jurnal Ilmiah Internasional,,http://repository.lppm.unila.ac.id/id/eprint/18673,1970-01-01 00:00:00.000002013,other,"[{'name': {'given': 'Kurniasari', 'honourific': None, 'lineage': None, 'family': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}]",Application of factor analysis to public sector integrity  in Indonesia,,2020-03-13 08:49:54,18673,archive,show,,752,,,2020-03-13 08:49:54,"[{'placement': 1, 'eprintid': 18673, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31846', 'security': 'public', 'files': [{'filename': 'IS23% - A19 - APPLICATION_OF_FACTOR_ANALYSIS_TO_PUBLIC_SECTOR_IN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/156845', 'objectid': 31846, 'filesize': 4736583, 'mtime': '2020-03-13 04:34:55', 'hash_type': 'MD5', 'hash': 'f9f672565a805277ab389cf6c96ced04', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 156845}], 'main': 'IS23% - A19 - APPLICATION_OF_FACTOR_ANALYSIS_TO_PUBLIC_SECTOR_IN.pdf', 'docid': 31846, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,,,,,,,
6,,,['FMIPA9'],disk0/00/00/13/19,public,2016-12-16 01:17:57,7,pub,published,['QA'],"Misalkan  R  ring  dengan  elemen  satuan,(S, . , ≤)  monoid  terurut  tegas,  dan ω:S→End(R) homomorfisma monoid.  Himpunan semua fungsi dari S ke R dengan support  Artin  dan  narrow  yang  dilengkapi  dengan  operasi  penjumlahan  dan  pergandaan, merupakan suatu ring yang disebut Ring Deret Pangkat Teritlak Miring (RDPTM) dan  dinotasikan  dengan  R[[S, ω,≤]]  atauR[[S, ω]]. Jika  I  ideal  dari  R,  maka  dapat  dibentuk  himpunan R/I yang  merupakan  ring  yang  disebut  dengan  ring  faktor.  Dalam  tulisan  ini dibahas  tentang  pembentukan  ring  faktor  pada  RDPTM,  yaitu  ring  faktor  
R[[S, ω]]/ I[[S, ω]]  dengan  I[[S, ω]]  adalah  ideal  di  RDPTM  R[[S, ω]]. Selanjutnya, ditunjukkan juga bahwa ring faktor pada RDPTM isomorfik dengan RDPTM atas ring  faktor  R/I  , yaitu  (R[[S,ω]])⁄(I[[S,ω]])≅(R⁄I)[[S,μ]].",,http://repository.lppm.unila.ac.id/id/eprint/1319,2013-05-01 00:00:00.000000000,conference_item,"[{'id': 'faisol_mathunila@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Faisol', 'given': 'Ahmad'}}]","Pembentukan Ring Faktor Pada Ring Deret Pangkat Teritlak 
Miring",TRUE,2016-12-16 01:17:57,1319,archive,show,1-5,300,,http://jurnal.fmipa.unila.ac.id/index.php/semirata/article/view/698,2016-12-16 01:17:57,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1193', 'pos': 1, 'eprintid': 1319, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Pembentukan Ring Faktor Pada Ring Deret Pangkat Teritlak Prosiding semirata 2013.pdf', 'files': [{'mtime': '2016-12-15 03:33:34', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8847', 'filename': 'Pembentukan Ring Faktor Pada Ring Deret Pangkat Teritlak Prosiding semirata 2013.pdf', 'filesize': 690960, 'objectid': 1193, 'hash': '2a84c8182fb4ed899a5913f0cd8e6863', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 8847}], 'docid': 1193}]",,10-12 Mei 2013,paper,FMIPA Universitas Lampung,conference,Semirata FMIPA 2013,,
7,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/68/33,public,2018-05-28 03:38:10,6,pub,published,['QA'],"Misalkan R adalah ring dengan elemen satuan 1 ≠ 0 dan M adalah R-modul. Submodul U dikatakan submodul distributif lemah dari M jika U=U∩X+U∩Y untuk setiap submodul X,Y⊆M sedemikian sehingga X+Y=M ܺ  R-modul M dikatakan modul distributif lemah jika setiap submodulnya merupakan submodul distributif lemah. Modul distributif lemah merupakan generalisasi dari modul distributif. Salah satu contoh modul distributif lemah adalah modul duo. Dalam tulisan ini akan dibahas mengenai syarat perlu suatu modul merupakan modul distributif lemah dan sifat ring endomorfisma dari modul distributif lemah",1.0,http://repository.lppm.unila.ac.id/id/eprint/6833,2013-05-10 00:00:00.000000000,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Fitriani', 'given': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",Syarat Perlu Suatu Modul Merupakan Modul Distributif Lemah dan Ring Endomorfisma dari Modul Distributif Lemah,TRUE,2018-05-28 03:38:10,6833,archive,show,1-6,263,1.0,http://fmipa.unila.ac.id/,2018-05-28 03:38:10,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Prosiding BKS PTN B 2013 Fitriani.pdf', 'docid': 19807, 'files': [{'filesize': 179928, 'objectid': 19807, 'filename': 'Prosiding BKS PTN B 2013 Fitriani.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62569', 'hash_type': 'MD5', 'mtime': '2018-04-25 05:54:21', 'fileid': 62569, 'datasetid': 'document', 'hash': 'ed27c6b243d5798b70fdbc6c83d09fa7', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19807', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6833}]",,,,,,,,
8,,,['FMIPA9'],disk0/00/00/13/17,public,2016-12-15 01:06:22,7,pub,published,['QA'],"Misalkan  R  adalah  ring  dengan  elemen  satuan dan M adalah  R-modul. Submodul  U  dikatakan  submodul  distributif  lemah  dari  M  jika U=U∩X+U∩Y  untuk setiap submodul X,Y di M sedemikian sehingga  X + Y = M. R-modul M dikatakan modul distributif lemah jika setiap submodulnya merupakan submodul distributif lemah. Modul distributif lemah merupakan generalisasi dari modul distributif. Salah satu contoh modul  distributif  lemah  adalah  modul  duo.  Dalam  tulisan  ini  akan  dibahas  mengenai  syarat perlu suatu modul merupakan modul distributif lemah dan sifat ring endomorfisma dari modul distributif lemah.",,http://repository.lppm.unila.ac.id/id/eprint/1317,1970-01-01 00:00:00.000002013,conference_item,"[{'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'family': 'Fitriani', 'lineage': None, 'honourific': None, 'given': 'Fitriani'}}]","yarat Perlu Suatu Modul Merupakan Modul Distributif 
Lemah dan Ring Endomorfisma dari Modul Distributif 
Lemah",TRUE,2016-12-15 01:06:22,1317,archive,show,239-245,263,,http://jurnal.fmipa.unila.ac.id/index.php/semirata/article/view/883,2016-12-15 01:06:22,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 1191, 'main': 'yarat Perlu Suatu Modul Merupakan Modul Distributif Prosiding semirata 2013.pdf', 'files': [{'hash': '98921dbbe811c9374f300ef5dfda7140', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 8831, 'mtime': '2016-12-14 06:25:45', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8831', 'filename': 'yarat Perlu Suatu Modul Merupakan Modul Distributif Prosiding semirata 2013.pdf', 'filesize': 554120, 'objectid': 1191}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1191', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1317}]",,10-12 Mei 2013,paper,FMIPA Universitas Lampung,conference,Semirata FMIPA 2013,,
9,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/67/73,public,2018-04-25 07:56:26,8,pub,published,['QA'],"Turnamen Round-Robin adalah turnamen yang memiliki sistem pertandingan dimana setiap tim dalam turnamen akan bertanding dengan tim lainnya sebanyak satu kali. Turnamen Round-Robin akan direpresentasikan ke dalam bentuk graf lengkap berarah dengan orde 10 dan11 dengan menggunakan dua metode, yaitu untuk turnamen dengan jumlah vertex genap digunakan Metode Penjadwalan dengan menggunakan Kongruen Modulo, dan turnamen
dengan jumlah vertex ganjil digunakan Metode Rotational Turnament. Penelitian ini bertujuan untuk mengkaji aplikasi graf Hamiltonian dan merepresentasikan turnamen Round-Robin dalam bentuk matriks turnamen. Dari hasil penelitian ini dapat disimpulkan bahwa bentuk graf turnamen yang diperoleh dengan jumlah vertex genap yaitu 10 vertex, sirkuit Hamiltonian yang terbentuk sebanyak 3 buah, sedangkan untuk turnamen dengan jumlah vertex ganjil yaitu 11 vertex, sirkuit Hamiltonian yang terbentuk sebanyak 5 buah.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6773,2013-05-10 00:00:00.000000000,article,"[{'name': {'family': 'Harisman', 'lineage': None, 'honourific': None, 'given': 'Novenza'}, 'id': 'novenzaharisman@yahoo.com'}, {'name': {'given': 'Wamiliana', 'honourific': None, 'lineage': None, 'family': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'lineage': None, 'family': 'Fitriani', 'honourific': None, 'given': 'Fitriani'}}]",Representasi Turnamen Round-Robin Dengan Menggunakan Graf Hamiltonian dan Matriks,TRUE,2018-04-25 07:56:26,6773,archive,show,1-8,791,1.0,http://fmipa.unila.ac.id/,2018-04-25 07:56:26,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19743', 'eprintid': 6773, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Prosiding BKS PTN B 2013 Novenza Harisman_Wamiliana_Fitriani.pdf', 'docid': 19743, 'files': [{'objectid': 19743, 'filesize': 584114, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62089', 'filename': 'Prosiding BKS PTN B 2013 Novenza Harisman_Wamiliana_Fitriani.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-20 03:38:07', 'fileid': 62089, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'fab8bf33e9c712f3515309bc63ebbaa2'}]}]",,,,,,,,
