,date,uri,abstract,date_type,subjects,event_title,ispublished,rev_number,full_text_status,status_changed,event_type,divisions,dir,lastmod,official_url,documents,userid,metadata_visibility,pagerange,datestamp,referencetext,eprint_status,eprintid,event_location,title,event_dates,refereed,creators,pres_type,type,corp_creators,publisher,publication,issn,number,volume,related_url,id_number,place_of_pub,contact_email,succeeds,isbn,pages,series,contributors,note,funders,projects
0,2018-11-19 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11888,"Penelitian ini bertujuan untuk menentukan karakteristik dari fungsi phi (∅) Euler, membuktikan sifat-sifat fungsi phi (∅) Euler serta membuktikan apakah fungsi phi (∅) Euler
merupakan fungsi multiplikatif. Untuk memperlihatkannya jika m dan n adalah bilangan bulat positif dan fpb(݉, ݊) = 1, maka ∅(݉݊) ≤ ∅(݉)∅(݊) dan juga ∅(݉݊) ≥ ∅(݉)∅(݊).
Kata kunci: Fungsi phi, Fungsi Euler, Persamaan Karakteristik",completed,"['Q1', 'QA']",Seminar Nasional Metode Kuantitatif II 2018,pub,10,public,2019-05-09 03:08:26,conference,['FMIPA9'],disk0/00/01/18/88,2019-05-09 03:08:26,http://matematika.fmipa.unila.ac.id/wp-content/uploads/2019/04/Prosiding-Seminar-Nasional-Metote-Kuantitatif-2018.pdf,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2019-05-07 04:12:28', 'objectid': 24874, 'filesize': 9709647, 'filename': 'Prosiding-SemNas-MeKuant2018.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/106774', 'fileid': 106774, 'datasetid': 'document', 'hash': '146bde5f27745122e4632c31d216a96f', 'mime_type': 'application/pdf'}], 'main': 'Prosiding-SemNas-MeKuant2018.pdf', 'docid': 24874, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24874', 'eprintid': 11888, 'placement': 1}]",845,show,110-113,2019-05-09 03:08:26,"Burton, D.M. (1980). Elementary Number Theory. University Of New Hampshire, United State of Afrika.

Stewart, B.M. (1952). Theory of Numbers. The Macmillan Company, New York.",archive,11888,Hotel Emersia Bandar Lampung,Karakteristik Fungsi Phi (∅) Euler,19 - 20 November 2018,TRUE,"[{'id': 'rinikarina07@gmail.com 1', 'name': {'given': 'Rini Karina', 'honourific': None, 'lineage': None, 'family': 'Agustini'}}, {'id': 'suharsono.1962@fmipa.unila.ac.id', 'name': {'given': 'Suharsono', 'lineage': None, 'family': 'Suharsono', 'honourific': None}}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'lineage': None, 'family': 'Wamiliana', 'honourific': None}}, {'id': 'notiragayu@fmipa.unila.ac.id', 'name': {'family': 'Notiragayu', 'lineage': None, 'honourific': None, 'given': 'Notiragayu'}}]",paper,conference_item,,,,,,,,,,,,,,,,,,
1,2018-11-19 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/12381,"Kejadian hujan ekstrim, sebagai salah satu dari kejadian cuaca ekstrim dalam
hidrometeorologi yang paling sering terjadi, sehingga mendapatkan perhatian yang lebih
karena dampaknya yang besar pada perekonimian dan kehidupan manusia. Kajian distribusi
probabilitas menjadi penting dalam menentukan model yang paling sesuai dalam
mengantisipasi kejadian ekstrim dari fenomena alam, seperti hujan ekstrim dan banjir. Tujuan
dari penelitian ini adalah untuk menentukan best-fit distribusi probabilitas pada kasus hujan
harian maximum selama 5 tahun dari tahun 2013-2017 di Sumatera dengan menggunakan
data curah hujan harian yang didapatkan dari 8 stasiun pengamatan cuaca. Distribusi yang
digunakan adalah distribusi normal, gamma, weibull, generalized extreme value, dan
generalized pareto. Pendugaan parameter dilakukan dengan metode maximum likelihood dan
distribusi terbaik ditentukan dengan menggunakan tes Kolmogrov-Smirnof dan AndersenDarling.

Distribusi terbaik berdasarkan tes statistik tersebut adalah distribusi generalized
pareto, yang menunjukkan kecocokan yang baik dalam memodelkan curah hujan di Pulau
Sumatera. Aplikasi penggunakan distribusi Pareto menunjukkan potensi hujan ekstrim di
Pesisir Barat Lampung 1.1%, Bengkulu 1.1%, Padang 1.5%, Sibolga 1.7%, Kerinci 0.3%,
Medan 0.5%, Palembang 0.7%, dan Bandar Lampung 0.4%.",published,['QA'],,pub,6,public,2019-05-10 02:20:18,,['FMIPA9'],disk0/00/01/23/81,2019-05-10 02:20:18,http://matematika.fmipa.unila.ac.id/?p=4688,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25361', 'pos': 1, 'eprintid': 12381, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'AR PAHLEVI_WARSONO_SNMK_2018.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-05-09 22:43:53', 'objectid': 25361, 'filesize': 7550132, 'uri': 'http://repository.lppm.unila.ac.id/id/file/110250', 'filename': 'AR PAHLEVI_WARSONO_SNMK_2018.pdf', 'datasetid': 'document', 'fileid': 110250, 'hash': 'af1db19b11189d7c8552f4cd5ec140aa', 'mime_type': 'application/pdf'}], 'docid': 25361}]",516,show,28-38,2019-05-10 02:20:18,,archive,12381,,"KAJIAN BEST-FIT DISTRIBUSI PROBABILITAS UNTUK CURAH
HUJAN HARIAN DAN APLIKASINYA DALAM MITIGASI HUJAN
EKSTRIM DI PULAU SUMATERA",,TRUE,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ahmad Raflie', 'given': 'Pahlevi'}, 'id': 'achmad.raflie@bmkg.go.id'}, {'name': {'given': 'Warsono', 'lineage': None, 'family': 'Warsono', 'honourific': None}, 'id': 'klppm@kpa.unila.ac.id'}]",,article,"['Jurusan Matematika FMIPA Universitas Lampung', 'Jurusan Matematika FMIPA Universitas Lampung']",Jurusan Matematika FMIPA Unila,Prosiding Seminar Nasional METODE KUANTITATIF 2018,978-623-90150-0-8,,,,,,,,,,,,,,
2,2018-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/12108,"Artikel ini merupakan lanjutan dari publikasi tahun ke-1, hal yang telah dihasilkan dalam tahun pertama adalah telah membuat suatu platform dalam hal Perancangan Open Course Ware (OCW) dalam Penerapan Content Management Application (CMA) berbasis Private Cloud Computing untuk Membantu Persiapan Uji Sertifikasi pada Lembaga Sertifikasi Profesi bagi Mahasiswa Program Studi Informatika Se-Indonesia. Pada Penelitian lanjutan ini berfokus pada penambahan dan pengembangan konten materi uji sertifikasi pada asosiasi dan penerapan hasil platform kepada seluruh mahasiswa program studi Informatika di Indonesia berdasarkan skema kompetensi yang ada.
Sesuai dengan peraturan Kemenristek nomor 44 tahun 2015 tentang Standar Nasional Pendidikan Tinggi, bahwa proses belajar mengajar mengacu kepada bentuk Student Learning Centered (SCL), dimana siswa harus aktif dalam proses belajar mengajar. Mahasiswa dinyatakan lulus berhak memperoleh ijazah,sertifikat profesi, dan sertifikat kompetensi. Sertifikat kompetensi diterbitkan oleh perguruan tinggi bekerjasama dengan organisasi profesi, lembaga pelatihan, lembaga sertifikasi profesi yang terakreditasi. 
Dari berbagai permasalahan terhadap Kelemahan-kelemahan yang ada, harus ada upaya untuk menyelesaikannya, munculnya konsep Open Course Ware (OCW) sebagai platform baru dibidang teknologi pendidikan memiliki beberapa karakteristik umum yang membedakan dengan manajemen sistem pembelajaran lainnya, diantaranya adalah (1) Offered Free, (2) No Register, (3) Openly Lisenced, (4) Accessible to anyone, (5) Extraordinary, penelitian ini diharapkan dapat membantu memberikan sumbangan sebagai solusi dalam meningkatkan kompetensi tenaga kerja indonesia, melalui Perancangan Open Course Ware (OCW) dalam penerapan content management application (CMA) untuk membantu persiapan uji kompetensi bagi mahasiswa yang berasal dari prodi informatika di Indonesia, metode perancangan system yang digunakan adalah metode prototype Hasil yang didapat berupa penerapan sebuah sistem yang terintegrasi dalam sebuah sisterm OCW yang menerapkan dan mengembangkan konten yang ada.",published,"['QA', 'QA75']",,pub,9,none,2019-05-09 01:29:00,,['FMIPA9'],disk0/00/01/21/08,2019-05-09 01:29:00,http://ijns.org/journal/index.php/ijns/article/view/1547,,488,show,,2019-05-09 01:29:00,,archive,12108,,Pemanfaatan Open Course Ware dalam Penggunaan Uji Profisiensi Sertifikasi Bidang Informatika,,TRUE,"[{'name': {'given': 'Amanto', 'family': 'Amanto', 'lineage': None, 'honourific': None}, 'id': 'pakamanto@gmail.com'}, {'name': {'family': 'Rangga', 'lineage': None, 'honourific': None, 'given': 'Firdaus'}, 'id': 'rangga.firdaus@gmail.com'}]",,article,"['Jurusan Matematika FMIPA Universitas Lampung', 'Jurusan Ilmu Komputer FMIPA Universitas Lampung']",Asosiasi  Profesi Multimedia Indonesia (APMMI),Indonesian Journal on Networking  and Security,2302-5700 (Print) 2354-6654 (Online),4.0,7.0,[{'url': 'http://ijns.org'}],,,,,,,,,,,
3,2018-08-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9360,"This article is a continuation of the 1st year of publication, the thing that has been produced in the first year has been to create a platform in terms of Design Open Course Ware  (OCW)in Implementation of Content Management Application (CMA) based on Private Cloud Computing to Assist Certification Test Preparation at Profession Certification Institution for Students of Informatics Study Program in Indonesia. In this follow-up study focuses on adding and developing content of certification test materials on association and application of platform results to all students of Informatics course in Indonesia based on existing competency scheme.
In accordance with Kemenristek Regulation No. 44 of 2015 on National Standards of Higher Education, that teaching and learning process refers to the form of Student Learning Centered (SCL), where students must be active in the learning process. Students are graduated are entitled to obtain diplomas, professional certificates, and certificates of competence. Competence certificates are issued by universities in cooperation with professional organizations, training institutes, accredited professional certification bodies. 
From the various problems to the existing weaknesses, there must be an effort to solve them, the emergence of the concept of Open Course Ware  (OCW) as a new platform in the field of educational technology has some common characteristics that distinguish the management of other learning systems, such as (1) Offered Free, (2) No Register, (3) Openly Licensed, (4) Accessible to anyone, (5) Extraordinary, this research is expected to help contribute as a solution in improving the competence of Indonesian workforce through Open Course Ware  (OCW) content management application (CMA) to assist the preparation of competency test for students coming from informatics study program in Indonesia, the system design method used is the prototype method The results obtained are the application of an integrated system in an OCW sisterm that implements and develops the existing content.",,['QA'],"International Conference on Applied Sciences Mathematics and Informatics ( ICASMI) , 9 - 11 Agustus 2018",submitted,7,public,2018-11-03 09:17:16,conference,['FMIPA9'],disk0/00/00/93/60,2018-11-03 09:17:16,,"[{'docid': 22418, 'main': 'ICASMI 2018 Amanto Rangga Machudor.pdf', 'files': [{'fileid': 89489, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8498103930fa81bb8c46d18402999784', 'objectid': 22418, 'filesize': 3402350, 'filename': 'ICASMI 2018 Amanto Rangga Machudor.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/89489', 'hash_type': 'MD5', 'mtime': '2018-11-03 02:28:13'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 9360, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22418', 'pos': 1, 'security': 'public'}]",488,show,,2018-11-03 09:17:16,,archive,9360,"at Horison Hotel, Lampung, Indonesia",Implementation of Open Course Ware  in Development of Certification Test on Students of Informatics Field using Content Management Application,10 Agustus 2018,TRUE,"[{'id': 'pakamanto@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Amanto', 'given': 'Amanto'}}, {'id': 'rangga.firdaus@gmail.com', 'name': {'given': 'Firdaus', 'honourific': None, 'lineage': None, 'family': 'Rangga'}}, {'name': {'given': 'Yusman', 'family': 'Machudor', 'lineage': None, 'honourific': None}, 'id': 'machudor.yusman@fmipa.unila.ac.id'}]",paper,conference_item,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,,,,,,,,,,,,
4,2018-07-24 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9358,"Given n vertices and m edges, there are a lot of graphs that can be constructed, either con-nected or disconnected, simple or not simple. A graph is called connected if there is at least a path connecting every pair of vertices in that graph; and a graph is called simple if that graph does not contain any loops or parallel edges. In this paper will be discussed the num-ber of disconnected vertex labeled graphs with order five without loops and the maximum allowable 3-parallel edges is six.",submitted,['QA'],Konferensi Nasional Matematika 2018- Unibraw Malang,submitted,7,public,2018-11-03 09:17:28,conference,['FMIPA9'],disk0/00/00/93/58,2018-11-03 09:17:28,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22415', 'pos': 1, 'eprintid': 9358, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2018-11-03 02:08:36', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/89469', 'filename': 'The Number of disconnected ....KNM 2018 Malang.pdf', 'filesize': 328317, 'objectid': 22415, 'hash': 'c8f5651c0ac2529909dce15d4a49ea82', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 89469}], 'main': 'The Number of disconnected ....KNM 2018 Malang.pdf', 'docid': 22415}]",488,show,,2018-11-03 09:17:28,,archive,9358,Malang,THE NUMBER OF DISCONNECTED VERTEX LABELLED GRAPHS OF ORDER FIVE WITH MAXIMUM 3-PARALEL EDGES IS SIX AND CONTAINS NO LOOPS.,24-26 Juli 2018,TRUE,"[{'name': {'given': 'Amanto', 'honourific': None, 'lineage': None, 'family': 'Amanto'}, 'id': 'pakamanto@gmail.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Wamiliana', 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'name': {'honourific': None, 'family': 'M Fajar', 'lineage': None, 'given': 'Nur Efendi'}, 'id': None}]",paper,conference_item,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,,,,,,,,,,,,
5,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/26155,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,published,['AC'],,pub,6,none,2020-11-19 11:40:03,,['FMIPA9'],disk0/00/02/61/55,2020-11-19 11:40:03,http://repository.lppm.unila.ac.id/6613/,,821,show,,2020-11-19 11:40:03,,archive,26155,,Comparative analysis of some modified Prim’s Algorithms to solve the Multiperiod degree constrained minimum spanning tree problem,,,"[{'id': 'asmiati308@yahoo.com', 'name': {'honourific': None, 'family': 'Asmiati', 'lineage': None, 'given': 'Asmiati'}}]",,other,,Indian Society for Education and Environment,,,,,,,,,,,,,,,,
6,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/26239,(Similarity) Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,published,['AC'],,pub,6,none,2020-11-19 11:41:35,,['FMIPA9'],disk0/00/02/62/39,2020-11-19 11:41:35,http://repository.lppm.unila.ac.id/6613/,,821,show,,2020-11-19 11:41:35,,archive,26239,,Comparative analysis of some modified Prim’s Algorithms to solve the Multiperiod degree constrained minimum spanning tree problem,,,"[{'id': 'asmiati308@yahoo.com', 'name': {'given': 'Asmiati', 'family': 'Asmiati', 'lineage': None, 'honourific': None}}]",,other,,Indian Society for Education and Environment,,,,,,,,,,,,,,,,
7,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/26162,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,published,['AC'],,pub,7,public,2020-11-19 11:40:13,,['FMIPA9'],disk0/00/02/61/62,2020-11-19 11:40:13,http://repository.lppm.unila.ac.id/6612/,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40048', 'eprintid': 26162, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 235875, 'mime_type': 'application/pdf', 'hash': 'ac5e5ccd3d0ee5c63b3151cb6622c3da', 'filesize': 1423192, 'objectid': 40048, 'filename': '6. Different time installation effect on the quality of the solution for the multiperiod installation problem using modified Prim’s Algorithm.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/235875', 'hash_type': 'MD5', 'mtime': '2020-11-19 02:21:45'}], 'main': '6. Different time installation effect on the quality of the solution for the multiperiod installation problem using modified Prim’s Algorithm.pdf', 'docid': 40048}]",821,show,,2020-11-19 11:40:13,,archive,26162,,Different time installation effect on the quality of the solution for the multiperiod installation problem using modified Prim’s Algorithm,,,"[{'name': {'honourific': None, 'family': 'Asmiati', 'lineage': None, 'given': 'Asmiati'}, 'id': 'asmiati308@yahoo.com'}]",,other,,"Pushpa Publishing House, Allahabad, India",,,,,,,,,,,,,,,,
8,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/26241,(Similarity) Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,published,['AC'],,pub,7,public,2020-11-19 11:41:43,,['FMIPA9'],disk0/00/02/62/41,2020-11-19 11:41:43,http://repository.lppm.unila.ac.id/6612/,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '6. IS11% - Different_time_Installation_effect_.pdf', 'docid': 40127, 'files': [{'mtime': '2020-11-19 06:40:25', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/236357', 'filename': '6. IS11% - Different_time_Installation_effect_.pdf', 'filesize': 1421329, 'objectid': 40127, 'mime_type': 'application/pdf', 'hash': 'fa0e3a0b3a3010323dcb768ef12fa47b', 'fileid': 236357, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40127', 'security': 'public', 'placement': 1, 'eprintid': 26241}]",821,show,,2020-11-19 11:41:43,,archive,26241,,Different time installation effect on the quality of the solution for the multiperiod installation problem using modified Prim’s Algorithm,,,"[{'name': {'given': 'Asmiati', 'honourific': None, 'lineage': None, 'family': 'Asmiati'}, 'id': 'asmiati308@yahoo.com'}]",,other,,"Pushpa Publishing House, Allahabad, India",,,,,,,,,,,,,,,,
9,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/26165,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,published,['AC'],,pub,7,public,2020-11-19 11:40:25,,['FMIPA9'],disk0/00/02/61/65,2020-11-19 11:40:25,http://repository.lppm.unila.ac.id/7825/,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '8. Further results on locating chromatic number for amalgamation of stars.pdf', 'files': [{'mtime': '2020-11-19 02:30:16', 'hash_type': 'MD5', 'filename': '8. Further results on locating chromatic number for amalgamation of stars.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/235898', 'objectid': 40050, 'filesize': 1330010, 'hash': 'f5e4e37462c86321d3303667e56e33b2', 'mime_type': 'application/pdf', 'fileid': 235898, 'datasetid': 'document'}], 'docid': 40050, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40050', 'security': 'public', 'placement': 1, 'eprintid': 26165}]",821,show,,2020-11-19 11:40:25,,archive,26165,,Further results on locating chromatic number for amalgamation of stars  linking by one path,,,"[{'id': 'asmiati308@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Asmiati', 'given': 'Asmiati'}}]",,other,,Indonesian Combinatorial  Society,,,,,,,,,,,,,,,,
