,date,uri,abstract,volume,date_type,subjects,ispublished,rev_number,issn,full_text_status,status_changed,publication,dir,divisions,lastmod,documents,userid,number,metadata_visibility,pagerange,datestamp,eprintid,eprint_status,contact_email,title,refereed,creators,type,publisher,related_url,official_url,id_number,corp_creators,contributors,funders,projects,pages,isbn,place_of_pub,series,event_type,event_title,event_dates,pres_type,event_location,keywords,patent_applicant,editors
0,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/6038,"Zeolite  based  silica rice husk  has been prepared and  analyzed with  thermal treatment 150 ◦ C,
250 ◦ C, and  350 ◦ C. This research  was conducted to study the effect of thermal treatment with a variety  temperature to particle  size and electrical conductivity of zeolite.  In thermal treatment at
350 ◦ C was obtained the smallest particle size, amounted to 15.396 µm, meanwhile the highest electrical conductivity values was  obtained at 250 ◦ C,amounted to 1.5540×10−4 S/cm.  This is caused by the  phase structure changes and  particle agglomeration. Based  on the  result of electrical conductivity values, zeolite  is included in semiconductor and  has  a potential as a supercapacitor electrode.",5.0,published,['QC'],pub,7,2549-1156,restricted,2018-04-25 09:15:23,Jurnal Teori dan Aplikasi Fisika,disk0/00/00/60/38,['FMIPA1'],2018-04-25 09:15:23,"[{'content': 'published', 'rev_number': 2, 'language': 'id', 'mime_type': 'application/pdf', 'date_embargo': 2020, 'format': 'text', 'main': 'Jurnal Alfi H (1361-3136-1-PB).pdf', 'files': [{'objectid': 18954, 'filesize': 368026, 'uri': 'http://repository.lppm.unila.ac.id/id/file/55777', 'filename': 'Jurnal Alfi H (1361-3136-1-PB).pdf', 'hash_type': 'MD5', 'mtime': '2017-11-18 15:54:26', 'fileid': 55777, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '74e6b50de9ca8b8640512b2f44db0fbf'}], 'docid': 18954, 'security': 'validuser', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18954', 'eprintid': 6038, 'placement': 1}]",949,1,show,65-69,2018-04-25 09:15:23,6038,archive,alfihamidah7@gmail.com,"Kajian Konduktivitas Listrik Zeolit pada Perlakuan Termal
150 ◦C, 250 ◦C, 350 ◦C dan Potensinya sebagai  Elektrode
Superkapasitor",TRUE,"[{'name': {'honourific': None, 'family': 'Hamidah', 'lineage': None, 'given': 'Alfi'}}, {'name': {'family': 'Karo Karo', 'lineage': None, 'honourific': None, 'given': 'Pulung'}}, {'name': {'given': 'Bambang', 'honourific': None, 'family': 'Joko  Suroto', 'lineage': None}}]",article,,,,,,,,,,,,,,,,,,,,
1,2017-02-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4198,"Pipeline leaks can cause major ﬁnancial losses for users of pipeline system. Perusahaan Daerah
Air Minum (PDAM) generally uses manual methods to detect leak location, such as by looking
puddle above the pipeline. The research proposed to produce a method that can detect pipeline
leak location quickly and accurately. The method use water ﬂow sensors that are placed before
and after the leak. The water ﬂow sensors are used to record data of the difference between
incoming and outgoing water ﬂow (DQ). The data are transmitted to a computer using a network
based on TCP/IP. The results showed that the smaller value of the difference between incoming
and outgoing water ﬂow (DQ), the farther distance leak location (X). If diameter hole (D) had
decreased by 43%, the value of the difference between incoming and outgoing water ﬂow (DQ)
would have decreased by 21%. Based on these results, the method for detecting pipeline leak
location with technology water ﬂow sensors can distinguish pipeline leak location quickly and
accurately.",5.0,published,['QC'],pub,5,2303-016X,none,2017-11-02 03:07:58,Jurnal Teori dan Aplikasi Fisika,disk0/00/00/41/98,['FMIPA1'],2017-11-02 03:07:58,,387,1,show,25-30,2017-11-02 03:07:58,4198,archive,,"Deteksi Letak Kebocoran Pipa Berdasarkan Analisis Debit
Air Menggunakan Teknologi Sensor Flowmeter Berbasis
TCP/IP",TRUE,"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Duwi'}, 'id': 'duwi@yahoo.com'}, {'id': 'gurum4in@yahoo.com', 'name': {'given': 'Gurum A.', 'lineage': None, 'family': 'Pauzi', 'honourific': None}}, {'id': 'amir.supriyanto@fmipa.unila.ac.id', 'name': {'given': 'Amir', 'honourific': None, 'family': 'Supriyanto', 'lineage': None}}]",article,Jurusan Fisika FMIPA Universitas Lampung,"[{'type': 'author', 'url': 'http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article'}]",http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article/view/1355/1186,E-ISSN 2549-1156.,,,,,,,,,,,,,,,,
2,2017-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1789,"Pipeline leaks can cause major financial losses for the users of pipeline system. Perusahaan Daerah Air Minum (PDAM) generally uses manual methods to detect leak location, such as by looking puddle above the pipeline. The research proposed to produce a method that can detect pipeline leak location quickly and accurately. The method use water flow sensors that are placed before and after the leak. The water flow sensors are used to record data of the difference between incoming and outgoing water flow (ΔQ). The data are transmitted to a computer using a network based on TCP/IP. The results showed that the smaller value of the difference between incoming and outgoing water flow (ΔQ), the farther distance leak location (X). If diameter hole (D) had decreased by 43%, the value of the difference between incoming and outgoing water flow (ΔQ) would have decreased by 21%. Based on these results, the method for detecting pipeline leak location with technology water flow sensors can distinguish pipeline leak location quickly and accurately.",5.0,published,['QC'],pub,6,2303-016X,public,2017-05-29 05:53:11,Jurnal Teori dan Aplikasi Fisika,disk0/00/00/17/89,['FMIPA1'],2017-05-29 05:53:11,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'aliran pipa.pdf', 'docid': 1652, 'files': [{'hash_type': 'MD5', 'mtime': '2017-05-29 03:42:11', 'objectid': 1652, 'filesize': 619059, 'filename': 'aliran pipa.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/12425', 'fileid': 12425, 'datasetid': 'document', 'hash': '55da2aecd7e03cd9dedc61e33b2fb054', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1652', 'security': 'public', 'placement': 1, 'eprintid': 1789}]",434,1,show,25-30,2017-05-29 05:53:11,1789,archive,,Deteksi Letak Kebocoran Pipa Berdasarkan Analisis Debit Air Menggunakan Teknologi Sensor Flowmeter Berbasis TCP/IP,TRUE,"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Duwi'}, 'id': 'duwi@yahoo.com'}, {'name': {'honourific': None, 'family': 'Pauzi', 'lineage': None, 'given': 'Gurum A.'}, 'id': 'gurum4in@yahoo.com'}, {'name': {'given': 'Amir', 'honourific': None, 'lineage': None, 'family': 'Supriyanto'}, 'id': 'amirsp@gmail.com'}]",article,Jurusan Fisika FMIPA Universitas Lampung,,http://jurnal.fmipa.unila.ac.id/index.php/jtaf,,"['Fisika FMIPA Unila', 'Fisika FMIPA Unila', 'Fisika FMIPA Unila']","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,,,,,
3,2017-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/7739,"One of the goals of physics instruction should be to
enable the students to solve problems in a flexibly way. This
requires the students to consider and to use multirepresentations as a natural part of the way they solve
problems. This paper presents the results of our research on the
development of optics learning model that was designed for the
purpose of building mental models and problem solving ability,
especially in the topic of light refraction. The learning model is
called “ExPRession” model, developed based on one model of
PBL namely the Illinois Mathematics and Science Academy
(IMSA) model. Furthermore, we integrated the Polya’s and
Heller & Heller problem solving strategies to IMSA PBL. We
implemented our model in a limited test that conducted to 16
students of the 5th semester in physics education at Lampung
University who were enrolled in an optics course. The learning
model was implemented in three topics such as rectilinear
propagation of light, refraction of light on a flat surface, and
refraction of light on a curved surface. The results showed that
“ExPRression” learning models could be categorized as “valid
in contents” and as “valid in constructions”, categorized as
""practical"", and categorized as “effective”. The developed
learning tools can be classified as a valid and could be used to
support the implementation of the ""Expression"" learning
model. The results in limited test showed that “ExPRression”
learning model was effective in building mental model and
improving aspects of problem solving ability.
Keywords—“ExPRession”model; problem solving ability;
mental model",57.0,published,['LB2300'],pub,8,2352-5398,public,2018-06-26 02:42:36,"Advances in Social Science, Education and Humanities Research (ASSEHR)",disk0/00/00/77/39,['FMIPA1'],2018-06-26 02:42:36,"[{'eprintid': 7739, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20786', 'pos': 1, 'format': 'text', 'main': 'BUKTI JURNAL.pdf', 'files': [{'hash': '9f042c92d46fb5de442b7b3b8515bfee', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 69441, 'mtime': '2018-06-25 08:55:41', 'hash_type': 'MD5', 'filename': 'BUKTI JURNAL.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/69441', 'filesize': 345592, 'objectid': 20786}], 'docid': 20786, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}, {'files': [{'objectid': 20787, 'filesize': 14367, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69445', 'filename': 25869928, 'hash_type': 'MD5', 'mtime': '2018-06-25 08:56:55', 'datasetid': 'document', 'fileid': 69445, 'hash': '50f3fd4d724897535c5d7ee9f1d230e6', 'mime_type': 'text/html'}], 'main': 25869928, 'docid': 20787, 'format': 'text', 'language': 'en', 'mime_type': 'text/html', 'rev_number': 4, 'content': 'published', 'placement': 2, 'eprintid': 7739, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20787', 'security': 'public'}]",884,,show,53-59,2018-06-26 02:42:36,7739,archive,,"Development of Optics Learning Model to Build
Mental Models and Problem Solving Ability",FALSE,"[{'id': 'el_qolibry2@yahoo.co.id', 'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}}, {'name': {'family': 'Nur', 'lineage': None, 'honourific': None, 'given': 'Muhamad'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Widodo', 'honourific': None, 'given': 'Wahono'}}]",article,Atlantis Press,[{'url': 'https://www.atlantis-press.com/proceedings/icmsed-16/25869928'}],https://www.atlantis-press.com/proceedings/icmsed-16/25869928,10.2991/icmsed-16.2017.12,,[{'type': 'http://www.loc.gov/loc.terms/relators/ANM'}],,,,,,,,,,,,,,
4,2017-01-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4203,"The electrical characteristics of cassava peeled could be determined by using electrode, a pair of
electrode that used in this research is Cu-Zn. The measurement of the electrical characteristics
of cassava peeled had been done using a 1.2 Watt LED load and when the load is released.
Varieties of cassava which used are White cassava, Genjah Urang cassava and Bassiro cassava.
Electrolyte cell that used consists of 20 cells, which were arranged in series with volume 200 ml
for one cell. The maximum voltage when the load is removed generated white cassava peeled
is 12.38 V, Genjah Urang cassava peel is 14.36 V, and Bassiro cassava peeled is 13.81 V. Type
of cassava peeled that has the best electrical characteristics to charge phone battery is Genjah
Urang cassava peeled. The test of cell phone battery charging had been done when cell phone
was empty or couldn’t be turned on and when cell phone battery had charged for two hours, it
made the cell phone on for 15 seconds after removed from the circuit.",5.0,published,['QC'],pub,8,2303-016X,public,2017-11-02 03:08:09,Jurnal Teori dan Aplikasi Fisika,disk0/00/00/42/03,['FMIPA1'],2017-11-02 03:08:09,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17097', 'eprintid': 4203, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '1353-3123-1-PB.pdf', 'files': [{'mtime': '2017-10-31 03:47:37', 'hash_type': 'MD5', 'filename': '1353-3123-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/42462', 'filesize': 2520262, 'objectid': 17097, 'hash': 'da97b19c01a52f756489bc3c6f7092ee', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 42462}], 'docid': 17097}]",387,1,show,9-18,2017-11-02 03:08:09,4203,archive,,"Analisis Karakteristik Elektrik Limbah Kulit Singkong
(Manihot esculenta Crantz) sebagai Sumber Energi Listrik
Alternatif Terbarukan untuk Mengisi Baterai Telepon
Genggam",TRUE,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Irsan', 'given': 'Irsan'}, 'id': None}, {'id': 'amir.supriyanto@fmipa.unila.ac.id', 'name': {'family': 'Supriyanto', 'lineage': None, 'honourific': None, 'given': 'Amir'}}, {'name': {'lineage': None, 'family': 'Surtono', 'honourific': None, 'given': 'Arif'}, 'id': 'arif.surtono@fmipa.unila.ac.id'}]",article,Jurusan Fisika FMIPA Universitas Lampung,"[{'type': 'author', 'url': 'http://jurnal.fmipa.unila.ac.id/index.php/jtaf/index'}]",http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article/view/1353/1179,E-ISSN 2549-1156.,,,,,,,,,,,,,,,,
5,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/10511,"We report our investigation of roles of polyvinyl alcohol (PVA) as a high-performance capping agent in synthesizing silver nanowires (AgNWs) using polyol method. For this purpose, we varied the concentration of silver nitrate (AgNO ), from 0.3 M to 1.0 M, and molar ratios of [PVA:AgNO 3 3 ] from 2 to 6. The UV-vis spectra show the AgNWs growth optimally at a molar ratio of 4.5 with the absorbance peaks of 378 nm and 380 nm. Meanwhile, from XRD patterns, it was found that the crystal structure of the AgNWs can be identified as a face-centered cubic (fcc) with a lattice constant according to the spacing distance between the {111} planes of 4.087 Å. Finally, scanning electron microscopy (SEM) and transmission electron microscopy TEM images show the diameter and length of the AgNRs are 150 to 230 nm and 50 to 120 µm, respectively. These results show that the AgNWs synthesized using PVA having a long size.",49.0,,['QC'],pub,6,1661-9897,public,2019-01-02 07:59:45,Journal of Nano Research,disk0/00/01/05/11,['FMIPA1'],2019-01-02 07:59:45,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-01-02 06:38:55', 'filesize': 1216154, 'objectid': 23526, 'filename': 'Junaidi-2017-JNANOR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/97434', 'fileid': 97434, 'datasetid': 'document', 'hash': '16c07a6c73054e11abadb702fd23950a', 'mime_type': 'application/pdf'}], 'main': 'Junaidi-2017-JNANOR.pdf', 'docid': 23526, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23526', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 10511}]",181,,show,174-180,2019-01-02 07:59:45,10511,archive,,The Roles of Polyvinyl Alcohol (PVA) as the Capping Agent on the Polyol Method for Synthesizing Silver Nanowires,TRUE,"[{'id': 'junaidi.1982@fmipa.unila.ac.id', 'name': {'family': 'Junaidi', 'lineage': None, 'honourific': None, 'given': 'Junaidi'}}]",article,Trans Tech Publications,,https://www.scientific.net/JNanoR.49.174,,,,,,,,,,,,,,,,,
6,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/4862,"We present a simple technique to estimate the size of silver nanoparticles (AgNPs) based on uv-vis spectra computationally. To have the nanoparticles, the AgNPs colloid was prepared by chemical reduction technique using 40 mM of tri-sodium citrate dihydrate (Na-O)
and silver nitrate (AgNO3) at different concentrations of 2.5 and 5.0 mM. The colloid was then analyzed by using UV-Vis spectrophotometer. For comparison of the size estimation, a small amount of AgNPs was also analyzed using transmission electron microscopy (TEM). By ﬁtting the model and the UV-Vis spectra of these colloids, the set ﬁtting parameters can be obtained including the absorption coefﬁcient, the full width at half maximum (FWHM), the wavelength and absorbance of peaks. It is assumed that the shape of nanoparticle is spherical, so that its diameter can be estimated using the values of scattered absorbance and FWHM. Based on the model it is found that the size of AgNPs are (28 ±8) nm and (15 ±7) nm for samples prepared with concentration of 2.5 and 5.0 mM, respectively. On the other hand, from statistically estimation using images from TEM, it is found that the size of AgNPs are (17 ±4)nm and (8 ±3) nm for samples prepared with concentration of 2.5 and 5.0 mM, respectively. This discrepancy occurs may be due to non-homogenous of the particles. It indicates, however, this
computationally simple method can be used as a ﬁrst step to estimate size of the AgNPs colloid prior to measurement and calculation using advanced equipments and techniques.",5.0,published,['QC'],pub,6,2303-016X,public,2017-11-16 02:26:03,Jurnal Teori dan Aplikasi Fisika,disk0/00/00/48/62,['FMIPA1'],2017-11-16 02:26:03,"[{'main': 'junaidi_jtaf_2017.pdf', 'files': [{'mtime': '2017-11-08 07:28:29', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/47215', 'filename': 'junaidi_jtaf_2017.pdf', 'objectid': 17785, 'filesize': 3317731, 'hash': 'dbb2f38f8395cad842f1dcd2b85b6b38', 'mime_type': 'application/pdf', 'fileid': 47215, 'datasetid': 'document'}], 'docid': 17785, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 4862, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17785', 'pos': 1, 'security': 'public'}]",181,1,show,97-102,2017-11-16 02:26:03,4862,archive,,"Spektrofotometer UV-Vis untuk Estimasi Ukuran
Nanopartikel Perak",TRUE,"[{'name': {'given': 'Junaidi', 'honourific': None, 'lineage': None, 'family': 'Junaidi'}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}]",article,Jurusan Fisika FMIPA Universitas Lampung,,http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article/view/1366/1181,,,,,,,,,,,,,,,,,
7,2017-07-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4860,"Background/Objectives: To synthesis silver nanowires with Polyvinyl Alcohol (PVA) and Polyvinyl Pyrrolidone (PVP)
as a capping agent by the polyol method. Methods/Statistical Analysis: Synthesis of silver nanowires was done by adding PVA and PVP for controlling of Multi-Twinned Particles seeds (MTPs) before grown to silver nanowires. The silver nanowires were characterized by UV-vis, SEM and XRD techniques. PVA and PVP is to be absorbed on the surface of the Ag seeds through Ag-O bond to form silver nanowires. Reaction time and temperature, as well as the kind of capping agent, affected the morphologies and sizes of the silver nanowires. Findings: The UV-vis spectra of silver nanowires show that the absorbance peaks at a wavelength of 350 to 390 nm. SEM images showed the selective absorption of PVA and PVP on
the side surfaces of {100} and {111} facets plays an important role in the growth of anisotropic silver nanostructures. The diameter and length of silver nanowires of PVA were (190 ± 10) nm and (80 ± 10) µm. The addition of PVP as a capping agent can decrease the diameter and length of silver nanowires about 100 nm and 10 to 20 µm, resfectively. XRD pattern of silver nanowires represented that the final product was highly crystallized. The crystal structurecan be identified as a
face-centered cubic (fcc) with lattice constant according to the spacing distance between the {111} planes was 4.1454 Å for PVA and 4.0756 Å for PVP. 
Applications/Improvements: PVA can be used as a capping agent for the synthesis of silver nanowires with high aspect ratio. The silver nanowires are synthesized with PVA longer than PVP.",10.0,published,['QC'],pub,6,0974-5645,public,2017-11-16 03:31:09,Indian Journal of Science and Technology,disk0/00/00/48/60,['FMIPA1'],2017-11-16 03:31:09,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 47198, 'datasetid': 'document', 'hash': 'fa3074440dda5bcb15b60f43b508ea1b', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-08 06:51:52', 'objectid': 17782, 'filesize': 4861947, 'uri': 'http://repository.lppm.unila.ac.id/id/file/47198', 'filename': 'JUNAIDI_IPII_2017.pdf'}], 'main': 'JUNAIDI_IPII_2017.pdf', 'docid': 17782, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17782', 'pos': 1, 'eprintid': 4860, 'placement': 1}]",181,27,show,1-8,2017-11-16 03:31:09,4860,archive,,"Controlling Shapes and Sizes of Synthesis Silver
Nanowires by Polyol Method using PolyvinylAlcohol and Polyvinyl Pyrrolidone",TRUE,"[{'name': {'given': 'Junaidi', 'family': 'Junaidi', 'lineage': None, 'honourific': None}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'name': {'given': 'K', 'honourific': None, 'family': 'Triyana', 'lineage': None}, 'id': 'triyana@ugm.ac.id'}, {'name': {'given': 'H', 'family': 'Harsojo', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'Edi', 'honourific': None, 'family': 'Suharyadi', 'lineage': None}, 'id': None}]",article,Informatics Publishing Limited,"[{'url': 'http://www.indjst.org/index.php', 'type': 'pub'}]",http://www.indjst.org/index.php/indjst/article/view/93895/0,DOI: 10.17485/ijst/2017/v10i27/93895,,,,,,,,,,,,,,,,
8,2017-09-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4861,"We report our investigation of roles of polyvinyl alcohol (PVA) as a high-performance
capping agent in synthesizing silver nanowires (AgNWs) using polyol method. For this purpose, we
varied the concentration of silver nitrate (AgNO
), from 0.3 M to 1.0 M, and molar ratios of
[PVA:AgNO
3
3
] from 2 to 6.  The UV-vis spectra show the AgNWs growth optimally at a molar ratio
of 4.5 with the absorbance peaks of 378 nm and 380 nm. Meanwhile, from XRD patterns, it was
found that the crystal structure of the AgNWs can be identified as a face-centered cubic (fcc) with a
lattice constant according to the spacing distance between the {111} planes of 4.087 Å. Finally,
scanning electron microscopy (SEM) and transmission electron microscopy TEM images show the
diameter and length of the AgNRs are 150 to 230 nm and 50 to 120 µm, respectively. These results
show that the AgNWs synthesized using PVA having a long size.",49.0,published,['QC'],pub,7,1661-9897,public,2017-11-16 03:31:22,Journal of Nano Research,disk0/00/00/48/61,['FMIPA1'],2017-11-16 03:31:22,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17783', 'security': 'public', 'placement': 1, 'eprintid': 4861, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 17783, 'main': 'JUNAIDI_IPII_UNILA_2017.pdf', 'files': [{'hash': 'e4e8c885a8de541ecc31153165e72947', 'mime_type': 'application/pdf', 'fileid': 47204, 'datasetid': 'document', 'filename': 'JUNAIDI_IPII_UNILA_2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/47204', 'filesize': 4226375, 'objectid': 17783, 'mtime': '2017-11-08 07:09:37', 'hash_type': 'MD5'}], 'format': 'text'}]",181,,show,174-180,2017-11-16 03:31:22,4861,archive,,"The Roles of Polyvinyl Alcohol (PVA) as the Capping Agent 
on the Polyol Method for Synthesizing Silver Nanowires",TRUE,"[{'name': {'given': 'Junaidi', 'lineage': None, 'family': 'Junaidi', 'honourific': None}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Triyana', 'honourific': None, 'given': 'Kuwat'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Suharyadi', 'given': 'Edi'}}, {'id': None, 'name': {'given': 'H', 'honourific': None, 'family': 'Harsojo', 'lineage': None}}, {'name': {'given': 'LYL', 'lineage': None, 'family': 'Wu', 'honourific': None}, 'id': None}]",article,Trans Tech Publications,,https://www.scientific.net/JNanoR.49.174,doi:10.4028/www.scientific.net/JNanoR.49.174,,,,,,,,,,,,,,,,
9,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/5860,"The synthesis of zeolite based rice husk silica by using sol-gel method with heat treatment 450oC, 550oC, dan 650oC has been investigated. This research was conducted to study the effect of particle size and pore size to specific surface area of zeolite. The characteristics of sample were observed byX-Ray Diffraction (XRD), Scanning Electron Microscopy (SEM), and specific surface area with Branauer Emmet Teller (BET). The research result showed that the structure was amorf with cristobalite, corundum, and delta-Al2O3 phase. The heat treatment of 450 C showed the smallest particle size amounted to 16.322 mm and the largest pore size amounted to 5.786 mm with the highest specific surface area amounted to 216.250 m2/g, so it is potential to be used as a super capacitor electrode",5.0,published,['QC'],pub,6,,public,2017-11-17 04:26:36,Jurnal Teori dan Aplikasi Fisika,disk0/00/00/58/60,['FMIPA1'],2017-11-17 04:26:36,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18783', 'pos': 1, 'eprintid': 5860, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 54606, 'mime_type': 'application/pdf', 'hash': 'd3d6842b25b4db35221d1d865089f626', 'filesize': 377863, 'objectid': 18783, 'uri': 'http://repository.lppm.unila.ac.id/id/file/54606', 'filename': 'Jurnal Jennifer KP (1354-3130-1-PB).pdf', 'hash_type': 'MD5', 'mtime': '2017-11-17 04:01:28'}], 'main': 'Jurnal Jennifer KP (1354-3130-1-PB).pdf', 'docid': 18783}]",949,1,show,19-24,2017-11-17 04:26:36,5860,archive,pakpahanjennifer@yahoo.co.id,"Studi Luas Permukaan Spesifik Zeolit Akibat Pengaruh
Mikrostruktur dan Potensinya Sebagai Elektrode
Superkapasitor",TRUE,"[{'name': {'given': 'Jennifer', 'honourific': None, 'family': 'Kapriati Pakpahan', 'lineage': None}}, {'name': {'given': 'Pulung', 'family': 'Karo Karo', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Joko Suroto', 'honourific': None, 'given': 'Bambang'}}]",article,,,,,,,,,,,,,,,,,,,,
