,date_type,subjects,abstract,volume,uri,date,publisher,publication,divisions,dir,full_text_status,issn,status_changed,rev_number,ispublished,datestamp,eprintid,id_number,eprint_status,metadata_visibility,pagerange,userid,number,lastmod,official_url,documents,type,creators,title,refereed,corp_creators,related_url,funders,contributors,pages,place_of_pub,isbn,event_location,pres_type,event_dates,event_title,event_type,contact_email,referencetext,keywords,projects
0,published,['QC'],"In this reasearch, an automatic Syringe pump was created which aims to develop the manufacture of syringe pumps using Arduino-based stepper motors. The method used in this study to regulate the rotation of the stepper motor is a full step method, with the tools and materials used are 147HS4401 stepper motors, Arduino Uno, threaded iron, seven segment, keypad 4×4, and other tools supporting. The working principle of the syringe pump is to push the injection stem (pluger) whose speed has been adjusted to the value of the flow rate. The speed of the flow rate is obtained by adjusting the delay time of the stepper motor. Syringe pump that has been made works in the flow rate range from 0.1 to 12 ml / hour with a volume range of 0.1–12 ml. The test results of the flow rate value are verified by looking at the volume of fluid coming out using a 0.02 ml scale measuring cup and 0.5 ml. The results of the tests show that the syringe pump has a high level of accuracy of 95.56% with an error value of 4.44%, so the syringe pump has been successfully realized and can be used in the medical or research fields.",6.0,http://repository.lppm.unila.ac.id/id/eprint/13320,2018-07-15 00:00:00.000000000,Jurusan Fisika FMIPA Universitas Lampung,Jurnal Teori dan Aplikasi Fisika,['FMIPA1'],disk0/00/01/33/20,public,2303-016X,2019-08-01 07:23:54,7,pub,2019-08-01 07:23:55,13320,1353553260,archive,show,175-180,419,2.0,2019-08-01 07:23:55,http://jurnal.fmipa.unila.ac.id/jtaf/,"[{'placement': 1, 'eprintid': 13320, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26321', 'security': 'public', 'files': [{'hash_type': 'MD5', 'mtime': '2019-05-28 03:29:50', 'objectid': 26321, 'filesize': 30333, 'filename': 1786, 'uri': 'http://repository.lppm.unila.ac.id/id/file/116715', 'datasetid': 'document', 'fileid': 116715, 'hash': '265892b75f1f5cc0a060ba01184484c7', 'mime_type': 'text/html'}], 'main': 1786, 'docid': 26321, 'format': 'text', 'rev_number': 3, 'language': 'id', 'mime_type': 'text/html', 'content': 'published'}]",article,"[{'id': 'ranianggriani1115@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Anggriani', 'given': 'Rani'}}, {'name': {'given': 'Arif', 'honourific': None, 'lineage': None, 'family': 'Surtono'}, 'id': 'arif.surtono@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Junaidi', 'honourific': None, 'given': 'Junaidi'}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}]",Desain dan Realisasi Syringe Pump Menggunakan Motor Stepper Berbasis Arduino Sebagai Pengontrol Laju Aliran Fluida,TRUE,,,,,,,,,,,,,,,,
1,published,['QC'],"Nebulizer compressor has been realized. It utilizes photodiode, LED, comparator, and relay as a 
control on/off nebulizer. It stops working if the sensor detect asthma drug liquid running out. Relay will work if
it get input voltage 3 V (high) of comparator circuit which is used to control compressor. Reference voltage of
comparator is 2.98 V.",20.0,http://repository.lppm.unila.ac.id/id/eprint/10040,2018-01-01 00:00:00.000000000,Faculty of Mathematic and Natural Science Sriwijaya University,Jurnal Penelitian Sains (JPS),['FMIPA1'],disk0/00/01/00/40,public,2597-7059,2018-11-16 03:02:01,6,pub,2018-11-16 03:02:01,10040,,archive,show,10-13,387,1.0,2018-11-16 03:02:01,http://ejurnal.mipa.unsri.ac.id/index.php/jps/article/view/493/468,"[{'eprintid': 10040, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23059', 'pos': 1, 'format': 'text', 'main': 'Rancang-bangun Pengendali OnOff Nebulizer_ArtaB_ArifS_AmirS.pdf', 'docid': 23059, 'files': [{'mtime': '2018-11-15 13:21:13', 'hash_type': 'MD5', 'filename': 'Rancang-bangun Pengendali OnOff Nebulizer_ArtaB_ArifS_AmirS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/94293', 'filesize': 473417, 'objectid': 23059, 'hash': '34d2ac93c2346ade778cadf7720b2e58', 'mime_type': 'application/pdf', 'fileid': 94293, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Bonita', 'given': 'Arta Bayti'}, 'id': None}, {'name': {'family': 'Supriyanto', 'lineage': None, 'honourific': None, 'given': 'Supriyanto'}, 'id': 'r.supriyanto@fmipa.unila.ac.id'}, {'name': {'given': 'Arif', 'family': 'Surtono', 'lineage': None, 'honourific': None}, 'id': 'arif.surtono@fmipa.unila.ac.id'}]","Rancang-bangun Pengendali OnOff Nebulizer                       
Berbasis Sensor Fotodioda, Komparator, dan Relay",TRUE,,,,,,,,,,,,,,,,
2,published,['QC'],"Abstract. A study has been conducted on the extract concentration effect of Maja Peel as an inhibitor of low
carbon API 5L in corrosive medium of NaCl 3% and H
2
SO
4
 3%. The soaking process of low carbon API 5L
was done for 35 days with variation of addition inhibitor concentrations at 0%, 0,4%, 0,5%, 0,6%, 0,7%, and
0,8%. The testing of Corrosion rate is done by weight loss method. The results showed that the highest
corrosive rate in corrosive medium of NaCl 3% and H
2
SO
4 
3% was at 0% which is inhibitor concentration,
0,06 x 10
4
 mm/y and 16,55 x 10
4
 mm/yconcentration. Meanwhile, the lowest corrosion rate at 0.8% inhibitor
concentration for corrosive medium ofNaCl 3% and 0.5%for H
2
SO
4
3% corrosive medium. Hence, the
greatest effectiveness of corrosion occurs at the concentration of 0.8% in a corrosive medium of NaCl 3%
with effectiveness of  85,71% and 0.5% in corrosive medium of H
2
SO
4 
3% with the effectiveness of 79.35%.
The characterization result of X-Ray Diffraction (XRD) shows that the phase formed is pure Fe.
Characterization of Scanning Electron Microscopy (SEM) showed uneven clusters and smaller sizes, holes
and cracks also with less than 0.8% inhibitors for corrosive medium of NaCl 3% and 0.5% for corrosive
medium of H
2
SO
4
3% compared with 0% inhibitor of maja peel extract on corrosive medium ofNaCl 3% and
H
2
SO
4 
3%. Characterization of Energy Dispersive Spectroscopy (EDS) in samples with corrosive medium of
H
2
SO
4
3% obtained the element S (Sulfate).

Keywords: low carbon API 5L, the extract of maja peel, corrosion inhibitor, NaCl, and H
2
.",6.0,http://repository.lppm.unila.ac.id/id/eprint/12961,1970-01-01 00:00:00.000002018,Jurusan Fisika FMIPA Universitas Lampung,Jurnal Teori dan Aplikasi Fisika,['FMIPA1'],disk0/00/01/29/61,public,2303-016X,2019-05-16 03:37:34,6,pub,2019-05-16 03:37:34,12961,,archive,show,,633,2.0,2019-05-16 03:37:34,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/25945', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 12961, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'd9feb54b98a0b9a4ca408a1ca471a84e', 'datasetid': 'document', 'fileid': 114196, 'filename': '1837-4338-1-PB_3.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/114196', 'objectid': 25945, 'filesize': 892846, 'mtime': '2019-05-16 03:00:55', 'hash_type': 'MD5'}], 'main': '1837-4338-1-PB_3.pdf', 'docid': 25945, 'format': 'text'}]",article,"[{'name': {'honourific': None, 'family': 'Ginting', 'lineage': None, 'given': 'Ediman'}}, {'name': {'family': 'Karo Karo', 'lineage': None, 'honourific': None, 'given': 'Pulung'}}]","Pengaruh Konsentrasi Ekstrak Kulit Buah Maja (Aegle
Marmelos (l.) Corea) terhadap Laju Korosi Baja Karbon  
API 5L pada Medium NaCl 3% dan H
2
SO
4
 3%",TRUE,['Universitas Lampung'],,,,,,,,,,,,,,,
3,published,['QC'],"The investigation of effect NaOH in extracting nanosilika from pumice has been carried out. The aim of research is to study the effect of variation NaOH against the amount and chemical compositions of nanosilica extract results. The extraction process is carried out with NaOH, H2SO4 and HCl. Variations of NaOH used are 2.0 M, 2.5 M, 3.0 M, 3.5 M and 4.0 M. Pumice powder was calcined at 500°C for 4 hours and nanosilica powder was calcined at 800°C for 5.5 hours. Nanosilica was characterized by X-Ray Flouresence (XRF), X-Ray Diffractometer (XRD) and Transmission Electron Microscopy (TEM). The results of extraction increases with increasing of NaOH concentration. XRF analysis shows that the highest amorphous nanosilica was obtained in nanosilica of  NaOH 3.0 M. Difractogram XRD shows that pumice powder formed anorthite and albite phase and nanosilika 3.0 M NaOH has amorphous phase. Based on TEM result, the particle size of amorphous nanosilica NaOH 3.0 M is in the range of 8.8-19.5 nm and the average of particle size is (14.8 ± 3.07) nm",6.0,http://repository.lppm.unila.ac.id/id/eprint/11470,2018-07-01 00:00:00.000000000,Jurusan Fisika FMIPA Universitas Lampung,Jurnal Teori dan Aplikasi Fisika,['FMIPA1'],disk0/00/01/14/70,public,2303-016X,2019-05-02 04:10:45,6,pub,2019-05-02 04:10:45,11470,,archive,show,209-2017,1168,2.0,2019-05-02 04:10:45,https://jurnal.fmipa.unila.ac.id/jtaf/article/view/1846,"[{'placement': 1, 'eprintid': 11470, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24467', 'security': 'public', 'files': [{'hash': 'da8c916727c51c0258dd823fb8543c51', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 104139, 'uri': 'http://repository.lppm.unila.ac.id/id/file/104139', 'filename': '1846-4349-1-PB_compressed.pdf', 'objectid': 24467, 'filesize': 132366, 'mtime': '2019-05-01 03:16:34', 'hash_type': 'MD5'}], 'main': '1846-4349-1-PB_compressed.pdf', 'docid': 24467, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",article,"[{'id': None, 'name': {'family': 'Ginting', 'lineage': None, 'honourific': None, 'given': 'Erika'}}, {'id': 'reip65@yahoo.com', 'name': {'given': 'Posman', 'lineage': None, 'family': 'Manurung', 'honourific': None}}, {'id': 'agus.riyanto@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Riyanto', 'honourific': None, 'given': 'Agus'}}]",PENGARUH KONSENTRASI NaOH PADA EKSTRAK NANOSILIKA BERBASIS BATU APUNG,TRUE,['Universitas Lampung'],[{'url': 'https://jurnal.fmipa.unila.ac.id/jtaf/article/view/1846'}],,,,,,,,,,,,,,
4,published,['QC'],"In this study, the addition of aluminum (Al) and magnesium (Mg) at the zinc (Zn) electrode as the sacrifice anode in an alternative sea-based electrical energy system was carried out. The sacrifice anode method is used as a way to prevent the corrosion of Zn electrodes. There are 3 types of electrode treatments, namely Cu-Zn, Cu-ZnAl, and Cu-ZnMg. The tool is designed to have 20 cells arranged in series and given a load of 3 Watt LED lights. Tool testing is carried out for 72 hours with electrolyte replacement every 24 hours. The measurement results showed that the Cu-ZnMg electrode produced the highest power output compared to the Cu-Zn and Cu-ZnAl electrodes. The maximum value of power from the Cu-ZnMg electrode is 125.71 mW while the electrodes of Cu-Zn and Cu-ZnAl have maximum power values of 49.49 mW and 52.48 mW respectively. The value of the intensity of the light generated from the instrument shows that the greater the power released, the higher the intensity of light. The lowest corrosion rate was generated by the Cu-ZnMg electrode of 0.079 mm/year after 72 hours of testing. This shows that the addition of sacrificial anode metal with a higher potential electrode value can produce higher and longer electrical energy and a lower corrosion rate",6.0,http://repository.lppm.unila.ac.id/id/eprint/12486,2018-07-01 00:00:00.000000000,Jurusan Fisika FMIPA Universitas Lampung,Jurnal Teori dan Aplikasi,['FMIPA1'],disk0/00/01/24/86,none,2303-016x,2019-05-14 02:03:04,6,pub,2019-05-14 02:03:04,12486,http://dx.doi.org/10.23960%2Fjtaf.v6i2,archive,show,249-256,672,2.0,2019-05-14 02:03:04,,,article,"[{'name': {'given': 'Latifah', 'honourific': None, 'lineage': None, 'family': 'Kamalia'}, 'id': None}, {'name': {'lineage': None, 'family': 'Suciyati', 'honourific': None, 'given': 'SW'}, 'id': 'sri.wahyu@fmipa.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Gurum A. Pauzi', 'honourific': None, 'given': 'Gurum A.Pauzi'}}]",ANALISIS LAJU KOROSI ELEKTRODE BAHAN CuZn DENGAN METODE SACRIFICIAL ANODE PADA SISTEM ENERGI LISTRIK ALTERNATIF BERBASIS AIR LAUT,TRUE,['universitas lampung'],[{'url': 'http://jurnal.fmipa.unila.ac.id/jtaf/'}],['Universitas Lampung'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,,,
5,,['QC'],,1.0,http://repository.lppm.unila.ac.id/id/eprint/27079,2018-03-01 00:00:00.000000000,Andi  Offset,,['FMIPA1'],disk0/00/02/70/79,none,,2020-12-10 08:27:20,6,pub,2020-12-10 08:27:20,27079,,archive,show,,781,,2020-12-10 08:27:20,https://www.andipublisher.com/,,book,"[{'id': 'reip65@yahoo.com', 'name': {'lineage': None, 'family': 'Manurung', 'honourific': None, 'given': 'Posman'}}]",Nanomaterial: Tinjauan Ilmu Masa Kini,TRUE,,,,,210.0,Yogyakarta,9789792963687.0,,,,,,,,,
6,submitted,['QC'],"It has been proved that Pt80Au14Ti6 can give proper signals as a CO sensitive layer in air at room temperature. Unfortunately, there is no signal anymore from this sample, if it is kept in air more than 24 hours.  To find the way how to refresh the samples, etching the samples in dry etching technic solves this problem. The atmosphere testing also has been done in technic etcher chamber by keeping the samples separately in Ar, N2, CO, and O2 with pressure 1 atm for 24 hours without taking out the samples after etching process from the chamber. These experiments found that oxygen causes this loss signal problem. Based on some scientific reports, oxygen can diffuse up to 170 Angstrom under the Pt surface to be subsurface oxygen. This diffusion changes the surface structure of Pt(100)(1x1) to hex-Pt(100) which impacts the attenuating of the initial sticking coefficient of gases. Simulations which have been conducted in this research produced the attenuating factor, i.e., 1 − 0.00585 exp (5.76664Osub), where Osub is the concentration of subsurface oxygen.

Keywords: initial, sticking, coefficient, attenuation, gas",,http://repository.lppm.unila.ac.id/id/eprint/8984,2018-09-01 00:00:00.000000000,,,['FMIPA1'],disk0/00/00/89/84,public,,2018-11-02 01:53:12,10,submitted,2018-11-02 01:53:12,8984,,archive,show,,905,,2018-11-02 01:53:12,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 22244, 'main': 'Full-paper-Roniyus Marjunus.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '5e79c417730713bf5e88b703092528d1', 'datasetid': 'document', 'fileid': 88298, 'uri': 'http://repository.lppm.unila.ac.id/id/file/88298', 'filename': 'Full-paper-Roniyus Marjunus.pdf', 'objectid': 22244, 'filesize': 859787, 'mtime': '2018-10-31 08:39:22', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22244', 'security': 'public', 'placement': 1, 'eprintid': 8984}, {'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 88300, 'mime_type': 'application/pdf', 'hash': '22fcd512b32351794f253e16a700cfa4', 'hash_type': 'MD5', 'mtime': '2018-10-31 08:39:33', 'objectid': 22245, 'filesize': 512783, 'uri': 'http://repository.lppm.unila.ac.id/id/file/88300', 'filename': 'Presentation at ICASMI 2018.pdf'}], 'main': 'Presentation at ICASMI 2018.pdf', 'docid': 22245, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 8984, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22245'}, {'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22246', 'pos': 3, 'eprintid': 8984, 'placement': 3, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 22246, 'main': 'SERTIFIKAT ICASMI 2018 SEBAGAI PRESENTER        470.pdf', 'files': [{'objectid': 22246, 'filesize': 235877, 'uri': 'http://repository.lppm.unila.ac.id/id/file/88302', 'filename': 'SERTIFIKAT ICASMI 2018 SEBAGAI PRESENTER        470.pdf', 'hash_type': 'MD5', 'mtime': '2018-10-31 08:39:45', 'fileid': 88302, 'datasetid': 'document', 'hash': '970b0b5cffd43c0cd34321bc43be49da', 'mime_type': 'application/pdf'}]}]",conference_item,"[{'id': 'roniyus.1977@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Marjunus', 'honourific': None, 'given': 'Roniyus'}}]",Initial Sticking Coefficient Attenuation of Gases in Carbon Monoxide Sensing on Pt80Au14Ti6,FALSE,['University of Lampung'],,"['Ministry of Research, Technology and Higher Education of Republic of Indonesia', 'Universitaet der Bundeswehr Muenchen']",,,,,"Hotel Horison, Bandar Lampung, Indonesia",speech,9-11 Agustus 2018,The 2nd International Conference on Applied Sciences Mathematics and Informatics,conference,,,,
7,,['QD'],"Dalam penelitian ini telah dilakukan sintesis CaO/SiO2 menggunakan batu kapur (CaCO) dan silika sekam padi. CaO/SiO2 disintesis dengan menvariasikan komposisi CaO terhadap silika yakni 5, 10, 15, 20, dan 25%. Sintesis dilakukan dengan metode sol gel dengan cara menambahkan sejumlah padatan CaCO2 yang telah terlebih dahulu dilarutkan dalam HNO3 10% hingga diperoleh komposisi CaO/SiO2 yang bervariasi. Selanjutnya masing-masing CaO/SiO2 dikalsinasi pada pada suhu 600 °C selama 6 jam. Untuk mengetahui aktivitas CaO/SiO2 sebagai katalis, kelima sampel diujikan dalam reaksi transesterifikasi minyak kelapa dengan metanol. Hasil penelitian mengindikasikan bahwa kelima sampel CaO/SiO2 mampu mengkonversi minyak kelapa menjadi campuran metil ester dan unjuk kerja terbaik ditunjukkan oleh katalis dengan kandungan CaO 25%, dengan tingkat konversi sebesar 93,1%. Selanjutnya katalis terbaik ini digunakan untuk mempelajari variabel reaksi yang dapat mempengaruhi tingkat konversi minyak kelapa. Kondisi optimum transesterifikasi adalah menggunakan perbandingan metanol terhadap minyak yakni 4:1, dengan jumlah katalis sebanyak 5% yang dilakukan selama 60 menit. Analisis GC-MS menunjukkan produk reaksi terdiri dari campuran metil ester yang sesuai dengan kandungan asam lemak dalam minyak kelapa dan komponen utamanya adalah metil laurat.",,http://repository.lppm.unila.ac.id/id/eprint/12278,2018-11-13 00:00:00.000000000,,,['FMIPA1'],disk0/00/01/22/78,public,,2019-05-09 08:24:21,8,unpub,2019-05-09 08:24:21,12278,,archive,show,,761,,2019-05-09 08:24:21,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25256', 'eprintid': 12278, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'filesize': 1306412, 'objectid': 25256, 'uri': 'http://repository.lppm.unila.ac.id/id/file/109538', 'filename': 'BukitRandu-kamisah.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-09 06:58:14', 'fileid': 109538, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c9dff996d8799a2ffa41ac17a477c911'}], 'main': 'BukitRandu-kamisah.pdf', 'docid': 25256}]",conference_item,"[{'name': {'given': 'Kamisah Delilawati', 'family': 'Pandiangan', 'lineage': None, 'honourific': None}, 'id': 'kamisahdelilawati@yahoo.com'}, {'name': {'honourific': None, 'family': 'Simanjuntak', 'lineage': None, 'given': 'Wasinton'}, 'id': 'wasinton.simanjuntak@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Satria', 'honourific': None, 'given': 'Heri'}, 'id': 'heri.satria@fmipa.unila.ac.id'}, {'id': 'ilim@fmipa.unila.ac.id', 'name': {'given': 'Ilim', 'honourific': None, 'lineage': None, 'family': 'Ilim'}}, {'id': None, 'name': {'given': 'Aspita', 'lineage': None, 'family': 'Laila', 'honourific': None}}]","SINTESIS CaO/SiO
2
 DENGAN METODE SOL GEL DAN APLIKASINYA SEBAGAI KATALIS
REAKSI TRANSESTERIFIKASI MINYAK KELAPA",FALSE,,,,,,,,Hotel Bukit Randu Bandar Lampung,speech,"Rabu, 14 November 2018",Seminar Nasional Hasil-Hasil Pengabdian Kepada Masyarakat 2018,conference,,,,
8,published,['QC'],"Research on the electrical characteristics of electrochemical cells with electrolyte of seawater with the addition of NaHCO
 using Cu-Zn electrodes was carried out. This electrochemical system is designed to be able to replace electrolyte sea water without making electrodes used directly exposed to air. Measurements of electrical characteristics include voltage, current, and power, and luminance produced by 1.2 watt LED loads. This study compared the electrical characteristics of electrochemical cells with and without the
addition of NaHCO3. Measurements are carried out for 5 days (120 hours) with electrolyte replacement every 24 hours. The results showed that the electrochemical system with the addition of NaHCO3 was able to turn on the LED for longer (5 days) compared to without the addition of NaHCO3 which was only able to turn on the LED for 3 days. The corrosion rate on Cu-Zn electrodes without the addition of NaHCO3 the longer it is used the greater, whereas with the addition of NaHCO  there is no corrosion.",8.0,http://repository.lppm.unila.ac.id/id/eprint/11204,2018-11-29 00:00:00.000000000,Jurusan Fisika Universitas Negeri Semarang,Jurnal Fisika,['FMIPA1'],disk0/00/01/12/04,public,2088-1509,2019-04-29 08:13:21,8,pub,2019-04-29 08:13:21,11204,,archive,show,78-85,387,2.0,2019-04-29 08:13:21,https://journal.unnes.ac.id/nju/index.php/jf/article/view/16982,"[{'eprintid': 11204, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24204', 'format': 'text', 'main': '16982-41853-1-PB.pdf', 'docid': 24204, 'files': [{'hash': '04034b01d4fc090b4718d29782ce09b7', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 102270, 'mtime': '2019-04-18 06:41:52', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/102270', 'filename': '16982-41853-1-PB.pdf', 'objectid': 24204, 'filesize': 504548}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",article,"[{'name': {'given': 'Gurum Ahmad', 'lineage': None, 'family': 'Pauzi', 'honourific': None}, 'id': 'gurum.ahmadpauzi@fmipa.unila.ac.id'}, {'id': None, 'name': {'given': 'Randha Kentama', 'honourific': None, 'lineage': None, 'family': 'Arwaditha'}}, {'id': 'amir.supriyanto@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Supriyanto', 'given': 'Amir'}}, {'name': {'lineage': None, 'family': 'Suciyati', 'honourific': None, 'given': 'SW'}, 'id': 'sri.wahyu@fmipa.unila.ac.id'}, {'id': 'arif.surtono@fmipa.unila.ac.id', 'name': {'given': 'Arif', 'lineage': None, 'family': 'Surtono', 'honourific': None}}, {'id': 'junaidi.1982@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Junaidi', 'given': 'Junaidi'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Warsito', 'given': 'Warsito'}, 'id': 'warsito@fmipa.unila.ac.id'}]",Desain dan Realisasi Akumulator Elektrolit Air Laut dengan Penambahan Sodium Bicarbonate (NaHCO3) sebagai Sumber Energi Alternatif,TRUE,,,,,,,,,,,,,,,,
9,published,['QC'],"The electrical characterization research of electrochemical cell based seawater by using electroplating Cu-Zn electrode with Ag (Cu (Ag)-Zn) has been done. Measurement data is performed to determine the voltage at no load and with the 12 V 3W LED and lumination load. The measurement results were compared with electrochemical cells using Cu-Zn Electrodes without electroplating. Sea water that has been used has a salinity level of 3.5% which has three times the screening process. Measurement data has been taken every hour for 72 hours by refilling sea water every 24 hours. The average voltage drop for electrodes without electroplating is 0.03%, whereas for electrodes with electroplating is 0.01%. The lumination difference is up to 72 hours which is 4 times brighter than Cu-Zn without electroplating process.",2.0,http://repository.lppm.unila.ac.id/id/eprint/9639,2018-08-09 00:00:00.000000000,,The 2nd International Conference on Applied Sciences Mathematics and Informatics,['FMIPA1'],disk0/00/00/96/39,public,,2018-11-09 03:21:56,7,submitted,2018-11-09 03:21:56,9639,,archive,show,,434,1.0,2018-11-09 03:21:56,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 22663, 'main': 'icasmi2018Gurum.pdf', 'files': [{'fileid': 91443, 'datasetid': 'document', 'hash': '6596d1d7962390f50d76b82067c2e23b', 'mime_type': 'application/pdf', 'filesize': 300376, 'objectid': 22663, 'uri': 'http://repository.lppm.unila.ac.id/id/file/91443', 'filename': 'icasmi2018Gurum.pdf', 'hash_type': 'MD5', 'mtime': '2018-11-08 15:50:33'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22663', 'security': 'public', 'placement': 1, 'eprintid': 9639}]",article,"[{'name': {'lineage': None, 'family': 'Pauzi', 'honourific': None, 'given': 'Gurum Ahmad'}, 'id': 'gurum.ahmadpauzi@fmipa.unila.ac.id'}, {'name': {'given': 'Ketrin Chintia', 'honourific': None, 'lineage': None, 'family': 'Riski'}, 'id': 'ketrin.chintia@gmail.com'}, {'id': 'sri.wahyu@fmipa.unila.ac.id', 'name': {'given': 'SW', 'honourific': None, 'family': 'Suciyati', 'lineage': None}}, {'name': {'given': 'Junaidi', 'family': 'Junaidi', 'lineage': None, 'honourific': None}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'name': {'given': 'Arif', 'honourific': None, 'family': 'Surtono', 'lineage': None}, 'id': 'arif.surtono@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Supriyanto', 'honourific': None, 'given': 'Amir'}, 'id': 'amir.supriyanto@fmipa.unila.ac.id'}, {'id': 'warsito@fmipa.unila.ac.id', 'name': {'given': 'Warsito', 'honourific': None, 'family': 'Warsito', 'lineage': None}}]",Improvement of Electrical Characteristics of Electrochemical Cells made from Sea Water Using Electroplating Method of Cu (Ag)-Zn Electrode as Renewable Energy Source,TRUE,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/CLL'}],,,,,,,,,gurum.ahmadpauzi@fmipa.unila.ac.id,"[1]	M. S. El-Sebaey, S. El-Din, M. Habib, and A. El-Hanafy, “An Experimental Study on a New Design of Double Slope Solar Still with External Flatted and Internal Parabolic Reflectors,” IOSR J. Mech. Civ. Eng., vol. 9, no. 6, pp. 40–54, 2013.
[2]	S. Barstow and A. Kabuth, “Assessing the global wave energy potential,” Proc. OMAE2010 29th, no. 2008, 2010.
[3]	G. A. Pauzi, E. Hudaya, A. Supriyanto, Warsito., and A. Surtono, “Analisis Karakteristik Elektrik Air Laut Sebagai Sumber Energi Listrik Terbarukan,” SN SMIAP Proceeding 2016, vol. 4, pp. 1–8, 2016.
[4]	G. A. Pauzi, A. Sa, D. Rahmayanti, N. Em, J. Prof, S. Brojonegoro, and N. Bandar, “Perhitungan Laju Korosi di dalam Larutan Air Laut dan Air Garam 3 % pada Paku dan Besi ASTM A36,” J. Ilm. Penelit. dan Pembelajaran Fis., vol. 1, no. 1, 2015.
[5]	L. Chen, H. J. A, L. Xu, and G. Lu, “Electrochemical Recovery of Copper from Spent Alkaline Etching Solutions,” Conf. Pap. Recycl. Waste treaIment Miner. Met. Prooesstng Tech. Econ. Asp. 16-20 June 2002 sweden, vol. 43, pp. 1–2, 2002.
[6]	L. Chen, H. Jing, L. Xu, and G. Lu, “Study on Non-Cyanide Silver Electroplating With Copper Substrate,” Adv. Mater. Res., pp. 2936–2939, 2012.
[7]	C. Cheng, T. Arunagiri, and O. Chyan, “Electrodeposition of Silver and Copper / Silver Multilayer on Ruthenium Substrate as a Potential New Metal Interconnect for Integrated Circuits,” Am. J. Undergrad. Res., vol. 2, no. 1, pp. 11–18, 2003.
[8]	X. M. Liu, S. L. Wu, P. K. Chu, C. Y. Chung, J. Zheng, and S. L. Li, “Effects of coating process on the characteristics of Ag – SnO 2 contact materials,” Elsevier J. Mater. Chem. Phys. 98 477–480, vol. 98, pp. 477–480, 2006.","Sea Water, Electrochemical Cells, Cu (Ag) -Zn, Cu-Zn, electroplating",
