,subjects,book_title,abstract,uri,date,publisher,dir,divisions,status_changed,full_text_status,rev_number,ispublished,eprint_status,editors,eprintid,datestamp,metadata_visibility,contributors,userid,documents,lastmod,type,creators,refereed,title,place_of_pub,volume,projects,publication,funders,issn,keywords,pages,contact_email,official_url,number,pagerange,date_type,isbn,event_dates,pres_type,event_location,event_type,related_url,event_title,corp_creators,id_number,department,institution,monograph_type
0,"['B1', 'HX']",Friedrich Engels: Pemikiran dan Kritik,Sejak dua dasawarsa terakhir anggapan bahwa Marxisme yang 'Promethean' telah dipatahkan oleh serangkaian pembacaan baru yang mengemukakan pentingnya dimensi ekologis dalam pemikiran Marx dan Engels. Urgensi ini diartikulasikan dalam konsepsi metabolisme yang Marx gunakan untuk memahami relasi manusia dan alam. Perhatian atas dimensi ekologis serta ilmu pengetahuan alam juga kentara dalam karya‐karya Friedrich Engels. Esai ini ditujukan untuk memperkenalkan pemikiran ekologi Friedrich Engels. Pandangan Engels tentang ekologi sesungguhnya memiliki relevansi yang kuat dengan perkembangan pemikiran dalam bidang kajian antropologi lingkungan atau ekologi manusia.,http://repository.lppm.unila.ac.id/id/eprint/37623,2020,Ultimus,disk0/00/03/76/23,['FISIP7'],2022-01-06 01:13:29,public,8,pub,archive,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Mulyanto', 'given': 'Dede'}}, {'name': {'given': 'Fuad', 'lineage': None, 'family': 'Abdulgani', 'honourific': None}, 'id': 'fuad.abdulgani@fisip.unila.ac.id'}]",37623,2022-01-06 01:13:29,show,"[{'name': {'given': 'Fuad', 'lineage': None, 'family': 'Abdulgani', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'Fuad', 'lineage': None, 'family': 'Abdulgani', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/EDT'}, {'name': {'given': 'Dede', 'family': 'Mulyanto', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/EDT'}]",19826,"[{'placement': 1, 'eprintid': 37623, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158554', 'pos': 1, 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '37e4221b633a222490d176c8252fa72b', 'datasetid': 'document', 'fileid': 429338, 'mtime': '2022-01-05 07:32:34', 'hash_type': 'MD5', 'filename': 'Pemikiran_Ekologis_Friedrich_Engels_Tawa (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/429338', 'filesize': 318850, 'objectid': 158554}], 'main': 'Pemikiran_Ekologis_Friedrich_Engels_Tawa (2).pdf', 'docid': 158554, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-01-06 01:13:29,book_section,"[{'name': {'honourific': None, 'family': 'Abdulgani', 'lineage': None, 'given': 'Fuad'}}]",TRUE,Pemikiran Ekologis Friedrich Engels: Tawaran menuju Ekologi Manusia Marxian,Bandung,,,,,,,,,,,,,,,,,,,,,,,,
1,"['GN', 'H1', 'HT']",,"Tulisan ini menganalisis bagaimana orang Kais, salah satu komunitas pemburu-peramu di wilayah hutan sagu alami Papua Barat, menghadapi dan melibatkan diri dalam proses industrialisasi pertanian. Pengorganisiran tenaga kerja orang Kais ke dalam proses produksi kapitalis dimungkinkan oleh eksistensi dominasi politik laki-laki terhadap akses dan penguasaan sumberdaya kolektif (klan), sehingga menempatkan mereka sebagai kelompok yang menentukan dalam merespons kepentingan industri atas kebutuhan bahan baku mentah (pohon sagu) serta tenaga kerja sebagai prasyarat bekerjanya operasi industrial. Meluasnya peran pasar sebagai sarana dalam memenuhi kebutuhan hidup telah membawa orang Kais ke dalam proses komodifikasi subsistensi yang pada gilirannya mendesak mereka untuk lebih intensif terlibat di dalam relasi kerja upahan pada aktivitas produksi kapitalis (komodifikasi tenaga kerja), terutama bagi golongan laki-laki muda, sekalipun secara de facto orang Kais tidak terlebih dahulu mengalami proses akumulasi primitif. Proses interaksi antar-dua moda produksi, yakni moda kapitalis dan moda produksi berlandaskan kekerabatan, serta konsekuensinya terhadap lingkungan dan ikatan-ikatan sosial penduduk setempat yang ditemukan, pada gilirannya meragukan pendekatan industrial dalam pelaksanaan pembangunan ekonomi di Papua; semenjak komunitas-komunitas pemburu-peramu yang sara diri ditransformasi menjadi tenaga kerja murah tanpa memiliki kendali dalam proses dan hasil dari pembangunan itu sendiri.",http://repository.lppm.unila.ac.id/id/eprint/37622,2020,Insist Press,disk0/00/03/76/22,['FISIP7'],2022-01-06 01:13:27,public,8,pub,archive,,37622,2022-01-06 01:13:27,show,"[{'name': {'honourific': None, 'family': 'Abdulgani', 'lineage': None, 'given': 'Fuad'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",19826,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2022-01-05 07:08:58', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/429329', 'filename': 'Sang_Pemburu_dalam_Jerat_Kerja_Upahan_Fuad Abdulgani (2020).pdf', 'objectid': 158553, 'filesize': 821422, 'hash': 'f7e689d08e626f699b7c0d748981e459', 'mime_type': 'application/pdf', 'fileid': 429329, 'datasetid': 'document'}], 'main': 'Sang_Pemburu_dalam_Jerat_Kerja_Upahan_Fuad Abdulgani (2020).pdf', 'docid': 158553, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158553', 'eprintid': 37622, 'placement': 1}]",2022-01-06 01:13:27,article,"[{'name': {'lineage': None, 'family': 'Abdulgani', 'honourific': None, 'given': 'Fuad'}, 'id': 'fuad.abdulgani@fisip.unila.ac.id'}]",TRUE,Sang Pemburu dalam Jerat Kerja Upahan: Investigasi Moda Produksi dalam Proses Industrialisasi Sagu di Papua Barat,,38.0,['CaRED'],Wacana: Jurnal Transformasi Sosial,['New Zealand Aid Programme'],2549-8169,"moda produksi, komodifikasi subsistensi, komodifikasi
tenaga kerja, proses kerja, industrialisasi",,,,,,,,,,,,,,,,,,
2,"['B1', 'HX']",,,http://repository.lppm.unila.ac.id/id/eprint/37624,2020-04,Perhimpunan Muda,disk0/00/03/76/24,['FISIP7'],2022-01-06 01:13:31,public,8,pub,archive,,37624,2022-01-06 01:13:31,show,"[{'name': {'given': 'Fuad', 'family': 'Abdulgani', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUI'}]",19826,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 158555, 'main': 'PERHIMPUNAN_MUDA_Collected_Notes_from_Marxism Studies.pdf', 'files': [{'mtime': '2022-01-05 07:43:43', 'hash_type': 'MD5', 'filename': 'PERHIMPUNAN_MUDA_Collected_Notes_from_Marxism Studies.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/429346', 'objectid': 158555, 'filesize': 3158713, 'mime_type': 'application/pdf', 'hash': '76fe1fd765436ddccdb763faba622bee', 'fileid': 429346, 'datasetid': 'document'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158555', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 37624}]",2022-01-06 01:13:31,book,"[{'name': {'lineage': None, 'family': 'Abdulgani', 'honourific': None, 'given': 'Fuad'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Syahrani', 'given': 'Benny'}}, {'name': {'given': 'Fransesco', 'honourific': None, 'family': 'Hugo', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Sasongko', 'honourific': None, 'given': 'Kresna'}}, {'name': {'given': 'Reza', 'honourific': None, 'family': 'Hilmawan', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Frinaldi', 'given': 'Rengga'}}]",TRUE,Perhimpunan Muda Collected Notes from Marxism Studies in 2014,,,,,,,,327.0,fuad.abdulgani@fisip.unila.ac.id,,,,,,,,,,,,,,,,
3,['HM'],,"ABSTRAK Penelitian  ini  bertujuan  untuk  mengetahui  praktik  perilaku  nilai  kearifan  lokal Sakai-Sambayan, dan berbagai faktor penghambat dalam pelaksanaan dan pelestariannya dalam kehidupan  masyarakat  adat  sehari-hari  di  Desa  Maja,  Kecamatan  Kalianda  Lampung Selatan.  Penelitian  ini  menggunakan  pendekatan  kualitatif  yang  dianggap  sebagai  cara yang relevan untuk memperoleh informasi yang valid, khususnya tentang realitas praktik perilaku  kearifan  lokal Sakai-Sambayan  dalam  kehidupan  masyarakat  adat  sehari-hari pada  umumnya.  Berdasarkan  hasil  penelitan  ini  diketahui  bahwa  pelaksanaan  tradisi Sakai-Sambayan dalam  kehidupan  masyarakat  adat  di  lingkungan  Desa Maja  masih berjalan  dalam  batas  waktu  dan  tempat  yang  tidak  mengikat  peluang  warga  untuk kepentingan memenuhi kebutuhan internal keluarga. Secara umum diketahui ada 3 (tiga) faktor  penghambat  pelaksanaan  dan  pelestarian  kegiatan Sakai-Sambayan  yaitu  faktor pertambahan  penduduk,  perubahan  pola  pikir  warga  dan  kurangnya  frekuensi sosialisasi terhadap keluarga dan warga pada umumnya.  

Kata Kunci: Kearifan Lokal, Sakai-Sambayan.",http://repository.lppm.unila.ac.id/id/eprint/31977,2020-03,Sosiologi FISIP Universitas Lampung,disk0/00/03/19/77,['FISIP7'],2021-06-04 01:36:43,public,6,pub,archive,,31977,2021-06-04 01:36:43,show,,745,"[{'files': [{'filesize': 200835, 'objectid': 144867, 'filename': '50-Article Text-178-1-10-20210205.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/378420', 'hash_type': 'MD5', 'mtime': '2021-06-03 17:38:02', 'fileid': 378420, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '34bfe37e0fb75872216fcf5db1ff43f6'}], 'main': '50-Article Text-178-1-10-20210205.pdf', 'docid': 144867, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 31977, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144867', 'security': 'public'}]",2021-06-04 01:36:43,article,"[{'name': {'family': 'Abdulsyani', 'lineage': None, 'honourific': None, 'given': 'Abdulsyani'}, 'id': 'abdul.syani@fisip.unila.ac.id'}, {'name': {'given': 'Pairulsyah', 'family': 'Pairulsyah', 'lineage': None, 'honourific': None}, 'id': 'pairulsyah.1963@fisip.unila.ac.id'}, {'id': 'suwarno.1965@fisip.unila.ac.id', 'name': {'given': 'Suwarno', 'honourific': None, 'family': 'Suwarno', 'lineage': None}}, {'id': 'anita.damayanti@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Anita Damayantie', 'lineage': None, 'given': 'Anita'}}]",TRUE,"NILAI KEARIFAN LOKAL SAKAI SAMBAYAN (STUDI PADA KEHIDUPAN MASYARAKAT ADAT DI DESA MAJA,KECAMATAN KALIANDA LAMPUNG SELATAN)",,22.0,,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,,p-ISSN 1411-0040 dan e-ISSN 2549-7235,,,,http://jurnalsosiologi.fisip.unila.ac.id/index.php/jurnal,1.0,91-105,published,,,,,,,,,,,,
4,['HM'],,"Abstrak.  
Tujuan umum dilakukan kegiatan pengabdian kepada masyarakat ini adalah mensosialisasikan pengembangan desa wisata berbasis budaya di Desa Maja, Kecamatan Kalianda, Lampung Selatan. Kegiatan pengabdian kepada masyarakat ini menggunakan metode ceramah dan diskusi. Metode
ceramah dan diskusi di dalam ruangan yang digunakan untuk menyajikan materi. Adapun materi yang akan diberikan adalah peranan kepala pemerintahan adat dalam mewujudkan desa wisata, peranan aparat desa adat dalam mewujudkan desa wisata berbasis budaya,pelayanan publik yang
efektif dan efisiendalam mewujudkan desa wisata berbasis budaya, dan penguatan kelembahan dan sinergitas antara pemerintah adat dan aparat desa dalam mewujudkan desa wisata berbasis budaya. Berdasarkan hasil evaluasi dilapangan dapat disimpulkan bahwa setelah peserta mengikuti penyuluhan, pemahaman peserta terhadap materi yang diberikan meningkat sebesar 18,67 %. Pemahaman peserta sebelum dilakukannya tugas pokok dan fungsi tokoh adat sebesar 60,67, sedangkan setelah dilakukannya penyuluhan menunjukkan adanya meningkatan nilai menjadi 79,33. Hal ini menunjukkan bahwa pemahaman masyarakat tentang merevitalisasi strategi pengembangan desa wisata berbasis budaya menjadi meningkat. Selain itu, peserta juga terlihat antusiasme peserta mengajukan pertanyaan terkait dengan materi yang diberikan. 

Kata kunci: Desa Wisata, Budaya Lokal, Wisata Budaya.",http://repository.lppm.unila.ac.id/id/eprint/32047,2020-12-09,LPPM Unila,disk0/00/03/20/47,['FISIP7'],2021-06-04 07:14:14,public,8,pub,archive,,32047,2021-06-04 07:14:14,show,,1144,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145223', 'eprintid': 32047, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 145223, 'main': '19-Article Text-22-1-10-20201229.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-04 06:02:07', 'objectid': 145223, 'filesize': 266485, 'filename': '19-Article Text-22-1-10-20201229.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/379272', 'datasetid': 'document', 'fileid': 379272, 'hash': '8e022478dbddb818a78b8f9d24be43f2', 'mime_type': 'application/pdf'}]}]",2021-06-04 07:14:14,article,"[{'name': {'given': 'Abdulsyani', 'honourific': None, 'lineage': None, 'family': 'Abdulsyani'}, 'id': 'abdul.syani@fisip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Suwarno', 'honourific': None, 'given': 'Suwarno'}, 'id': 'suwarno.1965@fisip.unila.ac.id'}, {'id': 'pairulsyah.1963@fisip.unila.ac.id', 'name': {'given': 'Pairulsyah', 'honourific': None, 'lineage': None, 'family': 'Pairulsyah'}}, {'id': 'damar.wibisono@fisip.unila.ac.id', 'name': {'given': 'DW', 'family': 'damar wibisono', 'lineage': None, 'honourific': None}}]",TRUE,"Strategi Pengembangan Desa Wisata Berbasis
Budaya di Desa Maja, Kecamatan Kalianda, 
Kabupaten Lampung Selatan",,1.0,,Sumbangsih: Jurnal Pengabdian kepada Masyarakat LPPM Unila,,,,,,https://sumbangsih.lppm.unila.ac.id/index.php/jsh,18.0,124-129,published,,,,,,,,,,,,
5,['HM'],,"ABSTRAK Penelitian  ini  hendak  menggambarkan  kondisi  sosial-ekonomi  komunitas  petani  korban gusuran  PT  BNIL  di  Kecamatan  Banjar  Margo,  Kabupaten  Tulang  Bawang,  Lampung. Penelitian  dilakukan  dengan  kerangka  pemikiran  ekonomi  politik  agraria  dan  pendekatan penelitian  kualitatif.  Penelitian  akan  dilakukan  pada  sample  satu  desa  yang  penduduknya korban  gusuran  PT  BNIL  serta  menjadi  pusat  pengorganisiran  serikat  petani  yakni  desa Bujuk  Agung.  Kajian  akademik  dan  laporan  jurnalistik  tentang  konflik  agraria  yang melibatkan  petani  Tulang  Bawang  dan  PT  BNIL  sudah  banyak  dihasilkan  namun  hampir seluruhnya  membahas  aspek  konflik.  Catatan  rinci  tentang  kondisi  sosial-ekonomi  apalagi struktur agraria  komunitas petani  yang  berkonflik  itu belum  tersedia.  Padahal, tanpa  adanya gambaran  rinci  tentang  kondisi  sosial-ekonomi  komunitas  petani  tergusur,  sulit  untuk mengetahui seperti apa konsekuensi dari dan bagaimana proses penggusuran berdampak pada komunitas  petani  setempatan.  Informasi  rinci  tentang  kondisi  sosial-ekonomi  juga  dapat digunakan  dalam  konteks  penguatan  kelembagaan  organisasi  petani  untuk  mendukung pelaksanaan  reforma  agraria  dari  “bawah”  yang  didorong  oleh  rakyat.  Penelitian  ini  akan menghasilkan   laporan   tentang   kondisi   sosial-ekonomi   sebagai   dasar   informasi   guna menggambarkan stuktur agraria di wilayah konflik di Tulang Bawang. 

Kata kunci: kondisi sosial-ekonomi, petani, sustainable livelihood",http://repository.lppm.unila.ac.id/id/eprint/31976,2020-03,Sosiologi FISIP Universitas Lampung,disk0/00/03/19/76,['FISIP7'],2021-06-04 01:36:40,public,6,pub,archive,,31976,2021-06-04 01:36:40,show,,742,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144865', 'eprintid': 31976, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 378412, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b08efbd3bbe90622bc45de4ba5f4de9d', 'hash_type': 'MD5', 'mtime': '2021-06-03 17:34:52', 'objectid': 144865, 'filesize': 192397, 'uri': 'http://repository.lppm.unila.ac.id/id/file/378412', 'filename': '47-Article Text-179-1-10-20210205.pdf'}], 'main': '47-Article Text-179-1-10-20210205.pdf', 'docid': 144865}]",2021-06-04 01:36:40,article,"[{'id': 'anita.damayanti@fisip.unila.ac.id', 'name': {'given': 'Anita', 'lineage': None, 'family': 'Anita Damayantie', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Ikram', 'lineage': None, 'given': 'Ikram'}, 'id': 'ikram_badila@yahoo.com'}, {'name': {'lineage': None, 'family': 'Usman Raidar', 'honourific': None, 'given': 'Usman Raidar'}, 'id': 'sosiologifisip@fisip.unila.ac.id'}, {'id': 'handi.mulyaningsih@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Handi Mulyaningsih', 'honourific': None, 'given': 'Handi'}}]",TRUE,KAPASITAS EKONOMI MASYARAKAT PETANI KORBAN GUSURAN PT BNIL TULANG BAWANG DALAM PERSPEKTIF SUSTAINABLELIVELIHOOD,,22.0,,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,,p-ISSN 1411-0040 dan e-ISSN 2549-7235,,,,http://jurnalsosiologi.fisip.unila.ac.id/index.php/jurnal,1.0,48-63,published,,,,,,,,,,,,
6,['HM'],,"Pare terkenal diseluruh dunia, setelah antropolog Clifford Geertz menulis The Religion of Java, dengan menyamarkan nama Pare menjadi “Mojokuto”. Pare merupakan salah satu kampung santri sebagai pusat pendidikan agama Islam, yang banyak tersebar di Kabupaten Kediri. Pondok pesantren modern yang terkenal dengan pembelajaran pendidikan bahasa asing terutama bahasa arab dan bahasa inggris, menjadi cikal bakal terkenalnya Pare sebagai kampung kursus bahasa dan popular juga dengan sebutan “kampung inggris”. Proses transformasi panjang dengan berbagai dinamika sosialnya desa Tulung Rejo dan Pelem telah meninggalkan jejak-jejak perubahan sosial yang signifikan. Kampung kursus bahasa telah memberikan warna modernisasi dalam kehidupan masyarakat lokal.",http://repository.lppm.unila.ac.id/id/eprint/39943,2020,Graha Ilmu,disk0/00/03/99/43,['FISIP7'],2022-03-08 07:21:40,public,7,pub,archive,,39943,2022-03-08 07:21:40,show,"[{'name': {'family': 'Asnani', 'lineage': None, 'honourific': None, 'given': 'Asnani'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'asnani@fisip.unila.ac.id'}]",20737,"[{'files': [{'fileid': 447128, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e0f24c3c53e9108c79ddca9f2c379176', 'filesize': 236679, 'objectid': 161232, 'filename': 'Review.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/447128', 'hash_type': 'MD5', 'mtime': '2022-03-08 05:26:51'}], 'main': 'Review.pdf', 'docid': 161232, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 39943, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161232', 'security': 'public'}]",2022-03-08 07:21:40,other,"[{'name': {'lineage': None, 'family': 'Asnani', 'honourific': None, 'given': 'Asnani'}, 'id': 'asnani@fisip.unila.ac.id'}]",,"(Lembar Review)
Pare: Dinamika Sosial Kampung Kursus Bahasa",,,,,,,,,,,,,published,,,,,,,,,,,,
7,['HM'],,"Pare terkenal diseluruh dunia, setelah antropolog Clifford Geertz menulis The Religion of Java, dengan menyamarkan nama Pare menjadi “Mojokuto”. Pare merupakan salah satu kampung santri sebagai pusat pendidikan agama Islam, yang banyak tersebar di Kabupaten Kediri. Pondok pesantren modern yang terkenal dengan pembelajaran pendidikan bahasa asing terutama bahasa arab dan bahasa inggris, menjadi cikal bakal terkenalnya Pare sebagai kampung kursus bahasa dan popular juga dengan sebutan “kampung inggris”. Proses transformasi panjang dengan berbagai dinamika sosialnya desa Tulung Rejo dan Pelem telah meninggalkan jejak-jejak perubahan sosial yang signifikan. Kampung kursus bahasa telah memberikan warna modernisasi dalam kehidupan masyarakat lokal.",http://repository.lppm.unila.ac.id/id/eprint/39942,2020,Graha Ilmu,disk0/00/03/99/42,['FISIP7'],2022-03-08 07:21:38,public,7,pub,archive,,39942,2022-03-08 07:21:38,show,"[{'name': {'given': 'Asnani', 'lineage': None, 'family': 'Asnani', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'asnani@fisip.unila.ac.id'}, {'id': None, 'name': {'given': 'Fuji Riang', 'lineage': None, 'family': 'Prastowo', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",20737,"[{'format': 'text', 'main': 'Pengesahan+COVER DLL.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/447121', 'filename': 'Pengesahan+COVER DLL.pdf', 'filesize': 1010562, 'objectid': 161231, 'mtime': '2022-03-08 05:11:52', 'hash_type': 'MD5', 'hash': '4004426573f11287ded8257ad93b71a2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 447121}], 'docid': 161231, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39942, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161231'}]",2022-03-08 07:21:38,book,"[{'name': {'given': 'Asnani', 'honourific': None, 'lineage': None, 'family': 'Asnani'}, 'id': 'asnani@fisip.unila.ac.id'}]",TRUE,Pare: Dinamika Sosial Kampung Kursus Bahasa,Yogyakarta,,,,,,,292.0,,http://grahailmu.id/product/pare-dinamika-sosial-kampung-kursus-bahasa/,,,published,978-623-228-746-4,,,,,,,,,,,
8,"['H1', 'HN']",,"PILKADA DI MASA COVID MEMBUTUHKAN PERLAKUAN TEKNIS YANG BERBEDA DENGAN SEAGAIMANA SELAMA INI TELAH DIATUR. KARENA PROTOCOL COVID 19 MENGHARUKAN MENJAGA JARAK 1 METER DALAM INTERAKSI AGAR TIDAK TERJADI PENULARAN. MAKA BERBAGAI INOVASI DALAM PEMUTAHIRAN DATA, PENCALONAN, KAMPANYE, PEMUNGUTAN DAN PENGHITUNGAN SUARA HARUS DILAKUKAN.",http://repository.lppm.unila.ac.id/id/eprint/22214,2020-05-12,"Harian Umum ""Lampung Post""",disk0/00/02/22/14,['FISIP7'],2020-06-10 20:59:07,public,7,pub,archive,,22214,2020-06-10 20:59:07,show,,890,"[{'placement': 1, 'eprintid': 22214, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35631', 'pos': 1, 'security': 'public', 'main': 'JUDUL, ARTIKEL.jpg', 'files': [{'fileid': 204476, 'datasetid': 'document', 'mime_type': 'image/jpeg', 'hash': 'd151d99f89749b04d2652d3b2da113a0', 'objectid': 35631, 'filesize': 1517750, 'filename': 'JUDUL, ARTIKEL.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204476', 'hash_type': 'MD5', 'mtime': '2020-06-10 11:53:07'}], 'docid': 35631, 'format': 'image', 'rev_number': 1, 'language': 'en', 'mime_type': 'image/jpeg'}]",2020-06-10 20:59:07,article,"[{'id': 'handi.mulyaningsih@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Handi Mulyaningsih', 'given': 'Handi'}}]",TRUE,INOVASI PILKADA DI MASA COVID 19,,,,Lampung Post,,1234,,,,https://m.lampost.co,,4-4,,,,,,,,,,,,,
9,['H1'],,"Upaya untuk memutus mata rantai Covid 19, berdampak banyak hal. Pemerintah mengatur bekerja di rumah (work from home/WFH). Hal ini berdampak pada sepinya pengunjung warung-warung makan yang selama ini mengandalkan konsumen pada PNS, karyawan, sopir, dan lainnya. lalu bagaimana strategi bertahan hidup bagi mereka yang terdampak covid 19?",http://repository.lppm.unila.ac.id/id/eprint/22219,2020-05-14,,disk0/00/02/22/19,['FISIP7'],2020-06-10 20:59:12,public,6,pub,archive,,22219,2020-06-10 20:59:12,show,,890,"[{'eprintid': 22219, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35636', 'format': 'image', 'files': [{'filename': 'JUDUL, ARTIKEL.jpeg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204501', 'objectid': 35636, 'filesize': 469956, 'mtime': '2020-06-10 12:53:54', 'hash_type': 'MD5', 'mime_type': 'image/jpeg', 'hash': '90fe0d00dbe3f31e0f40c3705bfbf3d4', 'fileid': 204501, 'datasetid': 'document'}], 'main': 'JUDUL, ARTIKEL.jpeg', 'docid': 35636, 'language': 'en', 'rev_number': 1, 'mime_type': 'image/jpeg'}]",2020-06-10 20:59:12,article,"[{'id': 'handi.mulyaningsih@fisip.unila.ac.id', 'name': {'family': 'Handi Mulyaningsih', 'lineage': None, 'honourific': None, 'given': 'Handi'}}]",TRUE,MEMBANGUN STRATEGI BERTAHAN HIDUPBAGI YANG TERDAMPAK COVID 19,,,,koran editor,,,,,,http://editoronline.co,,,published,,,,,,,,,,,,
