,publisher,divisions,dir,funders,full_text_status,status_changed,ispublished,rev_number,date_type,subjects,abstract,date,uri,isbn,type,creators,title,refereed,place_of_pub,datestamp,eprint_status,eprintid,metadata_visibility,userid,lastmod,pages,documents,patent_applicant,id_number,pagerange,official_url,number,publication,issn,volume,related_url,corp_creators,referencetext,pres_type,event_dates,event_location,event_title,event_type,contributors
0,Aura -Publishing,['FT6'],disk0/00/04/66/07,['Kemdikbud Ristek Dikti'],public,2022-11-14 07:17:07,pub,7,published,['TP'],"Hidrolisis senyawa pati guna menyiapkan bahan baku pembuatan zat etanol secara enzimatis memakai enzim amilase bebas dianggap tipe operasi yang mahal karena enzim tersebut dipergunakan satu kali saja dan recovery enzim bebas tidak praktis secara ekonomi.  Oleh karena itu, amilase amobil juga dikembangkan untuk digunakan dalam proses hidrolisis beragam pati.  Buku ini membahas tentang penyangga-penyangga yang dikembangkan untuk sebagian besar amilase dimana produk enzim amobil diaplikasikan dalam proses hidrolisis pati dikarenakan pengetahuannya yang sangat penting.  Beragam material penyangga dan metode imobilisasi enzim amilase baik secara konvensional maupun lebih maju diungkap yang menghasilkan beragam produk likuifaksi dan sakarifikasi pati.  Didalamnya juga dipaparkan hasil-hasil terkait kemajuan penelitian dalam bidang imobilisasi enzim amilase.  Uraian kajian prospektif mengenai pengembangan tipe reaktor yang tepat untuk pengoperasian proses hidrolisis pati secara kontinyu turut diberikan.",2022-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46607,978-623-211-328-2,book,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}}, {'name': {'lineage': None, 'family': 'Hermida', 'honourific': None, 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]","ENZIM AMILASE AMOBIL@PENYANGGA ANORGANIK:
PREPARASI DAN APLIKASI",TRUE,Bandar Lampung,2022-11-14 07:17:07,archive,46607,show,390,2022-11-14 07:17:07,173.0,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/185497', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 46607, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '0 Draft Buku Enzim Final 4 Repository & surat.pdf', 'docid': 185497, 'files': [{'hash': '35728ae3c0c6466bfeb8b167ccbd3fa3', 'mime_type': 'application/pdf', 'fileid': 513698, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513698', 'filename': '0 Draft Buku Enzim Final 4 Repository & surat.pdf', 'filesize': 2490509, 'objectid': 185497, 'mtime': '2022-11-14 07:00:46', 'hash_type': 'MD5'}], 'format': 'text'}]",,,,,,,,,,,,,,,,,
1,Aura -Publishing,['FT6'],disk0/00/04/63/41,['Kemdikbud Ristek Dikti'],public,2022-11-08 00:57:18,pub,7,published,['TP'],"Hidrolisis senyawa pati guna menyiapkan bahan baku pembuatan zat etanol secara enzimatis memakai enzim amilase bebas dianggap tipe operasi yang mahal karena enzim tersebut dipergunakan satu kali saja dan recovery enzim bebas tidak praktis secara ekonomi.  Oleh karena itu, amilase amobil juga dikembangkan untuk digunakan dalam proses hidrolisis beragam pati.  Buku ini membahas tentang penyangga-penyangga yang dikembangkan untuk sebagian besar amilase dimana produk enzim amobil diaplikasikan dalam proses hidrolisis pati dikarenakan pengetahuannya yang sangat penting.  Beragam material penyangga dan metode imobilisasi enzim amilase baik secara konvensional maupun lebih maju diungkap yang menghasilkan beragam produk likuifaksi dan sakarifikasi pati.  Didalamnya juga dipaparkan hasil-hasil terkait kemajuan penelitian dalam bidang imobilisasi enzim amilase.  Uraian kajian prospektif mengenai pengembangan tipe reaktor yang tepat untuk pengoperasian proses hidrolisis pati secara kontinyu turut diberikan.",2022-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46341,978-623-211-328-2,book,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Agustian', 'given': 'Joni'}}, {'name': {'given': 'Lilis', 'honourific': None, 'lineage': None, 'family': 'Hermida'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",ENZIM AMILASE AMOBIL@PENYANGGA ANORGANIK: PREPARASI & APLIKASI,TRUE,Bandar Lampung,2022-11-08 00:57:18,archive,46341,show,390,2022-11-08 00:57:18,173.0,"[{'eprintid': 46341, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185223', 'format': 'text', 'docid': 185223, 'main': '0 Draft Buku Enzim Final 4 Repository.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '41d09aaf4840bcac3a24fde273a3b678', 'fileid': 511752, 'datasetid': 'document', 'mtime': '2022-11-07 09:09:44', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/511752', 'filename': '0 Draft Buku Enzim Final 4 Repository.pdf', 'filesize': 5678810, 'objectid': 185223}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,,,,,,,,,,,,,,,,
2,,['FT6'],disk0/00/04/65/17,,public,2022-11-11 09:39:33,pub,7,published,['TP'],"Invensi ini berhubungan dengan pembuatan enzim glukoamilase amobil pada penyangga silika MCF asal BBA pabrik gula dan penggunaan produk glukoamilase amobil untuk proses hidrolisis zat pati. Proses diawali dengan pembuatan bahan penyangga silika MCF asal BBA dengan metode yang ada. Kemudian, enzim glukoamilase bebas dicampur dengan bahan
penyangga dalam media larutan buffer fosfat Sorensen untuk proses imobilisasi enzim secara adsorpsi. Selanjutnya, campuran disaring. Residu padat yang diperoleh dibilas
dengan larutan enzim buffer fosfat Sorensen. Setelah itu, residu dikeringkan dan disimpan dalam desikator sebelum digunakan. Efisiensi imobilisasi enzim optimum yang diperoleh adalah sebesar 88%. Setelah dilakukan uji unit aktivitas spesifik enzim amobil, enzim tersebut digunakan dalam proses hidrolisis pati gandum dan tepung tapioka. Faktor-faktor proses hidrolisis divariasikan selama pengamatan untuk diketahui pengaruh mereka dalam
proses tersebut. Aktivitas enzim glukoamilase amobil diketahui dari nilai ekivalen dekstrosa (DE) yang diperoleh. Nilai DE optimal yang diperoleh adalah 17,3-29,6% (pati
gandum) dan 21,4-34% (tepung tapioka)",2022-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46517,,patent,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Agustian', 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'given': 'Lilis', 'honourific': None, 'family': 'Hermida', 'lineage': None}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",PEMBUATAN ENZIM GLUKOAMILASE AMOBIL PADA SILIKA BUSA SELULER MESOSTRUKTUR (MESOSTRUCTURE CELLULAR FOAM (MCF) SILICA) ASAL ABU AMPAS TEBU (BAGASSE BOTTOM ASH (BBA)) UNTUK HIDROLISIS PATI,,,2022-11-11 09:39:33,archive,46517,show,390,2022-11-11 09:39:33,,"[{'placement': 1, 'eprintid': 46517, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185397', 'pos': 1, 'security': 'public', 'docid': 185397, 'main': 'PERMOHONAN PENDAFTARAN PATEN INDONESIA P00202212663.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-11 09:04:42', 'filesize': 70240, 'objectid': 185397, 'uri': 'http://repository.lppm.unila.ac.id/id/file/513045', 'filename': 'PERMOHONAN PENDAFTARAN PATEN INDONESIA P00202212663.pdf', 'fileid': 513045, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7e5f01230762796acc7816ef36a516e3'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung (Sentra HaKI),P00202212663,,,,,,,,,,,,,,,
3,,['FT6'],disk0/00/04/65/87,,public,2022-11-14 04:38:00,pub,8,published,['TP'],"Invensi ini berhubungan dengan pembuatan silika busa seluler mesostruktur magnetik
sebagai berikut: mencampurkan 12,16 gram besi (III) klorida heksahidrat dan 6.25 gram
besi (II) sulfat heptahidrat dengan 70 ml air RO. Selanjutnya, NH4OH sebanyak 12,6 ml
diencerkan dengan 17,4 mL air RO. Larutan NH4OH encer dimasukan kedalam larutan besi
sambil diaduk manual dengan kecepatan konstan. Kedalam campuran ditambahkan
kristal silika busa seluler mesostruktur (9.2T-3D) sebanyak 0,75 gram. Pengadukan
dilanjutkan selama 90 menit. Campuran disaring dan endapannya dibilas 3 kali dengan air
RO sebanyak 50 ml setiap pembilasan. Endapan dikeringkan pada suhu 60℃ selama 12
jam. Produk magnetik yang diperoleh digunakan sebagai penyangga enzim alfa-amilase
secara adsorpsi sebagai berikut: alfa-amilase bebas (0,5-3 mg/mL) dilarutkan dalam buffer
Sorensen 100 mM (pH 5,0-6,5) yang mengandung 0,5 gram penyangga magnetik.
Campuran diaduk dalam shaker dengan kecepatan 80-140 rmp dan suhu 30-45℃ selama
lima jam. Campuran disaring dimana filtrat dianalisis kandungan proteinnya. Residu dibilas
dengan larutan buffer fosfat dengan pH mengikuti pH proses imobilisasi sebanyak 3x50
mL. Enzim yang diimobilisasi dikeringkan semalaman dalam desikator. Filtrat yang
dikumpulkan dari proses pembilasan juga ditentukan kandungan proteinnya. Produk kering
disimpan dalam lemari es sebelum digunakan.",2022-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46587,,patent,"[{'name': {'given': 'Joni', 'honourific': None, 'lineage': None, 'family': 'Agustian'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'given': 'Lilis', 'honourific': None, 'lineage': None, 'family': 'Hermida'}}]",PEMBUATAN SILIKA BUSA SELULER MESOSTRUKTUR MAGNETIK UNTUK PENYANGGA IMOBILISASI ENZIM ALFA-AMILASE,,,2022-11-14 04:38:00,archive,46587,show,390,2022-11-14 04:38:00,3.0,"[{'format': 'text', 'docid': 185467, 'main': 'FORMULIR PERMOHONAN PENDAFTARAN PATEN INDONESIA P00202212784.PDF', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-14 03:49:02', 'objectid': 185467, 'filesize': 66685, 'filename': 'FORMULIR PERMOHONAN PENDAFTARAN PATEN INDONESIA P00202212784.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513524', 'fileid': 513524, 'datasetid': 'document', 'hash': '1439f8d2a798f5435e8aed053161df32', 'mime_type': 'application/pdf'}], 'content': 'published', 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 4, 'eprintid': 46587, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185467'}]",Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung (Sentra HaKI),P00202212784,,,,,,,,,,,,,,,
4,,['FT6'],disk0/00/04/65/84,,public,2022-11-14 04:37:55,pub,8,published,['TP'],"Invensi ini berhubungan dengan proses imobilisasi enzim glukoamilase pada penyangga
silika busa seluler mesostruktur terinkorporasi partikel nanomagnetik. Proses diawali
dengan sintesis penyangga magnetik sebagai berikut: mencampurkan 12,16 gram besi (III)
klorida heksahidrat dan 6.25 gram besi (II) sulfat heptahidrat dengan 70 mL air dengan
pengadukan konstan. Selanjutnya, larutan NH4OH sebanyak 12,6 mL diencerkan dengan
17,4 mL air RO. Larutan NH4OH encer dimasukan dalam larutan zat besi sambil diaduk
manual kecepatan konstan. Kedalam campuran ditambahkan silika busa seluler
mesostruktur (9.2T-3D) sebanyak 0,75 gram. Pengadukan dilanjutkan selama 90 menit.
Campuran disaring dan endapannya dibilas sebanyak 3 kali dengan 50 mL air RO setiap
pembilasan. Endapan dikeringkan pada suhu 60℃ selama 12 jam. Produk yang diperoleh
digunakan sebagai penyangga enzim glukoamilase secara adsorpsi sebagai berikut:
Glukoamilase bebas (1-6 mg/mL) dilarutkan dalam buffer Sorensen 100 mM (pH 5,0-6,0)
yang mengandung 500 miligram penyangga magnetik. Campuran diaduk dalam shaker
dengan kecepatan 80-140 rpm dan suhu 30-45℃ selama 5 jam. Campuran disaring
dimana filtrat dianalisis kandungan proteinnya. Residu dibilas dengan buffer fosfat dengan
pH mengikuti pH proses imobilisasi sebanyak 3 kali 50 mL. Filtrat dari proses pembilasan
juga ditentukan kandungan proteinnya. Produk enzim amobil dikeringkan semalaman
dalam desikator. Produk disimpan dalam lemari es.",2022-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46584,,patent,"[{'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'given': 'Lilis', 'honourific': None, 'lineage': None, 'family': 'Hermida'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",PRODUKSI ENZIM GLUKOAMILASE AMOBIL PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR TERINKORPORASI PARTIKEL NANOMAGNETIK,,,2022-11-14 04:37:55,archive,46584,show,390,2022-11-14 04:37:55,4.0,"[{'files': [{'mtime': '2022-11-14 03:43:36', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513509', 'filename': 'FORMULIR PERMOHONAN PENDAFTARAN PATEN INDONESIA P00202212780.PDF', 'filesize': 67143, 'objectid': 185463, 'hash': 'fe4591a39524f4388fb0a2df955b7226', 'mime_type': 'application/pdf', 'fileid': 513509, 'datasetid': 'document'}], 'main': 'FORMULIR PERMOHONAN PENDAFTARAN PATEN INDONESIA P00202212780.PDF', 'docid': 185463, 'format': 'video', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 46584, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185463', 'pos': 1, 'security': 'public'}]",Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung (Sentra HaKI),P00202212780,,,,,,,,,,,,,,,
5,,['FT6'],disk0/00/04/65/88,,public,2022-11-14 04:38:03,pub,8,published,['TP'],"Invensi ini berhubungan dengan proses imobilisasi enzim glukoamilase pada penyangga
silika busa seluler mesostruktur terinkorporasi partikel nanomagnetik. Proses diawali
dengan sintesis penyangga magnetik sebagai berikut: mencampurkan 12,16 gram besi (III)
klorida heksahidrat dan 6.25 gram besi (II) sulfat heptahidrat dengan 70 mL air dengan
pengadukan konstan. Selanjutnya, larutan NH4OH sebanyak 12,6 mL diencerkan dengan
17,4 mL air RO. Larutan NH4OH encer dimasukan dalam larutan zat besi sambil diaduk
manual kecepatan konstan. Kedalam campuran ditambahkan silika busa seluler
mesostruktur (9.2T-3D) sebanyak 0,75 gram. Pengadukan dilanjutkan selama 90 menit.
Campuran disaring dan endapannya dibilas sebanyak 3 kali dengan 50 mL air RO setiap
pembilasan. Endapan dikeringkan pada suhu 60℃ selama 12 jam. Produk yang diperoleh
digunakan sebagai penyangga enzim glukoamilase secara adsorpsi sebagai berikut:
Glukoamilase bebas (1-6 mg/mL) dilarutkan dalam buffer Sorensen 100 mM (pH 5,0-6,0)
yang mengandung 500 miligram penyangga magnetik. Campuran diaduk dalam shaker
dengan kecepatan 80-140 rpm dan suhu 30-45℃ selama 5 jam. Campuran disaring
dimana filtrat dianalisis kandungan proteinnya. Residu dibilas dengan buffer fosfat dengan
pH mengikuti pH proses imobilisasi sebanyak 3 kali 50 mL. Filtrat dari proses pembilasan
juga ditentukan kandungan proteinnya. Produk enzim amobil dikeringkan semalaman
dalam desikator. Produk disimpan dalam lemari es.",2022-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46588,,patent,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'honourific': None, 'lineage': None, 'family': 'Agustian'}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Hermida', 'honourific': None, 'given': 'Lilis'}}]",PRODUKSI ENZIM GLUKOAMILASE AMOBIL PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR TERINKORPORASI PARTIKEL NANOMAGNETIK,,,2022-11-14 04:38:03,archive,46588,show,390,2022-11-14 04:38:03,,"[{'placement': 1, 'eprintid': 46588, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185468', 'security': 'public', 'main': 'FORMULIR PERMOHONAN PENDAFTARAN PATEN INDONESIA P00202212780.PDF', 'docid': 185468, 'files': [{'filesize': 67143, 'objectid': 185468, 'filename': 'FORMULIR PERMOHONAN PENDAFTARAN PATEN INDONESIA P00202212780.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513539', 'hash_type': 'MD5', 'mtime': '2022-11-14 03:55:53', 'datasetid': 'document', 'fileid': 513539, 'mime_type': 'application/pdf', 'hash': 'fe4591a39524f4388fb0a2df955b7226'}], 'format': 'text', 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published'}]",Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung (Sentra HaKI),P00202212780,,,,,,,,,,,,,,,
6,,['FT6'],disk0/00/04/65/76,,public,2022-11-14 03:27:08,pub,7,published,['TP'],"Surat Pencatatan Ciptaan HKI Buku ""ENZIM AMILASE AMOBIL@PENYANGGA ANORGANIK: PREPARASI DAN APLIKASI""",2022-11-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46576,,patent,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'lineage': None, 'family': 'Agustian', 'honourific': None}}, {'name': {'family': 'Hermida', 'lineage': None, 'honourific': None, 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",Surat Pencatatan Ciptaan HKI Buku,,,2022-11-14 03:27:08,archive,46576,show,390,2022-11-14 03:27:08,1.0,"[{'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'abc101d0b5179ddf2c929e78e6ccc205', 'fileid': 513421, 'datasetid': 'document', 'filename': 'sertifikat_EC00202286722.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513421', 'filesize': 2091534, 'objectid': 185454, 'mtime': '2022-11-14 03:10:01', 'hash_type': 'MD5'}], 'main': 'sertifikat_EC00202286722.pdf', 'docid': 185454, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 46576, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185454', 'pos': 1}]","Joni Agustian, Lilis Hermida",EC00202286722,,,,,,,,,,,,,,,
7,Akademi Teknik Industri Dewantara,['FT6'],disk0/00/04/62/99,,public,2022-11-07 01:38:28,pub,6,published,['TP'],"Dalam empat tahun terakhir, persentase jumlah mahasiswa wanita di Jurusan Teknik Kimia Universitas Lampung adalah 55-70%, sehingga dipandang perlu untuk memperbesar jumlah mahasiswa pria dikarenakan bidang karir utama lebih didominasi tenaga kerja pria yang dipandang lebih mampu dan kuat untuk bekerja shift di industri manufaktur yang umumnya beroperasi secara kontinyu. Kegiatan ini bertujuan untuk memberikan masukan kepada para calon mahasiswa pria dan wanita melalui para guru kimia SMA dikarenakan latar belakang para guru yang mayoritas berasal dari Jurusan/Program Studi Pendidikan Kimia yang berada di Fakultas Keguruan dan Ilmu Pendidikan (FKIP). Kegiatan dilaksanakan dalam bentuk daring di Universitas Lampung. Evaluasi awal dan akhir pelatihan memperlihatkan adanya peningkatan pemahaman para guru terkait dengan bidang ilmu pendidikan teknik kimia.",2022-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46299,,article,"[{'name': {'given': 'Joni', 'lineage': None, 'family': 'Agustian', 'honourific': None}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Hermida', 'honourific': None, 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}, {'id': 'elida.purba@eng.unila.ac.id', 'name': {'given': 'Elida', 'lineage': None, 'family': 'Purba', 'honourific': None}}]",Roadshow 80 Tahun Teknik Kimia Indonesia: Presentasi Pendidikan Teknik Kimia dan Bidang Karir Alumni Kepada Para Guru Kimia Sekolah Menengah Atas/Kejuruan,TRUE,,2022-11-07 01:38:28,archive,46299,show,390,2022-11-07 01:38:28,,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 185184, 'main': 'Agustian Singkerru Agustus 22 full.pdf', 'files': [{'hash': 'f164a365450864656b285ef7a6df0ec3', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 511433, 'mtime': '2022-11-06 09:14:52', 'hash_type': 'MD5', 'filename': 'Agustian Singkerru Agustus 22 full.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/511433', 'objectid': 185184, 'filesize': 2148936}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185184', 'eprintid': 46299, 'placement': 1}]",,,66-74,https://jurnal.atidewantara.ac.id/index.php/singkerru/issue/view/9,2,Abdimas Singkerru,2776-7477,2,,,,,,,,,
8,American Institute of Physics,['FT6'],disk0/00/04/73/07,,public,2022-12-19 07:19:57,pub,6,published,['TP'],"Banana peel is one of the wastes from bananas with a composition of 35-40% of the weight of fresh bananas. The
use of banana peels as feed and food ingredients is very limited due to the low protein content in banana peels. This study
aimed to increase the protein content of banana peel flour using the solid-state fermentation method by Rhizopus oryzae
FNCC 6157 in a tray bioreactor. Optimization of protein production of banana peel flour was done using the central
composite design by response surface methodology. The variables used in this study were substrate thickness (1 to 3 cm),
aeration rate (2 to 4 L/min), and moisture content (50 to 70%). Statistical analysis was performed using ANOVA and
resulted in an excellent quadratic equation model as indicated by the F-value and p-value of 17.77 and 0.0012, respectively,
and was statistically significant (p≤0.05). Fermentation conditions at the substrate thickness of 2 cm, aeration rate of 3
L/min, and moisture content of 60% resulted in the highest enhancement of protein content in banana peel flour of 54.08%.",2022-10-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47307,,article,"[{'id': 'andhika.cahaya@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Andhika Cahaya Titisan Sukma', 'given': 'ACTS'}}, {'name': {'given': 'HA', 'lineage': None, 'family': 'Hasrul Anwar', 'honourific': None}, 'id': 'hasrul.anwar@eng.unila.ac.id'}]","Optimization of Protein Production from Banana Peel Flour
by Rhizopus oryzae through Solid-State Fermentation Using
Response Surface Methodology",TRUE,,2022-12-19 07:19:57,archive,47307,show,2886,2022-12-19 07:19:57,,"[{'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'a82539d5be82eb44ab086ef291ee5d39', 'datasetid': 'document', 'fileid': 519182, 'mtime': '2022-12-19 05:21:09', 'hash_type': 'MD5', 'filename': 'Ulicoste artikel.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/519182', 'objectid': 186304, 'filesize': 1495891}], 'main': 'Ulicoste artikel.pdf', 'docid': 186304, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 47307, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186304', 'pos': 1}]",,https://doi.org/10.1063/5.0103467,1-9,https://aip.scitation.org/apc/info/forthcoming,40017,AIP Conference Proceedings 2002,ISBN: 978-0-7354-4237-5,"2563,",[{'url': 'https://aip.scitation.org/doi/abs/10.1063/5.0103467'}],['Universitas Lampung'],,,,,,,
9,"Faculty of Food Science & Technology, UPM.",['FT6'],disk0/00/04/73/05,,public,2022-12-19 07:19:55,pub,6,published,['TP'],"The present work aimed to evaluate the effect of fermentation by Rhizopus oryzae on the proximate composition, anti-nutrient contents, and functional properties of banana peel flour using the solid-state fermentation method in a tray bioreactor at 30°C for 96 h. Throughout fermentation, samples were obtained at different times (0/NF, 24, 48, 72, and 96 h), and analysed using standard procedures to determine the proximate composition, anti-nutrient contents, and functional properties. Based on the results, there were significant differences observed (p < 0.05). Carbohydrate content decreased by 3.35%, while the crude protein, fat, ash, and crude fibre contents increased by 11.12, 2.43, 10.99, and 3.50%, respectively. Hydrogen cyanide, saponin, oxalate, and phytate contents decreased by 42.59, 25, 23.83, and 43.82%, respectively. Water absorption capacity (WAC) and the water solubility index (WSI) increased by 3.94 and 37.14%, respectively, while oil absorption capacity (OAC) decreased by 4.48%. These results showed that the fermentation of banana peel flour by R. oryzae has potential benefits for the food industry due to its effect on chemical composition and functional properties",2022-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47305,,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Andhika Cahaya Titisan Sukma', 'given': 'ACTS'}, 'id': 'andhika.cahaya@eng.unila.ac.id'}, {'id': 'hasrul.anwar@eng.unila.ac.id', 'name': {'given': 'HA', 'honourific': None, 'lineage': None, 'family': 'Hasrul Anwar'}}, {'name': {'family': 'Ahmad Ikhsanudin', 'lineage': None, 'honourific': None, 'given': 'AI'}, 'id': None}]","Effect of Rhizopus oryzae fermentation on proximate composition,
anti-nutrient contents, and functional properties of banana peel flour",TRUE,,2022-12-19 07:19:55,archive,47305,show,2886,2022-12-19 07:19:55,,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 519163, 'hash': 'dfd656e3e59de29fc2687076c16272a5', 'mime_type': 'application/pdf', 'filesize': 187592, 'objectid': 186302, 'uri': 'http://repository.lppm.unila.ac.id/id/file/519163', 'filename': '21 - IFRJ20882.R1 (1).pdf', 'hash_type': 'MD5', 'mtime': '2022-12-19 04:52:47'}], 'main': '21 - IFRJ20882.R1 (1).pdf', 'docid': 186302, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 47305, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186302'}]",,https://doi.org/10.47836/ifrj.29.5.21,1205-1214,http://www.ifrj.upm.edu.my/,5,International Food Research Journal 24(2): 734-740 (April 2017),ISSN (Print): 1985 4668 ISSN (Online): 2231 7546,29,"[{'type': 'pub', 'url': 'http://www.ifrj.upm.edu.my/'}]",['Universitas Lampung'],,,,,,,
