,full_text_status,status_changed,rev_number,ispublished,dir,divisions,event_type,abstract,uri,date,date_type,subjects,event_title,event_location,contact_email,type,pres_type,creators,title,event_dates,refereed,userid,lastmod,documents,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,id_number,number,contributors,official_url,publisher,publication,issn,volume,pages,isbn,place_of_pub,book_title,corp_creators
0,restricted,2017-09-25 04:42:59,10,pub,disk0/00/00/39/35,['FT6'],conference,"Starch certainly attracted more attention than other natural biopolymers. Starch granules
showed unique behavior. Gelatinization of starch, wollen granules broke up to release
the amylose and amylopectin. There were no molecular weight changes during the
gelatinization process but, loss of crystallinity and irreversible granule swellin,
disruption of molecular order within granul) that produces a viscous mass consisting of
a continuous phase of solubilized amylose and amylopectin. It is also an uptake of heat
as the conformation of the starch alters, the starch hydrates, and there is a lost of
integrity of the starch granule. By adding plasticizer low molecular weight plasticizers
such as water, glycerol, sorbitol or citric acid then the starch granule become
plasticized. The starch films were prepared by glatinization and casting methode, and
characterized by scanning electron microscopy (SEM) and mechanical properties to see
analyze campatibility between tapioca starch and its plasticizers. The dispersion or
homogeneity of plasticizer in the tapioca starch matrix lead to good strength. Matrix
interactions lead to the development of an interphase. Good dispersion of plasiticizer
show tendency little to agglomerate, promoting improvements in strength of composite.",http://repository.lppm.unila.ac.id/id/eprint/3935,2013-11-19 00:00:00.000000000,published,['TP'],PROSIDING SEMINAR NASIONAL SAINS & TEKNOLOGI V SATEK & INDONESIA HIJAU,Bandar Lampung,edwinazwar@yahoo.co.id,conference_item,paper,"[{'name': {'family': 'Azwar', 'lineage': None, 'honourific': None, 'given': 'Edwin'}, 'id': 'edwinazwar@yahoo.co.id'}]",CAMPATIBILITY OF TAPIOCA STARCH FILM WITH BIOPLASTICIZERS,19-20 November 2013,TRUE,951,2017-09-25 04:42:59,"[{'content': 'accepted', 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 3, 'format': 'text', 'docid': 3793, 'main': 'b.SaintekLPCOMPATIBILITY2013J_new.pdf', 'files': [{'datasetid': 'document', 'fileid': 27551, 'mime_type': 'application/pdf', 'hash': '70ea9aeca880c5c375cda6c56face671', 'hash_type': 'MD5', 'mtime': '2017-09-18 04:59:43', 'objectid': 3793, 'filesize': 672380, 'uri': 'http://repository.lppm.unila.ac.id/id/file/27551', 'filename': 'b.SaintekLPCOMPATIBILITY2013J_new.pdf'}], 'security': 'staffonly', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3793', 'pos': 1, 'eprintid': 3935, 'placement': 1}]",2017-09-25 04:42:59,archive,3935,show,1113-1123,,,,,,,,,,,,,
1,public,2017-08-14 03:10:43,6,pub,disk0/00/00/37/97,['FT6'],,"BACKGROUND: The valorization of renewable agro-industrial residues and their further utilization for production of polymers and polymer additives is a highly attractive alternative for replacement of oil-based materials.

RESULTS: Liquefied wood flour and rice bran derived esters were synthesized and evaluated as novel green plasticizers for polylactide (PLA). The liquefied wood flour ester (PWF) showed good miscibility with PLA and good plasticization efficiency as shown by differential scanning calorimetry (DSC) and tensile testing. Tensile strain at break increased from a few percent for pure PLA to over 100 and 300% for the materials containing 10 and 30 wt-% of PWF. The addition of PWF accelerated the
hydrolysis rate of PLA as shown by faster weight loss during aging in water and faster formation of water-soluble lactic acid oligomers, which was shown by electrospray ionization mass spectrometry (ESI-MS) analysis of the migrants. The liquefied rice bran based product (PRB) was not miscible with PLA and it did not improve the elongation at break of PLA. Rice bran is generally rich in arabinoxylans with only secondary less reactive alcohol groups. The larger number of un-reacted hydroxyl-groups in PRB was confirmed by Fourier transform infrared (FTIR) spectroscopy and could explain the immiscibility with PLA.

CONCLUSIONS: The results demonstrate that the synthesized liquefied wood flour derived plasticizer could have great potential as a biobased polylactide plasticizer.",http://repository.lppm.unila.ac.id/id/eprint/3797,2013-05-05 00:00:00.000000000,published,['TP'],,,,article,,"[{'id': 'edwinazwar@yahoo.co.id', 'name': {'given': 'Edwin', 'honourific': None, 'lineage': None, 'family': 'Azwar'}}]",Liquefied biomass derived plasticizer for polylactide,,TRUE,951,2017-08-14 03:10:43,"[{'eprintid': 3797, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3655', 'format': 'text', 'files': [{'hash': '84a00ad7f42d196813ef24c8a7229119', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 26587, 'mtime': '2017-08-08 07:57:23', 'hash_type': 'MD5', 'filename': '2.IJ BIOMASSPLASTICIZEROK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26587', 'filesize': 435685, 'objectid': 3655}], 'main': '2.IJ BIOMASSPLASTICIZEROK.pdf', 'docid': 3655, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2017-08-14 03:10:43,archive,3797,show,897-903,10.1002/jctb.3918,5.0,"[{'name': {'given': 'Edwin', 'lineage': None, 'family': 'Azwar', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'edwinazwar@yahoo.co.id'}]",http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4660,Wiley Online Library,Journal of Chemical Technology and  Biotechnology,1097-4660,88.0,,,,,
2,public,2016-08-11 02:57:39,7,pub,disk0/00/00/02/88,['FT6'],,"Penelitian ini bertujuan untuk mencari rasio mol TPABr/SiO
 yang tepat untuk
menghasilkan produk H-ZSM-5 dengan persen kristalinitas yang tinggi. Pretreatment secara 
2
kimia-fisika dilakukan untuk menghilangkan impurities berupa logam – logam oksida pada
bagasse fly ash (BFA). Sintesis ZSM-5 dilakukan di dalam autoklaf pada suhu 180
C dan
tekanan autogenous dengan parameter yang ditetapkan antara lain rasio mol SiO
 30
mol/mol, rasio mol NaOH/SiO
2
 0,6 mol/mol dan rasio mol H
2
O/SiO
30 mol/mol.
Sedangkan parameter yang divariasikan yaitu rasio mol TPABr/SiO
 sebesar 0,04; 0,05; dan
0,06 mol/mol. Kemudian dilakukan karakterisasi produk secara kualitatif
2
dan kuantitatif.
Hasil percobaan menunjukan bahwa tidak terbentuk produk ZSM-5, melainkan produk –
produk antara berupa analcim dan albite high serta masih didominasi oleh SiO
sebagai sisa
reaktan. Produk antara dominan yang terbentuk dalam percobaan ini yaitu analcim. Persen
kristalinitas produk dari ketiga run yaitu sebesar 18,7 %, 17,5 % dan 18,9 %. Persen
kristalinitas produk tertinggi, yaitu 18,9 % didapat pada kondisi sintesis dengan rasio mol
TPABr/SiO
2
 sebesar 0,06 mol/mol. 
Kata kunci: fly ash, H-ZSM-5, TPABr, zeolit

 
2 
2 
2
/Al
o

2
O
3",http://repository.lppm.unila.ac.id/id/eprint/288,1970-01-01 00:00:00.000002013,published,['TP'],,,,article,,"[{'name': {'given': 'Darmansyah', 'lineage': None, 'family': 'Darmansyah', 'honourific': None}, 'id': 'darmansyah82@gmail.com'}, {'name': {'given': 'Simparmin', 'honourific': None, 'lineage': None, 'family': 'Ginting'}, 'id': None}, {'name': {'lineage': None, 'family': 'Widiana', 'honourific': None, 'given': 'Derry'}, 'id': None}, {'name': {'given': 'Hens', 'lineage': None, 'family': 'Saputra', 'honourific': None}, 'id': None}]","Sintesis H-ZSM-5 dari Zeolit Alam Lampung (ZAL)
dengan Sumber Silika Penambah Bagasse Fly Ash 
(BFA)
(Penentuan Rasio TPABr/SiO
 untuk Memperoleh
Produk H-ZSM-5 yang memiliki Kristalinitas 
Optimum)",,TRUE,251,2016-08-11 11:04:51,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Darmansyah_SNTKI TOPI 2013.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/1623', 'filename': 'Darmansyah_SNTKI TOPI 2013.pdf', 'filesize': 356908, 'objectid': 281, 'mtime': '2016-08-09 07:09:52', 'hash_type': 'MD5', 'hash': '1c48e0038b87d2a9387552826417b024', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 1623}], 'docid': 281, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/281', 'pos': 1, 'eprintid': 288, 'placement': 1}]",2016-08-11 02:57:39,archive,288,show,273-283,,,,,Universitas Riau,PROSIDING SNTK TOPI 2013,1907 - 0500,,,,,,
3,public,2016-08-11 02:57:28,7,pub,disk0/00/00/02/86,['FT6'],,"Penelitian ini bertujuan untuk mengkaji efek kecepatan pengadukan terhadap kualitas bioplastik, 
dalam hal ini meliputi karakteristik fisik dan mekanik bioplastik berbahan baku utama sorgum yang
menyamai plastik sintetis polietilen pada umumnya. Studi mengenai pembuatan bioplastik
campuran pati sorgum, kitosan dan gliserol sebagai plasticizer pada penelitian ini dengan variasi
kecepatan pengadukan sebesar 375 rpm, 436 rpm, 496 rpm,   558 rpm, dan 618 rpm dengan jenis
pengaduk turbin dan marine propeller. Hasil terbaik pada penelitian ini diperoleh pada kecepatan
pengadukan 618 rpm dengan menggunakan turbin impeller, dengan karakteristik bioplastik yaitu uji
kuat tarik 48.3875 Mpa, persen perpanjangan 33.09375 %, modulus young     204.962 Mpa dan
daya serap airnya sebesar 27.56 %. 

Kata kunci : bioplastik, kecepatan pengadukan, kitosan, plasticizer, sorgum",http://repository.lppm.unila.ac.id/id/eprint/286,1970-01-01 00:00:00.000002013,published,['TP'],,,,article,,"[{'id': 'darni_yuli@yahoo.com', 'name': {'given': 'Yuli', 'honourific': None, 'lineage': None, 'family': 'Darni'}}, {'name': {'honourific': None, 'family': 'Lismeri', 'lineage': None, 'given': 'Lia'}, 'id': None}, {'id': 'darmansyah82@gmail.com', 'name': {'lineage': None, 'family': 'Darmansyah', 'honourific': None, 'given': 'Darmansyah'}}]","EFEK KECEPATAN PENGADUKAN DAN JENIS IMPELLER TERHADAP
PENINGKATAN KUALITAS PRODUK BIOPLASTIK SORGUM",,TRUE,251,2016-08-11 11:06:51,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/1611', 'filename': 'Darmansyah_Prosiding Semnas Unila_2013.pdf', 'filesize': 413335, 'objectid': 279, 'mtime': '2016-08-09 06:57:13', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '8f766510d00be0525946b0c3aa8fc80c', 'fileid': 1611, 'datasetid': 'document'}], 'main': 'Darmansyah_Prosiding Semnas Unila_2013.pdf', 'docid': 279, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 286, 'uri': 'http://repository.lppm.unila.ac.id/id/document/279', 'pos': 1, 'security': 'public'}]",2016-08-11 02:57:28,archive,286,show,333-340,,,,http://lppm.unila.ac.id,Lembaga Penelitian Universitas Lampung,Prosiding Seminar Hasil-Hasil Penelitian Universitas Lampung 2013,978-979-8510-73-1,,,,,,
4,public,2021-03-22 01:43:05,7,pub,disk0/00/02/84/99,['FT6'],,"Mesostructured cellular foam (MCF) silicas synthesized at different conditions were incorporated with nickel to synthesize nickel functionalized MCF catalysts. Morphologies of the MCF silicas and the catalysts were characterized using nitrogen adsorption-desorption, scanning electron microscope (SEM) and energy dispersive X-ray (EDX). Activities of the catalysts were evaluated based on solventless deoxygenation of palmitic acid for 6 h at 300 oC under inert atmosphere in a semi batch reactor for production of n-pentadecane and 1-pentadecene as hydrocarbon fuels. Palmitic acid conversion of 86.4%
with n-pentadecane selectivity of 31.8 % and 1-pentadecene selectivity of 29.2 % was achieved by a catalyst using TEOS amount of 9.2 ml and aging time of 3 days in the MCF syntheses. The highest activity of the catalyst was attributed to the highest nickel content together with the smallest nickel particles dispersed in the catalyst.",http://repository.lppm.unila.ac.id/id/eprint/28499,1970-01-01 00:00:00.000002013,published,['TP'],,,,book_section,,"[{'name': {'family': 'Hermida', 'lineage': None, 'honourific': None, 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",Nickel functionalized mesostructured cellular foam (MCF) silica as a catalyst for solventless deoxygenation of palmitic acid to produce diesel-like hydrocarbons,,TRUE,397,2021-03-22 01:43:05,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Gabung BChapter 2013.pdf', 'docid': 42545, 'files': [{'hash_type': 'MD5', 'mtime': '2021-03-21 09:03:54', 'objectid': 42545, 'filesize': 2714080, 'filename': 'Gabung BChapter 2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/253089', 'datasetid': 'document', 'fileid': 253089, 'mime_type': 'application/pdf', 'hash': '67a5283ba1996f88e151118645e551d0'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42545', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28499}]",2021-03-22 01:43:05,archive,28499,show,312-319,,,,https://www.researchgate.net/publication/272482676_Nickel_functionalized_mesostructured_cellular_foam_MCF_silica_as_a_catalyst_for_solventless_deoxygenation_of_palmitic_acid_to_produce_diesel-like_hydrocarbons,Formatex Research Center,,,1.0,8.0,978-84-939843-7-3,"Badajoz, Spain",Materials and processes for energy: communicating current research and technological developments,
5,public,2021-03-22 01:42:49,6,pub,disk0/00/02/85/14,['FT6'],,"This work investigated the possibility of incorporation of nickel into several mesostructured cellular foam (MCF) silica
supports prepared at various aging times (1, 2, and 3 days) by using deposition-precipitation method followed by reducetion
process and to look for the best support to obtain supported nickel catalyst with highest nickel loading and
smallest size of nickel nanoparticles. Analyses using nitrogen adsorption-desorption, transmission electron microscopy
(TEM), X-ray diffraction (XRD), scanning electron microscopy (SEM) and energy dispersive X-ray (EDX) showed that
MCF silica prepared at aging time of 3 days was the best support as the corresponding nickel functionalized MCF catalyst
had the highest nickel content (17.57 wt%) and the smallest size of nickel nanoparticles (1 - 2 nm) together with
high porosity (window pore size of 90 Å). The result was attributed to the highest window pore size in the MCF support
which allowed more nickel nanoparticles to be incorporated.",http://repository.lppm.unila.ac.id/id/eprint/28514,1970-01-01 00:00:00.000002013,published,['TP'],,,,article,,"[{'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'family': 'Hermida', 'lineage': None, 'honourific': None, 'given': 'Lilis'}}]","Synthesis and Characterization of Mesostructured Cellular
Foam (MCF) Silica Loaded with Nickel Nanoparticles as a
Novel Catalyst",,TRUE,397,2021-03-22 01:42:49,"[{'docid': 42560, 'main': 'Gabung MSA 2013.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/253180', 'filename': 'Gabung MSA 2013.pdf', 'objectid': 42560, 'filesize': 2690299, 'mtime': '2021-03-21 10:05:07', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'e6147e17ec3e3993e2037088a5862b1c', 'datasetid': 'document', 'fileid': 253180}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28514, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42560', 'pos': 1, 'security': 'public'}]",2021-03-22 01:42:49,archive,28514,show,52-62,,,,,Scientific Research,Materials Sciences and Applications,2153-1188,4.0,,,,,
6,public,2017-05-30 04:15:57,7,pub,disk0/00/00/19/92,['FT6'],,"Mesostructured cellular foam (MCF) silicas synthesized at different conditions were incorporated with nickel to synthesize nickel functionalized MCF catalysts. Morphologies of the MCF silicas and the catalysts were characterized using nitrogen adsorption-desorption, scanning electron microscope (SEM) and energy dispersive X-ray (EDX). Activities of the catalysts were evaluated based on solventless deoxygenation of palmitic acid for 6 h at 300 oC under inert atmosphere in a semi batch reactor for production of n-pentadecane and 1-pentadecene as hydrocarbon fuels. Palmitic acid conversion of 86.4% with n-pentadecane selectivity of 31.8 % and 1-entadecene selectivity of 29.2 % was achieved by a catalyst using TEOS amount of 9.2 ml and aging time of 3 days in the MCF syntheses. The highest activity of the catalyst was attributed to the highest nickel content together with the smallest nickel particles dispersed in the catalyst.",http://repository.lppm.unila.ac.id/id/eprint/1992,2013-08-01 00:00:00.000000000,published,['TP'],,,,book_section,,"[{'name': {'lineage': None, 'family': 'Hermida', 'honourific': None, 'given': 'Lilis'}}, {'name': {'lineage': None, 'family': 'Abdullah', 'honourific': None, 'given': 'Ahmad Zuhairi'}}, {'name': {'family': 'Mohammed', 'lineage': None, 'honourific': None, 'given': 'Abdur Rahman'}}]",Nickel functionalized mesostructured cellular foam (MCF) silica as a catalyst for solventless deoxygenation of palmitic acid to produce diesel-like hydrocarbons,,TRUE,397,2017-05-30 04:15:57,"[{'eprintid': 1992, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1855', 'format': 'text', 'files': [{'fileid': 13868, 'datasetid': 'document', 'hash': '16dc2c12a31497f0cdc0feea8e1a86e6', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-05-30 04:03:53', 'filesize': 1424471, 'objectid': 1855, 'uri': 'http://repository.lppm.unila.ac.id/id/file/13868', 'filename': '2013published in book chapter.pdf'}], 'main': '2013published in book chapter.pdf', 'docid': 1855, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2017-05-30 04:15:57,archive,1992,show,312-319,,,,http://www.formatex.info/energymaterialsbook/chapters.html,FORMATEX Research Centre,,,1.0,,978-84-939843-7-3,Spanyol,Materials and processes for energy: communicating current research and technological developments,
7,public,2017-05-30 04:20:09,6,pub,disk0/00/00/19/95,['FT6'],,"This work investigated the possibility of incorporation of nickel into several mesostructured cellular foam (MCF) silica supports prepared at various aging times (1, 2, and 3 days) by using deposition-precipitation method followed by re- ducetion process and to look for the best support to obtain supported nickel catalyst with highest nickel loading and smallest size of nickel nanoparticles. Analyses using nitrogen adsorption-desorption, transmission electron microscopy (TEM), X-ray diffraction (XRD), scanning electron microscopy (SEM) and energy dispersive X-ray (EDX) showed that MCF silica prepared at aging time of 3 days was the best support as the corresponding nickel functionalized MCF cata- lyst had the highest nickel content (17.57 wt%) and the smallest size of nickel nanoparticles (1 - 2 nm) together with high porosity (window pore size of 90 Å). The result was attributed to the highest window pore size in the MCF support which allowed more nickel nanoparticles to be incorporated.",http://repository.lppm.unila.ac.id/id/eprint/1995,2013-01-01 00:00:00.000000000,published,['TP'],,,,article,,"[{'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'given': 'Lilis', 'lineage': None, 'family': 'Hermida', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Abdullah', 'given': 'Ahmad Zuhairi'}, 'id': None}, {'name': {'honourific': None, 'family': 'Mohammed', 'lineage': None, 'given': 'Abdur Rahman'}, 'id': None}]",Synthesis and Characterization of Mesostructured Cellular Foam (MCF) Silica Loaded with Nickel Nanoparticles as a Novel Catalyst,,TRUE,397,2017-05-30 04:20:09,"[{'main': '2013Materials sciences and applications.pdf', 'docid': 1859, 'files': [{'hash_type': 'MD5', 'mtime': '2017-05-30 04:14:03', 'filesize': 2031270, 'objectid': 1859, 'uri': 'http://repository.lppm.unila.ac.id/id/file/13898', 'filename': '2013Materials sciences and applications.pdf', 'fileid': 13898, 'datasetid': 'document', 'hash': '904dc2c6d3b8476fc1a1761b896690ed', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 1995, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1859', 'security': 'public'}]",2017-05-30 04:20:09,archive,1995,show,52-62,,1.0,,http://www.scirp.org/journal/PaperInformation.aspx?PaperID=27075,Scientific Research,Materials Sciences and Applications,2153-1188,4.0,,,,,
8,public,2016-08-11 02:57:33,7,pub,disk0/00/00/02/87,['FT6'],,"Transesterifikasi dengan katalis asam heterogen banyak diteliti akhir-akhir ini, karena dalam
prosesnya tidak akan membentuk sabun dan tidak butuh proses netralisasi. Salah satu katalis asam
heterogen yang dapat digunakan untuk reaksi transesterifikasi adalah cordierite.  Penelitian ini
bertujuan untuk mengetahui sejauh mana  cordierite akan terdeaktivasi dalam mengkatalisis reaksi
transesterifikasi dan faktor-faktor yang mempengaruhinya.. Lamanya penggunaan katalis
diterjemahkan dengan memvariasikan jumlah batch (1; 2; 3; 4; dan 5) dan reaktifitas alkohol
divariasikan dengan panjang rantai alkohol (metanol, etanol, dan isopropil alkohol). Reaksi
transesterifikasi berlangsung dalam reaktor batch dengan perbandingan mol umpan trigliserida :
alkohol yaitu 1 : 6 pada suhu 65°C dan katalis cordierite yang digunakan sebanyak 5% berat CPO.
Analisis kandungan gliserol total pada produk dilaksanakan untuk menentukan nilai konversi, dan
perubahan konversi mengindikasikan aktifitas katalis. Katalis sebelum dan sesudah pemakaian
dianalisis menggunakan Fourier Tansform Infrared (FTIR). Dari hasil penelitian diperoleh nilai
penurunan konversi. Terjadinya penurunan konversi menunjukkan bahwa cordierite mengalami
deaktivasi dan diduga diakibatkan pore blocking oleh gugus ester, namun deaktivasi yang terjadi
tidak terlalu signifikan. Deaktivasi terkecil terjadi pada penggunaan alkohol beratom karbon 1
(metanol)  sebesar 0,48% dengan hasil konversi 95,01% pada batch 1 dan turun hingga 94,53%
pada batch 5; sedangkan deaktivasi terbesar terjadi pada penggunaan alkohol beratom karbon 3
(iso propil alkohol) sebesar 0,58% dengan hasil konversi 94,69% pada batch 1 dan turun hingga
94,11% pada batch 5.
Kata kunci : Deaktivasi katalis, cordierite, transesterifikasi, dan CPO.",http://repository.lppm.unila.ac.id/id/eprint/287,1970-01-01 00:00:00.000002013,published,['TP'],,,,article,,"[{'name': {'given': 'Taharuddin', 'family': 'M', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'darmansyah82@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Darmansyah', 'given': 'Darmansyah'}}, {'id': None, 'name': {'family': 'Astuningsih', 'lineage': None, 'honourific': None, 'given': 'Normarita'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Rustamaji', 'given': 'Heri'}}]","DEAKTIVASI
CORDIERITE SEBAGAI KATALIS 
PADA REAKSI TRANSESTERIFIKASI",,TRUE,251,2016-08-11 11:07:20,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/280', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 287, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Darmansyah_Prosiding Semnas Unila_Transesterifikasi 2013.pdf', 'docid': 280, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/1617', 'filename': 'Darmansyah_Prosiding Semnas Unila_Transesterifikasi 2013.pdf', 'filesize': 419023, 'objectid': 280, 'mtime': '2016-08-09 07:05:21', 'hash_type': 'MD5', 'hash': 'ab05974f3d492c9c347c459076e233c6', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 1617}], 'format': 'text'}]",2016-08-11 02:57:33,archive,287,show,377-384,,,,http://lppm.unila.ac.id,Lembaga Penelitian Universitas Lampung,Prosiding Seminar Hasil-Hasil Penelitian Universitas Lampung 2013,978-979-8510-73-1,,,,,,
9,public,2016-08-11 02:57:04,8,pub,disk0/00/00/02/83,['FT6'],,"Biodiesel adalah salah satu energi terbarukan yang dapat mengatasi krisis energi di masa depan.
Biodiesel dibuat melalui reaksi esterifikasi asam lemak dan transesterifikasi trigliserida. Penelitian ini
mereaksikan metanol dan minyak kelapa dengan menggunakan katalis cordierite mesopori yang
berbentuk powder. Proses dijalankan secara batch dengan  menggunakan Batch Reactor. Tujuan dari
penelitian ini untuk mengetahui berat cetyl trimethyl ammonium bromide (CTAB) ideal yang menghasilkan
ukuran mesopori terbaik pada sintesis cordierite untuk memperbanyak sisi aktif guna mempercepat laju
reaksi sehingga mendapatkan konversi biodiesel terbaik dan untuk mengetahui performa dari katalis
cordierite mesopori ini. Variabel yang diteliti adalah berat CTAB yang digunakan pada saat sintesis
cordierite yaitu 0 gram, 5 gram, 7 gram, dan 9 gram. Hasil uji BET menunjukkan diameter pori, surface
area, dan total volume pori terbesar didapat dengan melakukan penambahan CTAB 7 gram, dan hal ini
berpengaruh terhadap konversi biodiesel yang diperoleh yaitu sebesar 98.19%. Performa cordierite yang
digunakan sebagai katalis ini diuji dengan melakukan percobaan yang diulang sebanyak tiga kali, dan
hasil yang didapat bahwa konversi dari masing-masing sampel biodiesel mengalami penurunan konversi
hal ini disebabkan karena adanya pengurangan sisi aktif oleh minyak kelapa. Penurunan konversi yang
terjadi tidak terpaut jauh, sehingga cordierite mesopori ini dapat dipakai sebagai katalis pada proses
transesterifikasi.
Kata kunci : biodiesel, Cetyl Trimethyl Ammonium Bromide (CTAB), codrierite, mesopori, transeterifkasi",http://repository.lppm.unila.ac.id/id/eprint/283,1970-01-01 00:00:00.000002013,published,['TP'],,,,article,,"[{'id': None, 'name': {'given': 'Taharuddin', 'honourific': None, 'family': 'M', 'lineage': None}}, {'name': {'family': 'Darmansyah', 'lineage': None, 'honourific': None, 'given': 'Darmansyah'}, 'id': 'darmansyah82@gmail.com'}, {'id': 'andii_msc@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Mulia', 'given': 'Andi'}}, {'id': None, 'name': {'given': 'Supriyanto', 'honourific': None, 'lineage': None, 'family': 'Ardi'}}]","SINTESIS DAN APLIKASI CORDIERITE SEBAGAI KATALIS PADA PEMBUATAN BIODIESEL
DENGAN PROSES TRANSESTERIFIKASI 
(PENGARUH BERAT CTAB PADA SINTESIS CORDIERITE)",,TRUE,251,2016-08-11 11:07:54,"[{'format': 'text', 'docid': 276, 'main': 'Darmansyah_Prosiding Semnas Unibraw 2015_Cordierite.pdf', 'files': [{'hash': '1ba692ac541874908137410ff04fc88c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 1592, 'filename': 'Darmansyah_Prosiding Semnas Unibraw 2015_Cordierite.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/1592', 'filesize': 274573, 'objectid': 276, 'mtime': '2016-08-09 06:40:04', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 283, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/276', 'pos': 1}]",2016-08-11 02:57:04,archive,283,show,E66-E,,1.0,,http://ub.ac.id/,Universitas Brawijaya,Prosiding Seminar Nasional “Kontribusi Akademisi dalam Pencapaian Pembangunan Berkelanjutan”,978-602-74352-0-9,1.0,,,,,
