,subjects,date,uri,divisions,publisher,dir,rev_number,ispublished,full_text_status,status_changed,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,documents,userid,title,type,creators,abstract,succeeds,date_type,patent_applicant,id_number,pages,official_url,number,pagerange,refereed,volume,issn,publication,related_url,place_of_pub,funders,corp_creators,event_dates,pres_type,event_location,event_type,event_title
0,['TP'],2020-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18971,['FT6'],DJKI Kemhukham RI,disk0/00/01/89/71,7,pub,public,2020-04-06 01:24:41,show,2020-04-06 01:24:41,archive,18971,2020-04-06 01:24:41,"[{'eprintid': 18971, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32211', 'format': 'text', 'main': 'Turnitin SRUF Repository Unila.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-04-05 07:45:49', 'filesize': 337062, 'objectid': 32211, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159182', 'filename': 'Turnitin SRUF Repository Unila.pdf', 'datasetid': 'document', 'fileid': 159182, 'mime_type': 'application/pdf', 'hash': '1418340f35c5eed17805f76a78f7977a'}], 'docid': 32211, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",390,"Similarity Check: Turnitin PEMBUATAN PUPUK UREA LEPAS LAMBAT SECARA BATCH DENGAN SUBSTRAT BENTONIT ALAM LAMPUNG DAN BAHAN PENGIKAT TEPUNG JAGUNG ATAU
HYDROXYLPROPYL METHYL CELLULOSE (HPMC) MELALUI
METODE INTERKALASI",other,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}}]",,,,,,,,,,,,,,,,,,,,,,
1,['TP'],2020-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18969,['FT6'],DJKI Kemhukham RI,disk0/00/01/89/69,7,pub,public,2020-04-06 01:19:49,show,2020-04-06 01:19:49,archive,18969,2020-04-06 01:19:49,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32209', 'pos': 1, 'eprintid': 18969, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Turnitin Paten Alfaamilase repository Unila.pdf', 'files': [{'fileid': 159168, 'datasetid': 'document', 'hash': 'd131e0aeac8f1a47dc9fc0bcb4357f9f', 'mime_type': 'application/pdf', 'objectid': 32209, 'filesize': 325180, 'filename': 'Turnitin Paten Alfaamilase repository Unila.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/159168', 'hash_type': 'MD5', 'mtime': '2020-04-05 07:39:49'}], 'docid': 32209}]",390,Similarity Check: Turnitin PROSES PEMBUATAN ENZIM ALFA-AMILASE TERIMOBILISASI PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR,other,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'family': 'Agustian', 'lineage': None, 'honourific': None, 'given': 'Joni'}}]",,,,,,,,,,,,,,,,,,,,,,
2,['TP'],2020-09-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24247,['FT6'],FT Unila,disk0/00/02/42/47,7,unpub,public,2020-10-01 01:08:45,show,2020-10-01 01:08:45,archive,24247,2020-10-01 01:08:45,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/37966', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24247, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Corresponding Author BCREC.pdf', 'docid': 37966, 'files': [{'mtime': '2020-09-30 11:56:39', 'hash_type': 'MD5', 'filename': 'Corresponding Author BCREC.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/220694', 'filesize': 279769, 'objectid': 37966, 'hash': 'f5406538ac2712509434b65ca84cad11', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 220694}], 'format': 'text'}]",390,Corresponding Author BCREC,other,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'honourific': None, 'lineage': None, 'family': 'Agustian'}}, {'name': {'given': 'Lilis', 'honourific': None, 'lineage': None, 'family': 'Hermida'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",Corresponding Author BCREC,,,,,,,,,,,,,,,,,,,,,
3,['TP'],2020-09-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24248,['FT6'],FT Unila,disk0/00/02/42/48,7,unpub,public,2020-10-01 01:09:00,show,2020-10-01 01:09:00,archive,24248,2020-10-01 01:09:00,"[{'eprintid': 24248, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37967', 'format': 'text', 'main': 'Corresponding Author ECTJ.pdf', 'files': [{'mtime': '2020-09-30 11:58:34', 'hash_type': 'MD5', 'filename': 'Corresponding Author ECTJ.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/220701', 'filesize': 188734, 'objectid': 37967, 'hash': '5a36c35632ea3e631f3c41d27925b4b1', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 220701}], 'docid': 37967, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",390,Corresponding Author ECTJ,other,"[{'name': {'given': 'Joni', 'honourific': None, 'lineage': None, 'family': 'Agustian'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'given': 'Lilis', 'family': 'Hermida', 'lineage': None, 'honourific': None}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,,,
4,['TP'],2020-01-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18979,['FT6'],,disk0/00/01/89/79,4,pub,public,2020-04-06 01:17:46,show,2020-04-06 01:17:46,archive,18979,2020-04-06 01:17:46,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/32219', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18979, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Paten Alfa Granted.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-04-05 13:05:57', 'filesize': 140825, 'objectid': 32219, 'filename': 'Paten Alfa Granted.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/159235', 'fileid': 159235, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e5f0997b0c35f7a96a0cc62aa4adf4f0'}], 'docid': 32219, 'format': 'text'}]",390,PATEN PROSES PEMBUATAN ENZIM ALFA-AMILASE TERIMOBILISASI PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR,patent,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Hermida', 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",,18975.0,completed,"Joni Agustian, Lilis Hermida",IDP000066488,,,,,,,,,,,,,,,,,
5,['TP'],2020-01-06 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18978,['FT6'],,disk0/00/01/89/78,4,pub,public,2020-04-06 01:17:27,show,2020-04-06 01:17:27,archive,18978,2020-04-06 01:17:27,"[{'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '84c32b8888e3258ac9b7f9d484f49ce3', 'datasetid': 'document', 'fileid': 159231, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159231', 'filename': '1 Paten Gluko Granted.pdf', 'filesize': 147147, 'objectid': 32218, 'mtime': '2020-04-05 13:16:20', 'hash_type': 'MD5'}], 'main': '1 Paten Gluko Granted.pdf', 'docid': 32218, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32218', 'pos': 1, 'eprintid': 18978, 'placement': 1}]",390,PATEN PROSES PEMBUATAN ENZIM GLUKOAMILASE TERIMOBILISASI PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR SECARA ADSORPSI,patent,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'family': 'Agustian', 'lineage': None, 'honourific': None, 'given': 'Joni'}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'family': 'Hermida', 'lineage': None, 'honourific': None, 'given': 'Lilis'}}]",,18976.0,completed,"Joni Agustian, Lilis Hermida",IDP000066119,,,,,,,,,,,,,,,,,
6,['TP'],2020-01-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28283,['FT6'],,disk0/00/02/82/83,7,pub,public,2021-03-09 02:47:50,show,2021-03-09 02:47:50,archive,28283,2021-03-09 02:47:50,"[{'eprintid': 28283, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42328', 'pos': 1, 'format': 'text', 'docid': 42328, 'main': 'P00201609155-IDP000066488-Joni-Lilis.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/251549', 'filename': 'P00201609155-IDP000066488-Joni-Lilis.pdf', 'objectid': 42328, 'filesize': 18381047, 'mtime': '2021-03-08 21:26:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '4c297f2d8f9eb143586bdcd4fc3d81e7', 'fileid': 251549, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",390,"PROSES PEMBUATAN ENZIM ALFA-AMILASE TERIMOBILISASI PADA
PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR",patent,"[{'name': {'given': 'Joni', 'honourific': None, 'lineage': None, 'family': 'Agustian'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'given': 'Lilis', 'honourific': None, 'lineage': None, 'family': 'Hermida'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]","Invensi ini berhubungan dengan proses imobilisasi enzim bebas alfa-amilase SQzyme-BAP pada penyangga anorganik silika mesoporous cellular foam (silika MCF-(9.2T-3D)) secara adsorpsi untuk menghasilkan tingkat enzim terimobilisasi yang tinggi dengan memvariasikan faktor-faktor operasi proses imobilisasi dan pengamatan efektivitas produk enzim alfa-amilase terimobilisasi
dalam proses hidrolisis tepung tapioka.",,published,LPPM Unila,IDP00006448,19.0,https://pdki-indonesia.dgip.go.id/detail/P00201609155?type=patent&keyword=amilase,,,,,,,,,,,,,,,
7,['TP'],2020-01-06 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28284,['FT6'],,disk0/00/02/82/84,7,pub,public,2021-03-09 02:48:09,show,2021-03-09 02:48:09,archive,28284,2021-03-09 02:48:09,"[{'files': [{'objectid': 42329, 'filesize': 20349876, 'filename': 'P00201609156-IDP0000661190-Joni-Lilis.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/251556', 'hash_type': 'MD5', 'mtime': '2021-03-08 21:41:39', 'fileid': 251556, 'datasetid': 'document', 'hash': '60371a258e32220f688d3bf71efdaffd', 'mime_type': 'application/pdf'}], 'main': 'P00201609156-IDP0000661190-Joni-Lilis.pdf', 'docid': 42329, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 28284, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42329', 'pos': 1, 'security': 'public'}]",390,"PROSES PEMBUATAN ENZIM GLUKOAMILASE TERIMOBILISASI PADA
PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR SECARA ADSORPSI",patent,"[{'name': {'family': 'Agustian', 'lineage': None, 'honourific': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'given': 'Lilis', 'honourific': None, 'family': 'Hermida', 'lineage': None}, 'id': 'lilis.hermida@eng.unila.ac.id'}]","Invensi ini berhubungan dengan pengembangan teknologi untuk
menghasilkan enzim glukoamilase terimobilisasi dengan tingkat imobilisasi enzim yang tinggi pada penyangga silika mesoporous cellular foam (silika MCF) dengan metode adsorpsi dan penggunaan enzim glukoamilase terimobilisasi pada proses hidrolisis pati tapioka.",,published,LPPM Unila,IDP000066119,22.0,https://pdki-indonesia.dgip.go.id/detail/P00201609156?type=patent&keyword=glukoamilase,,,,,,,,,,,,,,,
8,['TP'],2020-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21330,['FT6'],Badan Penelitian dan Pengembangan Daerah Provinsi Lampung,disk0/00/02/13/30,9,pub,public,2020-06-01 05:44:28,show,2020-06-01 05:44:28,archive,21330,2020-06-01 05:44:28,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34727', 'security': 'public', 'placement': 1, 'eprintid': 21330, 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published', 'main': 'document.pdf', 'files': [{'hash': '5a54b2d32b6511afd0cc82a48c22cebe', 'mime_type': 'application/pdf', 'fileid': 198366, 'datasetid': 'document', 'mtime': '2020-06-01 03:01:55', 'hash_type': 'MD5', 'filename': 'document.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198366', 'objectid': 34727, 'filesize': 774194}], 'docid': 34727, 'format': 'text'}]",951,Karakterisasi Plastik Pengemas Makanan dari Tepung Maizena dan Batang Pisang,article,"[{'id': 'edwinazwar@yahoo.co.id', 'name': {'honourific': None, 'family': 'Azwar', 'lineage': None, 'given': 'Edwin'}}, {'id': 'siskaoktorina.simbolon@gmail.com', 'name': {'given': 'Siska Oktorina', 'family': 'Simbolon', 'lineage': None, 'honourific': None}}]","Edible film sebagai plastik pengemas makanan dari pati jagung dan plasticizer hasil likuifaksi batang pisang disiapkan untuk mengevaluasi pengaruh penambahan plasticizer terhadap sifat mekanis, gugu fungsi, dan ketahanan airnya. Formulasi pati:plasticizer yang digunakan dalam penelitian ini adalah 4:0, 4:2, 4:3, 4:4, 4:5, 5:0, 5:2, 5:3, 5:4, 5:5, 6:0, 6:2, 6:3, 6:4, 6:5, 7:0, 7:2, 7:3, 7:4, 7:5 (gr/gr), ukuran batang pisang untuk proses likuifaksi lolos ayakan 200 mesh dan waktu pengadukan proses pembuatan edible film 30 menit pada kecepatan 135 rpm. Untuk mengetahui karakteristik edible film dilakukan beberapa analisis yaitu uji sifat mekanik (kuat tarik, persen perpanjangan dan modulus young), daya serap air dan FTIR. Nilai kuat tarik, persen perpanjangan dan modulus young tertinggi pada penelitian ini diperoleh pada formulasi pati:plasticizer berturut-turut 6:0, 7:5, dan 4:0, dengan nilai  16,76  Mpa,  14,29%  dan  511,34  Mpa.  Film  dengan  nilai  tersebut  telah  sesuai  dengan  standar  edible  film. Penambahan  plasticizer  hasil  likuifaksi  juga  berpengaruh  terhadap  ketahanan  air  pada  film,  dimana  semakin banyak  plasticizer  ditambahkan,   semakin   kecil  air   yang  diserap  oleh   film.  Hasil  analisis  dengan  FTIR menunjukkan bahwa panjang gelombang nya tidak mengalami perubahan yang berarti. Hal itu berarti bahwa film pati yang dihasilkan merupakan proses blending secara fisika karena tidak ditemukannya gugus fungsi baru.",,published,,,,https://journalbalitbangdalampung.org/index.php/jip/article/view/170,1,17-28,FALSE,8.0,P-ISSN 2354-5704; E-ISSN 2622-190X,Inovasi Pembangunan - Jurnal Kelitbangan,[{'url': 'https://journalbalitbangdalampung.org/index.php/jip/article/view/170/127'}],,,,,,,,
9,['TA'],2020-07-20 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/41153,['FT6'],pubmed,disk0/00/04/11/53,7,pub,public,2022-04-07 06:37:40,show,2022-04-07 06:37:40,archive,41153,2022-04-07 06:37:40,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'CamScanner 02-14-2022 08.47_Briket.pdf', 'files': [{'datasetid': 'document', 'fileid': 456799, 'hash': '5c1dfc7c1f50b9417e7fbfe0fb3ca3e5', 'mime_type': 'application/pdf', 'filesize': 1348755, 'objectid': 162612, 'filename': 'CamScanner 02-14-2022 08.47_Briket.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/456799', 'hash_type': 'MD5', 'mtime': '2022-04-07 04:10:28'}], 'docid': 162612, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162612', 'pos': 1, 'eprintid': 41153, 'placement': 1}]",636,Plagiarism checker: Briquetting of sugarcane bagasse as a proper waste management technology in Vietnam,other,"[{'name': {'lineage': None, 'family': 'Brunerová', 'honourific': None, 'given': 'anna'}, 'id': 'brunerova@tf.czu.cz'}, {'id': 'udinha65@gmail.com', 'name': {'given': 'Udin', 'honourific': None, 'lineage': None, 'family': 'Hasanudin'}}, {'id': 'dewi.agustina@eng.unila.ac.id', 'name': {'given': 'Dewi Agustina', 'honourific': None, 'lineage': None, 'family': 'Iryani'}}, {'name': {'honourific': None, 'family': 'Herák', 'lineage': None, 'given': 'david'}, 'id': 'herak@tf.czu.cz'}]",,,published,,10.1177/0734242X20938438,,https://pubmed.ncbi.nlm.nih.gov/32686610/,,,,,,,,waste management research,,,,,,,
