,title,type,creators,place_of_pub,metadata_visibility,eprintid,eprint_status,datestamp,documents,lastmod,official_url,userid,divisions,publisher,dir,rev_number,ispublished,status_changed,full_text_status,subjects,uri,date,corp_creators,abstract,date_type,volume,publication,issn,pagerange,contributors,number,refereed,succeeds,contact_email,pages,isbn,series,related_url,editors,id_number
0,"Turnitin_PENGARUH DIGITAL LITERASI TERHADAP PERILAKU 
SOSIAL ANAK USIA DINI",other,"[{'name': {'given': 'RIZKY DRUPADI', 'lineage': None, 'family': 'DRUPADI', 'honourific': None}, 'id': 'rizky.drupadi@fkip.unila.ac.id'}]",Lamongan,show,47029,archive,2022-11-30 04:06:57,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185970', 'eprintid': 47029, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'turnitin_literasi.pdf', 'docid': 185970, 'files': [{'filename': 'turnitin_literasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/516875', 'objectid': 185970, 'filesize': 2372404, 'mtime': '2022-11-29 16:49:13', 'hash_type': 'MD5', 'hash': '2cd1e2cdf532c300943b71d4d66b20e6', 'mime_type': 'application/pdf', 'fileid': 516875, 'datasetid': 'document'}]}]",2022-11-30 04:06:57,https://journalfai.unisla.ac.id/index.php/jce/article/view/1084,1243,['FKIP23'],Universitas Islam Lamongan,disk0/00/04/70/29,7,pub,2022-11-30 04:06:57,public,['LB1501'],http://repository.lppm.unila.ac.id/id/eprint/47029,2022-09-12 00:00:00.000000000,['Universitas Lampung'],"Tujuan penelitian ini adalah untuk memberikan mengetahui pengaruh 
literacy digital terhadap perilaku sosial anak usia dini. Penelitian ini 
diharapkan mampu memberikan kontribusi yang positif dan berbeda 
bagi pembelajaran di pendidikan anak usia dini khususnya pembelajaran 
sosial untuk anak usia dini. Sebuah model pengembangan pembelajaran 
kempauan sosial yang mampu memberikan warna berbeda dalam proses 
pembelajaran sosial secara menyeluruh, menyenangkan dan sesuai 
dengan tahap usia perkembangan anak usia dini yang mengaitkan 
dengan berbagai aspek perkembangan lain. Penelitian ini menggunakan 
pendekatan kuantitatif, dengan desain penelitian regresi sederhana. 
Subyek penelitian ini adalah 23 guru yang memiliki anak usia 4-6 tahun 
untuk mendapatkan gambaran pengaruh literacy digital terhadap 
perilaku sosial anak. Hasil penelitian menunjukan bahwa literasi digital
berpengaruh positif dan signifikan terhadap perilaku sosial anak usia 
dini. Artinya, literasi digital dapat memprediksikan perilaku sosial pada 
anak usia dini. Literasi digital memberikan sumbangan efektif sebesar 
12,7% terhadap perilaku sosial anak usia dini.",,,,,,,,,,,,,,,,
1,"PENGARUH DIGITAL LITERASI TERHADAP PERILAKU 
SOSIAL ANAK USIA DINI",article,"[{'name': {'family': 'DRUPADI', 'lineage': None, 'honourific': None, 'given': 'RIZKY DRUPADI'}, 'id': 'rizky.drupadi@fkip.unila.ac.id'}, {'name': {'given': 'Devi', 'lineage': None, 'family': 'Nawangsasi', 'honourific': None}, 'id': 'devinawangsasi@gmail.com'}, {'name': {'given': 'Nia', 'honourific': None, 'family': 'Fatmawati', 'lineage': None}, 'id': 'fatmawati_nia@fkip.unila.ac.id'}, {'id': 'sugiana@fkip.unila.ac.id', 'name': {'given': 'Sugiana', 'family': 'Sugiana', 'lineage': None, 'honourific': None}}]",,show,45034,archive,2022-09-20 04:01:39,"[{'format': 'text', 'docid': 166953, 'main': '1084-2459-1-PB.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '42ae55fd36e85b204a3a8254304825be', 'datasetid': 'document', 'fileid': 485465, 'mtime': '2022-09-20 02:27:26', 'hash_type': 'MD5', 'filename': '1084-2459-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/485465', 'objectid': 166953, 'filesize': 238754}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 45034, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166953', 'pos': 1}]",2022-09-20 04:01:39,http://journalfai.unisla.ac.id/index.php/JCE,1243,['FKIP23'],Universitas Islam Lamongan,disk0/00/04/50/34,8,pub,2022-09-20 04:01:39,public,"['L1', 'LB1501']",http://repository.lppm.unila.ac.id/id/eprint/45034,2022-09-01 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","Tujuan penelitian ini adalah untuk memberikan mengetahui pengaruh 
literacy digital terhadap perilaku sosial anak usia dini. Penelitian ini 
diharapkan mampu memberikan kontribusi yang positif dan berbeda 
bagi pembelajaran di pendidikan anak usia dini khususnya pembelajaran 
sosial untuk anak usia dini. Sebuah model pengembangan pembelajaran 
kempauan sosial yang mampu memberikan warna berbeda dalam proses 
pembelajaran sosial secara menyeluruh, menyenangkan dan sesuai 
dengan tahap usia perkembangan anak usia dini yang mengaitkan 
dengan berbagai aspek perkembangan lain. Penelitian ini menggunakan 
pendekatan kuantitatif, dengan desain penelitian regresi sederhana. 
Subyek penelitian ini adalah 23 guru yang memiliki anak usia 4-6 tahun 
untuk mendapatkan gambaran pengaruh literacy digital terhadap 
perilaku sosial anak. Hasil penelitian menunjukan bahwa literasi digital
berpengaruh positif dan signifikan terhadap perilaku sosial anak usia 
dini. Artinya, literasi digital dapat memprediksikan perilaku sosial pada 
anak usia dini. Literasi digital memberikan sumbangan efektif sebesar 
12,7% terhadap perilaku sosial anak usia dini.",published,6.0,JCE (Journal of Childhood Education),2620-3278,249-265,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],2.0,TRUE,,,,,,,,
2,"Reviewer_PENGARUH DIGITAL LITERASI TERHADAP PERILAKU 
SOSIAL ANAK USIA DINI",other,"[{'id': 'rizky.drupadi@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'DRUPADI', 'given': 'RIZKY DRUPADI'}}, {'id': 'devinawangsasi@gmail.com', 'name': {'given': 'Devi', 'family': 'Nawangsasi', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Fatmawati', 'lineage': None, 'honourific': None, 'given': 'Nia'}, 'id': 'fatmawati_nia@fkip.unila.ac.id'}, {'name': {'given': 'Sugiana', 'lineage': None, 'family': 'Sugiana', 'honourific': None}, 'id': 'sugiana@fkip.unila.ac.id'}]",Lamongan,show,47011,archive,2022-11-30 04:03:15,"[{'eprintid': 47011, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185953', 'format': 'text', 'docid': 185953, 'main': 'Literasi digital gabung final_reviewer.pdf', 'files': [{'hash': '7e09804972fb671a34fb7d5ceba11a82', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 516763, 'mtime': '2022-11-29 13:23:29', 'hash_type': 'MD5', 'filename': 'Literasi digital gabung final_reviewer.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/516763', 'objectid': 185953, 'filesize': 683856}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-11-30 04:03:15,https://journalfai.unisla.ac.id/index.php/jce/article/view/1084,1243,['FKIP23'],Universitas Islam Lamongan,disk0/00/04/70/11,8,pub,2022-11-30 04:03:15,public,['LB1501'],http://repository.lppm.unila.ac.id/id/eprint/47011,2022-09-12 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","Tujuan penelitian ini adalah untuk memberikan mengetahui pengaruh 
literacy digital terhadap perilaku sosial anak usia dini. Penelitian ini 
diharapkan mampu memberikan kontribusi yang positif dan berbeda 
bagi pembelajaran di pendidikan anak usia dini khususnya pembelajaran 
sosial untuk anak usia dini. Sebuah model pengembangan pembelajaran 
kempauan sosial yang mampu memberikan warna berbeda dalam proses 
pembelajaran sosial secara menyeluruh, menyenangkan dan sesuai 
dengan tahap usia perkembangan anak usia dini yang mengaitkan 
dengan berbagai aspek perkembangan lain. Penelitian ini menggunakan 
pendekatan kuantitatif, dengan desain penelitian regresi sederhana. 
Subyek penelitian ini adalah 23 guru yang memiliki anak usia 4-6 tahun 
untuk mendapatkan gambaran pengaruh literacy digital terhadap 
perilaku sosial anak. Hasil penelitian menunjukan bahwa literasi digital
berpengaruh positif dan signifikan terhadap perilaku sosial anak usia 
dini. Artinya, literasi digital dapat memprediksikan perilaku sosial pada 
anak usia dini. Literasi digital memberikan sumbangan efektif sebesar 
12,7% terhadap perilaku sosial anak usia dini",published,,,,,,,,,,,,,,,
3,"reviewer_PENGARUH DIGITAL LITERASI TERHADAP PERILAKU 
SOSIAL ANAK USIA DINI",other,"[{'name': {'given': 'RIZKY DRUPADI', 'family': 'DRUPADI', 'lineage': None, 'honourific': None}, 'id': 'rizky.drupadi@fkip.unila.ac.id'}, {'id': 'devinawangsasi@gmail.com', 'name': {'family': 'Nawangsasi', 'lineage': None, 'honourific': None, 'given': 'Devi'}}, {'id': 'fatmawati_nia@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Fatmawati', 'given': 'Nia'}}, {'name': {'family': 'Sugiana', 'lineage': None, 'honourific': None, 'given': 'Sugiana'}, 'id': 'sugiana@fkip.unila.ac.id'}]",Lamongan,show,47006,archive,2022-11-30 04:02:09,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185948', 'eprintid': 47006, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Literasi digital gabung final_reviewer.pdf', 'files': [{'hash': '7e09804972fb671a34fb7d5ceba11a82', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 516739, 'uri': 'http://repository.lppm.unila.ac.id/id/file/516739', 'filename': 'Literasi digital gabung final_reviewer.pdf', 'filesize': 683856, 'objectid': 185948, 'mtime': '2022-11-29 13:08:55', 'hash_type': 'MD5'}], 'docid': 185948}]",2022-11-30 04:02:09,https://journalfai.unisla.ac.id/index.php/jce/article/view/1084,1243,['FKIP23'],Universitas Islam Lamongan,disk0/00/04/70/06,5,pub,2022-11-30 04:02:09,public,['LB1501'],http://repository.lppm.unila.ac.id/id/eprint/47006,2022-09-12 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","Tujuan penelitian ini adalah untuk memberikan mengetahui pengaruh 
literacy digital terhadap perilaku sosial anak usia dini. Penelitian ini 
diharapkan mampu memberikan kontribusi yang positif dan berbeda 
bagi pembelajaran di pendidikan anak usia dini khususnya pembelajaran 
sosial untuk anak usia dini. Sebuah model pengembangan pembelajaran 
kempauan sosial yang mampu memberikan warna berbeda dalam proses 
pembelajaran sosial secara menyeluruh, menyenangkan dan sesuai 
dengan tahap usia perkembangan anak usia dini yang mengaitkan 
dengan berbagai aspek perkembangan lain. Penelitian ini menggunakan 
pendekatan kuantitatif, dengan desain penelitian regresi sederhana. 
Subyek penelitian ini adalah 23 guru yang memiliki anak usia 4-6 tahun 
untuk mendapatkan gambaran pengaruh literacy digital terhadap 
perilaku sosial anak. Hasil penelitian menunjukan bahwa literasi digital
berpengaruh positif dan signifikan terhadap perilaku sosial anak usia 
dini. Artinya, literasi digital dapat memprediksikan perilaku sosial pada 
anak usia dini. Literasi digital memberikan sumbangan efektif sebesar 
12,7% terhadap perilaku sosial anak usia dini.",published,,,,,,,,47000.0,,,,,,,
4,Perspectives of Teachers and Parents on Mathematics Learning in Early Grades Student During School From Home,article,"[{'name': {'given': 'Nia', 'honourific': None, 'lineage': None, 'family': 'Fatmawati'}, 'id': 'fatmawati_nia@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Herman', 'honourific': None, 'given': 'Tatang'}, 'id': 'tatangherman@upi.edu'}, {'name': {'given': 'Kisno', 'honourific': None, 'lineage': None, 'family': 'Kisno'}, 'id': 'kisno@metrouniv.ac.id'}]",,show,46958,archive,2023-01-12 09:21:58,"[{'format': 'text', 'main': 'IJME_Vol7.1_630.pdf', 'files': [{'datasetid': 'document', 'fileid': 516288, 'mime_type': 'application/pdf', 'hash': 'ed9f5dfc962972d6e763691e7200b416', 'filesize': 252778, 'objectid': 185896, 'uri': 'http://repository.lppm.unila.ac.id/id/file/516288', 'filename': 'IJME_Vol7.1_630.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-27 21:23:28'}], 'docid': 185896, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'eprintid': 46958, 'placement': 1, 'security': 'public', 'formatdesc': 'Artikel_Perspectives of Teachers and Parents on Mathematics Learning in Early Grades Student During School From Home', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185896'}]",2023-01-12 09:21:58,https://kalaharijournals.com/ijme-vol7-issue-jan2022part2.php,1171,['FKIP23'],Kalahari Journal,disk0/00/04/69/58,10,pub,2023-01-12 09:21:58,public,['L1'],http://repository.lppm.unila.ac.id/id/eprint/46958,2022-01-01 00:00:00.000000000,,"This research was motivated by necessary to analyze the extent which the perspectives of teachers and parents on 
learning mathematics in the first grade of elementary school during school from home at the covid-19 pandemic. The purpose of the study to see the process of implementing mathematics learning during the pandemic-19 period and to explore deeper information about respondents' perspectives on learning mathematics during school from home. The subjects in this study are the teachers and parents of early students at the State Elementary School 10 Metro Timur, Metro City, Lampung. The method used in this research is descriptive qualitative. Data obtained through observation and interviews. Based on the results of the study, information was obtained that teachers and parents had clashes in interpreting and implementing mathematics learning in lower classes during school from home. In addition, various obstacles experienced by teachers and parents were also found in the implementation of mathematics learning for children in early grades during School From Home.",published,7.0,International Journal of Mechanical Engineering,0974-5823,6224-6229,,14.0,TRUE,,,,,,,,
5,"Syarat2 tambahan Revisi Usul Guru Besar an,. Dr. Een Yayah Haenila",other,"[{'name': {'honourific': None, 'family': 'Haenilah', 'lineage': None, 'given': 'Een Yayah'}, 'id': 'eenhaenilah@gmail.com'}]",,show,42989,archive,2022-07-06 07:41:07,"[{'main': 'Bukti Koresponding Author _ Literature Review of Good Teachers The Attributes and Gaps of Indonesian Teachers as a Profession.pdf', 'docid': 164809, 'files': [{'filename': 'Bukti Koresponding Author _ Literature Review of Good Teachers The Attributes and Gaps of Indonesian Teachers as a Profession.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470620', 'objectid': 164809, 'filesize': 618113, 'mtime': '2022-06-22 09:19:03', 'hash_type': 'MD5', 'hash': 'e19cdc2b6d96647cf06192e05795e92c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 470620}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 3, 'placement': 1, 'eprintid': 42989, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164809', 'security': 'public'}, {'files': [{'mime_type': 'application/pdf', 'hash': 'b9b6dc3c209463f5e90033aa7a6a3047', 'datasetid': 'document', 'fileid': 470621, 'filename': 'SURAT Pengantar usul GB_EEN YH.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470621', 'objectid': 164810, 'filesize': 283294, 'mtime': '2022-07-06 02:29:09', 'hash_type': 'MD5'}], 'main': 'SURAT Pengantar usul GB_EEN YH.pdf', 'docid': 164810, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'placement': 2, 'eprintid': 42989, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164810', 'security': 'public'}, {'eprintid': 42989, 'placement': 4, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164811', 'pos': 4, 'format': 'text', 'main': 'Surat Penolakan.pdf', 'files': [{'fileid': 470622, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f9a8723e95bfb2c2892d7ac49fd2112b', 'hash_type': 'MD5', 'mtime': '2022-07-06 02:29:18', 'objectid': 164811, 'filesize': 406635, 'filename': 'Surat Penolakan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470622'}], 'docid': 164811, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2}, {'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164812', 'pos': 5, 'eprintid': 42989, 'placement': 5, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Surat Klarifikasi.pdf', 'docid': 164812, 'files': [{'fileid': 470626, 'datasetid': 'document', 'hash': 'dbb2e3e064ab7700f9775b464c0c9be2', 'mime_type': 'application/pdf', 'objectid': 164812, 'filesize': 645804, 'filename': 'Surat Klarifikasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470626', 'hash_type': 'MD5', 'mtime': '2022-07-06 03:49:39'}]}]",2022-07-06 07:41:07,,1020,['FKIP23'],FKIP Universitas Lampung,disk0/00/04/29/89,5,unpub,2022-07-06 07:41:07,public,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/42989,2022-06-06 00:00:00.000000000,,,,,,,,,,,42984.0,,,,,,,
6,Literature Review of Good Teachers: The Attributes and Gaps of Indonesian Teachers as a Profession,article,"[{'name': {'honourific': None, 'family': 'Haenilah', 'lineage': None, 'given': 'Een Yayah'}, 'id': 'eenhaenilah@gmail.com'}, {'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'given': 'Hasan', 'family': 'Hariri', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Ridwan', 'family': 'Ridwan', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Ochayi', 'lineage': None, 'given': 'Onojah Amos'}}, {'name': {'given': 'Albet', 'family': 'Maydiantoro', 'lineage': None, 'honourific': None}, 'id': 'albet.maydiantoro@fkip.unila.ac.id'}, {'name': {'given': 'M. Arifki', 'lineage': None, 'family': 'Zainaro', 'honourific': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Bolado', 'given': 'John Rainer T.'}}, {'name': {'given': 'Tubagus Ali Rachman Puja', 'honourific': None, 'family': 'Kesuma', 'lineage': None}, 'id': None}, {'id': None, 'name': {'family': 'Tusianah', 'lineage': None, 'honourific': None, 'given': 'Rias'}}, {'name': {'honourific': None, 'family': 'Isnainy', 'lineage': None, 'given': 'Usastiawaty C.A.S.'}, 'id': None}]",,show,40024,archive,2022-03-09 06:41:52,"[{'main': '12877-Article Text-45617-1-10-20220305 cover + isi .pdf', 'docid': 161314, 'files': [{'hash': '661d8fb422d142ef7379b38d482ea57a', 'mime_type': 'application/pdf', 'fileid': 447792, 'datasetid': 'document', 'filename': '12877-Article Text-45617-1-10-20220305 cover + isi .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/447792', 'objectid': 161314, 'filesize': 1568354, 'mtime': '2022-03-09 02:28:40', 'hash_type': 'MD5'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 40024, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161314', 'pos': 1, 'security': 'public'}]",2022-03-09 06:41:52,https://www.richtmann.org/journal/index.php/ajis/article/view/12877,1020,['FKIP23'],richtmann,disk0/00/04/00/24,6,pub,2022-03-09 06:41:52,public,['L1'],http://repository.lppm.unila.ac.id/id/eprint/40024,2022-03-01 00:00:00.000000000,,,,11.0,Academic Journal of Interdisciplinary Studies,E-ISSN: 2281-4612 /ISSN:2281-3993,175-191,,2.0,TRUE,,eenhaenilah@gmail.com,,,,,,
7,"Pentingnya Kelekatan Ibu dalam Membangun Kecerdasan Sosial 
Emosional Anak Usia 5 – 6 Tahun",article,"[{'name': {'given': 'Vivi', 'honourific': None, 'family': 'Irzalinda', 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Sofia', 'honourific': None, 'given': 'Ari'}, 'id': 'arisofia76@gmail.com'}, {'id': None, 'name': {'lineage': None, 'family': 'Erika', 'honourific': None, 'given': 'Ayu Lestari'}}]",,show,43840,archive,2022-08-03 01:21:53,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165798', 'eprintid': 43840, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Jurnal Pendidikan Anak Vol. 8 No. 1 April Tahun 2022 sinta 4.pdf', 'docid': 165798, 'files': [{'datasetid': 'document', 'fileid': 477457, 'hash': '0394d2aeedc6bb986ebb34a37b1028ad', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-08-02 15:48:53', 'objectid': 165798, 'filesize': 287410, 'filename': 'Jurnal Pendidikan Anak Vol. 8 No. 1 April Tahun 2022 sinta 4.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/477457'}]}]",2022-08-03 01:21:53,http://jurnal.fkip.unila.ac.id/index.php/PAUD/article/view/23743,35,['FKIP23'],Program Studi PGPAUD Unila,disk0/00/04/38/40,9,pub,2022-08-03 01:21:53,public,['L1'],http://repository.lppm.unila.ac.id/id/eprint/43840,2022-04-01 00:00:00.000000000,,"Masalah dalam penelitian ini yaitu sikap anak yang menunjukkan masih mementingkan 
dirinya sendiri. Penelitian ini bertujuan untuk menganalisis hubungan kelekatan antara kelekatan ibu 
dengan kecerdasan sosial emosional anak usia 5 – 6 tahun. Penelitian ini menggunakan jenis 
penelitian kuantitatif dengan metode korelasional. Sampel penelitian diambil menggunakan teknik 
random sampling atau teknik acak sebanyak 130 responden di Taman Kanak – kanak (TK) 
Kecamatan Kalianda Kabupaten Lampung Selatan Provinsi Lampung. Teknik pengumpulan data 
yang digunakan yaitu angke. Analisis data yang digunakan yaitu analisis korelasi Product Moment. 
Hasil Penelitian menunjukkan adanya korelasi sebesar 0,762 yang artinya terdapat hubungan yang 
kuat antara kelekatan ibu dengan kecerdasan sosial emosional anak usia 5 – 6 tahun.",,8.0,Jurnal Pendidikan Anak,2580-9504,,,1.0,TRUE,,,,,,,,
8,Pengetahuan Guru Pendidikan Anak Usia Dini tentang Metode Bercakap-Cakap pada Pembelajaran di PAUD,article,"[{'id': None, 'name': {'family': 'Mohammad', 'lineage': None, 'honourific': None, 'given': 'Thobi'}}, {'name': {'family': 'Riswanti', 'lineage': None, 'honourific': None, 'given': 'Rini'}, 'id': None}, {'id': 'ulwansyafrudin23@gmail.com', 'name': {'family': 'ULWAN SYAFARUDIN', 'lineage': None, 'honourific': None, 'given': 'Ulwan'}}, {'name': {'given': 'Ari', 'honourific': None, 'family': 'Sofia', 'lineage': None}, 'id': 'arisofia76@gmail.com'}, {'name': {'family': 'Rizky', 'lineage': None, 'honourific': None, 'given': 'Drupadi'}, 'id': None}]",,show,41947,archive,2022-05-30 01:45:27,"[{'placement': 1, 'eprintid': 41947, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163627', 'security': 'public', 'main': 'KINDERGARTEN_Vol. 5, No.2 April 2022.pdf', 'docid': 163627, 'files': [{'mime_type': 'application/pdf', 'hash': '64c2846382123ce3ce2e24a4a2a23573', 'fileid': 462774, 'datasetid': 'document', 'mtime': '2022-05-28 02:38:27', 'hash_type': 'MD5', 'filename': 'KINDERGARTEN_Vol. 5, No.2 April 2022.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/462774', 'filesize': 234202, 'objectid': 163627}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-05-30 01:45:27,http://ejournal.uin-suska.ac.id/index.php/KINDERGARTEN,35,['FKIP23'],PS PIAUD FKIP UIN Suska Riau,disk0/00/04/19/47,7,pub,2022-05-30 01:45:27,public,['L1'],http://repository.lppm.unila.ac.id/id/eprint/41947,2022-04-01 00:00:00.000000000,,"Penelitian ini bertujuan untuk mendeskripsikan pengetahuan guru PAUD tentang metode bercakap- cakap pada pembelajaran di PAUD. Populasi penelitian ini, yaitu seluruh guru TK di Kecamatan
Labuhan Ratu dengan jumlah gurusebanyak 94 guru, sampel penelitian dihitung menggunakan rumus
Slovin dengan hasil 48 guru, kemudian peneliti menggunakan teknik sampling area, sebagai teknik
pengambilan sampel. Sebanyak 48 guru perwakilan dari masing-masing kelurahan yang ada di
Kecamatan Labuhan Ratu, seperti Kelurahan Labuhan Ratu, Kelurahan Labuhan Ratu Raya,
Kelurahan Kampung Baru, Kelurahan Kampung Baru Raya, Kelurahan Kota Sepang dan Kelurahan
Sepang Jaya. Teknik pengumpulan data yang digunakan yaitu berupa tes dan dokumen. Sedangkan
analisis data yang digunakan yaitu analisis deskriptif. Hasil penelitian menunjukkan bahwa sebanyak
34% guru berada pada tingkatan sangat paham, 39% guru berada pada tingakatan paham, 18% guru
kurang paham dan 9% guru yang tidak paham metode bercakap-cakap. Data hasil penelitian ini,
dapat digunakan oleh Pemerintah, khususnya dalam bidang pendidikan, sebagai bahan evaluasi
mengenai penerapan metode pembelajaran di sekolah.",,5.0,KINDERGARTEN (journal of islamic early childhood)                                             education),2621-0770,145-155,,1.0,TRUE,,,,,,,,
9,Kreativitas Tanpa Batas dengan STEAM dan LOOSE PARTS,book,"[{'id': 'devinawangsasi@gmail.com', 'name': {'lineage': None, 'family': 'Nawangsasi', 'honourific': None, 'given': 'Devi'}}]",Cianjur Bandung,show,50333,archive,2023-04-12 07:40:19,"[{'eprintid': 50333, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190032', 'pos': 1, 'format': 'text', 'docid': 190032, 'main': 'Buku Devi.pdf', 'files': [{'hash': '3c4842d99c9ca832bd8e3a5d3937465d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 543512, 'mtime': '2023-04-11 19:28:04', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/543512', 'filename': 'Buku Devi.pdf', 'objectid': 190032, 'filesize': 390436}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2023-04-12 07:40:19,,19931,['FKIP23'],CV Mulya Bookstore,disk0_bak/00/05/03/33,9,pub,2023-04-12 07:40:19,public,['L1'],http://repository.lppm.unila.ac.id/id/eprint/50333,2022-12-01 00:00:00.000000000,['CV Mulya Bookstore'],-,published,1.0,,,,"[{'id': 'devinawangsasi@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/BKP', 'name': {'given': 'Devi', 'family': 'Nawangsasi', 'lineage': None, 'honourific': None}}]",1.0,TRUE,,,112.0,978-623-6953-99-0,Kreativitas Tanpa Batas dengan STEAM  dan LOOSE PARTS,[{'type': 'pub'}],"[{'name': {'honourific': None, 'family': 'Andari', 'lineage': None, 'given': 'An An'}}]",
