,status_changed,full_text_status,ispublished,rev_number,divisions,publisher,dir,abstract,uri,date,subjects,type,refereed,title,userid,documents,lastmod,eprint_status,editors,eprintid,datestamp,metadata_visibility,creators,date_type,corp_creators,pages,official_url,publication,place_of_pub,department,institution,monograph_type,pagerange,number,volume,issn,related_url,id_number,contributors,event_title,event_type,event_location,pres_type,event_dates,contact_email,referencetext,isbn
0,2017-11-10 13:57:07,public,inpress,14,"['FP1', 'FP25', 'FP2', 'FP24', 'FP19', 'FP22']",LPPM Universitas Lampung & Balitbangda Kabupaten Lampung Tengah,disk0/00/00/49/03,"Buku pedoman cassava ini terdiri atas empat bagian utama, yaitu bidang agronomi, system pemupukan, pengendalian hama dan penyakit cassava, manfaat dan pascapanen cassava. Bidang agronomi mendiskusikan tentang system penyediaan bibit, karakter berbagai varietas cassava dan system budidaya untuk produksi tinggi yang efektif dan berkelanjutan. Selanjutnya, cara pemberian pupuk yang baik dan benar untuk produksi tinggi dimasukkan ke dalam system pemupukan bersama dengan pemberian bahan organik untuk memperbaiki sifat tanah.  Cara pengendalian organisme pengganggu tanaman terpadu dibahas di dalam bagian pengendalian berbagai hama dan penyakit cassava. Terakhir adalah manfaat dan pascapanen cassava yang membahas tentang kegunaan cassava untuk kehidupan sehari-hari serta cara penyimpanan dan pengawetan tepung maupun prosesing.",http://repository.lppm.unila.ac.id/id/eprint/4903,1970-01-01 00:00:00.000002017,['S1'],book,FALSE,"CASSAVA: BIBIT, PRODUKSI, MANFAAT, DAN PASCA PANEN",1054,"[{'main': 'Buku Cassava.pdf', 'files': [{'datasetid': 'document', 'fileid': 47514, 'mime_type': 'application/pdf', 'hash': '297a1ffab74adf857353a2cbf01306f0', 'objectid': 17833, 'filesize': 4090275, 'uri': 'http://repository.lppm.unila.ac.id/id/file/47514', 'filename': 'Buku Cassava.pdf', 'hash_type': 'MD5', 'mtime': '2017-11-08 18:32:45'}], 'docid': 17833, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 4903, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17833', 'pos': 1, 'security': 'public'}]",2017-11-10 13:57:07,archive,"[{'name': {'given': 'Udin', 'lineage': None, 'family': 'Hasanudin', 'honourific': None}, 'id': 'udinha65@gmail.com'}, {'name': {'given': 'Erwin', 'honourific': None, 'family': 'Yuliadi', 'lineage': None}, 'id': 'erwyld@yahoo.co.id'}, {'name': {'given': 'Muhammad Syamsoel', 'honourific': None, 'family': 'Hadi', 'lineage': None}, 'id': 'msyamshadi@yahoo.co.id'}, {'name': {'given': 'Kukuh', 'family': 'Setiawan', 'lineage': None, 'honourific': None}, 'id': 'kukuhsetiawan38@gmail.com'}]",4903,2017-11-10 13:57:07,show,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-29 00:35:19,public,unpub,7,['FP1'],LPPM Universitas Lampung,disk0/00/03/11/88,Review prosiding international conference PERHEPI,http://repository.lppm.unila.ac.id/id/eprint/31188,1970-01-01 00:00:00.000002017,['S1'],other,,The Benefits of Community Based Clean Water Services for Upland Poor farmers in  Lampung Province,933,"[{'placement': 1, 'eprintid': 31188, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140930', 'pos': 1, 'security': 'public', 'main': 'Prosiding International onference perhepi agustus 2017 zainal dkk.pdf', 'docid': 140930, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/369763', 'filename': 'Prosiding International onference perhepi agustus 2017 zainal dkk.pdf', 'objectid': 140930, 'filesize': 403241, 'mtime': '2021-05-28 12:34:12', 'hash_type': 'MD5', 'hash': 'db3391e06f4895ba5a09e8a2d77d41b7', 'mime_type': 'application/pdf', 'fileid': 369763, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-05-29 00:35:19,archive,,31188,2021-05-29 00:35:19,show,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}}]",,,,,,,,,,,,,,,,,,,,,,,,
2,2022-04-13 01:04:16,public,unpub,4,['FP1'],LPPM Universitas Lampung,disk0/00/04/13/00,Review prosiding international conference PERHEPI,http://repository.lppm.unila.ac.id/id/eprint/41300,1970-01-01 00:00:00.000002017,['S1'],other,,The Benefits of Community Based Clean Water Services for Upland Poor farmers in  Lampung Province,933,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'revisi review artikel prosiding international seminar perhepi 2017.pdf', 'files': [{'mtime': '2022-04-12 11:01:32', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457991', 'filename': 'revisi review artikel prosiding international seminar perhepi 2017.pdf', 'objectid': 162887, 'filesize': 398747, 'mime_type': 'application/pdf', 'hash': 'a6e4b08ab032b6078cb5f4f79667ec06', 'datasetid': 'document', 'fileid': 457991}], 'docid': 162887, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162887', 'security': 'public', 'placement': 1, 'eprintid': 41300}]",2022-04-13 01:04:16,archive,,41300,2022-04-13 01:04:16,show,"[{'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-29 00:35:30,public,unpub,7,['FP1'],LPPM Universitas Lampung,disk0/00/03/11/92,"Review JIIA Vol 5 No 2, 2017",http://repository.lppm.unila.ac.id/id/eprint/31192,1970-01-01 00:00:00.000002017,['S1'],other,,Dampak El Nino terhadap Pendapata Petani padi di Kecamatan Punggur,933,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 369800, 'hash': 'e8e8a0434e93aee4edf52cf84863fe59', 'mime_type': 'application/pdf', 'objectid': 140950, 'filesize': 374534, 'uri': 'http://repository.lppm.unila.ac.id/id/file/369800', 'filename': 'JIIA Vol 5 No 2 tahun 2017  litta zainal dan M iirfan affandi.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 13:24:18'}], 'main': 'JIIA Vol 5 No 2 tahun 2017  litta zainal dan M iirfan affandi.pdf', 'docid': 140950, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 31192, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140950'}]",2021-05-29 00:35:30,archive,,31192,2021-05-29 00:35:30,show,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,,,,,
4,2022-04-12 01:22:11,public,unpub,4,['FP1'],LPPM Universitas Lampung,disk0/00/04/12/23,"Review JIIA Vol 5 No 2, 2017",http://repository.lppm.unila.ac.id/id/eprint/41223,1970-01-01 00:00:00.000002017,['S1'],other,,Dampak El Nino terhadap Pendapata Petani padi di Kecamatan Punggur,933,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 162735, 'main': 'revisi review JIIA Vol 5 no 2  2017 nopralita  dkk.pdf', 'files': [{'fileid': 457317, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '52b8bde3e27b174089a8823503a655fc', 'filesize': 388842, 'objectid': 162735, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457317', 'filename': 'revisi review JIIA Vol 5 no 2  2017 nopralita  dkk.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-11 16:04:47'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162735', 'eprintid': 41223, 'placement': 1}]",2022-04-12 01:22:11,archive,,41223,2022-04-12 01:22:11,show,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,,,,,
5,2017-11-14 03:43:52,public,unpub,8,['FP1'],Pustaka Jaya,disk0/00/00/54/28,"This book is intended for students of agribusiness department.  The book is organized into 15 chapters discussing various reading topics and their connections with grammar context.  Each chapter, except introduction, is structured into the following sub-chapters, i.e: reading comprehension, vocabulary development, writing, discussion, and grammar context.  The reading materials were taken and adjusted from various sources and they are closely related with course subject of students of agribusiness department.",http://repository.lppm.unila.ac.id/id/eprint/5428,2017-11-01 00:00:00.000000000,['S1'],book,FALSE,English for Agribusiness,933,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18371', 'security': 'public', 'placement': 1, 'eprintid': 5428, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Complete draft english for agribusiness finale.docx.pdf', 'docid': 18371, 'files': [{'hash': 'afc50bdff46d4462b18353bc28278da6', 'mime_type': 'application/pdf', 'fileid': 51135, 'datasetid': 'document', 'mtime': '2017-11-14 00:37:57', 'hash_type': 'MD5', 'filename': 'Complete draft english for agribusiness finale.docx.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/51135', 'objectid': 18371, 'filesize': 2140900}], 'format': 'text'}]",2017-11-14 03:43:52,archive,"[{'name': {'given': 'Yaktiworo', 'lineage': None, 'family': 'Indriani', 'honourific': None}, 'id': 'yakti_indriani@yahoo.com'}, {'id': 'indah.nurmayasari@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Nurmayasari', 'lineage': None, 'given': 'Indah'}}]",5428,2017-11-14 03:43:52,show,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Abidin', 'given': 'Zainal'}}]",submitted,"['Faculty of Agriculture, University of Lampung']",79.0,http://repository.lppm.unila.ac.id/cgi/users/home?screen=EPrint::Edit&eprintid=3795&stage=core#t,,,,,,,,,,,,,,,,,,,,
6,2021-05-29 00:34:49,public,unpub,7,['FP1'],LPPM Unila,disk0/00/03/11/77,Reviw JIIA Vol 6 no 4 2017,http://repository.lppm.unila.ac.id/id/eprint/31177,1970-01-01 00:00:00.000002017,['S1'],other,,Kinerja Agroindustri Keripik Penerima,933,"[{'placement': 1, 'eprintid': 31177, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140882', 'pos': 1, 'security': 'public', 'main': 'JIIA Vol 5 no 4    2017  mira w wan abbas dan zainal a .pdf', 'docid': 140882, 'files': [{'datasetid': 'document', 'fileid': 369657, 'hash': '05162666488c655dff189d770fbf7e0b', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 10:20:08', 'objectid': 140882, 'filesize': 367650, 'uri': 'http://repository.lppm.unila.ac.id/id/file/369657', 'filename': 'JIIA Vol 5 no 4    2017  mira w wan abbas dan zainal a .pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-05-29 00:34:49,archive,,31177,2021-05-29 00:34:49,show,"[{'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,,,,,
7,2022-04-12 01:22:14,public,unpub,6,['FP1'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,disk0/00/04/12/24,Revisi penilaiain jurnal,http://repository.lppm.unila.ac.id/id/eprint/41224,2017-08-01 00:00:00.000000000,['S1'],article,FALSE,Review JIIA Vol 5 no 3 2017 Vanna zainal dan teguh,933,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162736', 'security': 'public', 'placement': 1, 'eprintid': 41224, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'revisi review JIIA Vol 5 no 3  2017 vana dkk.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-04-11 16:30:09', 'objectid': 162736, 'filesize': 384254, 'filename': 'revisi review JIIA Vol 5 no 3  2017 vana dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457321', 'datasetid': 'document', 'fileid': 457321, 'mime_type': 'application/pdf', 'hash': '8d0e8110194ce4c2d7e7c5e45a3c6878'}], 'docid': 162736, 'format': 'text'}]",2022-04-12 01:22:14,archive,,41224,2022-04-12 01:22:14,show,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'honourific': None, 'lineage': None, 'family': 'Abidin'}}]",,,,,Estimasi Permintaan,,,,,,,,,,,,,,,,,,,
8,2022-04-12 01:22:17,public,unpub,7,['FP1'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,disk0/00/04/12/25,merupakan review jurnal leh rekan sejawat,http://repository.lppm.unila.ac.id/id/eprint/41225,2017-12-01 00:00:00.000000000,['S1'],other,,Review JIIA Vol 5 no 4 2017 mulia dkk,933,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'revisi review JIIA Vol 5 no 4  2017 mulia dkk.pdf', 'docid': 162737, 'files': [{'mime_type': 'application/pdf', 'hash': '003dccc26a702687dd95508f5da8798f', 'fileid': 457328, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457328', 'filename': 'revisi review JIIA Vol 5 no 4  2017 mulia dkk.pdf', 'filesize': 390139, 'objectid': 162737, 'mtime': '2022-04-11 16:51:39', 'hash_type': 'MD5'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162737', 'pos': 1, 'eprintid': 41225, 'placement': 1}]",2022-04-12 01:22:17,archive,,41225,2022-04-12 01:22:17,show,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'family': 'Abidin', 'lineage': None, 'honourific': None, 'given': 'Zainal'}}]",,,,,,,,,,,,,,,,,,,,,,,,
9,2022-06-06 01:26:32,public,unpub,7,['FP1'],PERHEPI,disk0/00/04/20/85,"DOkumen adalah hasil similarities test artikel zainal abidin dkk pada semiinar international perhepi di Bal, AGustus 2017",http://repository.lppm.unila.ac.id/id/eprint/42085,2017-08-26 00:00:00.000000000,['S1'],other,,Similarity test prosiding seminar international PERHEPI tahun 2017,933,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'similarity test seminar international perhepi bali agustus 2017 zainal dkk.pdf(2) (2).pdf', 'docid': 163779, 'files': [{'mime_type': 'application/pdf', 'hash': '5b92459ed74fefc21bac6010957d4366', 'datasetid': 'document', 'fileid': 463978, 'uri': 'http://repository.lppm.unila.ac.id/id/file/463978', 'filename': 'similarity test seminar international perhepi bali agustus 2017 zainal dkk.pdf(2) (2).pdf', 'objectid': 163779, 'filesize': 953402, 'mtime': '2022-06-03 13:40:50', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163779', 'security': 'public', 'placement': 1, 'eprintid': 42085}]",2022-06-06 01:26:32,archive,,42085,2022-06-06 01:26:32,show,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}}]",submitted,,,,,,,,,,,,,,,,,,,,,,,
