,publisher,divisions,dir,ispublished,rev_number,status_changed,full_text_status,subjects,uri,abstract,title,creators,type,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,userid,date_type,refereed,publication,issn,event_dates,pres_type,event_location,event_type,event_title,official_url,number,pagerange,volume,corp_creators,referencetext,contributors,related_url,id_number,keywords,contact_email,funders,place_of_pub
0,LPPM Universitas Lampung,['FP1'],disk0/00/03/11/87,unpub,7,2021-05-29 00:35:16,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/31187,Review JIIA Vol 4 No 2 tahun 2016,Estimasi Permintaan dan Nilai Ekoni Kawasan Wisata Alam Angke Kapuk Jakarta Utara,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",other,show,archive,31187,2021-05-29 00:35:16,"[{'placement': 1, 'eprintid': 31187, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140928', 'security': 'public', 'docid': 140928, 'main': 'JIIA Vol 4 no  2 2mei 016  vana zainal dan teguh .pdf', 'files': [{'mtime': '2021-05-28 12:24:28', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/369754', 'filename': 'JIIA Vol 4 no  2 2mei 016  vana zainal dan teguh .pdf', 'filesize': 343237, 'objectid': 140928, 'hash': '457d325dc5fdd5121cef455575b1b8da', 'mime_type': 'application/pdf', 'fileid': 369754, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-05-29 00:35:16,933,,,,,,,,,,,,,,,,,,,,,,
1,Politeknik Negeri Lampung,['FP1'],disk0_bak/00/05/00/99,pub,7,2023-04-10 09:19:51,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50099,Similarity test JOFSA tahun 2021 desak zainal ketut,Similarity test JofSA tahun 2021,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Abidin', 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'id': 'ktut.murniati@fp.unila.ac.id', 'name': {'given': 'Ktut', 'honourific': None, 'family': 'Murniati', 'lineage': None}}]",other,show,archive,50099,2023-04-10 09:19:51,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/189800', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50099, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mtime': '2023-04-10 07:50:34', 'hash_type': 'MD5', 'filename': 'similarity test jofa ni desa zainal dan ketut 2021.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541817', 'objectid': 189800, 'filesize': 422055, 'mime_type': 'application/pdf', 'hash': 'be67700630b6be93840ebbcf6ba3a4b8', 'datasetid': 'document', 'fileid': 541817}], 'main': 'similarity test jofa ni desa zainal dan ketut 2021.pdf', 'docid': 189800, 'format': 'text'}]",2023-04-10 09:19:51,933,published,,,,,,,,,,,,,,,,,,,,,
2,Politeknik Negeri Lampung,['FP1'],disk0_bak/00/05/01/02,pub,8,2023-04-10 09:19:57,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50102,Korespondensi letter ndengan editor JoFSA untuk naskah competitivenss turmeric commiodity,Koresponden dengan JoFSA naskah competitivenss turmeric,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Murniati', 'given': 'Ktut'}, 'id': 'ktut.murniati@fp.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Megagita', 'given': 'Gede Putri'}}]",other,show,archive,50102,2023-04-10 09:19:57,"[{'format': 'text', 'files': [{'fileid': 541843, 'datasetid': 'document', 'hash': '18e90a331fafbcdeaf5da66a42b889df', 'mime_type': 'application/pdf', 'filesize': 350795, 'objectid': 189802, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541843', 'filename': 'koresponden letter [JoFSA] Editor Decision - zainal.abidin@fp.unila.ac.id - unila.ac.id Mail.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-10 08:03:34'}], 'main': 'koresponden letter [JoFSA] Editor Decision - zainal.abidin@fp.unila.ac.id - unila.ac.id Mail.pdf', 'docid': 189802, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 50102, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189802', 'pos': 1}]",2023-04-10 09:19:57,933,published,,,,,,,,,,,,,,,,,,,,,
3,,['FP1'],disk0/00/01/22/96,submitted,7,2019-05-09 08:21:10,public,"['H1', 'S1']",http://repository.lppm.unila.ac.id/id/eprint/12296,"Background:The low quality of food consumption is one of them indicated by Desirable Dietary Pattern score (DDP) which is not yet ideal which is found in Tanggamus Regency with a value of DDP of 82.5, especially in some food groups, namely the animal food group, beans group, vegetable, and fruit groups. Some factors that influence food consumption are knowing about nutrition and food availability. Objective:This study aims to obtain an overview of food consumption patterns, especially the pattern of consumption of vegetable household farmers. Method:The study was conducted in Gisting Village, Upper Gisting Subdistrict, Tanggamus District as a vegetable production center. Data collection was carried out in July to October 2018. Food consumption data obtained by recall method of food consumption 1 x 24 hours for 2 consecutive days and recall of vegetable consumption for one week, while multiple linear regression is used to determine the factors that influence vegetable consumption. Resuls: The results of the study concluded that the number of types of vegetables available for consumption ranged from two to six types which were produced alone in the garden or yard with a length of time to be consumed for two to six months; The level of nutritional knowledge of housewives is mostly in the medium category; In general, the food consumption pattern of farmer households is not ideal with a score of 71.46; The most consumed types of food include: rice with frequency very often or every day; freshwater and sea fish and tempeh are the most consumed side dishes with frequency often enough or three to four times a week; cabbage, spinach, kale, cassava leaves, chili, white shallot tomatoes, and bananas are the most consumed types of vegetables and fruits, both in number and frequency. Conclusions: The food consumption pattern of household was not ideal.  The number of types of vegetables available for consumption ranged from two to six types which were produced alone with a length of time to be consumed for two to six months.","Ketersediaan sayuran, pengetahuan gizi dan pola makan pada rumah tangga petani","[{'name': {'given': 'RA', 'honourific': None, 'family': 'Adawiyah', 'lineage': None}, 'id': 'adawiyahrabiatul81@yahoo.co.id'}, {'id': None, 'name': {'given': 'WDS', 'honourific': None, 'family': 'Sayekti', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Indriani', 'given': 'YI'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Yuliandari', 'honourific': None, 'given': 'PY'}}]",article,show,archive,12296,2019-05-09 08:21:10,"[{'eprintid': 12296, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25277', 'pos': 1, 'format': 'text', 'docid': 25277, 'main': 'Artikel jurnal 2019.docx', 'files': [{'fileid': 109689, 'datasetid': 'document', 'hash': '54e240cc05132165c9502c6cc8e54f08', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash_type': 'MD5', 'mtime': '2019-05-09 07:27:00', 'filesize': 66987, 'objectid': 25277, 'filename': 'Artikel jurnal 2019.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/109689'}], 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1}]",2019-05-09 08:21:10,634,submitted,TRUE,Jurnal Gizi Klinik Indonesia,"1693-900X(print), 2502-4140(online)",,,,,,,,,,,,,,,,,,
4,,['FP1'],disk0/00/01/67/56,unpub,7,2019-11-18 04:39:28,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/16756,"PENDAPATAN DAN KETAHANAN PANGAN RUMAH TANGGA 
PETANI PADI SAWAH DI PROPINSI LAMPUNG 
(KAJIAN STRATEGI ADAPTASI PERUBAHAN IKLIM)

Rabiatul Adawiyah
Jurusan Agribisnis Fakultas Pertanian Universitas Lampung 
Telp: 085269027980
Email:rabiatul.adawiyah@fp.unila.ac.id

ABSTRAK

Perubahan iklim beberapa tahun terakhir sedikit banyak berpengaruh terhadap rendahnya produksi padi sawah sehingga menurunkan pendapatan petani. Kondisi tersebut akan berakibat pada rendahnya aksesibilitas petani terhadap pangan dan menurunkan  ketahanan pangan.  Tujuan dari penelitian adalah menganalisis  pendapatan usahatani padi sawah, tingkat ketahanan pangan rumah tangga petani serta faktor-faktor yang mempengaruhinya. Penelitian dengan metode survai dilakukan di Kabupaten Lampung Tengah Propinsi Lampung yang dipilih secara sengaja (purposive) sebagai sentra produksi padi sawah dengan  jumlah responden sebanyak 66 orang yang dipilih secara simple random sampling.  Analisis yang digunakan meliputi deskriptif kualitatif untuk mengetahui pendapatan usahatani, indeks ketahanan pangan dengan empat inkator dan model ordinal logit untuk mengetahui factor-faktor yang mempengaruhi ketahanan pangan.   Pendapatan usahatani padi sawah petani di Propinsi Lampung menguntungkan dengan nilai R/C atas biaya tunai dan biaya diperhitungkan berturut-turut 2,34 dan 2,18 dengan rata-rata pendapatan atas biaya tunai dan biaya total berturut-turut sebesar Rp16.340.043,94 dan Rp11.465.717,40. Indeks ketahanan pangan 90,90% rumah tangga petani padi sawah berada pada kategori tahan pangan;  sebanyak 9,09% kurang tahan pangan dan tidak ada rumah tangga yang tidak tahan pangan.Tingkat pendidikan petani (OR=1,7451) dan strategi adaptasi terhadap perubahan iklim (OR=1,8677) berhubungan positif sedangkan harga beras (OR=9979) berhubungan negative terhadap tingkat ketahanan pangan rumah tangga petani padi sawah. Kesimpulannya bahwa pendapatan usahatani padi sawah rumah tangga petani di Propinsi Lampung menguntungkan dengan tingkat ketahanan pangan sebagian besar pada kategori tahan pangan dimana strategi adaptasi perubahan iklim, tingkat pendidikan dan harga beras berpengaruh terhadap tingkat ketahanan pangan.

Kata Kunci: ketahanan pangan, strategi adaptasi perubahan iklim","PENDAPATAN DAN KETAHANAN PANGAN RUMAH TANGGA 
PETANI PADI SAWAH DI PROPINSI LAMPUNG 
(KAJIAN STRATEGI ADAPTASI PERUBAHAN IKLIM)","[{'name': {'lineage': None, 'family': 'Adawiyah', 'honourific': None, 'given': 'Rabiatul'}, 'id': 'rabiatul.adawiyah@fp.unila.ac.id'}]",conference_item,show,archive,16756,2019-11-18 04:39:28,"[{'files': [{'datasetid': 'document', 'fileid': 142500, 'hash': 'bf247182bfeb190b332e23daea3ac0b4', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'hash_type': 'MD5', 'mtime': '2019-11-17 08:41:54', 'filesize': 4294051, 'objectid': 29834, 'filename': 'PPT Semirata Jambi Rabiatul A Agustus 2019.pptx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/142500'}], 'main': 'PPT Semirata Jambi Rabiatul A Agustus 2019.pptx', 'docid': 29834, 'format': 'slideshow', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'placement': 1, 'eprintid': 16756, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29834', 'pos': 1, 'security': 'public'}]",2019-11-18 04:39:28,634,,FALSE,,,27-29 Agustus 2019,paper,Jambi,conference,Semirata-BKS-PTN Wilayah Barat Tahun 2019,,,,,,,,,,,,,
5,,['FP1'],disk0/00/01/67/59,unpub,7,2019-11-18 04:40:04,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/16759,"PENDAPATAN DAN KETAHANAN PANGAN RUMAH TANGGA 
PETANI PADI SAWAH DI PROPINSI LAMPUNG 
(KAJIAN STRATEGI ADAPTASI PERUBAHAN IKLIM)

Rabiatul Adawiyah
Jurusan Agribisnis Fakultas Pertanian Universitas Lampung 
Telp: 085269027980
Email:rabiatul.adawiyah@fp.unila.ac.id

ABSTRAK

Perubahan iklim beberapa tahun terakhir sedikit banyak berpengaruh terhadap rendahnya produksi padi sawah sehingga menurunkan pendapatan petani. Kondisi tersebut akan berakibat pada rendahnya aksesibilitas petani terhadap pangan dan menurunkan  ketahanan pangan.  Tujuan dari penelitian adalah menganalisis  pendapatan usahatani padi sawah, tingkat ketahanan pangan rumah tangga petani serta faktor-faktor yang mempengaruhinya. Penelitian dengan metode survai dilakukan di Kabupaten Lampung Tengah Propinsi Lampung yang dipilih secara sengaja (purposive) sebagai sentra produksi padi sawah dengan  jumlah responden sebanyak 66 orang yang dipilih secara simple random sampling.  Analisis yang digunakan meliputi deskriptif kualitatif untuk mengetahui pendapatan usahatani, indeks ketahanan pangan dengan empat inkator dan model ordinal logit untuk mengetahui factor-faktor yang mempengaruhi ketahanan pangan.   Pendapatan usahatani padi sawah petani di Propinsi Lampung menguntungkan dengan nilai R/C atas biaya tunai dan biaya diperhitungkan berturut-turut 2,34 dan 2,18 dengan rata-rata pendapatan atas biaya tunai dan biaya total berturut-turut sebesar Rp16.340.043,94 dan Rp11.465.717,40. Indeks ketahanan pangan 90,90% rumah tangga petani padi sawah berada pada kategori tahan pangan;  sebanyak 9,09% kurang tahan pangan dan tidak ada rumah tangga yang tidak tahan pangan.Tingkat pendidikan petani (OR=1,7451) dan strategi adaptasi terhadap perubahan iklim (OR=1,8677) berhubungan positif sedangkan harga beras (OR=9979) berhubungan negative terhadap tingkat ketahanan pangan rumah tangga petani padi sawah. Kesimpulannya bahwa pendapatan usahatani padi sawah rumah tangga petani di Propinsi Lampung menguntungkan dengan tingkat ketahanan pangan sebagian besar pada kategori tahan pangan dimana strategi adaptasi perubahan iklim, tingkat pendidikan dan harga beras berpengaruh terhadap tingkat ketahanan pangan.

Kata Kunci: ketahanan pangan, strategi adaptasi perubahan iklim","PENDAPATAN DAN KETAHANAN PANGAN RUMAH TANGGA 
PETANI PADI SAWAH DI PROPINSI LAMPUNG 
(KAJIAN STRATEGI ADAPTASI PERUBAHAN IKLIM)","[{'name': {'given': 'Rabiatul', 'lineage': None, 'family': 'Adawiyah', 'honourific': None}, 'id': 'rabiatu.adawiyah@fp.unila.ac.id'}]",conference_item,show,archive,16759,2019-11-18 04:40:04,"[{'placement': 1, 'eprintid': 16759, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29837', 'security': 'public', 'main': 'PPT Semirata Jambi Rabiatul A Agustus 2019.pptx', 'docid': 29837, 'files': [{'hash': 'bf247182bfeb190b332e23daea3ac0b4', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'fileid': 142516, 'datasetid': 'document', 'mtime': '2019-11-17 09:16:01', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/142516', 'filename': 'PPT Semirata Jambi Rabiatul A Agustus 2019.pptx', 'objectid': 29837, 'filesize': 4294051}], 'format': 'slideshow', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation'}]",2019-11-18 04:40:04,634,,TRUE,,,27-29 Agustus 2019,paper,Jambi,conference,Semirata BKS-PTN Wilayah Barat Tahun 2019,,,,,,,,,,,,,
6,,['FP1'],disk0/00/01/70/96,unpub,9,2019-11-19 05:17:06,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/17096,"Berbagai kajian ilmiah menunjukkan bahwa untuk dapat hidup sehat dan produktif, manusia memerlukan sekitar 45 jenis zat gizi yang harus diperoleh dari makanan yang dikonsumsi, dalam jumlah cukup, tidak berlebihan dan tidak juga kekurangan. Dengan mengonsumsi makanan sehari-hari yang beranekaragam, kekurangan zat gizi pada jenis makanan yang satu akan dilengkapi oleh keunggulan susunan zat gizi jenis makanan lain, sehingga diperoleh masukan zat gizi yang seimbang. Oleh karenanya pola konsumsi pangan merupakan perilaku paling penting yang dapat mempengaruhi keadaan gizi seseorang. Untuk itu, upaya penganekaragaman pangan menjadi sangat penting",Penyusunan Menu B2SA dan Analisis Biaya Sederhana,"[{'id': 'rabiatul.adawiyah@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Adawiyah', 'lineage': None, 'given': 'Rabiatul'}}]",conference_item,show,archive,17096,2019-11-19 05:17:06,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'MATERI B2SA_ Bimtek Lamtim-2019.pdf', 'docid': 30192, 'files': [{'mime_type': 'application/pdf', 'hash': 'c9d030f08addb8f164304e1d189a12be', 'datasetid': 'document', 'fileid': 145097, 'uri': 'http://repository.lppm.unila.ac.id/id/file/145097', 'filename': 'MATERI B2SA_ Bimtek Lamtim-2019.pdf', 'objectid': 30192, 'filesize': 1476322, 'mtime': '2019-11-18 14:58:31', 'hash_type': 'MD5'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30192', 'pos': 1, 'eprintid': 17096, 'placement': 1}]",2019-11-19 05:17:06,634,,FALSE,,,21 Agustus 2019,speech,Lampung Timur,other,Technical Meeting Festival Pangan Lokal,,,,,,,,,,,,,
7,,['FP1'],disk0/00/02/10/48,pub,6,2020-05-29 10:17:19,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/21048,"Penelitian ini bertujuan untuk mengetahui karakteristik, pola pembelian, tingkat kepuasan dan loyalitas konsumen terhadap pembelian donat pada J.CO Donuts and Coffee di Kota Bandar Lampung. Penelitian ini menggunakan metode survei di dua gerai J.CO Donuts and Coffee yaitu di Mall Boemi Kedaton dan Chandra Super Store. Pengumpulan data dilaksanakan pada bulan Mei hingga bulan Juni 2019 yang melibatkan 53 konsumen yang dipilih secara acak. Alat analisis yang digunakan adalah Customer Satisfaction Index (CSI), Importance Performance Analysis (IPA) dan piramida loyalitas. Hasil penelitian menunjukkan bahwa karakteristik konsumen yaitu mayoritas (66,03%) adalah perempuan yang berada pada kelompok usia 18-26 tahun. Tingkat pendapatan konsumen yang tertinggi yaitu sebesar Rp15.000.000,00 per bulan dan yang terendah yaitu Rp400.000,00 per bulan dan pendapatan rata-rata sebesar Rp2.026.037,74 per bulan. Mayoritas konsumen (56,60%) memiliki tingkat pendidikan terakhir setara SMA. Sebagian besar konsumen merupakan mahasiswa (50,94%). Nilai CSI diperoleh sebesar 78,15 persen atau berada pada tingkat puas. Berdasarkan analisis tingkat kepentingan dan kinerja, kuadran yang paling dominan adalah kuadran II (pertahankan prestasi) yang memuat atribut rasa, varian rasa, tekstur dan kemudahan memperoleh. Paket donat yang paling banyak dibeli (49,00%) adalah paket 12 donat, dengan varian rasa yang paling banyak diminati adalah coco loco (37,73%). Mayoritas frekuensi pembelian oleh konsumen sebanyak sekali dalam sebulan (73,58%). Mayoritas konsumen J.CO Donuts and Coffee termasuk ke dalam kategori committed buyer.  
Kata kunci : konsumen, donat, loyalitas, kepuasan",KEPUASAN DAN POLA PEMBELIAN DONAT PADA  J.CO DONUTS AND COFFEE DI KOTA BANDAR LAMPUNG,"[{'id': None, 'name': {'honourific': None, 'family': 'Adawiyah', 'lineage': None, 'given': 'Rabiatul'}}, {'id': 'dwih_unila@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Haryono', 'given': 'Dwi'}}, {'name': {'given': 'Dwina', 'honourific': None, 'lineage': None, 'family': 'chairunnisa'}, 'id': None}]",article,show,archive,21048,2020-05-29 10:17:19,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/34425', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 21048, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'f713e6b8ea8090aaaba3662ff6e8e4c6', 'fileid': 196358, 'datasetid': 'document', 'mtime': '2020-05-29 08:27:03', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/196358', 'filename': 'DWINA CHAIRUNNISA_KEPUASAN DAN POLA PEMBELIAN DONAT PADA J.CO DONUTS AND COFFEE DI KOTA BANDAR LAMPUNG (1).pdf', 'objectid': 34425, 'filesize': 400103}], 'main': 'DWINA CHAIRUNNISA_KEPUASAN DAN POLA PEMBELIAN DONAT PADA J.CO DONUTS AND COFFEE DI KOTA BANDAR LAMPUNG (1).pdf', 'docid': 34425, 'format': 'text'}]",2020-05-29 10:17:19,634,published,TRUE,"Seminar Nasional Ilmu Lingkungan (SNaIL), 28 Nov 2019",,,,,,,http://snail.pasca.unila.ac.id,,,,,,,,,,,,
8,,['FP1'],disk0/00/01/67/55,unpub,8,2019-11-18 04:38:52,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/16755,"Pendapatan dan Ketahanan Pangan Rumah Tangga 
Petani Padi Organik
di Kabupaten Pringsewu Provinsi Lampung
(Income and Food Security Of  Family Of Paddy Organic Farmer 
 In District Pringsewu , Lampung Province) 

Oleh
Rabiatul Adawiyah, Ktut Murniati, Ani Suryani
Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung
Email: rabiatul.adawiyah@fp.unila.ac.id


ABSTRAK


Penelitian ini bertujuan untuk  menganalisis pendapatan usahatani padi organik yang meliputi produktivitas, ratio penerimaan dan biaya usahatani padi organik di Kecamatan Pagelaran Kabupaten Pringsewu dan mengukur ketahanan pangan rumah tangga padi organik. Penelitian ini dilakukan menggunakan metode survei melalui pendekatan kuantitatif dan kualitatif. Jumlah sampel penelitian sebanyak 35 rumah tangga petani padi organik. Analisis data yang  digunakan meliputi revenue cost ratio (R/Cratio), dan fungsi produksi stokastik frontier untuk menjawab tujuan 1, analisis deskriptif kualitatif dan kuantitatif untuk menjawab tujuan 1 dan 2. Berdasarkan kajian yang telah dilakukan ditemukan bahwa:1) usahatani padi organik di Kecamatan Pagelaran Kabupaten Pringsewu cukup menguntungkan dengan  nilai R/C rasio atas biaya tunai dan total sebesar 2,35 dan 1,44 ; 2) Tingkat ketahanan pangan rumah tangga petani padi organik sebagian besar berada pada kondisi kurang tahan pangan yang digambarkan dengan kondisi persediaan pangan yang kurang cukup dan aksesibiltas pangan yang langsung dan kurang kontinyu.  

Kata kunci: pendapatan, ketahanan pangan, padi organic",Pendapatan dan Ketahanan Pangan Rumah tangga Petani Padi Organik di Kabupaten Pringsewu Propinsi Lampung,"[{'id': 'rabiatul.adawiyah@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Adawiyah', 'lineage': None, 'given': 'Rabiatul'}}, {'name': {'given': 'Ktut', 'honourific': None, 'lineage': None, 'family': 'Murniati'}, 'id': 'ktut.murniati@fp.unila.ac.id'}, {'name': {'family': 'Suryani', 'lineage': None, 'honourific': None, 'given': 'Ani'}, 'id': 'suryania39@yahoo.co.id'}]",conference_item,show,archive,16755,2019-11-18 04:38:52,"[{'main': 'PPT Semnas Polinela-Rabiatul.pptx', 'docid': 29833, 'files': [{'mtime': '2019-11-17 08:16:52', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/142492', 'filename': 'PPT Semnas Polinela-Rabiatul.pptx', 'objectid': 29833, 'filesize': 2717816, 'hash': '490cf36f0718fd5028eae36ef986a0f8', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'datasetid': 'document', 'fileid': 142492}], 'format': 'slideshow', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'placement': 1, 'eprintid': 16755, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29833', 'security': 'public'}]",2019-11-18 04:38:52,634,,FALSE,,,7-8 November 2019,speech,Bandar lampung,conference,"Seminar nasional Pengembangan Teknologi Pertanian VIII, 7-8 November 2019",,,,,,,,,,,,,
9,"Prodi S2 Ilmu Kesehatan Masyarakat, Fakultas Kedokteran, Kesehatan Masyarakat, dan Keperawatan Universitas Gadjah Mada bekerjasama dengan Persatuan Ahli Gizi Indonesia (PERSAGI) dan Asosiasi Dietisien Indonesia (AsDI)",['FP1'],disk0/00/02/28/07,pub,10,2020-06-26 13:35:24,public,"['AC', 'H1', 'HT', 'Q1', 'S1']",http://repository.lppm.unila.ac.id/id/eprint/22807,"Background:
The low quality of food consumption is one of them indicated by Desirable Dietary Pattern score (DDP) which is not yet ideal which is found in Tanggamus Regency with a value of DDP of 82.5, especially in some food groups, namely the animal food group, beans group, vegetable, and fruit groups. Some factors that influence food consumption are knowing about nutrition and food availability. Objective:This study aims to obtain an overview of food consumption patterns, especially the pattern of consumption of vegetable household farmers. Method:The study was conducted in Gisting Village, Upper Gisting Subdistrict, Tanggamus District as a vegetable production center. Data collection was carried out in July to October 2018. Food consumption data obtained by recall method of food consumption 1 x 24 hours for 2 consecutive days and recall of vegetable consumption for one week, while multiple linear regression is used to determine the factors that influence vegetable consumption. Resuls: The results of the study concluded that the number of types of vegetables available for consumption ranged from two to six types which were produced alone in the garden or yard with a length of time to be consumed for two to six months; The level of nutritional knowledge of housewives is mostly in the medium category; In general, the food consumption pattern of farmer households is not ideal with a score of 71.46; The most consumed types of food include: rice with frequency very often or every day; freshwater and sea fish and tempeh are the most consumed side dishes with frequency often enough or three to four times a week; cabbage, spinach, kale, cassava leaves, chili, white shallot tomatoes, and bananas are the most consumed types of vegetables and fruits, both in number and frequency. Conclusions: The food consumption pattern of household was not ideal. The number of types of vegetables available for consumption ranged from two to six types which were produced alone with a length of time to be consumed for two to six months.","Ketersediaan sayuran, pengetahuan gizi dan pola makan pada rumah tangga petani.","[{'id': None, 'name': {'given': 'Rabiatul', 'lineage': None, 'family': 'Adawiyah', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Sayekti', 'lineage': None, 'given': 'Wuryaningsih Dwi'}, 'id': 'sayekti_wur@yahoo.co.id'}, {'name': {'family': 'Indriani', 'lineage': None, 'honourific': None, 'given': 'Yaktiworo'}, 'id': 'yakti_indriani@yahoo.com'}, {'id': None, 'name': {'given': 'Yuliandari', 'honourific': None, 'family': 'Puspita', 'lineage': None}}]",article,show,archive,22807,2020-06-26 13:35:24,"[{'format': 'text', 'docid': 36313, 'main': 'Artikel jurnal 2019.docx', 'files': [{'objectid': 36313, 'filesize': 66987, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209289', 'filename': 'Artikel jurnal 2019.docx', 'hash_type': 'MD5', 'mtime': '2020-06-26 07:28:30', 'fileid': 209289, 'datasetid': 'document', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '54e240cc05132165c9502c6cc8e54f08'}], 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'eprintid': 22807, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36313', 'pos': 1}]",2020-06-26 13:35:24,942,submitted,TRUE,Jurnal Gizi Klinik Indonesia,"1693-900X(print), 2502-4140(online)",,,,,,,,,,,,,,,,,,
