,date_type,event_title,subjects,abstract,date,uri,dir,divisions,event_type,full_text_status,status_changed,rev_number,ispublished,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,official_url,lastmod,documents,creators,pres_type,type,title,refereed,event_dates,event_location,number,id_number,issn,publisher,publication,volume,contact_email,place_of_pub,contributors,related_url,corp_creators,pages,isbn,book_title,note
0,published,Seminar Nasional Pengabdian Kepada Masyarakat Universitas Lampung Tahun 2015,['S1'],"Posyandu Nusa Indah di Dusun II Mekarsari dan Posyandu Dahlia di Dusun III Candiwulan adalah dua Posyandu yang kegiatannya berjalan aktif di Desa Karanganyar Kecamatan Gedong Tataan Kabupaten Pesawaran. Tujuan kegiatan
pengabdian pemberdayaan kader Posyandu adalah : 1) Meningkatkan pemahaman kader terhadap antisipasi gagal tumbuh pada anak usia balita dengan penerapan konsep 2BS-AH (Beragam, Bergizi, Seimbang, Aman dan Halal), 2) Meningkatkan pemahaman kader terhadap kebutuhan gizi balita dan ibu hamil, 3)Meningkatkan tingkat kepatuhan ibu hamil untuk mengkonsumsi tablet Fe, 4)Meningkatkan  pengetahuan dan keterampilan kader  dalam pembuatan MP-ASI berbasis bahan pangan lokal, 5) Meningkatkan pengetahuan dan keterampilan kader dalam pembuatan biskuit berprotein tinggi 6)Meningkatkan pengetahuan dan keterampilan kader dalam pembuatan minuman fungsional berprotein tinggi, dan 7)Menambah tersedianya sarana dan prasarana dalam penyelenggaraan Posyandu. Hasil kegiatan pemberdayaan kader
posyandu menunjukkan rata-rata pengetahuan awal kader posyandu terhadap berbagai aspek yang disuluhkan sebesar 38,33%; rata-rata pengetahuan akhir kader posyandu terhadap berbagai aspek yang disuluhkan dan dilatihkan sebesar
97,67%; sehingga peningkatan hasil evaluasi akhir sebesar 59,34% (tergolong pada kategori sedang). Bantuan peralatan yang diberikan mampu menunjang kelancaran penyelenggaraan kegiatan posyandu Nusa Indah dan Dahlia.

Kata kunci: posyandu, kader posyandu, pemberdayaan",2015-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3876,disk0/00/00/38/76,['FP19'],conference,public,2017-08-30 03:23:59,7,pub,2017-08-30 03:23:59,archive,3876,show,561-573,625,http://lemlit@unila.ac.id,2017-08-30 03:23:59,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/3736', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3876, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'filename': 'Hal 561-573_3.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/27134', 'filesize': 80095, 'objectid': 3736, 'mtime': '2017-08-26 07:40:50', 'hash_type': 'MD5', 'hash': 'b90a49a8a68087278dab70aa27297b64', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 27134}], 'main': 'Hal 561-573_3.pdf', 'docid': 3736, 'format': 'text'}]","[{'name': {'given': 'Sussi', 'family': 'Astuti', 'lineage': None, 'honourific': None}, 'id': 'sussi.astuti@fp.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Adawiyah', 'given': 'Rabiatul'}}]",paper,conference_item,Pemberdayaan Kader Posyandu Desa Karanganyar Kecamatan Gedong Tataan Kabupaten Pesawaran,TRUE,4 November 2015,"Emersia Hotel, Bandar Lampung",,,,,,,,,,,,,,,
1,published,,['S1'],"The objective of this research was to study the effect formulation between sucrose and glucose syrup on chemical and sensory properties of soymilk candy. The research was
a single factor, arranged in a Complete Randomized Design with six replications. The factor was the formulation of sucrose and glucose syrup consisted of six levels, i.e. 100:0 (F1); 90:10 (F2); 80:20 (F3); 70:30 (F4); 60:40 (F5) and 50 : 50 (F6). The data were analyzed by using ANOVA and were tested with LSD test at 5% level of significant. The
results showed that the ratio of sucrose and glucose syrup significantly affected the chemical properties (moisture content, ash content and reducing sugar content) and sensory
(color, odor, taste, texture, and overall acceptance) of soymilk candy.  The best formulation was found on soymilk candy produced from 60% sucrose and 40% glucose syrup (F5) with the color score of 2,49 (yellow-brown), odor score of 2,34 (rather specific soymilk), taste score of 3,12 (rather sweet), texture score of 3,24 (rather soft), and the overall acceptance score at 3,05 (like). The best soymilk candy has moisture content of 8,21%, ash content of
1,38% and reducing sugar content of 8,18%. 

Keywords : sucrose, glucose syrup, soymilk candy",2015-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3813,disk0/00/00/38/13,['FP19'],,public,2017-08-14 06:37:20,6,pub,2017-08-14 06:37:20,archive,3813,show,25-37,625,http://jurnal.fp.unila.ac.id/index.php/JTHP/article/view/1402/1288,2017-08-14 06:37:20,"[{'placement': 1, 'eprintid': 3813, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3674', 'security': 'public', 'files': [{'datasetid': 'document', 'fileid': 26707, 'mime_type': 'application/pdf', 'hash': '0c12d72c6fea4edfad04e9d8ac9951b4', 'hash_type': 'MD5', 'mtime': '2017-08-09 09:02:47', 'filesize': 297758, 'objectid': 3674, 'uri': 'http://repository.lppm.unila.ac.id/id/file/26707', 'filename': 'Formulasi Sukrosa dan Sirup Glukosa -Permen Susu Kedelai.pdf'}], 'main': 'Formulasi Sukrosa dan Sirup Glukosa -Permen Susu Kedelai.pdf', 'docid': 3674, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]","[{'name': {'given': 'Sussi', 'honourific': None, 'lineage': None, 'family': 'Astuti'}, 'id': 'sussi.astuti@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Zulferiyenni', 'family': 'Zulferiyenni', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Ni Nyoman', 'family': 'Yuningsih', 'lineage': None, 'honourific': None}, 'id': None}]",,article,"PENGARUH FORMULASI SUKROSA DAN SIRUP GLUKOSA TERHADAP 
SIFAT KIMIA DAN SENSORI PERMEN SUSU KEDELAI",TRUE,,,1.0,SSN 1410-3044 (Print) and ISSN 2302-4399 (Online),ISSN 1410-3044 (Print) and ISSN 2302-4399 (Online),Jurusan Teknologi Hasil Pertanian Unila,Jurnal Teknologi & Industri Hasil Pertanian,20.0,,,,,,,,,
2,,,['TD'],"The purpose of this study was to evaluate the current condition of palm oil mill effluent (POME) treatment and utilization and to propose alternative scenarios to improve the sustainability of palm oil industries. The research was conducted through field survey at some palm oil mills in Indonesia, in which different waste management systems were used. Laboratory experiment was also carried out using a 5 m3 pilot-scale wet anaerobic digester. Currently, POME is treated through anaerobic digestion without or with methane capture followed by utilization of treated POME as liquid fertilizer or further treatment (aerobic process) to fulfill the wastewater quality standard. A methane capturing system was estimated to successfully produce renewable energy of about 25.4–40.7 kWh/ton of fresh fruit bunches (FFBs) and reduce greenhouse gas (GHG) emissions by about 109.41–175.35 kgCO2e/tonFFB (CO2e: carbon dioxide equivalent). Utilization of treated POME as liquid fertilizer increased FFB production by about 13%. A palm oil mill with 45 ton FFB/hour capacity has potential to generate about 0.95–1.52 MW of electricity. Coupling the POME-based biogas digester and anaerobic co-composting of empty fruit bunches (EFBs) is capable of adding another 0.93 MW. The utilization of POME and EFB not only increases the added value of POME and EFB by producing renewable energy, compost, and liquid fertilizer, but also lowers environmental burden.",2015-10-07 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3561,disk0/00/00/35/61,['FP19'],,public,2017-06-12 01:43:31,7,pub,2017-06-12 01:43:31,archive,3561,show,1089-1095,486,,2017-06-12 01:43:31,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 3428, 'main': 'Water Science and Tecnology Vol_72 No_7 October_2015 p_1089-1095.pdf', 'files': [{'hash': '9fa8f5695130733c34b4f60c8242df73', 'mime_type': 'application/pdf', 'fileid': 24720, 'datasetid': 'document', 'mtime': '2017-06-11 00:36:50', 'hash_type': 'MD5', 'filename': 'Water Science and Tecnology Vol_72 No_7 October_2015 p_1089-1095.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/24720', 'filesize': 278017, 'objectid': 3428}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3428', 'pos': 1, 'eprintid': 3561, 'placement': 1}]","[{'name': {'lineage': None, 'family': 'Hasanudin', 'honourific': None, 'given': 'U'}}, {'name': {'given': 'R', 'honourific': None, 'family': 'Sugiharto', 'lineage': None}}, {'name': {'given': 'A', 'family': 'Haryanto', 'lineage': None, 'honourific': None}}, {'name': {'given': 'T', 'honourific': None, 'family': 'Setiadi', 'lineage': None}}, {'name': {'given': 'K', 'honourific': None, 'family': 'Fujie', 'lineage': None}}]",,article,Palm Oil Mill Effluent Treatment and Utilization to Ensure the Sustainability of Palm Oil Industries,TRUE,,,7.0,,,IWA Publishing,Water Science and Technology,72.0,udinha65@gmail.com,,,,,,,,
3,,,['S1'],"Laporan penelitian Hibah penelitian oleh dikti dengan dana 67,5 juta",1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/33715,disk0/00/03/37/15,['FP19'],,public,2021-08-29 07:54:50,7,unpub,2021-08-29 07:54:50,archive,33715,show,,1027,https://simlitabmas.ristekbrin.go.id/main.aspx?page=23,2021-08-29 07:54:50,"[{'eprintid': 33715, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153939', 'format': 'text', 'main': 'laporan_akhir (4) 2015 CPO parit.pdf', 'files': [{'filename': 'laporan_akhir (4) 2015 CPO parit.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/399404', 'filesize': 452043, 'objectid': 153939, 'mtime': '2021-08-29 05:52:20', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '9f225b6281821a5f38e8f44dff2db5a8', 'fileid': 399404, 'datasetid': 'document'}], 'docid': 153939, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]","[{'id': 'srihidayati.unila@gmail.com', 'name': {'given': 'Sri', 'family': 'Hidayati', 'lineage': None, 'honourific': None}}]",,experiment,Laporan penelitian :Optimasi Produksi Surfaktan Dari Cpo Parit Dan Minyak Jelantah Dari Sawitdan Uji Efektifitasnya Terhadap Pendesakan Minyak Bumi (Tahun III),,,,,,,,,,,,,,,,,,
4,,,['S1'],Menjadi penyaji pada seminar Asosiasi Profesi Agroindustri tahun 2015 yang diselenggarakan oleh Universitas Trunojoyo di Surabaya,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/33573,disk0/00/03/35/73,['FP19'],,public,2021-08-23 12:31:37,7,unpub,2021-08-23 12:31:37,archive,33573,show,,1027,http://tip.trunojoyo.ac.id/semnas/wp-content/uploads,2021-08-23 12:31:37,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/153696', 'pos': 1, 'eprintid': 33573, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'sertifikat seminar APTA 2015.pdf', 'docid': 153696, 'files': [{'mime_type': 'application/pdf', 'hash': '50cd3f603f4ca8b47e2fa4a264b06a05', 'fileid': 398037, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/398037', 'filename': 'sertifikat seminar APTA 2015.pdf', 'filesize': 694033, 'objectid': 153696, 'mtime': '2021-08-23 09:48:19', 'hash_type': 'MD5'}]}]","[{'name': {'family': 'Hidayati', 'lineage': None, 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",,other,Sertifikat seminar APTA 2015 dengan judul makalah: Pengaruh suhu dan lama pemanasan terhadap metil ester sulfonat dari swit,,,,,0,,TIP Trunojoyo,,,,Surabaya,,,,,,,
5,,,['S1'],Penelitian tahun ke 2 hibah fundamental oleh ristek dikti dengan biaya 40 juta,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/33581,disk0/00/03/35/81,['FP19'],,public,2021-08-23 12:32:20,7,unpub,2021-08-23 12:32:20,archive,33581,show,,1027,https://simlitabmas.ristekbrin.go.id/main.aspx?page=23,2021-08-23 12:32:20,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/153702', 'pos': 1, 'eprintid': 33581, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 153702, 'main': 'laporan_akhir (4) 2015 CPO parit.pdf', 'files': [{'datasetid': 'document', 'fileid': 398088, 'hash': '9f225b6281821a5f38e8f44dff2db5a8', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-08-23 10:05:10', 'filesize': 452043, 'objectid': 153702, 'filename': 'laporan_akhir (4) 2015 CPO parit.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/398088'}]}]","[{'name': {'family': 'Hidayati', 'lineage': None, 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",,other,laporan peneitian tahun ke 2: Optimasi Produksi Surfaktan Dari Cpo Parit Dan Minyak Jelantah Dari Sawitdan Uji Efektifitasnya Terhadap Pendesakan Minyak Bumi (Tahun II),,,,,0,,Ristekdikti,,,,Jakarta,,,,,,,
6,published,,['S1'],"Penelitian ini bertujuan menentukan dosis penambahan aluminium sulfat yang tepat dalam pemanenan Penelitian ini dilakukan dengan pemanenan mikroalga Nannochloropsis sp. yang ditumbuhkan dalam medium limbah cair karet remah (75% v/v) dalam reaktor terbuka dengan volume 5L selama 8 hari. Metode flokulasi yang dilakukan menggunakan alumunium sulfat Al2(SO4)3 dengan dosis 50, 100, 150, 200, 250, dan 300 mg/L serta 200 mg/L NaOH sebagai pembanding (kontrol). Hasil penelitian menunjukkan bahwa mikroalga Nannochloropsis sp. yang ditumbuhkan dalam limbah cair karet remah dan dipanen menggunakan flokulan aluminium sulfat Al2(SO4)3 dosis 150 mg/L dengan kepadatan sel 4055 x 104 sel/mL memiliki efisiensi flokulasi tertinggi yaitu sebesar 94,55%, biomassa kering 0,7060 g/L, dan kandungan minyak 23,24%.",2015-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1627,disk0/00/00/16/27,['FP19'],,public,2017-05-24 06:45:20,8,pub,2017-05-24 06:45:14,archive,1627,show,97-108,1027,http://jurnal.fp.unila.ac.id/index.php/JTHP,2017-05-24 06:45:20,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/1491', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1627, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Mikroalgae, sri hidayati.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-05-19 07:05:57', 'filesize': 322746, 'objectid': 1491, 'uri': 'http://repository.lppm.unila.ac.id/id/file/11265', 'filename': 'Mikroalgae, sri hidayati.pdf', 'datasetid': 'document', 'fileid': 11265, 'mime_type': 'application/pdf', 'hash': '33e9c23eab0f3cacf2d4fd846a6d57a9'}], 'docid': 1491, 'format': 'text'}]","[{'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Hidayati'}, 'id': 'srihidayati.unila@gmail.com'}, {'name': {'given': 'otik', 'lineage': None, 'family': 'Nawansih', 'honourific': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Vebiana', 'given': 'Via'}}]",,article,TEKNIK PEMANENAN MIKROALGA NANNOCHLOROPSIS sp. YANG DIKULTIVASI DALAM MEDIA LIMBAH CAIR KARET REMAH DENGAN FLOKULAN ALUMINIUM SULFAT,TRUE,,,2.0,ISSN 1410-3044 (print) and ISSN 2304-4399 (online),ISSN 1410-3044 (print) and ISSN 2304-4399 (online),Jurusan Teknologi Hasil Pertanian Unila,Jurnal Teknologi Industri & Hasil Pertanian,20.0,,,,,,,,,
7,published,SEMINAR AGROINDUSTRI DAN LOKAKARYA NASIONAL Forum Komunikasi Pendidikan Tinggi – Teknologi Pertanian Indonesia,['S1'],"Metyl Ester Sulfonat merupakan surfaktan anionik yang dapat diproduksi dari metil ester
kelapa sawit dan dapat berfungsi sebagai penurun tegangan antarmuka sehingga dapat
dimanfaatkan sebagai surfactant flooding dalam EOR. Suhu yang tinggi dapat
mempengaruhi penggunaan surfaktan sebagai surfactant flooding. Tujuan penelitian
adalah mengetahui pengaruh suhu dan lama pemanasan terhadap sifat kimia dan kinerja
MES dalam menurunkan tegangan permukaan dan tegangan antar muka. Suhu yang
digunakan adalah 100 dan 150oC dan lama pemanasan (8, 48, dan 72 jam). Hasil
penelitian menunjukkan bahwa peningkatan suhu dan lama pemanasan dapat menurunkan
bilangan asam dan stabilitas emulsi tetapi dapat meningkatkan nilai tegangan permukaan
dan tegangan antarmuka.
Kata Kunci: Metil Ester Sulfonat, Suhu, Lama Pemanasan",2015-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1693,disk0/00/00/16/93,['FP19'],conference,public,2017-05-26 07:37:50,8,pub,2017-05-26 07:37:50,archive,1693,show,45-51,1027,,2017-05-26 07:37:50,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/1557', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1693, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'PROSIDING SEMNAS FKPTTPI 2015-1.pdf', 'docid': 1557, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/11656', 'filename': 'PROSIDING SEMNAS FKPTTPI 2015-1.pdf', 'filesize': 43063573, 'objectid': 1557, 'mtime': '2017-05-26 06:39:32', 'hash_type': 'MD5', 'hash': '5016e76dabf8e5570d9c9de743a9b9c0', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 11656}], 'format': 'text'}]","[{'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Hidayati'}, 'id': 'srihidayati.unila@gmail.com'}, {'id': '.', 'name': {'family': 'Permadi', 'lineage': None, 'honourific': None, 'given': 'Pudji'}}]",paper,conference_item,Pengaruh Suhu dan Lama Pemanasan Terhadap Metil Ester Sulfonat dari Sawit,TRUE,2 – 3 september 2015,Surabaya,,,,,,,,,,,,,,,
8,published,,['S1'],"Metyl Ester Sulfonat merupakan surfaktan anionik yang dapat diproduksi dari metil ester kelapa sawit dan dapat berfungsi sebagai penurun tegangan antarmuka sehingga dapat dimanfaatkan sebagai surfactant flooding dalam EOR. Suhu yang tinggi dapat mempengaruhi penggunaan surfaktan sebagai surfactant flooding. Tujuan penelitian adalah mengetahui pengaruh suhu dan lama pemanasan terhadap sifat kimia dan kinerja MES dalam menurunkan tegangan permukaan dan tegangan antar muka. Suhu yang digunakan adalah 100 dan 150oC dan lama pemanasan (8, 48, dan 72 jam). Hasil penelitian menunjukkan bahwa peningkatan suhu dan lama pemanasan dapat menurunkan bilangan asam dan stabilitas emulsi tetapi dapat meningkatkan nilai tegangan permukaan dan tegangan antarmuka. Kata Kunci: Metil Ester Sulfonat, Suhu, Lama Pemanasan",1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/27052,disk0/00/02/70/52,['FP19'],,public,2020-12-08 02:36:32,7,pub,2020-12-08 02:36:32,archive,27052,show,,1027,http://repository.lppm.unila.ac.id/1693/1/PROSIDING%20SEMNAS%20FKPTTPI%202015-1.pdf,2020-12-08 02:36:32,"[{'eprintid': 27052, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41069', 'pos': 1, 'format': 'text', 'files': [{'hash': '487dee94e6a1bb8f8b008a0b28eb6add', 'mime_type': 'application/pdf', 'fileid': 242542, 'datasetid': 'document', 'filename': 'Turnitin 37. Pengaruh Suhu dan Lama Pemanasan Terhadap Metil Ester Sulfonat dari Sawit.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/242542', 'filesize': 1607014, 'objectid': 41069, 'mtime': '2020-12-07 08:29:29', 'hash_type': 'MD5'}], 'main': 'Turnitin 37. Pengaruh Suhu dan Lama Pemanasan Terhadap Metil Ester Sulfonat dari Sawit.pdf', 'docid': 41069, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]","[{'id': 'srihidayati.unila@gmail.com', 'name': {'given': 'Sri', 'lineage': None, 'family': 'Hidayati', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Permadi', 'given': 'Pudji'}, 'id': '.'}]",,other,similarity:Pengaruh Suhu dan Lama Pemanasan Terhadap Metil Ester Sulfonat dari Sawit,,,,,PROSIDING SEMNAS FKPTTPI 2015-1.pdf 3 / 700,,TIP Trunojoyo,,,,SEminar FKPTPI 2015,,,,,,,
9,published,,['S1'],"Sebuah penelitian tentang proses produksi biodegradable film dari nata de cassava dengan perlakuan konsentrasi sorbitol sebagai plastisizer 0% (S0), 3% (S1), 6% (S2), 9% (S3), 12% (S4) dan 15% (S5) menggunakan Rancangan Kelompok Acak Lengkap. Hasil penelitian menunjukkan bahwa konsentrasi terbaik yaitu sorbitol 9%, dengan hasil penampakan visual yaitu berwarna transparan berserabut putih, kuat tarik sebesar 11,76 MPa, persen perpanjangan sebesar 13,28%, kelarutan sebesar 72,08%. Film dapat terdegradasi selama 5 minggu.",2015-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1625,disk0/00/00/16/25,['FP19'],,public,2017-05-24 06:43:41,10,pub,2017-05-24 06:43:29,archive,1625,show,196-204,1027,http://ejournal.undip.ac.id/index.php/reaktor,2017-05-24 06:43:41,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/1489', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1625, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Reaktor Sorbitol, 2015.pdf', 'docid': 1489, 'files': [{'filename': 'Reaktor Sorbitol, 2015.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/11252', 'objectid': 1489, 'filesize': 833473, 'mtime': '2017-05-19 06:39:11', 'hash_type': 'MD5', 'hash': '7e9c30f4ac18ef68fa47bad3ecbc10ea', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 11252}], 'format': 'text'}]","[{'name': {'lineage': None, 'family': 'Hidayati', 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}, {'id': 'sapta@yahoo.com', 'name': {'lineage': None, 'family': 'Zuidar', 'honourific': None, 'given': 'Ahmad Sapta'}}, {'name': {'family': 'Diani', 'lineage': None, 'honourific': None, 'given': 'Astri'}, 'id': None}]",,article,APLIKASI SORBITOL PADA PRODUKSI BIODEGRADABLE FILM DARI NATA DE CASSAVA,TRUE,,,3.0,SK No. 66b / DIKTI / Kep / 2011,0852-0798 e-ISSN. 2407-5973,Departemen teknik Kimia Undip,Reaktor,15.0,,,,,,,,,
