,userid,documents,lastmod,eprintid,eprint_status,datestamp,pagerange,metadata_visibility,type,creators,refereed,title,uri,date,subjects,status_changed,full_text_status,rev_number,ispublished,publication,publisher,divisions,dir,abstract,issn,monograph_type,institution,book_title,event_type,event_title,pres_type,event_dates,event_location,pages,place_of_pub,isbn,number
0,836,"[{'placement': 1, 'eprintid': 28275, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42321', 'security': 'public', 'main': 'Analis Putusan Pengadilan eddy.pdf', 'docid': 42321, 'files': [{'fileid': 251498, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '21eaaab69dfa7d8529617b6d359f58a7', 'hash_type': 'MD5', 'mtime': '2021-03-08 09:37:16', 'filesize': 154988, 'objectid': 42321, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251498', 'filename': 'Analis Putusan Pengadilan eddy.pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-03-09 02:47:25,28275,archive,2021-03-09 02:47:25,323-340,show,article,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",FALSE,Analis Putusan Pengadilan yang Mengembalikan Barang Bukti dalam Tindak Pidana di Bidang Perikanan,http://repository.lppm.unila.ac.id/id/eprint/28275,2013-06-01 00:00:00.000000000,['K1'],2021-03-09 02:47:25,public,6,pub,Juranl Asy-Syariah,Fakultas Syariah dan Hukum UIN Sunan Kalijaga Yogyakarta,['FH1'],disk0/00/02/82/75,,,,,,,,,,,,,,
1,836,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42909', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28816, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 42909, 'main': 'Analis Putusan.pdf', 'files': [{'hash': 'ef223bf4d117b3015f8d9f4376098475', 'mime_type': 'application/pdf', 'fileid': 255651, 'datasetid': 'document', 'filename': 'Analis Putusan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255651', 'objectid': 42909, 'filesize': 618765, 'mtime': '2021-04-01 01:47:11', 'hash_type': 'MD5'}], 'format': 'text'}]",2021-04-01 02:00:37,28816,archive,2021-04-01 02:00:37,,show,article,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",FALSE,Analis Putusan Pengadilan yang Mengembalikan Barang Bukti dalam Tindak Pidana di Bidang Perikanan,http://repository.lppm.unila.ac.id/id/eprint/28816,2013-06-01 00:00:00.000000000,['K1'],2021-04-01 02:00:37,public,6,pub,"Asy-Syariah,",Fakultas Syariah dan Hukum UIN Sunan Kalijaga Yogyakarta,['FH1'],disk0/00/02/88/16,Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,
2,836,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Kajian Terhadap.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '2def4e5e4ddd583678dfcb8ca66ae5c0', 'fileid': 252878, 'datasetid': 'document', 'filename': 'Kajian Terhadap.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/252878', 'objectid': 42517, 'filesize': 464013, 'mtime': '2021-03-18 06:07:59', 'hash_type': 'MD5'}], 'docid': 42517, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42517', 'security': 'public', 'placement': 1, 'eprintid': 28469}]",2021-03-18 07:11:11,28469,archive,2021-03-18 07:11:11,49-68,show,article,"[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",FALSE,Kajian Terhadap Putusan Batal Demi Hukum Tanpa Pemerintah Penahanan,http://repository.lppm.unila.ac.id/id/eprint/28469,2013-03-01 00:00:00.000000000,['K1'],2021-03-18 07:11:11,public,6,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Konstitusi</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Kepaniteraan dan Sekretariat Jenderal Mahkamah Konstitusi Republik Indonesia</font></font>",['FH1'],disk0/00/02/84/69,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">1829-7706</font></font>",,,,,,,,,,,,
3,836,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 42906, 'main': 'Kajian Terhadap Putusan.pdf', 'files': [{'datasetid': 'document', 'fileid': 255618, 'hash': '369f21563f69884ec58965f9322621e5', 'mime_type': 'application/pdf', 'filesize': 608338, 'objectid': 42906, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255618', 'filename': 'Kajian Terhadap Putusan.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-01 01:41:29'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42906', 'security': 'public', 'placement': 1, 'eprintid': 28813}]",2021-04-01 02:00:29,28813,archive,2021-04-01 02:00:29,,show,article,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",FALSE,Kajian Terhadap Putusan Batal Demi Hukum Tanpa Pemerintah Penahanan,http://repository.lppm.unila.ac.id/id/eprint/28813,2013-03-01 00:00:00.000000000,['K1'],2021-04-01 02:00:29,public,6,pub,Jurnal Konstitusi,Jurnal Konstitusi,['FH1'],disk0/00/02/88/13,Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,
4,324,"[{'placement': 1, 'eprintid': 33061, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/150825', 'security': 'public', 'files': [{'fileid': 391536, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'cde8e57024ba48b1810ad0e976c50886', 'filesize': 337137, 'objectid': 150825, 'filename': 'Review Telaah Rezim Partai Politik.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/391536', 'hash_type': 'MD5', 'mtime': '2021-07-02 08:44:40'}], 'main': 'Review Telaah Rezim Partai Politik.pdf', 'docid': 150825, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-07-05 01:12:02,33061,archive,2021-07-05 01:12:02,,show,article,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",FALSE,Telaah Rezim Partai Politik dalam Dinamika Ketatanegaraan Indonesia,http://repository.lppm.unila.ac.id/id/eprint/33061,1970-01-01 00:00:00.000002013,['K1'],2021-07-05 01:12:02,public,6,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Fakultas Hukum Universitas Lampung</font></font>",['FH1'],disk0/00/03/30/61,Hasil Penilaian Sejawat Sebidang atau Peer Review,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">1978-5186</font></font>",,,,,,,,,,,,
5,324,"[{'format': 'text', 'main': '374-Article Text-1183-1-10-20151026.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/251478', 'filename': '374-Article Text-1183-1-10-20151026.pdf', 'filesize': 260387, 'objectid': 42318, 'mtime': '2021-03-08 07:37:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '862674de9f17dc710e195bc678167281', 'fileid': 251478, 'datasetid': 'document'}], 'docid': 42318, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 28272, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42318', 'pos': 1}]",2021-03-08 07:44:40,28272,archive,2021-03-08 07:44:40,,show,article,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",TRUE,Telaah Rezim Partai Politik dalam Dinamika Ketatanegaraan Indonesia,http://repository.lppm.unila.ac.id/id/eprint/28272,2013-08-01 00:00:00.000000000,['K1'],2021-03-08 07:44:40,public,6,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Fiat Justisia</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Fakultas Hukum</font></font>",['FH1'],disk0/00/02/82/72,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">1978-5186</font></font>",,,,,,,,,,,,
6,366,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Review Candra Dimensi Hak Asasi Manusia.pdf', 'docid': 29193, 'files': [{'fileid': 137891, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '24305d04e14ec6723776393d904d350e', 'hash_type': 'MD5', 'mtime': '2019-11-12 06:49:11', 'filesize': 704627, 'objectid': 29193, 'filename': 'Review Candra Dimensi Hak Asasi Manusia.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/137891'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29193', 'eprintid': 16099, 'placement': 1}]",2019-11-14 10:52:17,16099,archive,2019-11-14 10:52:17,,show,monograph,"[{'name': {'lineage': None, 'family': 'Candra Perbawati', 'honourific': None, 'given': 'Candra'}, 'id': 'perbawaticandra@yahoo.com'}]",,Dimensi Hak Asasi Manusia Dalam Pembangunan Hukum Nasional Dalam Buku Negara Hukum Kesejahteraan,http://repository.lppm.unila.ac.id/id/eprint/16099,1970-01-01 00:00:00.000002013,['K1'],2019-11-14 10:52:17,public,8,pub,,PKKPUU Fakultas Hukum Universitas Lampung,['FH1'],disk0/00/01/60/99,Hasil Peniaian Sejawat Sebidang atau Peer Review,,other,Universitas Lampung,,,,,,,,,,
7,347,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2019-12-27 01:55:46', 'hash_type': 'MD5', 'filename': '(2013) Konstitusionalisme Indonesia Buku I Dasar dan Teori.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147372', 'objectid': 30543, 'filesize': 4359413, 'mime_type': 'application/pdf', 'hash': '7b7f87e802028194ecf43457f1b66328', 'fileid': 147372, 'datasetid': 'document'}], 'main': '(2013) Konstitusionalisme Indonesia Buku I Dasar dan Teori.pdf', 'docid': 30543, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30543', 'pos': 1, 'eprintid': 17417, 'placement': 1}]",2020-01-14 01:24:07,17417,archive,2020-01-14 01:24:07,1-62,show,book_section,"[{'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",FALSE,Konstitusionalisme Indoenesia,http://repository.lppm.unila.ac.id/id/eprint/17417,2013-08-01 00:00:00.000000000,['K1'],2020-01-14 01:24:07,public,7,pub,,PKKPUU,['FH1'],disk0/00/01/74/17,,,,,Buku Satu Dasar Teori,,,,,,,,,
8,347,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30588', 'pos': 1, 'eprintid': 17460, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 30588, 'main': '38_legality vs Morality.pdf', 'files': [{'filesize': 20728113, 'objectid': 30588, 'filename': '38_legality vs Morality.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147702', 'hash_type': 'MD5', 'mtime': '2020-01-03 02:55:44', 'fileid': 147702, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'a2a3ec330caa80f757004ab55f35700b'}]}]",2020-01-14 02:47:56,17460,archive,2020-01-14 02:47:56,,show,conference_item,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Rudy', 'lineage': None, 'given': 'Rudy'}}]",FALSE,Legality Versus Morality : Moral Reading and The Case of Pemilukada in Tulang Bawang Regency of Lampung Province,http://repository.lppm.unila.ac.id/id/eprint/17460,2013-01-01 00:00:00.000000000,['K1'],2020-01-14 02:47:56,public,7,pub,,,['FH1'],disk0/00/01/74/60,,,,,,conference,A Reflexive Sociology of Law and Society,paper,Januari 2013,Semarang,,,,
9,347,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/30544', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17418, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'pengelolaan kawasan strategis nasional selat sunda(1).pdf', 'files': [{'mtime': '2019-12-27 02:00:20', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147379', 'filename': 'pengelolaan kawasan strategis nasional selat sunda(1).pdf', 'filesize': 26968838, 'objectid': 30544, 'hash': '819527392eaff18ce1f80c0120ca1f93', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 147379}], 'docid': 30544, 'format': 'text'}]",2020-01-14 01:23:38,17418,archive,2020-01-14 01:23:38,1-132,show,book_section,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Rudy', 'lineage': None, 'given': 'Rudy'}}]",FALSE,Pengelolaan Kawasan Strategis Nasional Selat Sunda Evaluasi dan Konsep Penguatan Produk Hukum Daerah,http://repository.lppm.unila.ac.id/id/eprint/17418,2013-12-01 00:00:00.000000000,['K1'],2020-01-14 01:23:38,public,7,pub,,PPKPHAM Bandar Lampung,['FH1'],disk0/00/01/74/18,,,,,Buku Referensi,,,,,,,,,
