,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,title,creators,type,date,uri,subjects,ispublished,rev_number,status_changed,full_text_status,divisions,dir,refereed,publication,id_number,date_type,patent_applicant,abstract,publisher,number,volume,issn,related_url,official_url,event_type,event_title,pres_type,book_title,pagerange,corp_creators
0,"[{'main': 'Hukum PKM Unggulan Lap.pdf', 'docid': 185265, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/512063', 'filename': 'Hukum PKM Unggulan Lap.pdf', 'objectid': 185265, 'filesize': 1522997, 'mtime': '2022-11-09 07:28:05', 'hash_type': 'MD5', 'hash': '7ff80592ca30cc7fc8de68260a7ca8a1', 'mime_type': 'application/pdf', 'fileid': 512063, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 46387, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185265', 'security': 'public'}]",2022-11-09 07:36:37,1065,show,46387,archive,2022-11-09 07:36:37,SOSIALISASI HIRARKI NORMA HUKUM INDONESIA UNTUK MENINGKATKAN KESADARAN HUKUM SISWA DI MAN 1 BANDAR LAMPUNG,"[{'id': None, 'name': {'family': 'Ade', 'lineage': None, 'honourific': None, 'given': 'Arif Firmansyah'}}, {'id': 'maliciaevendia@yahoo.com', 'name': {'given': 'Evendia', 'honourific': None, 'lineage': None, 'family': 'Malicia'}}, {'name': {'family': 'yuswanto', 'lineage': None, 'honourific': None, 'given': 'yuswanto'}, 'id': 'yuswanto.1962@fh.unila.ac.id'}]",image,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46387,['K1'],submitted,7,2022-11-09 07:36:37,public,['FH1'],disk0/00/04/63/87,,,,,,,,,,,,,,,,,,
1,"[{'placement': 1, 'eprintid': 50479, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190185', 'security': 'public', 'main': 'SINERGITAS DINAS KELAUTAN.pdf', 'docid': 190185, 'files': [{'filesize': 9703497, 'objectid': 190185, 'filename': 'SINERGITAS DINAS KELAUTAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/544621', 'hash_type': 'MD5', 'mtime': '2023-04-13 04:02:04', 'fileid': 544621, 'datasetid': 'document', 'hash': '0f74bed323432c938e9adc8835710763', 'mime_type': 'application/pdf'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2023-04-13 05:07:36,18897,show,50479,archive,2023-04-13 05:07:36,SINERGITAS DINAS KELAUTAN DAN PERIKANAN PROVINSI LAMPUNG BERSAMA NELAYAN MUARA TABULIH KABUPATEN PESISIR BARAT DALAM PERLINDUNGAN HABITAT PENYU,"[{'id': 'aisyahhkm@gmail.com', 'name': {'honourific': None, 'family': 'Aisyah Muda Cemerlang', 'lineage': None, 'given': 'Aisyah'}}, {'id': 'siswanto_heni@gmail.com2', 'name': {'family': 'Heni Siswanto', 'lineage': None, 'honourific': None, 'given': 'Heni Siswanto'}}]",article,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/50479,['K1'],pub,6,2023-04-13 05:07:36,public,['FH1'],disk0_bak/00/05/04/79,TRUE,https://pak.unila.ac.id/dosen/file_penelitian/15598,,,,,,,,,,,,,,,,
2,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/190201', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50498, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'The Synergy Of Lampung.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-13 05:54:04', 'filesize': 2256406, 'objectid': 190201, 'uri': 'http://repository.lppm.unila.ac.id/id/file/544742', 'filename': 'The Synergy Of Lampung.pdf', 'datasetid': 'document', 'fileid': 544742, 'mime_type': 'application/pdf', 'hash': 'c2882153c6697cb3e7d49a45d1f62293'}], 'docid': 190201, 'format': 'text'}]",2023-04-14 02:13:40,18897,show,50498,archive,2023-04-14 02:13:40,The Synergy Of Lampung Provincial Marine And Fishery Services With Muara Tabulih Fisheries In West Coast District In Protection Of Turtle Habitat,"[{'id': 'aisyahhkm@gmail.com', 'name': {'given': 'Aisyah', 'lineage': None, 'family': 'Aisyah Muda Cemerlang', 'honourific': None}}, {'name': {'given': 'Heni Siswanto', 'honourific': None, 'lineage': None, 'family': 'Heni Siswanto'}, 'id': 'siswanto_heni@gmail.com2'}]",patent,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/50498,['K1'],pub,7,2023-04-14 02:13:40,public,['FH1'],disk0_bak/00/05/04/98,,,EC00202272805,published,Fakultas Hukum Universitas lampung,,,,,,,,,,,,,
3,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189951', 'security': 'public', 'placement': 1, 'eprintid': 50253, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'The Synergy of Lampung Provincial Marine and Fishery.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/542944', 'filename': 'The Synergy of Lampung Provincial Marine and Fishery.pdf', 'filesize': 896328, 'objectid': 189951, 'mtime': '2023-04-11 07:45:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '5aa77132873026729fc2da615ff121fe', 'datasetid': 'document', 'fileid': 542944}], 'docid': 189951, 'format': 'text'}]",2023-04-11 07:51:37,18897,show,50253,archive,2023-04-11 07:51:37,"The Synergy of Lampung
Provincial Marine and Fishery
Services with Muara Tabulih
Fisheries in West Coast District
in Protection of Turtle Habitat","[{'id': 'aisyahhkm@gmail.com', 'name': {'lineage': None, 'family': 'Aisyah Muda Cemerlang', 'honourific': None, 'given': 'Aisyah'}}, {'id': 'siswanto_heni@gmail.com2', 'name': {'given': 'Heni Siswanto', 'honourific': None, 'lineage': None, 'family': 'Heni Siswanto'}}]",article,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/50253,['K1'],pub,6,2023-04-11 07:51:37,public,['FH1'],disk0_bak/00/05/02/53,FALSE,ATLANTIS PRESS,,,,Hasil Check Similarity,ATLANTIS PRESS,,,,,,,,,,,
4,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/189958', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50261, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'The Synergy.pdf', 'files': [{'datasetid': 'document', 'fileid': 543005, 'mime_type': 'application/pdf', 'hash': '5aa77132873026729fc2da615ff121fe', 'filesize': 896328, 'objectid': 189958, 'uri': 'http://repository.lppm.unila.ac.id/id/file/543005', 'filename': 'The Synergy.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-11 07:53:23'}], 'docid': 189958, 'format': 'text'}]",2023-04-11 08:05:09,18897,show,50261,archive,2023-04-11 08:05:09,"The Synergy of Lampung
Provincial Marine and Fishery
Services with Muara Tabulih
Fisheries in West Coast District
in Protection of Turtle Habitat","[{'name': {'honourific': None, 'lineage': None, 'family': 'Aisyah Muda Cemerlang', 'given': 'Aisyah'}, 'id': 'aisyahhkm@gmail.com'}, {'name': {'lineage': None, 'family': 'Heni Siswanto', 'honourific': None, 'given': 'Heni Siswanto'}, 'id': 'siswanto_heni@gmail.com2'}]",article,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/50261,['K1'],pub,6,2023-04-11 08:05:09,public,['FH1'],disk0_bak/00/05/02/61,FALSE,ATLANTIS PRESS,,,,Hasil Check Similarity,ATLANTIS PRESS,,,,,,,,,,,
5,"[{'main': 'TOR.pdf', 'docid': 167415, 'files': [{'filename': 'TOR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/487911', 'filesize': 2940273, 'objectid': 167415, 'mtime': '2022-10-03 00:25:09', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'b2797c1e57fd0dfa09b804b564eedede', 'fileid': 487911, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 45423, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167415', 'pos': 1, 'security': 'public'}]",2022-10-03 01:37:32,276,show,45423,archive,2022-10-03 01:37:32,"Juri Event ""NLDC INDONSIA X APLIKASI MYLAWYER : LEGAL COMPETITION 2022"" Kompetisi Debat Hukum Nasional","[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'lineage': None, 'family': 'Bayu sujadmiko', 'honourific': None}}]",image,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/45423,['K1'],submitted,7,2022-10-03 01:37:32,public,['FH1'],disk0/00/04/54/23,,,,,,,,,,,,,,,,,,
6,"[{'placement': 1, 'eprintid': 45365, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167351', 'security': 'public', 'docid': 167351, 'main': 'Fasilitasi Narasumber.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-09-29 00:34:22', 'filesize': 3282732, 'objectid': 167351, 'filename': 'Fasilitasi Narasumber.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/487617', 'datasetid': 'document', 'fileid': 487617, 'hash': 'ae7deacb98cd767f4f10dec3738f1cbf', 'mime_type': 'application/pdf'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-10-03 01:36:45,276,show,45365,archive,2022-10-03 01:36:45,"Narasumber dalam Kegiatan Diskusi Terbatas dengan tema ""Kebutuhan Masyarakat Khususnya Provinsi Lampung atas Pengaturan terkait Hukum Perdata Intrenasional""","[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'honourific': None, 'family': 'Bayu sujadmiko', 'lineage': None}}]",image,2022-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/45365,['K1'],submitted,7,2022-10-03 01:36:45,public,['FH1'],disk0/00/04/53/65,,,,,,,,,,,,,,,,,,
7,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/167414', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 45422, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Workshop Rencana Pembelajaran.pdf', 'docid': 167414, 'files': [{'datasetid': 'document', 'fileid': 487904, 'hash': 'e41ae19cd702babaf1412856b64017bb', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-10-03 00:19:16', 'objectid': 167414, 'filesize': 3461712, 'filename': 'Workshop Rencana Pembelajaran.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/487904'}], 'format': 'text'}]",2022-10-03 01:37:28,276,show,45422,archive,2022-10-03 01:37:28,Narasumber dalam Kegiatan Workshop Perumusan RPS Berbasis Case Method,"[{'name': {'lineage': None, 'family': 'Bayu sujadmiko', 'honourific': None, 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",image,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/45422,['K1'],submitted,7,2022-10-03 01:37:28,public,['FH1'],disk0/00/04/54/22,,,,,,,,,,,,,,,,,,
8,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167328', 'pos': 1, 'eprintid': 45343, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'hash': '7fd6fe0b9f440c6f35f62abc873136ed', 'mime_type': 'application/pdf', 'fileid': 487512, 'datasetid': 'document', 'mtime': '2022-09-28 00:09:34', 'hash_type': 'MD5', 'filename': 'Akademisi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/487512', 'filesize': 1690224, 'objectid': 167328}], 'main': 'Akademisi.pdf', 'docid': 167328}]",2022-10-03 01:36:41,276,show,45343,archive,2022-10-03 01:36:41,Narasumber dalam kegiatan Focus Group Discussion (FGD) Potensi Tindak Pidana terkait Pencatutan Indentitas Anggota Masyarakat sebagai Anggota Partai Politik,"[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'lineage': None, 'family': 'Bayu sujadmiko', 'honourific': None}}]",image,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/45343,['K1'],submitted,7,2022-10-03 01:36:41,public,['FH1'],disk0/00/04/53/43,,,,,,,,,,,,,,,,,,
9,"[{'placement': 1, 'eprintid': 45366, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167352', 'pos': 1, 'security': 'public', 'main': 'internmadeatre.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'd0c8da460cffcfe92e3c6f5edc6ce47d', 'datasetid': 'document', 'fileid': 487624, 'mtime': '2022-09-29 00:36:13', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/487624', 'filename': 'internmadeatre.pdf', 'objectid': 167352, 'filesize': 974285}], 'docid': 167352, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-10-03 01:36:53,276,show,45366,archive,2022-10-03 01:36:53,"Pameteri dalam Kegiatan Latihan Kader II (Internasional Training) dengan tema ""Optimalisasi Pendidikan dalam Manghadapi Bonus Demografi 2045""","[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'lineage': None, 'family': 'Bayu sujadmiko', 'honourific': None}}]",image,2022-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/45366,['K1'],submitted,7,2022-10-03 01:36:53,public,['FH1'],disk0/00/04/53/66,,,,,,,,,,,,,,,,,,
