,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,userid,lastmod,documents,divisions,publisher,publication,dir,full_text_status,status_changed,ispublished,rev_number,subjects,abstract,uri,date,pres_type,pagerange,event_type,event_title,event_location,event_dates,pages,book_title,number,monograph_type,date_type,issn,volume,isbn,place_of_pub,institution
0,article,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",An Analysis of the Death Penalty in Indonesia Criminal Law,FALSE,2021-12-21 10:25:06,37380,archive,show,836,2021-12-21 10:25:06,"[{'placement': 1, 'eprintid': 37380, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158295', 'security': 'public', 'main': 'Reviewer Jrnl Scopus eddy.pdf', 'files': [{'fileid': 427472, 'datasetid': 'document', 'hash': '7a826d7da1ac04ad96f6e32becd53f6c', 'mime_type': 'application/pdf', 'objectid': 158295, 'filesize': 694496, 'filename': 'Reviewer Jrnl Scopus eddy.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/427472', 'hash_type': 'MD5', 'mtime': '2021-12-21 06:57:32'}], 'docid': 158295, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",['FH1'],Sriwijaya Law Review,Sriwijaya Law Review,disk0/00/03/73/80,public,2021-12-21 10:25:06,pub,6,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,http://repository.lppm.unila.ac.id/id/eprint/37380,1970-01-01 00:00:00.000002017,,,,,,,,,,,,,,,,
1,article,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",An Analysis of the Death Penalty in Indonesia Criminal Law,FALSE,2021-12-24 07:34:07,37409,archive,show,836,2021-12-24 07:34:07,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mtime': '2021-12-24 00:51:53', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/427692', 'filename': '44_116_2_PB.pdf', 'objectid': 158332, 'filesize': 2300233, 'hash': '69342473a95013412b30b28daeb4c446', 'mime_type': 'application/pdf', 'fileid': 427692, 'datasetid': 'document'}], 'main': '44_116_2_PB.pdf', 'docid': 158332, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158332', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 37409}]",['FH1'],SLRev,Sriwijaya Law Review,disk0/00/03/74/09,public,2021-12-24 07:34:07,pub,6,['K1'],Hasil Chcek Similarity,http://repository.lppm.unila.ac.id/id/eprint/37409,2017-07-01 00:00:00.000000000,,,,,,,,,,,,,,,,
2,conference_item,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]","The Criminal Law Enforcement Against Criminal Acts
Begal By Child Offenders",FALSE,2021-03-16 06:25:40,28432,archive,show,836,2021-03-16 06:25:40,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Prosiding 2nd shield 2017.pdf', 'files': [{'datasetid': 'document', 'fileid': 252620, 'mime_type': 'application/pdf', 'hash': '8267efd3bf5d8ef7fbf60707f26a6f68', 'objectid': 42480, 'filesize': 12810351, 'filename': 'Prosiding 2nd shield 2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/252620', 'hash_type': 'MD5', 'mtime': '2021-03-16 01:53:25'}], 'docid': 42480, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42480', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28432}]",['FH1'],,,disk0/00/02/84/32,public,2021-03-16 06:25:40,pub,7,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28432,2017-09-01 00:00:00.000000000,lecture,109-201,conference,Proceedings International Conference 2nd SHIELD 2017,,,,,,,,,,,,
3,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","The Criminal Law Enforcement Against Criminal Acts
Begal By Child Offenders",FALSE,2021-03-24 07:35:14,28539,archive,show,836,2021-03-24 07:35:14,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42594', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28539, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'IJBEL24_538-2.pdf', 'files': [{'filename': 'IJBEL24_538-2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/253358', 'objectid': 42594, 'filesize': 1236190, 'mtime': '2021-03-24 04:06:54', 'hash_type': 'MD5', 'hash': 'e0820cce2735918dfeedbdd730570c96', 'mime_type': 'application/pdf', 'fileid': 253358, 'datasetid': 'document'}], 'docid': 42594, 'format': 'text'}]",['FH1'],,,disk0/00/02/85/39,public,2021-03-24 07:35:14,pub,7,['K1'],Hasil Check Similarity,http://repository.lppm.unila.ac.id/id/eprint/28539,1970-01-01 00:00:00.000002017,speech,190-121,conference,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Prosiding International Conference 2nd SHIELD 2017 Universitas Lampung</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Bandar Lampung</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">18-20 September 2017</font></font>",,,,,,,,,,
4,conference_item,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","The Criminal Law Enforcement Against Criminal Acts
Begal By Child Offenders",FALSE,2021-04-01 02:00:42,28818,archive,show,836,2021-04-01 02:00:42,"[{'eprintid': 28818, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42911', 'pos': 1, 'format': 'text', 'main': 'The Criminal Law.pdf', 'docid': 42911, 'files': [{'mtime': '2021-04-01 01:50:24', 'hash_type': 'MD5', 'filename': 'The Criminal Law.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255684', 'objectid': 42911, 'filesize': 552069, 'mime_type': 'application/pdf', 'hash': '4334c50984f4ee97e5019e43c6be2258', 'datasetid': 'document', 'fileid': 255684}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",['FH1'],,,disk0/00/02/88/18,public,2021-04-01 02:00:42,pub,7,['K1'],Hasil Penilaian sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/28818,1970-01-01 00:00:00.000002017,speech,,conference,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Prosiding International Conference 2nd SHIELD 2017 Universitas Lampung</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Bandar Lampung</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">18-20 September 2017</font></font>",,,,,,,,,,
5,conference_item,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>'}]",The Criminal Law Enforcement Against Criminal Acts Begal By Child Offenders,FALSE,2021-06-08 08:21:43,32317,archive,show,836,2021-06-08 08:21:43,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'hash': '94d302dbdb2786f4cd1aca7c92cdf87e', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 382431, 'mtime': '2021-06-08 08:12:56', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/382431', 'filename': 'The_Criminal_Law_Enforcement_Against_Criminal_Acts.pdf', 'objectid': 146566, 'filesize': 4764244}], 'main': 'The_Criminal_Law_Enforcement_Against_Criminal_Acts.pdf', 'docid': 146566, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/146566', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 32317}]",['FH1'],,,disk0/00/03/23/17,public,2021-06-08 08:21:43,pub,7,['K1'],Hasil Check Similarity,http://repository.lppm.unila.ac.id/id/eprint/32317,1970-01-01 00:00:00.000002017,other,,conference,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Prosiding Konferensi Internasional 2nd SHIELD 2017</font></font>",,,,,,,,,,,,
6,book_section,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Dinamika Penegakan Hukum Pemerintahan Daerah,FALSE,2021-03-17 08:52:17,28439,archive,show,1065,2021-03-17 08:52:17,"[{'placement': 1, 'eprintid': 28439, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42487', 'pos': 1, 'security': 'public', 'main': 'Buku Dinamika Penegakan.pdf', 'docid': 42487, 'files': [{'fileid': 252674, 'datasetid': 'document', 'hash': 'ed67f7c1d8d4846890754861ea8fd9eb', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-17 01:04:32', 'filesize': 703721, 'objectid': 42487, 'filename': 'Buku Dinamika Penegakan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/252674'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",['FH1'],AURA CV. Anugrah Utama Raharja Anggota IKAPAI,,disk0/00/02/84/39,public,2021-03-17 08:52:17,pub,7,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28439,2017-09-01 00:00:00.000000000,,,,,,,128.0,Dinamika Penegakan Hukum Pemerintahan Daerah,,,,,,,,
7,book_section,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Dinamika Penegakan Hukum Pemerintahan Daerah,FALSE,2021-03-29 09:04:08,28690,archive,show,1065,2021-03-29 09:04:08,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Reviewer Dinamika.pdf', 'files': [{'objectid': 42745, 'filesize': 251960, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254549', 'filename': 'Reviewer Dinamika.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-29 08:40:38', 'fileid': 254549, 'datasetid': 'document', 'hash': 'ac3748860c410de7028679b8b07c32e9', 'mime_type': 'application/pdf'}], 'docid': 42745, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42745', 'pos': 1, 'eprintid': 28690, 'placement': 1}]",['FH1'],AURA CV. Anugrah Utama Raharja Anggota IKAPAI,,disk0/00/02/86/90,public,2021-03-29 09:04:08,pub,7,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/28690,2017-09-01 00:00:00.000000000,,,,,,,,Dinamika Penegakan Hukum Pemerintahan Daerah,128.0,,,,,,,
8,monograph,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Dinamika Penegakan Hukum Pemerintahan Daerah,,2021-05-18 04:24:32,30181,archive,show,1065,2021-05-18 04:24:32,"[{'eprintid': 30181, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/135592', 'pos': 1, 'format': 'text', 'files': [{'fileid': 357806, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'eb7c7c66e92401ce519354265b3bfd88', 'filesize': 363835, 'objectid': 135592, 'uri': 'http://repository.lppm.unila.ac.id/id/file/357806', 'filename': 'Dinamika Penegakan.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-18 04:18:22'}], 'main': 'Dinamika Penegakan.pdf', 'docid': 135592, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",['FH1'],AURA CV. Anugrah Utama Raharja Anggota IKAPI,,disk0/00/03/01/81,public,2021-05-18 04:24:32,pub,7,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/30181,2017-09-01 00:00:00.000000000,,,,,,,,,,other,,,,,,
9,book,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Dinamika Penegakan Hukum Pemerintahan Daerah,FALSE,2022-02-04 07:50:47,39006,archive,show,1065,2022-02-04 07:50:47,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 160264, 'main': 'Buku Dinamika Penegakan Prof. Yus ISBN Lengkap.pdf', 'files': [{'filesize': 12765852, 'objectid': 160264, 'uri': 'http://repository.lppm.unila.ac.id/id/file/440114', 'filename': 'Buku Dinamika Penegakan Prof. Yus ISBN Lengkap.pdf', 'hash_type': 'MD5', 'mtime': '2022-02-04 03:04:29', 'fileid': 440114, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '6cef5ea186da3da2cb86a20c48ca9781'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160264', 'eprintid': 39006, 'placement': 1}]",['FH1'],AURA CV. Anugrah Utama Raharja Anggota IKAPAI,,disk0/00/03/90/06,public,2022-02-04 07:50:47,pub,7,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/39006,2017-09-01 00:00:00.000000000,,,,,,,,,,,,,,,,
