,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,documents,userid,title,refereed,creators,pres_type,type,subjects,event_title,uri,date,event_type,divisions,dir,ispublished,rev_number,full_text_status,status_changed,abstract,pagerange,publisher,publication,issn,date_type,patent_applicant,id_number,book_title,event_dates,event_location,volume,number,corp_creators,contributors,official_url,keywords,funders,related_url,succeeds
0,show,2021-04-17 05:20:11,29404,archive,2021-04-17 05:20:11,"[{'format': 'text', 'main': ""CILDREN'S.pdf"", 'files': [{'datasetid': 'document', 'fileid': 260511, 'mime_type': 'application/pdf', 'hash': '4989fd851345c26f4eb411a3d8c55a65', 'hash_type': 'MD5', 'mtime': '2021-04-16 04:49:41', 'filesize': 4448534, 'objectid': 43535, 'uri': 'http://repository.lppm.unila.ac.id/id/file/260511', 'filename': ""CILDREN'S.pdf""}], 'docid': 43535, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 29404, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43535', 'pos': 1}]",276,Children's Right To Internet Devices : A Social Approach on Indonesian Policy,FALSE,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",other,conference_item,['K1'],Proccedings of International Indonesia Conference on Interdisciplinary Studies,http://repository.lppm.unila.ac.id/id/eprint/29404,2018-09-01 00:00:00.000000000,conference,['FH1'],disk0/00/02/94/04,pub,7,public,2021-04-17 05:20:11,,,,,,,,,,,,,,,,,,,,
1,show,2021-04-17 05:20:48,29415,archive,2021-04-17 05:20:48,"[{'format': 'text', 'main': 'Review Childrens Right_Prosiding Internasional.pdf', 'docid': 43546, 'files': [{'objectid': 43546, 'filesize': 532034, 'uri': 'http://repository.lppm.unila.ac.id/id/file/260588', 'filename': 'Review Childrens Right_Prosiding Internasional.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-16 06:39:18', 'datasetid': 'document', 'fileid': 260588, 'mime_type': 'application/pdf', 'hash': '7dbf6dc8891d12a720a1f5b2dd1a9fed'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 29415, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43546', 'pos': 1}]",276,Children's Right To Internet Devices : A Social Approach on Indonesian Policy,FALSE,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}}]",other,conference_item,['K1'],Proccedings of International Indonesia Conference on Interdisciplinary Studies,http://repository.lppm.unila.ac.id/id/eprint/29415,2018-09-01 00:00:00.000000000,conference,['FH1'],disk0/00/02/94/15,pub,7,public,2021-04-17 05:20:48,Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,,,,,,,
2,show,2021-10-13 10:13:24,34531,archive,2021-10-13 10:13:24,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155055', 'eprintid': 34531, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 155055, 'main': 'Proceeding_i_coffees_2018_Models_of_Policy_Making.pdf', 'files': [{'fileid': 406070, 'datasetid': 'document', 'hash': '41daf95eca55b991cbf4f8d212dd57ee', 'mime_type': 'application/pdf', 'objectid': 155055, 'filesize': 3213357, 'filename': 'Proceeding_i_coffees_2018_Models_of_Policy_Making.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406070', 'hash_type': 'MD5', 'mtime': '2021-10-13 07:43:44'}]}]",276,Children's Right To Internet Devices : A Social Approach on Indonesian Policy,FALSE,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",other,conference_item,['K1'],roccedings of International Indonesia Conference on Interdisciplinary Studies,http://repository.lppm.unila.ac.id/id/eprint/34531,1970-01-01 00:00:00.000002018,conference,['FH1'],disk0/00/03/45/31,pub,7,public,2021-10-13 10:13:24,Hasil Check Similarity,,,,,,,,,,,,,,,,,,,
3,show,2021-03-18 07:10:55,28463,archive,2021-03-18 07:10:55,"[{'format': 'text', 'main': 'Dirkusus.pdf', 'files': [{'datasetid': 'document', 'fileid': 252841, 'mime_type': 'application/pdf', 'hash': '5d5007f14a50895118fb513605d3ace0', 'hash_type': 'MD5', 'mtime': '2021-03-18 05:04:50', 'objectid': 42511, 'filesize': 417267, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252841', 'filename': 'Dirkusus.pdf'}], 'docid': 42511, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 28463, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42511', 'pos': 1}]",1065,Diskursus Pembatalan Peraturan Daerah Pasca Putusan MK No. 137/PPU-XIII/2015 dan No. 56/PUU-XIV/2016,FALSE,"[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,article,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28463,2018-12-01 00:00:00.000000000,,['FH1'],disk0/00/02/84/63,pub,6,public,2021-03-18 07:10:55,,710-731,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Kepaniteraan dan Sekretariat Jenderal Mahkamah Konstitusi Republik Indonesia</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Konstitusi</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">1829-7706</font></font>",,,,,,,,,,,,,,,
4,show,2021-03-29 09:04:31,28697,archive,2021-03-29 09:04:31,"[{'files': [{'fileid': 254597, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f34385c3383901b6c2c5a8a5cd32d33e', 'hash_type': 'MD5', 'mtime': '2021-03-29 08:54:15', 'filesize': 282698, 'objectid': 42752, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254597', 'filename': 'Reviewer Diskursus Pembatalan.pdf'}], 'main': 'Reviewer Diskursus Pembatalan.pdf', 'docid': 42752, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28697, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42752', 'security': 'public'}]",1065,Diskursus Pembatalan Peraturan Daerah Pasca Putusan MK No. 137/PPU-XIII/2015 dan No. 56/PUU-XIV/2016,FALSE,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}}]",,article,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28697,2018-12-01 00:00:00.000000000,,['FH1'],disk0/00/02/86/97,pub,6,public,2021-03-29 09:04:31,Hasil Penilaian Sejawat Sebidang atau Peer Review,710-731,Mahkamah Konstitusi,Jurnal Konstitusi,,,,,,,,,,,,,,,,
5,show,2022-02-23 07:25:41,39762,archive,2022-02-23 07:25:41,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161038', 'security': 'public', 'placement': 1, 'eprintid': 39762, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'fileid': 445897, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '15a10b9a488f6238dd11c06f2f6e71c2', 'hash_type': 'MD5', 'mtime': '2022-02-23 03:54:09', 'filesize': 651584, 'objectid': 161038, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445897', 'filename': 'DISKURSUS.pdf'}], 'main': 'DISKURSUS.pdf', 'docid': 161038, 'format': 'text'}]",1065,Diskursus Pembatalan Peraturan Daerah Pasca Putusan MK No. 137/PPU-XIII/2015 dan No. 56/PUU-XIV/2016,FALSE,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}}]",,article,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/39762,1970-01-01 00:00:00.000002018,,['FH1'],disk0/00/03/97/62,pub,6,public,2022-02-23 07:25:41,Hasil Penilaian Sejawat Sebidang atau Peer Review,,Mahkamah Konstitusi,Jurnal Konstitusi,,,,,,,,,,,,,,,,
6,show,2021-04-05 04:51:35,28851,archive,2021-04-05 04:51:35,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42943', 'pos': 1, 'eprintid': 28851, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash': '6c5c1a21b04cc18b59864125b5fb366f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 255989, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255989', 'filename': 'sertifikat_EC00201806229.pdf', 'filesize': 768675, 'objectid': 42943, 'mtime': '2021-04-05 03:55:45', 'hash_type': 'MD5'}], 'main': 'sertifikat_EC00201806229.pdf', 'docid': 42943}]",955,"EC00201806229, Aspek Hukum Perbankan Syariah Teori dan Implementasi",,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28851,2018-03-01 00:00:00.000000000,,['FH1'],disk0/00/02/88/51,pub,7,public,2021-04-05 04:51:35,,,,,,published,LPPM UNILA,EC00201806229,,,,,,,,,,,,
7,show,2021-04-05 04:51:42,28853,archive,2021-04-05 04:51:42,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42945', 'security': 'public', 'placement': 1, 'eprintid': 28853, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 42945, 'main': 'sertifikat_EC00201806230.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '9c75631d8fbbec6da47e005e28759912', 'datasetid': 'document', 'fileid': 256000, 'filename': 'sertifikat_EC00201806230.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256000', 'objectid': 42945, 'filesize': 768761, 'mtime': '2021-04-05 03:59:06', 'hash_type': 'MD5'}], 'format': 'text'}]",955,"EC00201806230, Hukum Ekonomi dan Lembaga Keuangan Syariah",,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28853,2018-03-01 00:00:00.000000000,,['FH1'],disk0/00/02/88/53,pub,7,public,2021-04-05 04:51:42,,,,,,submitted,LPPM UNILA,EC00201806230,,,,,,,,,,,,
8,show,2021-04-05 04:51:51,28855,archive,2021-04-05 04:51:51,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42947', 'eprintid': 28855, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'sertifikat_EC00201853975.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/256015', 'filename': 'sertifikat_EC00201853975.pdf', 'objectid': 42947, 'filesize': 768479, 'mtime': '2021-04-05 04:02:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '41d5411f5c713133f69b450c9bb1fd88', 'fileid': 256015, 'datasetid': 'document'}], 'docid': 42947}]",955,"EC00201853975, Kondisi Eropa sebelum Islam Datang",,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28855,2018-11-01 00:00:00.000000000,,['FH1'],disk0/00/02/88/55,pub,7,public,2021-04-05 04:51:51,,,,,,submitted,LPPM UNILA,EC00201853975,,,,,,,,,,,,
9,show,2021-04-05 04:51:53,28856,archive,2021-04-05 04:51:53,"[{'placement': 1, 'eprintid': 28856, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42948', 'security': 'public', 'main': 'sertifikat_EC00201853976.pdf', 'docid': 42948, 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-05 04:03:58', 'filesize': 768425, 'objectid': 42948, 'filename': 'sertifikat_EC00201853976.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256023', 'fileid': 256023, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1c510b1cd42c4d4a078fdc511586f7bd'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",955,"EC00201853976, Landasan Kefilsafatan",,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28856,2018-11-01 00:00:00.000000000,,['FH1'],disk0/00/02/88/56,pub,7,public,2021-04-05 04:51:53,,,,,,submitted,LPPM UNILA,EC00201853976,,,,,,,,,,,,
