,title,refereed,creators,type,lastmod,documents,userid,metadata_visibility,datestamp,eprintid,eprint_status,rev_number,ispublished,full_text_status,status_changed,divisions,publication,dir,date,uri,date_type,subjects,issn,publisher,abstract,volume,number,official_url,pagerange,funders,note,contact_email,related_url,keywords,corp_creators,projects,referencetext,id_number,contributors,succeeds,isbn,place_of_pub,pages,series,event_title,event_type,event_dates,pres_type,event_location
0,PERINGATAN HARI IBU FAKTA SEJARAH DAN PERGESERAN PEMAKNAAN,TRUE,"[{'id': 'eka.sofiaagustina@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustina', 'honourific': None, 'given': 'Eka Sofia'}}]",article,2021-06-04 01:36:59,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/144921', 'pos': 1, 'eprintid': 31981, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2021-06-03 19:03:18', 'hash_type': 'MD5', 'filename': 'Radar Lampung, 26 Desember 2020_removed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/378496', 'objectid': 144921, 'filesize': 298352, 'hash': 'a562b73d3c760eb8c909feab1a9fa775', 'mime_type': 'application/pdf', 'fileid': 378496, 'datasetid': 'document'}], 'main': 'Radar Lampung, 26 Desember 2020_removed.pdf', 'docid': 144921}]",3012,show,2021-06-04 01:36:59,31981,archive,6,pub,public,2021-06-04 01:36:59,['FKIP14'],Radar Lampung,disk0/00/03/19/81,2020-12-20 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31981,published,['L1'],,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Exploring Teachers' TPCK: Are Indonesian Language
Teachers Ready for Online Learning during the
COVID-19 Outbreak?",TRUE,"[{'id': 'muhammad.fuadum@fkip.unila.ac.id', 'name': {'family': 'Fuad', 'lineage': None, 'honourific': None, 'given': 'Muhammad'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Ariyani', 'given': 'Farida'}, 'id': 'farida.ariyani@fkip.unila.ac.id'}, {'name': {'given': 'Edi', 'lineage': None, 'family': 'Suyanto', 'honourific': None}, 'id': 'doktor_edy@yahoo.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Shidiq', 'given': 'Ari Syahidul'}, 'id': None}]",article,2021-03-16 01:39:53,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42414', 'eprintid': 28388, 'placement': 1, 'content': 'published', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'UJER45-19520400.pdf', 'docid': 42414, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/252269', 'filename': 'UJER45-19520400.pdf', 'filesize': 283546, 'objectid': 42414, 'mtime': '2021-03-15 07:48:46', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'b0fff3caf71d709e9fd215f6d67a9169', 'datasetid': 'document', 'fileid': 252269}]}]",941,show,2021-03-16 01:39:53,28388,archive,8,pub,public,2021-03-16 01:39:53,['FKIP14'],Universal Journal of Educational Research,disk0/00/02/83/88,2020-10-19 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28388,published,['L1'],2332-3213,Horizon Research Publishing,"Online learning decisions during the
COVID-19 pandemic have problems in its application.
Besides infrastructure, teachers’ ability to integrate
technology in learning is also an important factor that
affects the success of online learning. In the current online
learning, teachers are required to master Technological
Pedagogical Content Knowledge (TPCK). Thus, this
research aims to explore the Indonesian language teachers’
TPCK and readiness to conduct online learning during the
COVID-19 outbreak. This research applied a survey
method with 318 participating teachers in Lampung,
Indonesia. The data were collected using questionnaires
related to attitude, technological knowledge, content
knowledge, pedagogical knowledge, pedagogical content
knowledge, technological content knowledge,
technological pedagogical knowledge, and technological
pedagogical content knowledge. They were then analyzed
quantitatively using factor analysis and qualitatively based
on the teachers’ answers to learning during the COVID-19
pandemic. The results demonstrate that Indonesian
language teachers have adapted to the implementation of
online learning related to the use of technology such as the
variety of learning media and educational platforms used as
well as TPCK skills. In general, teachers’ TPCK tends to
be positive about online learning even though some senior
teachers have a negative attitude to the technological
aspects. They have difficulty using technology in learning
so that the class looks monotonous and does not vary. The
results of this research can be used as evaluation material
by policymakers to improve the learning system.
Keywords Online Learning, Indonesian Language
Teachers, COVID-19 Outbreak, TPCK",8.0,11B,https://www.hrpub.org/index.php,6091-6102,,,,,,,,,,,,,,,,,,,,
2,THE EFFECT OF PESANTREN EDUCATION ON THE CREATIVITY OF PESANTREN-BASED WRITERS,TRUE,"[{'id': 'muhammad.fuadum@fkip.unila.ac.id', 'name': {'given': 'Muhammad', 'lineage': None, 'family': 'Fuad', 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Masrukhi', 'lineage': None, 'given': 'Moh.'}}, {'name': {'given': 'Anwar', 'honourific': None, 'lineage': None, 'family': 'Efendi'}, 'id': None}]",article,2021-03-16 01:39:59,"[{'placement': 1, 'eprintid': 28393, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42425', 'security': 'public', 'docid': 42425, 'main': 'a7fdde7c69de25251dbc32fccd573f93317d.pdf', 'files': [{'objectid': 42425, 'filesize': 697589, 'filename': 'a7fdde7c69de25251dbc32fccd573f93317d.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/252298', 'hash_type': 'MD5', 'mtime': '2021-03-15 08:17:55', 'datasetid': 'document', 'fileid': 252298, 'mime_type': 'application/pdf', 'hash': '6f9f9aa53f33399460a3cbec8cc76230'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3, 'content': 'published'}]",941,show,2021-03-16 01:39:59,28393,archive,7,pub,public,2021-03-16 01:39:59,['FKIP14'],International Journal of Education and Social Science Research,disk0/00/02/83/93,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/28393,published,['L1'],2581-5148,semanticscholar.org,"Many people underestimate learning in pesantren. Muslim students are considered unable to keep up
with the times because of the rigidity of the pesantren rules. Meanwhile, literacy learning and
literary processing today seems to decrease with the development of modern art. The making of
literary works by a writer is highly influenced by his/her environment. Despite the rigidity of the
rules as considered by the people, there are many pesantren-based writers. This study aimed to
determine the imagination and creativity of literary texts produced by pesantren-based writers.
Heuristic, hermeneutic, and intertextual reading methods were performed eclectically to analyze the
content, values, and language styles in literary texts. Literary texts that become the focus of the study
were those written by pesantren-based writers i.e. poems written by Gus Mus, Ahmad Tohari's short
stories, and Habiburrahman El Shirazy's novels. This study found that the imagination and creativity
of the literature written by pesantren-based writers tend to be identical with the commitment and
quality of the creator's religiosity. It can be implied that the aspects of religiosity and the atmosphere
of pesantren that can blow up the imagination and creativity in literary processing can be adopted to
support literacy learning and literary processing by public educational institutions outside the
pesantren.
KEYWORDS: literary text, writer, pesantren, religiosity",3.0,3,https://www.semanticscholar.org/,1-10,,,,,,,,,,,,,,,,,,,,
3,THE ATTRACTIVENESS OF KINESICS IN A SEMIOPRAGMATIC PERSPECTIVE: A STUDY ON LANGUAGE LEARNING,TRUE,"[{'name': {'honourific': None, 'family': 'I Wayan', 'lineage': None, 'given': 'Ardi Sumarta'}, 'id': 'wayanardisumarta@gmail.com'}, {'name': {'given': 'Simpen', 'family': 'I Wayan', 'lineage': None, 'honourific': None}, 'id': '2wynsimpen60@gmail.com'}, {'id': 'darmalaksana2020@gmail.com', 'name': {'honourific': None, 'family': 'I Ketut', 'lineage': None, 'given': 'Darmalaksana'}}, {'name': {'given': 'Artawa', 'honourific': None, 'lineage': None, 'family': 'Ketiut'}, 'id': 'ketut_artawa@unud.ac.id'}]",article,2021-11-04 09:03:19,,18817,show,2021-11-04 09:03:19,34977,archive,6,pub,none,2021-11-04 09:03:19,['FKIP14'],Humanities & Social Sciences Reviews,disk0/00/03/49/77,2020-05-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/34977,published,['L1'],2395-6518,GIAP Journal ; Humanities & Social Sciences Reviews,"Purpose of the study: Language is a productive communication tool for teachers to interact with learners. The use of non-verbal Language in speaking becomes strong support when the speech event takes place. This study aims to determine the elements of kinesics and politeness of the Language of the instructor in learning.
Methodology: The method used in this study uses descriptive methods. The subjects involved in the research were one lecturer in Indonesian language courses andMahasaraswati university students who were taking Indonesian language courses. The study was conducted in 6 different classes for three meetings.
Main Findings: The results showed that non-verbal Language is inherent and contributes to the application of the instructor’s politeness principle in learning. Utilization of kinesics in the politeness of Language perfects a speech that is based on the politeness of Language so that the care of speech harmony can be sustained and to the success in maintaining the face of the speech partner especially emotional closeness between learners and instructors.
Application of this study: Learning includes embedded values and imprinted into a role model for learners. The attitude that is no less important and inherent in the instructor’s self is the kinesic attraction that causes the learner’s pleasure and comfort when learning takes place.
Novelty/Originality of this study: Research in Indonesian has not yet led to politeness in Language. The utilization of non-verbal Language in speaking becomes strong support when the speech event takes place, this is because Language is the main communication tool for interaction in learning.
Keywords: Kinesics, Politeness, Language learning, Semiopragmatic, Communication, Attractiveness.",8.0,3,https://doi.org/10.18510/hssr.2020.8330,285-293,['Personal'],"Humans as social creatures, wherein these social activities humans interact with each other. Social interaction is an activity where Language becomes the main means of interaction. In interacting with others there are different insights in each human, thus when interacting with humans as social beings contribute to each other’s thoughts in the pragmatic context. Pragmatics is the study of the ability to use Language, in associating sentences with the context that is appropriate for the sentence (Mey, 2009). In other words, pragmatic learns about the meaning of sentences spoken by speakers adjusted to the context and situation.",wayanardisumarta@gmail.com,"[{'url': 'https://doi.org/10.18510/hssr.2020.8330', 'type': 'author'}]","Kinesics, Politeness, Language learning, Semiopragmatic, Communication, Attractiveness.","['FKIP Universitas Lampung', 'FIB Universitas Udayana']",['FKIP Universitas Lampung'],"1.	Birdwhistell, R. L. (1955). Background to kinesics. Institute of General Semantic, 13(1), 10–18.
2.	Buck, S., & Tiene, D. (1989). The Impact of Physical Attractiveness, Gender, and Teaching Philosophy on Teacher Evaluations. Journal of Educational Research, 82(3), 172–177. https://doi.org/10.1080/00220671.1989.10885887
3.	Caffi, C., & Janney, R. W. (1994). Toward a pragmatics of emotive communication. Journal of Pragmatics, 22(3–4), 325–373. https://doi.org/10.1016/0378-2166(94)90115-5
4.	Chaer, A., & Agustina, L. (2004). Sosiolinguistik. Jakarta: Rineka Cipta.
5.	Chiu, R. K., & Babcock, R. D. (2002). The relative importance of facial attractiveness and gender in Hong Kong selection decisions. International Journal of Human Resource Management, 13(1), 141–155. https://doi.org/10.1080/09585190110092857
6.	Dil, N. (1978). Kinesics od Affective Instability. Language Science, 1(2), 349–377. https://doi.org/10.1007/978-1-349-95810-8_1225
7.	English, S. L. (1986). Kinesics in Academic Lectures. The ESP Journal, 4, 161–170. https://doi.org/10.1016/0272-2380(85)90018-6
8.	Gabbott, M., & Hogg, G. (2000). An empirical investigation of the impact of non‐verbal communication on service evaluation. European Journal of Marketing, 34(3/4), 384–398. https://doi.org/10.1108/03090560010311911
9.	Gkorezis, P., Bellou, V., & Skemperis, N. (2015). Nonverbal communication and relational identification with the supervisor: Evidence from two countries. Management Decision, 53(5), 1005–1022. https://doi.org/10.1108/MD-11-2014-0630
10.	Gulec, S., & Temel, H. (2015). Body Language Using Skills of Teacher Candidates from Departments of Mathematics Education and Social Studies Education. Procedia - Social and Behavioral Sciences, 186, 161–168. https://doi.org/10.1016/j.sbspro.2015.04.149
11.	Hans, A., & Hans, E. (2015). Kinesics, Haptics, and Proxemics: Aspects of Non -Verbal Communication.
IOSR Journal Of Humanities And Social Science Ver. IV, 20(2), 47–52.
12.	Jolly, S. (2000). Understanding body language: Birdwhistell’s theory of kinesics. Corporate Communications: An International Journal, 5(3), 133–139. https://doi.org/10.1108/13563280010377518
13.	Jung, H. S., & Yoon, H. H. (2011). The effects of nonverbal communication of employees in the family restaurant upon customers’ emotional responses and customer satisfaction. International Journal of Hospitality Management, 30(3), 542–550. https://doi.org/10.1016/j.ijhm.2010.09.005
14.	Kaiser, F. G., Glatte, K., & Lauckner, M. (2019). How to make nonhumanoid mobile robots more likable:
 
Employing kinesic courtesy cues to promote appreciation. Applied Ergonomics, 78(April 2017), 70–75. https://doi.org/10.1016/j.apergo.2019.02.004
15.	Kliem, R. (2007). The Key to Effective Leadership. In Effective Communications for Project Management. https://doi.org/10.1201/9781420062489.ch11
16.	Mey, J. L. (2009). Concise Encyclopedia of Pragmatics. In J. L. Mey (Ed.), Pragmatics. Oxford, UK: Elsevier’s Rights Department.
17.	Rahardi, K. (2005). Pragmatik: Kesantunan Imperatif Bahasa Indonesia. Jakarta: Erlangga.
18.	Ratna, K. N. (2009). Stilistika, Kajian Puitika Bahasa, dan Budaya. Yogyakarta: Pustaka Pelajar.
19.	Rusminto, N. E. (2009). Analisis Wacana Bahasa Indonesia. Bandar Lampung: Universitas Lampung.
20.	Sugiyono. (2013). Metode Penelitian Kuantitatif dan R & D. Bandung: Alfabeta.
21.	Tarigan, H. G. (1993). Berbicara Sebagai suatu Keterampilan Berbahasa. Bandung: Angkasa.
22.	Wijana, I. D., & Rohmadi, M. (2010). Analisis Wacana Pragmatik. Kajian Teoridan Analisis. Surakarta: Yuma Pustaka.",285-293,"[{'name': {'given': 'Ardi Sumarta', 'lineage': None, 'family': 'I Wayan', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'wayanardisumarta@gmail.com'}]",,,,,,,,,,
4,SASTRA ANAK SEBAGAI SARANA PENDIDIKAN KARAKTER DI SEKOLAH,TRUE,"[{'id': 'munaris_labib@yahoo.co.id', 'name': {'given': 'Munaris', 'honourific': None, 'lineage': None, 'family': 'Munaris'}}]",article,2020-06-02 01:22:36,"[{'eprintid': 21405, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34807', 'pos': 1, 'format': 'text', 'main': '20898-48747-1-PB.pdf', 'files': [{'filename': '20898-48747-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198882', 'objectid': 34807, 'filesize': 341586, 'mtime': '2020-06-02 01:18:15', 'hash_type': 'MD5', 'hash': '371403ea4369c95720d9827d41f62e74', 'mime_type': 'application/pdf', 'fileid': 198882, 'datasetid': 'document'}], 'docid': 34807, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",77,show,2020-06-02 01:22:36,21405,archive,6,pub,public,2020-06-02 01:22:36,['FKIP14'],JURNAL KATA,disk0/00/02/14/05,2020-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21405,published,['L1'],2338-8153,Pendidikan Bahasa dan Sastra Indonesia,"Literature is an expression of one's feelings as outlined in an article or story that is interestingly packaged by the reader. Not much different from literature, children's literature is an expression of the feelings of a child which is poured into written form and enjoyed by children. The development of some children's fiction in the world will affect the development of children's fiction. in Indonesia. Children's fiction is divided into five types, namely (1) science fiction, (2) historical fiction, (3) historical fiction, (4) formula fiction, (5) fantasy stories.",8.0,1,http://jurnal.fkip.unila.ac.id/index.php/BINDO1/index,,,,,,,,,,,,,,,,,,,,,
5,English as a Foreign Language (EFL) Learners' Predominant Language Use for Online Informal Learning Activities through Smartphones in Indonesian Context,TRUE,"[{'name': {'given': 'GEDE EKA', 'honourific': None, 'lineage': None, 'family': 'PUTRAWAN'}, 'id': 'gputrawan08@gmail.com'}, {'id': 'bambangriadi.br@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Riadi', 'given': 'Bambang'}}]",article,2022-02-04 07:50:53,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 6, 'content': 'published', 'main': 'UJER43-19514394.pdf', 'docid': 160284, 'files': [{'hash': '120ce38d4770486a7d177a71c510b943', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 440155, 'uri': 'http://repository.lppm.unila.ac.id/id/file/440155', 'filename': 'UJER43-19514394.pdf', 'objectid': 160284, 'filesize': 157030, 'mtime': '2020-03-09 13:43:46', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160284', 'security': 'public', 'formatdesc': 'Artikel', 'license': 'cc_by_4', 'placement': 1, 'eprintid': 39008}, {'eprintid': 39008, 'placement': 7, 'formatdesc': 'Reviewer', 'security': 'public', 'pos': 7, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160290', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 440161, 'hash': '694a03758ead925f4fa450df14afb73b', 'mime_type': 'application/pdf', 'filesize': 1043697, 'objectid': 160290, 'filename': 'English as a Foreign Language (EFL).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/440161', 'hash_type': 'MD5', 'mtime': '2022-01-21 07:29:28'}], 'main': 'English as a Foreign Language (EFL).pdf', 'docid': 160290, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3}, {'pos': 8, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160291', 'formatdesc': 'Similaritas', 'security': 'public', 'placement': 8, 'eprintid': 39008, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mtime': '2022-02-04 03:07:54', 'hash_type': 'MD5', 'filename': ""4 English as a Foreign Language (EFL) Learners' Predominant Language Use for Online Informal Learning Activities through Smartphones in Indonesian Context (1) (1).pdf"", 'uri': 'http://repository.lppm.unila.ac.id/id/file/440163', 'objectid': 160291, 'filesize': 1316802, 'mime_type': 'application/pdf', 'hash': '21441c4e5f96dfee84aea06e9ca6db54', 'fileid': 440163, 'datasetid': 'document'}], 'main': ""4 English as a Foreign Language (EFL) Learners' Predominant Language Use for Online Informal Learning Activities through Smartphones in Indonesian Context (1) (1).pdf"", 'docid': 160291, 'format': 'text'}]",1177,show,2022-02-04 07:50:53,39008,archive,6,pub,public,2022-02-04 07:50:53,"['FKIP1', 'FKIP14']",Universal Journal of Educational Research,disk0/00/03/90/08,2020-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/39008,published,"['L1', 'LB1501', 'LC5201']",2332-3213,Horizon Research Publishing,"In recent years, researchers have become increasingly interested in mobile-assisted language learning (MALL) studies for online informal learning of English as a foreign language (EFL). Smartphones, and other mobile devices, have been used as a powerful tool in informal contexts of learning since that form of technology can help students engage in out-of-class language learning experiences. However, to our knowledge, no research on EFL learners' predominant language use for their online informal learning activities has been conducted in Indonesian context. Therefore, this study attempted to investigate EFL learners' predominant language use for their online informal learning of English through smartphones, in which the data collected were quantitatively analyzed through descriptive statistics. The results indicate that EFL learners predominantly perform their online informal learning activities in Indonesian, in English, and in both Indonesian and English. Finally, suggestions and recommendations for future research are also discussed.",8.0,2,http://www.hrpub.org/download/20200130/UJER43-19514394.pdf,695-699,,,,"[{'type': 'pub', 'url': 'http://www.hrpub.org/journals/article_info.php?aid=8826'}]",,,,,DOI: 10.13189/ujer.2020.080243,,38202.0,,,,,,,,,
6,"TINDAK ILOKUSI EKSPRESIF DALAM IKLAN MAKANAN DI
TELEVISI",TRUE,"[{'id': 'rian.andri@fkip.unila.ac.id', 'name': {'given': 'Rian Andri', 'honourific': None, 'family': 'Prasetya', 'lineage': None}}, {'name': {'family': 'Prayogi', 'lineage': None, 'honourific': None, 'given': 'Rahmat'}, 'id': 'rahmat.prayogi@fkip.unila.ac.id'}, {'id': 'bambangriadi.br@gmail.com', 'name': {'given': 'Bambang', 'lineage': None, 'family': 'Riadi', 'honourific': None}}]",article,2020-05-30 07:29:13,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'format': 'text', 'docid': 34543, 'main': '20893-48652-1-PB.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '2cf42434c3da802b9150fe54e1cbdeb6', 'datasetid': 'document', 'fileid': 197129, 'mtime': '2020-05-30 06:38:11', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197129', 'filename': '20893-48652-1-PB.pdf', 'objectid': 34543, 'filesize': 206946}], 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34543', 'eprintid': 21135, 'placement': 2}]",3012,show,2020-05-30 07:29:13,21135,archive,13,pub,public,2020-05-30 07:29:13,['FKIP14'],JURNAL KATA,disk0/00/02/11/35,2020-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21135,published,['PK'],2338-8153,Pendidikan Bahasa dan Sastra Indonesia,"Strategi produsen dalam menarik minat konsumen melalui iklan televisi saat ini
sangat beragam. Pemanfaatan bahasa dalam iklan tersebut menjadi salah satu
strateginya. Salah satu ragam bahasa yang diguanakan adalah ragam bahasa yang
bersifat ekspresif. Penelitian ini bertujuan untuk mendeskripsikan tindak ilokusi
ekspresif yang terdapat dalam iklan makanan di televisi. Metode yang digunakan
dalam penelitian ini adalah deskriptif kualitatif. Sumber data dalam penelitain ini
adalah iklan makanan cepat saji yang tayang di televisi. Hasil penelitian
menunjukkan bahwa tindak ilokusi ekspresif yang digunakan berfungsi secara
komunikatif dalam bentuk mengagumi, merasa bangga, mengeluh, merasa
kecewa, merasa bahagia, merasa rindu, merasa malu.
Kata kunci: tindak ilokusi, ekspresif, iklan, televisi",8.0,1,http://jurnal.fkip.unila.ac.id/index.php/BINDO1/index,,,,,,,,,,,,,,,,,,,,,
7,ANALISIS WACANA KRITIS KORUPSI MELALUI LITERASI MEDIA,TRUE,"[{'id': 'rahmat.prayogi@fkip.unila.ac.id', 'name': {'family': 'Prayogi', 'lineage': None, 'honourific': None, 'given': 'Rahmat'}}]",book,2020-05-22 02:50:06,"[{'language': 'en', 'mime_type': 'text/html', 'rev_number': 3, 'content': 'published', 'main': 'view', 'docid': 33551, 'files': [{'hash': '9884a5f6f8906949315c1f7809454647', 'mime_type': 'text/html', 'fileid': 190583, 'datasetid': 'document', 'mtime': '2020-05-20 05:19:45', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/190583', 'filename': 'view', 'objectid': 33551, 'filesize': 71457}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33551', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 20213}]",3013,show,2020-05-22 02:50:06,20213,archive,9,pub,public,2020-05-22 02:50:06,['FKIP14'],,disk0/00/02/02/13,2020-01-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20213,published,['L1'],,FKIP Universitas Lampung,"Media masa merupakan bagian dari ruang publik yang tidak dapat dilihat sebagai alat hegemoni yang bersifat pasif semata. Wacana yang dikonstruksikan oleh wartawan majalah Tempo melalui Indonesiana tidak sepenuhnya netral atau alami melaporkan berita tentang korupsi, dan pelangggaran pelanggaran hukum. Akan tetapi, telah dipengaruh oleh ide-ide atau sudut pandang penulis teks (wartawan) dalam
menyingkapi peristiwa yang dikonstruksikan di dalam
pemberitaannya. Tulisan ini memiliki tujuan untuk
menunjukkan bagaimana alat-alat analisis teks model
Fairclough bekerja dalam membedah teks-teks media yang dianggap meragukan.",,,http://semnaspend.fkip.unila.ac.id/,,,,,"[{'url': 'https://drive.google.com/file/d/1Lhc4O1XNRh4Ee7pWpU8auQ5vZCWVIKni/view', 'type': 'author'}]",,,,,,"[{'id': 'rahmat.prayogi@fkip.unila.ac.id', 'name': {'given': 'Rahmat', 'family': 'Prayogi', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,2716-053X,Lampung,1.0,PROSIDING SEMINAR FKIP,,,,,
8,Analisis Wacana Kritis Korupsi Melalui Literasi Media,TRUE,"[{'id': 'rahmat.prayogi@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Prayogi', 'honourific': None, 'given': 'Rahmat'}}]",conference_item,2020-05-22 02:48:00,"[{'format': 'text', 'main': 'PROSIDING SEMNAS FKIP 2020_Lengkap_removed.pdf', 'docid': 33557, 'files': [{'mtime': '2020-05-20 06:00:08', 'hash_type': 'MD5', 'filename': 'PROSIDING SEMNAS FKIP 2020_Lengkap_removed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/190619', 'objectid': 33557, 'filesize': 1188111, 'mime_type': 'application/pdf', 'hash': '310096ec764dd7b5254e5c0ea8db7ad2', 'fileid': 190619, 'datasetid': 'document'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 20217, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33557'}]",3013,show,2020-05-22 02:48:00,20217,archive,7,pub,public,2020-05-22 02:48:00,['FKIP14'],,disk0/00/02/02/17,2020-01-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20217,published,['L1'],,,"Media masa merupakan bagian dari ruang publik yang tidak dapat dilihat sebagai alat hegemoni yang bersifat pasif semata. Wacana yang dikonstruksikan oleh wartawan majalah
Tempo melalui Indonesiana tidak sepenuhnya netral atau alami melaporkan berita tentang korupsi, dan pelangggaran-pelanggaran hukum. Akan tetapi, telah dipengaruh oleh ide-ide atau sudut pandang penulis teks (wartawan) dalam menyingkapi peristiwa yang dikonstruksikan di dalam pemberitaannya. Tulisan ini memiliki tujuan untuk menunjukkan bagaimana alat-alat analisis teks model Fairclough bekerja dalam membedah teks-teks media yang dianggap meragukan.",,,,,,,,,,,,,,,,,,,,SEMINAR NASIONAL PENDIDIKAN FKIP UNILA 2020,conference,16 JANUARI 2020,paper,LAMPUNG
9,CITRA WANITA DALAM NOVEL GADIS KRETEK KARYA RATIH KUMALA,FALSE,"[{'id': 'rahmat.prayogi@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Prayogi', 'given': 'Rahmat'}}]",article,2020-05-22 01:51:03,"[{'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'format': 'text', 'main': 'Artikel terbitan April.pdf', 'files': [{'mtime': '2020-05-20 08:33:23', 'hash_type': 'MD5', 'filename': 'Artikel terbitan April.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/190731', 'filesize': 196188, 'objectid': 33574, 'mime_type': 'application/pdf', 'hash': 'd7e82d495eb7782108417bb928c65343', 'datasetid': 'document', 'fileid': 190731}], 'docid': 33574, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33574', 'eprintid': 20239, 'placement': 1}]",3013,show,2020-05-22 01:51:03,20239,archive,10,pub,public,2020-05-22 01:51:03,['FKIP14'],"KATA (Bahasa, Sastra, dan Pembelajarannya)",disk0/00/02/02/39,2020-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20239,published,['L1'],,,This study aims to describe the image of the main female character in Ratih Kumala's Girls' Kretek novel as an alternative learning material in high school. The method used in this research is descriptive qualitative method. The use of descriptive methods in this research is to describe the image of women in the novel by Ratih Kumala Gadis Kretek. The image of women found is the image of women in the family and the image of women in society.,8.0,1,,1-6,,,,,,,,,,,,,,,,,,,,
