,ispublished,rev_number,full_text_status,issn,status_changed,divisions,publisher,publication,dir,date,uri,abstract,volume,date_type,subjects,title,refereed,creators,type,official_url,lastmod,documents,userid,number,metadata_visibility,pagerange,datestamp,id_number,eprint_status,eprintid,succeeds,related_url,pres_type,event_type,event_title,corp_creators,patent_applicant
0,pub,5,public,1799-2591,2020-07-22 01:16:12,['FKIP14'],Academy Publication,Theory and Practice in Language Studies,disk0/00/02/32/88,2018-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23288,"Gender as an individual characteristic has been proved to affect the use of strategies in learning a foreign language but how gender affects the use of strategies in learning a local language where the people in the community speak an national language is not explored yet.   Some studies show that female students employed language learning strategies more often than male students (Oxford & Nyikos, 1989; Awang Hashim & Syed Sahil, 1994;  Green and Oxford, 1995; Dreyer & Oxford, 1999). The present study was aimed to identify how gender affects the use of strategies in learning a local language in the environment where people in the country have a national language. A Non–probability sampling was used to collect data. With the Cronbach Alphas ranging from .79 to 82, mean scores of the use of language learning strategies the male and female students reported using were compared. In the present study it was found that metacognitive strategies were the strategies mostly used by female students and cognitive strategeis were the strategies mostly used by male students. This means that male students are likely to be more dependent on memorization than female students. Cognitive strategies which are characterized at least with memorization or rote learning in the present study tend to be used by male students.",Vol. 8,published,['LB2300'],LANGUAGE LEARNING STRATEGIES BASED ON GENDER,TRUE,"[{'id': 'dulifarida@gmail.com', 'name': {'lineage': None, 'family': 'Ariyani', 'honourific': None, 'given': 'Farida'}}, {'id': '.', 'name': {'honourific': None, 'family': 'Rusminto', 'lineage': None, 'given': 'N E'}}, {'name': {'honourific': None, 'family': 'Setiyadi', 'lineage': None, 'given': 'Ag. Bambang'}, 'id': 'bambang_setiyadi76@yahoo.co.id'}]",article,http://www.academypublication.com/tpls/,2020-07-22 01:16:12,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36859', 'pos': 1, 'eprintid': 23288, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 213142, 'hash': 'aac0994dbda871c0550ffd18fd74604f', 'mime_type': 'application/pdf', 'objectid': 36859, 'filesize': 690308, 'filename': 'artikel.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/213142', 'hash_type': 'MD5', 'mtime': '2020-07-21 09:45:18'}], 'main': 'artikel.pdf', 'docid': 36859}, {'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36860', 'eprintid': 23288, 'placement': 2, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'similarity index -LANGUAGE LEARNING STRATEGIES BASED ON GENDER.docx', 'files': [{'fileid': 213145, 'datasetid': 'document', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'ef57b26430c13a8d89c040b35311aa97', 'hash_type': 'MD5', 'mtime': '2020-07-21 09:46:16', 'objectid': 36860, 'filesize': 7263860, 'filename': 'similarity index -LANGUAGE LEARNING STRATEGIES BASED ON GENDER.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/213145'}], 'docid': 36860}]",1088,No. 1,show,1524- 1529,2020-07-22 01:16:12,doi.org/10.17507/tpls.0811.19,archive,23288,,,,,,,
1,pub,7,public,1799-2591,2020-11-22 11:40:06,['FKIP14'],Academy Publication,Theory and Practice in Language Studies,disk0/00/02/66/10,2018-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26610,"Gender as an individual characteristic has been proved to affect the use of strategies in learning a foreign language but how gender affects the use of strategies in learning a local language where the people in the community speak an national language is not explored yet.   Some studies show that female students employed language learning strategies more often than male students (Oxford & Nyikos, 1989; Awang Hashim & Syed Sahil, 1994;  Green and Oxford, 1995; Dreyer & Oxford, 1999). The present study was aimed to identify how gender affects the use of strategies in learning a local language in the environment where people in the country have a national language. A Non–probability sampling was used to collect data. With the Cronbach Alphas ranging from .79 to 82, mean scores of the use of language learning strategies the male and female students reported using were compared. In the present study it was found that metacognitive strategies were the strategies mostly used by female students and cognitive strategeis were the strategies mostly used by male students. This means that male students are likely to be more dependent on memorization than female students. Cognitive strategies which are characterized at least with memorization or rote learning in the present study tend to be used by male students.",Vol. 8,published,['LB2300'],LANGUAGE LEARNING STRATEGIES BASED ON GENDER,TRUE,"[{'name': {'given': 'Farida', 'lineage': None, 'family': 'Ariyani', 'honourific': None}, 'id': 'dulifarida@gmail.com'}, {'id': '.', 'name': {'family': 'Rusminto', 'lineage': None, 'honourific': None, 'given': 'N E'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Setiyadi', 'given': 'Ag. Bambang'}, 'id': 'bambang_setiyadi76@yahoo.co.id'}]",article,http://www.academypublication.com/tpls/,2020-11-22 11:40:06,"[{'placement': 2, 'eprintid': 26610, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40555', 'pos': 2, 'security': 'public', 'main': '9. article-Language Learning Strategies Based On Gender.pdf', 'files': [{'filename': '9. article-Language Learning Strategies Based On Gender.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239201', 'filesize': 645405, 'objectid': 40555, 'mtime': '2020-11-22 07:57:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '5f45d98291f3563fa6fa5f758e4fab61', 'fileid': 239201, 'datasetid': 'document'}], 'docid': 40555, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}, {'security': 'public', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40556', 'eprintid': 26610, 'placement': 3, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 40556, 'main': '9. Review-LANGUAGE LEARNING STRATEGIES BASED ON GENDER.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'a30433c4e07bae94874a40b603559d85', 'datasetid': 'document', 'fileid': 239203, 'mtime': '2020-11-22 07:57:41', 'hash_type': 'MD5', 'filename': '9. Review-LANGUAGE LEARNING STRATEGIES BASED ON GENDER.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239203', 'filesize': 698610, 'objectid': 40556}]}, {'eprintid': 26610, 'placement': 4, 'security': 'public', 'pos': 4, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40557', 'format': 'text', 'docid': 40557, 'main': '9. similarity index- LANGUAGE LEARNING STRATEGIES BASED ON GENDER.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/239205', 'filename': '9. similarity index- LANGUAGE LEARNING STRATEGIES BASED ON GENDER.pdf', 'objectid': 40557, 'filesize': 1786241, 'mtime': '2020-11-22 07:57:56', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '6db533ac6b3715f5c6918ba6e14a81c0', 'datasetid': 'document', 'fileid': 239205}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",1088,No. 1,show,1524- 1529,2020-11-22 11:40:06,doi.org/10.17507/tpls.0811.19,archive,26610,10460.0,,,,,,
2,pub,8,public,2338-8153,2022-12-20 08:40:24,['FKIP14'],Pendidikan Bahasa dan Sastra Indonesia,JURNAL KATA,disk0/00/04/73/40,2018-05-21 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47340,"Masalah dalam penelitian ini adalah kesantunan imperatif oleh guru bahasa Indonesia dalam pembelajaran di kelas VII SMPN 1 Bandar Lampung tahun pelajaran 2017/2018.
Penelitian bertujuan untuk mendeskripsikan kesantunan linguistik dan kesantunan pragmatik imperatif yang digunakan guru bahasa Indonesia dalam pembelajaran di kelas VII SMPN 1 Bandar Lampung tahun pelajaran 2017/2018. Penelitian ini menggunakan metode deskriptif kualitatif. Analisis data dilakukan dengan analisis heuristik. Hasil penelitian menunjukkan bahwa guru menggunakan bentuk kesantunan linguistik imperatif dan kesantunan pragmatik imperatif. Kesantunan linguistik ditandai dengan ungkapan penanda kesantunan tolong, silakan, ayo, coba dan harap, sedangkan
kesantunan pragmatik sebagai ekspresi berbagai tindak tutur dengan dua bentuk tuturan, yaitu tuturan deklaratif dan tuturan interogatif. Tuturan deklaratif dapat dibedakan
menjadi makna imperatif suruhan, ajakan, persilaan, dan larangan, sedangkan tuturan interogatif dapat dibedakan menjadi makna imperatif perintah, ajakan, dan larangan.",6,published,['L1'],KESANTUNAN IMPERATIF GURU BAHASA INDONESIA DALAM PEMBELAJARAN DI KELAS VII SMP,FALSE,"[{'name': {'given': 'Desi', 'lineage': None, 'family': 'Desi Septiani', 'honourific': None}, 'id': None}, {'id': 'gragemarti@yahoo.co.id', 'name': {'given': 'Sumarti', 'honourific': None, 'lineage': None, 'family': 'Sumarti'}}, {'name': {'given': 'Nurlaksana eko', 'family': 'Nurlaksana eko', 'lineage': None, 'honourific': None}, 'id': None}]",article,http://jurnal.fkip.unila.ac.id/index.php /BINDO1/article/view/15418/11262,2022-12-20 08:40:24,"[{'main': '15418-34522-1-PB.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '6a083c69e462264965e096b8c0dc714e', 'fileid': 519541, 'datasetid': 'document', 'filename': '15418-34522-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/519541', 'filesize': 300332, 'objectid': 186365, 'mtime': '2022-12-20 03:21:24', 'hash_type': 'MD5'}], 'docid': 186365, 'format': 'text', 'language': 'id', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'placement': 1, 'eprintid': 47340, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186365', 'pos': 1, 'security': 'public', 'formatdesc': 'Artikel'}, {'language': 'id', 'rev_number': 2, 'mime_type': 'application/pdf', 'main': 'Uji Turnitin_KESANTUNAN IMPERATIF GURU BAHASA INDONESIA  DALAM PEMBELAJARAN DI KELAS VII SMP.pdf', 'docid': 186366, 'files': [{'hash_type': 'MD5', 'mtime': '2022-12-20 03:21:51', 'objectid': 186366, 'filesize': 2759315, 'filename': 'Uji Turnitin_KESANTUNAN IMPERATIF GURU BAHASA INDONESIA  DALAM PEMBELAJARAN DI KELAS VII SMP.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/519543', 'datasetid': 'document', 'fileid': 519543, 'hash': '7eeb43dcc2d1fcd1af0b3dbef5beb5aa', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186366', 'pos': 2, 'formatdesc': 'Uji Turnitin', 'security': 'public', 'placement': 2, 'eprintid': 47340}]",709,3,show,1-12,2022-12-20 08:40:24,http://dx.doi.org/10.23960/Kata,archive,47340,,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php /BINDO1/article/view/15418/11262', 'type': 'pub'}]",,,,,
3,pub,7,public,,2019-01-02 08:01:19,['FKIP14'],,,disk0/00/01/04/44,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/10444,"Masalah dalam kegiatan ini adalah (1) mengkaji ulang pengertian hakikat pembelajaran bahasa Indonesia, kurikulum,
komponen-komponen pembelajaran dan terkhususkan model-model pembelajaran bahasa Indonesia; (2) mempertegas
tujuan materi komponen pembelajaran bahasa Indonesia; (3) melakukan penganalisisan terhadap tahapan kegiatan
pembelajaran bahasa Indonesia yang berbasis high order thinking skills (hots). dan (4)mempraktikkan penerapan
komponen pembelajaran bahasa Indonesia berbasis high order thinking skills (hots). Setelah berakhirnya kegiatan
pelatihan, para guru bahasa diharapkan dapat menginformasikan hakikat pembelajaran, kurikulum, komponenkomponen
pembelajaran dan terkhususkan model-model pembelajaran; merincikan tujuan materi komponen
pembelajaran pada model-model pembelajaran; menentukan langkah-langkah penganalisisan terhadap kegiatan
pembelajaran yang berbasis high order thinking skills (hots);mengaplikasikan komponen pembelajaran komponen
pembelajaran pada berbasis high order thingking skilss (hots). Hasil dari kegiatan ini adalah para guru dapat
menunjukkan pemahaman tentang hakikat pembelajaran yang berbasis high order thingking skilss (hots) yang
diaktualisasikan dalam penyusunan komponen pembelajaran pada RPP (Rencana Program Pembelajaran).
Kata Kunci: pembelajaran bahasa Indonesia, HOTS",,published,['L1'],"PELATIHAN PENGEMBANGAN KEGIATAN PEMBELAJARAN
BAHASA INDONESIA BERBASIS HIGHER ORDER THINGKING SKILSS
(HOTS) BAGI GURU-GURU DI KABUPATEN PRINGSEWU",TRUE,"[{'name': {'given': 'Sofia Agustina', 'honourific': None, 'lineage': None, 'family': 'Eka'}, 'id': 'ekasupono@gmail.com'}, {'id': '.', 'name': {'given': 'N E', 'family': 'Rusminto', 'lineage': None, 'honourific': None}}, {'id': 'iing_sunarti@yahoo.com', 'name': {'family': 'Sunarti', 'lineage': None, 'honourific': None, 'given': 'Iing'}}, {'name': {'given': 'Sumarti', 'family': 'Sumarti', 'lineage': None, 'honourific': None}, 'id': 'gragemarti@yahoo.co.id'}]",conference_item,,2019-01-02 08:01:19,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23463', 'security': 'public', 'placement': 1, 'eprintid': 10444, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Abstrak Seminar PKM 2018.pdf', 'files': [{'datasetid': 'document', 'fileid': 97053, 'mime_type': 'application/pdf', 'hash': 'e10a0228b016bf45f1f809acef4e5429', 'hash_type': 'MD5', 'mtime': '2018-11-28 08:16:32', 'objectid': 23463, 'filesize': 2398369, 'filename': 'Abstrak Seminar PKM 2018.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/97053'}], 'docid': 23463, 'format': 'text'}]",97,,show,70-70,2019-01-02 08:01:19,,archive,10444,,,paper,conference,Kumpulan abstrak Seminar Nasional Hasil-Hasil Pengabdian Kepada Masyarakat 2018,['Universitas Lampung'],
4,pub,9,public,,2019-04-09 02:28:43,['FKIP14'],,,disk0/00/01/08/98,2018-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10898,"Abstract — This English speaking training through mind mapping plays an important role in order to provide
insight and knowledge and sharpen the courage of high school students to speak in English. This community
service was aimed at making students of SMAN 1 Kotagajah improve their English speaking skill and have the
courage to speak in English. The procedures for dealing with the training included a pre-test, discussion on
theories, practices, and a post-test as an instrument which was used to look at if there was a difference before
and after the training was conducted. The results showed that there was a difference in the results of students’
speaking comprehension and courage before and after the training was conducted. The pre-test result showed
that they were afraid, nervous, and unconfident when speaking in English (76.5%), and the rest (23.5%) were
not. Besides that, only 19.1% of the participants had heard the term mind map, and the rest (80.9%) had never
heard the term. Meanwhile, the post-test result showed that 54.4% of the participants stated that they were still
afraid and unconfident in speaking English, and the rest (45.6%) stated otherwise. Besides that, 97.1% knew
the term mind map and stated that learning using mind map was very interesting (39.7%) and interesting
(58.8%). After practicing or simulating speaking English using mind map, they stated that the mind map made
them more courageous and confident in speaking English (94.1%). Thus, it can be said that learning to speak
English using mind map can increase students' courage and confidence in speaking English even though there
are still many grammatical errors. However, through this training the participants can, at least, use English as a
means of communication and convey messages properly.
Keywords— English, high school students, mind mapping, speaking, training",,,['L1'],"Pelatihan Keterampilan Speaking Bahasa Inggris Menggunakan Mind Mapping
bagi Siswa SMAN 1 Kotagajah.",TRUE,"[{'name': {'given': 'G.', 'honourific': None, 'lineage': None, 'family': 'Eka Putrawan'}, 'id': 'gputrawan08@gmail.com'}, {'id': 'bambangriadi.br@gmail.com', 'name': {'family': 'Riadi', 'lineage': None, 'honourific': None, 'given': 'Bambang'}}, {'name': {'lineage': None, 'family': 'Albet Maydiantoro', 'honourific': None, 'given': 'Albet'}, 'id': 'albet.maydiantoro@fkip.unila.ac.id'}, {'id': 'riyanhidayat28@gmail.com', 'name': {'honourific': None, 'family': 'Hidayatullah', 'lineage': None, 'given': 'Riyan'}}]",conference_item,,2019-04-09 02:28:43,"[{'eprintid': 10898, 'placement': 1, 'formatdesc': 'Prodising Hasil PKM 2018', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23907', 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2019-03-10 14:21:08', 'filesize': 137312, 'objectid': 23907, 'filename': 'view', 'uri': 'http://repository.lppm.unila.ac.id/id/file/100193', 'datasetid': 'document', 'fileid': 100193, 'hash': '5d3ea6b6f28eed6d67a70b32e2a5c155', 'mime_type': 'text/html'}], 'main': 'view', 'docid': 23907, 'rev_number': 3, 'language': 'en', 'mime_type': 'text/html'}]",1136,,show,,2019-04-09 02:28:43,,archive,10898,,,paper,other,Seminar hasil-hasil pengabdian 2018,,
5,pub,7,public,,2022-01-28 01:15:16,['FKIP14'],IOSR Journal of Research & Method in Education (IOSR-JRME),,disk0/00/03/85/52,2018-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/38552,"The research is based on the finding of problems in the learning of procedural texts in class VII of
Junior High School of state 07 Metro city ((SMP Negeri 07 Kota Metro) is the students have not achieved the
learning objectives in accordance with the basic competencies of learning to write the prescribed procedure
text. In accordance with the problems, the research were formulated purposes of the research are : 1)
Characteristics of student worksheet (LKPD) of writing procedure text based mind map, 2) Feasibility of
student worksheet (LKPD) of writing procedure text based mind map, and 3). Effectiveness of student
worksheet (LKPD) of writing procedure text based mind map. This research using Research and Development
(R & D) method. The research instrument used was the Likert scale, and also a questionnaire that was arranged
based of procedure text theory.. The research subject consisted of material experts, media experts, and
practitioners and students. Analysis of the feasibility test data using descriptive quantitative analysis and Ngain. The results showed that: 1) the characteristics of the LKPD characteristics of writing a mind map-based
procedure text that is a design that has an attractive color combination, material or content using mind
mapping further enhances the ability to think systematically, structurally, and creatively, as well as the tasks
and activities of students in of student worksheet (LKPD) of writing procedure text based mind map compiled
by paying attention to the level of difficulty, 2) the characteristics of student worksheet (LKPD) of writing
procedure text based mind map has very good feasibility in terms of design / graphics, language, and content,
3) of student worksheet (LKPD) of writing procedure text based mind map has effectiveness in the medium or
sufficient category. This can be seen from the statistical analysis of the average N- (gain). In total or the overall
average value of N- (gain) obtained from the effectiveness test on a large scale is 0.39 and is in the sufficient
category. The conclusion of the value of effectiveness is also supported by the difference in pre-test and post-test
average values, namely at the time of pretest of 77 and at posttest of 86, thus increasing the score by 9",,published,"['L1', 'LB1501', 'LC5201']","The Development Student Worksheet (Lkpd) Of Writting
Procedure Text Based Mind MAPP For Junior High School",,"[{'id': None, 'name': {'lineage': None, 'family': 'Erma', 'honourific': None, 'given': 'Noverda'}}, {'name': {'lineage': None, 'family': 'Sumarti', 'honourific': None, 'given': 'Sumarti'}, 'id': 'gragemarti@yahoo.co.id'}, {'id': 'samhati.siti@gmail.com', 'name': {'lineage': None, 'family': 'Samhati', 'honourific': None, 'given': 'Siti'}}]",other,https://iosrjournals.org/iosr-jrme/papers/Vol-8%20Issue-5/Version-5/A0805050109.pdf,2022-01-28 01:15:16,"[{'eprintid': 38552, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159659', 'pos': 1, 'format': 'text', 'docid': 159659, 'main': 'Jurn.Internasional The Development.pdf', 'files': [{'datasetid': 'document', 'fileid': 436422, 'mime_type': 'application/pdf', 'hash': '55c5a4e85ad91109d5975483dd7a12c1', 'hash_type': 'MD5', 'mtime': '2022-01-25 13:18:21', 'objectid': 159659, 'filesize': 1774611, 'filename': 'Jurn.Internasional The Development.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/436422'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2}]",538,,show,,2022-01-28 01:15:16,,archive,38552,38339.0,,,,,,
6,pub,8,public,2338-8153,2022-12-20 08:40:29,['FKIP14'],Pendidikan Bahasa dan Sastra Indonesia,JURNAL KATA,disk0/00/04/73/43,2018-09-04 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47343,"Penelitian ini bertujuan untuk mendeskripsikan ragam bahasa dalam acara talk show Mata Najwa periode Januari 2017 dan mengetahui implikasinya dalam pembelajaran Bahasa Indonesia di SMA. Penelitian ini menggunakan desain deskriptif kualitaf. Sumber data pada penelitian ini adalah percakapan pembawa acara dan bintang tamu dalam acara tersebut, datanya adalah percakapan yang mengandung ragam bahasa antara pembawa acara dan bintang tamu. Berdasarkan hasil analisis data ditemukan ragam bahasa dalam acara talk show Mata Najwa periode Januari 2017 berdasarkan empat segi adalah sebagai berikut (1) segi penutur meliputi dialek, kolokial, jargon (2) segi pemakaian termasuk dalam ragam jurnalistik (3) segi keformalan formal, usaha, santai (4) segi sarana termasuk dalam ragam lisan. Hasil penelitian ini diimplikasikan
dalam pembelajaran bahasa Indonesia KD 3.13 dan 4.13 tentang mengembangkan permasalahan/isu dari berbagai sudut pandang yang dilengkapi argumen dalam berdebat untuk SMA kelas X semester genap.",6,published,['L1'],Ragam Bahasa dalam Acara Talk Show Mata Najwa Periode Januari 2017 dan Implikasinya dalam Pembelajaran Bahasa Indonesia di SMA,FALSE,"[{'name': {'honourific': None, 'family': 'Miko Hidayat', 'lineage': None, 'given': 'Miko'}, 'id': None}, {'name': {'given': 'Nurlaksana eko', 'honourific': None, 'lineage': None, 'family': 'Nurlaksana eko'}, 'id': None}, {'name': {'honourific': None, 'family': 'MULYANTO WIDODO', 'lineage': None, 'given': 'MULYANTO W'}, 'id': 'mulyanto.widodo@gmail.com'}]",article,http://jurnal.fkip.unila.ac.id/index.php/BINDO1/article/view/16580/11893,2022-12-20 08:40:29,"[{'format': 'text', 'main': '16580-37258-1-PB.pdf', 'docid': 186368, 'files': [{'fileid': 519558, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9e5171a14db5995f38ce3d50f8b29912', 'hash_type': 'MD5', 'mtime': '2022-12-20 03:30:50', 'filesize': 260515, 'objectid': 186368, 'uri': 'http://repository.lppm.unila.ac.id/id/file/519558', 'filename': '16580-37258-1-PB.pdf'}], 'content': 'published', 'rev_number': 2, 'language': 'id', 'mime_type': 'application/pdf', 'eprintid': 47343, 'placement': 1, 'formatdesc': 'Artikel', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186368'}, {'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 2, 'main': 'Uji Turnitin_Ragam Bahasa dalam Acara Talk Show Mata Najwa Periode Januari 2017 danImplikasinya dalam Pembelajaran Bahasa Indonesia di SMA.pdf', 'docid': 186370, 'files': [{'hash': '117697b57f195d2274496db701902437', 'mime_type': 'application/pdf', 'fileid': 519562, 'datasetid': 'document', 'mtime': '2022-12-20 03:31:19', 'hash_type': 'MD5', 'filename': 'Uji Turnitin_Ragam Bahasa dalam Acara Talk Show Mata Najwa Periode Januari 2017 danImplikasinya dalam Pembelajaran Bahasa Indonesia di SMA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/519562', 'objectid': 186370, 'filesize': 1969857}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186370', 'pos': 2, 'security': 'public', 'formatdesc': 'Uji Turnitin', 'placement': 2, 'eprintid': 47343}]",709,4,show,1-8,2022-12-20 08:40:29,http://dx.doi.org/10.23960/Kata,archive,47343,,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/BINDO1/article/view/16580/11893'}]",,,,,
7,pub,14,public,1411-20151,2019-04-08 02:39:04,['FKIP14'],Jurusan Pendidikan Bahasa dan Seni FKIP Universitas Lampung,AKSARA,disk0/00/01/08/69,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/10869,"The purpose of this study is to describe the understanding of high school Indonesian teachers in Mesuji District towards the revised edition 2013 curriculum. The method used in this research is descriptive evaluative. The results of questionnaires from 27 respondents indicate that teachers 'understanding of Permendikbud in 2016 number 20 with Good category dominates by almost 50%, teachers' understanding of Permendikbud in 2016 number 21 with Good and Simple dominate by 50% at Permendikbud 2016 number 22 with the category of Good dominate with the amount more than 50%, then the teacher's understanding of Permendikbud year 2016 number 23 with Good category dominate with amount more than 50%. The results can be concluded that the level of understanding of high school Indonesian language teacher in Mesuji District to the curriculum 2013 edition of the revision has been qualified.",19,,['L1'],Pemahaman Guru Bahasa Indonesia SMA di Kabupaten Mesuji terhadap Kurikulum 2013 Edisi Revisi,TRUE,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Munaris', 'given': 'Munaris'}, 'id': 'munaris_labib@yahoo.co.id'}, {'name': {'given': 'Bambang', 'honourific': None, 'family': 'Riadi', 'lineage': None}, 'id': 'bambangriadi.br@gmail.com'}]",article,http://jurnal.fkip.unila.ac.id,2019-04-08 02:39:04,"[{'format': 'text', 'main': 'Kurtilas.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-03-01 09:53:42', 'filesize': 117410, 'objectid': 23879, 'filename': 'Kurtilas.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/100008', 'datasetid': 'document', 'fileid': 100008, 'hash': '0db3b6d1e05ac2ae0c6acdcc8b3727a9', 'mime_type': 'application/pdf'}], 'docid': 23879, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 10869, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23879'}]",1189,1,show,,2019-04-08 02:39:04,,archive,10869,,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/aksara'}],,,,,
8,pub,7,public,,2019-03-26 01:12:37,['FKIP14'],,,disk0/00/01/09/83,2018-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10983,,,submitted,['PL'],Surat Pencatatan Ciptaan,,"[{'name': {'honourific': None, 'family': 'Nazaruddin', 'lineage': None, 'given': 'Kahfie'}, 'id': 'kahfienazaruddin@gmail.com'}]",patent,,2019-03-26 01:12:37,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 23982, 'main': 'sertifikat_EC00201826132.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-03-22 03:12:56', 'objectid': 23982, 'filesize': 768680, 'uri': 'http://repository.lppm.unila.ac.id/id/file/100688', 'filename': 'sertifikat_EC00201826132.pdf', 'datasetid': 'document', 'fileid': 100688, 'mime_type': 'application/pdf', 'hash': '25a149404a8e315c02a41451f83b09b1'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23982', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 10983}]",346,,show,,2019-03-26 01:12:37,116239,archive,10983,,,,,,,Lembaga Penelitian dan Pengabdian Kepada Masyarakat Universitas Lampung
9,pub,8,public,,2019-03-26 01:12:47,['FKIP14'],,,disk0/00/01/09/82,2018-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10982,,,submitted,['PL'],Surat Pencatatan Ciptaan,,"[{'id': 'kahfienazaruddin@gmail.com', 'name': {'given': 'Kahfie', 'honourific': None, 'family': 'Nazaruddin', 'lineage': None}}]",patent,,2019-03-26 01:12:47,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23981', 'pos': 1, 'eprintid': 10982, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 2, 'format': 'text', 'main': 'sertifikat_EC00201826132.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/100684', 'filename': 'sertifikat_EC00201826132.pdf', 'filesize': 768680, 'objectid': 23981, 'mtime': '2019-03-22 02:42:04', 'hash_type': 'MD5', 'hash': '25a149404a8e315c02a41451f83b09b1', 'mime_type': 'application/pdf', 'fileid': 100684, 'datasetid': 'document'}], 'docid': 23981}]",346,,show,,2019-03-26 01:12:47,EC00201826132,archive,10982,,,,,,,Lembaga Penelitian dan Pengabdian Kepada Masyarakat Universitas Lampung
