,type,creators,title,userid,lastmod,documents,datestamp,eprint_status,eprintid,metadata_visibility,full_text_status,status_changed,rev_number,ispublished,divisions,publisher,dir,date,uri,subjects,refereed,contact_email,pagerange,number,publication,issn,abstract,volume,date_type,event_title,event_type,pres_type,event_dates,event_location,related_url,id_number,official_url,keywords,referencetext,succeeds,contributors
0,other,"[{'name': {'family': 'Diawati', 'lineage': None, 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}]","Cek Similarity/Originality, Laboratory Practice and ist Contribution in Contructing Higher Order Thinking Skills: A Case Study in Basic Chemistry Course",958,2021-06-08 02:53:10,"[{'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'f693320ac6d9c774aa7863a351b17f23', 'datasetid': 'document', 'fileid': 381769, 'filename': 'Laboratory Practice and its Contribution in Constructing Higher-Order Thinking Skills A Case Study in Basic Chemistry Course.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/381769', 'filesize': 1109630, 'objectid': 146276, 'mtime': '2021-06-08 01:45:11', 'hash_type': 'MD5'}], 'main': 'Laboratory Practice and its Contribution in Constructing Higher-Order Thinking Skills A Case Study in Basic Chemistry Course.pdf', 'docid': 146276, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'eprintid': 32259, 'placement': 1, 'security': 'public', 'formatdesc': 'Cek Similarity/Originality', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146276'}]",2021-06-08 02:53:10,archive,32259,show,public,2021-06-08 02:53:10,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/59,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32259,['LB2300'],,,,,,,,,,,,,,,,,,,,,
1,other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'given': 'Chansyanah', 'lineage': None, 'family': 'Diawati', 'honourific': None}}]","Cek Similarity/Originality, Meningkatkan Keterampilan Berfikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman",958,2021-06-08 01:31:10,"[{'eprintid': 32245, 'placement': 1, 'formatdesc': 'Cek Similarity/Originality', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/146208', 'pos': 1, 'format': 'text', 'main': 'Meningkatkan Keterampilan Berpikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman.pdf', 'docid': 146208, 'files': [{'objectid': 146208, 'filesize': 2928848, 'uri': 'http://repository.lppm.unila.ac.id/id/file/381566', 'filename': 'Meningkatkan Keterampilan Berpikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman.pdf', 'hash_type': 'MD5', 'mtime': '2021-06-08 00:26:08', 'datasetid': 'document', 'fileid': 381566, 'mime_type': 'application/pdf', 'hash': '8f49beef49529f86eefe9b629914d5c7'}], 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf'}]",2021-06-08 01:31:10,archive,32245,show,public,2021-06-08 01:31:10,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/45,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32245,['LB2300'],,,,,,,,,,,,,,,,,,,,,
2,other,"[{'name': {'honourific': None, 'family': 'Diawati', 'lineage': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}]","Cek Similarity/Originality, Students Conceptions adn Problem-Solving Ability on Topic Chemical Thermodynamics",958,2021-06-08 01:32:53,"[{'eprintid': 32252, 'placement': 1, 'formatdesc': 'Cek Similarity/Originality', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146248', 'format': 'text', 'docid': 146248, 'main': 'Students’ conceptions and problem-solving ability on topic chemical thermodynamics.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/381650', 'filename': 'Students’ conceptions and problem-solving ability on topic chemical thermodynamics.pdf', 'objectid': 146248, 'filesize': 1441786, 'mtime': '2021-06-08 01:07:02', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'bc2b06b4a95839e84ff4e17010cd829a', 'datasetid': 'document', 'fileid': 381650}], 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-06-08 01:32:53,archive,32252,show,public,2021-06-08 01:32:53,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/52,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32252,['LB2300'],,,,,,,,,,,,,,,,,,,,,
3,other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'given': 'Chansyanah', 'honourific': None, 'lineage': None, 'family': 'Diawati'}}]","Hasil Penilaian Sejawat Sebidang atau Peer Review, Laboratory Practice and ist Contribution in Contructing Higher Order Thinking Skills: A Case Study in Basic Chemistry Course",958,2021-06-08 02:53:01,"[{'eprintid': 32256, 'placement': 1, 'formatdesc': 'Hasil Penilaian Sejawat Sebidang atau Peer Review', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146275', 'format': 'text', 'docid': 146275, 'main': 'Laboratory Practice and ist Contribution in Contructing Higher Order Thinking Skills A Case Study in Basic Chemistry Course..pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '54c36754c90ea69896ab4d8bd8764a09', 'datasetid': 'document', 'fileid': 381758, 'uri': 'http://repository.lppm.unila.ac.id/id/file/381758', 'filename': 'Laboratory Practice and ist Contribution in Contructing Higher Order Thinking Skills A Case Study in Basic Chemistry Course..pdf', 'objectid': 146275, 'filesize': 1526714, 'mtime': '2021-06-08 01:41:01', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2}]",2021-06-08 02:53:01,archive,32256,show,public,2021-06-08 02:53:01,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/56,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32256,['LB2300'],,,,,,,,,,,,,,,,,,,,,
4,other,"[{'name': {'given': 'Chansyanah', 'family': 'Diawati', 'lineage': None, 'honourific': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}]","Hasil Penilaian Sejawat Sebidang atau Peer Review, Meningkatkan Keterampilan Berfikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman",958,2021-06-08 01:31:04,"[{'eprintid': 32243, 'placement': 1, 'formatdesc': 'Hasil Penilaian Sejawat Sebidang atau Peer Review', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146205', 'format': 'text', 'main': 'Meningkatkan Keterampilan Berpikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman.pdf', 'docid': 146205, 'files': [{'mtime': '2021-06-08 00:17:14', 'hash_type': 'MD5', 'filename': 'Meningkatkan Keterampilan Berpikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/381549', 'objectid': 146205, 'filesize': 2928848, 'mime_type': 'application/pdf', 'hash': '8f49beef49529f86eefe9b629914d5c7', 'datasetid': 'document', 'fileid': 381549}], 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-06-08 01:31:04,archive,32243,show,public,2021-06-08 01:31:04,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/43,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32243,['LB2300'],,,,,,,,,,,,,,,,,,,,,
5,other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Diawati', 'honourific': None, 'given': 'Chansyanah'}}]","Hasil Penilaian Sejawat Sebidang atau Peer Review, Meningkatkan Keterampilan Berfikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman",958,2021-06-08 01:31:06,"[{'formatdesc': 'Hasil Penilaian Sejawat Sebidang atau Peer Review', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/146206', 'pos': 1, 'eprintid': 32244, 'placement': 1, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'filesize': 1546839, 'objectid': 146206, 'filename': 'Meningkatkan Keterampilan Berfikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/381557', 'hash_type': 'MD5', 'mtime': '2021-06-08 00:23:04', 'fileid': 381557, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f3b57038c8f94f1d4111bb734634063c'}], 'main': 'Meningkatkan Keterampilan Berfikir Tingkat Tinggi Siswa Melalui Pembelajaran Berbasis Masalah Pendinginan Minuman.pdf', 'docid': 146206}]",2021-06-08 01:31:06,archive,32244,show,public,2021-06-08 01:31:06,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/44,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32244,['LB2300'],,,,,,,,,,,,,,,,,,,,,
6,other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'given': 'Chansyanah', 'family': 'Diawati', 'lineage': None, 'honourific': None}}]","Hasil Penilaian Sejawat Sebidang atau Peer Review, Students Conceptions adn Problem-Solving Ability on Topic Chemical Thermodynamics",958,2021-06-08 01:32:30,"[{'security': 'public', 'formatdesc': 'Hasil Penilaian Sejawat Sebidang atau Peer Review', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146247', 'eprintid': 32251, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'format': 'text', 'main': 'Students Conceptions adn Problem-Solving Ability on Topic Chemical Thermodynamics.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/381640', 'filename': 'Students Conceptions adn Problem-Solving Ability on Topic Chemical Thermodynamics.pdf', 'objectid': 146247, 'filesize': 1923969, 'mtime': '2021-06-08 01:03:52', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'cc921c6f46d507e716732f7df7d027c8', 'datasetid': 'document', 'fileid': 381640}], 'docid': 146247}]",2021-06-08 01:32:30,archive,32251,show,public,2021-06-08 01:32:30,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/51,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32251,['LB2300'],,,,,,,,,,,,,,,,,,,,,
7,other,"[{'name': {'given': 'Chansyanah', 'lineage': None, 'family': 'Diawati', 'honourific': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'id': 'noor.fadiawati@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Fadiawati', 'honourific': None, 'given': 'Noor'}}, {'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}, 'id': 'kkartini.herlina@gmail.com'}]","Cek Similarity/Originality, Teachers and Students Perception about Creative Thinking Skills, Immersed Science Learning, and pProject-Based Learning: A Cow dung Waste Issue",958,2021-06-08 01:31:01,"[{'eprintid': 32242, 'placement': 1, 'formatdesc': 'Cek Similarity/Originality', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146195', 'format': 'text', 'docid': 146195, 'main': 'Teachers’ and Students’ Perception about Creative Thinking Skills, Immersed Integrated Science Learning, and project-based Learning A cow dung waste issue.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-08 00:03:56', 'filesize': 1414950, 'objectid': 146195, 'filename': 'Teachers’ and Students’ Perception about Creative Thinking Skills, Immersed Integrated Science Learning, and project-based Learning A cow dung waste issue.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/381532', 'fileid': 381532, 'datasetid': 'document', 'hash': 'f5345fffb4c74dd28cd49428eb7f0d16', 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2}]",2021-06-08 01:31:01,archive,32242,show,public,2021-06-08 01:31:01,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/42,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32242,['LB2300'],,,,,,,,,,,,,,,,,,,,,
8,other,"[{'name': {'given': 'Chansyanah', 'honourific': None, 'family': 'Diawati', 'lineage': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'id': 'noor.fadiawati@fkip.unila.ac.id', 'name': {'given': 'Noor', 'honourific': None, 'lineage': None, 'family': 'Fadiawati'}}, {'name': {'family': 'Herlina', 'lineage': None, 'honourific': None, 'given': 'Kartini'}, 'id': 'kkartini.herlina@gmail.com'}]","Hasil Penilaian Sejawat Sebidang, Teachers and Students Perception about Creative Thinking Skills, Immersed Science Learning, and pProject-Based Learning: A Cow dung Waste Issue",958,2021-06-08 01:30:58,"[{'format': 'text', 'main': 'Teachers and Students Perception about Creative Thinking Skills, Immersed Science Learning, and pProject-Based Learning A Cow dung Waste Issue..pdf', 'files': [{'hash': 'b7bdf67675d62650592235cb044827da', 'mime_type': 'application/pdf', 'fileid': 381519, 'datasetid': 'document', 'filename': 'Teachers and Students Perception about Creative Thinking Skills, Immersed Science Learning, and pProject-Based Learning A Cow dung Waste Issue..pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/381519', 'filesize': 1596118, 'objectid': 146189, 'mtime': '2021-06-07 23:59:36', 'hash_type': 'MD5'}], 'docid': 146189, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 32241, 'placement': 1, 'formatdesc': 'Hasil Penilaian Sejawat Sebidang atau Peer Review', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/146189', 'pos': 1}]",2021-06-08 01:30:58,archive,32241,show,public,2021-06-08 01:30:58,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/22/41,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/32241,['LB2300'],,,,,,,,,,,,,,,,,,,,,
9,other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'given': 'Chansyanah', 'honourific': None, 'lineage': None, 'family': 'Diawati'}}, {'name': {'honourific': None, 'family': 'Fadiawati', 'lineage': None, 'given': 'Noor'}, 'id': 'noor.fadiawati@fkip.unila.ac.id'}, {'name': {'given': 'Kartini', 'honourific': None, 'lineage': None, 'family': 'Herlina'}, 'id': 'kkartini.herlina@gmail.com'}]",Penggunaan Real Life Problem Sebagai Proyek Untuk Meningkatkan Keterampilan Berpikir Kreatif Siswa SMP,958,2021-08-12 00:36:17,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152885', 'security': 'public', 'placement': 1, 'eprintid': 33393, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Hibah Penelitian Kompetitif (sebagai ketua).pdf', 'docid': 152885, 'files': [{'mtime': '2021-08-10 08:49:05', 'hash_type': 'MD5', 'filename': 'Hibah Penelitian Kompetitif (sebagai ketua).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/395985', 'objectid': 152885, 'filesize': 4241693, 'mime_type': 'application/pdf', 'hash': 'fbecbc01dfea3232b0c7ab771344a2b5', 'fileid': 395985, 'datasetid': 'document'}], 'format': 'text'}]",2021-08-12 00:36:17,archive,33393,show,public,2021-08-12 00:36:17,8,unpub,['FKIP21'],FKIP Unila,disk0/00/03/33/93,1970-01-01 00:00:00.000002021,http://repository.lppm.unila.ac.id/id/eprint/33393,['LB1603'],,,,,,,,,,,,,,,,,,,,,
