,subjects,event_title,date_type,abstract,uri,date,divisions,dir,event_type,status_changed,full_text_status,rev_number,ispublished,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,pres_type,type,creators,refereed,event_dates,title,event_location,publisher,volume,series,number,pages,editors,place_of_pub,isbn,corp_creators,official_url,pagerange,book_title,id_number,patent_applicant,publication,issn,related_url,contributors,contact_email,referencetext,keywords
0,['H1'],SHIELD CONFERENCE 2017,published,"Waste bank program as community-based environmental government empower community and emerges their awareness to sort, recycle and utilize waste wisely in order to reduce the waste in landfill area. This paper intends to describe and analyze the strategy of waste bank program conducted in Bandar Lampung City through the coordination between local government, and public especially in neighborhood area. This study is descriptive-qualitative analytics research based on interview, observation, and desk study. This paper show that the strategy of waste bank program influence most by the factors of project management and organizational performance. Lack of facilities and infrastructures also become the main obstacle in the implementation of this strategy in Bandar Lampung.

Keywords: Waste bank, Community, Environmental Governance, Bandar Lampung",http://repository.lppm.unila.ac.id/id/eprint/4255,2017-09-01 00:00:00.000000000,['FISIP1'],disk0/00/00/42/55,conference,2017-11-10 15:27:28,public,8,pub,archive,4255,2017-11-10 15:27:28,show,205,"[{'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'rev_number': 1, 'docid': 17142, 'main': 'WASTE BANK.docx', 'files': [{'objectid': 17142, 'filesize': 137458, 'uri': 'http://repository.lppm.unila.ac.id/id/file/42779', 'filename': 'WASTE BANK.docx', 'hash_type': 'MD5', 'mtime': '2017-11-01 04:16:20', 'datasetid': 'document', 'fileid': 42779, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'd10e9bd3b90fbafbd5ee835b0923aaf9'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17142', 'security': 'public', 'placement': 1, 'eprintid': 4255}]",2017-11-10 15:27:28,paper,conference_item,"[{'id': 'intan.fitri@fisip.unila.ac.id', 'name': {'given': 'Intan', 'lineage': None, 'family': 'Fitri Meutia', 'honourific': None}}]",TRUE,SEPTEMBER 2016,WASTE BANK: THE STRATEGY AND COMMUNITY BASED ENVIRONMENTAL GOVERNANCE,BANDAR LAMPUNG,,,,,,,,,,,,,,,,,,,,,
1,['H1'],,,,http://repository.lppm.unila.ac.id/id/eprint/39499,1970-01-01 00:00:00.000002017,['FISIP1'],disk0/00/03/94/99,,2022-02-18 09:06:04,public,8,pub,archive,39499,2022-02-18 09:06:04,show,145,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160779', 'eprintid': 39499, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Review Individual.pdf', 'docid': 160779, 'files': [{'fileid': 443760, 'datasetid': 'document', 'hash': 'dcc3098ce87839fc3e57681ba79b342b', 'mime_type': 'application/pdf', 'objectid': 160779, 'filesize': 623722, 'filename': 'Review Individual.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/443760', 'hash_type': 'MD5', 'mtime': '2022-02-18 04:23:30'}]}]",2022-02-18 09:06:04,,other,"[{'name': {'honourific': None, 'family': 'Jeni Wulandari', 'lineage': None, 'given': 'Jeni'}}, {'name': {'honourific': None, 'lineage': None, 'family': ""Sam'um"", 'given': 'Jaja R'}}, {'name': {'given': 'Nurasa', 'lineage': None, 'family': 'Heru', 'honourific': None}}, {'name': {'given': 'Abdul Muhyi', 'honourific': None, 'family': 'Herwan', 'lineage': None}}]",,,Penilaian Rekan Sejawat: Individual Competency Study in the Evolution of Human Resource Management Theory and Its Relation to Organizational Competency,,Pakistan Society of Business and Management Research,,,,,,,,,,,,,,,,,,,,
2,['HA'],,published,"B
uku ajar statistik bisnis ini dibuat agar mahasiswa mampu memahami statistik dalam rangka membantu memecahkan permasalahan bisnis dan juga dapat digunakan untuk pembuatan keputusan bisnis. Buku ini diawali pembahasan urgensi mempelajari statistik, peran ilmu statistik dalam bisnis dan industri, cara berpikir statistik. Selanjutnya dilengkapi dengan aplikasi dan contoh penggunaan statistik dalam kehidupan sehari-hari maupun pada dunia bisnis, serta riset-riset bisnis yang menggunakan statistik. 

Pembahasan dilanjutkan dengan memberikan pengertian Pendalaman Tipe-Tipe Statistik, Statistik Deskriptif, Statistik Inferensial, Metode Pengumpulan Data,  Pengolahan Data, Penyajian Data, Distribusi Frekuensi, Ukuran Nilai Sentral,  Annova, analisis Varians Satu jalan ( One Way Annova), analisis Varians Satu jalan ( One Way Annova).

Bab berikutnya akan menjelaskan tentang Alat Analisis Data, Analisis Regresi dan Korelasi, Analisis Regresi Berganda, Asumsi Klasik, selanjutnya pembahasan statistic dalam buku ini aka ditutup dengan pembahasan tentang Statistika non-parametrik I, Prinsip-prinsip statistika non-parametrik, uji Kolmogorov-Smirnov, Statistika non-parametrik 2 berupa  Uji Wilcoxon dan Uji Mann-Whitney.",http://repository.lppm.unila.ac.id/id/eprint/10835,2017-10-01 00:00:00.000000000,['FISIP1'],disk0/00/01/08/35,,2019-02-28 02:52:11,public,10,pub,archive,10835,2019-02-28 02:52:11,show,545,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23848', 'security': 'public', 'placement': 1, 'eprintid': 10835, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 23848, 'main': 'buku statistik.pdf', 'files': [{'hash': 'ab4149870e08b82927332774e7bc0deb', 'mime_type': 'application/pdf', 'fileid': 99786, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99786', 'filename': 'buku statistik.pdf', 'objectid': 23848, 'filesize': 1648691, 'mtime': '2019-02-23 09:05:51', 'hash_type': 'MD5'}], 'format': 'text'}]",2019-02-28 02:52:11,,book,"[{'name': {'given': 'Baroroh', 'honourific': None, 'lineage': None, 'family': 'Lestari'}}, {'name': {'family': 'Ali', 'lineage': None, 'honourific': None, 'given': 'Suprihatin'}}, {'name': {'given': 'Supriyanto', 'honourific': None, 'lineage': None, 'family': 'Supriyanto'}}]",FALSE,,Buku Statistika Bisnis,,AURA,1.0,1,1.0,130.0,"[{'name': {'given': 'Mohammad', 'lineage': None, 'family': 'Nizar', 'honourific': None}}]",BandarLampung,978-602-6739-51-3,,,,,,,,,,,,,
3,"['H1', 'HB', 'HC']",,published,"""It is essential to design a strategy of Corporate Social Responsibility(CSR), especially for the mining companies through the Visser's CSR 2.0 concept. Social constructionism and on the design approach of imagineering are needed to establish and maintain strong community engagement through CSR 2.0 by adjusting to the specific context in the mining industry. Thus, this book offers a model of 'acr now and think long-term' in building a lasting corporate legacy for mining companies, especally in Indonesia"".",http://repository.lppm.unila.ac.id/id/eprint/8719,2017-10-25 00:00:00.000000000,['FISIP1'],disk0/00/00/87/19,,2018-10-29 04:24:59,public,9,pub,archive,8719,2018-10-29 04:24:59,show,117,"[{'placement': 1, 'eprintid': 8719, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21797', 'security': 'public', 'docid': 21797, 'main': 'Building.pdf', 'files': [{'objectid': 21797, 'filesize': 1340700, 'filename': 'Building.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85059', 'hash_type': 'MD5', 'mtime': '2018-08-12 23:42:01', 'fileid': 85059, 'datasetid': 'document', 'hash': '8f51acf10ca3c900f087473a09da056d', 'mime_type': 'application/pdf'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2018-10-29 04:24:59,,book,"[{'name': {'given': 'Unang Mulkhan', 'lineage': None, 'family': 'Mulkhan', 'honourific': None}, 'id': 'mulkhan2010@gmail.com'}]",TRUE,,Building a Lasting Corporate Legacy CSR 2.0 For The Mining Industry,,Lampung University,2.0,,,48.0,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Nizar', 'given': 'Mohammad'}}]",Indonesia,978-602-6739-67-4,['Aura Publishing'],http://www.aura-publishing.com,,,,,,,,,,,
4,"['H1', 'HB', 'HC']",,published,"In 2008, Klynveld Peat Marwick Geodeler (KPMG), one of the largest professional services firms in the world, released one of the most significant set of findings on corporate responsibility reporting. According to this report, 80 percent of the largest 250 companies worldwide issue corporate social responsibility (CSR) reporting. This figure has grown significantly compared to 2005, when 50 percent of these companies published on their CSR activities. The trend towards moder CSR reporting cleary donates that CSR is gathering global momentum.",http://repository.lppm.unila.ac.id/id/eprint/8720,2017-10-26 00:00:00.000000000,['FISIP1'],disk0/00/00/87/20,,2018-10-29 04:25:01,public,11,pub,archive,8720,2018-10-29 04:25:01,show,117,"[{'eprintid': 8720, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21798', 'format': 'text', 'files': [{'filesize': 2641744, 'objectid': 21798, 'filename': 'Corporate.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85068', 'hash_type': 'MD5', 'mtime': '2018-08-12 23:58:02', 'datasetid': 'document', 'fileid': 85068, 'mime_type': 'application/pdf', 'hash': 'd6d57c3c4d01386c69d1ce655008f6a6'}], 'main': 'Corporate.pdf', 'docid': 21798, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2018-10-29 04:25:01,,book,"[{'name': {'lineage': None, 'family': 'Mulkhan', 'honourific': None, 'given': 'Unang Mulkhan'}, 'id': 'mulkhan2010@gmail.com'}]",TRUE,,Corporate Sustainability Reporting: Indonesia and the Netherlands,,Lampung University,,,,100.0,"[{'name': {'given': 'Mohammad', 'family': 'Nizar', 'lineage': None, 'honourific': None}}]",Indonesia,978-602-5636-02-8,['Aura Publishing'],http://www.aura-publishing.com,,,,,,,,,,,
5,['AC'],,published,Peer review,http://repository.lppm.unila.ac.id/id/eprint/24385,1970-01-01 00:00:00.000002017,['FISIP1'],disk0/00/02/43/85,,2020-10-27 02:16:08,public,7,pub,archive,24385,2020-10-27 02:16:08,show,117,"[{'eprintid': 24385, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38112', 'pos': 1, 'format': 'text', 'files': [{'mtime': '2020-10-27 01:51:10', 'hash_type': 'MD5', 'filename': 'reviewer unang corporate.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/221818', 'filesize': 1083104, 'objectid': 38112, 'hash': '1990b0dac16353741286f8cc7f8509b2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 221818}], 'main': 'reviewer unang corporate.pdf', 'docid': 38112, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-10-27 02:16:08,,other,"[{'id': 'mulkhan2010@gmail.com', 'name': {'given': 'Unang Mulkhan', 'honourific': None, 'lineage': None, 'family': 'Mulkhan'}}]",,,"Corporate Sustainability Reporting: Indonesia and the Netherlands. Lampung University, Indonesia",,Aura,,,,,,,,,,,,,,,,,,,,
6,"['H1', 'HB', 'HC']",,published,"""Business etchics based on virtue is increasingly viewed as an appropiate ethical framework for corporate policies and practices. In his article in Business ecthics quarterly, in 2000, 'Business with Virtue: Maybe Next Year', Solomon is concerned with how global corporations can demostrate their integrity to humanity by using virtue ethics, This book is focus attention in modern business ethics has come from a sense of individual ethical value. Virtue ethics from part of Aristotle's ideas as set out in his 'Nichomanchean Ethics' (NE), which ecplains that a good man is to live according to virtue, and the good life is the virtuous life(living virtue). Aristotle explained virtue ethics as excellemce of charater, based on habit"",",http://repository.lppm.unila.ac.id/id/eprint/8718,2017-10-11 00:00:00.000000000,['FISIP1'],disk0/00/00/87/18,,2018-10-29 04:24:57,public,10,pub,archive,8718,2018-10-29 04:24:57,show,117,"[{'format': 'text', 'main': 'Humans.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-08-12 23:28:17', 'filesize': 1943349, 'objectid': 21796, 'filename': 'Humans.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85049', 'fileid': 85049, 'datasetid': 'document', 'hash': '165777175c2a08a8625fbf959313f41a', 'mime_type': 'application/pdf'}], 'docid': 21796, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 8718, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21796'}]",2018-10-29 04:24:57,,book,"[{'name': {'lineage': None, 'family': 'Mulkhan', 'honourific': None, 'given': 'Unang Mulkhan'}, 'id': 'mulkhan2010@gmail.com'}]",TRUE,,Human Excellence for Sustainable CSR,,Lampung University,1.0,,,82.0,,Indonesia,978-602-5636-03-5,['Aura Publishing'],http://www.aura-publishing.com,,,,,,,,,,,
7,['AC'],,published,Peer Review,http://repository.lppm.unila.ac.id/id/eprint/24389,1970-01-01 00:00:00.000002017,['FISIP1'],disk0/00/02/43/89,,2020-10-27 02:16:19,public,7,pub,archive,24389,2020-10-27 02:16:19,show,117,"[{'placement': 1, 'eprintid': 24389, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38116', 'security': 'public', 'files': [{'mtime': '2020-10-27 01:59:52', 'hash_type': 'MD5', 'filename': 'Reviewer Unang Human.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/221846', 'objectid': 38116, 'filesize': 928678, 'mime_type': 'application/pdf', 'hash': '7ecac7ae5344344f5b3f9a95ceabc0fa', 'datasetid': 'document', 'fileid': 221846}], 'main': 'Reviewer Unang Human.pdf', 'docid': 38116, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-10-27 02:16:19,,other,"[{'name': {'given': 'Unang Mulkhan', 'honourific': None, 'family': 'Mulkhan', 'lineage': None}, 'id': 'mulkhan2010@gmail.com'}]",,,"Human Excellence for Sustainable CSR. Lampung University, Indonesia.",,Aura,,,,,,,,,,,,,,,,,,,,
8,"['H1', 'HN']",,published,"Sudah lebih dari 20 tahun isu gender di Indonesia termasuk perempuan dan anak dalam pembangunan diwacanakan, didiskusikan, dan impelementasikan oleh berbagai kalangan, mulai dari akademisi, aktifis, pengambil kebijakan, bahkan masyarakat tingkat, regional, dan nasioanal. Terlebih komitmen global terkait gender, Perempuan dan anak sudah ada dalam millennium Development Goals(MDGs)yang telah berakhir pada september 2015 dulanjutkan dengan agenda agenda pembangunnan Berkelanjuttan/ sustainaboel,Development Goals (SDG's",http://repository.lppm.unila.ac.id/id/eprint/8721,2017-10-29 00:00:00.000000000,['FISIP1'],disk0/00/00/87/21,,2018-10-26 10:16:03,public,10,pub,archive,8721,2018-10-26 10:16:03,show,117,"[{'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2018-08-13 02:41:42', 'filesize': 5734394, 'objectid': 21799, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85079', 'filename': 'Anak.pdf', 'fileid': 85079, 'datasetid': 'document', 'hash': 'f56086e4e97d0df34d71e1c1a6eab2eb', 'mime_type': 'application/pdf'}], 'main': 'Anak.pdf', 'docid': 21799, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 8721, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21799', 'pos': 1}]",2018-10-26 10:16:03,,book_section,"[{'name': {'given': 'Unang Mulkhan', 'lineage': None, 'family': 'Mulkhan', 'honourific': None}, 'id': 'uangmulkhan2010@gmail.com'}, {'name': {'honourific': None, 'family': 'noverman duadji', 'lineage': None, 'given': 'noverman'}, 'id': 'noverman.duadji@fisip.unila.ac.id'}]",FALSE,,"Anak, Perempuan dan Sustainable Development Goals (SDGs)",,Lampung University,,,,107.0,,Indonesia,978-602-8610-43-8,,,1-27,"Anak, Perempuan dan Sustainable Development Goals (SDGs)",,,,,,,,,
9,"['H1', 'HB']",,published,"Buku ajar Operasi Bisnis ini ditulis untuk melengkapi media pembelajaran dan sekaligus sebagai pegangan bagi mahasiswa Jurusan Ilmu Administrasi Bisnis FISIP Universitas Lampung dalam menempuh mata kuliah Operasi Bisnis. Buku ini cocok digunakan oleh mahasiswa, terutama strata satu (S-1), Jurusan Adm. Bisnis, Manajemen, dan Akuntansi. Sajian materi  dalam buku ajar ini lebih ringkas dan langsung menuju pada pokok bahasannya. Penyampaian materi ajar tiap bab dapat dilakukan secara tutorial, latihan soal, dan praktikum. Khusus pada Bab Manajemen Mutu, penyampaian materi ajar pada Subbab Pengukuran Mutu Secara Statistik, memerlukan bantuan software POM For Windows. Untuk mempermudah memahami penggunaan software tersebut pembaca dapat merujuk ke buku karangan Rander & Heizer (2001).",http://repository.lppm.unila.ac.id/id/eprint/50752,1970-01-01 00:00:00.000002017,['FISIP1'],disk0_bak/00/05/07/52,,2023-04-26 03:24:16,public,8,pub,archive,50752,2023-04-26 03:24:16,show,348,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190454', 'security': 'public', 'placement': 1, 'eprintid': 50752, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 190454, 'filesize': 2069521, 'uri': 'http://repository.lppm.unila.ac.id/id/file/546796', 'filename': 'Sertifikat HaKI Operasi Bisnis.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-26 02:17:24', 'datasetid': 'document', 'fileid': 546796, 'mime_type': 'application/pdf', 'hash': 'a4c948e48e6553a86b737a9509c76c8a'}], 'main': 'Sertifikat HaKI Operasi Bisnis.pdf', 'docid': 190454, 'format': 'text'}]",2023-04-26 03:24:16,,patent,"[{'name': {'given': 'Ahmad', 'honourific': None, 'family': ""Rifa'i"", 'lineage': None}, 'id': 'rifaiunila@gmail.com'}]",,,Hak Cipta Buku Operasi Bisnis,,,,,,71.0,,,,['Universitas Lampung'],,,,321595,Ahmad Rifa'i,,,,,,,
