,divisions,dir,event_type,status_changed,full_text_status,rev_number,ispublished,subjects,event_title,abstract,date,uri,pres_type,type,creators,refereed,event_dates,title,event_location,eprintid,eprint_status,datestamp,metadata_visibility,userid,documents,lastmod,date_type,publisher,issn,publication,volume,number,pagerange,official_url
0,['FP11'],disk0/00/01/51/32,conference,2019-11-04 08:04:54,public,8,submitted,['SD'],"The 4th International Conference on Social, Humanities, Economics, Law and Development (SHIELD 2019).","Forest management is referring to the paradigm of community-based forest management. The benefit of community forests is expected to be not only an ecological support but also be able to support their daily needs. The government was start an encouragement to plant fast growing trees such as sengon because of the wood’s demand never drops from time to time. Sengon trees are vulnerable to caterpillar pest attacks, therefore farmers have to lose money and need business protection. From the agricultural sector, the Indonesian Government has issued an agricultural insurance policy to protect rice farmers and livestock  from crop failure. The purpose of this study was to analyze community forest farmer’s interest on implementation of agricultural insurance in their forests. The analytical method is quantitative description, to determine the farmers level of interested on agricultural insurance implementation using the Likert scale determination technique. Based on the results of the study showed that the interest of community forest farmers in implementing agricultural insurance in Sukoharjo 1 Village, Pringsewu District amounted to 58% included in the category of doubt. Factors that influence the level of farmer interest are age, income, farming experience, education, management constraints, farmer group activities, extension activities, and information access.",1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/15132,paper,conference_item,"[{'name': {'given': 'Revi', 'family': 'Ameliya', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'Slamet Budi', 'lineage': None, 'family': 'Yuwono', 'honourific': None}, 'id': 'sbyuwono_unila@yahoo.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Wulandari', 'given': 'Christine'}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'id': 'indragumay. febriyano@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Febriyano', 'given': 'Indra Gumay'}}]",TRUE,26-27 August 2019,"ANALYSIS OF COMMUNITY FOREST FARMER’S INTEREST ON IMPLEMENTATION OF AGRICULTURAL INSURANCE IN PRINGSEWU DISTRICT, LAMPUNG PROVINCE",Bandarlampung,15132,archive,2019-11-04 08:04:54,show,981,"[{'language': 'en', 'mime_type': 'application/zip', 'rev_number': 1, 'format': 'archive', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/130224', 'filename': 'Revi dkk_Shield 2019.zip', 'filesize': 233795, 'objectid': 28275, 'mtime': '2019-11-03 18:00:00', 'hash_type': 'MD5', 'hash': '285263fbec50c9907f1d3499389513ce', 'mime_type': 'application/zip', 'fileid': 130224, 'datasetid': 'document'}], 'main': 'Revi dkk_Shield 2019.zip', 'docid': 28275, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28275', 'eprintid': 15132, 'placement': 1}]",2019-11-04 08:04:54,,,,,,,,
1,['FP11'],disk0/00/01/97/55,conference,2020-05-18 02:31:39,public,7,submitted,['SD'],4th International Conference SHIELDS,"Forest management is referring to the paradigm of community-based forest management. The benefit of community forests is expected to be not only an ecological support but also be able to support their daily needs. The government was start an encouragement to plant fast growing trees such as sengon because of the wood’s demand never drops from time to time. Sengon trees are vulnerable to caterpillar pest attacks, therefore farmers have to lose money and need business protection. From the agricultural sector, the Indonesian Government has issued an agricultural insurance policy to protect rice farmers and livestock  from crop failure. The purpose of this study was to analyze community forest farmer’s interest on implementation of agricultural insurance in their forests. The analytical method is quantitative description, to determine the farmers level of interested on agricultural insurance implementation using the Likert scale determination technique. Based on the results of the study showed that the interest of community forest farmers in implementing agricultural insurance in Sukoharjo 1 Village, Pringsewu District amounted to 58% included in the category of doubt. Factors that influence the level of farmer interest are age, income, farming experience, education, management constraints, farmer group activities, extension activities, and information access.",2019-08-27 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/19755,paper,conference_item,"[{'name': {'lineage': None, 'family': 'Ameliya', 'honourific': None, 'given': 'Revi'}, 'id': None}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'given': 'Slamet Budi', 'family': 'Yuwono', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Christine', 'honourific': None, 'lineage': None, 'family': 'Wulandari'}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'name': {'given': 'Indra Gumay', 'lineage': None, 'family': 'Febriyano', 'honourific': None}, 'id': 'indragumay. febriyano@fp.unila.ac.id'}]",TRUE,27-28 August 2019,"ANALYSIS OF COMMUNITY FOREST FARMER’S INTEREST ON IMPLEMENTATION OF AGRICULTURAL INSURANCE IN PRINGSEWU DISTRICT, LAMPUNG PROVINCE",Bandarlampung,19755,archive,2020-05-18 02:31:39,show,981,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33027', 'eprintid': 19755, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 33027, 'main': 'ANALYSIS OF INTEREST BY CF_Revi et al. Shields 2019.pdf', 'files': [{'hash': 'a67c38c17a09200fbed05fda234a14be', 'mime_type': 'application/pdf', 'fileid': 187164, 'datasetid': 'document', 'mtime': '2020-05-16 03:34:27', 'hash_type': 'MD5', 'filename': 'ANALYSIS OF INTEREST BY CF_Revi et al. Shields 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/187164', 'objectid': 33027, 'filesize': 184854}]}]",2020-05-18 02:31:39,submitted,,,,,,,
2,['FP11'],disk0/00/01/49/87,conference,2019-11-04 08:30:02,public,9,inpress,['SD'],"The 4th International Conference on Social, Humanities, Economics, Law and Development (SHIELD 2019)","Forest management is referring to the paradigm of community-based forest management. The benefit of community forests is expected to be not only an ecological support but also be able to support their daily needs. The government was startan encouragement to plant fast growing trees such as sengon because of the wood’s demand never drops from time to time. Sengon trees are vulnerable to caterpillar pest attacks, therefore farmershave to lose money and need business protection. From the agricultural sector, the Indonesian Government has issued an agricultural insurance policy to protect rice farmers and livestock from crop failure. The purpose of this study was to analyze community forest farmer’s intereston implementation of agricultural insurance in their forests. The analytical method is quantitative description, to determine thefarmers level of interested on agricultural insurance implementation using the Likert scale determination technique. Based on the results of the study showed that the interest of community forest farmers in implementing agricultural insurance in Sukoharjo 1 Village, PringsewuDistrict amounted to 58% included in the category of doubt. Factors that influence the level of farmer interest are age, income, farming experience, education, management constraints, farmer group activities, extension activities, and information access.

Keywords: community forest, agricultural insurance, sengon",2019-08-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/14987,paper,conference_item,"[{'id': 'revi.ameliya@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Ameliya', 'given': 'Revi'}}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'given': 'Slamet Budi', 'family': 'Yuwono', 'lineage': None, 'honourific': None}}, {'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Wulandari', 'given': 'Christine'}}, {'id': 'indragumay@yahoo.com', 'name': {'given': 'Indra Gumay', 'family': 'Febryano', 'lineage': None, 'honourific': None}}]",TRUE,26-27 Agustus 2019,"Analysis of Community Forest’s Interest on Implementation of Agricultural Insurance In Pringsewu District, Lampung Province",Bandar Lampung,14987,archive,2019-11-04 08:30:02,show,591,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'LOA_Ameliya et al_Unila.pdf', 'docid': 28115, 'files': [{'fileid': 129204, 'datasetid': 'document', 'hash': '1a18b81871eeb26927ae2e339cfc414f', 'mime_type': 'application/pdf', 'objectid': 28115, 'filesize': 217597, 'uri': 'http://repository.lppm.unila.ac.id/id/file/129204', 'filename': 'LOA_Ameliya et al_Unila.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-02 04:16:58'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28115', 'pos': 1, 'eprintid': 14987, 'placement': 1}, {'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'rev_number': 1, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '7fd97e13bb88b880b52825237eea6b5a', 'datasetid': 'document', 'fileid': 129539, 'mtime': '2019-11-02 21:43:05', 'hash_type': 'MD5', 'filename': 'ANALYSIS OF INTEREST BY COMMUNITY FOREST.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/129539', 'filesize': 28018, 'objectid': 28169}], 'main': 'ANALYSIS OF INTEREST BY COMMUNITY FOREST.docx', 'docid': 28169, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28169', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 14987}]",2019-11-04 08:30:02,,,,,,,,
3,['FP11'],disk0/00/04/06/73,,2022-03-29 10:07:28,public,7,pub,['SD'],,"Hasil Penilaian Peer Riview Hak Kekayaan Intelektual HaKI Buku Biodiversitas Amfibi Lampung - Studi Kasus Di Bandar Lampung, Pesawaran, Lampung Barat Dan Pesisir Barat",2019-07-21 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40673,,other,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Harianto', 'given': 'Sugeng P.'}}, {'id': None, 'name': {'honourific': None, 'family': 'Dewi', 'lineage': None, 'given': 'Bainah Sari'}}, {'id': 'lungit.wicaksono02@fkip.unila.ac.id', 'name': {'given': 'Wicaksono', 'honourific': None, 'family': 'Lungit', 'lineage': None}}]",,,"Hasil Penilaian Peer Riview Hak Kekayaan Intelektual HaKI Buku Biodiversitas Amfibi Lampung - Studi Kasus Di Bandar Lampung, Pesawaran, Lampung Barat Dan Pesisir Barat",,40673,archive,2022-03-29 10:07:28,show,469,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 162046, 'main': 'Peer HaKI Buku Mangrove Pesisir Lampung Timur.pdf', 'files': [{'hash': '45a029dc00626c879f062a325cb8830c', 'mime_type': 'application/pdf', 'fileid': 452730, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/452730', 'filename': 'Peer HaKI Buku Mangrove Pesisir Lampung Timur.pdf', 'filesize': 461128, 'objectid': 162046, 'mtime': '2022-03-29 08:37:27', 'hash_type': 'MD5'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162046', 'eprintid': 40673, 'placement': 1}]",2022-03-29 10:07:28,published,Kemenkumham RI,,,,,,
4,['FP11'],disk0/00/02/04/18,,2020-05-24 08:10:20,public,7,pub,['SD'],,"Artiodactyla merupakan satwa liar yang memiliki peran terhadap ekologi. Tujuan penelitian
untuk mengetahui keragaman dan kelimpahan jenis dari ordo Artiodactyla di Kesatuan
Pengelolaan Hutan (KPH) I Pesisir Barat. Kamera jebak dipasang secara acak sebanyak 19 unit
dalam 14 stasiun pemasangan (grid cell). Gambar satwa yang tertangkap kamera jebak pada
setiap grid cell digunakan untuk menganalisis keragaman dan kelimpahan relatif setiap jenis.
Hasil analisis keragaman menunjukkan bahwa jenis Artiodactyla yang ditemukan terdiri dari
babi hutan (Sus scrofa Linnaeus, 1758), kijang (Muntiacus muntjak Zimmermann, 1780), kancil
(Tragulus kanchil Raffles, 1821), rusa sambar (Rusa unicolor Kerr, 1792), napu (Tragulus napu
Cuvier, 1822), dan kambing hutan sumatera (Capricornis sumatraensis Bechstein, 1799). Jenis
dengan kelimpahan relatif tertinggi adalah babi hutan (42,33%) dan nilai terendah adalah
kambing hutan sumatera (0,41%). Keberadaan Artiodactyla dapat berperan dalam menjaga
kestabilan ekosistem terutama sebagai penyebar biji dan mendukung keberadaan predator
dalam proses rantai makanan. Oleh karena itu, kawasan KPH I Pesisir Barat sebagai sebagai
kantong habitat satwa liar harus dijaga kelestariannya.",2019-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20418,,article,"[{'name': {'given': 'Abdul Rouf Amarulloh', 'lineage': None, 'family': 'Khalil', 'honourific': None}, 'id': 'roufamarulloh@gmail.com'}, {'name': {'lineage': None, 'family': 'Setiawan', 'honourific': None, 'given': 'Agus'}, 'id': 'aslulila@yahoo.com'}, {'id': 'ely.jazdzyk@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Rustiati', 'given': 'Elly L.'}}, {'id': None, 'name': {'given': 'Sugeng P.', 'family': 'Harianto', 'lineage': None, 'honourific': None}}]",TRUE,,"Keragaman dan Kelimpahan Artiodactyla Menggunakan Kamera
Jebak di Kesatuan Pengelolaan Hutan I Pesisir Barat",,20418,archive,2020-05-24 08:10:20,show,826,"[{'eprintid': 20418, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33761', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-23 07:24:02', 'objectid': 33761, 'filesize': 790820, 'uri': 'http://repository.lppm.unila.ac.id/id/file/191931', 'filename': 'Keragaman dan Kelimpahan Artiodactyla_Khalil_Rustiati_Harianto-September 2019.pdf', 'datasetid': 'document', 'fileid': 191931, 'mime_type': 'application/pdf', 'hash': '9c91e2d56d9a87aa1286566be95ac581'}], 'main': 'Keragaman dan Kelimpahan Artiodactyla_Khalil_Rustiati_Harianto-September 2019.pdf', 'docid': 33761, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-05-24 08:10:20,,,ISSN (print) 2339-0913,Jurnal Sylva Lestari,Vol. 7,No. 3,350-358,
5,['FP11'],disk0/00/01/70/33,,2019-11-18 10:26:51,public,7,pub,['SD'],,"This article highlights the experiences and lessons generated by the project collaborators in enhancing the adaptive capacities of selected upland farming communities in Southeast Asia. The project collaborators employed capability building programs, such as farmers' and technicians' training, 
 local climate change awareness programs, cross-farm visits, demonstration plots showcasing agroforestry technologies as climate change adaptation (CCA) strategies, and linking science with policies. The outcomes of the project indicate that this program was able to enhance the local adaptive capacities of the upland farming communities by building their key community assets, creating knowledge and information, initiating innovations, strengthening institutions, and initiating forwardlooking decision making and governance. The lessons and experiences generated from these initiatives could serve as important reference for scaling up the project. The outputs and outcomes of the capacity development initiatives have generated lessons that could contribute to the body of knowledge in CCA, particularly on enhancing the adaptive capacities for CCA. 
Keywords:  agroforestry, policymaking processes, communicators, upland farming communities,                        scaling up",1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/17033,,article,"[{'id': 'ldlandicho@gmail.com', 'name': {'given': 'Leila D', 'family': 'Landicho', 'lineage': None, 'honourific': None}}, {'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'family': 'Wulandari', 'lineage': None, 'honourific': None}}, {'id': 'visco_aerg50@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Visco', 'given': 'Roberto A'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'carandang', 'given': 'wilfredo A'}}, {'name': {'given': 'Bao', 'lineage': None, 'family': 'Huy', 'honourific': None}, 'id': None}]",TRUE,,Enhancing Local Adaptive Capacities of Selected Upland Farming Communities in Southeast Asia: Lessons and Experiences,,17033,archive,2019-11-18 10:26:51,show,981,"[{'format': 'text', 'docid': 30127, 'main': 'AJAD_2019_16_1_Landicho_28March2019.pdf', 'files': [{'mtime': '2019-11-18 10:13:34', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/144639', 'filename': 'AJAD_2019_16_1_Landicho_28March2019.pdf', 'filesize': 1722269, 'objectid': 30127, 'hash': '462b20ff7771f28170e550a839766920', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 144639}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 17033, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30127', 'pos': 1}]",2019-11-18 10:26:51,,the Southeast Asian Regional Center for Graduate Study and Research in Agriculture (SEARCA),1656-4383,The Asian Journal of Agriculture and Development (AJAD),16,1,59-73,https://ajad.searca.org/
6,['FP11'],disk0/00/01/72/90,,2020-02-17 03:40:59,public,7,submitted,['SD'],,"Penelitian ini membandingkan tentang keanekaragaman mesofauna tanah di hutan lindung dan hutan konservasi, Kabupaten Lampung Barat.  Pengamatan mesofauna tanah dilakukan di hutan kemasyarakatan di Desa Tribudisukur.  Penelitian ini disusun dengan menggunakan metode deskriptif.  Variabel pengamatan adalah indeks keanekaragaman mesofauna tanah.  Hasil penelitian ini menunjukkan bahwa perbedaan keanekaragaman mesofauna tanah di hutan lindung dan hutan konservasi sangat berbeda.  Pada penelitian ini ditemukan empat ordo mesofauna di hutan lindung, yang meliputi Acarina, Collembola, Diplura, dan Coleoptera.  Kemudian Ada enam ordo mesofauna di hutan konservasi, meliputi Acarina, Collembola, Diplura, Coleoptera, Symphyla dan Diplopoda.  Pada penelitian didapat nilai indeks keanekaragaman dari hutan lindung dan hutan konservasi masing masing yaitu 1.01 dan 1.96 dalam katagori rendah.  Perbedaan keanekaragaman mesofauna tanah disebabkan oleh berbedaan jumlah dan komposisi vegetasi yang ada di setiap tutupan lahan.

Kata kunci: Hutan Lindung, Hutan Konservasi, Keanekaragaman Mesofauna Tanah",2019-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/17290,,article,"[{'name': {'given': 'Frendika', 'lineage': None, 'family': 'Mahendra', 'honourific': None}, 'id': None}, {'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Wulandari', 'honourific': None, 'given': 'Christine'}}, {'name': {'lineage': None, 'family': 'Yuwono', 'honourific': None, 'given': 'Slamet Budi'}, 'id': 'sbyuwono_unila@yahoo.com'}]",TRUE,,PERBANDINGAN KEANEKARAGAMAN MESOFAUNA TANAH PADA HUTAN LINDUNG DAN HUTAN KONSERVASI DI LAMPUNG BARAT,,17290,archive,2020-02-17 03:40:59,show,981,"[{'files': [{'hash_type': 'MD5', 'mtime': '2019-12-10 03:50:33', 'objectid': 30396, 'filesize': 301537, 'filename': 'SNaiLs Dec 2019 abstract.zip', 'uri': 'http://repository.lppm.unila.ac.id/id/file/146400', 'datasetid': 'document', 'fileid': 146400, 'mime_type': 'application/zip', 'hash': '320ead1131d07451e61ce4e7bc2c324f'}], 'main': 'SNaiLs Dec 2019 abstract.zip', 'docid': 30396, 'format': 'archive', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/zip', 'placement': 1, 'eprintid': 17290, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30396', 'pos': 1, 'security': 'public'}]",2020-02-17 03:40:59,,Universitas Lampung,,Seminar Nasional Ilmu Lingkungan 2019,,,,
7,['FP11'],disk0/00/01/97/22,conference,2020-05-18 02:27:41,public,7,submitted,['SD'],Seminar Nasional Ilmu Lingkungan 2019,"Penelitian ini membandingkan tentang keanekaragaman mesofauna tanah di hutan lindung dan hutan konservasi, Kabupaten Lampung Barat.  Pengamatan mesofauna tanah dilakukan di hutan kemasyarakatan di Desa Tribudisukur.  Penelitian ini disusun dengan menggunakan metode deskriptif.  Variabel pengamatan adalah indeks keanekaragaman mesofauna tanah.  Hasil penelitian ini menunjukkan bahwa perbedaan keanekaragaman mesofauna tanah di hutan lindung dan hutan konservasi sangat berbeda.  Pada penelitian ini ditemukan empat ordo mesofauna di hutan lindung, yang meliputi Acarina, Collembola, Diplura, dan Coleoptera.  Kemudian Ada enam ordo mesofauna di hutan konservasi, meliputi Acarina, Collembola, Diplura, Coleoptera, Symphyla dan Diplopoda.  Pada penelitian didapat nilai indeks keanekaragaman dari hutan lindung dan hutan konservasi masing masing yaitu 1.01 dan 1.96 dalam katagori rendah.  Perbedaan keanekaragaman mesofauna tanah disebabkan oleh berbedaan jumlah dan komposisi vegetasi yang ada di setiap tutupan lahan.

Kata kunci: Hutan Lindung, Hutan Konservasi, Keanekaragaman Mesofauna Tanah",2019-11-28 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/19722,paper,conference_item,"[{'name': {'lineage': None, 'family': 'Mahendra', 'honourific': None, 'given': 'Frendika'}, 'id': None}, {'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'lineage': None, 'family': 'Wulandari', 'honourific': None}}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'family': 'Yuwono', 'lineage': None, 'honourific': None, 'given': 'Slamet Budi'}}]",TRUE,28 November 2019,PERBANDINGAN KEANEKARAGAMAN MESOFAUNA TANAH PADA HUTAN LINDUNG DAN HUTAN KONSERVASI DI LAMPUNG BARAT,Bandarlampung,19722,archive,2020-05-18 02:27:41,show,981,"[{'format': 'text', 'files': [{'mtime': '2020-05-15 16:31:04', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/186011', 'filename': 'Paper 1- Frendika Mahendra.pdf', 'filesize': 200332, 'objectid': 32969, 'mime_type': 'application/pdf', 'hash': '270af7f238957acea76a0814dd9b6aed', 'fileid': 186011, 'datasetid': 'document'}], 'main': 'Paper 1- Frendika Mahendra.pdf', 'docid': 32969, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 19722, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32969', 'pos': 1}]",2020-05-18 02:27:41,submitted,,,,,,,
8,['FP11'],disk0/00/01/51/19,conference,2019-11-04 08:04:57,public,7,submitted,['SD'],in The 3rd International Conference in Agroforestry,"Abstract : Codot coffee is a newly coffee variety produced from the activities of codot or fruit-eating bats. This coffee is produced from the spitted activity of these bats after they eaten a full ripe coffee bean. We believed that there are interactions between coffee and codot along the landscape that can be withdrawn by using Geographic Information Systems (GIS). The purpose of this study is to determine the landscape characteristics of the distribution of codot coffee over Community Forest (Hutan Kemasyarakatan/HKm) area in Kota Agung Utara Forest Management Unit (Kesatuan Pemangkuan Hutan/KPH). The codot coffee’s points were collected using direct GPS survey technique and was followed by spatial analysis. It was indicated that codot coffee has a tendency to exist in the distance between 0 to 300 m from the river, and more than 1,000 m from the road. The results of the buffer analysis of codot coffee distribution land showed that codot behavior has a tendency to require forests as a place to live and rest. Data showed that codot coffee was mostly found in the slope between 15 to 30 percent and in the slope of  0 to 7 percent. The codot coffee were only found in areas with altitude of 500 to 900 asl.",2019-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15119,paper,conference_item,"[{'id': 'dedyriyanto1923@gmail.com', 'name': {'lineage': None, 'family': 'Riyanto', 'honourific': None, 'given': 'Dedi'}}, {'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'lineage': None, 'family': 'Wulandari', 'honourific': None}}, {'id': 'arief.darmawan@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Darmawan', 'honourific': None, 'given': 'Arief'}}]",TRUE,16-17 October 2019,"Landscape Characteristics of Codot Coffee in KPH Kota Agung Utara, Lampung",Yogyakarta,15119,archive,2019-11-04 08:04:57,show,981,"[{'placement': 1, 'eprintid': 15119, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28263', 'security': 'public', 'files': [{'fileid': 130145, 'datasetid': 'document', 'hash': '2e0bcacbea5f9f23a348f57ee23198c5', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-03 16:17:38', 'objectid': 28263, 'filesize': 551950, 'filename': 'Dedi_Riyanto dkk_ICAF SEANAFE 3 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/130145'}], 'main': 'Dedi_Riyanto dkk_ICAF SEANAFE 3 2019.pdf', 'docid': 28263, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-11-04 08:04:57,submitted,,,,,,,
9,['FP11'],disk0/00/01/80/87,,2020-02-19 03:39:38,public,6,pub,['SD'],,"Di Provinsi Lampung, kesadaran tentang pentingnya kesehatan hutan dalam mencapai  pengelolaan hutan yang lestari di berbagai tipe hutan sampai saat ini masih kurang sehingga permasalahan kesehatan hutan sejauh ini belum mendapat perhatian yang serius. Penelitian ini bertujuan untuk mendapatkan indikator penilaian kesehatan hutan dan nilai status kondisi kesehatan hutan pada berbagai tipe hutan di Provinsi Lampung. Penelitian ini dilakukan di hutan mangrove dan hutan rakyat di Kabupaten Lampung Timur serta hutan lindung dan hutan konservasi di Kabupaten Tanggamus pada tahun 2018. Tahapan penelitian ini terdiri dari perumusan jaminan indikator kesehatan hutan, pembuatan plot ukur, pengukuran kesehatan hutan, pengolahan data, dan penilaian kesehatan hutan. Hasil penelitian menunjukkan bahwa indikator untuk menilai kondisi kesehatan hutan di hutan mangrove adalah vitalitas dan biodiversitas, di hutan rakyat adalah produktivitas, vitalitas, dan kualitas tapak, di hutan lindung adalah biodiversitas, vitalitas, dan produktivitas, dan di hutan konservasi adalah biodiversitas dan produktivitas. Adapun status kondisi kesehatan pada masing-masing klaster plot di hutan mangrove adalah buruk dan baik, di hutan rakyat adalah baik dan sedang, di hutan lindung adalah buruk dan baik, dan di hutan konservasi adalah buruk dan baik.",2019-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18087,,article,"[{'id': 'mat_ane@yahoo.com', 'name': {'family': ""Safe'i"", 'lineage': None, 'honourific': None, 'given': 'Rahmat'}}, {'name': {'honourific': None, 'family': 'Wulandari', 'lineage': None, 'given': 'Christine'}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'id': 'hari.kaskoyo@fp.unila.ac.id', 'name': {'family': 'Kaskoyo', 'lineage': None, 'honourific': None, 'given': 'Hari'}}]",TRUE,,"PEER REVIEW RESULT OF PAPER ""Penilaian Kesehatan Hutan pada Berbagai Tipe Hutan di Provinsi Lampung""",,18087,archive,2020-02-19 03:39:38,show,981,"[{'format': 'text', 'main': '6. Keshut pada berbagai tipe hutan_Ganjil 2018_19.pdf', 'docid': 31221, 'files': [{'fileid': 152428, 'datasetid': 'document', 'hash': '6a88b498d8d2cc72d0ff455b942f982a', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-02-19 03:09:27', 'filesize': 737259, 'objectid': 31221, 'filename': '6. Keshut pada berbagai tipe hutan_Ganjil 2018_19.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/152428'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 18087, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31221', 'pos': 1}]",2020-02-19 03:39:38,published,Jurusan Kehutanan Universitas Lampung,2549-5747,Jurnal Sylva Lestari,7,1,95-109,https://jurnal.fp.unila.ac.id/index.php/JHT/article/view/2952/2384
