,documents,official_url,lastmod,number,userid,pagerange,metadata_visibility,eprint_status,eprintid,datestamp,refereed,title,type,creators,uri,date,volume,abstract,subjects,date_type,ispublished,rev_number,status_changed,full_text_status,issn,publisher,publication,divisions,dir,corp_creators,contact_email,pres_type,event_dates,event_location,contributors,event_type,succeeds,event_title,funders,related_url,projects,id_number,patent_applicant,pages,keywords,referencetext,isbn,place_of_pub,series
0,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 30601, 'main': 'Rancang Bangun Alat Monitoring Arus dan Tegangan Berbasis Mikrokontroler dengan SMS Gateway.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-01-03 07:31:26', 'objectid': 30601, 'filesize': 790147, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147785', 'filename': 'Rancang Bangun Alat Monitoring Arus dan Tegangan Berbasis Mikrokontroler dengan SMS Gateway.pdf', 'datasetid': 'document', 'fileid': 147785, 'hash': '9a7479632f563a3596585ef9895660c7', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30601', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17474}]",https://electrician.unila.ac.id/index.php/ojs/article/view/215,2020-02-17 03:43:29,2.0,484,87-98,show,archive,17474,2020-02-17 03:43:29,TRUE,Rancang Bangun Alat Monitoring Arus dan Tegangan Berbasis Mikrokontroler dengan SMS Gateway,article,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Afrizal', 'given': 'Fitriandi'}}, {'name': {'given': 'Komalasari', 'honourific': None, 'lineage': None, 'family': 'Endah'}, 'id': 'endah.komalasari@eng.unila.ac.id'}, {'id': 'herri.gusmedi@eng.unila.ac.id', 'name': {'given': 'Gusmedi', 'lineage': None, 'family': 'Herri', 'honourific': None}}]",http://repository.lppm.unila.ac.id/id/eprint/17474,2016-05-01 00:00:00.000000000,10.0,"Intisari—Banyak daerah di Indonesia yang belum terjangkau PLN terutama daerah terpencil. Kondisi ini yang mendorong masyarakat untuk membangun sistem pembangkit listrik sendiri seperti Pembangkit Listrik Tenaga Mikrohidro dan Pembangkit Listrik Tenaga Surya. Oleh karena pembangkit ini memanfaatkan kondisi alam maka energi yang dihasilkan juga sangat bergantung dengan alam, maka dibutuhkan alat untuk menggabungkan pembangkit listrik alternatif ini menjadi satu jaringan untuk menambah kehandalan jaringan. Dengan cara menghibridkan pembangkit alternatif maka menambah kehandalan dari jaringan, namun jaringan yang sudah hibrid butuh dimonitoring untuk memantau arus dan tegangan yang ada pada jaringan tersebut.Monitoring arus dan tegangan dari system hybrid dibuatlah alat monitoring arus dan tegangan berbasis mikrokontroler dengan sms gateway untuk mempermudah monitoring arus dan tegangan. Arus dan tegangan akan dimonitoring secara berkala melalui jaringan telekomunikasi melewati sms setiap 5 menit.Kata kunci —SMS, PLN, PLTMH, PLTS, Monitoring. Abstract —Many areas in Indonesia which have not been reached PLN particularly remote areas. These conditions which encourage people to build their own power generation systems such as micro hydro power plant and Solar Power. Therefore, these plants utilize natural conditions, the energy generated is also very dependent on the nature, it is necessary tool to combine alternative power generation is becoming one network to increase network reliability. By way of an alternative plant menghibridkan then add to the reliability of the network, but the network already hybrids need to be monitored to the current and voltage monitor that exist on the network.Monitoring current and voltage in a hybrid system made of current and voltage monitoring tool based microcontroller with sms gateway to facilitate monitoring of current and voltage. Current and voltage to be monitored on a regular basis via telecommunications networks pass through sms every 5 minutes.Keywords—SMS, PLN, Solar Power Plant, Micro Hydro Power Plant, Monitoring.",['TK'],published,pub,6,2020-02-17 03:43:29,public,1978-6042,Universitas Lampung,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,['FT5'],disk0/00/01/74/74,,,,,,,,,,,,,,,,,,,,
1,"[{'eprintid': 17475, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30602', 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/147791', 'filename': 'Studi Pemasangan Step Voltage Regulator dengan Model Injeksi Daya pada Jaringan Menengah 20 KV Penyulang Katu Gardu Induk Menggala.pdf', 'filesize': 490100, 'objectid': 30602, 'mtime': '2020-01-03 07:35:45', 'hash_type': 'MD5', 'hash': 'fdf28b76e23b79ea61e5e4601c4fd9f4', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 147791}], 'main': 'Studi Pemasangan Step Voltage Regulator dengan Model Injeksi Daya pada Jaringan Menengah 20 KV Penyulang Katu Gardu Induk Menggala.pdf', 'docid': 30602, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",https://electrician.unila.ac.id/index.php/ojs/article/view/218,2020-02-17 03:43:26,2.0,484,130-139,show,archive,17475,2020-02-17 03:43:26,TRUE,Studi Pemasangan Step Voltage Regulator dengan Model Injeksi Daya pada Jaringan Menengah 20 KV Penyulang Katu Gardu Induk Menggala,article,"[{'id': None, 'name': {'given': 'Daniel Sandi', 'honourific': None, 'lineage': None, 'family': 'Binsar'}}, {'id': 'plgsekip@eng.unila.ac.id', 'name': {'given': 'Hakim', 'honourific': None, 'family': 'Lukmanul', 'lineage': None}}, {'id': 'herri.gusmedi@eng.unila.ac.id', 'name': {'given': 'Gusmedi', 'honourific': None, 'family': 'Herri', 'lineage': None}}]",http://repository.lppm.unila.ac.id/id/eprint/17475,2016-05-01 00:00:00.000000000,10.0,"Intisari---Penyulang Katu GI Menggala PT. PLN (Persero) Distribusi Lampung memiliki panjang saluran sekitar 158 km dengan maksimum beban yang terukur dari GI Menggala sekitar 4,6 MW dan terdiri dari 119 Bus. Kondisi ini mengakibatkan penyulang ini mengalami profil tegangan yang melanggar ketentuan +/- 5% sebagaimana yang dinyatakan dalam Aturan Penyambungan atau Grid Code. Untuk memperbaiki kondisi ini, salah satunya adalah dengan pemasangan step voltage regulator. Dalam penelitian ini, SVR dimodelkan sebagai injeksi daya yang kemudian dikombinasikan dengan persamaan aliran daya. SVR yang dijadikan obyek dalam penelitian ini adalah dari Type B dimana pemasangan SVR Type B dipasang di dekat sumber. Metode analisa aliran daya yang digunakan dalam penelitian ini adalah Metode Newton-Raphson. Hasil penelitian menunjukkan peningkatan tegangan akibat kontrol yang dilakukan oleh SVR. Sebelum pemasangan SVR, tegangan pada Bus 5 Penyulang Katu adalah 16,9828 kV. Setelah pemasangan SVR, terdapat peningkatan sebesar 1,3837 kV sehingga menjadi 18,3665 kV. Namun demikian, pemasangan SVR saja belum dapat memperbaiki profil tegangan secara keseluruhan akibat terlalu jauhnya drop tegangan di Penyulang Katu ini. Sehingga posisi tap maksimum SVR tidak mampu mengkompensasi tegangan yang jauh di bawah 0.95 p.u. yang terjadi di Penyulang Katu. Hasil perhitungan dilakukan dengan menggunakan perangkat lunak yang dikembangkan sendiri dan dibandingkan dengan perangkat lunak komersil yaitu ETAP. Selisih hasil perhitungan berada dalam kisaran 0.0108%.Kata kunci---aliran daya, step voltage regulator, tegangan jatuh , tap SVR . Abstract---Katu feeder of GI Menggala PT. PLN (Persero) Distribusi Lampung is about 158 km length with a maximum measured load from GI Menggala of about 4.6 MW and consists of 119 Buses. These conditions make the feeder suffers voltage profile that violates the limit of +/- 5% as stated in the Connection Code or the Grid Code. In order to correct this condition, installation of a step voltage regulator (SVR) is required. In this thesis, the SVR is modeled as a power injection and combined into the power flow equations. SVR of this research is of Type B where installation this type of SVR is near the source. Power flow analysis method used in this research is the Newton-Raphson method. The results showed an increase in voltage due to the control exercised by the SVR. Before mounting SVR, the voltage on Bus 5 of feeder Katu is 16.9828 kV. After SVR installation, the voltage becomes 18.3665 kV. However, the installation of SVR alone can not fix the overall voltage profile due to the large voltage drop along this feeder although the SVR was set to maximum tap position. The result of the calculation is done by using a self-developed software and compared to a commercial software i.e. ETAP. The difference in calculation results are within the range of 0.0108%.Keywords---power flow, step voltage regulators, voltage drop, tap SVR.",['TK'],published,pub,6,2020-02-17 03:43:26,public,1978-6042,Universitas Lampung,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,['FT5'],disk0/00/01/74/75,,,,,,,,,,,,,,,,,,,,
2,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '542-1052-1-SM.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-06-02 03:33:40', 'objectid': 2877, 'filesize': 811410, 'filename': '542-1052-1-SM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/20692', 'datasetid': 'document', 'fileid': 20692, 'mime_type': 'application/pdf', 'hash': '895a4811d3e78fa86fc77ce380e93d42'}], 'docid': 2877, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2877', 'security': 'public', 'placement': 1, 'eprintid': 2985}]",,2017-06-05 01:49:51,,656,,show,archive,2985,2017-06-05 01:49:51,FALSE,"PENEMPATAN SVC (STATIC VAR COMPENSATOR) UNTUK
MEMPERBAIKI PROFIL TEGANGAN PADA JARINGAN TRANSMISI
PT. PLN LAMPUNG",article,"[{'id': 'despa@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Despa', 'given': 'Dikpride'}}, {'name': {'given': 'Herri', 'honourific': None, 'lineage': None, 'family': 'Gusmedi'}, 'id': 'herri.gusmedi@eng.unila.ac.id'}]",http://repository.lppm.unila.ac.id/id/eprint/2985,2016-08-01 00:00:00.000000000,,"Abstrak – Sistem kelistrikan merupakan salah satu kebutuhan bagi kehidupan masyarakat modern
dalam mendukung keberlangsungan aktifitas masyarakat. Peningkatan beban pada sistem tenaga
listrik dapat menimbulkan jatuh tegangan dan nilai rugi daya yang besar. Dalam tugas akhir ini
digunakan SVC (Static Var Compensator) yang merupakan salah satu FACTS devices, yang
berfungsi menyerap atau menginjeksikan daya reaktif untuk memperbaiki profil tegangan pada
sistem transmisi. Tugas akhir ini adalah studi kasus yang diterapkan pada saluran transmisi PLN
24 bus wilayah Lampung dengan menggunakan metode Newton-Raphson pada simulasi
MATLAB.
Hasil penelitian menunjukkan bahwa dengan menerapkan SVC pada weak bus pada sistem
transmisi maka profil tegangan dapat diperbaiki dalam batas yang diizinkan. Penempatan SVC
pada weak bus 7 (Manggala) memperbaiki profil tegangan pada weak bus 7 (Manggala) dan bus 8
(Gumawang) naik sebesar 1.35% dan 1.45% dari 0.9283p.u dan 0.9012p.u menjadi 0.941p.u dan 0.9145p.u, penempatan SVC pada weak bus bus 8 (Gumawang) memperbaiki profil tegangan pada weak bus 7 (Manggala) dan bus 8 (Gumawang) naik sebesar 6.18% dan 9,88% dari 0.9283p.u dan
0.9012p.u menjadi 0.9895p.u dan 1p.u.

Kata kunci : SVC (Static Var Compensator), Flexible AC Transmission Systems (FACTS), Metode Newton-Raphson, Perbaikan Profil Tegangan, Transmisi PLN Lampung",['TK'],,pub,7,2017-06-05 01:49:51,public,2303-0577,,JITET Jurnal Informatika dan Teknik Elektro,['FT5'],disk0/00/00/29/85,['Arya Wiguna B'],,,,,,,,,,,,,,,,,,,
3,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/30600', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17473, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Perbaikan Tahanan Pentanahan dengan Menggunakan Bentonit Teraktivasi.pdf', 'docid': 30600, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/147778', 'filename': 'Perbaikan Tahanan Pentanahan dengan Menggunakan Bentonit Teraktivasi.pdf', 'filesize': 520127, 'objectid': 30600, 'mtime': '2020-01-03 07:26:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '6d32efbef9aa5c12dbc063062411499a', 'datasetid': 'document', 'fileid': 147778}], 'format': 'text'}]",https://electrician.unila.ac.id/index.php/ojs/article/view/193,2020-02-17 03:43:31,1.0,484,44-53,show,archive,17473,2020-02-17 03:43:31,TRUE,Perbaikan Tahanan Pentanahan dengan Menggunakan Bentonit Teraktivasi,article,"[{'id': None, 'name': {'given': 'Andini', 'family': 'Devy', 'lineage': None, 'honourific': None}}, {'id': 'yul.martin@eng.unila.ac.id', 'name': {'given': 'Martin', 'family': 'Yul', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Gusmedi', 'honourific': None, 'family': 'Herri', 'lineage': None}, 'id': 'herri.gusmedi@eng.unila.ac.id'}]",http://repository.lppm.unila.ac.id/id/eprint/17473,2016-01-01 00:00:00.000000000,10.0,"Intisari — Salah satu hal yang mempengaruhi tahanan pentanahan adalah tahanan jenis tanah. Tahanan jenis tanah dipengaruhi oleh beberapa hal yaitu struktur tanah, temperatur, pengaruh kandungan air (kelembaban), dan pengaruh kandungan kimia dalam tanah. Dalam penelitian ini untuk menurunkan tahanan pentanahan dilakukan penambahan bentonit kedalam tanah, tetapi sebelum digunakan bentonit terlebih dulu diaktivasi. Tujuan dari penelitian ini adalah untuk Mengetahui perubahan besar tahanan pentanahan yang diberikan bentonit yang belum teraktivasi dan sudah teraktivasi. Pentanahan yang diberikan bentonit teraktivasi memiliki nilai tahanan pentanahan lebih kecil dibandingkan saat diberikan bentonit yang belum teraktivasi. Persentasi perubahan bentonit yang telah teraktivasi yaitu sebesar 79,97%-85,24% sedangkan persentasi perubahan tahanan pentanahan saat diberikan bentonit yang belum teraktivasi sebesar 22,84%-85,25%. Kata kunci — Tahanan pentanahan, tahanan jenis tanah, aktivasi bentonit Abstract — One of the things that affect the grounding resistance is soil resistivity. Soil resistivity is influenced by several things: the structure of the soil, the temperature, the influence of the water content (moisture), and the effect of chemical constituents in the soil. In this research to lose custody grounding the addition of bentonite into the ground, but before use bentonite first in activation. The aim of this study is to know the major changes grounding given bentonite which has not been activated and has been activated .Grounding were given activated bentonite has a grounding resistance value is smaller than when given bentonite which has not been activated .Percentage changes that have been activated bentonite in the amount of 79,97%-85,24% whereas the percentage change in resistance grounding when given bentonite which has not been activated by 22,84%-85,25%. Keywords— Grounding, Soil Resistivity, Activation of bentonite",['TK'],published,pub,7,2020-02-17 03:43:31,public,1978-6042,Universitas Lampung,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,['FT5'],disk0/00/01/74/73,,,,,,,,,,,,,,,,,,,,
4,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '11. Penilaian_Karya_Ilmiah_Design of Frequency Generator and Amplifier Level Converter.pdf', 'files': [{'fileid': 229530, 'datasetid': 'document', 'hash': '08e0afc17d44086534809e04e0b06117', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-16 02:58:22', 'objectid': 39211, 'filesize': 1778867, 'filename': '11. Penilaian_Karya_Ilmiah_Design of Frequency Generator and Amplifier Level Converter.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/229530'}], 'docid': 39211, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39211', 'pos': 1, 'eprintid': 25422, 'placement': 1}]",https://ieeexplore.ieee.org/document/7886751,2020-11-16 03:07:15,,663,,show,archive,25422,2020-11-16 03:07:15,,"Penilaian Karya Ilmiah Untuk Artikel ""Design of Frequency Generator and Amplifier Level Converter Using 300nm CMOS Technology for Electro Capacitive Cancer Therapy (ECCT) Standard Operation Mode System""",other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Fitriawan', 'given': 'Helmy'}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",http://repository.lppm.unila.ac.id/id/eprint/25422,2016-11-01 00:00:00.000000000,,,['TK'],,pub,7,2020-11-16 03:07:15,public,,Institute of Electrical and Electronics Engineers (IEEE),,['FT5'],disk0/00/02/54/22,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,,,,
5,"[{'placement': 1, 'eprintid': 25415, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39204', 'security': 'public', 'main': '9. Penilaian_Karya_Ilmiah_Neural Networks for Lampung Characters Handwritten Recognition.pdf', 'docid': 39204, 'files': [{'filename': '9. Penilaian_Karya_Ilmiah_Neural Networks for Lampung Characters Handwritten Recognition.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/229477', 'filesize': 1711229, 'objectid': 39204, 'mtime': '2020-11-16 02:50:03', 'hash_type': 'MD5', 'hash': '704effd9826dc3e7db348a01a456c1ab', 'mime_type': 'application/pdf', 'fileid': 229477, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",https://ieeexplore.ieee.org/document/7808365,2020-11-16 02:56:53,,663,,show,archive,25415,2020-11-16 02:56:53,,"Penilaian Karya Ilmiah Untuk Artikel ""Neural Networks for Lampung Characters Handwritten Recognition""",other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Fitriawan', 'given': 'Helmy'}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",http://repository.lppm.unila.ac.id/id/eprint/25415,2016-07-01 00:00:00.000000000,,,['TK'],,pub,7,2020-11-16 02:56:53,public,,Institute of Electrical and Electronics Engineers (IEEE),,['FT5'],disk0/00/02/54/15,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,,,,
6,"[{'docid': 38683, 'main': '11. Design_of_Frequency_Generator_and_Amplifier_Level_.pdf', 'files': [{'filename': '11. Design_of_Frequency_Generator_and_Amplifier_Level_.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/225832', 'filesize': 1194711, 'objectid': 38683, 'mtime': '2020-11-11 07:31:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '29d071ed54882b2883351be4c9cb371c', 'datasetid': 'document', 'fileid': 225832}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 24940, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38683', 'pos': 1, 'security': 'public'}]",https://ieeexplore.ieee.org/document/7886751,2020-11-11 07:40:48,,663,,show,archive,24940,2020-11-11 07:40:48,,"Similarity Index Untuk Artikel ""Design of Frequency Generator and Amplifier Level Converter Using 300nm CMOS Technology for Electro Capacitive Cancer Therapy (ECCT) Standard Operation Mode System""",other,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Fitriawan', 'honourific': None, 'given': 'Helmy'}}]",http://repository.lppm.unila.ac.id/id/eprint/24940,2016-11-01 00:00:00.000000000,,,['TK'],,pub,7,2020-11-11 07:40:48,public,,Institute of Electrical and Electronics Engineers (IEEE),,['FT5'],disk0/00/02/49/40,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,,,,
7,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38672', 'security': 'public', 'placement': 1, 'eprintid': 24929, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-11 06:49:47', 'objectid': 38672, 'filesize': 1097186, 'filename': '9. Neural_Networks_for_Lampung_Characters_Handwritten.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/225758', 'fileid': 225758, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '41a98719d912942651f1adc086363376'}], 'main': '9. Neural_Networks_for_Lampung_Characters_Handwritten.pdf', 'docid': 38672, 'format': 'text'}]",https://ieeexplore.ieee.org/document/7808365,2020-11-11 07:40:31,,663,,show,archive,24929,2020-11-11 07:40:31,,"Similarity Index Untuk Artikel ""Neural Networks for Lampung Characters Handwritten Recognition""",other,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'given': 'Helmy', 'family': 'Fitriawan', 'lineage': None, 'honourific': None}}]",http://repository.lppm.unila.ac.id/id/eprint/24929,2016-07-01 00:00:00.000000000,,,['TK'],,pub,7,2020-11-11 07:40:31,public,,Institute of Electrical and Electronics Engineers (IEEE),,['FT5'],disk0/00/02/49/29,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,,,,
8,"[{'eprintid': 25461, 'placement': 7, 'security': 'public', 'pos': 7, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39263', 'format': 'text', 'docid': 39263, 'main': '9. Neural Networks for Lampung Characters_2016.pdf', 'files': [{'datasetid': 'document', 'fileid': 229829, 'hash': '232f044251c7a168d57aae9178801073', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-16 05:19:17', 'objectid': 39263, 'filesize': 3101081, 'uri': 'http://repository.lppm.unila.ac.id/id/file/229829', 'filename': '9. Neural Networks for Lampung Characters_2016.pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,2020-11-16 06:06:36,,663,485-488,show,archive,25461,2020-11-16 06:06:36,TRUE,Neural Networks for Lampung Characters Handwritten Recognition,conference_item,"[{'name': {'given': 'Helmy', 'family': 'Fitriawan', 'lineage': None, 'honourific': None}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Ariyanto', 'honourific': None, 'given': 'Ariyanto'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Setiawan', 'lineage': None, 'given': 'Hendri'}}]",http://repository.lppm.unila.ac.id/id/eprint/25461,1970-01-01 00:00:00.000002016,,"Character recognition technique associates a symbolic identity with the image of a character. Different characters and languages have different structures and features. Lampung character and language are different with any other languages. We have developed Lampung handwritten character recognition using back-propagation neural networks. However since some Lampung characters have similar features, hierarchical network system was performed to optimize the training and recognition algorithm. The experiment results give reasonable results of the recognition rate for the training set. 86.5% of basic characters and more than 97% for characters with tone marks can be recognised.","['QA75', 'TK']",published,pub,7,2020-11-16 06:06:36,public,,,,['FT5'],disk0/00/02/54/61,"['Faculty of Engineering, University of Lampung']",,paper,26-27 Juli 2016,"Kuala Lumpur, Malaysia","[{'name': {'lineage': None, 'family': 'Helmy Fitriawan', 'honourific': None, 'given': 'Helmy'}}, {'name': {'honourific': None, 'family': 'Helmy Fitriawan', 'lineage': None, 'given': 'Helmy Fitriawan'}}, {'name': {'honourific': None, 'family': 'Helmy Fitriawan', 'lineage': None, 'given': 'Helmy Fitriawan'}}, {'name': {'family': 'Helmy Fitriawan', 'lineage': None, 'honourific': None, 'given': 'Helmy Fitriawan'}}]",conference,2842.0,2016 International Conference on Computer & Communication Engineering,,,,,,,,,,,
9,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/963', 'security': 'public', 'placement': 1, 'eprintid': 1072, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'content': 'published', 'files': [{'fileid': 7089, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'bd9419d643394cf93de46293c14b2ab5', 'objectid': 963, 'filesize': 407630, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7089', 'filename': 'jeas_0416_4022.pdf', 'hash_type': 'MD5', 'mtime': '2016-11-06 13:42:16'}], 'main': 'jeas_0416_4022.pdf', 'docid': 963, 'format': 'text'}]",http://www.arpnjournals.com/jeas/,2016-11-07 01:17:31,7.0,610,4767-4771,show,archive,1072,2016-11-07 01:17:31,TRUE,A STUDY ON REACTIVE POWER ALLOCATION FOR ELECTRICAL POWER DISTRIBUTION SYSTEM WITH LOW VOLTAGE PROFILE,article,"[{'name': {'honourific': None, 'family': 'Hakim', 'lineage': None, 'given': 'Lukmanul'}, 'id': 'plgsekip@eng.unila.ac.id'}, {'id': 'umi.murdika@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Murdika', 'lineage': None, 'given': 'Umi'}}, {'id': 'herri.gusmedi@eng.unila.ac.id', 'name': {'given': 'Herri', 'family': 'Gusmedi', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Syamsuri', 'family': 'Zaini', 'lineage': None, 'honourific': None}, 'id': None}]",http://repository.lppm.unila.ac.id/id/eprint/1072,2016-04-10 00:00:00.000000000,11.0,"Due to its long feeder line with high R/X ratio, a distribution system suffers from low voltage profile at its load nodes. This work studies reactive power allocation for this type of problem. A linear programming-based optimal power flow is proposed to solve this problem by finding minimal amount of installation of new reactive power support devices while maintaining voltage at each load bus within the ±5% deviation. The proposed approach was tested on 11-bus test system and a real-world distribution feeder in Indonesia with 119 buses and 106 load points. This actual feeder experiences voltage magnitude below the 0.95 p.u limit. Simulation results show that some load points of this feeder require installation of new reactive power support devices to maintain their voltage to be above the 0.95 p.u. limit.",['TK'],published,pub,8,2016-11-07 01:17:31,public,1819-6608,Asian Research Publishing Network,ARPN Journal of Engineering and Applied Sciences,['FT5'],disk0/00/00/10/72,,plgsekip@eng.unila.ac.id,,,,"[{'id': 'plgsekip@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'lineage': None, 'family': 'Hakim', 'given': 'Lukmanul'}}, {'name': {'family': 'Murdika', 'lineage': None, 'honourific': None, 'given': 'Umi'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'umi.murdika@eng.unila.ac.id'}, {'id': 'herri.gusmedi@eng.unila.ac.id', 'name': {'given': 'Herri', 'honourific': None, 'family': 'Gusmedi', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Syamsuri', 'family': 'Zaini', 'lineage': None, 'honourific': None}}]",,,,"['Kementrian Riset, Teknologi, dan Pendidikan Tinggi']","[{'type': 'pub', 'url': 'http://www.arpnjournals.org/jeas/research_papers/rp_2016/jeas_0416_4022.pdf'}]",['Hibah Fundamental'],jeas_0416_4022,,,,,,,
