,volume,corp_creators,abstract,uri,date,subjects,date_type,status_changed,issn,full_text_status,rev_number,ispublished,publisher,publication,dir,divisions,number,userid,documents,lastmod,official_url,eprint_status,eprintid,datestamp,pagerange,metadata_visibility,creators,type,refereed,title,pres_type,event_dates,event_location,related_url,event_type,event_title,contact_email,referencetext,patent_applicant,id_number,contributors,succeeds,keywords,monograph_type,institution,funders,pages,projects,series,place_of_pub,editors,book_title
0,12,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","ROV merupakan sebuah robot penjelajah bawah air yang dikendalikan oleh operator menggunakan sistem pengendali ROV dengan perangkat remote control. Pada penelitian ini digunakan perangkat remote control berupa Joypad yang telahdiintegrasikan denganJoypad dan mikrokontroler
Arduino Pro Mini.ROV dilengkapi dengan Raspberry Pi, kamera, sensor suhu, sensor gyroscope, sensor tegangan dan sensor tekanan air untuk mengakuisisi data kondisi bawah air untuk kemudian dikirimkan ke laptop operator dan kemudian ditampilkanpada sebuah aplikasi pemantauan berupa GUI (Graphic User Interface) yang dibangun denganbahasa pemrograman Python 2.7. Hasil pengujian diperoleh bahwa GUI dapat memantau kondisi bawah air dengan menampilkan video streaming, data suhu, dan kedalaman ROV secara realtime. Perangkat kendali pada ROVmampu mengendalikan laju pergerakan ROV untuk turun, naik, belok kanan, belok kiri, maju dan mundur tanpa adanya halangan pada kedalaman 0 meter – 4,2 meter dengan jangkauan radius 20 meter. 
Kata kunci — ROV, Aplikasi Pemantauan, Sistem Kendali ROV, Joypad, Phyton 2.7.",http://repository.lppm.unila.ac.id/id/eprint/13016,2018-09-01 00:00:00.000000000,['TK'],published,2019-05-17 04:30:16,1978-6042,public,11,pub,Universitas Lampung,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,disk0/00/01/30/16,['FT5'],3.0,586,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26020', 'pos': 1, 'eprintid': 13016, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'filesize': 413916, 'objectid': 26020, 'uri': 'http://repository.lppm.unila.ac.id/id/file/114656', 'filename': '2091-373-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-17 03:01:37', 'fileid': 114656, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'd895fe6924acbade89d19b4cad88877b'}], 'main': '2091-373-1-PB.pdf', 'docid': 26020}]",2019-05-17 04:30:16,https://electrician@unila.ac.id,archive,13016,2019-05-17 04:30:16,97-103,show,"[{'name': {'given': 'Yogi', 'honourific': None, 'family': 'Aldino', 'lineage': None}, 'id': 'yogialdino@gmail.com'}, {'id': 'sr_sulistiyanti@eng.unila.ac.id', 'name': {'given': 'Sri Ratna', 'honourific': None, 'lineage': None, 'family': 'Sulistiyanti'}}, {'name': {'lineage': None, 'family': 'Komarudin', 'honourific': None, 'given': 'Muhamad'}, 'id': 'komar@eng.unila.ac.id'}, {'name': {'given': 'Helmy', 'honourific': None, 'lineage': None, 'family': 'Fitriawan'}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",article,FALSE,Rancang Bangun Perangkat Kendali ROV Berbasis Joypad Dan Aplikasi Pemantauan Kondisi Bawah Air Berbasis Video Streaming,,,,,,,,,,,,,,,,,,,,,,
1,Vol 7,,"The Unila Internet of Things Research Group (UIRG) was developed online monitoring of power distribution system based on Internet of Things (IoT) technology on Department of Electrical Engineering University of Lampung (Unila), has been running for several months, this system monitored electrical quantities of 3-phase main distribution panel of H-building. The measurement system involve multiple sensors such current sensors and voltage sensors, the measurement data stored in to database server and shown the information in a real-time through a web-based application.

Main objective of this research was to capture, analyze, and identified the knowledge pattern of electrical quantities data measurements, using Cross-Industry Standard Process for Data Mining (CRISP-DM) data mining framework, for helping the stake holders to continuous improvement of the quality of electricity services, the initial research limited to total 770847 electrical quantities recorded data that save on database system, since 1 September - 31 October 2018, the dataset consist of 21 attribute electrical quantities such as; voltage, current, power factor values, energy consumption, frequency, on H building 3-Phase main panel control.

Rapidminer as leading application on knowledge discovery application was used to analyze the big data, K-Mean cluster algorithm implemented to identify the data pattern, the result indicated that 3-Phase load was unbalanced, and Phase-0 was the most utilized phase, based on from total 5 cluster analysis result.",http://repository.lppm.unila.ac.id/id/eprint/12392,2018-12-01 00:00:00.000000000,['AI'],published,2019-05-10 01:04:26,ISSN 2227-524X,public,8,pub,Science Publishing,International Journal of Engineering &Technology (IJET),disk0/00/01/23/92,['FT5'],4.36,3,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/110299', 'filename': 'IJET-28964.pdf', 'filesize': 1345226, 'objectid': 25369, 'mtime': '2019-05-10 00:58:28', 'hash_type': 'MD5', 'hash': '7995038cca9816463cdd4acd3db3aac8', 'mime_type': 'application/pdf', 'fileid': 110299, 'datasetid': 'document'}], 'main': 'IJET-28964.pdf', 'docid': 25369, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25369', 'pos': 1, 'eprintid': 12392, 'placement': 1}, {'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186405', 'pos': 7, 'eprintid': 12392, 'placement': 7, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'unila.ac.id Mail - Re_ ___SPAM___ Fwd_ Re_[ICECREAM 2018] Your paper #1570503058.pdf', 'docid': 186405, 'files': [{'hash': 'fcef70add9842db883570472345d6fe2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 519728, 'uri': 'http://repository.lppm.unila.ac.id/id/file/519728', 'filename': 'unila.ac.id Mail - Re_ ___SPAM___ Fwd_ Re_[ICECREAM 2018] Your paper #1570503058.pdf', 'filesize': 383374, 'objectid': 186405, 'mtime': '2022-12-20 12:31:20', 'hash_type': 'MD5'}]}, {'security': 'public', 'pos': 8, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186406', 'eprintid': 12392, 'placement': 8, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mtime': '2022-12-20 12:32:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/519730', 'filename': 'The Format of the IJOPCM, first submission.pdf', 'objectid': 186406, 'filesize': 1399746, 'mime_type': 'application/pdf', 'hash': '0e9d5b64070c56e80a368e451c43739a', 'fileid': 519730, 'datasetid': 'document'}], 'main': 'The Format of the IJOPCM, first submission.pdf', 'docid': 186406}]",2022-12-20 12:32:39,https://www.sciencepubco.com/index.php/ijet/article/view/28964,archive,12392,2019-05-10 01:04:26,1238-1246,show,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Despa', 'given': 'Dikpride'}, 'id': 'despa@eng.unila.ac.id'}, {'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'honourific': None, 'family': 'Nama', 'lineage': None}}]",article,TRUE,An Enhanced K-Means Clustering Algorithm for Pattern Discovery in Big Data Analysis of 3-Phase Electrical Quantities,,,,,,,,,,,,,,,,,,,,,,
2,,,"— Peningkatan konsumsi energi listrik selain
disebabkan oleh bertambahnya jumlah beban pada sebuah
gedung laboratorium juga dimungkinkan karena belum
efisiennya dalam hal pemanfaatan energi listrik itu sendiri.
Karenaya, perlu ada sebuah sistem monitoring dan managemen
yang baik agar penggunaan energi listrik bisa efisien dan
memberikan kenyamanan pada konsumen. Penelitian ini
membangun sebuah sistem monitoring konsumsi energi listrik
dengan komponen utamanya sebuah KWh meter yang
terpasang pada panel distribusi. Untuk selanjutnya dengan
Teknologi Internet of Things (IoT) dapat di akses secara
realtime. Prototype yang dibangun telah diuji menggunakan
alat ukur standar Laboratorium Teknik Pengukuran Besaran
Elektrik Unila dengan rata rata galat 0,276%. Analisi SWOT
digunakan pada penelitian ini untuk menentukan strategi yang
digunakan dalam rangka managemen energi. Dari hasil
pengukuran dan monitoring konsumsi energi listrik (dalam
jangka waktu 6 hari) diperoleh hasil bahwa, managmen energi
yang dilakukan dengan menerapan Standar Operasional
Prosedur penggunaan energi listrik di Laboratorium Terpadu
Teknik Elektro dapat menghemat konsumsi energi sebesar
310,073 KWh.
Kata Kunci— Monitoring dan Managemen energi, Internet of
Things, KWh meters, analisis SWOT, Laboratorium Terpadu
Teknik Elektro Unila.",http://repository.lppm.unila.ac.id/id/eprint/9607,2018-11-01 00:00:00.000000000,['TK'],,2018-11-09 03:25:36,,public,8,pub,,,disk0/00/00/96/07,['FT5'],,656,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'E-P082_FORTEI-309-313(Despa).pdf', 'files': [{'datasetid': 'document', 'fileid': 91271, 'mime_type': 'application/pdf', 'hash': '06a993c3d0e88bb236f78ebbc759ce8b', 'hash_type': 'MD5', 'mtime': '2018-11-07 07:13:28', 'filesize': 368806, 'objectid': 22636, 'filename': 'E-P082_FORTEI-309-313(Despa).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/91271'}], 'docid': 22636, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22636', 'eprintid': 9607, 'placement': 1}]",2018-11-09 03:25:36,http://elektro.ub.ac.id/fortei/wp-content/uploads/2018/10/E-P082_FORTEI-309-313.pdf,archive,9607,2018-11-09 03:25:36,309-313,show,"[{'name': {'given': 'Dikpride', 'honourific': None, 'family': 'Despa', 'lineage': None}, 'id': 'despa@eng.unila.ac.id'}, {'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'honourific': None, 'lineage': None, 'family': 'Nama'}}, {'id': 'yulmartin@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Martin', 'given': 'Yul'}}, {'name': {'given': 'Arinal', 'honourific': None, 'family': 'Hamni', 'lineage': None}, 'id': 'arinal.hamni@yahoo.com'}, {'id': 'meizano@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Muhammad', 'lineage': None, 'given': 'Meizano Ardhi'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Surinanto', 'given': 'Agus'}, 'id': 'agussurinanto@eng.unila.ac.id'}]",conference_item,TRUE,"Monitoring dan Manajemen Energi Listrik Gedung
Laboratorium Berbasis Internet of Things (IoT)",paper,11-13 Oktober 2018,Malang Jawa Timur,"[{'type': 'pub', 'url': 'http://elektro.ub.ac.id/fortei/wp-content/uploads/2018/10/E-P082_FORTEI-309-313.pdf'}]",conference,Fortei 2018,,,,,,,,,,,,,,,,
3,,,"Abstract

Electrical quantities such as Voltage, Current, Power, Power Factor, Energy, and Frequency in electrical power system tends to fluctuate, as a result of load changes, disturbances, or other abnormal states. The change-state in electrical quantities should be identify immediately, otherwise it can lead to serious problem for whole system. Therefore a necessity is required to determine the condition of electricity change-state quickly and appropriately in order to make effective decisions. Online monitoring of power distribution system based on Internet of Things (IoT) technology was deploy and implemented on Department of Mechanical Engineering University of Lampung (Unila), especially at three-phase main distribution panel H-building. The measurement system involve multiple sensors such current sensors and voltage sensors, while data processing conducted by Arduino, the measurement data stored in to the database server and shown in a real-time through a web-based application. This measurement system has several important features especially for realtime monitoring, robust data acquisition and logging, system reporting, so it will produce an important information that can be used for various purposes of future power analysis such estimation and planning. The result of this research shown that the condition of electrical power system at H-building performed unbalanced load, which often leads to drop-voltage condition",http://repository.lppm.unila.ac.id/id/eprint/7811,2018-04-01 00:00:00.000000000,['AC'],published,2018-06-26 03:28:57,,public,7,pub,,,disk0/00/00/78/11,['FT5'],,3,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/20849', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 7811, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'hash': '9a3842c174c330eacad23ed65403ca0a', 'mime_type': 'application/pdf', 'fileid': 69919, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/69919', 'filename': 'Despa_2018_IOP_Conf._Ser.__Mater._Sci._Eng._335_012063.pdf', 'filesize': 689360, 'objectid': 20849, 'mtime': '2018-06-26 03:25:20', 'hash_type': 'MD5'}], 'main': 'Despa_2018_IOP_Conf._Ser.__Mater._Sci._Eng._335_012063.pdf', 'docid': 20849, 'format': 'text'}]",2018-06-26 03:28:57,,archive,7811,2018-06-26 03:28:57,,show,"[{'id': 'despa@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Despa', 'honourific': None, 'given': 'Dikpride'}}, {'id': 'gigih@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Nama', 'given': 'Gigih Forda'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Muhammad', 'lineage': None, 'given': 'Meizano Ardhi'}}, {'id': None, 'name': {'given': 'Khairul', 'lineage': None, 'family': 'Anwar', 'honourific': None}}]",conference_item,TRUE,The Implementation Internet of Things(IoT) Technology in Real Time Monitoring of Electrical Quantities,paper,5–6 October 2017,"Padang, West Sumatera, Indonesia",,conference,"The 2nd International Conference on Mathematics, Science, Education and Technology 5–6 October 2017, Padang, West Sumatera, Indonesia",,,,,,,,,,,,,,,,
4,,,"Prototype measurement of electrical quantities had been built and applied to the H building in faculty of engineering,University of
Lampung. Electrical quantities Measurement of electrical quantities had been saved on TIK’s server. However, it had not been used for
estimation. Electric power is the electricity that tends to change following the electric load. So, electric power can be predictable or
estimation based on measurement data in the past. The method of backpropogation artificial neural networks is a method that have a good
approach to nonlinearity. The results of testing the estimation of electric power consumption had been done in the distribution panel of
Electrical Engineering and Mechanical Engineering UNILA indicated that this method can be used to estimate electric power consumption
for one month ahead with an accuracy of 0,884%. Thus this research can be applied to real-time estimation processes that can be accessed
and displayed by web in real-time.
Keyword : Prototype measurement, estimation , H building in faculty of engineering University of Lampung, artificial neural networks,
backpropogation",http://repository.lppm.unila.ac.id/id/eprint/10121,2018-10-01 00:00:00.000000000,['AC'],published,2018-11-16 03:47:36,,public,8,pub,,,disk0/00/01/01/21,['FT5'],,3,"[{'placement': 1, 'eprintid': 10121, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23129', 'security': 'public', 'files': [{'hash_type': 'MD5', 'mtime': '2018-11-16 03:43:03', 'filesize': 1029794, 'objectid': 23129, 'uri': 'http://repository.lppm.unila.ac.id/id/file/94813', 'filename': 'Icetsas2018.pdf', 'fileid': 94813, 'datasetid': 'document', 'hash': '07cb9247a8642c61f8154a17c9c22a0e', 'mime_type': 'application/pdf'}], 'main': 'Icetsas2018.pdf', 'docid': 23129, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2018-11-16 03:47:36,,archive,10121,2018-11-16 03:47:36,,show,"[{'id': 'despa@eng.unila.ac.id', 'name': {'given': 'Dikpride', 'family': 'Despa', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Setyawan', 'honourific': None, 'given': 'F.X. Arinto'}, 'id': 'fx.arinto@eng.unila.ac.id'}, {'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'family': 'Nama', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Jofanda', 'honourific': None, 'lineage': None, 'family': 'Delano'}}]",conference_item,TRUE,"ARTIFICIAL NEURAL NETWORK APPLICATIONS USE
MEASUREMENTS OF ELECTRICAL QUANTITIES TO
ESTIMATE ELECTRIC POWER",paper,18-20 Oktober 2018,"Hotel Emersia, Bandar Lampung, Lampung",,conference,"2018 International Conference on Engineering, Technologies, and Applied Sciences (ICETsAS 2018)",,,,,,,,,,,,,,,,
5,,,"Penerangan jalan umum tenaga surya (PJUTS)
adalah lampu penerangan jalan yang memanfaatkan baterai sebagai penyimpan energi utamanya. Kendala yang selama ini terjadi pada PJUTS yaitu baterai cepat rusak. Selain itu, jika tegangan baterai menurun, maka lumen cahaya yang dihasilkan oleh lampu akan menurun atau menjadi redup. Untuk mengatasi kedua hal tersebut maka dibutuhkan perangkat yang mampu membatasi penggunaan baterai serta dapat mempertahankan tegangan ke lampu sehingga lumen yang dihasilkan akan lebih stabil. Penelitian dilakukan
dengan menggunakan model PJUTS dimana baterai yang
digunakan memiliki kapasitas 12 volt 7,2 Ah dan lampu yang memiliki daya 10 watt. Hasil penelitian menunjukkan dengan menggunakan nilai duty cycle 4%, 5%, 6% dan 7% boost converter dapat menaikkan tegangan ke beban sehingga lumen yang dihasilkan oleh lampu menjadi lebih tinggi. Waktu discharging baterai dimulai pukul 18.00 WIB, ketika beban lampu langsung dihubungkan ke baterai maka dapat bertahan selama 8 jam 50 menit yaitu sampai pukul 03.50 WIB. Akan tetapi, ketika menggunakan perangkat boost converter dengan nilai duty cycle
yang berubah otomatis, maka baterai hanya mampu bertahan
selama 7 jam 45 menit atau hanya sampai pukul 01.45 WIB.",http://repository.lppm.unila.ac.id/id/eprint/8989,2018-10-19 00:00:00.000000000,['TK'],published,2018-10-29 04:23:10,,public,7,pub,,,disk0/00/00/89/89,['FT5'],,412,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Rancang Bangun Boost Converter Untuk PJUTS.pdf', 'docid': 22065, 'files': [{'fileid': 86855, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9fd713b4944d5f58a13062023c0664a2', 'hash_type': 'MD5', 'mtime': '2018-10-25 21:18:32', 'filesize': 254241, 'objectid': 22065, 'uri': 'http://repository.lppm.unila.ac.id/id/file/86855', 'filename': 'Rancang Bangun Boost Converter Untuk PJUTS.pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22065', 'pos': 1, 'eprintid': 8989, 'placement': 1}]",2018-10-29 04:23:11,,archive,8989,2018-10-29 04:23:10,159-163,show,"[{'name': {'honourific': None, 'family': 'Febrianto', 'lineage': None, 'given': 'Rendi'}, 'id': 'rendifebrianto074@gmail.com'}, {'name': {'given': 'Noer', 'family': 'Soedjarwanto', 'lineage': None, 'honourific': None}, 'id': 'noersoedjarwanto@gmail.com'}, {'name': {'given': 'Osea', 'lineage': None, 'family': 'Zebua', 'honourific': None}, 'id': 'oseaz2009@gmail.com'}]",conference_item,TRUE,"Rancang Bangun Boost Converter Untuk Proses
Discharging Baterai Pada Penerangan Jalan
Umum Tenaga Surya (PJUTS)",speech,18-19 Oktober 2018,Politeknik Negeri Malang,,conference,Seminar Nasional Teknologi Elektro Terapan ke-2,,,,,,,,,,,,,,,,
6,,,,http://repository.lppm.unila.ac.id/id/eprint/26862,2018-09-01 00:00:00.000000000,['TK'],,2020-12-01 01:07:10,,public,7,pub,"Jurusan Teknik Elektro, Universitas Lampung",,disk0/00/02/68/62,['FT5'],,663,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40870', 'eprintid': 26862, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Indeks SINTA Jurnal Electrician.pdf', 'docid': 40870, 'files': [{'filesize': 190080, 'objectid': 40870, 'filename': 'Indeks SINTA Jurnal Electrician.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/241244', 'hash_type': 'MD5', 'mtime': '2020-11-30 07:24:38', 'fileid': 241244, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f94896d20b348067c7c9407f03e4457f'}]}]",2020-12-01 01:07:10,,archive,26862,2020-12-01 01:07:10,,show,"[{'name': {'given': 'Helmy', 'honourific': None, 'family': 'Fitriawan', 'lineage': None}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",other,,Indeks SINTA untuk Jurnal Electrician,,,,,,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,
7,,,,http://repository.lppm.unila.ac.id/id/eprint/25428,2018-08-01 00:00:00.000000000,['TK'],,2020-11-16 03:12:47,,public,7,pub,Institute of Electrical and Electronics Engineers (IEEE),,disk0/00/02/54/28,['FT5'],,663,"[{'docid': 39218, 'main': '15. Penilaian_Karya_Ilmiah_An Intelligent Edge Computing Based Semantic Gateway for Healthcare Systems.pdf', 'files': [{'filesize': 1781562, 'objectid': 39218, 'uri': 'http://repository.lppm.unila.ac.id/id/file/229589', 'filename': '15. Penilaian_Karya_Ilmiah_An Intelligent Edge Computing Based Semantic Gateway for Healthcare Systems.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-16 03:08:58', 'fileid': 229589, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3543d9e04554b6f3bcffe0ae508c4274'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 25428, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39218', 'pos': 1, 'security': 'public'}]",2020-11-16 03:12:47,https://ieeexplore.ieee.org/document/8458037,archive,25428,2020-11-16 03:12:47,,show,"[{'name': {'given': 'Helmy', 'family': 'Fitriawan', 'lineage': None, 'honourific': None}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",other,,"Penilaian Karya Ilmiah Untuk Artikel ""An Intelligent Edge Computing Based Semantic Gateway for Healthcare Systems Interoperability and Collaboration""",,,,,,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,
8,,,,http://repository.lppm.unila.ac.id/id/eprint/25199,2018-09-01 00:00:00.000000000,['TK'],,2020-11-16 01:58:10,,public,7,pub,"Jurusan Teknik Elektro, Universitas Lampung",,disk0/00/02/51/99,['FT5'],,663,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/38977', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 25199, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 38977, 'main': '4. Penilaian_Karya_Ilmiah_Deteksi Posisi Plat Nomor Kendaraan Menggunakan Metode Transformasi Hough Dan Hit Or Miss.pdf', 'files': [{'mtime': '2020-11-14 03:00:37', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/227840', 'filename': '4. Penilaian_Karya_Ilmiah_Deteksi Posisi Plat Nomor Kendaraan Menggunakan Metode Transformasi Hough Dan Hit Or Miss.pdf', 'objectid': 38977, 'filesize': 1719048, 'mime_type': 'application/pdf', 'hash': '6072273a7b637caeaa29188238a4ed21', 'datasetid': 'document', 'fileid': 227840}], 'format': 'text'}]",2020-11-16 01:58:10,https://electrician.unila.ac.id/index.php/ojs/article/view/2084,archive,25199,2020-11-16 01:58:10,,show,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Fitriawan', 'honourific': None, 'given': 'Helmy'}}]",other,,"Penilaian Karya Ilmiah Untuk Artikel ""Deteksi Posisi Plat Nomor Kendaraan Menggunakan Metode Transformasi Hough Dan Hit Or Miss""",,,,,,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,
9,,,,http://repository.lppm.unila.ac.id/id/eprint/25424,2018-12-01 00:00:00.000000000,['TK'],,2020-11-16 03:07:33,,public,7,pub,Institute of Electrical and Electronics Engineers (IEEE),,disk0/00/02/54/24,['FT5'],,663,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39214', 'eprintid': 25424, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '12. Penilaian_Karya_Ilmiah_Intelligent and Energy Efﬁcient Mobile Smartphone Gateway for Healthcare Smart Devices based on 5G.pdf', 'files': [{'datasetid': 'document', 'fileid': 229547, 'mime_type': 'application/pdf', 'hash': 'effa58ace3793dbb78689f54cf3e7343', 'objectid': 39214, 'filesize': 1760761, 'filename': '12. Penilaian_Karya_Ilmiah_Intelligent and Energy Efﬁcient Mobile Smartphone Gateway for Healthcare Smart Devices based on 5G.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/229547', 'hash_type': 'MD5', 'mtime': '2020-11-16 03:00:13'}], 'docid': 39214}]",2020-11-16 03:07:33,https://ieeexplore.ieee.org/document/8648031,archive,25424,2020-11-16 03:07:33,,show,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Fitriawan', 'given': 'Helmy'}}]",other,,"Penilaian Karya Ilmiah Untuk Artikel ""Intelligent and Energy Efﬁcient Mobile Smartphone Gateway for Healthcare Smart Devices based on 5G""",,,,,,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,
