,dir,publisher,divisions,rev_number,ispublished,status_changed,full_text_status,subjects,uri,date,title,type,creators,contact_email,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,official_url,userid,pres_type,refereed,pagerange,event_type,event_title,abstract,number,issn,publication,volume,date_type,event_location,event_dates,related_url,succeeds,contributors,id_number,projects,corp_creators,funders
0,disk0/00/02/54/10,Universitas Syiah Kuala,['FT5'],7,pub,2020-11-16 02:56:42,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/25410,2013-10-01 00:00:00.000000000,"Penilaian Karya Ilmiah Untuk Artiekl ""Simulasi Kinerja Jaringan Nirkabel IEEE-802.11a dan IEEE-802.11b Menggunakan NS-2""",other,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'given': 'Helmy', 'lineage': None, 'family': 'Fitriawan', 'honourific': None}}]",helmy.fitriawan@eng.unila.ac.id,show,archive,25410,2020-11-16 02:56:42,"[{'placement': 1, 'eprintid': 25410, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39200', 'security': 'public', 'files': [{'mtime': '2020-11-16 02:41:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/229455', 'filename': '7. Penilaian_Karya_Ilmiah_Simulasi Kinerja Jaringan Nirkabel IEEE-802.11a dan IEEE-802.11b Menggunakan NS-2.pdf', 'objectid': 39200, 'filesize': 1695417, 'mime_type': 'application/pdf', 'hash': 'c07f1515e3807279484a084cc18171eb', 'datasetid': 'document', 'fileid': 229455}], 'main': '7. Penilaian_Karya_Ilmiah_Simulasi Kinerja Jaringan Nirkabel IEEE-802.11a dan IEEE-802.11b Menggunakan NS-2.pdf', 'docid': 39200, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2020-11-16 02:56:42,http://www.jurnal.unsyiah.ac.id/JRE/article/view/1104,663,,,,,,,,,,,,,,,,,,,,
1,disk0/00/02/54/32,"Jurusan Teknik Elektro, Universitas Andalas",['FT5'],7,pub,2020-11-16 03:20:49,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/25432,2013-09-01 00:00:00.000000000,"Penilaian Karya Ilmiah Untuk Artikel ""Pemodelan dan Simulasi Jaringan Sensor Nirkabel IEEE-802.15.4 Dengan Network Simulator-2""",other,"[{'name': {'family': 'Fitriawan', 'lineage': None, 'honourific': None, 'given': 'Helmy'}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",helmy.fitriawan@eng.unila.ac.id,show,archive,25432,2020-11-16 03:20:49,"[{'placement': 1, 'eprintid': 25432, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39223', 'security': 'public', 'main': '17. Penilaian_Karya_Ilmiah_Pemodelan dan Simulasi Jaringan Sensor Nirkabel IEEE-802.15.4 Dengan Network Simulator-2.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-16 03:13:53', 'filesize': 1662224, 'objectid': 39223, 'uri': 'http://repository.lppm.unila.ac.id/id/file/229615', 'filename': '17. Penilaian_Karya_Ilmiah_Pemodelan dan Simulasi Jaringan Sensor Nirkabel IEEE-802.15.4 Dengan Network Simulator-2.pdf', 'datasetid': 'document', 'fileid': 229615, 'mime_type': 'application/pdf', 'hash': '579b8d4bb21eb6b0b3f678a1b41e5020'}], 'docid': 39223, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-11-16 03:20:49,http://repository.lppm.unila.ac.id/id/eprint/24266,663,,,,,,,,,,,,,,,,,,,,
2,disk0/00/02/49/63,"Jurusan Teknik Elektro, Universitas Andalas",['FT5'],7,pub,2020-11-11 08:16:24,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/24963,2013-09-01 00:00:00.000000000,"Similarity Index Untuk Artikel ""Pemodelan dan Simulasi Jaringan Sensor Nirkabel IEEE-802.15.4 Dengan Network Simulator-2""",other,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'given': 'Helmy', 'honourific': None, 'family': 'Fitriawan', 'lineage': None}}]",helmy.fitriawan@eng.unila.ac.id,show,archive,24963,2020-11-11 08:16:24,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 38706, 'main': '17. Pemodelan_dan_Simulasi_Jaringan_Sensor_Nirkabel_IE.pdf', 'files': [{'fileid': 225991, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '079c1a7a27ab88c52d0c5f34dbeb23a2', 'filesize': 1396088, 'objectid': 38706, 'uri': 'http://repository.lppm.unila.ac.id/id/file/225991', 'filename': '17. Pemodelan_dan_Simulasi_Jaringan_Sensor_Nirkabel_IE.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-11 08:08:40'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38706', 'eprintid': 24963, 'placement': 1}]",2020-11-11 08:16:24,,663,,,,,,,,,,,,,,,,,,,,
3,disk0/00/02/49/24,Universitas Syiah Kuala,['FT5'],8,pub,2020-11-11 07:40:18,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/24924,2013-10-01 00:00:00.000000000,"Similarity Index Untuk Artikel ""Simulasi Kinerja Jaringan Nirkabel IEEE-802.11a dan IEEE-802.11b Menggunakan NS-2""",other,"[{'name': {'given': 'Helmy', 'honourific': None, 'family': 'Fitriawan', 'lineage': None}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",helmy.fitriawan@eng.unila.ac.id,show,archive,24924,2020-11-11 07:40:18,"[{'format': 'text', 'main': '7. Simulasi_Kinerja_Jaringan_Nirkabel_IEEE_802_11a_da.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/225737', 'filename': '7. Simulasi_Kinerja_Jaringan_Nirkabel_IEEE_802_11a_da.pdf', 'objectid': 38670, 'filesize': 1271748, 'mtime': '2020-11-11 06:38:57', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'e1d4d6d46485dc197056bcb52e75317a', 'datasetid': 'document', 'fileid': 225737}], 'docid': 38670, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 24924, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38670', 'pos': 1}]",2020-11-11 07:40:18,http://www.jurnal.unsyiah.ac.id/JRE/article/view/1104,663,,,,,,,,,,,,,,,,,,,,
4,disk0/00/02/42/66,,['FT5'],9,pub,2020-10-05 08:39:46,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/24266,1970-01-01 00:00:00.000002013,Pemodelan dan Simulasi Jaringan Sensor Nirkabel IEEE-802.15.4 Dengan Network Simulator-2,conference_item,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Fitriawan', 'given': 'Helmy'}}, {'id': None, 'name': {'given': 'Fadil', 'family': 'Hamdani', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Dewanto', 'lineage': None, 'honourific': None, 'given': 'Fajar Ahmad'}, 'id': None}]",,show,archive,24266,2020-10-05 08:39:46,"[{'format': 'text', 'main': '17. Pemodelan dan Simulasi Jaringan Sensor Nirkabel_2013.pdf', 'docid': 37986, 'files': [{'hash_type': 'MD5', 'mtime': '2020-10-02 05:34:17', 'objectid': 37986, 'filesize': 1958596, 'uri': 'http://repository.lppm.unila.ac.id/id/file/220862', 'filename': '17. Pemodelan dan Simulasi Jaringan Sensor Nirkabel_2013.pdf', 'datasetid': 'document', 'fileid': 220862, 'hash': '84aef68c70bca50d46a223cde699f3e8', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 24266, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37986', 'pos': 1}]",2020-10-05 08:39:46,,663,paper,TRUE,180-184,workshop,Seminar Nasional Forum Pendidikan Tinggi Teknik Elektro Indonesia (FORTEI),"Jaringan Sensor Nirkabel (JSN) merupakan jaringan ad-hoc menggunakan komponen elektronika dengan konsumsi energi rendah berbasis komunikasi nirkabel. Simulasi akurat dan realistik diperlukan sebelum JSN diinstalasi di lapangan untuk melakukan pengukuran dan pemantauan fenomena fisik. Pada penelitian ini, perangkat lunak Network Simulator-2 (NS-2) dan mannasim dipergunakan untuk melakukan pemodelan dan simulasi JSN IEEE-802.15.4. Hasil simulasi kemudian dianalisa untuk menentukan tingkat kinerja jaringan. Kinerja jaringan dilihat dari parameter kualitas layanan (QoS) jaringan yang didapat yaitu throughput, delay dan packet.",,,,,,,,,,,,,,
5,disk0/00/02/54/55,"Jurusan Teknik Elektro, Universitas Syah Kuala",['FT5'],6,pub,2020-11-16 06:05:55,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/25455,1970-01-01 00:00:00.000002013,Simulasi Kinerja Jaringan Nirkabel IEEE-802.11a dan IEEE-802.11b Menggunakan NS-2,article,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Fitriawan', 'given': 'Helmy'}}, {'name': {'given': 'Amri', 'honourific': None, 'family': 'Wahyudin', 'lineage': None}, 'id': None}]",helmy.fitriawan@eng.unila.ac.id,show,archive,25455,2020-11-16 06:05:55,"[{'eprintid': 25455, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39246', 'format': 'text', 'files': [{'objectid': 39246, 'filesize': 3123588, 'filename': '7. Simulasi Kinerja Jaringan Nirkabel IEEE-802.11a dan IEEE-802.11b_2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/229776', 'hash_type': 'MD5', 'mtime': '2020-11-16 04:56:03', 'datasetid': 'document', 'fileid': 229776, 'hash': '9fa6c6d3a08b3f3f2796b414bd11fe79', 'mime_type': 'application/pdf'}], 'main': '7. Simulasi Kinerja Jaringan Nirkabel IEEE-802.11a dan IEEE-802.11b_2013.pdf', 'docid': 39246, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2020-11-16 06:05:55,http://www.jurnal.unsyiah.ac.id/JRE/article/view/1104,663,,TRUE,161-165,,,"Jaringan nirkabel merupakan jaringan yang menggunakan media transmisi berbasis gelombang radio.
Jaringan jenis ini banyak digunakan karena efisiensi dan kemudahan mobilitasnya dalam pertukaran data. Pada
penelitian ini dilakukan pemodelan dan simulasi jaringan nirkabel yang mengacu pada spesifikasi teknis perangkat
Cisco Aironet 1130ag dengan standar IEEE 802.11a dan IEEE 802.11g. Pemodelan dan simulasi dilakukan
dengan perangkat lunak Network Simulator versi 2 (NS-2) yang diinstal pada sistem operasi Linux Ubuntu v.10.10.
Perangkat lunak NS-2 banyak digunakan dan bekerja baik dalam berbagai jenis simulasi jaringan. Dari simulasi
didapatkan parameter kualitas layanan jaringan (QoS) dengan menerapkan beberapa skenario simulasi seperti
jumlah nodal, jarak antar nodal, serta ukuran paket data. Dari hasil simulasi dapat disimpulkan jaringan dengan
standar IEEE 802.11g mempunyai kualitas pengiriman data lebih baik dibanding jaringan dengan standar IEEE
802.11a. Jaringan dengan standar IEEE 802.11g memberikan tingkat performansi rata-rata throughput yang lebih
besar dengan nilai rata-rata delay dan persentase packet loss yang lebih kecil dibandingkan dengan hasil simulasi
menggunakan jaringan IEEE 802.11a.",4.0,1412-4785; 2252-620X (Online),Jurnal Rekayasa Elektrika,10.0,,,,,,,,,,
6,disk0/00/00/15/15,,['FT5'],8,pub,2017-04-13 04:31:29,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/1515,1970-01-01 00:00:00.000002013,"Smart Grid Approach by Evaluating Power System Oscillation
Mode Using PMU Based Eigenvalues Estimation",conference_item,"[{'name': {'given': 'Takeshi', 'honourific': None, 'family': 'Kudo', 'lineage': None}}, {'name': {'given': 'Kenta', 'honourific': None, 'family': 'Kushizaki', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Mitani', 'given': 'Yasunori'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Watanabe', 'given': 'Masayuki'}}, {'name': {'given': 'Yaser', 'family': 'Qudaih', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Khairudin', 'lineage': None, 'honourific': None, 'given': 'Khairudin'}}]",,show,archive,1515,2017-04-13 04:31:29,"[{'files': [{'datasetid': 'document', 'fileid': 10362, 'hash': 'c47f5a2ff3379ec13f79cf97b252a200', 'mime_type': 'application/pdf', 'objectid': 1387, 'filesize': 442626, 'uri': 'http://repository.lppm.unila.ac.id/id/file/10362', 'filename': 'SPGO-0833.pdf', 'hash_type': 'MD5', 'mtime': '2017-04-12 09:34:27'}], 'main': 'SPGO-0833.pdf', 'docid': 1387, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 1515, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1387', 'pos': 1, 'security': 'public'}]",2017-04-13 04:31:29,,194,paper,TRUE,,conference,ISGCE 2013,"One of the most important characteristics of the smart grid is the keen monitoring. At
the same time, electrical energy has to cover the entire demand and electricity should be generated
all the times. However, the electric power companies connected via transmission lines over wide
area should consider the cost performance as well as the high reliability. In Japan, power system
has a longitudinal structure which results in a wide-area oscillation with duration of 2 to 3 seconds
and relatively weak damping characteristics. Phasor Measurement Units (PMUs) have been placed
at different Japanese universities, to analyze the power system characteristic. These PMUs are
employed to analyze variation of power system stability in Western Japan power system. This
paper shows the dynamic characteristic of Japan power system using phasor difference data by
PMU. In this research, a simplified oscillation model has been used to estimate eigenvalue of the
wide-area oscillation mode. Moreover, the two-point differentiation which has been used during
the differentiation process at a previous method has been modified by a three-point differentiation
in an improved method. The relationship between stability and eigenvalue analysis are shown as
low demand season and high demand season respectively",,,,,published,"Jeju, Korea",8 - 11  July 2013,,,,,,,
7,disk0/00/00/68/71,,['FT5'],7,pub,2018-05-28 03:41:46,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/6871,1970-01-01 00:00:00.000002013,Observation of Negative Differential Conductance in Nanoscale p-n Junctions,article,"[{'id': 'sri.purwiyanti@eng.unila.ac.id', 'name': {'family': 'Purwiyanti', 'lineage': None, 'honourific': None, 'given': 'Sri'}}, {'name': {'given': 'Daniel', 'family': 'Moraru', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Mizuno', 'honourific': None, 'given': 'Takeshi'}}, {'name': {'given': 'Djoko', 'family': 'Hartanto', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Tabe', 'given': 'Michiharu'}, 'id': None}]",,show,archive,6871,2018-05-28 03:41:46,"[{'placement': 1, 'eprintid': 6871, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19852', 'security': 'public', 'docid': 19852, 'main': 'purwiyanti_QIR2013.pdf', 'files': [{'hash': 'b4b297535f61256539c9b6889b42d58f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 63138, 'filename': 'purwiyanti_QIR2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/63138', 'objectid': 19852, 'filesize': 257693, 'mtime': '2018-05-07 05:28:25', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2018-05-28 03:41:46,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6632532,56,,TRUE,14-18,,,"Recently, p-n junction characteristics in nanometer
scale have been investigated in relation with photonics and
electronics applications. In this paper, we report the
experimental observation of negative differential conductance(NDC), the basic indication of tunneling, in nanoscale p-n junctions under forward bias condition. The NDC has been observed only at low temperatures, suggesting that tunneling is mediated by some states in the band gap, most likely by individual dopants with deeper energy levels compared to bulk. Furthermore, we also observed random telegraph signal (RTS) at low temperatures, which is ascribed to sudden changes of charge states of an individual dopant. These results illustrate the nature of individual dopants in nanoscale p-n junctions and their impact on device characteristics.",,,2013 International Conference on QIR (Quality in Research),,published,,,[{'url': 'http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6632532&newsearch=true&queryText=sri%20purwiyanti&fname=&lname=&title=&volume=&issue=&spage='}],,,,,,
8,disk0/00/00/67/36,AIP Publishing,['FT5'],6,pub,2018-04-25 08:02:27,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/6736,2013-12-09 00:00:00.000000000,Dopant-induced random telegraph signal in nanoscale lateral silicon pn diodes at low temperatures,article,"[{'id': 'sri.purwiyanti@eng.unila.ac.id', 'name': {'family': 'Purwiyanti', 'lineage': None, 'honourific': None, 'given': 'Sri'}}, {'name': {'given': 'Roland', 'lineage': None, 'family': 'Nowak', 'honourific': None}, 'id': None}, {'name': {'given': 'Daniel', 'family': 'Moraru', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Mizuno', 'given': 'Takeshi'}}, {'name': {'given': 'Djoko', 'honourific': None, 'lineage': None, 'family': 'Hartanto'}, 'id': None}, {'name': {'given': 'Ryszard', 'lineage': None, 'family': 'Jablonski', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Tabe', 'lineage': None, 'given': 'Michiharu'}, 'id': None}]",,show,archive,6736,2018-04-25 08:02:27,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19704', 'eprintid': 6736, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 19704, 'main': 'Purwiyanti-APL-2013.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/61860', 'filename': 'Purwiyanti-APL-2013.pdf', 'objectid': 19704, 'filesize': 1663615, 'mtime': '2018-04-18 06:47:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'c6c74f3aa156787171aea131b59f775b', 'datasetid': 'document', 'fileid': 61860}]}]",2018-04-25 08:02:27,http://scitation.aip.org/content/aip/journal/apl/103/24/10.1063/1.4841735,56,,TRUE,243102-1,,,"We studied current-voltage characteristics of nanoscale pn diodes having the junction formed in a laterally patterned ultrathin silicon-on-insulator layer. At temperatures below 30 K, we observed random telegraph signal (RTS) in a range of forward bias. Since RTS is observed only for pn diodes, but not for pin diodes, one dopant among phosphorus donors or boron acceptors facing across the junction is likely responsible for potential changes affecting the current. Based also on potential measurements by low-temperature Kelvin probe force microscope, RTS is ascribed to trapping/detrapping of carriers by/from a single dopant near the farther edge of the depletion region.",243102.0,0003-6951,APPLIED PHYSICS LETTERS,103.0,published,,,,6724.0,,,,,
9,disk0_bak/00/05/02/11,IEEE,['FT5'],6,pub,2023-04-11 07:25:58,public,['TK'],http://repository.lppm.unila.ac.id/id/eprint/50211,2013-01-24 00:00:00.000000000,UHF Sensor Array for Partial Discharge Location in Transformers,article,"[{'id': 'herman.h.sinaga@eng.unila.ac.id', 'name': {'given': 'Herman Halomoan', 'lineage': None, 'family': 'Sinaga', 'honourific': None}}, {'name': {'given': 'Toan', 'family': 'Phung', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Blackburn', 'given': 'Trevor'}, 'id': None}]",,show,archive,50211,2023-04-11 07:25:58,"[{'placement': 1, 'eprintid': 50211, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189916', 'pos': 1, 'security': 'public', 'docid': 189916, 'main': 'UHF sensor array for partial discharge location in transformers.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '80f41eb29e4ee1439d0ce9d0ca220f95', 'fileid': 542689, 'datasetid': 'document', 'mtime': '2023-04-11 05:57:07', 'hash_type': 'MD5', 'filename': 'UHF sensor array for partial discharge location in transformers.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/542689', 'filesize': 284778, 'objectid': 189916}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2023-04-11 07:25:58,https://ieeexplore.ieee.org/xpl/conhome/6403647/proceeding,689,,TRUE,,,,"The application of the ultra-high frequency (UHF) partial discharge (PD) detection method has proven effective in GIS. This method is now also being applied to detect PDs in oilfilled power transformers. In this paper, the localization of the PD source in transformer is discussed. This is achieved by applying an array of four sensors to capture the PD signals at the same time. To determine the PD location, two methods (first peak and cross-correlation) are used to determine the difference in time of arrival between sensor signals and followed by numerical triangulation. The sensor positions and array size influence the PD waveform patterns captured, and thus the accuracy of the PD localization. Experimental results and analysis indicate the first peak method yields better location accuracy than the cross correlation method. However, the traditional external acoustic detection method performs better than the UHF detection method under the same test configurations.",,978-1-4673-1020-8,"IEEE International Conference on Condition Monitoring and Diagnosis, CMD",,published,,,[{'url': 'https://ieeexplore.ieee.org/document/6416318'}],,,,,,
