,related_url,publisher,publication,divisions,dir,ispublished,rev_number,full_text_status,issn,status_changed,date_type,subjects,date,uri,abstract,volume,title,refereed,creators,type,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,official_url,documents,userid,number,corp_creators,succeeds,pagerange,pres_type,event_type,event_title,contact_email,contributors,id_number
0,"[{'type': 'pub', 'url': 'http://ejournal.radenintan.ac.id/'}]",Universitas Islam Negeri Raden Intan Lampung,International Journal of Electronics and Communications System,['FT8'],disk0_bak/00/04/93/59,pub,7,public,ISSN: 2798-2610,2023-03-29 08:12:36,published,"['T1', 'TK']",1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/49359,"Lampung script fonts, in general, can only be used for typing on a computer system and have not been developed for typing on Android-based smartphones. Therefore, efforts to modernize and build typing using Lampung script for smartphone needs are very much needed on mobile phones so they can be used flexibly. This research makes a virtual keyboard / android keyboard application that can do typing using Lampung script. The virtual keyboard layout is designed by adopting several layouts found on the QWERTY keyboard by displaying all Aksara letters on one virtual keyboard display and grouping Aksara letters in a more attractive composition. To test the Lampung virtual keyboard script, the researchers used the usability testing method, namely aspects of effectiveness, efficiency, and user satisfaction, by 25 respondents. Through this test, an assessment of the effectiveness of the typing test on the success rate of respondents in doing the task was obtained, which was 75%. Evaluation of the typing efficiency aspect using time calculation gets the average result on the WPM score analysis, which is 34 WPM. This result is still below the average typing speed of people, which is 38 WPM. Testing on the aspect of user satisfaction using the system usability scale (SUS) method gets a SUS value of 76, and this result is included in the Acceptable/Good category Acceptable/Good so that users can type Lampung script through Android phones. The conclusion is that it can produce an optimal, efficient virtual keyboard layout and provide comfort for the user while using it with Android. It also could introduce the Lampung script to the younger generation.
Pratama Yuda Bagaskara, Meizano Ardhi Muhammad, Mardiana Mardiana, M Komarudin",2.0,Virtual Keyboard Design of Lampung Script Based on Android,TRUE,"[{'id': 'pratama.yuda1003@students.unila.ac.id', 'name': {'family': 'Bagaskara', 'lineage': None, 'honourific': None, 'given': 'Pratama Yuda'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'given': 'Meizano Ardhi', 'honourific': None, 'family': 'Muhammad', 'lineage': None}}, {'id': 'mardiana@eng.unila.ac.id', 'name': {'honourific': None, 'family': '.', 'lineage': None, 'given': 'Mardiana'}}, {'name': {'given': 'Muhamad', 'lineage': None, 'family': 'Komarudin', 'honourific': None}, 'id': 'komar@eng.unila.ac.id'}]",article,show,2023-03-29 08:12:36,49359,archive,2023-03-29 08:12:36,http://ejournal.radenintan.ac.id/index.php/IJECS/article/view/11648/0,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188905', 'eprintid': 49359, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 188905, 'main': '11648-42362-2-PB.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-03-29 05:32:53', 'objectid': 188905, 'filesize': 1218304, 'filename': '11648-42362-2-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/535842', 'fileid': 535842, 'datasetid': 'document', 'hash': '748463a74feadf5cc81bfa9f1213914e', 'mime_type': 'application/pdf'}]}]",1199,1.0,,,,,,,,,
1,,Universitas Lambung Mangkurat,,['FT8'],disk0/00/04/04/03,pub,9,public,,2022-03-21 11:29:52,,"['QA75', 'QA76']",2022-02-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40403,,,Peer Review : Pemanfaatan Analisis Spasial Untuk Pemetaan Risiko Bencana Alam Tsunami Menggunakan Pengolahan Data Spasial Sistem Informasi Geografis,,"[{'id': 'deny.budianto@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Budiyanto', 'honourific': None, 'given': 'Deny'}}, {'name': {'given': 'Trisya', 'lineage': None, 'family': 'Septiana', 'honourific': None}, 'id': 'trisya.septiana@eng.unila.ac.id'}, {'id': 'mona.batubara@eng.unila.ac.id', 'name': {'given': 'Mona', 'family': 'Arif Muda', 'lineage': None, 'honourific': None}}]",other,show,2022-03-21 11:29:52,40403,archive,2022-03-21 11:29:52,http://klik.ulm.ac.id/index.php/klik/article/view/324,"[{'format': 'text', 'files': [{'filesize': 705921, 'objectid': 161713, 'filename': 'Peer Review.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/450655', 'hash_type': 'MD5', 'mtime': '2022-03-21 05:35:09', 'datasetid': 'document', 'fileid': 450655, 'mime_type': 'application/pdf', 'hash': 'b49bba5de02bd9360e06b1504128cd07'}], 'main': 'Peer Review.pdf', 'docid': 161713, 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 2, 'eprintid': 40403, 'placement': 1, 'formatdesc': 'Peer Review Artikel Jurnal', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161713'}]",3232,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,,,
2,,Faculty of Enginerring University of Lampung,Journal of Engineering and Scientific Research (JESR),['FT8'],disk0_bak/00/05/22/43,pub,10,public,pISSN268-0338 ; eISSN 268-1695,2023-07-12 06:47:31,,['T1'],2022-12-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52243,"Lampung Heritage Virtual Reality Tour was developed as a tool to educate the importance of Lampung’s historical heritage. It represents eight Lampung historical heritage sites in the virtual reality world, namely the Lampung Museum, Thay Hin Bio Vihara, Al-Anwar Mosque, Lampung Siger Tower, Krakatau Monument, Kerti Bhuana Temple, Nuwo Sesat Traditional House, and the Japanese Caves. Functional features of the Lampung Heritage Virtual Reality Tour are visiting virtual tourist spots and viewing information on virtual tourist attractions. Digital tourists can select a virtual tourist spot with the location panel. The user perception and satisfaction require a qualitative measurement to understand its impact on educating Lampung's historical heritage. Using usability, we should understand the quality of the Lampung Heritage Virtual Reality Tour. The tools to measure the usability level of the application are the User Acceptance Test and the System Usability Scale. There were 15 questions User Acceptance Test (UAT) with a composition of five questions affordance, four questions signifier, and six questions feedback. According to the SUS standard, we asked ten questions on the System Usability Scale (SUS). The result for UAT was an average of 95.75%, which consist of 95.00% affordance, 94.79% signifier, and 97.45% feedback. The result of SUS was Good, based on a score of 83.39. The Lampung Heritage Virtual Reality Tour meets good usability standards, making the application suitable.

Keywords: virtual reality tour, Lampung historical heritage, usability, SUS, UAT",,"Usability of Lampung Heritage Virtual Reality
Tour",TRUE,"[{'id': 'sony@staff.unila.ac.id', 'name': {'given': 'Sony', 'honourific': None, 'lineage': None, 'family': 'Ferbangkara'}}, {'id': None, 'name': {'family': 'Mardiana', 'lineage': None, 'honourific': None, 'given': 'Mardiana'}}, {'id': 'fx.arinto@eng.unila.ac.id', 'name': {'given': 'FX. Arinto', 'honourific': None, 'lineage': None, 'family': 'Setyawan'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sulistiyanti', 'given': 'Sri Ratna'}, 'id': 'sr_sulistiyanti@eng.unila.ac.id'}, {'name': {'given': 'khiarudin', 'honourific': None, 'family': 'khiarudin', 'lineage': None}, 'id': None}, {'id': 'eko@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Sulistiono', 'given': 'Wahyu Eko'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'family': 'Muhammad', 'lineage': None, 'honourific': None, 'given': 'Meizano Ardhi'}}]",article,show,2023-07-12 06:47:31,52243,archive,2023-07-12 06:47:31,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-07-12 05:11:28', 'filesize': 1224236, 'objectid': 252944, 'filename': 'JITET - RANCANG BANGUN SRS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/619111', 'datasetid': 'document', 'fileid': 619111, 'mime_type': 'application/pdf', 'hash': 'a1175c253c3eef058ab2a41ed9e3bf6e'}], 'main': 'JITET - RANCANG BANGUN SRS.pdf', 'docid': 252944, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/252944', 'eprintid': 52243, 'placement': 1}]",586,,,,,,,,,,
3,"[{'url': 'http://ejournal.radenintan.ac.id/', 'type': 'pub'}]",Universitas Islam Negeri Raden Intan Lampung,International Journal of Electronics and Communications System,['FT8'],disk0_bak/00/04/94/70,pub,7,public,ISSN: 2798-2610,2023-03-31 00:49:50,published,"['T1', 'TK']",1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/49470,"Convolutional Neural Network (CNN) is very good at classifying images. To measure the best CNN architecture, a study must be done against real-case scenarios. Aglaonema, one of the plants with high similarity, is chosen as a test case to compare CNN architecture. In this study, a classification process was carried out on five classes of Aglaonema imagery by comparing five architectures from the Convolutional Neural Network (CNN) method: LeNet, AlexNet, VGG16, Inception V3, and ResNet50. The total dataset used is 500 image data, with the distribution of training data by 80% and test data by 20%. The segmentation process is performed using the Grabcut algorithm by separating the foreground and background. To build a model for CNN architecture using Google Colab and Google Drive storage. The results of the tests carried out on five classes of Aglaonema images obtained the best accuracy, precision, and recall results on the Inception V3 architecture with values of 92.8%, 93%, and 92.8%. The CNN architecture has the highest level of accuracy in classifying aglaonema plant types based on images. This study seeks to close research gaps, contribute to the field of research, and serve as a platform for primary prevention research.",2.0,Comparison Study of Convolutional Neural Network Architecture in Aglaonema Classification,TRUE,"[{'name': {'given': 'Yessi', 'family': 'Mulyani', 'lineage': None, 'honourific': None}, 'id': 'yessi.mulyani@eng.unila.ac.id'}, {'name': {'given': 'Septiangraini', 'family': 'Dzihan', 'lineage': None, 'honourific': None}, 'id': 'jihansepti999@gmail.com'}, {'name': {'given': 'Meizano Ardhi', 'lineage': None, 'family': 'Muhammad', 'honourific': None}, 'id': 'meizano@eng.unila.ac.id'}, {'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'family': 'Nama', 'lineage': None, 'honourific': None}}]",article,show,2023-03-31 00:49:50,49470,archive,2023-03-31 00:49:50,http://ejournal.radenintan.ac.id/index.php/IJECS/article/view/13694,"[{'security': 'public', 'formatdesc': 'Artikel', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189079', 'eprintid': 49470, 'placement': 1, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 536765, 'mime_type': 'application/pdf', 'hash': 'f87507180f8ee09f20e238ec989d8c86', 'filesize': 1163598, 'objectid': 189079, 'filename': 'meizano-13694-50175-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/536765', 'hash_type': 'MD5', 'mtime': '2023-03-29 05:12:02'}], 'main': 'meizano-13694-50175-1-PB.pdf', 'docid': 189079}, {'placement': 2, 'eprintid': 49470, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189080', 'security': 'public', 'formatdesc': 'Similiarity', 'main': 'meizano+jurnal-2022-Comparison Study of CNN Aglaonema.pdf.pdf', 'docid': 189080, 'files': [{'filesize': 1083627, 'objectid': 189080, 'uri': 'http://repository.lppm.unila.ac.id/id/file/536767', 'filename': 'meizano+jurnal-2022-Comparison Study of CNN Aglaonema.pdf.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-30 19:10:22', 'datasetid': 'document', 'fileid': 536767, 'hash': '46f8f4be5e4f91a455cf78281dca1552', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'other'}, {'eprintid': 49470, 'placement': 3, 'formatdesc': 'Korespondensi', 'security': 'public', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189081', 'format': 'text', 'main': 'meizano-korespondensi-Comparison Study of Convolutional Neural Network Architecture in Aglaonema.pdf', 'files': [{'datasetid': 'document', 'fileid': 536769, 'hash': 'dba8eeca4e76f00ecfa0656b2f456ede', 'mime_type': 'application/pdf', 'objectid': 189081, 'filesize': 93960, 'uri': 'http://repository.lppm.unila.ac.id/id/file/536769', 'filename': 'meizano-korespondensi-Comparison Study of Convolutional Neural Network Architecture in Aglaonema.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-30 19:10:34'}], 'docid': 189081, 'content': 'other', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf'}]",1199,2.0,,49357.0,,,,,,,
4,,LPPM UNILA,Jurnal Sakai Sambayan,['FT8'],disk0/00/04/39/09,pub,8,public,2550-1089,2022-08-04 07:23:35,published,"['TK', 'TP']",2022-07-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/43909,"Kegiatan pengabdian ini bertujuan untuk mengedukasi masyarakat tentang pemilahan dan pengelolaan sampah organik menjadi kompos serta membuat aplikasi digital untuk mempermudah jual beli sampah yang dapat didaur ulang.  Kegiatan ini dilakukan di Kelurahan Rajabasa, Bandar Lampung dengan mitra adalah Komunitas Sahabat Lingkungan (KSL). Metode yang dilakukan dalam kegiatan pengabdian ini meliputi sosialisasi, pelatihan dan penggunaan aplikasi digital jual beli sampah dengan menggunakan smartphone. Dalam sosialisasi dijelaskan secara singkat tentang pemanfaatan dan penanganan sampah, khususnya sampah organik. Pelatihan pembuatan kompos dan penggunaan aplikasi digital jual beli sampah diberikan kepada mitra KSL. Permasalahan tentang pengelolaan sampah secara umum dan khususnya yang dihadapi mitra adalah belum memiliki pengetahuan dan peralatan untuk proses pembuatan kompos. Dengan kegiatan pengabdian Unggulan ini mitra KSL dapat menggunakan peralatan untuk membuat kompos, dan dapat menggunakan aplikasi digital jual beli sampah untuk mempermudah mereka. Kegiatan pengabdian ini telah memberikan keuntungan bagi mitra.

Kata kunci: sampah organik; kompos; aplikasi digital jual beli sampah",6.0,"Penerapan Aplikasi Digital pada Jual Beli Sampah Plastik dan Produksi Kompos dari Limbah Organik Skala Rumah Tangga di Kelurahan Rajabasa, Bandar Lampung",FALSE,"[{'name': {'given': 'Yessi', 'honourific': None, 'family': 'Mulyani', 'lineage': None}, 'id': 'yessi.mulyani@eng.unila.ac.id'}, {'id': 'eko@eng.unila.ac.id', 'name': {'given': 'Wahyu Eko', 'lineage': None, 'family': 'Sulistiono', 'honourific': None}}, {'id': 'herti.utami@eng.unila.ac.id', 'name': {'family': 'Utami', 'lineage': None, 'honourific': None, 'given': 'Herti'}}, {'name': {'given': 'Ilim', 'honourific': None, 'lineage': None, 'family': 'Ilim'}, 'id': 'ilim@fmipa.unila.ac.id'}]",article,show,2022-08-04 07:23:35,43909,archive,2022-08-04 07:23:35,,"[{'files': [{'fileid': 478016, 'datasetid': 'document', 'hash': 'd5a4dc825d6aac1fe9bdd9b28027ab14', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-08-04 07:01:22', 'filesize': 803569, 'objectid': 165890, 'uri': 'http://repository.lppm.unila.ac.id/id/file/478016', 'filename': 'Artikel Aplikasi Digital Jual Beli Sampah Juli 2022.pdf'}], 'main': 'Artikel Aplikasi Digital Jual Beli Sampah Juli 2022.pdf', 'docid': 165890, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 43909, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165890', 'security': 'public'}]",423,2.0,"['Jurusan Teknik Informatika, Fakultas Teknik, Universitas Lampung', 'Jurusan Teknik Informatika, Fakultas Teknik, Universitas Lampung', 'Jurusan Teknik Kimia, Fakultas Teknik, Universitas Lampung', 'Jurusan Kimia, Fakultas MIPA, Universitas Lampung']",,80-85,,,,,,
5,,Teknik Elektro Unila,Jurnal informatika dan Teknik elektro terapan (JITET),['FT8'],disk0/00/04/68/11,pub,7,public,2303-0577,2022-11-23 09:04:18,published,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46811,"Dalam penelitian ini akan dilakukan analisis sentimen masyarakat
terhadap kinerja Dewan Perwakilan Rakyat (DPR) yang diungkapkan melalui
media sosial twitter. Ada beberapa tahap untuk melakukan analisis sentimen ,
yaitu pengumpulan data (crawling), preporcessing data yang terdiri dari proses
cleaning data, tokenization, stop remova dan case folding, splitting data dan
klasifikasi data menggunakan metode Naive Bayes Classifier. Penelitian ini
menggunakan sebanyak 1546 data tweet. Hasil dari penelitian ini didapatkan
bahwa DPR mendapatkan 95 tweet positif dengan polaritas 0.75 atau 75%
sentimen positif, 693 tweet netral dengan polaritas 0.79 atau 79% sentimen
netral dan 758 tweet negatif dengan polaritas 0.82 atau 82% sentimen negatif
dengan accuracy score 0.8 atau 80% berdasarkan data testing sebanyak 20%",10.0,"ANALISIS SENTIMEN KINERJA DEWAN PERWAKILAN
RAKYAT (DPR) PADA TWITTER MENGGUNAKAN METODE
NAIVE BAYES CLASSIFIER",TRUE,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Nama', 'lineage': None, 'given': 'Gigih Forda'}}]",article,show,2022-11-23 09:04:18,46811,archive,2022-11-23 09:04:18,,"[{'eprintid': 46811, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185739', 'pos': 1, 'format': 'text', 'docid': 185739, 'main': '2262-4900-2-PB-1.pdf', 'files': [{'objectid': 185739, 'filesize': 500333, 'filename': '2262-4900-2-PB-1.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515297', 'hash_type': 'MD5', 'mtime': '2022-11-23 09:01:24', 'datasetid': 'document', 'fileid': 515297, 'mime_type': 'application/pdf', 'hash': '919e083820446f10ffec90ba130fc180'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",1,1.0,,,,,,,,,
6,,Anka Publisher,,['FT8'],disk0/00/04/66/17,pub,8,public,,2022-11-14 08:29:40,,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46617,,,"Assessment of Information Technology Governance
Implementation Based on COBIT Framework 5 Focus on
APO 04 Subdomain (Align, Plan and Organise) - Corresponding email",,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'honourific': None, 'lineage': None, 'family': 'Nama'}}]",other,show,2022-11-14 08:29:40,46617,archive,2022-11-23 08:16:59,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Gmail - FINAL PUBLISH VERSION Solid State Jounal And NeuroQuantology.pdf', 'files': [{'mtime': '2022-11-14 08:28:19', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513780', 'filename': 'Gmail - FINAL PUBLISH VERSION Solid State Jounal And NeuroQuantology.pdf', 'filesize': 308531, 'objectid': 185507, 'hash': '520046ebb49180014a4eb920be9ed6e0', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 513780}], 'docid': 185507, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185507', 'security': 'public', 'placement': 1, 'eprintid': 46617}, {'placement': 2, 'eprintid': 46617, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185729', 'pos': 2, 'security': 'public', 'main': '6125.pdf', 'docid': 185729, 'files': [{'hash': '49f2a70b901f209c3ca38bc66b56b321', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 515245, 'mtime': '2022-11-23 08:16:59', 'hash_type': 'MD5', 'filename': '6125.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515245', 'filesize': 1217733, 'objectid': 185729}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",1,,,,,,,,,,
7,,Anka Publisher,,['FT8'],disk0/00/04/66/16,pub,9,public,,2022-11-14 08:24:21,,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46616,,,"Assessment of Information Technology Governance
Implementation Based on COBIT Framework 5 Focus on
APO 04 Subdomain (Align, Plan and Organise) - Similarity Check",,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Nama', 'given': 'Gigih Forda'}}]",other,show,2022-11-14 08:24:21,46616,archive,2023-01-09 07:55:11,,"[{'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186733', 'eprintid': 46616, 'placement': 2, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'objectid': 186733, 'filesize': 1251531, 'uri': 'http://repository.lppm.unila.ac.id/id/file/522087', 'filename': '20220830111556pmNQ440099.pdf.pdf', 'hash_type': 'MD5', 'mtime': '2023-01-09 07:54:53', 'fileid': 522087, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3b2b9081f27e1dfc18d0718d4d702f3c'}], 'main': '20220830111556pmNQ440099.pdf.pdf', 'docid': 186733}]",1,,,,,,,,,,
8,,,,['FT8'],disk0/00/04/68/13,pub,7,public,,2022-11-23 09:32:39,published,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46813,"Sesuai  dengan  perkembangan  dan  pertumbuhan  penduduk  pada  suatu  wilayah  sungai  yang  pada akhirnya  berimbas  pada  meningkatnya  kebutuhan  akan air  sedangkan  ketersediaan  air cenderung tetap,  maka  BBWS  Mesuji  Sekampung  akan  dituntut  untuk  dapat  lebih  professional  didalam pengelolaan sumber daya air dan diantaranya mendapatkan tugas untuk dapat menarik BJPSDA dan mempergunakannya sebagai tambahan untuk menanggung Biaya Pengelolaan, sehingga di masa yang akan datang dapat meringankan APBN sebagai beban Pemerintah dalam pembiayaan pengelolaan SDA, sehingga anggaran yang ada dapat dialokasikan kepada hal yang lebih besar lagi. Dalam kajian ini yang menjadi potensi Penerimaan Negara Bukan pajak (PNBP) adalah Biaya Jasa Pengelolaan Sumber Daya Air (BJPSDA), sehingga dalam proses dan prosedur perhitungannya lebih mengacu pada Permen PUPR Nomor 18/PRT/M/2015 Tentang Iuran Eksploitasi dan Pemeliharaan Bangunan Pengairan. Berdasarkan hasil analisis dan perhitungan, diketahui bahwa Total biaya pengelolaan SDA dalam perhitungan BJPSDA sebesar Rp. 145.192.478.080, 00 (Seratus Empat Puluh Lima Milyar Seratus Sembilan Puluh Dua Juta Empat Ratus Tujuh Puluh Delapan Ribu Delapan Puluh Rupiah) dengan potensi PNBP dari nilai satuan BJPSDA sebesar Rp. 29.217.701.392, 71 per tahun.",,Biaya Jasa Pengelolaan Sumber Daya Air Sebagai Upaya Pengelolaan Berbasis Partisipatif,TRUE,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Nama', 'lineage': None, 'given': 'Gigih Forda'}}]",conference_item,show,2022-11-23 09:32:39,46813,archive,2022-11-23 09:32:39,,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 185747, 'main': '40_Eka+Kurniawan (2).pdf', 'files': [{'objectid': 185747, 'filesize': 230838, 'uri': 'http://repository.lppm.unila.ac.id/id/file/515327', 'filename': '40_Eka+Kurniawan (2).pdf', 'hash_type': 'MD5', 'mtime': '2022-11-23 09:31:29', 'fileid': 515327, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '358f59c7e98fbc9b299c5316e51f2c84'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185747', 'security': 'public', 'placement': 1, 'eprintid': 46813}]",1,,,,,paper,conference,Prosiding Seminar Nasional Keinsinyuran (SNIP)  Volume 2 Nomor 1,,,
9,,Anka Publisher,,['FT8'],disk0/00/04/66/21,,8,public,,2022-11-14 08:50:03,published,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46621,,,Consumer Segmentation Knowledge Analysis Using Data Science Approach for Marketing Strategy Recommendations - Email Coresponding,,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'honourific': None, 'lineage': None, 'family': 'Nama'}}]",other,show,2022-11-14 08:50:03,46621,archive,2022-11-23 09:11:41,,"[{'main': 'Gmail - Letter of Acceptance and Invoice - CONSUMER SEGMENTATION KNOWLEDGE ANALYSIS USING DATA SCIENCE APPROACH FOR MARKETING STRATEGY RECOMMENDATIONS.pdf', 'docid': 185513, 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-14 08:48:39', 'objectid': 185513, 'filesize': 336893, 'filename': 'Gmail - Letter of Acceptance and Invoice - CONSUMER SEGMENTATION KNOWLEDGE ANALYSIS USING DATA SCIENCE APPROACH FOR MARKETING STRATEGY RECOMMENDATIONS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513810', 'datasetid': 'document', 'fileid': 513810, 'mime_type': 'application/pdf', 'hash': '0275901e00bf7f4d3591b3db6f69b023'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 46621, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185513', 'pos': 1, 'security': 'public'}, {'main': '6127.pdf', 'files': [{'datasetid': 'document', 'fileid': 515306, 'hash': '89db0de838b51e43e0bb1fbc46e00745', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-23 09:11:40', 'objectid': 185741, 'filesize': 2298242, 'filename': '6127.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515306'}], 'docid': 185741, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 2, 'eprintid': 46621, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185741', 'pos': 2, 'security': 'public'}]",1,,,,,,,,,,
