,place_of_pub,creators,type,isbn,refereed,title,userid,documents,lastmod,eprint_status,eprintid,datestamp,pagerange,metadata_visibility,status_changed,full_text_status,ispublished,rev_number,publisher,divisions,dir,uri,date,subjects,book_title,contact_email,note,funders,publication,volume,date_type,official_url,number,referencetext,keywords,related_url,projects,abstract,pages,issn,id_number,corp_creators,monograph_type,institution,department,event_location,pres_type,event_dates,event_title,event_type
0,"lampung, indonesia","[{'name': {'given': 'Budi Harjo', 'honourific': None, 'family': 'Budi Harjo', 'lineage': None}}]",book_section,978-623-418-029-9,TRUE,"Efektifitas Kampanye; Memahami Metode, Dana,
Larangan dan Sanksi",120,"[{'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 249169, 'main': 'Catatan Dibalik Pilkada (2).pdf', 'files': [{'hash': '2a6b9a3a45e519e9232b9f695ed4b416', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 610675, 'mtime': '2023-05-13 07:08:36', 'hash_type': 'MD5', 'filename': 'Catatan Dibalik Pilkada (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/610675', 'objectid': 249169, 'filesize': 2028312}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/249169', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51549}]",2023-05-15 01:20:42,archive,51549,2023-05-15 01:20:42,100-121,show,2023-05-15 01:20:42,public,pub,8,PUSAKA MEDIA,['FISIP3'],disk0_bak/00/05/15/49,http://repository.lppm.unila.ac.id/id/eprint/51549,2022-01-01 00:00:00.000000000,['JA'],Catatan Dibalik Pilkada Lampung Timur Tahun 2020,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"[{'id': None, 'name': {'family': 'Bustomi', 'lineage': None, 'honourific': None, 'given': ""Ma'sum""}}, {'id': 'arizka.warganegara@fisip.unila.ac.id', 'name': {'given': 'Arizka', 'honourific': None, 'lineage': None, 'family': 'Warganegara'}}, {'id': 'anna_tabah@yahoo.com', 'name': {'given': 'Tabah', 'honourific': None, 'family': 'Maryanah', 'lineage': None}}, {'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'family': 'Cahyadi', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Poniasih', 'lineage': None, 'honourific': None, 'given': 'Ni Kadek'}, 'id': None}]",article,,TRUE,Government Strategies in Handling the Impact of the Spread of the Covid-19 Outbreak in Bandar Lampung,570,"[{'eprintid': 44911, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166832', 'format': 'text', 'files': [{'filename': '3981-15198-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/484586', 'filesize': 254371, 'objectid': 166832, 'mtime': '2022-09-13 04:38:09', 'hash_type': 'MD5', 'hash': '0b1e1ea612925501c77c4a57e162bd63', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 484586}], 'main': '3981-15198-1-PB.pdf', 'docid': 166832, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-09-13 07:37:55,archive,44911,2022-09-13 07:37:55,53-59,show,2022-09-13 07:37:55,public,pub,9,,['FISIP3'],disk0/00/04/49/11,http://repository.lppm.unila.ac.id/id/eprint/44911,2022-01-30 00:00:00.000000000,"['G1', 'JA', 'JK']",,arizka.warganegara@fisip.unila.ac.id,xxxx,['xxxx'],Government Strategies in Handling the Impact of the Spread of the Covid-19 Outbreak in Bandar Lampung,8,published,http://jurnal.utu.ac.id/jppolicy/article/view/3981/pdf,1.0,"Dwijoyowijoto, R. . (2004). Kebijakan Publik Formulasi,
Implementasi, dan Evaluasi. PT. Elex Media Komputindo
Kelompok Gramedia.
Keputusan Menteri Kesehatan No.
HK.01.02/MENKES/12758/2021 tentang Penetapan Jenis
Vaksin untuk Pelaksanaan Vaksinasi COVID-19.

Kusnandar, V. B. (2021). Ekonomi Lampung Tumbuh 3,05% pada
Kuartal III 2021.
https://databoks.katadata.co.id/datapublish/2021/11/26/eko
nomi-lampung-tumbuh-305-pada-kuartal-iii-2021

Mello, A. d. (1997). The Heart of the Enlightened: a book of story
meditations. Fount Paperback.

Nainggolan, E. U. (2020). Strategi Kebijakan Pemulihan Ekonomi
Nasional (PEN).
https://www.djkn.kemenkeu.go.id/artikel/baca/13287/Strate
gi-Kebijakan-Pemulihan-Ekonomi-Nasional.html.

Nazir, M. (2005). Metodologi Penelitian. Ghalia Indonesia.
Peraturan Menteri Kesehatan Republik Indonesia Nomor 9
Tahun 2020 Tentang Pedoman Pembatasan Sosial Berskala
Besar Dalam Rangka Percepatan Penanganan Corona Virus
Disease 2019 (Covid-19)

Peraturan Menteri Kesehatan RI No 84 Tahun 2020 tentang
Pelaksanaan Vaksinasi Dalam Rangka Penanggulangan
Pandemi COVID 19

Peraturan Pemerintah Nomor 23 Tahun 2020 tentang
Pemulihan Ekonomi Nasional

Soemartini, S. (2020). Stimulus Perekonomiandi Tengah Krisis
Ekonomi Lokal Dan Global Akibat Merebaknya Covid 19.
Jurnal Statistika Teori Dan Aplikasi: Biomedics, Industry & Business
And Social Statistics Edisi Khusus.
http://www.biastatistics.statistics.unpad.ac.id/index.php/biastatistics/article/view/4

Sugiyono. (2017). Metode Penelitian Bisnis (Pendekatan Kuantitatif,
Kualitatif, dan R&D). Alfabeta.

Suratno, B. (2020). Pembentukan Peraturan Kebijakan
Berdasarkan Asas-Asas Umum Pemerintahan yang Baik
Sadhu Bagas Suratno Bagian Hukum Sekretariat Daerah
Kabupaten Banyuwangi. E-Journal Lentera Hukum, 4(3).

Tjenreng, M. Z. (2020). Kebijakan Pemerintah dan Pemda dalam
Penanganan COVID-19 serta Pengaruhnya bagi Ekonomi Nasional.

Tosepu, R., Gunawan, J., Effendy, D.S., A., & L.O.A.I., Lestari,

H., Bahar, H., As fi an, P. (2020). Correlation between weather
and Covid19 pandemic in Jakarta, Indonesia.
https://doi.org/10.1016/j.scitotenv.2020.138436

Ulya, H. N. (2020). Alternatif Strategi Penanganan Dampak Ekonomi
Covid-19 Pemerintah Daerah Jawa Timur Pada Kawasan
Agropolitan.

Winarno, B. (2004). Teori dan Proses Kebijakan Publik. Media
Pressindo.

World Health Organization. (2020a). Novel Coronavirus (2019-
nCoV): Situation Report - 10, (2020).
https://www.who.int/docs/defaultsource/coronaviruse/situation-reports/20200130-%0Asitrep-
10ncov.pdf?sfvrsn=d0b2e480_2

World Health Organization. (2020b). Novel Coronavirus (2019-
nCoV) Advice for the Public, (2020).
https://www.who.int/emergencies/diseases/novelcoronaviru
s-2019/advice-for-public%0A

Yuliana. (2020). Corona Virus Disease (Covid-19); Sebuah
Tinjauan Literatur. Wellness and Healthy Magazine, 2(1).

Yunan, Z. Y. (2010). Analisis Sektor Unggulan Kota Bandar Lampung (Sebuah Pendekatan Sektor Pembentuk PDRB).",xxxx,[{'url': 'http://jurnal.utu.ac.id/jppolicy/article/view/3981/pdf'}],['xxxx'],"Bandar Lampung City recorded 9,674 cases. This makes Bandar Lampung City the highest positive case area in Lampung Province. Of course this is a special note for the government to respond to preventive actions. In Bandar Lampung Mayor Regulation (PERWALI) Number 18 of 2020, guidelines for preventing COVID-19 through health protocols, administrative sanctions, and police coercion are imposed. During the pandemic, government institutions, one of which was the Mayor of Bandar Lampung, became the main focus in Lampung Province because the real conditions in the field were still crowded, so prevention and following government policies were not optimal. This research uses a descriptive qualitative method with data collection using a literature study. The results of this study develop education and establish policies to prevent the spread of COVID-19. The policies that Bandar Lampung has taken are 1) establishing COVID-19 as a pandemic or a national epidemic, 2) campaigning for health protocols by implementing 3M (wash hands, wearing masks, and maintaining distance), 3) policies are carried out in stages starting from PSBB, to PPKM level,
4) social assistance and national economic recovery, 5) adaptation to new normal.",,,,,,,,,,,,
2,Bandung,"[{'id': 'robi.cahyadi@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Cahyadi', 'given': 'Robi'}}]",book_section,978-623-99459-1-6,TRUE,MASA DEPAN EKOLOGI IBUKOTA NEGARA BARU,680,"[{'main': 'E-Book - Ibu Kota Negara Baru dan Masa Depan Republik.pdf', 'files': [{'datasetid': 'document', 'fileid': 510067, 'mime_type': 'application/pdf', 'hash': '8514fa23b45268f8c3df19f11b475eed', 'hash_type': 'MD5', 'mtime': '2022-10-31 08:01:51', 'filesize': 1553846, 'objectid': 184947, 'uri': 'http://repository.lppm.unila.ac.id/id/file/510067', 'filename': 'E-Book - Ibu Kota Negara Baru dan Masa Depan Republik.pdf'}], 'docid': 184947, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 46121, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184947', 'pos': 1, 'security': 'public'}]",2022-10-31 09:47:23,archive,46121,2022-10-31 09:47:23,2-26,show,2022-10-31 09:47:23,public,pub,9,PT Tubagus Lima Corporat,['FISIP3'],disk0/00/04/61/21,http://repository.lppm.unila.ac.id/id/eprint/46121,2022-09-22 00:00:00.000000000,['JA'],IBUKOTA NEGARA BARU DAN MASA DEPAN REPUBLIK INDONESIA,,,,,1,published,https://tubaguslimacorporat.com,,,,[{'url': 'https://tubaguslimacorporat.com'}],,"Kebijakan pemindahan Ibukota Neghara (IKN) memiliki dampak ayang amat luas, buku ini merangkum semua dampak yang ada baik dari sisi politik, ekonomi, ekologi dan amsa depan republik setelah ibukota di pindahkan",26.0,,,,,,,,,,,
3,,"[{'id': 'robi.cahyadi@fisip.unila.ac.id', 'name': {'given': 'Robi', 'lineage': None, 'family': 'Cahyadi', 'honourific': None}}]",article,,TRUE,"PERILAKU POLITIK SANTRI DAN RELASI PATERNALISTIK PADA PEMILIHAN
BUPATI LAMPUNG SELATAN 2020",680,"[{'eprintid': 46118, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184945', 'pos': 1, 'format': 'text', 'docid': 184945, 'main': '33222-156502-1-PB JWP okt 22.pdf', 'files': [{'mtime': '2022-10-31 07:53:56', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/510053', 'filename': '33222-156502-1-PB JWP okt 22.pdf', 'objectid': 184945, 'filesize': 411191, 'mime_type': 'application/pdf', 'hash': '0a4b46e508b4c15fad1e5da3bb756796', 'fileid': 510053, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-10-31 08:04:20,archive,46118,2022-10-31 08:04:20,139-147,show,2022-10-31 08:04:20,public,pub,6,Padjadjaran University,['FISIP3'],disk0/00/04/61/18,http://repository.lppm.unila.ac.id/id/eprint/46118,2022-10-10 00:00:00.000000000,['JA'],,,,,Jurnal Wacana Politik Universitas Padjadjaran,7,published,http://jurnal.unpad.ac.id/wacanapolitik/article/view/33222/pdf,2.0,"Bruinessen, M. V. (2008). The Traditioanlist
and Islamist Pesantrens in Contemporary
Indonesia. 217–245.
Ilham, M. (2020). Pemberdayaan Politik Santri
pada Pilwali di Surabaya Mohammad Ilham
Pendahuluan Kata santri dalam khasanah
kehidupan bangsa Indonesia dan khususnya
umat Islam mempunyai dua makna . Pertama
menunjuk sekelompok peserta sebuah istilah
Abdul Munir Mulkhan ) y. 23(1).
Najib Kailani & Sunarwoto. (2017). Televangelisme
Islam dalam Lanskap Otoritas Keagamaan
Baru. Pusat Pengkajian Islam, Demokrasi,
dan Perdamaian (PusPIDeP.
Nasaruddin, U. (2019). Islam Nusantara: Jalan
Panjang Beragama di Indonesia. PT. Elex
Media Komputindo.
Owner. (2020). Pilkada Lampung Selatan diikuti
tiga Paslon. Medianusantara. https://www.
medianusantaranews.com/2020/10/09/resmipilkada-lampung-selatan-diikuti-tiga-paslon/
Pangkalan Data Pondok Pesantren (PDPP)
Kementrian Agama. (2019).
Subakti, R. (2010). Memahami Ilmu Politik.
Grasindo.
Syarif, Z. (2012). MITOS NILAI-NILAI
KEPATUHAN SANTRI Zainuddin Syarif.
Tadris, 7.
Syarif, Z. (2016). Pergeseran Perilaku Politik Kiai
dan Santri di Pamekasan Madura. Al-Tahrir:
Jurnal Pemikiran Islam, 16(2), 293.
Wawancara Peneliti dengan Pimpinan Pondok
Pondok pesantren Terpadu Ushuluddin).
(2020).",,[{'url': 'http://jurnal.unpad.ac.id/wacanapolitik/article/view/33222/pdf'}],,"Penelitian ini bertujuan untuk membahas mengenai perilaku politik santri berdasarkan beberapa pendekatan
perilaku politik dan derajat kepatuhan santri kepada kiai dalam Pemilihan Bupati dan Wakil Bupati Lampung Selatan
Tahun 2020. Santri yang berada di pesantren memiliki kendala mengakses informasi dari luar terutama terkait pilkada
yang akan dilaksanakan, sehingga mempengaruhi perilaku politik dalam menentukan pilihan politik santri. Penelitian
ini menggunakan metode deskriptif dengan pendekatan kualitatif, dan dalam menentukan informan menggunakan teknik
purposive sampling dengan menyesuaikan kebutuhan data untuk kepentingan penelitian. Teknik pengumpulan data dalam
penelitian ini adalah observasi, wawancara dan dokumentasi. Penelitian ini menggunakan teori pendekatan politik melalui
beberapa aspek yaitu sosiologis, psikologis dan pilihan rasional. Hasil penelitian menunjukan bahwa dilihat dari aspek
pendekatannya, perilaku politik santri Pondok Pesantren Assalafiyah Tanjung Rame sangat dipengaruhi aspek sosiologis
dan psikologis, namun tidak dipengaruhi aspek rasional. Dari aspek kepercayaan santri kepada kiai, santri dikategorikan
sebagai santri patuh mutlak dan santri patuh semu. Di Pondok Pesantren Terpadu Ushuluddin, aspek sosiologis, psikologis
dan pilihan rasional tidak berperan secara efektif. Santri dikategorikan sebagai santri prismatik yaitu santri tidak menjadikan
kiai sebagai referensi dalam menjatuhkan pilihan politik. Dua pondok pesantren yang dijadikan lokasi penelitian ini
menunjukkan aspek yang berbeda; pesantren tradisional dan modern, sehingga aspek-aspek yang di temukan sebagai hasil
penelitian juga berbeda.",,2502-9185,,,,,,,,,,
4,Jakarta,"[{'id': 'robi_ck@yahoo.com', 'name': {'family': 'Cahyadi', 'lineage': None, 'honourific': None, 'given': 'Robi'}}]",other,,,SURAT PENCATATAN CIPTAAN  'Buku Etika Politik dan Pemerintahan',680,"[{'format': 'text', 'main': 'sertifikat_HAKI Etika Pol Pem RcK.pdf', 'files': [{'filename': 'sertifikat_HAKI Etika Pol Pem RcK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/456157', 'filesize': 2055237, 'objectid': 162499, 'mtime': '2022-04-05 06:53:23', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '5d4e673be01eb9c3578e0055934c06cf', 'datasetid': 'document', 'fileid': 456157}], 'docid': 162499, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 41075, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162499'}, {'eprintid': 41075, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162500', 'pos': 2, 'format': 'text', 'docid': 162500, 'main': 'sertifikat_HAKI Etika Pol Pem RcK.pdf', 'files': [{'filename': 'sertifikat_HAKI Etika Pol Pem RcK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/456159', 'filesize': 2055237, 'objectid': 162500, 'mtime': '2022-04-05 07:02:30', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '5d4e673be01eb9c3578e0055934c06cf', 'fileid': 456159, 'datasetid': 'document'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-04-05 07:13:36,archive,41075,2022-04-05 07:13:36,,show,2022-04-05 07:13:36,public,pub,8,Direktorat Jenderal Kekayaan Intelektual Kementerian Hukum & HAM,['FISIP3'],disk0/00/04/10/75,http://repository.lppm.unila.ac.id/id/eprint/41075,2022-02-24 00:00:00.000000000,['JC'],,,,,,,published,https://dgip.go.id/,,,,[{'url': 'https://dgip.go.id/'}],,"Buku Etika Politik dan Pemerintahan

EC00202213585",,,EC00202213585,,,,,,,,,
5,Jakarta,"[{'id': 'robi_ck@yahoo.com', 'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}}, {'name': {'honourific': None, 'family': 'Krisbintoro', 'lineage': None, 'given': 'Sigit'}, 'id': None}]",other,,,SURAT PENCATATAN CIPTAAN 'Buku Ekologi Politik dan Pemerintahan',680,"[{'placement': 1, 'eprintid': 41076, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162501', 'security': 'public', 'files': [{'filesize': 2055522, 'objectid': 162501, 'filename': 'sertifikat_HAKI Ekologi Pol Pem RcK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/456166', 'hash_type': 'MD5', 'mtime': '2022-04-05 07:06:38', 'datasetid': 'document', 'fileid': 456166, 'hash': 'a8a30648a1dc6d4687feb6ab4261f365', 'mime_type': 'application/pdf'}], 'main': 'sertifikat_HAKI Ekologi Pol Pem RcK.pdf', 'docid': 162501, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-04-05 07:13:38,archive,41076,2022-04-05 07:13:38,,show,2022-04-05 07:13:38,public,pub,7,Direktorat Jenderal Kekayaan Intelektual Kementerian Hukum & HAM,['FISIP3'],disk0/00/04/10/76,http://repository.lppm.unila.ac.id/id/eprint/41076,2022-02-07 00:00:00.000000000,['JC'],,,,,,,published,https://dgip.go.id/,,,,[{'url': 'https://dgip.go.id/'}],,"Buku Ekologi Politik dan Pemerintahan

EC00202215691",,,EC00202215691,,,,,,,,,
6,Jakarta,"[{'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}}, {'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'given': 'Budi', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}}]",other,,,SURAT PENCATATAN CIPTAAN,680,"[{'eprintid': 41074, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162498', 'format': 'text', 'docid': 162498, 'main': 'sertifikat_HAKI Political Economy.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/456150', 'filename': 'sertifikat_HAKI Political Economy.pdf', 'objectid': 162498, 'filesize': 2056123, 'mtime': '2022-04-05 06:38:57', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '42a6dfedb2bad1f8d9cb605e99e8fcbd', 'datasetid': 'document', 'fileid': 456150}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-04-05 07:13:34,archive,41074,2022-04-05 07:13:34,,show,2022-04-05 07:13:34,public,pub,7,Direktorat Jenderal Kekayaan Intelektual Kementrian Hukum & HAM,['FISIP3'],disk0/00/04/10/74,http://repository.lppm.unila.ac.id/id/eprint/41074,2022-02-24 00:00:00.000000000,['JA'],,,,,,,published,https://dgip.go.id/,,,,[{'url': 'https://dgip.go.id/'}],,Buku Political Economy of Development from Global to Indonesian Conteks EC002022 13586,,,EC00202213586,,,,,,,,,
7,Bandar Lampung,"[{'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'given': 'Dian', 'lineage': None, 'family': 'Dian Kagungan', 'honourific': None}}, {'name': {'given': 'Feni', 'honourific': None, 'lineage': None, 'family': 'Rosalia'}, 'id': 'feni.rosalia@fisip.unila.ac.id'}]",monograph,,,Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru (Kolaborasi Aktor Dalam Pengembangan Pariwisata),912,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'pengesahan buku penatakelolaan pariwisata di DOB.pdf', 'docid': 187191, 'files': [{'mtime': '2023-01-26 01:14:05', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/525196', 'filename': 'pengesahan buku penatakelolaan pariwisata di DOB.pdf', 'objectid': 187191, 'filesize': 1331065, 'hash': '9eb19caa08689f4ba6abb25d2ebf431b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 525196}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187191', 'pos': 1, 'eprintid': 48028, 'placement': 1}]",2023-01-26 01:38:41,archive,48028,2023-01-26 01:38:41,,show,2023-01-26 01:38:41,public,pub,7,Pusaka Media,['FISIP3'],disk0_bak/00/04/80/28,http://repository.lppm.unila.ac.id/id/eprint/48028,2022-10-01 00:00:00.000000000,['H1'],,,,,,,,,,,,,,"Kabupaten Pesawaran memiliki program pengembangan pariwisata one village one destination. Seiring dengan kemajuan pariwisata yang pesat saat ini Kabipaten Pesawaran memiliki brand pariwisata baru yaotu Kemilau Pesawaran. Pengembanagn pariwisata akan berjalan optimal ika didukung sinergitas antar aktor yang terlibat mulai dari Pemerintah, PT/Akademisi,masyarakat lokal, investor, maupun media.",,,,['University of Lampung'],other,University of Lampung,Government Departement,,,,,
8,,"[{'name': {'given': 'Rosalia', 'honourific': None, 'lineage': None, 'family': 'Feni'}, 'id': 'feni.rosalia@fisip.unila.ac.'}]",article,,TRUE,Government Administration and Policy Implementations: A Cross-Sectional Research on Citizens Satisfaction,912,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186709', 'eprintid': 47639, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'JURNAL SPACE .pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'fbecb39a5bb2eacab8ff836805f70281', 'datasetid': 'document', 'fileid': 521939, 'mtime': '2023-01-07 14:59:36', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/521939', 'filename': 'JURNAL SPACE .pdf', 'objectid': 186709, 'filesize': 726351}], 'docid': 186709}]",2023-01-09 01:32:28,archive,47639,2023-01-09 01:32:28,418-444,show,2023-01-09 01:32:28,public,pub,8,Stowarzyszenie Naukowe Przestrzen Społeczna i                                                          Srodowisko,['FISIP3'],disk0_bak/00/04/76/39,http://repository.lppm.unila.ac.id/id/eprint/47639,2022-12-01 00:00:00.000000000,['H1'],,,,,Przestrzen Spoteczna (Social Space),22,published,https://socialspacejournal.eu/,2.0,,,[{'url': 'https://socialspacejournal.eu/article-page/?id=87'}],,"The government and the people must have a strong relationship to improve citizens' standard
of living. This study examines the relationship between the quality of government demonstrations, the
implementation of new policies, and citizens' satisfaction, with perceived responsiveness as a
moderator. The study aims to determine why the Indonesian government's policy implementation is
not satisfactory to its citizens. A Likert scale questionnaire uses simple random sampling to acquire
cross-sectional data. The partial least–squire–structural equation model is adopted for data analysis.
The research indicated that the happiness of Indonesian residents is influenced by the quality of
government administration and the execution of new policies, with perceived responsiveness playing
a moderating function. This study's model is an original contribution to the body of knowledge because
this novel concept was not addressed in previous studies. The research has considered major practical
and theoretical discoveries that have enhanced the literature with newly formed relationships and
provided a strategic path ahead to the government department for the strategic happiness of citizens.
Accordingly, the research has indicated significant future paths for scholars to improve the model of
citizen happiness in the context of government policy implementation and work quality.",,eISSN : 2084-1558 pISSN : 2084-7696,,['University of Lampung'],,,,,,,,
9,,"[{'id': 'feni.rosalia@fisip.unila.ac.', 'name': {'given': 'Rosalia', 'honourific': None, 'family': 'Feni', 'lineage': None}}, {'id': 'yulianto@fisip.unila.ac.id', 'name': {'given': 'Yulianto', 'honourific': None, 'family': 'Yulianto', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Tina Kartika', 'honourific': None, 'given': 'Tina'}, 'id': 'tina.kartika@fisip.unila.ac.id'}, {'name': {'given': 'Wulandari', 'honourific': None, 'lineage': None, 'family': 'Jeni'}, 'id': 'jeni.wulandari@fisip.unila.ac.id'}, {'id': 'albet.maydiantoro@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Albet Maydiantoro', 'honourific': None, 'given': 'Albet'}}]",other,,,"A Network of Twitter User on Stunting Issue in Lampung, Indonesia",912,"[{'eprintid': 47526, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186587', 'pos': 1, 'format': 'text', 'main': 'turnitin - A Network of Twitter User on Stunting Issue in Lampung, Indonesia.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '85f5719c1909edffbca8d2090cd93ce4', 'datasetid': 'document', 'fileid': 521027, 'uri': 'http://repository.lppm.unila.ac.id/id/file/521027', 'filename': 'turnitin - A Network of Twitter User on Stunting Issue in Lampung, Indonesia.pdf', 'filesize': 2569982, 'objectid': 186587, 'mtime': '2022-12-29 02:13:32', 'hash_type': 'MD5'}], 'docid': 186587, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-12-30 03:55:10,archive,47526,2022-12-30 03:55:10,,show,2022-12-30 03:55:10,public,pub,8,WSEAS Transaction on Environment and Development,['FISIP3'],disk0_bak/00/04/75/26,http://repository.lppm.unila.ac.id/id/eprint/47526,2022-11-30 00:00:00.000000000,['H1'],,,,,,,published,https://wseas.com/journals/articles.php?id=7368,,,,[{'url': 'https://wseas.com/journals/articles.php?id=7368'}],,"This study analyzes the network of users and hashtag Twitter messages connected to the stunting issue in Lampung Province, Indonesia. The research process adopts social network analysis (SNA) methods. The research data comes from as many as forty thousand tweets from the Twitter API. Data is downloaded, processed, and analyzed with three R, R Studio, and Gephi. Research findings show that Twitter users linked to stunting have different: (a) degree scores (13%, 12%, <10%); (b) betweenness scores (4%, 2.67%, 1.07%, and
<1%); and (c) a closeness score that divides the actors into two groups: a closeness score equal to 1 and a closeness score below 1. The hashtags #pakhalimtahanstunting and #jokowimembangundesa have become popular hashtags among Twitter users related to stunting issues. This study concludes that central and local government actors encourage preventive and cross-sectoral intervention even though there are still a few collaborations between actors and institutions involved in this process.

Keywords: social networking, big data, critically assisted discourse, stunting, Twitter.",,,"Volume 18, 2022",['University of Lampung'],,,,,,,,
