,full_text_status,status_changed,ispublished,rev_number,dir,publisher,divisions,abstract,corp_creators,date,uri,date_type,subjects,type,creators,title,userid,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,volume,related_url,publication,issn,pagerange,number,official_url,refereed,place_of_pub,event_type,event_title,event_location,event_dates,pres_type,book_title,contact_email,id_number,isbn,pages
0,public,2019-12-21 17:27:16,pub,8,disk0/00/01/73/82,FISIP Universitas Lampung,['FISIP3'],LAPORAN HASIL PENELITIAN,['Universitas Lampung'],1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/17382,published,['H1'],other,"[{'name': {'honourific': None, 'family': 'Asfa', 'lineage': None, 'given': 'Syihabudin'}, 'id': None}, {'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'given': 'Feni', 'honourific': None, 'family': 'Rosalia', 'lineage': None}}, {'name': {'family': 'Lilih Muflih', 'lineage': None, 'honourific': None, 'given': 'Lilih'}, 'id': 'lilihmuflihah@gmail.com'}]",STRATEGI E-GOVERNMENT DALAM PELAYANAN SERTIFIKAT HAK MILIK PADA KANTOR PERTANAHAN KOTA BANDAR LAMPUNG,912,2019-12-23 07:18:19,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Penelitian%202018.pdf', 'docid': 30519, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/147185', 'filename': 'Penelitian%202018.pdf', 'filesize': 1265591, 'objectid': 30519, 'mtime': '2019-12-23 07:18:18', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '99c321a7d8a992edfc7e14f02d78e3dd', 'fileid': 147185, 'datasetid': 'document'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30519', 'eprintid': 17382, 'placement': 1}]",2019-12-21 17:27:16,17382,archive,show,,,,,,,,,,,,,,,,,,,
1,public,2019-12-21 17:27:23,pub,7,disk0/00/01/73/85,FISIP Universitas Lampung,['FISIP3'],PENILAIAN SEJAWAT LAPORAN HASIL PENELITIAN,['Universitas Lampung'],1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/17385,published,['H1'],other,"[{'id': None, 'name': {'given': 'Syihabudin', 'honourific': None, 'family': 'Asfa', 'lineage': None}}, {'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'given': 'Feni', 'honourific': None, 'lineage': None, 'family': 'Rosalia'}}, {'id': 'lilihmuflihah@gmail.com', 'name': {'given': 'Lilih', 'family': 'Lilih Muflih', 'lineage': None, 'honourific': None}}]",STRATEGI E-GOVERNMENT DALAM PELAYANAN SERTIFIKAT HAK MILIK PADA KANTOR PERTANAHAN KOTA BANDAR LAMPUNG,912,2019-12-21 17:27:23,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 30500, 'main': 'Strategi E gov.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-12-21 17:13:05', 'objectid': 30500, 'filesize': 1157185, 'filename': 'Strategi E gov.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147086', 'fileid': 147086, 'datasetid': 'document', 'hash': 'ada4e231b5120878ae57a9cba322d3f7', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30500', 'pos': 1, 'eprintid': 17385, 'placement': 1}]",2019-12-21 17:27:23,17385,archive,show,,,,,,,,,,,,,,,,,,,
2,restricted,2019-05-14 07:52:10,pub,9,disk0/00/01/24/76,RJOAS: Russian Journal of Agricultural and Socio-Economic Sciences,['FISIP3'],"The objective of this research is to provide policy recommendation with regard to strategy formulation for the development of community forests. The policy recommendation aims to improve local people's economy, to alleviate poverty and to achieve community-reliance through the utilization of community forest programs. This study is also aimed to strengthen roles and functions of various institutions to be synergized in empowerment activities in line with the jurisdiction of rights for management and utilization of community forest. This research used descriptive qualitative approach. Data was collected from Tanggamus Regency in Lampung Province of Indonesia through interviews. Secondary data was also obtained from related sources: literature and government regulations. This study found that the implementation of community forest policy is merely based on the government regulation. Another finding is that empowerment practices undertaken in the community forest is still lack of the involement of stakeholders. In addition, there is a positive impact in the practice of community forest which can be seen from the level of public awareness to the forest and in planting crops. Therefore, this research suggests that: first, there is the need of policy to overcome bureaucratic system in applying the community forest management permits; second, it needs a new formulation of budget to facilitate the community in the application of the community forest management.",,2018-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/12476,published,['HM'],article,"[{'id': 'bensosunila@gmail.com', 'name': {'given': 'Benjamin', 'honourific': None, 'lineage': None, 'family': 'Benjamin'}}, {'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'given': 'Feni', 'family': 'Rosalia', 'lineage': None, 'honourific': None}}, {'id': 'dewiayu.hidayati@fisip.unila.ac.id', 'name': {'family': 'dewi ayu hidayati', 'lineage': None, 'honourific': None, 'given': 'DAH'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Dian Kagungan', 'given': 'Dian'}, 'id': 'dian.kagungan@fisip.unila.ac.id'}]",STRATEGY FOR BUILDING COMMUNITY-RELIANCE IN MANAGING AND UTILIZING COMMUNITY FORESTS THROUGH THE POLICY OF COMMUNITY FORESTS DEVELOPMENT,912,2019-05-14 07:52:10,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25460', 'formatdesc': 'RJOAS', 'security': 'validuser', 'placement': 1, 'eprintid': 12476, 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'docid': 25460, 'main': 'artikel jurnal RJOAS (pak ben).pdf', 'files': [{'mtime': '2019-05-10 04:20:20', 'hash_type': 'MD5', 'filename': 'artikel jurnal RJOAS (pak ben).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/110901', 'objectid': 25460, 'filesize': 244328, 'hash': 'fe1383f4c9d1108685023bcfa6a6c987', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 110901}], 'format': 'text', 'date_embargo': '2019-07-02'}]",2019-05-14 07:52:10,12476,archive,show,7,[{'url': 'https://rjoas.com/issue-2018-07/'}],RJOAS: Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,323-333,79,https://rjoas.com/issue-2018-07/,TRUE,,,,,,,,,,,
3,public,2018-10-26 10:10:25,pub,6,disk0/00/00/88/23,Lampung Post,['FISIP3'],Komisi Pemilihan Umum (KPU) diminta untuk memberikan tanda khusus di kertas suara kepada calon anggota legislatif (caleg) mantan terpidana dalam pemilihan umum (pemilu) 19 April 2019 mendatang.,,2018-09-19 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/8823,published,['J1'],article,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'honourific': None, 'lineage': None, 'family': 'Cahyadi'}}]","Caleg Mantan Terpidana diberi Tanda Khusus di Surat Suara (Lampung Post, 19 Sept 2018)",680,2018-10-26 10:10:25,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21901', 'eprintid': 8823, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Pengamat_ Caleg Mantan Terpidana Harus Diberi Tanda Khusus di Surat Suara - Lampost.co.pdf', 'docid': 21901, 'files': [{'mime_type': 'application/pdf', 'hash': '91ce7678ceb5f986f702e40df29bdbac', 'fileid': 85748, 'datasetid': 'document', 'mtime': '2018-09-22 14:30:07', 'hash_type': 'MD5', 'filename': 'Pengamat_ Caleg Mantan Terpidana Harus Diberi Tanda Khusus di Surat Suara - Lampost.co.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85748', 'filesize': 467084, 'objectid': 21901}]}]",2018-10-26 10:10:25,8823,archive,show,,"[{'url': 'http://www.lampost.co/berita-pengamat-caleg-mantan-terpidana-harus-diberi-tanda-khusus-di-surat-suara.html', 'type': 'pub'}]",Lampung Post,,1-2,,http://www.lampost.co/berita-pengamat-caleg-mantan-terpidana-harus-diberi-tanda-khusus-di-surat-suara.html,TRUE,,,,,,,,,,,
4,public,2018-01-29 04:11:11,pub,6,disk0/00/00/63/54,"Lampung Post, 13 Januari 2018",['FISIP3'],"Helatan pemilihan gubernur Lampung dan juga pikada serentak jilid tiga pada bulan juni 2018 menghadapi permasalahan demokrasi yang akan melemahkan demokrasi seacra umum. Tulisan singkat ini menjelaskan tentang masalah demokrasi terutama mengenai pembelian suara, politik uang dan politik identitas",,2018-01-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6354,published,['JS'],article,"[{'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}, 'id': 'robi_ck@yahoo.com'}]",Masalah Demokrasi Pemilihan Gubernur Lampung 2018,680,2018-01-29 04:11:11,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'LAMPUNG POST _ Masalah Demokrasi Pilgub Lampung 2018.pdf', 'files': [{'datasetid': 'document', 'fileid': 59066, 'mime_type': 'application/pdf', 'hash': 'a36964a83b88d0590c5e6521673efc25', 'objectid': 19274, 'filesize': 1095544, 'uri': 'http://repository.lppm.unila.ac.id/id/file/59066', 'filename': 'LAMPUNG POST _ Masalah Demokrasi Pilgub Lampung 2018.pdf', 'hash_type': 'MD5', 'mtime': '2018-01-16 12:52:35'}], 'docid': 19274, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19274', 'security': 'public', 'placement': 1, 'eprintid': 6354}]",2018-01-29 04:11:11,6354,archive,show,,[{'url': 'http://www.lampost.co/berita-masalah-demokrasi-pilgub-lampung-2018'}],Lampung Post,,1-4,,http://www.lampost.co/berita-masalah-demokrasi-pilgub-lampung-2018,TRUE,,,,,,,,,,,
5,public,2018-02-15 08:44:06,pub,6,disk0/00/00/64/22,"Lampung Post, 30 Januari 2018",['FISIP3'],"TAHUN 2018 dianggap banyak pihak sebagai tahun politik, karena adanya perhelatan pemilihan gubernur dan pemilihan wali kota/bupati di seluruh Indonesia. Ajang ini menjadi lahan utama berita media. Korelasinya dengan pemilihan presiden dan legislatif tahun 2019 menjadikan momen pemilihan kepala daerah jilid tiga pada tahun 2018 menjadi krusial sebagai sebuah berita yang mempunyai nilai jual tinggi.",,2018-01-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6422,published,['JS'],article,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'honourific': None, 'lineage': None, 'family': 'Cahyadi'}}]",Media dan Pilkada,680,2018-02-15 08:44:06,"[{'placement': 1, 'eprintid': 6422, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19356', 'security': 'public', 'docid': 19356, 'main': 'LAMPUNG POST _ Media dan Pilkada.pdf', 'files': [{'filesize': 3378060, 'objectid': 19356, 'filename': 'LAMPUNG POST _ Media dan Pilkada.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59545', 'hash_type': 'MD5', 'mtime': '2018-01-31 06:32:16', 'fileid': 59545, 'datasetid': 'document', 'hash': 'e5db0acf1d5ea8184b663199e2bed44b', 'mime_type': 'application/pdf'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2018-02-15 08:44:06,6422,archive,show,,"[{'type': 'pub', 'url': 'http://www.lampost.co/berita-media-dan-pilkada'}]",Lampung Post,,1-3,,http://www.lampost.co/berita-media-dan-pilkada,TRUE,,,,,,,,,,,
6,public,2018-10-26 10:10:27,pub,6,disk0/00/00/88/32,"Harian Umum ""Lampung Post""",['FISIP3'],Ulasan dalam tulisan ini adalah bagaimana Bawaslu dapat berperan sebagai sebuah unit kerja penyelenggara pemilu khususnya fungsi pengawasan yang dapat bekerja kreatif dan inovatif tetapi tidak melanggar peraturan UU yang menjadi tali pengekangnya?,,2018-03-12 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/8832,published,['JF'],article,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'lineage': None, 'family': 'Cahyadi', 'honourific': None}}]","Menunggu Pembuktian Diri BAWASLU (Kolom Pakar LamPost, 12 Maret 2018)",680,2018-10-26 10:10:27,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'KP12Maret18.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85811', 'filename': 'KP12Maret18.pdf', 'objectid': 21912, 'filesize': 936951, 'mtime': '2018-09-25 04:38:48', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '9633eae6c98bafc6f1d60c55735e6dac', 'fileid': 85811, 'datasetid': 'document'}], 'docid': 21912, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21912', 'pos': 1, 'eprintid': 8832, 'placement': 1}]",2018-10-26 10:10:27,8832,archive,show,,"[{'url': 'http://www.lampost.co/kategori-opini', 'type': 'pub'}]",Lampung Post,1234,1-2,,http://www.lampost.co/kategori-opini,TRUE,,,,,,,,,,,
7,public,2018-10-26 10:10:29,pub,6,disk0/00/00/88/31,"Harian Umum ""Lampung Post""",['FISIP3'],Permasalahan administrasi pemilih ini  menjadi ulasan dalam tulisan singkat ini; bagaimana masalah administrasi menjadi momok yang berulang dalam setiap momen pemilihan umum dan pemilihan kepala daerah ? Dampak apa yang di hasilkan dari masalah administrasi ini bagi partisipasi pemilih khususnya di Provinsi Lampung?,,2018-04-09 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/8831,published,['JF'],article,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}}]","Partisipsi Pemilih VS Administrasi Pemilu (Kolom Pakar LamPost,9 April 2018)",680,2018-10-26 10:10:29,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21911', 'eprintid': 8831, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85805', 'filename': 'KP 9 April 18.pdf', 'objectid': 21911, 'filesize': 882915, 'mtime': '2018-09-25 04:28:18', 'hash_type': 'MD5', 'hash': 'dad4900873ad83c26b6b66ddd84b30ee', 'mime_type': 'application/pdf', 'fileid': 85805, 'datasetid': 'document'}], 'main': 'KP 9 April 18.pdf', 'docid': 21911}]",2018-10-26 10:10:29,8831,archive,show,,[{'url': 'http://www.lampost.co/kategori-opini'}],Lampung Post,1234,1-2,,,TRUE,,,,,,,,,,,
8,public,2019-04-29 08:12:10,pub,7,disk0/00/01/11/69,Unisba Pusat Penerbitan Universitas (P2U-LPPM),['FISIP3'],"Clientelism is a renewal of the concept of patronage, a patron of clients commonly referred to in several scientific studies. This research uses a qualitative method through an in-depth interview approach to informants and literature studies. The results show that clientelism among voters occurred in the election of Bandar Lampung Mayor Election in 2015. There is a symbiosis of mutualism between incumbent candidates for the Mayor and voters. Voters are influenced by their choices through imaging, giving, programs, and profitable policies. Voters benefit from education policies, free health, infrastructure and social assistance. Another pattern is shown in Lampung Governor Election 2014 when Sugar Group Company (SGC), with their significant power position and influence in sugar trade, fully supports the nomination of M. Ridho Ficardo. The pattern used is by holding entertainment shows and puppets with various attractive prizes offered such as motorbikes, refrigerators, and farm animals. Many voters are interested in giving their votes and get the prizes in return.",,2018-12-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11169,published,['JA'],article,"[{'id': 'robi_ck@yahoo.com, robi.cahyadi@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}}]",The Pattern of Clientelism in Lampung Local Election,680,2019-04-29 08:12:10,"[{'eprintid': 11169, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24161', 'format': 'text', 'main': 'MIMBAR , Desember 2018.pdf', 'files': [{'datasetid': 'document', 'fileid': 101982, 'hash': '54cd2502f30eb22a0ad557e2d81ee41d', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-04-16 01:55:24', 'objectid': 24161, 'filesize': 700800, 'uri': 'http://repository.lppm.unila.ac.id/id/file/101982', 'filename': 'MIMBAR , Desember 2018.pdf'}], 'docid': 24161, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-04-29 08:12:10,11169,archive,show,34,[{'url': 'https://ejournal.unisba.ac.id/index.php/mimbar/issue/view/309'}],Jurnal Mimbar,0215-8175,283-291,2,https://ejournal.unisba.ac.id/index.php/mimbar/issue/view/309,TRUE,,,,,,,,,,,
9,public,2019-11-07 04:37:39,pub,6,disk0/00/01/58/29,FISIP UNILA,['FISIP3'],Penilaian Rekan Sejawat,,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/15829,published,['JA'],article,"[{'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}}]",Peer Review Jurnal JASP Fisip Unila,680,2019-11-07 04:37:39,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 28929, 'main': '11. Peer Review JurNas Tidak Terakreditasi, JASP 2018.pdf', 'files': [{'datasetid': 'document', 'fileid': 135868, 'hash': 'b471c8f65204e86138764986668692fa', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-06 16:22:37', 'objectid': 28929, 'filesize': 1328639, 'uri': 'http://repository.lppm.unila.ac.id/id/file/135868', 'filename': '11. Peer Review JurNas Tidak Terakreditasi, JASP 2018.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28929', 'security': 'public', 'placement': 1, 'eprintid': 15829}]",2019-11-07 04:37:39,15829,archive,show,2,,Jurnal Analisis Sosial Politik,2580-8559,,1,http://jurnal.fisip.unila.ac.id/index.php/jasp/issue/archive,TRUE,,,,,,,,,,,
